'ai'dang'shi'xi'mo'zhi 哀当世兮莫知
'gui'chong'sha'mo 贵宠沙劘
'gui'dong'xi'lan'lao 桂栋兮兰橑
'gui'du'bu'zhi'suo'yan'liu'xi 桂蠹不知所淹留兮
'gui'fan'gu'shi 归反故室
'gui'fu'ren'yi'chen'ci'xi 跪敷衽以陈辞兮
'gui'hai'jiu'bang'mo'shui'yu'xi 归骸旧邦莫谁语兮
'gui'he'you 归何忧
'gui'huo'xi'ying'ying 鬼火兮荧荧
'gui'lai'gui'lai 归来归来
'gui'shu'lie'xi'fen'fu 桂树列兮纷敷
'gui'shui'xi'chan'yuan 桂水兮潺湲
'gui'yan'xi'yu'zheng 归雁兮于征
'gui'zhao'xi'lan'xie 桂棹兮兰枻
'gui'zhen'ren'zhi'xiu'de'xi 贵真人之休德兮
'gui'zhong'ji'yi'sui'yuan'xi 闺中既以邃远兮
'gun'gong'yong'er'bu'jiu 鲧功用而不就
'gun'he'suo'ying 鲧何所营
'gun'he'ting'yan 鲧何听焉
'gun'xing'zhi'yi'wang'shen'xi 鲧婞直以亡身兮
'guo'bao'si'er'shi'xiang 过鲍肆而失香
'guo'fu'qiang'er'fa'li'xi 国富强而法立兮
'guo'gui'che'xi'he'li 过桂车兮合黎
'guo'jia'wei'zhi 国家为只
'guo'shang'cao'wu'ge'xi'pi'xi'jia 国殇操吾戈兮披犀甲
'guo'wan'shou'xi'yi'yi 过万首兮嶷嶷
'guo'wu'ren'mo'wo'zhi'xi 国无人莫我知兮
'guo'xia'shou'er'xi'fu'xi 过夏首而西浮兮
'guo'you'ji'er'bu'zhi'cheng'xi 国有骥而不知乘兮
'hai'gu'gao'qiu'qi'ru'sa'xi 还顾高丘泣如洒兮
'hai'gu'juan'juan 还顾睠睠
'hai'gu'shi'su'xi 还顾世俗兮
'hai'ji'jun'zhi'wu'yang 还及君之无恙
'hai'shi'ku'gou 醢豕苦狗
'hai'yu'che'yu'nan'ying'xi 还余车於南郢兮
'han'hang'xie'yi'chang'sheng 含沆瀣以长生
'han'ning'ning'zhi 寒凝凝只
'han'su'shui'er'meng'shen'xi 含素水而蒙深兮
'han'xin'meng'yu'jie'zhou'xi 韩信蒙於介胄兮
'han'you'qiang'lao'xi'chou'wu'le 含忧强老兮愁无乐
'hao'bi'mei'er'cheng'e 好蔽美而称恶
'hao'bi'mei'er'ji'du 好蔽美而嫉妒
'hao'fu'ren'zhi'kang'kai 好夫人之忼慨
'hao'fu'ren'zhi'kang'kai 好夫人之慷慨
'hao'gui'shu'zhi'dong'rong 好桂树之冬荣
'hao'hao'yuan'xiang 浩浩沅湘
'hao'jie'zhi'zheng 豪傑执政
'hao'kua'jia'li'xi 好姱佳丽兮
'hao'yi'feng'zhi'ji'chu 好遗风之激楚
'he'bai'cao'xi'shi'ting 合百草兮实庭
'he'bai'xing'zhi'zhen'qian 何百姓之震愆
'he'bao'pu'er'qi'xue'xi 和抱璞而泣血兮
'he'ben'he'hua 何本何化
'he'bian'hua'yi'zuo'zha 何变化以作诈
'he'bian'yi'zhi'ke'wei 何变易之可为
'he'bo'xi'kai'men 河伯兮开门
'he'bo'yu'nv'you'xi'jiu'he 河伯与女游兮九河
'he'bu'bian'ci'zhi'ye 何不变此志也
'he'bu'bu'qi'zao'er'chuo'qi'shi 何不餔其糟而歠其酾
'he'bu'gai'hu'ci'du 何不改乎此度
'he'bu'gu'qi'ni'er'yang'qi'bo 何不淈其泥而扬其波
'he'bu'ke'er'xing'zhi 何不课而行之
'he'ceng'hua'zhi'wu'shi'xi 何曾华之无实兮
'he'cheng'mou'xia'jie 何承谋夏桀
'he'chu'guo'xi'nan'hua 何楚国兮难化
'he'chu'lao'zhi 和楚酪只
'he'chu'li'zhi 和楚沥只
'he'dao'qu'zhi 何道取之
'he'dian'yi'jue'shou 何颠易厥首
'he'diao'du'yi'zi'yu'xi 和调度以自娱兮
'he'du'le'si'zhi'jian'jian'xi 何独乐斯之蹇蹇兮
'he'e'fu'bi 何恶辅弼
'he'fa'he'you 何罚何佑
'he'fan'lan'zhi'fu'yun'xi 何氾滥之浮云兮
'he'fan'niao'cui'ji 何繁鸟萃棘
'he'fang'cao'zhi'zao'yao'xi 何芳草之早殀兮
'he'fang'huan'zhi'neng'zhou'xi 何方圜之能周兮
'he'feng'chang'zhi 何逢长之
'he'feng'gong'xie'shi 何冯弓挟矢
'he'gan'tian'yi'zhui 何感天抑坠
'he'gu'shen'si'gao'ju 何故深思高举
'he'gu'xi'jiu'liu 何故兮久留
'he'gu'zhi'yu'si 何故至於斯
'he'hai'ying'long 河海应龙
'he'hao'yu'shi 何号于市
'he'he'er'hui 何阖而晦
'he'hou'yi'zuo'ge 何后益作革
'he'huan'chuan'zi'lv'she'qiu'ling 何环穿自闾社丘陵
'he'hui'ji'zhi'fu'fu 何回极之浮浮
'he'hui'ming'zhi'ruo'sui 何晦明之若岁
'he'hui'yu'zhi'mei'mei 何毁誉之昧昧
'he'jian'wu'qi 何践吾期
'he'jiang'ba'xi'qiong'fang 盍将把兮琼芳
'he'jie'zhou'zhi'chang'pi'xi 何桀纣之昌披兮
'he'jin'he'li 何尽何历
'he'jun'chen'zhi'xiang'shi'xi 何君臣之相失兮
'he'kai'er'ming 何开而明
'he'kuang'yi'guo'zhi'shi'xi 何况一国之事兮
'he'li'xin'zhi'ke'tong'xi 何离心之可同兮
'he'ling'che'bi'qi'she 何令彻彼岐社
'he'ling'hun'zhi'xin'zhi'xi 何灵魂之信直兮
'he'neng'yi 何能依
'he'qi'bi'xiao'chen 何乞彼小臣
'he'qi'bu'shu'yu'qing 曷其不舒予情
'he'qi'tong'yan 何气通焉
'he'qi'wei'you 何启惟忧
'he'qin'jiu'shang'di'fa 何亲就上帝罚
'he'qin'kui'fa 何亲揆发
'he'qin'zi'tu'mu 何勤子屠母
'he'qing'yun'zhi'liu'lan'xi 何青云之流澜兮
'he'qiong'pei'zhi'yan'jian'xi 何琼佩之偃蹇兮
'he'qiu'yu'sao 何求于嫂
'he'qu'he'cong 何去何从
'he'quan'heng'zhi'neng'cheng 何权衡之能称
'he'ri'ye'er'wang'zhi 何日夜而忘之
'he'sao'sao'er'zi'gu 何骚骚而自故
'he'shan'shi'zhi'zhan'yan'xi 何山石之崭岩兮
'he'shao'kang'zhu'quan 何少康逐犬
'he'sheng'ren'zhi'yi'de 何圣人之一德
'he'shi'shang'zi'yu 何试上自予
'he'shi'su'zhi'gong'qiao'xi 何时俗之工巧兮
'he'shou'neng'yan 何兽能言
'he'shou'yao'xi'zai'yu 何寿夭兮在予
'he'shui'yin'yin'qing'suo'yuan'xi 河水淫淫情所原兮
'he'si'quan'shi 何肆犬豕
'he'suan'ruo'ku 和酸若苦
'he'suo'bu'si 何所不死
'he'suo'de'yan 何所得焉
'he'suo'dong'nuan 何所冬暖
'he'suo'du'wu'fang'cao'xi 何所独无芳草兮
'he'suo'ji 何所急
'he'suo'ji 何所讥
'he'suo'xia'han 何所夏寒
'he'suo'yi 何所悒
'he'suo'yi'yan 何所意焉
'he'suo'you'zhi'duo'fang 何所忧之多方
'he'tiao'fang'zhi'fa 何条放致罚
'he'wang'ying'ban'lu 何往营班禄
'he'wei'hu'si'fang'xie 何为乎四方些
'he'wu'yue'yu'ba'ling'xi 合五岳与八灵兮
'he'xi'ri'zhi'fang'cao'xi 何昔日之芳草兮
'he'xian'xi'zhi'ji'du'xi 何险巇之嫉妒兮
'he'xian'zheng'rou'zhi'gao 何献蒸肉之膏
'he'xu'chu'ji'ye 何续初继业
'he'xu'yu'er'wang'fan 何须臾而忘反
'he'yi'an'zhi 何以安之
'he'yi'dian'zhi 何以窴之
'he'yi'fei'zhi 何以肥之
'he'yi'fen'zhi 何以坟之
'he'yi'hou'zhi 何以厚之
'he'yi'huai'zhi 何以怀之
'he'yi'jiang'zhi 何以将之
'he'yi'shi'zhi 何以识之
'he'yi'xi'hui'dai 荷衣兮蕙带
'he'yi'xing'zhi 何以兴之
'he'yi'xing'zhi 何以行之
'he'yi'ying'zhi 何以膺之
'he'yi'zhi'she'ge 何羿之射革
'he'you 何忧
'he'you'bing'tou 何由并投
'he'you'kao'zhi 何由考之
'he'yuan'wei'xie 何远为些
'he'yun'xian'shi'zhi'bu'chu 何云贤士之不处
'he'zhen'chen'zhi'wu'zui'xi 何贞臣之无罪兮
'he'zhi'fang'zhi 和致芳只
'he'zhi'qian'zhi 何之迁之
'he'zhou'dao'zhi'ping'yi'xi 何周道之平易兮
'he'zhou'zhi'ming'yi'zi'jie 何周之命以咨嗟
'he'zhuang'wu'li 何壮武历
'he'zu'guan'tang 何卒官汤
'hei'shui'xuan'zhi 黑水玄趾
'hen'li'yu'zhi'gu'xiang 恨离予之故乡
'hen'qi'shi'shi'er'wu'dang 恨其失时而无当
'hen'shen'zi'zhi'chen'jiang 恨申子之沉江
'heng'bing'ji'de 恆秉季德
'heng'chui'ti'xi'xuan'liu 横垂涕兮泫流
'heng'da'jiang'xi'yang'ling 横大江兮扬灵
'heng'er'bu'liu'xi 横而不流兮
'heng'fei'gu'yi'nan'zheng 横飞谷以南征
'heng'liu'ti'xi'chan'yuan 横流涕兮潺湲
'heng'mi'luo'er'xia'li 横汨罗而下历
'heng'si'hai'xi'yan'qiong 横四海兮焉穷
'heng'xie'shi'er'bu'qu'rong 横邪世而不取容
'heng'zhi'diao'xi'ying'ming 蘅芷彫兮莹嫇
'heng'zhou'hang'er'ji'xiang'xi 横舟航而济湘兮
'hong'bi'sha'ban 红壁沙版
'hong'cai'xi'xing'yi 红采兮骍衣
'hong'hu'dai'you 鸿鹄代游
'hong'lu'xi'zhen'chi 鸿鸕兮振翅
'hong'ni'fen'qi'zhao'xia'xi 虹霓纷其朝霞兮
'hong'quan'ji'shen 洪泉极深
'hong'rong'yi'er'tao'dang 鸿溶溢而滔荡
'hong'yong'lu'you'jia'ming 鸿永路有嘉名
'hou'di'shi'xiang 后帝是飨
'hou'fei'lian'shi'ben'shu 後飞廉使奔属
'hou'he'nu 后何怒
'hou'he'xi 后何喜
'hou'shang'ke'yi'cuan'cang 後尚可以竄藏
'hou'shu'qing'she 後属青蛇
'hou'ting'xu'er'chu'shi'xi 后听虚而黜实兮
'hou'tu'chi'qi'jiu 后土持其久
'hou'tu'he'shi'er'de'gan 后土何时而得漧
'hou'wen'chang'shi'zhang'xing'xi 後文昌使掌行兮
'hou'xin'zhi'zu'hai'xi 后辛之菹醢兮
'hou'zi'cheng'fu 後兹承辅
'hou'zi'cheng'zhi'cong'cong 後辎乘之从从
'hu'ao'xiang'zhi'yan'bo 忽翱翔之焉薄
'hu'bao'dou'xi'xiong'pi'pao 虎豹斗兮熊罴咆
'hu'bao'jiu'guan 虎豹九关
'hu'bao'wan'zhi 虎豹蜿只
'hu'bao'xue 虎豹穴
'hu'ben'zou'yi'xian'hou'xi 忽奔走以先後兮
'hu'biao'teng'xi'fu'yun 忽飙腾兮浮云
'hu'chi'wu'yi'zhui'zhu'xi 忽驰骛以追逐兮
'hu'cuan'xi'zhi'ji 鹄竄兮枳棘
'hu'du'yu'yu'xi'mu'cheng 忽独与余兮目成
'hu'fan'gu'xi'xi'you 忽反顾兮西囿
'hu'fan'gu'yi'liu'ti'xi 忽反顾以流涕兮
'hu'fan'gu'yi'you'mu'xi 忽反顾以游目兮
'hu'fu'ai'yi'ying'yao'xi 户服艾以盈要兮
'hu'gong'chi'er'bu'zhang'xi 弧弓弛而不张兮
'hu'hu'wu'jiang'xing 忽乎吾将行
'hu'hu'wu'jiang'xing'xi 忽乎吾将行兮
'hu'jiang'li'yu'pi'zhi'xi 扈江离与辟芷兮
'hu'lan'man'er'wu'cheng 忽烂漫而无成
'hu'li'xi'mei'mei 狐狸兮徾徾
'hu'lin'ni'fu'jiu'xiang 忽临睨夫旧乡
'hu'mu'yi'xiao 嫮目宜笑
'hu'qing'wu'yi'chan'yuan 忽倾寤以婵媛
'hu'rong'rong'qi'an'zhi'xi 忽容容其安之兮
'hu'ruo'qu'bu'xin'xi 忽若去不信兮
'hu'she'fu'he'bo 胡射夫河伯
'hu'shen'ben'er'gui'guai 忽神奔而鬼怪
'hu'si'bi'shou'qiu 狐死必首丘
'hu'si'bi'shou'qiu'xi 狐死必首丘兮
'hu'si'zheng'xi'yu'ting'zhong 虎兕争兮於廷中
'hu'suan'juan'fu 鹄酸臇凫
'hu'tun'qi'zhi'rong'rong 扈屯骑之容容
'hu'wang'shen'zhi'jian'pin 忽忘身之贱贫
'hu'wei'ci'tang 胡为此堂
'hu'wei'hua'qi'nan'qian 忽纬繣其难迁
'hu'wei'shi'bu'tong'wei 胡为嗜不同味
'hu'wei'zhi'guo'yan 忽谓之过言
'hu'wu'bai'xie 呼五白些
'hu'wu'xing'ci'liu'sha'xi 忽吾行此流沙兮
'hu'xiao'er'gu'feng'zhi'xi 虎啸而谷风至兮
'hu'yi'kua'zhi 嫭以姱只
'hu'zhong'bi'yu'you'hu 胡终弊于有扈
'hua'cai'yi'xi'ruo'ying 华采衣兮若英
'hua'deng'cuo'xie 华镫错些
'hua'long'she'xie 画龙蛇些
'hua'rong'bei'xie 华容备些
'hua'wei'huang'xiong 化为黄熊
'hua'zhuo'ji'chen 华酌既陈
'huai'bai'wang'luo 坏败罔罗
'huai'de'xi'he'du 怀德兮何睹
'huai'fen'xiang'er'xie'hui'xi 怀芬香而挟蕙兮
'huai'hen'xi'jian'nan 怀恨兮艰难
'huai'ji'mou'er'bu'jian'yong'xi 怀计谋而不见用兮
'huai'jiao'liao'zhi'she'she'xi 怀椒聊之蔎蔎兮
'huai'jiao'xu'er'yao'zhi 怀椒糈而要之
'huai'jin'wo'yu'xi 怀瑾握瑜兮
'huai'lan'chai'zhi'fen'fang'xi 怀兰茝之芬芳兮
'huai'lan'hui'yu'heng'zhi'xi 怀兰蕙与衡芷兮
'huai'lan'ying'xi'ba'qiong'ruo 怀兰英兮把琼若
'huai'sha'li'er'zi'chen'xi 怀沙砾而自沉兮
'huai'sha'tao'tao'meng'xia'xi 怀沙滔滔孟夏兮
'huai'wan'yan'yi'wei'xin 怀琬琰以为心
'huai'wan'yan'zhi'hua'ying 怀琬琰之华英
'huai'wo'xi'sheng'jing 怀我兮圣京
'huai'xin'cha'chi 怀信侘傺
'huai'yao'xiang'er'pei'qiong'xi 怀瑶象而佩琼兮
'huai'yin'you'er'li'zi 怀隐忧而历兹
'huai'you'han'qi'he'cha'chi'xi 怀忧含戚何侘傺兮
'huai'zhen'qing'er'bu'fa'xi 怀朕情而不发兮
'huai'zhi'bao'qing 怀质抱青
'huan'dong'fang'xie 絙洞房些
'huan'gong'wen'er'fu'zhi 桓公闻而弗置
'huan'gong'wen'er'zhi'zhi 桓公闻而知之
'huan'li'tian'xia 环理天下
'huan'se'xi'jiao'gu 絙瑟兮交鼓
'huan'wei'xi'qian'mian 雚苇兮仟眠
'huan'zao'er'fang'rui'xi 圜凿而方枘兮
'huan'ze'jiu'chong 圜则九重
'huang'hu'hou'shi'er'ji'chu'xi 黄鹄後时而寄处兮
'huang'hu'xi'yuan'wang 荒忽兮远望
'huang'hu'zhi'yi'ju'xi 黄鹄之一举兮
'huang'hun'yi'wei'qi 黄昏以为期
'huang'ji'xi'shi'qi 惶悸兮失气
'huang'lan'kui'yu'chu'du'xi 皇览揆余初度兮
'huang'men'kai'xi'zhao'xia'tu 皇门开兮照下土
'huang'shan'shan'qi'yang'ling'xi 皇剡剡其扬灵兮
'huang'tai'shi'cheng 璜台十成
'huang'tian'bao'qi'gao'xi 皇天保其高兮
'huang'tian'ji'bu'chun'ming'xi 皇天既不纯命兮
'huang'tian'ji'ming 皇天集命
'huang'tian'ping'fen'si'shi'xi 皇天平分四时兮
'huang'tian'wu'si'a'xi 皇天无私阿兮
'huang'tian'yin'yi'er'qiu'lin'xi 皇天淫溢而秋霖兮
'huang'yu'fu'yi'you'pi 皇舆覆以幽辟
'huang'zhong'hui'qi 黄钟毁弃
'hui'chao'zheng'meng 会晁争盟
'hui'gu'ming'xi'jiu'jiu 蟪蛄鸣兮啾啾
'hui'jiao'long'shi'liang'jin'xi 麾蛟龙使梁津兮
'hui'ming'ming'er'yong'bi 晦冥冥而壅蔽
'hui'qi'an'zai 惠气安在
'hui'xiang'dao'zhi'bu'cha'xi 悔相道之不察兮
'hui'xiang'yuan'er'yuan'qian 回湘沅而远迁
'hui'xie'pi'er'bu'neng'ru'xi 回邪辟而不能入兮
'hui'yao'zheng'xi'lan'ji 蕙肴蒸兮兰藉
'hui'zhen'che'bi'xi'yin'xi 回朕车俾西引兮
'hui'zhen'che'yi'fu'lu'xi 回朕车以复路兮
'hun'chang'shi'er'chang'chou 魂长逝而常愁
'hun'guang'guang'er'nan'xing'xi 魂俇俇而南行兮
'hun'hu'gui'lai 魂乎归徠
'hun'hu'lai'gui 魂乎徠归
'hun'hu'wu'bei 魂乎无北
'hun'hu'wu'dong 魂乎无东
'hun'hu'wu'nan 魂乎无南
'hun'hu'wu'wang 魂乎无往
'hun'hu'wu'xi 魂乎无西
'hun'hun'li'san 魂魂离散
'hun'juan'juan'er'du'shi 魂眷眷而独逝
'hun'mi'huo'er'bu'zhi'lu 魂迷惑而不知路
'hun'miao'miao'er'chi'cheng'xi 魂眇眇而驰骋兮
'hun'po'gui'lai 魂魄归徠
'hun'po'yi'xi'wei'gui'xiong 魂魄毅兮为鬼雄
'hun'qi'chuang'xi'gan'ai 魂悽怆兮感哀
'hun'qiong'qiong'xi'bu'huang'mei 魂茕茕兮不遑寐
'hun'shi'lu'zhi'ying'ying 魂识路之营营
'hun'wang'bi'shi'xie 魂往必释些
'hun'wei'zun'ji 昏微遵迹
'hun'wu'tao'zhi 魂无逃只
'hun'xi'gui'lai 魂兮归徠
'hun'xi'gui'lai 魂兮归来
'hun'yi'xi'er'jiu'shi 魂一夕而九逝
'hun'ying'ying'er'zhi'shu 魂营营而至曙
'hun'zhan'zhan'er'ri'duo 溷湛湛而日多
'hun'zheng'zheng'yi'ji'du'xi 魂聇聇以寄独兮
'hun'zhong'dao'er'wu'hang 魂中道而无杭
'huo'chen'qi'wu'suo'da'xi 或沉其无所达兮
'huo'dan'dian'er'wu'zhi 或黕点而汙之
'huo'dan'man'er'bu'yi 或訑谩而不疑
'huo'qing'ji'qi'wu'suo'tong 或清激其无所通
'huo'tou'he'er'gou'jin'xi 或偷合而苟进兮
'huo'tui'yi'er'gou'rong'xi 或推迻而苟容兮
'huo'yin'ju'er'shen'cang 或隐居而深藏
'huo'zhi'yan'zhi'e'e 或直言之谔谔
'huo'zhong'xin'er'si'jie'xi 或忠信而死节兮
'ji'bu'zhou'jin'er'qiu'fu'xi 骥不骤进而求服兮
'ji'can'da'er'meng'sheng 疾憯怛而萌生
'ji'chong'yang'ru'di'gong'xi 集重阳入帝宫兮
'ji'chou'chu'yu'bi'ju'xi 骥踌躇於弊輂兮
'ji'chu'zhi'jie 激楚之结
'ji'chuang'xian'chu 击床先出
'ji'chui'liang'er'xi 骥垂两耳兮
'ji'feng'guo'zhi'shang'shang 疾风过之汤汤
'ji'fu'rong'yi'wei'shang 集芙蓉以为裳
'ji'gan'jin'er'wu'ru'xi 既干进而务入兮
'ji'han'di'xi'you'yi'xiao 既含睇兮又宜笑
'ji'jiang'hai'xi'chan'tui 济江海兮蝉蜕
'ji'jiao'mei'er'fa'wu'xi 既骄美而伐武兮
'ji'jing'di'qie'ji 既惊帝切激
'ji'lao'xin'xi'chong'chong 极劳心兮忡忡
'ji'li'man'hu'dong'xiang 蒺藜蔓乎东厢
'ji'liao'xi 寂寥兮
'ji'ling'xiu'zhi'yi'wu 冀灵修之壹悟
'ji'lv'er'wu'you'sheng 羁旅而无友生
'ji'mo'zu'yu'wei'mei'zheng'xi 既莫足与为美政兮
'ji'nian'sui'zhi'wei'yan'xi 及年岁之未晏兮
'ji'peng'shi'yi'she'ge 机蓬矢以射革
'ji'pi'zhuan'xi'ying'wu'xu 忌嚭专兮郢吴虚
'ji'qi'yang'yi'rong'yu'xi 楫齐扬以容与兮
'ji'qian'wang'zhi'zhong'wu 及前王之踵武
'ji'qin'jun'er'wu'ta'xi 疾亲君而无他兮
'ji'qiong'du'er'bu'qun'xi 既惸独而不群兮
'ji'rong'hua'zhi'wei'luo'xi 及荣华之未落兮
'ji'ru'xi'qing'ao'zong 罽蕠兮青艹总
'ji'shao'kang'zhi'wei'jia'xi 及少康之未家兮
'ji'sheng'bian'zhi 极声变只
'ji'sheng'hu'jiang'tan 寄生乎江潭
'ji'shi'zhou'pai'huai'xi'han'zhu 疾世周徘徊兮汉渚
'ji'ti'yu'yi'hui'xiang'xi 既替余以蕙纕兮
'ji'ting'fu'ren'zhi'yu'ci 即听夫人之谀辞
'ji'wei'yuan'zi 稷维元子
'ji'wu'man'tang'tan'xi 鸡鹜满堂坛兮
'ji'wu'xiang'wu 鸡鹜翔舞
'ji'xiang'liu'er'nan'ji 济湘流而南极
'ji'xing'jun'zhi'fa'meng 冀幸君之发矇
'ji'xing'mi'zhi'wei'yuan 及行迷之未远
'ji'yan'cheng'xi 骥焉程兮
'ji'yang'zhou'yu'kuai'ji'xi 济杨舟於会稽兮
'ji'yi'fan'zhi'he'shi 冀壹反之何时
'ji'yi'jian'er'fu'gui 冀一见而复归
'ji'yi'wu'er'xi'hai 冀壹寤而锡还
'ji'yi'xi'wei'cai 继以兮微蔡
'ji'yu'shi'zhi'fang'zhuang'xi 及余饰之方壮兮
'ji'yuan'xiang'yi'nan'zheng'xi 济沅湘以南征兮
'ji'zhi'jie'er'bu'wang 暨志介而不忘
'ji'zhi'ye'zhi'jun'mao'xi 冀枝叶之峻茂兮
'ji'zhi'yi'ri'ye 继之以日夜
'ji'zhuan'zhuan'zhi'bu'ke'hua'xi 计专专之不可化兮
'ji'zi'bei'fa'er'yang'kuang 箕子被发而佯狂
'ji'zi'wu'er'yang'kuang 箕子寤而佯狂
'ji'zi'xiang'kuang 箕子详狂
'ji'zun'dao'er'de'lu 既遵道而得路
'jia'ba'long'xi'lian'quan 驾八龙兮连蜷
'jia'ba'long'zhi'wan'wan'xi 驾八龙之婉婉兮
'jia'fei'long'xi'bei'zheng 驾飞龙兮北征
'jia'huang'ji'mo'zhong'bu'fan'xi 嘉皇既殁终不返兮
'jia'ji'xing'xi'wu'wei 嘉己行兮无为
'jia'jian'lv'er'wu'ce'xi 驾蹇驴而无策兮
'jia'liang'long'xi'can'chi 驾两龙兮骖螭
'jia'long'zhou'xi'cheng'lei 驾龙辀兮乘雷
'jia'luan'feng'yi'shang'you'xi 驾鸾凤以上游兮
'jia'mei'xi'min'si 假寐兮愍斯
'jia'nan'zhou'zhi'yan'de'xi 嘉南州之炎德兮
'jia'qing'long'yi'chi'wu'xi 驾青龙以驰骛兮
'jia'qing'qiu'xi'can'bai'chi 驾青虬兮骖白螭
'jia'tai'yi'zhi'xiang'yu 驾太一之象舆
'jia'xuan'chi'xi'bei'zheng 驾玄螭兮北征
'jia'zhi'chao'wu'yi'xing 甲之晁吾以行
'jian'bo'yi'zhi'fang'ji 见伯夷之放迹
'jian'bu'ke'shi'ye 謇不可释也
'jian'cha'chi'er'han'qi 蹇侘傺而含慼
'jian'chao'sui'er'xi'ti 謇朝谇而夕替
'jian'chao'yao'er'wu'ji 蹇超摇而无冀
'jian'chong'jue'er'wu'duan'xi 蹇充倔而无端兮
'jian'di'zai'tai'ku'he'yi 简狄在台喾何宜
'jian'du'huai'ci'yi'lu 蹇独怀此异路
'jian'fang'xin'xi'wu'men 建芳馨兮庑门
'jian'gao'ben'yu'hu'du 渐槀本於洿渎
'jian'han'zhong'er'su'zhi'xi 见韩众而宿之兮
'jian'hong'cai'yi'zhao'zhi 建虹采以招指
'jian'hong'cang'xie 煎鸿鸧些
'jian'hong'jing'xi'wei'yi 建虹旌兮威夷
'jian'huang'xun'zhi'zong'mao 建黄纁之总旄
'jian'ji'chuai'que 煎鰿膗雀
'jian'jian'xi'ai'wo 諓諓兮嗌喔
'jian'jian'zhi'fan'yuan'xi 蹇蹇之烦冤兮
'jian'kuai'xi'ye'mang 菅蒯兮野莽
'jian'li'you'er'gan'gou 蹇离尤而干诟
'jian'lie'ye'xi'chui'xun 建烈业兮垂勋
'jian'lin'li'er'cong'heng 剑淋离而从横
'jian'lv'fu'jia'xi 蹇驴服驾兮
'jian'nan'ying'zhi'liu'feng'xi 见南郢之流风兮
'jian'qi'you'yi'xie 謇其有意些
'jian'qing'ce'er'bu'rong'xi 肩倾侧而不容兮
'jian'ri'yue'yi'wei'gai'xi 建日月以为盖兮
'jian'sao'sao'er'bu'shi 蹇骚骚而不释
'jian'sheng'de'er'hou'xia 见盛德而後下
'jian'shui'liu'xi'zhong'zhou 蹇谁留兮中洲
'jian'wang'zi'er'su'zhi'xi 见王子而宿之兮
'jian'wu'fa'fu'qian'xiu'xi 謇吾法夫前修兮
'jian'wu'yuan'xi 蹇吾原兮
'jian'xiong'hong'zhi'cai'mao'xi 建雄虹之采旄兮
'jian'yan'liu'er'chou'chu 蹇淹留而踌躇
'jian'yan'liu'er'wu'cheng 蹇淹留而无成
'jian'yan'ying'xi'jiu'yu 见鄢郢兮旧宇
'jian'you'song'zhi'yi'nv 见有娀之佚女
'jian'yuan'men'xia 见怨门下
'jian'zhan'huai'er'bu'neng'xing 蹇邅徊而不能行
'jian'zhi'er'bu'ren 坚志而不忍
'jian'zhi'pei'zhe'fei'qi'ren'xi 见执辔者非其人兮
'jiang'chi'xi'si'huang 将驰兮四荒
'jiang'cong'su'fu'gui 将从俗富贵
'jiang'fan'fan'ruo'shui'zhong'zhi'fu'hu 将氾氾若水中之凫乎
'jiang'fang'zhou'er'xia'liu'xi 将方舟而下流兮
'jiang'fen'yi'xi'gao'fei 将奋翼兮高飞
'jiang'he'guang'er'wu'liang 江河广而无梁
'jiang'he'zhi'pan'wu'yin'fu 江河之畔无隐夫
'jiang'li'qi'yu'qiong'xiang'xi 江离弃於穷巷兮
'jiang'li'xi'suo'si 将离兮所思
'jiang'li'xi'yi'juan 江离兮遗捐
'jiang'qu'jun'er'gao'xiang 将去君而高翔
'jiang'qu'zheng'xi'yuan'you 将去烝兮远游
'jiang'sang'xi'yu'dou 将丧兮玉斗
'jiang'sheng'xi'gao'shan 将升兮高山
'jiang'sheng'xia'tu'si'fang 降省下土四方
'jiang'song'wang'lao'lai 将送往劳来
'jiang'sui'nu'ma'zhi'ji'hu 将随驽马之迹乎
'jiang'teng'jia'xi'xie'shi 将腾驾兮偕逝
'jiang'tu'ti'hua'ji 将突梯滑稽
'jiang'wang'da'he 降望大壑
'jiang'wang'guan'hu'si'huang 将往观乎四荒
'jiang'xi'xi'lan'gao 将息兮兰皋
'jiang'xiang'you'you'chang'liu'gu'xi 江湘油油长流汩兮
'jiang'xing'ji'wu'zheng'shi'hu 将兴鸡鹜争食乎
'jiang'yao'zhe'xi'sui'mi 将夭折兮碎糜
'jiang'yi'yi'xi'li'ju 将以遗兮离居
'jiang'yi'yi'xi'xia'nv 将以遗兮下女
'jiang'yi'yi'xi'yuan'zhe 将以遗兮远者
'jiang'you'da'ren 将游大人
'jiang'yu'xia'zhi'bu'ke'she 江与夏之不可涉
'jiang'yun'zhou'er'xia'fu'xi 将运舟而下浮兮
'jiang'zi'xun'xi'huang'xi 将谘询兮皇羲
'jiang'zu'zi'li'si 将哫訾栗斯
'jiao'bu'zhong'xi'yuan'chang 交不忠兮怨长
'jiao'gui'luo'yi'dian'fu'xi 椒桂罗以颠覆兮
'jiao'he'wei'xi'shui'yi 蛟何为兮水裔
'jiao'jun'gui'yi'ren'hui'xi 矫菌桂以纫蕙兮
'jiao'li'shi'zhi 姣丽施只
'jiao'long'qian'yu'xuan'yuan'xi 蛟龙潜於旋渊兮
'jiao'long'xi'dao'yin 蛟龙兮导引
