'bei'bing'zhi 棓丙酯
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'ce 卫生部药品标准新药转正标准第四册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'wu'ce 卫生部药品标准新药转正标准第五册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'yi'ce 卫生部药品标准新药转正标准第一册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'ba'ce 卫生部药品标准中药成方制剂第八册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'er'ce 卫生部药品标准中药成方制剂第二册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'er'shi'ce 卫生部药品标准中药成方制剂第二十册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'jiu'ce 卫生部药品标准中药成方制剂第九册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'liu'ce 卫生部药品标准中药成方制剂第六册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'qi'ce 卫生部药品标准中药成方制剂第七册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'san'ce 卫生部药品标准中药成方制剂第三册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'ba'ce 卫生部药品标准中药成方制剂第十八册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'ce 卫生部药品标准中药成方制剂第十册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'er'ce 卫生部药品标准中药成方制剂第十二册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'jiu'ce 卫生部药品标准中药成方制剂第十九册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'liu'ce 卫生部药品标准中药成方制剂第十六册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'qi'ce 卫生部药品标准中药成方制剂第十七册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'san'ce 卫生部药品标准中药成方制剂第十三册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'si'ce 卫生部药品标准中药成方制剂第十四册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'wu'ce 卫生部药品标准中药成方制剂第十五册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'shi'yi'ce 卫生部药品标准中药成方制剂第十一册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'si'ce 卫生部药品标准中药成方制剂第四册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'wu'ce 卫生部药品标准中药成方制剂第五册
'wei'sheng'bu'yao'pin'biao'zhun'zhong'yao'cheng'fang'zhi'ji'di'yi'ce 卫生部药品标准中药成方制剂第一册
'wu'jin'dong'fang'yi'liao'yong'pin'chang 武进东方医疗用品厂
'yao'ye'gu'fen'you'xian'gong'si 药业股份有限公司
'yao'ye'you'xian'gong'si 药业有限公司
'yao'ye'you'xian'ze'ren'gong'si 药业有限责任公司
'yi'ci'xing'shi'yong'shu'xue'qi 一次性使用输血器
'yi'ci'xing'shi'yong'shu'ye'qi 一次性使用输液器
'yi'ci'xing'shi'yong'wu'jun'zhu'she'qi 一次性使用无菌注射器
'yi'ci'xing'shi'yong'wu'jun'zhu'she'qi'yong'huo'sai 一次性使用无菌注射器用活塞
'yi'liao'qi'xie'chang 医疗器械厂
'zhi'yao'gu'fen'you'xian'gong'si 制药股份有限公司
'zhi'yao'you'xian'gong'si 制药有限公司
'zhi'yao'you'xian'ze'ren'gong'si 制药有限责任公司
'zhong'guo'yao'dian'nian'ban'er'bu 中国药典年版二部
'zhong'guo'yao'dian'nian'ban'yi'bu 中国药典年版一部
'zhong'guo'yi'yuan'zhi'ji'gui'fan'xi'yao'zhi'ji'di'er'ban 中国医院制剂规范西药制剂第二版
'zhong'yao'yin'pian'chang 中药饮片厂
'zhu'she'ye 注射液
'zhu'she'ye'yong'lu'hua'ding'ji'xiang'jiao'sai 注射液用卤化丁基橡胶塞
'zhu'she'yong 注射用
'zhu'she'yong'ao'mei'la'zuo'na 注射用奥美拉唑钠
'zhu'she'yong'ao'mei'la'zuo'na'zhuan'yong'rong'ji 注射用奥美拉唑钠专用溶剂
'zhu'she'yong'men'dong'xian'an'mei 注射用门冬酰胺酶
'zhu'she'yong'san'lin'suan'xian'gan'fu'mei'yi'dao'su 注射用三磷酸腺苷辅酶胰岛素
'zhu'she'yong'sheng'zhang'yi'su 注射用生长抑素
'zhu'she'yong'tou'bao'pai'tong'na 注射用头孢哌酮钠
'zhu'she'yong'tou'bao'sai'fen'na 注射用头孢噻吩钠
'zhu'she'yong'tou'bao'sai'wo'na 注射用头孢噻肟钠
'zhu'she'yong'yan'suan'an'xiu'suo 注射用盐酸氨溴索
'zhu'she'yong'yi'ji'tai'yuan'mei 注射用胰激肽原酶
