'a'er'ma 阿尔玛
'mu'cun'zhe'ye 木村哲也
'mu'e'jin'biao 母鹅锦标
'mu'ji 募集
'mu'ling 木灵
'mu'ma 牡马
'mu'xia'jin'biao 木下锦标
'na'shi'hai 那时还
'nai'cun'jia'ying 奈村佳盈
'nai'li'zhong'ma 耐力种马
'nan'bu'bei 南部杯
'nan'jia'ming'cheng 南加名城
'nan'suo'pu'jin'biao 楠索普锦标
'nao'zha 闹闸
'nei'hai'kai'sa 内海凯撒
'nei'tian'bo'xing 内田博幸
'ni'cao'shuang'dao 泥草双刀
'ni'di'ri'ben'bei 泥地日本杯
'ni'di'san'guan 泥地三冠
'ni'er'jin'biao 尼尔锦标
'ni'er'ke 尼尔可
'ni'er'ke 尼尔科
'ni'pen'she 逆喷射
'ni'zhen'si'ji 尼真斯基
'nian'teng 年藤
'ning'shen 凝神
'niu'jing'fu'xing 牛精福星
'nong'shen'jie'qing 农神节庆
'nuo'si'xun'jue 诺斯勋爵
'nv'huang'an'ni'jin'biao 女皇安妮锦标
'nv'huang'yi'li'sha'bai'er'shi'jin'biao 女皇伊丽莎白二世锦标
'nv'huang'yin'xi'ji'nian'bei 女皇银禧纪念杯
'ou'mi'ga'xiang'shui 欧米伽香水
'ou'san'guan 欧三冠
'ou'zhou'da'sai 欧洲大赛
'pa'ban 爬坂
'pa'ding'dun 帕丁顿
'pa'po 爬坡
'pan'dun 潘顿
'pang'guan'zhe'qing 旁观者清
'pao'dao 跑道
'pao'fa 跑法
'pao'ma'di 跑马地
'pao'zi 跑姿
'pei'zhong 配种
'peng'guo'nian 彭国年
'pi'li'zhan'ju 霹雳战驹
'pi'pa'chen'guang 琵琶晨光
'piao'yang'qing'fan 飘扬青帆
'pin'ma 牝马
'pin'ma'san'guan 牝马三冠
'pin'ma'zhan'xian 牝马战线
'pin'xi 牝系
'pin'xian 牝限
'ping'di'su'du'sai'ma 平地速度赛马
'ping'yi'jun'zi 平易君子
'po'huai'zhe 破坏者
'pu'su'wu'hua 朴素无华
'qi'bao'huo'yao 起爆火药
'qi'cao 气槽
'qi'feng'le 起风了
'qi'gai'lin'ran 气概凛然
'qi'miao 奇妙
'qi'miao'kai'sa 奇妙凯撒
'qi'mou'gong 奇谋宫
'qi'qi'pao 齐齐跑
'qi'rui'jun 奇锐骏
'qi'se'xian 七色线
'qi'shi'xiong 气势雄
'qi'shou 骑手
'qi'xing 气性
'qi'xing'cha 气性差
'qi'yi'guang'mang 奇异光芒
'qi'yi'li 祈义理
'qi'yu'bei 琦玉杯
'qi'zi'hao 气自豪
'qian'cao'huang'di 浅草皇帝
'qian'cao'tian'yuan 浅草田园
'qian'mi'tong'guo 千米通过
'qian'ming'dai'biao 千明代表
'qian'ren'zu'ji 前人足迹
'qian'shao'zhan 前哨战
'qian'xi'da'wang 千禧大王
'qian'ye'chuan'shuo 千夜传说
'qiang'ji 强击
'qiao'zhi'xun'zhang 乔治勋章
'qin'jian'gao'zou 琴键高奏
'qing'bang 轻磅
'qing'chun'yong'zhu 青春永驻
'qing'fang'song 请放松
'qing'lu'mao 青鹿毛
'qing'shuang'kou'wei 清爽口味
'qing'ye'shang 青叶赏
'qing'zhu'hui'yi 青竹回忆
'qiu'hua'shang 秋华赏
'qiu'ji'er 丘吉尔
'qiu'ji'er'yuan 邱吉尔园
'qiu'ji'tian'huang'shang 秋季天皇赏
'qiu'san'guan 秋三冠
'qu'jian'yan 屈腱炎
'qu'mo'ke 驱魔客
'qu'sheng'mi'ji 取胜秘技
'qu'ya'qi 屈亚骐
'quan'li'tian'yu 权利天予
'quan'ri'ben'liang'sui'you'jun 全日本两岁优骏
'quan'tan'qi'ji 拳坛奇迹
'que'la 却拉
'que'zhan'jiu'chao 雀占鸠巢
'rang'bang 让磅
'rang'bang'sai 让磅赛
'rang'fen 让分
'rang'sai 让赛
'rao'she'da'ren 饶舌达人
're'bao'jing'dian 热爆景点
're'chen'zhen'zhi 热忱真挚
'ren'min'zhi'ma 人民之马
'ren'yu'jin'biao 人鱼锦标
'ri'ben'bei 日本杯
'ri'ben'de'bi 日本德比
'ri'ben'di'wang 日本帝王
'ri'ben'dian'tang 日本殿堂
'ri'ben'ni'di'de'bi 日本泥地德比
'ri'ben'ni'di'jing'dian'sai 日本泥地经典赛
'ri'ben'yu'ma'zhe'bei'jing'dian'sai 日本育马者杯经典赛
'ri'chu'jiu'shen 日出酒神
'ri'chu'zhi'guo 日出之国
'ri'lian 日练
'ri'ping'xian 日平线
'ri'qi 日骑
'ri'shi 日蚀
'ri'shi'da'sai 日蚀大赛
'ri'shi'jiang 日蚀奖
'ri'xin'yue'yi 日新月异
'ri'zhao'fei'jun 日照飞骏
'rong'hou'zai'jue 容后再决
'rong'jin'dai'biao 荣进代表
'rong'jin'kuai'ti 荣进快蹄
'rong'jin'shan'yao 荣进闪耀
'rong'jin'shen'ju 荣进神驹
'ru'zhe 入着
'rui'shi'ming'biao 瑞士名表
'ruo'yun'shu 弱运输
'sa'la'tuo'jia 萨拉托加
'sa'sai'ke'si'jin'biao 萨塞克斯锦标
'sa'tu 萨图
'sai'cheng'an'pai 赛程安排
'sai'ji 赛季
'sai'ju 赛驹
'sai'ma'chang 赛马场
'sai'ma'da'heng 赛马大亨
'sai'ma'hui'jin'bei 赛马会金杯
'san'bai'yan 三白眼
'san'guan 三冠
'san'lang 三浪
'san'lian'dan 三连单
'san'lian'guan 三连冠
'san'lian'hua 三联画
'san'lian'tu 三联图
'san'nv'shen 三女神
'san'pai'zi 三拍子
'san'pu'huang'cheng 三浦皇成
'san'rong'ming'xie 三荣鸣谢
'san'shan'huan'rao 三山环绕
'san'sheng'ji 三胜级
'san'xian 三限
'san'xiong'pan'ling 三雄判令
'sen'lin'bao'xue 森林宝穴
'sen'lin'da'sai 森林大赛
'sha'fang'li 沙坊力
'sha'la'tan'ni 沙拉坦尼
'sha'mo'lan'hua 沙漠兰花
'sha'qiu'yuan 沙丘园
'sha'tian'yin'ping 沙田银瓶
'sha'zhi'gui'fu 砂之贵妇
'shan'ben'qing 杉本清
'shan'liang'jia'zhou 闪亮加州
'shan'ma 骟马
'shan'zhong'ming'zhu 山中明珠
'shang'di'yi 尚蒂伊
'shang'dong'ying 赏东瀛
'shang'duo'hu 尚多湖
'shang'jin 赏金
'shang'jin'wang 赏金王
'shang'liu'gui'fu 上流贵妇
'shang'luo'wan'ni'jin'biao 尚罗万尼锦标
'shang'xia'qiu'suo 上下求索
'shang'yue 赏月
'shao'zhong 稍重
'she'ji'ming'shi 设计名师
'she'tai 社台
'she'tai'xi 社台系
'she'wen'shi 蛇纹石
'she'zhang 社长
'shen'deng'guang'zhao 神灯光照
'shen'ji'cheng 沈集成
'shen'wei'qi'shi 神威启示
'shen'ye 神业
'shen'ying 神鹰
'shen'ying'zhan'chi 神鹰展翅
'shen'zan 神赞
'shen'zhi'ma 神之马
'shen'zhi'yong'jin 神志勇进
'sheng'an'ni'ta 圣安妮塔
'sheng'an'ni'ta'de'bi 圣安妮塔德比
'sheng'cheng 声称
'sheng'chu'guang'cai 胜出光彩
'sheng'dan'kua'lan 圣诞跨栏
'sheng'dan'you'xing 圣诞游行
'sheng'duo'li'da 胜多利大
'sheng'gang 盛冈
'sheng'ge'lu'da'sai 圣格卢大赛
'sheng'ju'zai'wang 胜局在望
'sheng'li'jiang'quan 胜利奖券
'sheng'lie'te 圣烈特
'sheng'lie'zhi'jin'biao 圣烈治锦标
'sheng'ma 胜马
'sheng'niu 圣牛
'sheng'qi 生气
'sheng'qian'li 胜千里
'sheng'shang'lv 胜上率
'sheng'tang 圣堂
'sheng'xi'meng 圣西蒙
'sheng'ya'ni'ta 圣雅尼塔
'sheng'ye'di'du'si 生野狄杜斯
'sheng'zhan'mu'shi'huang'gong'jin'biao 圣詹姆士皇宫锦标
'sheng'zhi'shi 胜之石
'sheng'zuo'wei 圣佐维
'shi'dian 十点
'shi'gou'wei 实够威
'shi'huan'qiang'wei 十欢蔷薇
'shi'ji 实绩
'shi'ji'zhi'ma 世纪之马
'shi'jia 识价
'shi'jia'ji 世家集
'shi'jian'bei'lun 时间悖论
'shi'jie'ba'zhu 世界霸主
'shi'jie'ma'wang 世界马王
'shi'jie'shou'ying 世界首映
'shi'jin'feng 时津风
'shi'jin'wang 时津王
'shi'mi'fu'jin'biao 史密夫锦标
'shi'pi'bao 史匹堡
'shi'ren'zuo'jia 诗人作家
'shi'shi'jing'cai 时时精彩
'shi'su'er 施素尔
'shi'wen'jin 实稳金
'shi'xing 适性
'shi'yan 誓言
'shi'ye'zhou'ri 石野周日
'shi'yi'cheng 施奕诚
'shi'ying'xing 适应性
'shi'yong'bang 史永邦
'shi'zha 试闸
'shi'zhuo'dong 史卓栋
'shi'zi'de'ban 狮子德班
'shi'zi'hui 十字徽
'shou'cheng 收成
'shou'de 收得
'shou'quan 授权
'shu'lin'zhi'ling 树林之灵
'shuang'wo'lun 双涡轮
'shui'che'jiao'shi 水车礁石
'shui'dao'qu'cheng 水到渠成
'shuo'chang'zhuan'ji 说唱专辑
'shuo'shuo'duo 烁烁多
'shuo'xin'shang'wu 硕信尚武
'si'chou'hui 丝绸会
'song'da'ju 送达驹
'song'dao'zheng'zhao 松岛正昭
'song'shan'hong'ping 松山弘平
'song'zan'mu'xing 颂赞木星
'su'du'da'shi 速度大师
'su'du'sai'ma 速度赛马
'su'du'xiang'zheng 速度象征
'su'du'zhi'shu 速度指数
'su'lin'mei'ya 苏林美亚
'su'ming'lun 苏铭伦
'su'zhao'hui 苏兆辉
'sui'xin'qi'wu 随心起舞
'suo'cheng 缩程
'suo'xiang'pi'mi 所向披靡
'ta'pi'te 塔皮特
'tai'feng'cui'si 台风翠丝
'tai'kong'yun'shi 太空陨石
'tai'ping'yang'jing'dian'sai 太平洋经典赛
'tai'yang'shen'ji 太阳神骥
'tai'yang'zhan'che'jin'biao 太阳战车锦标
'tan'cha'nan'hai 探查男孩
'tan'chang'ju 谈唱剧
'tan'tiao'ren 弹跳人
'tang'ji'kuai'pao 唐吉快跑
'tang'jia'shi'da'yi'li 唐加士打一哩
'tang'ka'si'te 唐卡斯特
'tao'hua'mu 桃花木
'tao'jin'zhe 淘金者
'tao'ma 逃马
'tao'qie 逃切
'te'bie'zhou 特别周
'te'cha'shu 特察殊
'teng'gang'you'jie 藤冈佑介
'teng'tian'jin 藤田晋
'ti'huo'da 蹄活达
'ti'qi'jin 蹄起劲
'tian'cai'wu'zhe 天才舞者
'tian'chun 天春
'tian'ci'bao'ju 天赐宝驹
'tian'gao 天高
'tian'kou'guan'tai 田口贯太
'tian'lan'sai'ma 天览赛马
'tian'lang'xing'xiang'zheng 天狼星象征
'tian'qiu 天秋
'tian'tai'an 田泰安
'tian'tang'zhong'zhan 天堂中站
'tian'xia'wei'yi 天下唯一
'tian'ying'ao'xiang 天鹰翱翔
'tian'zhong'bo'kang 田中博康
'tiao'jiao'shi 调教师
'tiao'jiu'yuan'liu 调酒源流
'tiao'lan 跳栏
'tiao'wu'cheng 跳舞城
'tie'chu'cheng'zhen 铁杵成针
'tie'jiao 铁脚
'tie'lu'lian'xian 铁路连线
'tie'niao'ao'tian 铁鸟翱天
'tie'sheng'long 铁胜龙
'ting'er'zou'xian 铤而走险
'tong'gong'zhi'miao 同工之妙
'tong'zhe 同着
'tong'zhi'di'wei 统治地位
'tou'cha 头差
'tou'ma 头马
'tu'ji 突击
'tu'zuo'lv 土佐绿
'tuan'ye'da'cheng 团野大成
'tui'qi 推骑
'tui'yi'ma 退役马
'tui'yi'yi'shi 退役仪式
'tuo'chu 脱出
'wa'ge'na'feng 瓦格纳风
'wan'bao'lu'bei 万宝路杯
'wan'de'le 万得乐
'wan'jiao'shi'zi 弯角十字
'wan'li'jia'duo 万利嘉多
'wan'liu'yuan 湾流园
'wan'ma 挽马
'wan'qian'chong'ai 万千宠爱
'wan'shan'si'ji 丸善斯基
'wan'sheng'fei 万胜飞
'wan'shu 晚熟
'wang'kong 望空
'wang'luo'you'dian 网络邮电
'wang'xia'wang 旺虾王
'wang'zi'ding 旺紫丁
'wang'zu 望族
'wei'da'zheng'cheng 伟大征程
'wei'duo'li'ya'yi'li 维多利亚一哩
'wei'er'dun 威尔顿
'wei'er'shi'qin'wang'jin'biao 威尔士亲王锦标
'wei'gang'zhi'neng 维港智能
'wei'ji'li 韦纪力
'wei'li'an 韦利安
'wei'sheng 维省
'wei'sheng'li 未胜利
'wei'shi 韦氏
'wen'cai'hou'fu 文采侯妇
'wen'jia'liang 文家良
'wen'luo 温萝
'wen'xue'ma 温血马
'wen'ya'zhi'shi 文雅之士
'wen'ze 问责
'wo'de'zhi'bao 我的至宝
'wo'ju'chang'shan 我驹长山
'wo'qing'ke'dai 我情可待
'wu'bai'san'guan 无败三冠
'wu'ban 舞伴
'wu'di'xian'feng 无敌先锋
'wu'feng 武丰
'wu'la'la 乌拉拉
'wu'peng'zhi 伍鹏志
'wu'sheng'ling'lu 无声铃鹿
'wu'xi'wang 武希望
'wu'xing'si'lang 武幸四郎
'wu'ye'si'rong 武野丝绒
'wu'yue'mei'gui 五月玫瑰
'xi'fang'jun'ma 西方骏马
'xi'gao'shang 喜高尚
'xi'guo'si 郗国思
'xi'li'shi'lu 喜利是路
'xi'lian'zhi'xing 喜莲之星
'xi'sha'li'ao 西沙里奥
'xi'wang'jin'biao 希望锦标
'xi'wang'zhi'cheng 希望之城
'xi'ya'tu'hui'xuan 西雅图回旋
'xi'ye'chu'ju 西野雏菊
'xi'ye'hua 西野花
'xi'you 西友
'xia'ma'dao 侠马道
'xia'wei'yi'niao 夏威夷鸟
'xia'wei'yi'wang 夏威夷王
'xia'xin'cun 夏辛村
'xian'di 现地
'xian'fa'shan 宪法山
'xian'hong'ye 鲜红叶
'xian'li'da 先力达
'xian'tuan 先团
'xian'xin'xing 显心星
'xian'ya'jun'feng 险涯峻峰
'xian'yi 现役
'xian'yong'ming'ju 先勇名驹
'xian'yue'qi 弦乐器
'xiang'bin'jin'biao 香槟锦标
'xiang'bin'zuan 香槟钻
'xiang'cun'qing'lang 乡村情郎
'xiang'gang'bei 香港杯
'xiang'gang'duan'tu'jin'biao 香港短途锦标
'xiang'gang'guan'jun'ji'zhe'da'bei 香港冠军暨遮打杯
'xiang'gang'ping 香港瓶
'xiang'gang'yi'li'jin'biao 香港一哩锦标
'xiang'li'lun 向礼伦
'xiang'ma 相马
'xiang'ma'yan 相马眼
'xiang'mu'cheng 橡木城
'xiang'nan'mo'ping 湘南魔瓶
'xiang'shu'da'sai 橡树大赛
'xiao'cun'bai'ma 小村白马
'xiao'lin'li'qi 小林历奇
'xiao'shu'le'ji 消暑乐祭
'xiao'shuo'ming'jia 小说名家
'xiao'zhen'feng'qing 小镇风情
'xiao'zhi'jiao'wa 骁智娇娃
'xie'rong'long'tou 协荣龙头
'xie'zou'xiao'zi 协奏小子
'xin'di'jia 辛迪加
'xin'guang'feng 新光风
'xin'jiao 心叫
'xin'ke'cheng'zhen 信可成真
'xin'lu'xiang 新路向
'xin'ma'zhan 新马战
'xin'nian 信念
'xin'shi'chang 新市场
'xin'wang'chao 新王朝
'xin'xi 新潟
'xin'xi'ji'nian 新潟纪念
'xin'xie'shi'pai 新写实派
'xin'ya'da 信雅达
'xin'yu'zhou 新宇宙
'xin'zhi'suo'mu 心之所慕
'xin'zi'zhi'meng 信子之梦
'xing'mu 杏目
'xing'mu'fei'ying 醒目飞鹰
'xing'mu'qiong'si 醒目琼斯
'xing'ying'ming 幸英明
'xing'ying'tian'xia 星映天下
'xing'yun'tian'kong 星云天空
'xiong'xin'wei'long 雄心威龙
'xiu'fa'sheng'feng 秀发生风
'xiu'yi'xiao'dao 秀逸小岛
'xu'bei'shang'jie 须贝尚介
'xu'xing 续行
'xuan'jin'gui'ji 旋进轨迹
'xuan'zhuan'shi'jie 旋转世界
'xue'ling're'dian 雪岭热点
'xue'man'tian 雪满天
'xue'xi 血系
'xun'jin 寻金
'ya'da'ye 雅大爷
'ya'dou'na'wang'zi 鸭都拿王子
'ya'ge'jin'biao 雅阁锦标
'ya'ling'dun'bai'wan'jin'da'sai 雅灵顿百万金大赛
'ya'shi'gu 雅士谷
'ya'shi'gu'jin'bei 雅士谷金杯
'yan'huo 验货
'yan'ji'ke'xun 艳迹可寻
'yan'ma 阉马
'yan'mei'hua'cai 艳玫华彩
'yan'tian'kang'cheng 岩田康诚
'yan'tian'wang'lai 岩田望来
'yang'guang'bai'ren 阳光白仁
'yang'zhi 洋芝
'yao'jing'qi'shi 妖精骑士
'yao'kou 咬口
'yao'man'ping 耀满瓶
'ye'sen 叶森
'ye'sen'de'bi 叶森德比
'ye'tian 野田
'ye'tian'chi'xie 野田赤蝎
'ye'tian'shi'fen 野田十分
'ye'tian'xian'jun 野田贤君
'ye'tian'xiao'zi 野田小子
'ye'wen'she'hui 也文摄辉
'ye'wu 夜舞
'ye'xiang'qu 夜想曲
'yi'bi'er'zu 伊比尔族
'yi'dai'mu 一代母
'yi'ji'sai 一级赛
'yi'kou'ma'zhu 一口马主
'yi'li 一哩
'yi'li'sha'bai'nv'wang'bei 伊丽莎白女王杯
'yi'lu'tong 一路通
'yi'ming 译名
'yi'nv 伊女
'yi'qian'jian'ni'jin'biao 一千坚尼锦标
'yi'sheng'ji 一胜级
'yi'sheng'zai'sheng 一胜再胜
'yi'si'ba'han'jin'biao 伊斯巴翰锦标
'yi'xiang'tian'kai 异想天开
'yi'ye'bao'fu 一夜暴富
'yi'yi'ren'shi 异议人士
'yi'yong'ruan'jian 易用软件
'yi'zhuan'yi'wa 一砖一瓦
'yin'dao'ma 引导马
'yin'di'che'dao 印第车道
'yin'mo'jiao 银末脚
'yin'mu'ying'xiong 银幕英雄
'yin'zi 因子
'ying'ai'shuang'de'bi 英爱双德比
'ying'bao 盈宝
'ying'bao'qi'yue 盈宝奇岳
'ying'bao'wei'shen 盈宝威神
'ying'duan 英短
'ying'gong'ta'bao 英宫塔堡
'ying'guan 英冠
'ying'guo'guan'jun'jin'biao 英国冠军锦标
'ying'guo'guan'jun'xi'lie'dian'tang 英国冠军系列殿堂
'ying'hua'feng'wang 樱花丰王
'ying'hua'gui'guan 樱花桂冠
'ying'hua'jin'wang 樱花进王
'ying'hua'qian'dai'wang 樱花千代王
'ying'hua'qian'sui'wang 樱花千岁王
'ying'hua'shang 樱花赏
'ying'hua'xing'wang 樱花星王
'ying'huang'cha'li'si'san'shi'jin'biao 英皇查理斯三世锦标
'ying'huang'jin'biao 英皇锦标
'ying'li'jin'biao'sai 英里锦标赛
'ying'lun'hai'xia 英伦海峡
'ying'yong'zhi'hu 英勇之狐
'ying'yuan 应援
'yong'bao'qing'chun 永葆青春
'yong'dao'zhen'nai'mei 永岛真奈美
'yong'rong'bai'he 雍容白荷
'yong'rong'er'ya 雍容尔雅
'yong'zhan'shen'ju 勇战神驹
'yong'zhe'di'wang 勇者帝王
'you'bian'wang'yang 游遍汪洋
'you'dao'kang'fu 友道康夫
'you'ju 幼驹
'you'jun 优骏
'you'jun'shao'nv 优俊少女
'you'ma'ji'nian 有马纪念
'you'shou'bian 右手鞭
'you'xian'wu'shi 优娴舞士
'you'xing'ge 有性格
'you'xiu'su'zhi 优秀素质
'you'ying'ge 友萤格
'you'zhong'zhi'mei 有终之美
'yu'hou'bu'liang 预后不良
'yu'long 玉龙
'yu'long'ji'tuan 玉龙集团
'yu'lu'jin'biao 御庐锦标
'yu'ma 育马
'yu'ma'chang 育马场
'yu'ma'zhe 育马者
'yu'ma'zhe'bei'cao'di'da'sai 育马者杯草地大赛
'yu'ma'zhe'bei'ci'ma'jing'dian'sai 育马者杯雌马经典赛
'yu'ma'zhe'bei'jing'dian'sai 育马者杯经典赛
'yu'man'di'bai 誉满迪拜
'yu're 预热
'yu'shu'jin'biao 榆树锦标
'yu'tian'bei 羽田杯
'yu'yong'hua'jiang 御用画匠
'yu'yong'lv'shi 御用律师
'yu'yue 愚悦
'yu'zao'shi'zi 玉藻十字
'yu'zhe'tang'mu 愚者汤姆
'yu'zhe'yan'jie 愚者眼界
'yu'zhe'yu'yue 愚者愚悦
'yu'zhou'wu'ji 宇宙无极
'yu'zi'jing'hua 鱼子精华
'yu'zi'jing'hua'shan'dian'jin'biao 鱼子精华闪电锦标
'yuan'hou'qing'zhi 缘厚情挚
'yuan'ju'min 原居民
'yue'ben'xian 岳本贤
'yue'bo'ren 岳伯仁
'yue'fa'tian 越发甜
'yue'guang'qu 月光曲
'yue'gui'he 月桂河
'yue'gui'qiao 月桂桥
'yue'han'heng'li 约翰亨利
'yue'ke'xiang'shu 约克橡树
'yue'pin'xian 岳品贤
'yue'si 岳斯
'yue'wei'xian'jing 越位陷阱
'yue'ying'yun'xia 月影云霞
'yue'zheng'man'tian 月正满天
'yun'dian 云巅
'yun'qi 云旗
'yun'si'xian'zi 云丝仙子
'zai'du'jing'cai 再度精彩
'zao'shu 早熟
'zeng'cheng 增程
'zha'huang 札幌
'zha'huang'ji'nian 札幌纪念
'zha'men 闸门
'zha'wei 闸位
'zha'wei'biao 闸位表
'zhan'bu 占卜
'zhan'wu'zhe 战舞者
'zhan'zheng'zhi'ren 战争之人
'zhang'ai 障碍
'zhang'xian'ma 彰显马
'zhao'huang'ling'yu 爪皇凌雨
'zhao'ri'bei 朝日杯
'zhe'cha 着差
'zhe'da'bei 遮打杯
'zhe'yan'dai 遮眼袋
'zhe'ying'huan 遮影环
'zhen'cheng 真诚
'zhen'cheng'shao'nv 真诚少女
'zhen'gong'kuai'che 真弓快车
'zhen'huang 真皇
'zhen'ji'ling 真机伶
'zhen'lian'jiao'ji 珍莲骄骥
'zhen'ming'xin'di 真命新帝
'zhen'shan'mei 真善美
'zhen'shi'she'tai 真实社台
'zhen'xin'hu'huan 真心呼唤
'zhen'zhang 真章
'zheng'shou'bian 正手鞭
'zhi'ba 制霸
'zhi'bu'luo'shan 直布罗山
'zhi'dan'bing'tuan 掷弹兵团
'zhi'fu'guan'jia 支付管家
'zhi'ji 织姬
'zhi'nv'xing 织女星
'zhi'sheng'yi'ji 制胜一击
'zhi'shi'bian 指示鞭
'zhi'xian'yi'qi 直线一气
'zhi'xing 直行
'zhong'chang 重场
'zhong'fei 种费
'zhong'he'wu'shi 中和巫师
'zhong'ji 重击
'zhong'ma'guan'jun 种马冠军
'zhong'mu'ma 种牡马
'zhong'nei'tian'chong'zheng 中内田充正
'zhong'pao 重炮
'zhong'shan'qing'dian 中山庆典
'zhong'shan'zhang'ai'da'jiang'sai 中山障碍大奖赛
'zhong'shang 重赏
'zhong'shen'cheng'jiu'jiang 终身成就奖
'zhong'wan 终弯
'zhong'xin'cheng 重心城
'zhong'yang'gong'yuan'jin'biao 中央公园锦标
'zhong'zhi 终直
'zhou'mo'shang'fan 周末商贩
'zhou'ri'jing'ma 周日竞马
'zhou'ri'ning'jing 周日宁静
'zhu'de'wang 朱德望
'zhu'feng'jin'biao 珠峰锦标
'zhu'huan'xia'ji'duan'pao 朱鹮夏季短跑
'zhu'lu'sha'chang 逐鹿沙场
'zhu'xi'jin'biao 主席锦标
'zhu'yuan'fei'jian 竹园飞剑
'zhu'zhan 主战
'zhu'zhi'wang 竹芝王
'zhuan'jiu 转厩
'zhui'fen 追分
'zhui'qie 追切
'zhui'zhu'cai'hong 追逐彩虹
'zhuo'dao'shou 捉刀手
'zhuo'ding'xian'jin'bei 卓定咸金杯
'zhuo'fu 卓芙
'zhuo'hua'si'jin'biao 卓华斯锦标
'zhuo'lun'gu 卓伦谷
'zhuo'wei'li'yuan'jin'biao 卓维利园锦标
'zi'dan'lie'che 子弹列车
'zi'you'dao 自由岛
'zi'yuan'jin'biao 紫苑锦标
'zong'jing'ling 棕精灵
'zu'qiu'xiao'zi 足球小子
'zuan'xi 钻禧
'zuan'xi'jin'biao 钻禧锦标
'zuan'zhong'bao 钻中宝
'zui'jia'gu'mu 最佳古牡
'zui'jia'gu'pin 最佳古牝
'zui'qiang'zhan'shi 最强战士
'zun'shi'zhong'dao 尊师重道
'zuo'shou'bian 左手鞭
'zuo'zuo'mu'da'fu 佐佐木大辅
