'a'ba 阿八
'si'wang'zhan'fang 死亡绽放
'si'wang'zhi'wen 死亡之吻
'si'wei'suo'ding 思维锁定
'si'xing'wu 私刑坞
'su'qie 速切
'su'qu'de 速取的
'su'she 速射
'su'she'de 速射的
'su'tian'de 速填的
'suan'mian 酸免
'suan'shi'dong'xue 酸蚀洞穴
'suan'shu'xing 酸属性
'suan'yuan'su 酸元素
'sui'gu'zhe 碎骨者
'sui'lu'zhe 碎颅者
'sui'rou'ji 碎肉机
'sui'xin'zhe 碎心者
'suo'hou'nv'yao 锁喉女妖
'ta'ni'si 塔尼斯
'tai'di'er 泰迪尔
'tai'tan 泰坦
'tai'yuan'kuai'che 苔原快车
'tai'yuan'kuai'che'nong'she 苔原快车农舍
'tai'yuan'nong'chang 苔原农场
'tan'lan 贪婪
'tan'pai 摊牌
'tan'pan'jia 谈判家
'tan'pian'san'bu 弹片散布
'tan'yu'kuang'jing 贪欲矿井
'tao'tie'xia'gu 饕餮峡谷
'te'jia'pin 特价品
'tian'mi'jie'tuo 甜蜜解脱
'tian'xie 天蝎
'tian'xin 甜心
'tian'xing'bao'nue 天性暴虐
'tiao'xin 挑衅
'tie'gong'chang 铁工厂
'tong'gu'si 通古斯
'tong'guan 通关
'tong'huo 同伙
'tong'ku'li'liang 痛苦力量
'tou'dan'fei'fu 投弹飞斧
'tou'gu'po'sui'ji 头骨破碎机
'tu'fu 屠夫
'tu'ji 突击
'tu'pao 兔炮
'tu'si 吐司
'tu'ying'zhi'sheng'ji 秃鹰直升机
'tui'jin'pao 推进炮
'tun'ji'zhe 囤积者
'tuo'bi 托币
'tuo'ge 托格
'tuo'ge'xin'yang 托格信仰
'wai'xing'ke'ji 外星科技
'wai'xing'qiang 外星枪
'wan'sheng'gu 万圣谷
'wang'hun 亡魂
'wang'ling'nan'wu 亡灵男巫
'wang'pai 王牌
'wei'ji'guan'li 危机管理
'wei'jian 围歼
'wei'jin'de'hong'tian'lei 违禁的轰天雷
'wei'la'duo'fu 维拉多夫
'wei'lu'ke 维鲁克
'wei'lu'ke 萎撸氪
'wei'suo'pan'ke 微缩叛客
'wei'xing'ji'qiang 微型机枪
'wen'cao'sheng'quan 稳操胜券
'wen'ding'de 稳定的
'wen'yi 瘟疫
'wen'zha'wen'da 稳扎稳打
'wo'ba 握把
'wo'cao'dun 卧槽盾
'wo'shi'bo'en'jing'lian'chang 沃什伯恩精炼厂
'wu'di'da'dian'ti 无敌大电梯
'wu'di'da'huang'feng 无敌大蝗蜂
'wu'di'da'huo'che 无敌大火车
'wu'di'da'pi'te 无敌大皮特
'wu'di'da'qian'lie 无敌大潜猎
'wu'di'da'sha'chong 无敌大鲨虫
'wu'di'da'tie'men 无敌大铁门
'wu'di'da'zhuang'ji 无敌打桩机
'wu'di'hai'da'shi 无敌海大师
'wu'di'ji'da'shi 无敌基大师
'wu'di'si'long 无敌四龙
'wu'di'ye'ya'ji 无敌液压机
'wu'di'zhong'shan'jiao'shou 无敌中山教授
'wu'fa'liu'zhong 五发六中
'wu'fa'wu'tian 无法无天
'wu'pi'neng'shou 无匹能手
'wu'seng 武僧
'wu'shi'mi'cang 武士秘藏
'wu'shu'xing 无属性
'wu'xian 无限
'wu'ye'zhi'xing 午夜之星
'wu'yin'ku'tong'zhi'chao 无垠苦痛之巢
'wu'yuan'su 无元素
'wu'zhu'sheng'ji'bao 无主升级包
'wu'zhu'zhi'di 无主之地
'wu'zhu'zhi'di'nian'du'ban 无主之地年度版
'xi'jian 细剑
'xi'la'zhi'lin 锡拉之林
'xi'shou'dun 吸收盾
'xi'xue 吸血
'xi'xue'lei 吸血雷
'xi'you 稀有
'xian'dan'qiang'ba'wang 霰弹枪霸王
'xian'dan'zhu'ru 霰弹侏儒
'xian'ji'mo'nv 献祭魔女
'xian'jian'zhi'ming 先见之明
'xian'xue'gong'yang 鲜血供养
'xiang'shou'tong'ku 享受痛苦
'xiang'wei'gu'dong 相位鼓动
'xiang'wei'hui'mie 相位毁灭
'xiang'wei'lian'suo 相位连锁
'xiang'wei'shou'shu 相位收束
'xiang'wei'suo'ding 相位锁定
'xiang'wo'kai'pao 向我开炮
'xiao'chao'nao 小吵闹
'xiao'chao'nao'jia 小吵闹家
'xiao'cong'ming 小聪明
'xiao'pian'zi 小骗子
'xiao'ti'na'de 小缇娜的
'xiao'tu'pao 小兔炮
'xiao'tui'shua 小退刷
'xiao'xiong'mao 小熊猫
'xiao'yi'wei 小伊维
'xie'e'bao'ji 邪恶暴击
'xie'e'ke'xing 邪恶克星
'xie'e'nv'wu 邪恶女巫
'xie'tong'xiao'ying 协同效应
'xin'sheng 新生
'xin'xing'dun 新星盾
'xin'yang'feng 信仰疯
'xing'xiang'xue'shan 腥香血膻
'xiu'shi'hou'yuan 锈蚀后院
'xu'er'bu'qu 虚而不屈
'xu'wei 虚伪
'xuan'ting'zhuan'jing 悬停专精
'xuan'zhuan'lei'ting 旋转雷霆
'xue'fu'zi'tu'biao 血斧子图标
'xue'guang'huang'hu 血光恍惚
'xue'hong'su'sheng 血红甦生
'xue'mai'fu'su 血脉复苏
'xue'ran'zhi'dun 血染之盾
'xue'ren 雪人
'xue'ren'xiang 雪人箱
'xue'reng'wei'leng 血仍未冷
'xue'rou'fen'fei 血肉纷飞
'xue'rou'si'lie 血肉撕裂
'xue'se'bao'lie 血色爆裂
'xue'shou'lei'tu'biao 血手雷图标
'xue'shou'qiang'tu'biao 血手枪图标
'xue'yan'da'ba 血眼大坝
'xue'yan'yao'sai 血眼要塞
'xue'ye'chao'yong 血液超涌
'xue'ye'fei'teng 血液沸腾
'xun'yi'ji 巡弋机
'ya'chi 牙齿
'ya'ge'bu 雅各布
'ya'ha 亚哈
'ya'miao 压秒
'ya'xue 压血
'ya'xue 鸭血
'ya'xue'da'bing 压血大兵
'ya'xue'dan 压血蛋
'ya'xue'mo'nv 压血魔女
'ya'zhou 压轴
'ya'zhou'yi'tan 压轴一弹
'yan'hua 演化
'yan'hua'lei 烟花雷
'yan'jing'she 眼镜蛇
'yan'pin 赝品
'yan'shi'de 岩石的
'yan'shu 鼹鼠
'yan'yan 岩盐
'yan'zhan 延展
'yang'feng 养蜂
'yang'yan'bao'lie 阳焱爆裂
'yao'ban'bao'fa 耀斑爆发
'yao'lan 摇篮
'ye'hu 夜壶
'ye'li'ge 耶利哥
'ye'man'ren 野蛮人
'ye'niu 野牛
'ye'sheng'dong'wu'kai'fa'bao'hu'qu 野生动物开发保护区
'ye'shou 野兽
'yi'chang'shang'hai 异常伤害
'yi'hun'huan'ming 移魂换命
'yi'ji'bao'tou 一击爆头
'yi'jie'qiang 镒结枪
'yi'kuang 镒矿
'yi'qi'qing 一期青
'yi'sha'zhi'sha 以杀止杀
'yi'shi 蚁狮
'yi'shi'fei'tu 镒蚀废土
'yi'ya'huan'ya 以牙还牙
'yi'zha 镒渣
'yi'zha'de 镒渣的
'yi'zha'shang'hai 镒渣伤害
'yi'zhan'chang'cai 一展长才
'yi'zhong'you'tong 异中有同
'yi'zhou'mu 一周目
'yin'cha 音叉
'yin'ran'ti'zhi 引燃体质
'ying'han 硬汉
'ying'xiong'zhi'lu 英雄之路
'ying'yan 鹰眼
'ying'yong'wu'wei 英勇无畏
'yong'meng'jin'jun 勇猛进军
'you'bei'wu'huan 有备无患
'you'ji'dui 游击队
'you'shi'you'zhong 有始有终
'you'xi 右系
'you'xia 游侠
'you'ya'shen'ru'zhe 优雅渗入者
'yu'lei 鱼雷
'yu'lei'tong 鱼雷筒
'yu'xue'fen'zhan 浴血奋战
'yu'xue'tu'sha 浴血屠杀
'yu'yan'gui 寓言龟
'yu'zhao 预兆
'yuan'chang 原厂
'yuan'chang'man'bian 原厂满编
'yuan'gu'zhi'hai 远古之骸
'yuan'gu'zhi'pi 远古之皮
'yuan'gu'zhi'xin 远古之心
'yuan'gu'zhi'xue 远古之血
'yuan'ju'sha'shou 远距杀手
'yuan'su'ji'fen 元素激奋
'yuan'su'ru'shen 元素入神
'yuan'su'shang'hai 元素伤害
'yuan'yi'shi 园艺师
'yue'cuo'yue'yong 越挫越勇
'yun'dong'jia 运动家
'za'he'ti 杂合体
'za'pao 砸炮
'za'pao'shang'hai 砸炮伤害
'za'qiang 砸枪
'za'qiang'da'bing 砸枪大兵
'za'qiang'shang'hai 砸枪伤害
'zai'ran'ji 再燃机
'zao'you'zhun'bei 早有准备
'ze'de 泽德
'zeng'fu'dun 增幅盾
'zeng'shang'de 增伤的
'zha'mian 渣免
'zha'shu'xing 渣属性
'zha'yuan'su 渣元素
'zhai'ji'bian 宅急便
'zhan'shu'bing 战术兵
'zhan'shu'chong'feng'shou'qiang 战术冲锋手枪
'zhan'shu'qian'zhuang 战术嵌装
'zhao'mi'zhe 着迷者
'zhe'mo 折磨
'zhen'cha'bing 侦察兵
'zhen'fen'ren'xin 振奋人心
'zhen'li 真理
'zhen'shi'mi'cang'lie'ren 真实秘藏猎人
'zhen'shi'mi'cang'lie'ren'mo'shi 真实秘藏猎人模式
'zhen'zhu'se 珍珠色
'zheng'chang'mo'shi 正常模式
'zheng'fu'zhe 征服者
'zhi'dan'bing 掷弹兵
'zhi'dan'neng'shou 掷弹能手
'zhi'dao'yuan 指导员
'zhi'du'shua 只读刷
'zhi'ming'suan'wu 致命酸雾
'zhi'ming'zhan'fang 致命绽放
'zhi'si'da'ji 致死打击
'zhi'xu 秩序
'zhi'ye 职业
'zhi'ye'jun'ren 职业军人
'zhi'ye'mo'zu 职业模组
'zhi'you 挚友
'zhong'bao 重爆
'zhong'ji'hun'dan 终极混蛋
'zhong'ji'hun'dan'jian'zao'ji 终极混蛋建造机
'zhong'ji'hun'dan'zhuang'zai'ji 终极混蛋装载机
'zhong'ji'mi'cang'lie'ren 终极秘藏猎人
'zhong'ji'mi'cang'lie'ren'mo'shi 终极秘藏猎人模式
'zhong'jia'bu'bing 重甲步兵
'zhong'jia'liu'cuan'fan 重甲流窜犯
'zhong'li'dan'rong 中立弹容
'zhong'li'shan'liang 中立善良
'zhong'li'xie'e 中立邪恶
'zhong'ta 重踏
'zhong'xi 中系
'zhong'you 中右
'zhou'si'dun 宙斯盾
'zhu'gong'shou 主攻手
'zhu'la'ke'qiao'bi 烛拉克峭壁
'zhu'ru 侏儒
'zhu'she'qi 注射器
'zhu'you 主右
'zhu'zhong 主中
'zhu'zhong'you 主中右
'zhu'zuo 主左
'zhu'zuo'you 主左右
'zhu'zuo'zhong 主左中
'zhuan'guan'qiang 转管枪
'zhuan'jia 专家
'zhuan'jie'kou 转接口
'zhuan'jie'kou'jie'mian 转接口界面
'zhuan'lun'qiang 转轮枪
'zhuan'shi'chong'sheng 转世重生
'zhuang'bei 装备
'zhuang'jia'kuang'ren 装甲狂人
'zhuang'shuo'xiao'ma 壮硕小马
'zhuang'tai'yi'chang 状态异常
'zhuang'tian'su'du 装填速度
'zhuang'tian'yao'gun 装填摇滚
'zhuang'zai'ji 装载机
'zhuang'zhen 撞针
'zhui'qiu'jing'zhun 追求精准
'zhui'qiu'zhe 追求者
'zhuo're'shi'xian 灼热视线
'zi'bao'shang'hai 自爆伤害
'zi'dan'lei 子弹雷
'zi'dong'zhuang'tian 自动装填
'zi'ran 自燃
'zi'yuan'hui'shou 资源回收
'zu'ka 祖卡
'zuan'shi'de 钻石的
'zui'ha 醉哈
'zui'hou'shou'duan 最后手段
'zui'jiu 醉酒
'zui'jiu'nuo'fa'lei 醉酒诺法雷
'zuo'pie'zi'zheng'qi'dong'li'zhan 左撇子蒸汽动力站
'zuo'xi 左系
'zuo'you 左右
'zuo'zhong 左中
