'an'dong 暗动
'qi'yi'xiang'zuo 奇仪相佐
'qian'gong 乾宫
'qian'gong'ba'gua 乾宫八卦
'qian'gua 乾卦
'qian'li'ming'gao 千里命稿
'qian'liu'gong 乾六宫
'qian'san'lian 乾三连
'qian'wei'tian 乾为天
'qian'yi 乾一
'qian'yi 迁移
'qian'zao 乾造
'qin'tian'men 钦天门
'qing'long 青龙
'qing'long'fan'shou 青龙返首
'qing'long'he'hui 青龙和会
'qing'long'hua'gai 青龙华盖
'qing'long'ru'tian'lao 青龙入天牢
'qing'long'tao'zou 青龙逃走
'qing'long'yao'ming 青龙耀明
'qing'long'zhe'zu 青龙折足
'qing'long'zhuan'guang 青龙转光
'qing'yang 擎羊
'qu'yong 取用
'quan'ji'jiao'zhan 权忌交战
'quan'ru 权入
'quan'xi'jie'gou 全息结构
'quan'zhong'shui 泉中水
'ren'bing'zai'yin 壬病在寅
'ren'chang'sheng'zai'shen 壬长生在申
'ren'chen 壬辰
'ren'chen'gui'si'chang'liu'shui 壬辰癸巳长流水
'ren'di'wang'zai'zi 壬帝旺在子
'ren'dun 人遁
'ren'dun'ji'ge 人遁吉格
'ren'guan'dai'zai'xu 壬冠带在戌
'ren'gui'tu'she'cang 壬癸兔蛇藏
'ren'jue'zai'si 壬绝在巳
'ren'lin'guan'zai'hai 壬临官在亥
'ren'lu'zai'hai 壬禄在亥
'ren'mu'yu'zai'you 壬沐浴在酉
'ren'mu'zai'chen 壬墓在辰
'ren'nian 壬年
'ren'pan 人盘
'ren'ren'zai'zi 壬刃在子
'ren'shen 壬申
'ren'shen'gui'you'jian'feng'jin 壬申癸酉剑锋金
'ren'shuai'zai'chou 壬衰在丑
'ren'shui 壬水
'ren'si'zai'mao 壬死在卯
'ren'tai'zai'wu 壬胎在午
'ren'wu 壬午
'ren'wu'gui'wei'yang'liu'mu 壬午癸未杨柳木
'ren'xu 壬戌
'ren'xu'gui'hai'da'hai'shui 壬戌癸亥大海水
'ren'yang'zai'wei 壬养在未
'ren'yin 壬寅
'ren'yin'gui'mao'jin'bo'jin 壬寅癸卯金箔金
'ren'zi 壬子
'ren'zi'gui'chou'sang'zhe'mu 壬子癸丑桑柘木
'ri'chen 日辰
'ri'chong 日冲
'ri'fu 日扶
'ri'he 日合
'ri'jian 日建
'ri'ke 日克
'ri'ling 日令
'ri'mu 日墓
'ri'po 日破
'ri'qi'bei'xing 日奇被刑
'ri'qi'fu'yin 日奇伏吟
'ri'qi'ren'mu 日奇人墓
'ri'qi'ru'di 日奇入地
'ri'san 日散
'ri'sheng 日生
'ri'yuan 日元
'ri'yue'bing'xing 日月并行
'ri'yue'zu'he 日月组合
'ri'zhu 日柱
'ri'zhu'guan'sui'yun'cheng 日柱管岁运程
'ru'ku'ji 入库忌
'ru'mu 入墓
'ru'yu'zi'xing 入狱自刑
'san'ba'wei'mu 三八为木
'san'ban 三绊
'san'che'yi'lan 三车一览
'san'chuan 三传
'san'fang'si'zheng 三方四正
'san'he 三合
'san'he'lian'zhu 三合连珠
'san'hui 三会
'san'ming'tong'hui 三命通会
'san'qi'dei'shi 三奇得使
'san'qi'liu'yi 三奇六仪
'san'qi'ru'mu 三奇入墓
'san'qi'shou'zhi 三奇受制
'san'ren'si'xin'tong 三壬四辛同
'san'shi 三式
'san'tai 三台
'san'xing 三刑
'san'yao 三爻
'sang'men 丧门
'sang'song'mu 桑松木
'sang'zhe'mu 桑柘木
'sha'yao 煞曜
'sha'zhong'jin 沙中金
'sha'zhong'tu 沙中土
'shan'di'bo 山地剥
'shan'feng'gu 山风蛊
'shan'huo'ben 山火贲
'shan'lei'yi 山雷颐
'shan'shui'meng 山水蒙
'shan'tian'da'chu 山天大畜
'shan'tou'huo 山头火
'shan'xia'huo 山下火
'shan'ze'sun 山泽损
'shang'ge 上格
'shang'guan 伤官
'shang'jiu 上九
'shang'ke'shui 上克水
'shang'liu 上六
'shang'men 伤门
'shao'yan'he 邵彦和
'shao'yang 少阳
'shao'yin 少阴
'she'chu'ji 射出忌
'she'hai'fa 涉害法
'she'hai'ke 涉害课
'she'hai'shen'qian 涉害深浅
'she'ru'di'luo 蛇入地罗
'shen'cang'geng'ren'wu 申藏庚壬戊
'shen'feng'tong'kao 神峰通考
'shen'gong 身宫
'shen'hai 申亥
'shen'hai'hai 申亥害
'shen'jin 申金
'shen'jin'fu'mu 申金父母
'shen'jin'fu'mu'chi'shi 申金父母持世
'shen'jin'guan'gui 申金官鬼
'shen'jin'guan'gui'chi'shi 申金官鬼持世
'shen'jin'qi'cai 申金妻财
'shen'jin'qi'cai'chi'shi 申金妻财持世
'shen'jin'xiong'di 申金兄弟
'shen'jin'xiong'di'chi'shi 申金兄弟持世
'shen'jin'zi'sun 申金子孙
'shen'jin'zi'sun'chi'shi 申金子孙持世
'shen'ming 身命
'shen'ri 申日
'shen'ruo 身弱
'shen'sha 神煞
'shen'shi 申时
'shen'wang 身旺
'shen'you 申酉
'shen'you'xu 申酉戌
'shen'you'xu'ren'jian'hai'wei'gu'jian'wei'wei'gua 申酉戌人见亥为孤见未为寡
'shen'yue 申月
'shen'zi'chen 申子辰
'shen'zi'chen'he'hua'shui 申子辰合化水
'shen'zi'chen'jian'chen'wei'hua'gai 申子辰见辰为华盖
'shen'zi'chen'jian'hai'wei'wang'shen 申子辰见亥为亡神
'shen'zi'chen'jian'ren'wei'yue'de 申子辰见壬为月德
'shen'zi'chen'jian'si'wei'jie'sha 申子辰见巳为劫煞
'shen'zi'chen'jian'wu'wei'zai'sha 申子辰见午为灾煞
'shen'zi'chen'jian'yin'wei'yi'ma 申子辰见寅为驿马
'shen'zi'chen'jian'you'wei'tao'hua 申子辰见酉为桃花
'shen'zi'chen'jian'zi'wei'jiang'xing 申子辰见子为将星
'shen'zi'chen'ma'zai'yin 申子辰马在寅
'sheng'fu 生扶
'sheng'men 生门
'sheng'nian 生年
'sheng'qi'tan'lang'mu'xing 生气贪狼木星
'sheng'ri 生日
'sheng'shi 生时
'sheng'wang'mu'jue 生旺墓绝
'sheng'yue 生月
'shi'chi 世持
'shi'er'chang'sheng 十二长生
'shi'fei'ji 是非忌
'shi'gan 时干
'shi'gan'ru'mu 时干入墓
'shi'kong 世空
'shi'ling 失令
'shi'liu'mu 石榴木
'shi'ru 始入
'shi'shen 食神
'shi'tian'gan'sheng'wang'si'jue 十天干生旺死绝
'shi'xu'xian'hou 时序先后
'shi'yao 世爻
'shi'yao 事爻
'shi'ying 世应
'shi'yong 世用
'shi'zhu 时柱
'shi'zhu'guan'sui'yun'cheng 时柱管岁运程
'shu'huo 属火
'shu'jin 属金
'shu'mu 属木
'shu'shui 属水
'shu'tu 属土
'shuai'bing'si 衰病死
'shuai'xiang 衰相
'shui'di'bi 水地比
'shui'e 水厄
'shui'er'ju 水二局
'shui'feng'jing 水风井
'shui'huo'ji'ji 水火既济
'shui'ju 水局
'shui'ke'huo 水克火
'shui'ku 水库
'shui'lei'tun 水雷屯
'shui'shan'jian 水山蹇
'shui'she'ren'huo 水蛇人火
'shui'sheng'mu 水生木
'shui'tian'xu 水天需
'shui'tu'sheng'ren'xu'ma'bian 水土生人戌马边
'shui'yao 水爻
'shui'ze'jie 水泽节
'shui'zhu'zhi 水主智
'shun'zong'ni'ling 顺总逆零
'si'cang'bing'wu'geng 巳藏丙戊庚
'si'hai 巳亥
'si'hai'chong 巳亥冲
'si'hai'si 巳亥四
'si'huo 巳火
'si'huo'fu'mu 巳火父母
'si'huo'fu'mu'chi'shi 巳火父母持世
'si'huo'guan'gui 巳火官鬼
'si'huo'guan'gui'chi'shi 巳火官鬼持世
'si'huo'qi'cai 巳火妻财
'si'huo'qi'cai'chi'shi 巳火妻财持世
'si'huo'xiong'di 巳火兄弟
'si'huo'xiong'di'chi'shi 巳火兄弟持世
'si'huo'zi'sun 巳火子孙
'si'huo'zi'sun'chi'shi 巳火子孙持世
'si'jiu'wei'jin 四九为金
'si'ke 四课
'si'men 死门
'si'ri 巳日
'si'shen 巳申
'si'shen'he 巳申合
'si'shen'he'hua'shui 巳申合化水
'si'shi 巳时
'si'wu'wei 巳午未
'si'wu'wei'ren'jian'shen'wei'gu'jian'chen'wei'gua 巳午未人见申为孤见辰为寡
'si'xiang 四象
'si'yao 四爻
'si'you'chou 巳酉丑
'si'you'chou'he'hua'jin 巳酉丑合化金
'si'you'chou'jian'chou'wei'hua'gai 巳酉丑见丑为华盖
'si'you'chou'jian'geng'wei'yue'de 巳酉丑见庚为月德
'si'you'chou'jian'hai'wei'yi'ma 巳酉丑见亥为驿马
'si'you'chou'jian'mao'wei'zai'sha 巳酉丑见卯为灾煞
'si'you'chou'jian'shen'wei'wang'shen 巳酉丑见申为亡神
'si'you'chou'jian'wu'wei'tao'hua 巳酉丑见午为桃花
'si'you'chou'jian'yin'wei'jie'sha 巳酉丑见寅为劫煞
'si'you'chou'jian'you'wei'jiang'xing 巳酉丑见酉为将星
'si'you'chou'ma'zai'hai 巳酉丑马在亥
'si'yue 巳月
'si'zhu 四柱
'si'zhu'ming'li 四柱命理
'song'bai'mu 松柏木
'sui'yun'bing'lin 岁运并临
'ta'gong 他宫
'tai'bai'feng'xing 太白逢星
'tai'bai'qin'she 太白擒蛇
'tai'bai'ru'wang 太白入网
'tai'bai'ru'ying 太白入荧
'tai'di 胎地
'tai'ji 太极
'tai'sui 太岁
'tai'sui'ru'gua 太岁入卦
'tai'yang 太阳
'tai'yin 太阴
'tan'he'wang'sheng 贪合忘生
'tan'lang 贪狼
'tan'she 弹射
'tan'sheng'wang'ke 贪生忘克
'tao'hua 桃花
'teng'she 腾蛇
'teng'she 螣蛇
'teng'she'xiang'chan 腾蛇相缠
'teng'she'yao'jiao 腾蛇夭矫
'tian'bi'di'chong 天比地冲
'tian'chong'xing 天冲星
'tian'de 天德
'tian'de'gui'ren 天德贵人
'tian'di'fou 天地否
'tian'dun 天遁
'tian'feng'gou 天风姤
'tian'feng'hou 天风后
'tian'fu 天府
'tian'fu 天福
'tian'fu'xing 天辅星
'tian'gan 天干
'tian'gan'he'hua 天干合化
'tian'gan'yu'di'zhi'zuo'yong'guan'xi 天干与地支作用关系
'tian'gou 天狗
'tian'guan 天官
'tian'gui 天贵
'tian'he'shui 天河水
'tian'huo'tong'ren 天火同人
'tian'ji 天机
'tian'ke'di'chong 天克地冲
'tian'kui 天魁
'tian'lao'hua'gai 天牢华盖
'tian'lei'wu'wang 天雷无妄
'tian'liang 天梁
'tian'luo'di'wang 天罗地网
'tian'ma 天马
'tian'pan 天盘
'tian'peng'xing 天篷星
'tian'qin'xing 天禽星
'tian'ren'xing 天任星
'tian'rui'xing 天芮星
'tian'shan'dun 天山遁
'tian'shang 天伤
'tian'shang'huo 天上火
'tian'shi 填实
'tian'shi 天使
'tian'shui'song 天水讼
'tian'tong 天同
'tian'wang'si'zhang 天网四张
'tian'wu 天巫
'tian'xi 天喜
'tian'xian'shi'ge 天显时格
'tian'xiang 天相
'tian'xin'xing 天心星
'tian'xing 天刑
'tian'yao 天姚
'tian'yi 天医
'tian'yi'fu'gong 天乙伏宫
'tian'yi'gui'ren 天乙贵人
'tian'yi'he'hui 天乙合会
'tian'yi'ju'men'tu'xing 天医巨门土星
'tian'ying'xing 天英星
'tian'yue 天钺
'tian'ze'fu 天泽覆
'tian'ze'lv 天泽履
'tian'zhai 田宅
'tian'zhu'xing 天柱星
'tiao'hou 调候
'ting'ting'zhi'ge 亭亭之格
'tong'bu'duan'jue 同步断诀
'tong'gong'tong'quan 同功同权
'tong'zhu 同柱
'tu'hou'chang'du'wo 土猴常独卧
'tu'ke'shui 土克水
'tu'sheng'jin 土生金
'tu'wu'ju 土五局
'tu'yao 土爻
'tu'zhu'xin 土主信
'tui'ma'ji 退马忌
'tuo'luo 陀罗
'wai'gua 外卦
'wai'ying 外应
'wang'gai'tian'lao 网盖天牢
'wang'shen'xia 亡神下
'wang'shuai 旺衰
'wang'xiang 旺相
'wang'xiang'xiu'qiu 旺相休囚
'wang'xiang'xiu'qiu'si 旺相休囚死
'wei'bo'bu'xiu 帷薄不修
'wei'cang'ji'ding'yi 未藏己丁乙
'wei'gao'quan'qing 位高权轻
'wei'hai 为害
'wei'ri 未日
'wei'shi 未时
'wei'tu 未土
'wei'tu'fu'mu 未土父母
'wei'tu'fu'mu'chi'shi 未土父母持世
'wei'tu'guan'gui 未土官鬼
'wei'tu'guan'gui'chi'shi 未土官鬼持世
'wei'tu'qi'cai 未土妻财
'wei'tu'qi'cai'chi'shi 未土妻财持世
'wei'tu'xiong'di 未土兄弟
'wei'tu'xiong'di'chi'shi 未土兄弟持世
'wei'tu'zi'sun 未土子孙
'wei'tu'zi'sun'chi'shi 未土子孙持世
'wei'yue 未月
'wen'chang 文昌
'wen'qu 文曲
'wo'gong 我宫
'wu'bu'yu'shi 五不遇时
'wu'cang'ding'ji 午藏丁己
'wu'chen 戊辰
'wu'chen'ji'hai'ping'di'mu 戊辰己亥平地木
'wu'chen'ji'si'da'lin'mu 戊辰己巳大林木
'wu'gui 五鬼
'wu'gui'chen'xu'wu 戊癸辰戌五
'wu'gui'he 戊癸合
'wu'gui'he'hua'huo 戊癸合化火
'wu'gui'lian'zhen'huo'xing 五鬼廉贞或星
'wu'hai'liu'jia'shang 五亥六甲上
'wu'hu'dun 五虎遁
'wu'huo 午火
'wu'huo'fu'mu 午火父母
'wu'huo'fu'mu'chi'shi 午火父母持世
'wu'huo'guan'gui 午火官鬼
'wu'huo'guan'gui'chi'shi 午火官鬼持世
'wu'huo'qi'cai 午火妻财
'wu'huo'qi'cai'chi'shi 午火妻财持世
'wu'huo'xiong'di 午火兄弟
'wu'huo'xiong'di'chi'shi 午火兄弟持世
'wu'huo'zi'sun 午火子孙
'wu'huo'zi'sun'chi'shi 午火子孙持世
'wu'ju'zhong'yang 五居中央
'wu'nian 戊年
'wu'qin 无亲
'wu'qu 武曲
'wu'ri 午日
'wu'shang'tu 屋上土
'wu'shen 戊申
'wu'shen'ji'you'da'yi'tu 戊申己酉大驿土
'wu'shi 午时
'wu'shi'wei'tu 五十为土
'wu'shu'dun 五鼠遁
'wu'tu 戊土
'wu'wei 午未
'wu'wei'he 午未合
'wu'wei'he'hua'tu 午未合化土
'wu'wu 戊午
'wu'wu'ji'wei'tian'shang'huo 戊午己未天上火
'wu'xing 五行
'wu'xing'jing'ji 五行精纪
'wu'xing'sheng'ke 五行生克
'wu'xing'wang'shuai 五行旺衰
'wu'xu 戊戌
'wu'yang'gan 五阳干
'wu'yao 五爻
'wu'yi 无依
'wu'yin 戊寅
'wu'yin 芜淫
'wu'yin'gan 五阴干
'wu'yin'ji'mao'cheng'tou'tu 戊寅己卯城头土
'wu'yong'dong'yao 无用动爻
'wu'yu 戊于
'wu'yue 午月
'wu'zi 戊子
'wu'zi'ji'chou'pi'li'huo 戊子己丑霹雳火
'xi'fang'jin 西方金
'xi'shen 喜神
'xi'si'ming 西四命
'xi'si'zhai 西四宅
'xian'chi 咸池
'xian'tian 先天
'xiang'hai 相害
'xiang'ke 相克
'xiang'sheng 相生
'xiang'shu 象数
'xiang'xing 相刑
'xiao'she'de'shi 小蛇得势
'xiao'she'hua'long 小蛇化龙
'xiao'xian 小限
'xiao'yun 小运
'xin'bing'zai'wu 辛病在午
'xin'chou 辛丑
'xin'di'wang'zai'shen 辛帝旺在申
'xin'guan'dai'zai'xu 辛冠带在戌
'xin'hai 辛亥
'xin'jin 辛金
'xin'jue'zai'mao 辛绝在卯
'xin'lin'guan'zai'you 辛临官在酉
'xin'lu'zai'you 辛禄在酉
'xin'mao 辛卯
'xin'mu'yu'zai'hai 辛沐浴在亥
'xin'mu'zai'chen 辛墓在辰
'xin'nian 辛年
'xin'pai'li'lun 新派理论
'xin'pai'si'zhu 新派四柱
'xin'ren'zai'shen 辛刃在申
'xin'shuai'zai'wei 辛衰在未
'xin'si 辛巳
'xin'si'zai'si 辛死在巳
'xin'tai'zai'yin 辛胎在寅
'xin'wei 辛未
'xin'yang'zai'chou 辛养在丑
'xin'yi 辛已
'xin'you 辛酉
'xing'ge 性格
'xing'ge'fan'ming 刑格返名
'xing'ke 刑克
'xing'men'ru'mu 星门入墓
'xing'nian 行年
'xing'pan 形盘
'xing'qi'ru'tai'yin 星奇入太阴
'xing'qi'zhu'que 星奇朱雀
'xing'shang 刑伤
'xing'sui'yue'zhuan 星随月转
'xing'yao 星耀
'xiong'di 兄弟
'xiong'di'chen'tu 兄弟辰土
'xiong'di'chen'tu'chi'shi 兄弟辰土持世
'xiong'di'chi'shi 兄弟持世
'xiong'di'chou'tu 兄弟丑土
'xiong'di'chou'tu'chi'shi 兄弟丑土持世
'xiong'di'hai'shui 兄弟亥水
'xiong'di'hai'shui'chi'shi 兄弟亥水持世
'xiong'di'jie'mei 兄弟姐妹
'xiong'di'mao'mu 兄弟卯木
'xiong'di'mao'mu'chi'shi 兄弟卯木持世
'xiong'di'shen'jin 兄弟申金
'xiong'di'shen'jin'chi'shi 兄弟申金持世
'xiong'di'si'huo 兄弟巳火
'xiong'di'si'huo'chi'shi 兄弟巳火持世
'xiong'di'wei'tu 兄弟未土
'xiong'di'wei'tu'chi'shi 兄弟未土持世
'xiong'di'wu'huo 兄弟午火
'xiong'di'wu'huo'chi'shi 兄弟午火持世
'xiong'di'xu'tu 兄弟戌土
'xiong'di'xu'tu'chi'shi 兄弟戌土持世
'xiong'di'yin'mu 兄弟寅木
'xiong'di'yin'mu'chi'shi 兄弟寅木持世
'xiong'di'you'jin 兄弟酉金
'xiong'di'you'jin'chi'shi 兄弟酉金持世
'xiong'di'zi'shui 兄弟子水
'xiong'di'zi'shui'chi'shi 兄弟子水持世
'xiong'ge 凶格
'xiong'she'ren'yu 凶蛇人狱
'xiu'men 休门
'xiu'qiu 休囚
'xu'cang'wu'xin'ding 戌藏戊辛丁
'xu'hai 戌亥
'xu'ri 戌日
'xu'shi 戌时
'xu'tu 戌土
'xu'tu'fu'mu 戌土父母
'xu'tu'fu'mu'chi'shi 戌土父母持世
'xu'tu'guan'gui 戌土官鬼
'xu'tu'guan'gui'chi'shi 戌土官鬼持世
'xu'tu'qi'cai 戌土妻财
'xu'tu'qi'cai'chi'shi 戌土妻财持世
'xu'tu'xiong'di 戌土兄弟
'xu'tu'xiong'di'chi'shi 戌土兄弟持世
'xu'tu'zi'sun 戌土子孙
'xu'tu'zi'sun'chi'shi 戌土子孙持世
'xu'yue 戌月
'xu'zi'ping 徐子平
'xuan'kong 玄空
'xuan'wu 玄武
'xun'gong 巽宫
'xun'gong'ba'gua 巽宫八卦
'xun'gua 巽卦
'xun'huan'ji 循环忌
'xun'kong 旬空
'xun'si'gong 巽四宫
'xun'wei'feng 巽为风
'xun'wu 巽五
'xun'xia'duan 巽下断
'yan'nian'wu'qu'jin'xing 延年武曲金星
'yang'di 养地
'yang'dong 阳动
'yang'gui 阳贵
'yang'huo 阳火
'yang'jin 阳金
'yang'liu'mu 杨柳木
'yang'mu 阳木
'yang'nan 阳男
'yang'nv 阳女
'yang'ren 羊刃
'yang'ren 阳刃
'yang'shui 阳水
'yang'tu 阳土
'yao'gua 摇卦
'yao'ke'fa 遥克法
'yao'ke'ke 遥克课
'yao'wei 爻位
'yao'xiang 爻象
'yao'xiang'tu 爻象图
'ye'he'mi'chuan 野鹤秘传
'yi'bing'zai'zi 乙病在子
'yi'chang'sheng'zai'wu 乙长生在午
'yi'chou 乙丑
'yi'di'wang'zai'yin 乙帝旺在寅
'yi'ding'ji'xin'gui 乙丁己辛癸
'yi'geng'chou'wei'ba 乙庚丑未八
'yi'geng'he 乙庚合
'yi'geng'he'hua'jin 乙庚合化金
'yi'gua 易卦
'yi'guan'dai'zai'chen 乙冠带在辰
'yi'hai 乙亥
'yi'ji'shu'hou'xiang 乙己鼠猴乡
'yi'jue'zai'you 乙绝在酉
'yi'lin'guan'zai'mao 乙临官在卯
'yi'liu'wei'shui 一六为水
'yi'lu'zai'mao 乙禄在卯
'yi'ma 驿马
'yi'mao 乙卯
'yi'mao 易冒
'yi'mu 乙木
'yi'mu'yu'zai'si 乙沐浴在巳
'yi'mu'zai'xu 乙墓在戌
'yi'nian 乙年
'yi'qi 乙奇
'yi'qi'zhuan'wang 一气专旺
'yi'ren'zai'yin 乙刃在寅
'yi'shuai'zai'chou 乙衰在丑
'yi'si 乙巳
'yi'si'si'jue 一四四诀
'yi'si'zai'hai 乙死在亥
'yi'tai'zai'shen 乙胎在申
'yi'wai'zai'nan 意外灾难
'yi'wei 乙未
'yi'yang'zai'wei 乙养在未
'yi'yi 乙已
'yi'yin 易隐
'yi'you 乙酉
'yi'zhu 异柱
'yin'ba 引拔
'yin'cang'jia'bing'wu 寅藏甲丙戊
'yin'cha'yang'cuo 阴差阳错
'yin'dang'zhi'he 淫荡之合
'yin'dong 阴动
'yin'gui 阴贵
'yin'hai 寅亥
'yin'hai'he 寅亥合
'yin'hai'he'hua'mu 寅亥合化木
'yin'hai'yang'men 阴害阳门
'yin'huo 阴火
'yin'jin 阴金
'yin'mao 寅卯
'yin'mao'chen 寅卯辰
'yin'mao'chen'ren'jian'si'wei'gu'jian'chou'wei'gua 寅卯辰人见巳为孤见丑为寡
'yin'mu 寅木
'yin'mu 阴木
'yin'mu'fu'mu 寅木父母
'yin'mu'fu'mu'chi'shi 寅木父母持世
'yin'mu'guan'gui 寅木官鬼
'yin'mu'guan'gui'chi'shi 寅木官鬼持世
'yin'mu'qi'cai 寅木妻财
'yin'mu'qi'cai'chi'shi 寅木妻财持世
'yin'mu'xiong'di 寅木兄弟
'yin'mu'xiong'di'chi'shi 寅木兄弟持世
'yin'mu'zi'sun 寅木子孙
'yin'mu'zi'sun'chi'shi 寅木子孙持世
'yin'nan 阴男
'yin'nv 阴女
'yin'ri 寅日
'yin'sha 阴煞
'yin'shen 寅申
'yin'shen'chong 寅申冲
'yin'shi 寅时
'yin'shui 阴水
'yin'si 寅巳
'yin'si'hai 寅巳害
'yin'si'shen 寅巳申
'yin'tu 印土
'yin'wu'xu 寅午戌
'yin'wu'xu'he'hua'huo 寅午戌合化火
'yin'wu'xu'jian'bing'wei'yue'de 寅午戌见丙为月德
'yin'wu'xu'jian'hai'wei'jie'sha 寅午戌见亥为劫煞
'yin'wu'xu'jian'mao'wei'tao'hua 寅午戌见卯为桃花
'yin'wu'xu'jian'shen'wei'yi'ma 寅午戌见申为驿马
'yin'wu'xu'jian'si'wei'wang'shen 寅午戌见巳为亡神
'yin'wu'xu'jian'wu'wei'jiang'xing 寅午戌见午为将星
'yin'wu'xu'jian'xu'wei'hua'gai 寅午戌见戌为华盖
'yin'wu'xu'jian'zi'wei'zai'sha 寅午戌见子为灾煞
'yin'wu'xu'ma'zai'shen 寅午戌马在申
'yin'yang 阴阳
'yin'yang'yu'wu'xing 阴阳与五行
'yin'yue 寅月
'ying'chi 应持
'ying'hao'shi 应好事
'ying'huai'shi 应坏事
'ying'kong 应空
'ying'qi 应期
'ying'ru'tai'bai 荧入太白
'ying'shi 应事
'ying'yao 应爻
'yong'jiu 用九
'yong'liu 用六
'yong'shen 用神
'yong'shen'ke'shi 用神克世
'yong'shen'sheng'shi 用神生世
'yong'shen'shuai'bai 用神衰败
'yong'wang'shi'xing 用旺世兴
'yong'yao 用爻
'you'bi 右弼
'you'hun 游魂
'you'hun'ru'mu 游魂入墓
'you'jin 酉金
'you'jin'fu'mu 酉金父母
'you'jin'fu'mu'chi'shi 酉金父母持世
'you'jin'guan'gui 酉金官鬼
'you'jin'guan'gui'chi'shi 酉金官鬼持世
'you'jin'qi'cai 酉金妻财
'you'jin'qi'cai'chi'shi 酉金妻财持世
'you'jin'xiong'di 酉金兄弟
'you'jin'xiong'di'chi'shi 酉金兄弟持世
'you'jin'zi'sun 酉金子孙
'you'jin'zi'sun'chi'shi 酉金子孙持世
'you'nv'jian'yin 幼女奸淫
'you'ri 酉日
'you'shi 酉时
'you'shui'dao'zuo 右水倒左
'you'xu 酉戌
'you'xu'hai 酉戌害
'you'yong'dong'yao 有用动爻
'you'yue 酉月
'yu'ce'mo'shi 预测模式
'yu'ce'shu 预测术
'yu'nv'shou'men 玉女守门
'yu'qi 余气
'yu'shen'de'qi 狱神得奇
'yu'zhao'ding'zhen'jing 玉照定真经
'yuan'hai'zi'ping 渊海子平
'yuan'ming'ju 原命局
'yuan'shen 元神
'yuan'shen 原神
'yuan'shou 元首
'yuan'xin'bi'zhi 远信必至
'yue'de 月德
'yue'de'gui'ren 月德贵人
'yue'gan 月干
'yue'he 月合
'yue'jian 月建
'yue'jiang 月将
'yue'ke 月克
'yue'ling 月令
'yue'mu 月墓
'yue'po 月破
'yue'qi'bei'shi 月奇悖师
'yue'sheng 月生
'yue'zhu 月柱
'yue'zhu'guan'sui'yun'cheng 月柱管岁运程
'yun'cheng 运程
'yun'dun 云遁
'yun'xian 运限
'za'qi 杂气
'zai'sha 灾煞
'ze'di'cui 泽地翠
'ze'di'cui 泽地萃
'ze'feng'da'guo 泽风大过
'ze'gong'ba'gua 泽宫八卦
'ze'huo'ge 泽火革
'ze'lei'sui 泽雷随
'ze'shan'xian 泽山咸
'ze'shui'kun 泽水困
'ze'tian'jue 泽天夬
'zei'ke'fa 贼克法
'zei'ke'ke 贼克课
'zeng'shan'bu'yi 增删卜易
'zhan'ge 战格
'zhang'jue 掌诀
'zhen'gong 震宫
'zhen'gong'ba'gua 震宫八卦
'zhen'gua 震卦
'zhen'san'gong 震三宫
'zhen'si 震四
'zhen'wei'lei 震为雷
'zhen'yang'yu 震仰盂
'zheng'cai 正财
'zheng'ding'er'shen'gong 正丁二申宫
'zheng'guan 正官
'zheng'yan 徵验
'zheng'yin 正印
'zhi'fu 值符
'zhi'fu'fei'gong 值符飞宫
'zhi'run 置闰
'zhi'yi 知一
'zhong'chuan 中传
'zhong'qi 中气
'zhu'gua 主卦
'zhu'luo'san'xian 竹罗三限
'zhu'que 朱雀
'zhu'que'ru'mu 朱雀入墓
'zhu'que'ru'yu 朱雀入狱
'zhu'que'tou'jiang 朱雀投江
'zhuang'gua 装卦
'zhui'xia 缀瑕
'zi'chou 子丑
'zi'chou'he 子丑合
'zi'chou'he'hua'tu 子丑合化土
'zi'hua'ji 自化忌
'zi'hua'ke 自化科
'zi'hua'lu 自化禄
'zi'hua'quan 自化权
'zi'mao 子卯
'zi'nv 子女
'zi'ping'zhen'zhi 子平真侄
'zi'ren 自任
'zi'ri 子日
'zi'shi 子时
'zi'shui 子水
'zi'shui'fu'mu 子水父母
'zi'shui'fu'mu'chi'shi 子水父母持世
'zi'shui'guan'gui 子水官鬼
'zi'shui'guan'gui'chi'shi 子水官鬼持世
'zi'shui'qi'cai 子水妻财
'zi'shui'qi'cai'chi'shi 子水妻财持世
'zi'shui'xiong'di 子水兄弟
'zi'shui'xiong'di'chi'shi 子水兄弟持世
'zi'shui'zi'sun 子水子孙
'zi'shui'zi'sun'chi'shi 子水子孙持世
'zi'si'chou'geng'zhong 子巳丑庚中
'zi'sun 子孙
'zi'sun'chen'tu 子孙辰土
'zi'sun'chen'tu'chi'shi 子孙辰土持世
'zi'sun'chi'shi 子孙持世
'zi'sun'chou'tu 子孙丑土
'zi'sun'chou'tu'chi'shi 子孙丑土持世
'zi'sun'hai'shui 子孙亥水
'zi'sun'hai'shui'chi'shi 子孙亥水持世
'zi'sun'mao'mu 子孙卯木
'zi'sun'mao'mu'chi'shi 子孙卯木持世
'zi'sun'shen'jin 子孙申金
'zi'sun'shen'jin'chi'shi 子孙申金持世
'zi'sun'si'huo 子孙巳火
'zi'sun'si'huo'chi'shi 子孙巳火持世
'zi'sun'wei'tu 子孙未土
'zi'sun'wei'tu'chi'shi 子孙未土持世
'zi'sun'wu'huo 子孙午火
'zi'sun'wu'huo'chi'shi 子孙午火持世
