'ai'guo'zhu'yi 爱国主义
'zui'che'di'de'ren'min'xing 最彻底的人民性
'zui'gao'ren'min'jian'cha'yuan 最高人民检察院
'zui'guang'da'ren'min 最广大人民
'zui'guang'da'ren'min'de'gen'ben'li'yi 最广大人民的根本利益
'zui'pu'bian'de'gong'ping'xing 最普遍的公平性
'zui'you'xiao'de'xie'tiao'xing 最有效的协调性
'zun'gan'ai'bing 尊干爱兵
'zun'xun'gui'lv 遵循规律
'zun'yi'hui'yi 遵义会议
'zun'zhong'ren'min'zhu'ti'di'wei 尊重人民主体地位
'zuo'feng'jiao'yu 作风教育
'zuo'feng'you'liang 作风优良
'zuo'hao'shi 做好事
