'a'er'tai'xue'ji 阿尔泰雪鸡
'hong'yao'zhu'que 红腰朱雀
'hong'yuan'ji 红原鸡
'hong'zui'gou'zui'mei 红嘴钩嘴鹛
'hong'zui'ju'yan'ou 红嘴巨燕鸥
'hong'zui'lan'que 红嘴蓝鹊
'hong'zui'liang'niao 红嘴椋鸟
'hong'zui'meng 红嘴鹲
'hong'zui'ou 红嘴鸥
'hong'zui'shan'ya 红嘴山鸦
'hong'zui'xiang'si'niao 红嘴相思鸟
'hong'zui'ya'que 红嘴鸦雀
'hou'zui'lv'jiu 厚嘴绿鸠
'hou'zui'wei'ying 厚嘴苇莺
'hou'zui'zhuo'hua'niao 厚嘴啄花鸟
'hu'ban'di'dong 虎斑地鸫
'hu'dong 槲鸫
'hu'tou'hai'diao 虎头海雕
'hu'wen'bo'lao 虎纹伯劳
'hu'wu'jiu 胡兀鹫
'hua'cai'que'ying 花彩雀莺
'hua'fu'lv'zhuo'mu'niao 花腹绿啄木鸟
'hua'guan'zhou'kui'xi'niao 花冠皱盔犀鸟
'hua'lian'ya 花脸鸭
'hua'mei 画眉
'hua'nan'ban'xiong'gou'zui'mei 华南斑胸钩嘴鹛
'hua'nan'guan'wen'liu'ying 华南冠纹柳莺
'hua'tian'ji 花田鸡
'hua'tou'xiu'liu 花头鸺鹠
'hua'tou'ying'wu 花头鹦鹉
'hua'wei'zhen'ji 花尾榛鸡
'hua'xi'bai'yao'yu'yan 华西白腰雨燕
'hua'xi'liu'ying 华西柳莺
'huan'jing'heng 环颈鸻
'huan'jing'qian'ya 环颈潜鸭
'huan'jing'shan'zhe'gu 环颈山鹧鸪
'huan'jing'zhi 环颈雉
'huan'zui'ou 环嘴鸥
'huan'zui'yu 鹮嘴鹬
'huang'ban'wei'zhan 黄斑苇鳽
'huang'e'ya'que 黄额鸦雀
'huang'e'yan 黄额燕
'huang'fu'guan'bei 黄腹冠鹎
'huang'fu'hua'mi'niao 黄腹花蜜鸟
'huang'fu'jiao'zhi 黄腹角雉
'huang'fu'liu 黄腹鹨
'huang'fu'liu'ying 黄腹柳莺
'huang'fu'shan'jiao'ying 黄腹山鹪莺
'huang'fu'shan'que 黄腹山雀
'huang'fu'shan'wei'weng 黄腹扇尾鹟
'huang'fu'shu'ying 黄腹树莺
'huang'fu'weng'ying 黄腹鹟莺
'huang'fu'zhuo'hua'niao 黄腹啄花鸟
'huang'guan'zhuo'mu'niao 黄冠啄木鸟
'huang'hou'feng'hu 黄喉蜂虎
'huang'hou'que'mei 黄喉雀鹛
'huang'hou'sui'mei 黄喉穗鹛
'huang'hou'wu 黄喉鹀
'huang'hou'zhi'chun 黄喉雉鹑
'huang'ji'ling 黄鹡鸰
'huang'jia'mai'ji 黄颊麦鸡
'huang'jia'shan'que 黄颊山雀
'huang'jiao'lv'jiu 黄脚绿鸠
'huang'jiao'san'zhi'chun 黄脚三趾鹑
'huang'jing'feng'mei 黄颈凤鹛
'huang'jing'ni'la'zui'que 黄颈拟蜡嘴雀
'huang'jing'zhuo'mu'niao 黄颈啄木鸟
'huang'lv'bei 黄绿鹎
'huang'mei'ji'weng 黄眉姬鹟
'huang'mei'lin'que 黄眉林雀
'huang'mei'liu'ying 黄眉柳莺
'huang'mei'wu 黄眉鹀
'huang'mo'bo'lao 荒漠伯劳
'huang'mo'lin'ying 荒漠林莺
'huang'pu'yang'hai'yan 黄蹼洋海燕
'huang'que 黄雀
'huang'tou'ji'ling 黄头鹡鸰
'huang'tui'yin'ou 黄腿银鸥
'huang'tui'yu'xiao 黄腿渔鸮
'huang'tun'bei 黄臀鹎
'huang'tun'zhuo'hua'niao 黄臀啄花鸟
'huang'wen'ni'zhuo'mu'niao 黄纹拟啄木鸟
'huang'wu 黄鹀
'huang'xiong'bin'yu 黄胸滨鹬
'huang'xiong'liu'ying 黄胸柳莺
'huang'xiong'lv'que 黄胸绿鹊
'huang'xiong'wu 黄胸鹀
'huang'xiong'zhi'que 黄胸织雀
'huang'yao'liu'ying 黄腰柳莺
'huang'yao'tai'yang'niao 黄腰太阳鸟
'huang'zhao'sun 黄爪隼
'huang'zhi'sou'mei 黄痣薮鹛
'huang'zui'bai'lu 黄嘴白鹭
'huang'zui'jiao'xiao 黄嘴角鸮
'huang'zui'lan'que 黄嘴蓝鹊
'huang'zui'li'zhuo'mu'niao 黄嘴栗啄木鸟
'huang'zui'qian'niao 黄嘴潜鸟
'huang'zui'shan'ya 黄嘴山鸦
'huang'zui'zhu'ding'que 黄嘴朱顶雀
'hui'bai'hou'lin'ying 灰白喉林莺
'hui'ban'jiu 灰斑鸠
'hui'ban'pu'yu 灰瓣蹼鹬
'hui'bei'bo'lao 灰背伯劳
'hui'bei'dong 灰背鸫
'hui'bei'liang'niao 灰背椋鸟
'hui'bei'ou 灰背鸥
'hui'bei'sun 灰背隼
'hui'bei'yan'wei 灰背燕尾
'hui'bo'lao 灰伯劳
'hui'chi'dong 灰翅鸫
'hui'chi'fu'ou 灰翅浮鸥
'hui'chi'ou 灰翅鸥
'hui'chi'zao'mei 灰翅噪鹛
'hui'duan'jiao'bei 灰短脚鹎
'hui'fu'di'ying 灰腹地莺
'hui'fu'jiao'zhi 灰腹角雉
'hui'fu'xiu'yan'niao 灰腹绣眼鸟
'hui'fu'zao'mei 灰腹噪鹛
'hui'guan'weng'ying 灰冠鹟莺
'hui'guan'ya'que 灰冠鸦雀
'hui'he 灰鹤
'hui'heng 灰鸻
'hui'hou'liu'ying 灰喉柳莺
'hui'hou'sha'yan 灰喉沙燕
'hui'hou'shan'jiao'niao 灰喉山椒鸟
'hui'hou'ya'que 灰喉鸦雀
'hui'hou'zhen'wei'yu'yan 灰喉针尾雨燕
'hui'hu 灰鹱
'hui'ji'ling 灰鹡鸰
'hui'jia'xian'weng 灰颊仙鹟
'hui'jing'wu 灰颈鹀
'hui'juan'wei 灰卷尾
'hui'kong'que'zhi 灰孔雀雉
'hui'kuang'que'mei 灰眶雀鹛
'hui'lan'ji'weng 灰蓝姬鹟
'hui'lan'shan'que 灰蓝山雀
'hui'lian'kuang'ying 灰脸鵟鹰
'hui'lian'weng'ying 灰脸鹟莺
'hui'liang'niao 灰椋鸟
'hui'lin 灰林
'hui'lin'ge 灰林鸽
'hui'lin'xiao 灰林鸮
'hui'liu'ying 灰柳莺
'hui'mei'yan'wu 灰眉岩鹀
'hui'qi'mei 灰奇鹛
'hui'shan'chun 灰山鹑
'hui'shan'jiao'niao 灰山椒鸟
'hui'shu'que 灰树鹊
'hui'tou'ban'chi'mei 灰头斑翅鹛
'hui'tou'dong 灰头鸫
'hui'tou'gou'zui'mei 灰头钩嘴鹛
'hui'tou'hui'que 灰头灰雀
'hui'tou'liang'niao 灰头椋鸟
'hui'tou'liu'ying 灰头柳莺
'hui'tou'lv'jiu 灰头绿鸠
'hui'tou'lv'zhuo'mu'niao 灰头绿啄木鸟
'hui'tou'mai'ji 灰头麦鸡
'hui'tou'que'mei 灰头雀鹛
'hui'tou'sou'mei 灰头薮鹛
'hui'tou'wu 灰头鹀
'hui'tou'ya'que 灰头鸦雀
'hui'tou'ying'wu 灰头鹦鹉
'hui'wei'piao'yu 灰尾漂鹬
'hui'wen'weng 灰纹鹟
'hui'wu 灰鹀
'hui'xi'que 灰喜鹊
'hui'xie'zao'mei 灰胁噪鹛
'hui'xiong'shan'jiao'ying 灰胸山鹪莺
'hui'xiong'sou'mei 灰胸薮鹛
'hui'xiong'yang'ji 灰胸秧鸡
'hui'xiong'zhu'ji 灰胸竹鸡
'hui'yan 灰雁
'hui'yan'duan'jiao'bei 灰眼短脚鹎
'hui'yan'heng 灰燕鸻
'hui'yan'jiao'mei 灰岩鹪鹛
'hui'yan'ju 灰燕鵙
'hui'yan'liu'ying 灰岩柳莺
'huo'ban'jiu 火斑鸠
'huo'guan'que 火冠雀
'huo'shi'xuan'mu'que 霍氏旋木雀
'huo'wei'lv'mei 火尾绿鹛
'huo'wei'tai'yang'niao 火尾太阳鸟
'huo'wei'xi'mei 火尾希鹛
'ji'bei'liu'ying 极北柳莺
'ji'bei'zhu'ding'que 极北朱顶雀
'ji'tian'ji 姬田鸡
'ji'yu 姬鹬
'ji'yu 矶鹬
'ji'zha'liu'ying 叽喳柳莺
'jia'ba'ge 家八哥
'jia'ma'que 家麻雀
'jia'na'da'hei'yan 加拿大黑雁
'jia'ya 家鸦
'jia'yan 家燕
'jian'heng 剑鸻
'jian'wei'bin'yu 尖尾滨鹬
'jian'zui'ou 剪嘴鸥
'jiao'bai'ling 角百灵
'jiao'liao 鹪鹩
'jiao'zui'hai'que 角嘴海雀
'jin'bei'zhuo'mu'niao 金背啄木鸟
'jin'chi'que 金翅雀
'jin'diao 金雕
'jin'e'que'mei 金额雀鹛
'jin'e'si'que 金额丝雀
'jin'e'ye'bei 金额叶鹎
'jin'guan'di'ying 金冠地莺
'jin'guan'shu'ba'ge 金冠树八哥
'jin'heng 金鸻
'jin'hou'ni'zhuo'mu'niao 金喉拟啄木鸟
'jin'huang'li 金黄鹂
'jin'kuang'heng 金眶鸻
'jin'kuang'weng'ying 金眶鹟莺
'jin'se'lin'qu 金色林鸲
'jin'se'ya'que 金色鸦雀
'jin'tou'shan'wei'ying 金头扇尾莺
'jin'tou'sui'mei 金头穗鹛
'jin'xiong'ge'qu 金胸歌鸲
'jin'xiong'que'mei 金胸雀鹛
'jin'yan'mei'que 金眼鹛雀
'jin'yao'yan 金腰燕
'jin'zhen'hei'que 金枕黑雀
'jiu'hong'zhu'que 酒红朱雀
'ju'chi'mai'ji 距翅麦鸡
'ju'zui'duan'chi'huang'ying 巨嘴短翅蝗莺
'ju'zui'liu'ying 巨嘴柳莺
'ju'zui'sha'que 巨嘴沙雀
'juan'tou'feng'ying 鹃头蜂鹰
'juan'yu'ti'hu 卷羽鹈鹕
'kan'cha'jia'liu'ying 堪察加柳莺
'ku'shi'bai'yao'yu'yan 库氏白腰雨燕
'ku'ye'dao'huang'ying 库页岛蝗莺
'ku'ye'dao'liu'ying 库页岛柳莺
'kuan'wei'shu'ying 宽尾树莺
'kuan'zui'weng'ying 宽嘴鹟莺
'kuo'zui'yu 阔嘴鹬
'la'shi'sha'zhui 拉氏沙锥
'lan'ba'se'dong 蓝八色鸫
'lan'bei'ba'se'dong 蓝背八色鸫
'lan'chi'ba'se'dong 蓝翅八色鸫
'lan'chi'xi'mei 蓝翅希鹛
'lan'chi'ye'bei 蓝翅叶鹎
'lan'chi'zao'mei 蓝翅噪鹛
'lan'da'chi'qu 蓝大翅鸲
'lan'duan'chi'dong 蓝短翅鸫
'lan'e'di'qu 蓝额地鸲
'lan'e'hong'wei'qu 蓝额红尾鸲
'lan'er'cui'niao 蓝耳翠鸟
'lan'er'ni'zhuo'mu'niao 蓝耳拟啄木鸟
'lan'fei'cui 蓝翡翠
'lan'fu'xian 蓝腹鹇
'lan'ge'qu 蓝歌鸲
'lan'guan'zao'mei 蓝冠噪鹛
'lan'hou'feng'hu 蓝喉蜂虎
'lan'hou'ge'qu 蓝喉歌鸲
'lan'hou'ni'zhuo'mu'niao 蓝喉拟啄木鸟
'lan'hou'tai'yang'niao 蓝喉太阳鸟
'lan'hou'xian'weng 蓝喉仙鹟
'lan'ji'dong 蓝矶鸫
'lan'jia'feng'hu 蓝颊蜂虎
'lan'lian'jian'niao 蓝脸鲣鸟
'lan'lv'que 蓝绿鹊
'lan'ma'ji 蓝马鸡
'lan'mei'lin'qu 蓝眉林鸲
'lan'tou'hong'wei'qu 蓝头红尾鸲
'lan'tou'ji'dong 蓝头矶鸫
'lan'wu 蓝鹀
'lan'xiong'chun 蓝胸鹑
'lan'xiong'fo'fa'seng 蓝胸佛法僧
'lan'xu'ye'feng'hu 蓝须夜蜂虎
'lan'yao'ying'wu 蓝腰鹦鹉
'lan'zhen'ba'se'dong 蓝枕八色鸫
'lan'zhen'hua'mi'niao 蓝枕花蜜鸟
'li'ban'du'juan 栗斑杜鹃
'li'ban'fu'wu 栗斑腹鹀
'li'bei'bo'lao 栗背伯劳
'li'bei'duan'chi'dong 栗背短翅鸫
'li'bei'duan'jiao'bei 栗背短脚鹎
'li'bei'qi'mei 栗背奇鹛
'li'bei'yan'liu 栗背岩鹨
'li'e'ban'chi'mei 栗额斑翅鹛
'li'e'ju'mei 栗额鵙鹛
'li'er'duan'jiao'bei 栗耳短脚鹎
'li'er'feng'mei 栗耳凤鹛
'li'er'wu 栗耳鹀
'li'fu'ge'qu 栗腹歌鸲
'li'fu'ji'dong 栗腹矶鸫
'li'fu'wen'niao 栗腹文鸟
'li'hou'feng'hu 栗喉蜂虎
'li'hou'ju'mei 栗喉鵙鹛
'li'jia'zao'mei 栗颊噪鹛
'li'jing'feng'mei 栗颈凤鹛
'li'jing'zao'mei 栗颈噪鹛
'li'se'qi'mei 丽色奇鹛
'li'shu'ya 栗树鸭
'li'tou'ba'se'dong 栗头八色鸫
'li'tou'feng'hu 栗头蜂虎
'li'tou'que'mei 栗头雀鹛
'li'tou'shu'ying 栗头树莺
'li'tou'weng'ying 栗头鹟莺
'li'tou'zhan 栗头鳽
'li'tou'zhi'ye'ying 栗头织叶莺
'li'tun'zao'mei 栗臀噪鹛
'li'wei'ji'weng 栗尾姬鹟
'li'wei'zhan 栗苇鳽
'li'wu 栗鹀
'li'xiao 栗鸮
'li'xing'liao'mei 丽星鹩鹛
'li'xing'zao'mei 丽星噪鹛
'li'yu 蛎鹬
'li'yuan 栗鸢
'li'zhuo'mu'niao 栗啄木鸟
'lian'chi'ji 镰翅鸡
'liao'ge 鹩哥
'lie'sun 猎隼
'lin'ba'ge 林八哥
'lin'diao 林雕
'lin'diao'xiao 林雕鸮
'lin'fu'lv'zhuo'mu'niao 鳞腹绿啄木鸟
'lin'ling'que 林岭雀
'lin'liu 林鹨
'lin'liu'ying 林柳莺
'lin'san'zhi'chun 林三趾鹑
'lin'sha'zhui 林沙锥
'lin'tou'shu'ying 鳞头树莺
'lin'xiong'jiao'mei 鳞胸鹪鹛
'lin'ye'ying 林夜鹰
'lin'yu 林鹬
'ling'jiao'xiao 领角鸮
'ling'ju'mei 领鵙鹛
'ling'que'zui'bei 领雀嘴鹎
'ling'xiu'liu 领鸺鹠
'ling'yan'heng 领燕鸻
'ling'yan'liu 领岩鹨
'liu'huang'wu 硫黄鹀
'liu'lei'niao 柳雷鸟
'liu'qiu'ge'qu 琉球歌鸲
'liu'qiu'ji'weng 琉球姬鹟
'liu'qiu'shan'jiao'niao 琉球山椒鸟
'liu'su'yu 流苏鹬
'liu'ya 瘤鸭
'lu'shi'que'mei 路氏雀鹛
'lu'wu 芦鹀
'lu'ying 芦莺
'luo'wen'ya 罗纹鸭
'lv'bei'ji'weng 绿背姬鹟
'lv'bei'lu'ci 绿背鸬鹚
'lv'bei'shan'que 绿背山雀
'lv'chi'duan'jiao'bei 绿翅短脚鹎
'lv'chi'jin'jiu 绿翅金鸠
'lv'chi'ya 绿翅鸭
'lv'hou'feng'hu 绿喉蜂虎
'lv'hou'tai'yang'niao 绿喉太阳鸟
'lv'huang'jiu 绿皇鸠
'lv'jiao'shu'zhe'gu 绿脚树鹧鸪
'lv'kong'que 绿孔雀
'lv'kuan'zui'dong 绿宽嘴鸫
'lv'lu 绿鹭
'lv'mei'ya 绿眉鸭
'lv'ni'zhuo'mu'niao 绿拟啄木鸟
'lv'tou'ya 绿头鸭
'lv'wei'hong'zhi 绿尾虹雉
'lv'xiong'ba'se'dong 绿胸八色鸫
'lv'zui'di'juan 绿嘴地鹃
'ma'que 麻雀
'mao'ban'huang'ying 矛斑蝗莺
'mao'jiao'kuang 毛脚鵟
'mao'jiao'yan 毛脚燕
'mao'sun 矛隼
'mao'tui'diao'xiao 毛腿雕鸮
'mao'tui'sha'ji 毛腿沙鸡
'mao'tui'ye'ying 毛腿夜鹰
'mao'wen'cao'mei 矛纹草鹛
'mei'shan'que 煤山雀
'mei'zhou'hai'ou 美洲海鸥
'meng'gu'bai'ling 蒙古百灵
'meng'gu'sha'heng 蒙古沙鸻
'meng'gu'sha'que 蒙古沙雀
'meng'sun 猛隼
'meng'xiao 猛鸮
'mian'fu 棉凫
'mian'liu'ying 冕柳莺
'mian'que 冕雀
'mo'bai'hou'lin'ying 漠白喉林莺
'nan'ji'zei'ou 南极贼鸥
'nan'ya'ban'zui'ya 南亚斑嘴鸭
'nao'meng'duan'wei'mei 瑙蒙短尾鹛
'ni'bo'er'jiao'mei 尼泊尔鹪鹛
'ni'da'zhu'que 拟大朱雀
'niu'bei'lu 牛背鹭
'niu'tou'bo'lao 牛头伯劳
'nong'gang'sui'mei 弄岗穗鹛
'ou'ban'jiu 欧斑鸠
'ou'ge 欧鸽
'ou'ge'dong 欧歌鸫
'ou'jin'chi'que 欧金翅雀
'ou'jin'heng 欧金鸻
'ou'liu'ying 欧柳莺
'ou'wu'dong 欧乌鸫
'ou'ya'da'shan'que 欧亚大山雀
'ou'ya'hong'wei'qu 欧亚红尾鸲
'ou'ya'kuang 欧亚鵟
'ou'ya'qu 欧亚鸲
'ou'ya'xi'que 欧亚喜鹊
'ou'ya'xuan'mu'que 欧亚旋木雀
'ou'ye'ying 欧夜鹰
'ou'zui'zao'ou 鸥嘴噪鸥
'pi'zui'ya 琵嘴鸭
'piao'yu 漂鹬
'ping'yuan'liu 平原鹨
'pu'tong'cui'niao 普通翠鸟
'pu'tong'hai'ou 普通海鸥
'pu'tong'kuang 普通鵟
'pu'tong'lu'ci 普通鸬鹚
'pu'tong'qiu'sha'ya 普通秋沙鸭
'pu'tong'yan'heng 普通燕鸻
'pu'tong'yan'ou 普通燕鸥
'pu'tong'yang'ji 普通秧鸡
'pu'tong'ye'ying 普通夜鹰
'pu'tong'ying'juan 普通鹰鹃
'pu'tong'yu'yan 普通雨燕
'pu'tong'zhu'que 普通朱雀
'pu'wei'ying 蒲苇莺
'pu'wu 圃鹀
'qi'lian'shan'lan'wei'qu 祁连山蓝尾鸲
'qian'zui'guan 钳嘴鹳
'qiang'jiao'shu'ying 强脚树莺
'qiao'bi'ma'ya 翘鼻麻鸭
'qiao'zui'yu 翘嘴鹬
'qing'jiao'bin'yu 青脚滨鹬
'qing'jiao'yu 青脚鹬
'qing'tou'qian'ya 青头潜鸭
'qing'tou'ying'wu 青头鹦鹉
'qing'zang'sha'heng 青藏沙鸻
'qing'zang'xi'que 青藏喜鹊
'qing'zang'xie'wei'bo'lao 青藏楔尾伯劳
'qiu'yu 丘鹬
'qu'huang'ying 鸲蝗莺
'qu'ji'weng 鸲姬鹟
'qu'yan'liu 鸲岩鹨
'que'li 鹊鹂
'que'qu 鹊鸲
'que'ya 鹊鸭
'que'yao 鹊鹞
'que'ying 雀鹰
'ri'ben'ge'qu 日本歌鸲
'ri'ben'hui'tou'wu 日本灰头鹀
'ri'ben'ji'ling 日本鹡鸰
'ri'ben'liu'ying 日本柳莺
'ri'ben'mian'liu'ying 日本冕柳莺
'ri'ben'song'que'ying 日本松雀鹰
'ri'ben'xiu'yan'niao 日本绣眼鸟
'ri'ben'ying'xiao 日本鹰鸮
'rou'chui'mai'ji 肉垂麦鸡
'sai'shi'li'ying 赛氏篱莺
'san'bao'niao 三宝鸟
'san'dao'mei'cao'wu 三道眉草鹀
'san'zhi'bin'yu 三趾滨鹬
'san'zhi'cui'niao 三趾翠鸟
'san'zhi'ou 三趾鸥
'san'zhi'ya'que 三趾鸦雀
'san'zhi'zhuo'mu'niao 三趾啄木鸟
'sha'qiu'he 沙丘鹤
'sha'se'zhu'que 沙色朱雀
'shan'ban'jiu 山斑鸠
'shan'huang'jiu 山皇鸠
'shan'ji'ling 山鹡鸰
'shan'jiao'ying 山鹪莺
'shan'lan'xian'weng 山蓝仙鹟
'shan'liu 山鹨
'shan'ma'que 山麻雀
'shan'mei 山鹛
'shan'wei'sha'zhui 扇尾沙锥
'shan'zao'mei 山噪鹛
'shao'ji 勺鸡
'shao'zui'yu 勺嘴鹬
'she'diao 蛇雕
'shi'heng 石鸻
'shi'ji 石鸡
'shi'que 石雀
'shou'dai 寿带
'shu'hong'zhu'que 曙红朱雀
'shu'liu 树鹨
'shu'wu 黍鹀
'shuang'ban'bai'ling 双斑百灵
'shuang'ban'lv'liu'ying 双斑绿柳莺
'shuang'bian'ba'se'dong 双辫八色鸫
'shuang'jiao'xi'niao 双角犀鸟
'shui'liu 水鹨
'shui'zhi 水雉
'si'chuan'dan'bei'di'dong 四川淡背地鸫
'si'chuan'duan'chi'huang'ying 四川短翅蝗莺
'si'chuan'he'tou'shan'que 四川褐头山雀
'si'chuan'lin'xiao 四川林鸮
'si'chuan'liu'ying 四川柳莺
'si'chuan'shan'zhe'gu 四川山鹧鸪
'si'chuan'xuan'mu'que 四川旋木雀
'si'guang'liang'niao 丝光椋鸟
'si'rong'hai'fan'ya 丝绒海番鸭
'si'sheng'du'juan 四声杜鹃
'song'ji 松鸡
'song'que 松雀
'song'que'ying 松雀鹰
'song'ya 松鸦
'suo'yu'he 蓑羽鹤
'ta'wei'shu'que 塔尾树鹊
'tai'ping'niao 太平鸟
'tai'ping'yang'qian'niao 太平洋潜鸟
'tai'wan'bai'hou'zao'mei 台湾白喉噪鹛
'tai'wan'bai'mei'lin'qu 台湾白眉林鸲
'tai'wan'ban'chi'mei 台湾斑翅鹛
'tai'wan'ban'xiong'gou'zui'mei 台湾斑胸钩嘴鹛
'tai'wan'bei 台湾鹎
'tai'wan'dai'ju 台湾戴菊
'tai'wan'duan'chi'huang'ying 台湾短翅蝗莺
'tai'wan'hua'mei 台湾画眉
'tai'wan'huang'shan'que 台湾黄山雀
'tai'wan'hui'tou'hui'que 台湾灰头灰雀
'tai'wan'jiao'mei 台湾鹪鹛
'tai'wan'jiu'hong'zhu'que 台湾酒红朱雀
'tai'wan'lan'duan'chi'dong 台湾蓝短翅鸫
'tai'wan'lan'que 台湾蓝鹊
'tai'wan'lan'xian'weng 台湾蓝仙鹟
'tai'wan'lin'qu 台湾林鸲
'tai'wan'ni'zhuo'mu'niao 台湾拟啄木鸟
'tai'wan'que'mei 台湾雀鹛
'tai'wan'shan'zhe'gu 台湾山鹧鸪
'tai'wan'za'se'shan'que 台湾杂色山雀
'tai'wan'zao'mei 台湾噪鹛
'tai'wan'zhu'ji 台湾竹鸡
'tai'wan'zi'xiao'dong 台湾紫啸鸫
'tai'wan'zong'jing'gou'zui'mei 台湾棕颈钩嘴鹛
'tai'wan'zong'zao'mei 台湾棕噪鹛
'tian'dong 田鸫
'tian'liu 田鹨
'tian'wu 田鹀
'tiao'er'bei 条耳鹎
'tiao'wen'zao'mei 条纹噪鹛
'tie'zhua'wu 铁爪鹀
'tie'zui'sha'heng 铁嘴沙鸻
'tong'chi'shui'zhi 铜翅水雉
'tong'lan'weng 铜蓝鹟
'tu'bi'wu'ya 秃鼻乌鸦
'tu'guan 秃鹳
'tu'jiu 秃鹫
'wan'zui'bin'yu 弯嘴滨鹬
'wei'shi'weng'ying 韦氏鹟莺
'wei'wu 苇鹀
'wen'bei'bu'zhu'niao 纹背捕蛛鸟
'wen'fu'zhuo'mu'niao 纹腹啄木鸟
'wen'hou'bei 纹喉鹎
'wen'hou'feng'mei 纹喉凤鹛
'wen'hou'lv'zhuo'mu'niao 纹喉绿啄木鸟
'wen'tou'ban'chi'mei 纹头斑翅鹛
'wen'xiong'ban'chi'mei 纹胸斑翅鹛
'wen'xiong'jiao'mei 纹胸鹪鹛
'wen'xiong'mei 纹胸鹛
'wen'xiong'zhi'que 纹胸织雀
'wen'xiong'zhuo'mu'niao 纹胸啄木鸟
'wen'xu'que 文须雀
'wu'diao 乌雕
'wu'dong 乌鸫
'wu'hui'dong 乌灰鸫
'wu'hui'yao 乌灰鹞
'wu'jiu 兀鹫
'wu'juan 乌鹃
'wu'lin'xiao 乌林鸮
'wu'weng 乌鹟
'wu'yan'ou 乌燕鸥
'wu'zui'liu'ying 乌嘴柳莺
'xi'an'chun 西鹌鹑
'xi'bin'yu 西滨鹬
'xi'bo'li'ya'yin'ou 西伯利亚银鸥
'xi'hong'jiao'sun 西红脚隼
'xi'hong'jue'xiao 西红角鸮
'xi'huang'ji'ling 西黄鹡鸰
'xi'hui'bo'lao 西灰伯劳
'xi'nan'cheng'fu'ye'bei 西南橙腹叶鹎
'xi'nan'guan'wen'liu'ying 西南冠纹柳莺
'xi'nan'hui'mei'yan'wu 西南灰眉岩鹀
'xi'que 喜鹊
'xi'shan'bai'mei'zhu'que 喜山白眉朱雀
'xi'shan'dan'bei'di'dong 喜山淡背地鸫
'xi'shan'hong'yao'zhu'que 喜山红腰朱雀
'xi'shan'huang'fu'shu'ying 喜山黄腹树莺
'xi'shan'jin'bei'zhuo'mu'niao 喜山金背啄木鸟
'xi'shan'kuang 喜山鵟
'xi'shan'lan'duan'chi'dong 喜山蓝短翅鸫
'xi'shan'shan'jiao'ying 喜山山鹪莺
'xi'shu'cao'wu 稀树草鹀
'xi'wen'wei'ying 细纹苇莺
'xi'wen'zao'mei 细纹噪鹛
'xi'yang'ji 西秧鸡
'xi'yu'shan'mei 西域山鹛
'xi'zang'mao'tui'sha'ji 西藏毛腿沙鸡
'xi'zui'duan'zhi'bai'ling 细嘴短趾百灵
'xi'zui'gou'zui'mei 细嘴钩嘴鹛
'xi'zui'huang'li 细嘴黄鹂
'xi'zui'ou 细嘴鸥
'xi'zui'que 锡嘴雀
'xian'ba'se'dong 仙八色鸫
'xian'luo'ban'liang'niao 暹罗斑椋鸟
'xian'wei'yan 线尾燕
'xiao'bai'e'yan 小白额雁
'xiao'bai'yao'yu'yan 小白腰雨燕
'xiao'ban'ji'weng 小斑姬鹟
'xiao'ban'zhuo'mu'niao 小斑啄木鸟
'xiao'bao 小鸨
'xiao'biao'yu 小杓鹬
'xiao'bin'yu 小滨鹬
'xiao'du'juan 小杜鹃
'xiao'feng'tou'yan'ou 小凤头燕鸥
'xiao'hei'bei'yin'ou 小黑背银鸥
'xiao'hei'ling'zao'mei 小黑领噪鹛
'xiao'hu'ban'di'dong 小虎斑地鸫
'xiao'huang'jiao'yu 小黄脚鹬
'xiao'huang'ying 小蝗莺
'xiao'hui'shan'jiao'niao 小灰山椒鸟
'xiao'jin'bei'zhuo'mu'niao 小金背啄木鸟
'xiao'juan'jiu 小鹃鸠
'xiao'lin'xiong'jiao'mei 小鳞胸鹪鹛
'xiao'mei'zhou'hei'yan 小美洲黑雁
'xiao'ou 小鸥
'xiao'ou 笑鸥
'xiao'pan'wei 小盘尾
'xiao'qian'ya 小潜鸭
'xiao'qing'jiao'yu 小青脚鹬
'xiao'rong'ya 小绒鸭
'xiao'tai'ping'niao 小太平鸟
'xiao'tian'e 小天鹅
'xiao'tian'ji 小田鸡
'xiao'wei'zhan 小苇鳽
'xiao'wu 小鹀
'xiao'xian'weng 小仙鹟
'xiao'xing'tou'zhuo'mu'niao 小星头啄木鸟
'xiao'ya'juan 小鸦鹃
'xiao'yan'wei 小燕尾
'xiao'yun'que 小云雀
'xiao'zui'heng 小嘴鸻
'xiao'zui'wu'ya 小嘴乌鸦
'xie'wei'bo'lao 楔尾伯劳
'xie'wei'hu 楔尾鹱
'xie'wei'lv'jiu 楔尾绿鸠
'xie'wei'ou 楔尾鸥
'xie'zui'sui'mei 楔嘴穗鹛
'xin'jiang'ge'qu 新疆歌鸲
'xin'shi'yuan'wei'hu 信使圆尾鹱
'xing'tou'zhuo'mu'niao 星头啄木鸟
'xing'ya 星鸦
'xiu'fu'duan'chi'dong 锈腹短翅鸫
'xiu'hong'fu'xuan'mu'que 锈红腹旋木雀
'xiu'hou'liao'mei 锈喉鹩鹛
'xiu'lian'gou'zui'mei 锈脸钩嘴鹛
'xiu'shi'bai'hou'lin'ying 休氏白喉林莺
'xiu'shi'xuan'mu'que 休氏旋木雀
