'ai'ce'ban 矮侧板
'qu'jian'che 区间车
'qu'liang'shi'zhuan'xiang'jia 曲梁式转向架
'qu'xing'li 取行李
'quan'che'zhen'dong'shi'yan'tai 全车振动试验台
'quan'jin'shu'ke'che 全金属客车
'quan'kai'wei'zhi 全开位置
'que'yue'zhen'mu 缺月枕木
'qun'ban 裙板
'ran'mei'du'li'wen'shui'cai'nuan'zhuang'zhi 燃煤独立温水采暖装置
'ran'mei'wen'shui'guo'lu 燃煤温水锅炉
'ran'you'du'li'wen'shui'cai'nuan'zhuang'zhi 燃油独立温水采暖装置
'ran'you'wen'shui'guo'lu 燃油温水锅炉
're'beng 热泵
're'feng'cai'nuan'zhuang'zhi 热风采暖装置
're'gong'shi'yan'shi 热工试验室
're'lie'wen 热裂纹
'ren'kong'gai 人孔盖
'ruan'xi 软席
'sai'ru'men 塞入门
'sai'ru'men'dao'lun 塞入门导轮
'san'da'jian'zhuan'xiang'jia 三大件转向架
'san'deng'piao 三等票
'san'gui'lu 三轨路
'san'kai'dao'cha 三开道岔
'san're'guan 散热管
'san'ya'li'ji'gou 三压力机构
'san'zhou'zhuan'xiang'jia 三轴转向架
'san'zhuang'shui'ni'che 散装水泥车
'sao'xue'ban 扫雪板
'se'deng'xin'hao 色灯信号
'sha'shi'che 砂石车
'shang'an 上鞍
'shang'fang'tiao'tai 上防跳台
'shang'kai'chuang 上开窗
'shang'la'gan 上拉杆
'shang'nao'du 上挠度
'shang'pang'cheng 上旁承
'shang'pu 上铺
'shang'qiang'ban 上墙板
'shang'xin'pan 上心盘
'shang'xing'che 上行车
'shang'zuo'yong'che'gou 上作用车钩
'shen'pen'fu'ban 深盆辐板
'sheng'chu'che 牲畜车
'sheng'shuan 绳栓
'shi'fa'zhan 始发站
'shi'gong'ce'liang 施工测量
'shi'jiao'ding'qi'piao 市郊定期票
'shi'jiao'ke'che 市郊客车
'shi'jue'xin'hao 视觉信号
'shi'qu'tie'lu 市区铁路
'shi'wen'kong'zhi'qi 室温控制器
'shi'zhi'dong'ju'li 实制动距离
'shi'zhi'dong'shi'jian 实制动时间
'shou'dong'shui'beng 手动水泵
'shou'dong'xin'hao 手动信号
'shou'huo'ren 收货人
'shou'piao'chu 售票处
'shou'piao'ting 售票厅
'shou'piao'yuan 收票员
'shou'zhi'dong'ji 手制动机
'shou'zhi'dong'lian'lun 手制动链轮
'shou'zhi'dong'qu'guai 手制动曲拐
'shu'zhuang'jia 梳妆架
'shuang'ce'ta'mian'zhi'dong 双侧踏面制动
'shuang'ceng'jiao'che'ping'che 双层轿车平车
'shuang'guan'ying'guang'deng 双管荧光灯
'shuang'lian'gang'gan 双联杠杆
'shuang'shi'feng'gang 双室风缸
'shuang'tong'bi'deng 双筒壁灯
'shuang'tou'ji'che 双头机车
'shuang'xian'tie'lu 双线铁路
'shuang'xian'zhi 双线制
'shuang'xiang'feng'gang 双向风缸
'shui'pan 水盘
'shui'ta 水塔
'shui'wei'biao 水位表
'shui'wen'kong'zhi'qi 水温控制器
'shui'xiang'yan'shui'fa 水箱验水阀
'si'fen'zhen'mu 四分枕木
'si'fu'pi'lao'shi'yan'ji 伺服疲劳试验机
'si'ji 司机
'si'lu 司炉
'si'yong'guang'bo'ji 四用广播机
'si'zhou'che 四轴车
'song'feng'dao 送风道
'su'liao'zhou'wa'tou 塑料轴瓦头
'sui'dao'she'ying'che 隧道摄影车
'suo'duan'zhuang'zhi 缩短装置
'suo'jin'zhong'xin'xiao 锁紧中心销
'ta'mian'bo'li 踏面剥离
'ta'mian'ca'shang 踏面擦伤
'ta'mian'ji'dian 踏面基点
'ta'mian'mo'hao 踏面磨耗
'ta'mian'qing'sao'qi 踏面清扫器
'ta'mian'wai'xing 踏面外形
'ta'mian'zhui'du 踏面锥度
'tai'wei'li'yong'xi'shu 台位利用系数
'tan'huang'dong'nao'du 弹簧动挠度
'tan'huang'gang'du 弹簧刚度
'tan'huang'jian'gui 弹簧尖轨
'tan'huang'jing'nao'du 弹簧静挠度
'tan'huang'mo'ca'shi'huan'chong'qi 弹簧摩擦式缓冲器
'tan'huang'rou'du 弹簧柔度
'tan'huang'tuo'ban 弹簧托板
'tan'huang'tuo'liang 弹簧托梁
'tan'huang'xuan'gua'zhuang'zhi 弹簧悬挂装置
'tan'xing'ding'wei'lun'dui 弹性定位轮对
'tan'xing'pang'cheng 弹性旁承
'tan'xing'zhi'dang 弹性止挡
'tao'che 套车
'te'deng'ke'che 特等客车
'te'deng'wo'shi 特等卧室
'ti'sheng'fa 提升阀
'tian'chuang 天窗
'tiao'gui 跳轨
'tiao'liang'she'bei 调梁设备
'tie'lu'ju 铁路局
'tie'lu'qiao 铁路桥
'tie'lu'sui'dao 铁路隧道
'tie'lu'xian 铁路线
'ting'che'xin'hao 停车信号
'ting'jue'xin'hao 听觉信号
'ting'zhu'zhi'dong 停驻制动
'tong'che'dian'li 通车典礼
'tong'feng'che 通风车
'tong'feng'qi 通风器
'tong'guo'zui'xiao'qu'xian'ban'jing 通过最小曲线半径
'tong'qi'kou 通气口
'tong'yong'huo'che 通用货车
'tou'cheng'che 偷乘车
'tou'deng'piao 头等票
'tui'xing'li'che 推行李车
'tuo'gui'qi 脱轨器
'tuo'yuan'tan'huang 椭圆弹簧
'wa'fang 挖方
'wai'ding'ban 外顶板
'wai'duan'men 外端门
'wai'duan'qiang 外端墙
'wan'dao 弯道
'wan'qu'gui'dao 弯曲轨道
'wan'xing'zhi'fa 弯形止阀
'wang'fu'shi'zhi'leng'ya'suo'ji 往复式制冷压缩机
'wei'deng 尾灯
'wei'kuang 尾框
'wen'ding'xing'an'quan'xi'shu 稳定性安全系数
'wen'ding'yun'xing'gong'kuang 稳定运行工况
'wen'shui'cai'nuan'zhuang'zhi 温水采暖装置
'wen'shui'xiang 温水箱
'wen'xun'chu 问询处
'wo'che 卧车
'wo'shi 卧室
'wu'dao'kuang'shi'zhuan'xiang'jia 无导框式转向架
'wu'hua'bei 雾化杯
'wu'hua'lun 雾化轮
'wu'jian'xi'qian'yin'gan 无间隙牵引杆
'wu'tong'sai'men 五通塞门
'wu'xin'dao'cha 无心道岔
'wu'yao'dong'tai'shi'zhuan'xiang'jia 无摇动台式转向架
'wu'yao'zhen'zhuan'xiang'jia 无摇枕转向架
'wu'zhong'liang'di'jia 无中梁底架
'xi'bie'deng 席别灯
'xi'guan'peng 洗罐棚
'xi'guan'she'bei 洗罐设备
'xi'guan'xian 洗罐线
'xi'guan'zhan 洗罐站
'xi'mian'jian 洗面间
'xi'mian'qi 洗面器
'xi'ru'ya'li'tiao'jie'fa 吸入压力调节阀
'xi'shou'qi 洗手器
'xia'che 下车
'xia'chui 下垂
'xia'fang'tiao'tai 下防跳台
'xia'kai'chuang 下开窗
'xia'pu 下铺
'xia'qiang'ban 下墙板
'xia'xin'pan 下心盘
'xia'xing'che 下行车
'xia'zuo'yong'che'gou 下作用车钩
'xia'zuo'yong'shui'fa 下作用水阀
'xian'ya'fa 限压阀
'xiang'dui'mo'ca'xi'shu 相对摩擦系数
'xiang'dui'zu'ni'xi'shu 相对阻尼系数
'xiang'jiao'dian 橡胶垫
'xiang'jiao'dui 橡胶堆
'xiang'jiao'huan'chong'qi 橡胶缓冲器
'xiang'jiao'mo'ca'shi'huan'chong'qi 橡胶摩擦式缓冲器
'xiang'jiao'tan'xing'dao'zhu'shi'zhou'xiang'ding 橡胶弹性导柱式轴箱定
'xiao'fan 小贩
'xiao'heng'liang 小横梁
'xiao'mai'bu 小卖部
'xiao'yao'dai 小腰带
'xiao'zhan 小站
'xie'dui'chen'zai'he 斜对称载荷
'xie'xie 斜楔
'xin'hao'ji 信号机
'xin'hao'lou 信号楼
'xin'hao'yuan 信号员
'xin'pan'mian'zi'you'gao 心盘面自由高
'xin'pan'zai'he 心盘载荷
'xin'pan'zuo 心盘座
'xing'che'zhu'ren 行车主任
'xing'fu'ban 形辐板
'xing'li'biao'qian 行李标签
'xing'li'che 行李车
'xing'li'fang 行李房
'xing'li'jia 行李架
'xing'li'piao 行李票
'xing'li'shi 行李室
'xing'li'zan'cun'chu 行李暂存处
'xiu'che'ku 修车库
'xiu'che'tai'wei'chang'du 修车台位长度
'xiu'che'xian 修车线
'xu'dian'chi'xiang 蓄电池箱
'xuan'kong'tie'lu 悬空铁路
'xue'sheng'piao 学生票
'xun'huan'dang'ban 循环挡板
'ya'jin'zhuang'zhi 压紧装置
'ya'kuai 压块
'ya'li'feng'gang 压力风缸
'ya'li'zhu'guan 压力主管
'ya'shi'shui'fa 压式水阀
'yan'chang'gan 延长杆
'yang'lu'fei 养路费
'yao'kong'xin'hao 遥控信号
'yao'zhen'dang 摇枕挡
'yao'zhen'dang'jian'xi 摇枕挡间隙
'yao'zhen'diao 摇枕吊
'yao'zhen'diao'zhou 摇枕吊轴
'yao'zhen'tan'huang 摇枕弹簧
'ye'li'qi'dong'shi'huan'chong'qi 液力气动式缓冲器
'ye'mian'gao'du'zhi'shi'pai 液面高度指示牌
'ye'ya'shi'huan'chong'qi 液压式缓冲器
'yi'che'ta 移车塔
'yi'ci'mo'hao'che'lun 一次磨耗车轮
'yi'dong'gang'gan 移动杠杆
'yi'ti'cong'ban'zuo 一体从板座
'yi'ti'gou'jia'zhuan'xiang'jia 一体构架转向架
'yi'wei'ce 一位侧
'yi'wei'duan 一位端
'yi'xi'xuan'gua 一系悬挂
'ying'xi 硬席
'you'cao'gang'gui 有槽钢轨
'you'che 邮车
'you'dao'tong'shi'zhou'xiang'ding'wei'zhuang'zhi 油导筒式轴箱定位装置
'you'fen'li'qi 油分离器
'you'gu'che'lun 有箍车轮
'you'juan 油卷
'you'lan'che 游览车
'you'lan'piao 游览票
'you'xian'shi 油线室
'you'xiao'rong'ji 有效容积
'you'zheng'jian 邮政间
'you'zhong'liang'di'jia 有中梁底架
'yu'fu'liang 鱼腹梁
'yu'wei'ban'lian'jie 鱼尾板连接
'yu'yan 雨檐
'yuan'pan'xin'hao 圆盘信号
'yuan'zhu'gun'zi'zhou'cheng 圆柱滚子轴承
'yuan'zhui'gun'zi'zhou'cheng 圆锥滚子轴承
'yue'du'deng 阅读灯
'yue'piao 月票
'yue'tai 月台
'yue'tai'che 月台车
'yue'tai'di'dao 月台地道
'yue'tai'piao 月台票
'yue'tai'tian'qiao 月台天桥
'yun'xing'guo'du'gong'kuang 运行过渡工况
'yun'xing'pin'zhi 运行品质
'yun'xu'zhou'zai'he 允许轴载荷
'yun'ying'duan'duan'chang 运营段段长
'yun'yong'kao'yan 运用考验
'yun'zhi'lie'che 匀质列车
'zai'he'bi'li'fa 载荷比例阀
'zai'he'chuan'gan'fa 载荷传感阀
'zai'zhong 载重
'zha'lan'men 栅栏门
'zha'pian 闸片
'zha'wa'bei 闸瓦背
'zha'wa'cha'xiao 闸瓦插销
'zha'wa'jian'xi'zi'dong'tiao'jie'qi 闸瓦间隙自动调节器
'zha'wa'shi'yan'tai 闸瓦试验台
'zha'wa'tuo 闸瓦托
'zha'wa'ya'li 闸瓦压力
'zhai'che'xiu 摘车修
'zhai'gui'tie'lu 窄轨铁路
'zhai'xia'de'ke'che 摘下的客车
'zhan'ming'biao 站名标
'zhan'tai'peng 站台棚
'zhan'xiu 站修
'zhan'xiu'xian 站修线
'zhan'zhang 站长
'zhan'zhang'shi 站长室
'zhang'da'huo'wu'che 长大货物车
'zhang'quan'shi'mi'feng 涨圈式密封
'zhao'ming'wen'ya'qi 照明稳压器
'zhao'ming'zhuang'zhi 照明装置
'zhe'die'zuo'yi 折叠座椅
'zhen'kong'gang 真空缸
'zhen'kong'zhi'dong'zhuang'zhi 真空制动装置
'zhen'liang 枕梁
'zhen'mu 枕木
'zhen'xing'bi'deng 枕形壁灯
'zheng'bei'pin'zhong'liang 整备品重量
'zheng'bei'xian'pei'zhi'xi'shu 整备线配置系数
'zheng'dao 正道
'zheng'fa'qi 蒸发器
'zheng'qi'cai'nuan'zhuang'zhi 蒸汽采暖装置
'zheng'qi'ji'che 蒸汽机车
'zheng'qi'ta 蒸汽塔
'zheng'ti'cheng'zai'jie'gou 整体承载结构
'zhi'da'che 直达车
'zhi'dong'an'ding'xing 制动安定性
'zhi'dong'bei'lv 制动倍率
'zhi'dong'bu'shuai'jie'xing 制动不衰竭性
'zhi'dong'chu'su 制动初速
'zhi'dong'gang'gan'chuan'dong'xiao'lv 制动杠杆传动效率
'zhi'dong'gang'hou'gang'gan 制动缸后杠杆
'zhi'dong'gang'huo'sai'xing'cheng 制动缸活塞行程
'zhi'dong'gang'qian'gang'gan 制动缸前杠杆
'zhi'dong'gang'ya'li'bao'chi'fa 制动缸压力保持阀
'zhi'dong'guan'lu 制动管路
'zhi'dong'jian'xiu'suo 制动检修所
'zhi'dong'liang'cao'gang 制动梁槽钢
'zhi'dong'liang'gong'xing'gan 制动梁弓形杆
'zhi'dong'liang'la'gan 制动梁拉杆
'zhi'dong'liang'xia'la'gan 制动梁下拉杆
'zhi'dong'liang'zhi'zhu 制动梁支柱
'zhi'dong'ling'min'du 制动灵敏度
'zhi'dong'lv 制动率
'zhi'dong'ruan'guan 制动软管
'zhi'dong'ruan'guan'lian'jie'qi 制动软管连接器
'zhi'dong'shi 制动室
'zhi'dong'shi'jian 制动时间
'zhi'dong'shuai'jie'xing 制动衰竭性
'zhi'dong'wen'ding'xing 制动稳定性
'zhi'dong'xi'tong 制动系统
'zhi'dong'xiao'lv 制动效率
'zhi'dong'zhi'guan 制动支管
'zhi'dong'zhi'guan'san'tong 制动支管三通
'zhi'dong'zhu'guan 制动主管
'zhi'dong'zhu'sai 制动柱塞
'zhi'fu'ban 直辐板
'zhi'jiang'che 纸浆车
'zhi'jiao'jie'zhi'fa 直角截止阀
'zhi'jie'jin'ru'fa 直接进入阀
'zhi'leng'jia'wen'zhuang'zhi 制冷加温装置
'zhi'shi'deng 指示灯
'zhi'shi'yan 值试验
'zhi'tong'jie'zhi'fa 直通截止阀
'zhi'tong'kong'qi'zhi'dong'zhuang'zhi 直通空气制动装置
'zhi'tong'zhi'dong'guan 直通制动管
'zhi'xian 支线
'zhi'ya'shi'cai'nuan'zhuang'zhi 直压式采暖装置
'zhi'ya'shi'nuan'qi'tiao'zheng'fa 直压式暖汽调整阀
'zhong'che 重车
'zhong'dian'zhan 终点站
'zhong'jian'shi'yan 中间试验
'zhong'jian'ti 中间体
'zhong'jian'zhan 中间站
'zhong'jian'zhen'mu 中间枕木
'zhong'liang 中梁
'zhong'liang'xuan'bi'bu 中梁悬臂部
'zhong'lin'zha'wa 中磷闸瓦
'zhong'tu'xia'che 中途下车
'zhong'xin'pai'you'fa 中心排油阀
'zhong'yang'huan'chong'qi 中央缓冲器
'zhong'yang'xie'kuai 中央楔块
'zhong'ye'deng 终夜灯
'zhou'cheng'duan'gai 轴承端盖
'zhou'jing 轴颈
'zhou'jing'hou'jian 轴颈后肩
'zhou'jing'zhong'xin'ju 轴颈中心距
'zhou'ling 轴领
'zhou'shen 轴身
'zhou'wa'dian 轴瓦垫
'zhou'wen 轴温
'zhou'xiang'cheng'tai 轴箱承台
'zhou'xiang'dang 轴箱挡
'zhou'xiang'dao'kuang 轴箱导框
'zhou'xiang'dao'kuang'jian'xi 轴箱导框间隙
'zhou'xiang'gai 轴箱盖
'zhou'xiang'hou'gai 轴箱后盖
'zhou'xiang'qian'gai 轴箱前盖
'zhou'xiang'tan'huang 轴箱弹簧
'zhou'xiang'tan'huang'zhi'zhu 轴箱弹簧支柱
'zhou'xiang'ti 轴箱体
'zhou'zai'he 轴载荷
'zhou'zhong'yang'bu 轴中央部
'zhou'zhuang'pan'xing'zhi'dong 轴装盘形制动
'zhu'cha 柱插
'zhu'shui'kou 注水口
'zhu'ye'tong 贮液桶
'zhu'you'zhen'mu 注油枕木
'zhuan'bi'shi'zhou'xiang'ding'wei'zhuang'zhi 转臂式轴箱定位装置
'zhuan'che'pan 转车盘
'zhuan'dong'che'gou'mei'che 转动车钩煤车
'zhuan'dong'shi'che'gou 转动式车钩
'zhuan'dong'zuo'yi 转动座椅
'zhuan'huan'sai'men 转换塞门
'zhuan'lie 专列
'zhuan'xiang'jia'ce'jia 转向架侧架
'zhuan'xiang'jia'dui'jiao'xian 转向架对角线
'zhuan'xiang'jia'gou'jia 转向架构架
'zhuan'xiang'jia'huan'zhuang'suo 转向架换装所
'zhuan'xiang'jia'ji'chu'zhi'dong 转向架基础制动
'zhuan'xiang'jia'niu'qu'gang'du 转向架扭曲刚度
'zhuan'xiang'jia'shi'che 转向架式车
'zhuan'xiang'jia'yao'zhen 转向架摇枕
'zhuan'xiang'jia'zhi'dong'zu'jian 转向架制动组件
'zhuan'xiang'jia'zu'quan'zhou'ju 转向架组全轴距
'zhuan'xiang'xian 转向线
'zhuan'zhe'qi'gen 转辙器根
'zhuang'huo'kou 装货口
'zhuang'xie'jian'xiu'suo 装卸检修所
'zi'che 子车
'zi'dao'xiang'jing'xiang'zhuan'xiang'jia 自导向径向转向架
'zi'dong'gao'du'tiao'zheng'zhuang'zhi 自动高度调整装置
'zi'dong'kong'qi'zhi'dong'zhuang'zhi 自动空气制动装置
'zi'ran'tong'feng'zhuang'zhi 自然通风装置
'zi'you'che'lun 自由车轮
'zi'zhong'xi'shu 自重系数
'zong'liang'qiao 纵梁桥
'zong'rong'ji 总容积
'zong'xiang'jia'su'du 纵向加速度
'zong'zhong 总重
'zou'ban 走板
'zou'lang 走廊
'zou'xing'zhuang'zhi 走行装置
'zu'he'shi'zhuan'xiang'jia 组合式转向架
'zu'ni'xi'shu 阻尼系数
'zui'da'qing'xie'wei'zhi 最大倾斜位置
'zui'da'wai'yi'wei'zhi 最大外移位置
'zuo'shi'bian'qi 坐式便器
'zuo'wei 座位
'zuo'yong'bu 作用部
'zuo'yong'fa 作用阀
