'a'fu'ta'kui'yang 阿弗他溃疡
'kou'qiang'mei'rong'xue 口腔美容学
'kou'qiang'nei'ke'xue 口腔内科学
'kou'qiang'nian'mo 口腔粘膜
'kou'qiang'nian'mo'xia'xian'wei'hua 口腔粘膜下纤维化
'kou'qiang'pei'tai'xue 口腔胚胎学
'kou'qiang'qian'ting 口腔前庭
'kou'qiang'ru'chuang 口腔褥疮
'kou'qiang'shang'he'dou'lou 口腔上颌窦瘘
'kou'qiang'sheng'li'xue 口腔生理学
'kou'qiang'ti'qiang'she'ying'ji 口腔体腔摄影机
'kou'qiang'wai'ke'xue 口腔外科学
'kou'qiang'wei'sheng 口腔卫生
'kou'qiang'xiu'fu'xue 口腔修复学
'kou'qiang'yi'xue 口腔医学
'kou'qiang'zhen'duan'xue 口腔诊断学
'kou'qiang'zheng'ji'dian'han'ji 口腔正畸点焊机
'kou'qiang'zheng'ji'xue 口腔正畸学
'kou'qiang'zhong'zhi'xue 口腔种植学
'kou'qiang'zu'zhi'xue 口腔组织学
'kou'wai'miao'ji'qi 口外描记器
'kou'wai'zhi'kang 口外支抗
'ku'le'ya'li'shuan'ding'xi'lie 库勒压力栓钉系列
'kuai'su'jin'xing'xing'ya'zhou'yan 快速进行性牙周炎
'kuang'dian 眶点
'kuang'xia'jian'xi 眶下间隙
'kuang'xia'kong'guan'zhu'she'fa 眶下孔管注射法
'kuang'xia'lie'hou'fang'zhu'she'fa 眶下裂后方注射法
'kui'yang'xing'kou'yan 溃疡性口炎
'kuo'gong'luo'xuan'qi 扩弓螺旋器
'la'dao 蜡刀
'la'shao 蜡勺
'la'xing'zhi'zuo 蜡型制作
'lao'nian'kou'qiang'yi'xue 老年口腔医学
'lei'ya'gu'zhi 类牙骨质
'lei'zhuang'qi 蕾状期
'lei'zhuang'ya 蕾状牙
'li'jia'bing 里加病
'li'xiang'gong 理想弓
'li'xin'zhu'zao'ji 离心铸造机
'lian'he'ka'huan 联合卡环
'lian'he'yin'mo 联合印模
'lian'he'zhi'chi 联合支持
'lian'he'zhi'chi'shi 联合支持式
'lian'jie'ti 连接体
'lian'xing'jie'zhi'qi 镰形洁治器
'lian'xu'gan'gu'wei'ti 连续杆固位体
'lian'xu'ka'huan 连续卡环
'lian'xu'xiao'huan'jie'za'shu 连续小环结扎术
'liang'xing'cheng'ya'gu'zhi'xi'bao'liu 良性成牙骨质细胞瘤
'liang'xing'lin'ba'shang'pi'bing'bian 良性淋巴上皮病变
'lie'wen 裂纹
'lie'wen'she 裂纹舌
'lie'xi 裂隙
'lie'zuan 裂钻
'lin'ba'liu'xing'ru'tou'zhuang'nang'xian'liu 淋巴瘤性乳头状囊腺瘤
'lin'chuang'guan 临床冠
'lin'jie'mian 邻接面
'lin'mian'jie'chu 邻面接触
'lin'mian'zhou'gou 邻面轴沟
'lin'suan'gui'zhan'gu'ji 磷酸硅粘固剂
'lin'suan'xin'zhan'gu'ji 磷酸锌粘固剂
'lin'zhuang'xi'bao'ru'tou'zhuang'liu 鳞状细胞乳头状瘤
'liu'dian'bing'bian 流电病变
'liu'dian'ci'ji 流电刺激
'liu'xian 流涎
'long'zhuang'zhong'zhi'ti 笼状种植体
'lu'di'dian 颅底点
'lu'sui 露髓
'luan'yuan'kong'zhu'she'fa 卵圆孔注射法
'luo'xuan'zhong'zhi'ti 螺旋种植体
'lv'fang'ya'jiao 氯仿牙胶
'lv'pao'xing'cheng'you'xi'bao'liu 滤泡型成釉细胞瘤
'ma'li'lan'gu'ding'qiao 马里兰固定桥
'mai'fu'ya 埋伏牙
'mai'kao'er'yin'yuan'tu 麦考尔龈缘突
'man'xing'bi'suo'xing'ya'sui'yan 慢性闭锁性牙髓炎
'man'xing'kui'yang'xing'ya'sui'yan 慢性溃疡性牙髓炎
'man'xing'zeng'sheng'xing'ya'sui'yan 慢性增生性牙髓炎
'mang'fa'xian'ju'ke'tu'jie'kai'shu 盲法线锯髁突截开术
'mao'zhuang'bai'ban 毛状白斑
'mao'zhuang'gu'nei'zhong'zhi'ti 锚状骨内种植体
'mao'zhuang'qi 帽状期
'meng'chu'qi'nang'zhong 萌出期囊肿
'meng'ya'kun'nan 萌牙困难
'mi'ku'li'qi'bing 米库利奇病
'mi'lan'xing'bai'ban 糜烂性白斑
'mian'bu'ce'mao 面部侧貌
'mian'gong 面弓
'mian'gong'ji'lu 面弓记录
'mian'heng'lie 面横裂
'mian'juan'kou'yan 棉卷口炎
'mian'lie'nang'zhong 面裂囊肿
'mian'xie'lie 面斜裂
'miao'ji'zhuang'zhi 描记装置
'mo'duan'jiao'lian'wei 末端铰链位
'mo'duan'qie'duan'qian 末端切断钳
'mo'duan'zhong'zhi'ti 末端种植体
'mo'er'si'jie'zhi'qi 莫尔斯洁治器
'mo'guang'mian 磨光面
'mo'guang'qi 磨光器
'mo'guang'tiao 磨光条
'mo'guang'yong'xiang'pi'bei 磨光用橡皮杯
'mo'guang'zuan 磨光钻
'mo'hao'xiao'ping'mian 磨耗小平面
'mo'sun'zheng 磨损症
'mo'xing'cai'liao 模型材料
'mo'xing'wai'ke 模型外科
'mo'xing'xiu'zheng'ji 模型修整机
'mo'xing'zhen'dang'qi 模型振荡器
'mo'ya 磨牙
'mo'ya'ban'qie'shu 磨牙半切术
'mo'ya'hou'san'jiao 磨牙后三角
'mo'ya'hou'xian 磨牙后腺
'mo'ya'pang'e'wai'ya 磨牙旁额外牙
'mo'ya'pi 磨牙癖
'mu'ban'yan'jiu 模板研究
'nai'gao'wen'bao'mai'cai'liao 耐高温包埋材料
'nai'gao'wen'mo'xing 耐高温模型
'nai'suan'shui'jie'xing'xian'wei 耐酸水解性纤维
'nan'si'sheng'yu'jian'xi 南斯剩余间隙
'nang'xing'cheng'you'xi'bao'liu 囊性成釉细胞瘤
'nei'fan'xing'dao'guan'ru'tou'zhuang'liu 内翻性导管乳头状瘤
'nei'xie'ji 内斜嵴
'nei'you'shang'pi 内釉上皮
'ni'xing'xing'ya'sui'yan 逆行性牙髓炎
'nian'gu'mo'fen'li'qi 粘骨膜分离器
'nian'jie'gu'ding'qiao 粘结固定桥
'nian'mo'ban 粘膜瓣
'nian'mo'gu'mo 粘膜骨膜
'nian'mo'liang'xing'lin'ba'zu'zhi'zeng'sheng'bing 粘膜良性淋巴组织增生病
'nian'mo'nei'zhong'zhi'shu 粘膜内种植术
'nian'mo'xia'jin'run'ma'zui 粘膜下浸润麻醉
'nian'mo'xia'qian'ting'cheng'xing'shu 粘膜下前庭成形术
'nian'mo'xia'zhong'zhi'ti 粘膜下种植体
'nian'mo'ya'yin'jie 粘膜牙龈界
'nian'mo'zhi'chi 粘膜支持
'nian'mo'zhi'chi'shi 粘膜支持式
'nian'ye'biao'pi'yang'ai 粘液表皮样癌
'nian'ye'nang'xian'liu 粘液囊腺瘤
'nian'ye'nang'zhong 粘液囊肿
'nian'ye'xian'ai 粘液腺癌
'nie'jian'xi 颞间隙
'nie'xia'he'guan'jie'ce'wei'ti'ceng'pian 颞下颌关节侧位体层片
'nie'xia'he'guan'jie'gong'neng'wen'luan'zong'he'zheng 颞下颌关节功能紊乱综合征
'nie'xia'he'guan'jie'jin'zhang'zong'he'zheng 颞下颌关节紧张综合征
'nie'xia'he'guan'jie'qian'tuo'wei 颞下颌关节前脱位
'nie'xia'he'guan'jie'zao'ying'shu 颞下颌关节造影术
'nie'xia'jian'xi 颞下间隙
'nie'xia'wo'zong'he'zheng 颞下窝综合征
'niu'jiao'xing'ba'ya'qian 牛角形拔牙钳
'niu'zhuan'cuo'wei 扭转错位
'pa'sa'wang'dian 帕萨旺垫
'pai'ya 排牙
'pao'guang'lun 抛光轮
'pao'zhen'xing'yin'kou'yan 疱疹性龈口炎
'pao'zhen'yang'a'fu'ta'kou'yan 疱疹样阿弗他口炎
'pen'sha'ji 喷砂机
'pi'dao 劈刀
'pi'suo'gen'guan'zuan 皮索根管钻
'pi'zhi'xian'lin'ba'xian'liu 皮脂腺淋巴腺瘤
'pian'ce'tu'he 偏侧凸颌
'ping'heng'ce 平衡侧
'ping'hua'mian'qu 平滑面龋
'ping'mian'dao'ban 平面导板
'po'guan'qi 破冠器
'po'ya'gu'zhi'xi'bao 破牙骨质细胞
'po'ya'xi'bao 破牙细胞
'qi'qiang 气枪
'qi'wo'lun'ji 气涡轮机
'qian'dao 前导
'qian'du'xing'kou'yan 铅毒性口炎
'qian'gong 前弓
'qian'gong'qu 前弓区
'qian'mo'ya 前磨牙
'qian'qi'bai'ban 前期白斑
'qian'qi'ya'ben'zhi 前期牙本质
'qian'shen'guan'xi 前伸关系
'qian'shen'ke'dao'xie'du 前伸髁导斜度
'qian'shen'ping'heng 前伸平衡
'qian'shen'yun'dong 前伸运动
'qian'ti 嵌体
'qian'ti'gu'wei'ti 嵌体固位体
'qian'ti'la 嵌体蜡
'qian'ting'cheng'xing'shu 前庭成形术
'qian'ting'dun 前庭盾
'qian'ting'gou'kuo'zhan'shu 前庭沟扩展术
'qian'xing'xing'qu 潜行性龋
'qian'ya 前牙
'qian'yin'gou 牵引钩
'qiang'kou'zhou'wei'jiang'xi'bao'zeng'duo'zong'he'zheng 腔口周围浆细胞增多综合征
'qiao'gu'wei'ti 桥固位体
'qiao'ji 桥基
'qiao'ji'ya 桥基牙
'qie'chu'xing'ya'zhou'mo'xin'fu'zhuo'shu 切除性牙周膜新附着术
'qie'dao 切导
'qie'dao 切道
'qie'dao'pan 切导盘
'qie'dao'xie'du 切导斜度
'qie'dao'xie'du 切道斜度
'qie'dao'zhen 切导针
'qie'duan'gou 切端沟
'qie'duan'zhi'tuo 切端支托
'qie'jiao 切角
'qie'ya 切牙
'qie'yuan 切缘
'qie'yuan'jie'jie 切缘结节
'qing'chun'qi'yin'yan 青春期龈炎
'qing'chun'qian'qi'ya'zhou'yan 青春前期牙周炎
'qing'shao'nian'xing'ya'zhou'yan 青少年型牙周炎
'qing'yang'hua'gai'dian'di'ji 氢氧化钙垫底剂
'qiong'zhi'yin'mu'cai'liao 琼脂印模材料
'qiu'xing'ya 球形牙
'qiu'zhuang'shang'he'nang'zhong 球状上颌囊肿
'qiu'zuan 球钻
'qu 龋
'qu'bing'xue 龋病学
'qu'guan'qi 去冠器
'qu'shi'bu 龋失补
'qu'shi'bu'ya 龋失补牙
'qu'shi'bu'ya'mian 龋失补牙面
'quan'gong'wei'tou'zhao'shu 颧弓位投照术
'quan'guan 全冠
'quan'he'zhong'zhi'ti 全颌种植体
'quan'hou'ban 全厚瓣
'quan'kou'yi'chi 全口义齿
'quan'kou'yi'chi'xiu'fu'xue 全口义齿修复学
'quan'xing'ka'huan 圈形卡环
'que'xi'bao'chi'qi 缺隙保持器
'que'ya'jian'xi 缺牙间隙
'ren'dai'wei 韧带位
'ren'gong'ya 人工牙
'ren'gong'ya'lie 人工牙列
'ren'shen'xing'yin'yan 妊娠性龈炎
'ren'zao'guan 人造冠
'ri'guang'xing'chun'yan 日光性唇炎
'rong'he'ya 融合牙
'rou'ya'xing'gu'yan 肉芽性骨炎
'rou'ya'zhong'xing'chun'yan 肉芽肿性唇炎
'rou'ya'zhong'xing'ya'yin'liu 肉芽肿性牙龈瘤
'ru'tou'zhuang'nang'xian'ai 乳头状囊腺癌
'ru'tou'zhuang'nang'xian'liu 乳头状囊腺瘤
'ru'tou'zhuang'xian'xian'liu 乳头状涎腺瘤
'ru'tou'zhuang'zeng'sheng 乳头状增生
'ru'ya 乳牙
'ru'ya'can'yu 乳牙残余
'ru'ya'lie 乳牙列
'ru'ya'zao'shi 乳牙早失
'ru'ya'zhi'liu 乳牙滞留
'ruan'gou'zhi'shu 软垢指数
'ruan'hua'ya'ben'zhi 软化牙本质
'sai'gong'zong'he'zheng 鳃弓综合征
'sai'lie'nang'zhong 鳃裂囊肿
'sai'xian'dao'guan'lou 腮腺导管瘘
'sai'xian'qie'chu'shu 腮腺切除术
'sai'xian'xian'ti'lou 腮腺腺体瘘
'sai'xian'yan 腮腺炎
'san'bi'gu'xia'dai 三壁骨下袋
'san'bi'ka'huan 三臂卡环
'san'gen'fen'cha'bu 三根分叉部
'san'jiao'ji 三角嵴
'san'jiao'jia'zhong'zhi'ti 三脚架种植体
'san'tou'qian 三头钳
'san'yong'pen'qiang 三用喷枪
'sha'zhi'pian 砂纸片
'sha'zhi'tiao 砂纸条
'shai'zhuang'ban 筛状板
'shang'chun'xian 上唇线
'shang'he'ce'wei'ti'ceng'pian 上颌侧位体层片
'shang'he'hou'qian'ti'ceng'pian 上颌后前体层片
'shang'he'hou'suo 上颌后缩
'shang'he'jie'jie'cheng'xing'shu 上颌结节成形术
'shang'he'jie'jie'zhu'she'fa 上颌结节注射法
'shang'he'qian'bu'jie'gu'shu 上颌前部截骨术
'shang'he'qian'tu 上颌前突
'shang'he'ti 上颌体
'shang'he'ya 上颌牙
'shang'he'ya'cao'zuo'dian 上颌牙槽座点
'shang'he'zhong'qie'ya'ya'cao'ji'ding'dian 上颌中切牙牙槽嵴顶点
'shang'pi'fu'zhuo 上皮附着
'shang'pi'gen'qiao 上皮根鞘
'shang'pi'zhu 上皮珠
'shao'zhuang'mo'ya 韶状磨牙
'she'ce'yi'yuan 舌侧翼缘
'she'ce'zhi'tuo 舌侧支托
'she'ci 舌刺
'she'gan 舌杆
'she'ge'lun'zong'he'zheng 舍格伦综合征
'she'gong 舌弓
'she'gu'shang'jing'qing'sao'shu 舌骨上颈清扫术
'she'lie 舌裂
'she'mian 舌面
'she'mian'long'tu 舌面隆凸
'she'mian'wo 舌面窝
'she'qu'kou'qiang'yi'xue 社区口腔医学
'she'qu'ya'zhou'zhi'liao'xu'yao'zhi'shu 社区牙周治疗需要指数
'she'ru'tou'yan 舌乳头炎
'she'tai 舌苔
'she'tong 舌痛
'she'xi'dai 舌系带
'she'xi'dai'guo'duan 舌系带过短
'she'xi'dai'qie'chu'shu 舌系带切除术
'she'xia'jian'xi 舌下间隙
'she'xia'jing'mai'qu'zhang 舌下静脉曲张
'she'xia'xian'nang'zhong 舌下腺囊肿
'she'xiang'cuo'wei 舌向错位
'she'xiang'zu'sheng 舌向阻生
'she'yan 舌炎
'she'yuan 舌缘
'shen'du'xing'kou'yan 砷毒性口炎
'sheng'wu'tao'ci 生物陶瓷
'sheng'wu'tao'ci'xue 生物陶瓷学
'shi'dai 试戴
'shi'huo'ya 失活牙
'shi'ji'nang'zhong 始基囊肿
'shi'lei'ge'xian 施雷格线
'shi'mian'dai 石棉带
'shi'pei'qu'xian 施佩曲线
'shi'suan'xing'xian'ai 嗜酸性腺癌
'shi'suan'xing'xian'liu 嗜酸性腺瘤
'shi'wu'can'zha 食物残渣
'shi'wu'qian'sai 食物嵌塞
'shi'wu'yi'chu'dao 食物溢出道
'shi'yan'kou'qiang'yi'xue 实验口腔医学
'shi'zhuang'jie'gu'shu 矢状截骨术
'shi'zhuang'pi'kai'jie'gu'shu 矢状劈开截骨术
'shi'zhuang'zhou 矢状轴
'shou'fu 手斧
'shou'ji 手机
'shou'yong'qi'xie 手用器械
'shou'zhi'zhi'chi 手指支持
'shu'qian'mo'xing 术前模型
'shu'zhuang'gu 束状骨
'shuang'bi'ka'huan 双臂卡环
'shuang'ce'ping'heng 双侧平衡
'shuang'chong'ya'lie 双重牙列
'shuang'chun'zheng 双唇症
'shuang'duan'gu'ding'qiao 双端固定桥
'shuang'he'jie'gu'shu 双颌截骨术
'shuang'he'qian'tu 双颌前突
'shuang'he'shi'gong'neng'jiao'zheng'qi 双颌式功能矫正器
'shuang'ru'tou'ban 双乳头瓣
'shuang'sheng'ya 双生牙
'shuang'si'gong'jiao'zhi'qi 双丝弓矫治器
'shuang'ye'zhuang'zhong'zhi'ti 双叶状种植体
'shui'jiao'ti'yin'mu'cai'liao 水胶体印模材料
'shui'liu'leng'que'qi 水流冷却器
'shui'ping'fu'wei'ban 水平复位瓣
'shui'ping'jie'gu'shu 水平截骨术
'shui'ping'zu'sheng 水平阻生
'shun'xu'ba'ya 顺序拔牙
'si'di'er'qiao'ti 斯蒂尔桥体
'si'di'er'ya'mian 斯蒂尔牙面
'si'fen'zhi'san'guan 四分之三冠
'si'huan'su'ya 四环素牙
'si'qu 死区
'si'shou'cao'zuo 四手操作
'song'dong'ya'gu'ding'shu 松动牙固定术
'suan'shi'chu'li 酸蚀处理
'sui'jiao 髓角
'sui'shi 髓室
'sui'shi 髓石
'sui'shi'di 髓室底
'sui'shi'ding 髓室顶
'sui'zhou'ya'ben'zhi 髓周牙本质
'suo'ding 锁钉
'tai'nie'si 钛镍丝
'tai'sheng'ya 胎生牙
'tan'hua'wu'zuan 碳化钨钻
'tan'huang'gu'ding'qiao 弹簧固定桥
'tan'zhong'zhi'ti 碳种植体
'tao'ci'xiu'fu 陶瓷修复
'te'na'ya 特纳牙
'te'shu'fen'hua'nian'mo 特殊分化粘膜
'te'wei'de'san'jiao 特威德三角
'ti'xing'qian 梯形钳
'tian'sai 填塞
'tie'mian 贴面
'tong'gong'he'jin 铜汞合金
'tong'quan 铜圈
'tong'yong'gua'zhi'qi 通用刮治器
'tong'zhan'gu'ji 铜粘固剂
'tong'zhong'ya'yi'zhi'shu 同种牙移植术
'tou'lu'ding'wei'qi 头颅定位器
'tou'mao 头帽
'tou'ming'ya'ben'zhi 透明牙本质
'tou'ying'ce'liang'xue 头影测量学
'tou'ying'miao'hui'tu 头影描绘图
'tu'ceng 涂层
'tu'he'ji'xing 凸颌畸形
'tu'she'xi'guan 吐舌习惯
'tu'tan'zhong'zhi'ti 涂碳种植体
'tun'xian'zheng 吞涎症
'tuo'cao 托槽
'tuo'cao'nian'zhe'ding'wei'qi 托槽粘着定位器
'tuo'mu'si'ke'li'ceng 托姆斯颗粒层
'tuo'tao'shi'shou'shu 脱套式手术
'tuo'ye'bao'mo 唾液薄膜
'tuo'ye'xue 唾液学
'tuo'ye'zhen'duan'xue 唾液诊断学
'wa'zhi'qi 挖治器
'wai'ke'kou'qiang'zheng'ji'xue 外科口腔正畸学
'wai'xing 外形
'wai'xing'gao'dian 外形高点
'wai'you'shang'pi 外釉上皮
'wan'qu'ya 弯曲牙
'wan'shou'ji 弯手机
'wei'jue'xing'chu'han'zong'he'zheng 味觉性出汗综合征
'wei'li'si'chui'zhi'ju'li'ce'liang'chi 威利斯垂直距离测量尺
'wei'mo'la 围模蜡
'wei'sheng'qiao 卫生桥
'wei'sheng'qiao'ti 卫生桥体
'wei'suo'xing'she'yan 萎缩性舌炎
'wen'ding'bi 稳定臂
'wo'bi'fa 握笔法
'wo'dong 窝洞
'wo'dong'tu'ji 窝洞涂剂
'wo'dong'yu'bei 窝洞预备
'wo'gou'feng'bi'ji 窝沟封闭剂
'wo'gou'qu 窝沟龋
'wu'feng'guan'ya'mo'ji 无缝冠压模机
'wu'feng'ke'guan 无缝壳冠
'wu'he'ji'xing 无颌畸形
'wu'jian'ya 无尖牙
'wu'she'ji'xing 无舌畸形
'wu'sui'ya 无髓牙
'wu'xi'bao'ceng 无细胞层
'wu'xi'bao'ya'gu'zhi 无细胞牙骨质
'wu'ya'he 无牙颌
'wu'ya'he'yin'mu'tuo'pan 无牙颌印模托盘
'wu'ya'huan'zhe'zhi'liao'xue 无牙患者治疗学
'wu'ya'qu'dai'di'yi'zhi'ban 无牙区带蒂移植瓣
'wu'ya'zheng 无牙症
'wu'yuan'xian'wei'ya'gu'zhi 无原纤维牙骨质
'xi'bao'ya'gu'zhi 细胞牙骨质
'xi'si'gong'jiao'zhi'qi 细丝弓矫治器
'xi'si'qian 细丝钳
'xi'xian'qi 吸涎器
'xi'yan'xing'hei'ban'zheng 吸烟性黑斑症
'xi'zhi'wei'chui'zhi'guan'xi 息止位垂直关系
'xia'chun'xian 下唇线
'xia'he'gu'ce'wei'tou'zhao'shu 下颌骨侧位投照术
'xia'he'gu'hou'qian'wei'tou'zhao'shu 下颌骨后前位投照术
'xia'he'gu'yan'mian'fa'yu'bu'quan 下颌骨颜面发育不全
'xia'he'hou'suo 下颌后缩
'xia'he'jiao'dian 下颌角点
'xia'he'ke'tu'qie'chu'shu 下颌髁突切除术
'xia'he'long'tu 下颌隆凸
'xia'he'qian'tu 下颌前突
'xia'he'qie'ji 下颌切迹
'xia'he'shen'jing'zu'zhi'ma'zui 下颌神经阻滞麻醉
'xia'he'sheng'zhi'ce'wei'ti'ceng'pian 下颌升支侧位体层片
'xia'he'sheng'zhi'nei'ce'long'tu'zu'zhi'ma'zui 下颌升支内侧隆突阻滞麻醉
'xia'he'sheng'zhi'qie'xian'wei'tou'zhao'shu 下颌升支切线位投照术
'xia'he'ti 下颌体
'xia'he'wei 下颌位
'xia'he'xi'zhi'wei 下颌息止位
'xia'he'xia'jian'xi 下颌下间隙
'xia'he'ya 下颌牙
'xia'he'ya'cao'zuo'dian 下颌牙槽座点
'xia'he'yun'dong 下颌运动
'xia'he'yun'dong'fu'zhi'qi 下颌运动复制器
'xia'he'yun'dong'miao'ji'yi 下颌运动描记仪
'xia'he'zheng'zhong'nang'zhong 下颌正中囊肿
'xia'he'zhi'jie'gu'shu 下颌支截骨术
'xia'he'zhi'zhi'jia'zhong'zhi'ti 下颌支支架种植体
'xia'he'zhong'qie'ya'qie'yuan'dian 下颌中切牙切缘点
'xia'he'zhong'qie'ya'ya'cao'ji'ding'dian 下颌中切牙牙槽嵴顶点
'xian'guan 涎管
'xian'guan'cheng'xing'shu 涎管成形术
'xian'guan'xia'zhai 涎管狭窄
'xian'guan'yan 涎管炎
'xian'jiao 线角
'xian'pao'xi'bao'ai 腺泡细胞癌
'xian'shi 涎石
'xian'shi'bing 涎石病
'xian'shi'zhai'chu'shu 涎石摘除术
'xian'tian'xing'kou'jiao'xiao'wo 先天性口角小窝
'xian'tian'xing'xian'xian'que'shi 先天性涎腺缺失
'xian'tian'xing'ya'yin'liu 先天性牙龈瘤
'xian'wei'xing'nie'xia'he'guan'jie'qiang'zhi 纤维性颞下颌关节强直
'xian'wei'xing'ya'yin'liu 纤维性牙龈瘤
'xian'xian'dao'guan'ai 涎腺导管癌
'xian'xian'dao'guan'bi'suo 涎腺导管闭锁
'xian'xian'dao'guan'kuo'zhang 涎腺导管扩张
'xian'xian'fen'mi'yi'zhi 涎腺分泌抑制
'xian'xian'hua'sheng 涎腺化生
'xian'xian'lou 涎腺瘘
'xian'xian'nang'zhong 涎腺囊肿
'xian'xian'qie'chu'shu 涎腺切除术
'xian'xian'qie'kai'yin'liu'shu 涎腺切开引流术
'xian'xian'rong'he 涎腺融合
'xian'xian'xia'he'gu'she'ce'xian'ru 涎腺下颌骨舌侧陷入
'xian'xian'yan 涎腺炎
'xian'xian'zao'ying'shu 涎腺造影术
'xian'xian'zeng'sheng 涎腺增生
'xian'xian'zhong'da'zheng 涎腺肿大症
'xian'xing'chun'yan 腺性唇炎
'xian'yang'nang'xing'ai 腺样囊性癌
'xiang'pi'zhang 橡皮障
'xiang'pi'zhang'da'kong'qi 橡皮障打孔器
'xiang'pi'zhang'jia 橡皮障夹
'xiang'pi'zhang'jia 橡皮障架
'xiang'pi'zhang'jia'qian 橡皮障夹钳
'xiao'guan'jian'ya'ben'zhi 小管间牙本质
'xiao'guan'zhou'ya'ben'zhi 小管周牙本质
'xiao'he'zheng 小颌症
'xiao'huan'jie'za'shu 小环结扎术
'xiao'lian'jie'ti 小连接体
'xiao'qiu'jian'ya'ben'zhi 小球间牙本质
'xiao'ya'zheng 小牙症
'xie'ji 斜嵴
'xie'mian'dao'ban 斜面导板
'xie'xian'wei 斜纤维
'xie'xing'jie'gu'shu 斜行截骨术
'xie'zhou'ya 斜轴牙
'xie'zhuang'que'sun 楔状缺损
'xie'zhuang'xi 楔状隙
'xin'sheng'xian 新生线
'xiu'fu'qian'wai'ke'xue 修复前外科学
'xiu'fu'xing'ya'ben'zhi 修复性牙本质
'xu'le'wei 许勒位
'xuan'mo 选磨
'xuan'suo'ka'huan 悬锁卡环
'xuan'tu 悬突
'xuan'ya'se 选牙色
'xuan'ya'se'ban 选牙色板
'xuan'yong'chui'lie 悬雍垂裂
'xun'kai'kou 寻开口
'ya'ban 牙板
'ya'bei'dong'meng'chu 牙被动萌出
'ya'ben'zhi 牙本质
'ya'ben'zhi'fa'sheng 牙本质发生
'ya'ben'zhi'fa'sheng'bu'quan 牙本质发生不全
'ya'ben'zhi'gai'hua'bu'quan'zheng 牙本质钙化不全症
'ya'ben'zhi'guo'min'zheng 牙本质过敏症
'ya'ben'zhi'liu 牙本质瘤
'ya'ben'zhi'sheng'zhang'xian 牙本质生长线
'ya'ben'zhi'xiao'guan 牙本质小管
'ya'ben'zhi'ya'gu'zhi'jie 牙本质牙骨质界
'ya'ben'zhi'you'zhi'mo 牙本质釉质膜
'ya'cao'gu'qie'chu'shu 牙槽骨切除术
'ya'cao'gu'xiu'zheng'shu 牙槽骨修整术
'ya'cao'ji'ding 牙槽嵴顶
'ya'cao'ji'gu 牙槽基骨
'ya'cao'ji'xian'wei 牙槽嵴纤维
'ya'cao'ji'yan'zhan'shu 牙槽嵴延展术
'ya'cao'ji'zeng'gao'shu 牙槽嵴增高术
'ya'cao'nian'mo 牙槽粘膜
'ya'cao'nong'zhong 牙槽脓肿
'ya'cao'yin'xian'wei 牙槽龈纤维
'ya'cao'zheng'zhong'nang'zhong 牙槽正中囊肿
'ya'chang'zhou 牙长轴
'ya'cheng'you'xi'bao'liu 牙成釉细胞瘤
'ya'chi'song'dong'du 牙齿松动度
'ya'chi'xing'tai'xue 牙齿形态学
'ya'chi'yong'ji 牙齿拥挤
'ya'fa'sheng 牙发生
'ya'fa'yu 牙发育
'ya'gen 牙根
'ya'gen'ba'chu'shu 牙根拔除术
'ya'gen'guan 牙根管
'ya'gen'jian'kong 牙根尖孔
'ya'gen'rong'he 牙根融合
'ya'gen'ting 牙根挺
'ya'gong 牙弓
'ya'gou 牙垢
'ya'gu'mo'xian'wei 牙骨膜纤维
'ya'gu'zhi 牙骨质
'ya'gu'zhi'ceng'ban 牙骨质层板
'ya'gu'zhi'fa'sheng 牙骨质发生
'ya'gu'zhi'fa'yu'bu'quan'zheng 牙骨质发育不全症
'ya'gu'zhi'hua'xian'wei'liu 牙骨质化纤维瘤
'ya'gu'zhi'ji 牙骨质棘
'ya'gu'zhi'liu 牙骨质瘤
'ya'gu'zhi'si'lie 牙骨质撕裂
'ya'gu'zhi'xi'bao 牙骨质细胞
'ya'gu'zhi'xian'wo 牙骨质陷窝
'ya'gu'zhi'xiao'pi 牙骨质小皮
'ya'gu'zhi'xiao'ti 牙骨质小体
'ya'gu'zhi'zeng'sheng 牙骨质增生
'ya'guan 牙冠
'ya'guan'jin'bi 牙关紧闭
'ya'hen'she 牙痕舌
'ya'ji'ya'cao'wai'ke'xue 牙及牙槽外科学
'ya'jian 牙尖
'ya'jian'an'mo'qi 牙间按摩器
'ya'jian'gao'du 牙尖高度
'ya'jian'jiao'cuo 牙间交错
'ya'jian'jiao'cuo'wei 牙尖交错位
'ya'jian'xi 牙间隙
'ya'jian'xi'ya'shua 牙间隙牙刷
'ya'jian'xie'du 牙尖斜度
'ya'jiao'jian 牙胶尖
'ya'jiao'zhui 牙胶锥
'ya'jing'bu 牙颈部
'ya'jing'bu'qu 牙颈部龋
'ya'jing'xian 牙颈线
'ya'jing'you'zhi'ji 牙颈釉质嵴
'ya'jun'ban 牙菌斑
'ya'ke'bao'mai'cai'liao 牙科包埋材料
'ya'ke'mo'xing'guan'ce'qi 牙科模型观测器
'ya'ke'ren'zao'shi 牙科人造石
'ya'ke'tan'zhen 牙科探针
'ya'ke'tiao'ban'dao 牙科调拌刀
'ya'ke'zao'zi 牙科凿子
'ya'ke'zhu'shou'yi'pang'deng 牙科助手椅旁凳
'ya'ke'zong'he'zhi'liao'tai 牙科综合治疗台
'ya'lei 牙蕾
'ya'liu 牙瘤
