'a'bu'shi 阿布石
'gan'lan'tou'hui'yan 橄榄透辉岩
'gan'lan'yan 橄榄岩
'gan'lie 干裂
'gan'lie'jie'li 干裂节理
'gan'lie'xi 干裂隙
'gan'qiu'wen'du'biao 干球温度表
'gan'rao'dian'liu 干扰电流
'gan'rao'se 干扰色
'gan'rao'yi 干扰仪
'gan're'yan'ti 干热岩体
'gan're'zhi'wu 干热植物
'gan'rong'zhong 干容重
'gan'shan'ban'yan 橄闪斑岩
'gan'shan'zheng'chang'huang'ban'yan 橄闪正长煌斑岩
'gan'shan'zi'su'yan 橄闪紫苏岩
'gan'she 干涉
'gan'she'guang'pu'xue 干涉光谱学
'gan'she'guo'lv'qi 干涉过滤器
'gan'she'liang'du'fa 干涉量度法
'gan'she'tiao'wen 干涉条纹
'gan'shi 矸石
'gan'shi'biao 干湿表
'gan'shi'chang 矸石场
'gan'shi'fen'sui 干式粉碎
'gan'suo'lie'feng 干缩裂缝
'gan'tai'hui'chang'yan 橄钛辉长岩
'gan'wa'si 干瓦斯
'gan'wai'cu'mian'yan 橄歪粗面岩
'gan'xia'xuan'wu'yan 橄霞玄武岩
'gan'xuan 干选
'gan'ying'ce'jing 感应测井
'gan'ying'ce'jing'tu 感应测井图
'gan'ying'dian'ci'kan'tan'fa 感应电磁勘探法
'gan'ying'fang'she'xing 感应放射性
'gan'ying'ti 感应体
'gan'zao'lu 干燥炉
'gan'zao'pen'di 干燥盆地
'gan'zao'su'du 干燥速度
'gan'zao'xi'shu 干燥系数
'gan'zao'zhi'shu 干燥指数
'gan'zhuang'gou'zao 杆状构造
'gang'mao 刚毛
'gang'sha 刚砂
'gang'sheng'chong'huan'zuan'jin 钢绳冲唤钻进
'gang'si'sheng 钢丝绳
'gang'si'sheng'zuan'ji 钢丝绳钻机
'gang'si'sheng'zuan'jin 钢丝绳钻进
'gang'ti 刚体
'gang'ti'dong'li'xue 刚体动力学
'gang'xia'zheng'chang'yan 钢霞正长岩
'gang'xian 肛腺
'gang'xing 刚性
'gang'yu 刚玉
'gang'yu'ao'chang'yan 刚玉奥长岩
'gang'yu'zhong'chang'yan 刚玉中长岩
'gao'chao 高潮
'gao'di 高地
'gao'du 高度
'gao'du'ji 高度计
'gao'gui'jia'shi 锆硅钾石
'gao'han'zhi'wu 高寒植物
'gao'kang'yi'shi 锆钪钇石
'gao'ling'shi 高岭石
'gao'ling'shi'hua'zhuo 高岭石化酌
'gao'ling'tu 高岭土
'gao'lu 高炉
'gao'lv'yang'xuan'wu'yan 高铝氧玄武岩
'gao'ma'nao 缟玛瑙
'gao'meng'suan'yan 高锰酸盐
'gao'pin'bu'chang 高频补偿
'gao'pin'wei 高品位
'gao'pin'wei'kuang'shi 高品位矿石
'gao'qing'xie 高倾斜
'gao're'bian'zhi 高热变质
'gao're'jiao'dai 高热交代
'gao're'jiao'dai'kuang'chuang 高热交代矿床
'gao'sha'zhou 高沙洲
'gao'shan 高山
'gao'shan'cao'yuan 高山草原
'gao'shan'dai 高山带
'gao'shan'dong'wu 高山动物
'gao'shan'qi'xiang'xue 高山气象学
'gao'shi 锆石
'gao'si 高斯
'gao'si'qu'xian 高斯曲线
'gao'tai'kuang 锆钛矿
'gao'tan'kuang 锆钽矿
'gao'tie'fang'tu'shi 高铁方钍石
'gao'tie'meng'tuo'shi 高铁蒙脱石
'gao'tie'wu'hua 高铁钨华
'gao'wei'zhao'ze 高位沼泽
'gao'wen'ce'ding 高温测定
'gao'wen'ji 高温计
'gao'wen're'ye'kuang'chuang 高温热液矿床
'gao'wen're'ye'kuang'mai 高温热液矿脉
'gao'wen'shi'ying 高温石英
'gao'wen'xian'wei'jing 高温显微镜
'gao'wen'xing 高温型
'gao'wen'xing'na'chang'shi 高温型钠长石
'gao'wen'xing'tou'chang'shi 高温型透长石
'gao'wen'xing'xie'chang'shi 高温型斜长石
'gao'wen'yan'jiang 高温岩浆
'gao'ya'bian'zhi'zhuo 高压变质酌
'gao'ya'dai 高压带
'gao'yuan 高原
'gao'yuan'xuan'wu'yan 高原玄武岩
'ge'bi 隔壁
'ge'bi'zhe'zhou 隔壁褶皱
'ge'bian'suan 铬变酸
'ge'bie'shi'ying 个别适应
'ge'feng'guan'zi 割缝管子
'ge'jia'kuang 铬钾矿
'ge'jia'shi 铬钾石
'ge'jian'jing'shi 铬尖晶石
'ge'li 隔离
'ge'li 割理
'ge'lin'ni'zhi'ping'shi 格林尼治平时
'ge'ling'shi 铬岭石
'ge'lv'lian'shi 铬绿帘石
'ge'lv'ni'shi 铬绿泥石
'ge'lv'ying'shi 铬铝英石
'ge'qian'kuang 铬铅矿
'ge're'er'jie 格热尔阶
'ge'sha 铬砂
'ge'shui'ceng 隔水层
'ge'shui'zhan'tu'ceng 隔水粘土层
'ge'suan 铬酸
'ge'te'lan'xi 哥特兰系
'ge'ti 个体
'ge'ti'fa'sheng'de 个体发生的
'ge'ti'fa'sheng'xue 个体发生学
'ge'tie'kuang 铬铁矿
'ge'tie'kuang'chuang 铬铁矿床
'ge'tong'xing 蛤同性
'ge'tong'xing'ti 蛤同性体
'ge'tou'hui'shi 铬透辉石
'ge'wen'bian'yi'gou'zao 蛤稳变异构造
'ge'yi'xing 蛤异性
'ge'yi'xing'zu'gou 蛤异性组构
'ge'yun'mu 铬云母
'ge'zhuang'de 格状的
'ge'zhuang'gou'zao 格状构造
'ge'zi 格子
'ge'zi'jian'ju 格子间距
'ge'zi'shui'xi 格子水系
'ge'zi'zhuang'zu'gou 格子状组构
'gen'dai 根带
'gen'jing 根茎
'gen'liu 根瘤
'gen'qiao 根鞘
'gen'quan 根圈
'gen'zu 根足
'geng'xin'shi 更新世
'gong'ba'kuang 汞钯矿
'gong'cheng'di'mao'xue 工程地貌学
'gong'cheng'di'zhi'xue 工程地质学
'gong'e 共轭
'gong'e'dian 共轭点
'gong'e'duan'ceng 共轭断层
'gong'e'jian'qie'mian 共轭剪切面
'gong'e'jie'li 共轭节理
'gong'e'shuang'jian 共轭双键
'gong'e'ying'li 共轭应力
'gong'fei'hun'he'wu 共沸混合物
'gong'fei'xing 共沸性
'gong'hai 公海
'gong'ji 供给
'gong'jia'ban'jing 共价半径
'gong'jia'hua'he'wu 共价化合物
'gong'jia'jian 共价键
'gong'jia'jie'jing 共价结晶
'gong'jie'ban'zhuang'de 共结斑状的
'gong'jie'yan 共结岩
'gong'jing'dian 共晶点
'gong'jing'fan'ying 共晶反应
'gong'jing'hun'he'wu 共晶混合物
'gong'jing'jie'gou 共晶结构
'gong'jing'jie'jing'zhuo 共晶结晶酌
'gong'jing'mian 共晶面
'gong'jing'xian 共晶线
'gong'ju 工具
'gong'qi 共栖
'gong'qi 汞齐
'gong'rong'wen'du 共熔温度
'gong'sheng 共生
'gong'sheng'jie'jing'yi'wei 共生结晶移位
'gong'sheng'ti 共生体
'gong'shui'xi'tong 供水系统
'gong'xi'cheng'fen 共析成分
'gong'xi'de'gong'jie'jing 共析的共结晶
'gong'xi'dian 共析点
'gong'xi'mian 共析面
'gong'xi'wen'du 共析温度
'gong'xi'xian 共析线
'gong'xing 共型
'gong'xing'de 弓形的
'gong'xing'niu'e'hu 弓形牛轭湖
'gong'xing'san'jiao'zhou 弓形三角洲
'gong'ye'jin'gang'shi 工业金刚石
'gong'ye'kuang'wu 工业矿物
'gong'ye'pin'wei 工业品位
'gong'ye'shui 工业水
'gong'ye'yong'qiu'mian'jin'gang'shi 工业用球面金刚石
'gong'ye'you'ceng 工业油层
'gong'ye'you'qi'cang 工业油气藏
'gong'zhen'neng'ji 共振能级
'gong'zhui'li 工坠力
'gong'zong'shuo 工踪说
'gong'zu 工祖
'gou'di'chuan 沟底川
'gou'he 沟壑
'gou'jia 构架
'gou'qu 沟渠
'gou'qu'gou'zao 沟渠构造
'gou'zao 构造
'gou'zao'bao'ti 构造包体
'gou'zao'bian'dong 构造变动
'gou'zao'bian'jing'de 构造变晶的
'gou'zao'bian'xing'qian'zai'jie'jing 构造变形前再结晶
'gou'zao'bu'zheng'he 构造不整合
'gou'zao'ceng 构造层
'gou'zao'ceng'wei 构造层位
'gou'zao'de 构造的
'gou'zao'di'mao 构造地貌
'gou'zao'di'mao'xue 构造地貌学
'gou'zao'di'shi 构造地势
'gou'zao'di'zhen 构造地震
'gou'zao'di'zhi'xue 构造地质学
'gou'zao'die'jia 构造叠加
'gou'zao'gu 构造谷
'gou'zao'hou'hua'gang'yan 构造后花岗岩
'gou'zao'hou'jie'jing 构造后结晶
'gou'zao'hou'yan'jiang'zhuo 构造后岩浆酌
'gou'zao'hu 构造湖
'gou'zao'ji'cheng'xing 构造继承性
'gou'zao'ji'di 构造极地
'gou'zao'jie'di 构造阶地
'gou'zao'jing 构造境
'gou'zao'lian 构造怜
'gou'zao'mu 构造幕
'gou'zao'pen'di 构造盆地
'gou'zao'ping'yuan 构造平原
'gou'zao'po'lie'de 构造破裂的
'gou'zao'quan 构造圈
'gou'zao'quan'bi 构造圈闭
'gou'zao'shi'dai 构造世代
'gou'zao'tou'jing'ti 构造透镜体
'gou'zao'tu 构造图
'gou'zao'xi'bu 构造细部
'gou'zao'xiang 构造相
'gou'zao'yan 构造岩
'gou'zao'yan'kuai 构造岩块
'gou'zao'yan'shi'xue 构造岩石学
'gou'zao'yin'su 构造因素
'gou'zao'yuan'qiu 构造圆丘
'gou'zao'yun'dong 构造运动
'gou'zao'zhou 构造轴
'gou'zhuang'de 钩状的
'gou'zhuang'duan'ceng 沟状断层
'gu'ban'kuai'gou'zao 古板块构造
'gu'bei'ya'qu 古北亚区
'gu'bi'shu'zhi'wu'qun 古蔽属植物群
'gu'bian'po 谷边坡
'gu'bian'zhi'zhuo 古变质酌
'gu'bing'chuan 谷冰川
'gu'can'ti 古残体
'gu'ceng 骨层
'gu'chen'ji'xue 古沉积学
'gu'chui 骨锤
'gu'da'xiang 古大象
'gu'dao'hu 古岛弧
'gu'de 骨的
'gu'deng'bao'jian'duan'mian 古登堡间断面
'gu'deng'shen'xian'tu 古等深线图
'gu'deng'wen'xian 古等温线
'gu'di'ci 古地磁
'gu'di'ci'di'ceng'xue 古地磁地层学
'gu'di'ci'ji'xing'nian'dai'biao 古地磁极性年代表
'gu'di'li'tu 古地理图
'gu'di'li'xue 古地理学
'gu'di'mao'quan'bi 古地貌圈闭
'gu'di'mao'xue 古地貌学
'gu'di'qiu'wu'li'xue 古地球物理学
'gu'di'xing 古地形
'gu'di'zhi'gou'zao'xue 古地质构造学
'gu'di'zhi'xue 古地质学
'gu'ding 固定
'gu'ding'bian'jie 固定边界
'gu'ding'dian 固定点
'gu'ding'hui'fen 固定灰分
'gu'ding'shi'zuan'tan'ping'tai 固定式钻探平台
'gu'ding'tan 固定碳
'gu'dong'wu'di'li'qu 古动物地理区
'gu'dong'wu'xue 古动物学
'gu'du'sha 钴毒砂
'gu'duan'cao 古断槽
'gu'fa 古伐
'gu'fang'jie'shi 钴方解石
'gu'feng 谷风
'gu'gou'zao 古构造
'gu'gou'zao'de 古构造的
'gu'hai'yang'xue 古海洋学
'gu'he'dao 古河道
'gu'hua 钴华
'gu'hua 骨化
'gu'hua'fen 古花粉
'gu'huan'jing 古环境
'gu'huo'shan'de 古火山的
'gu'ji 古迹
'gu'ji 古极
'gu'jia'jing 估价井
'gu'jia'tu 估价图
'gu'jie 固结
'gu'jie'lv 固结率
'gu'jie'xi'shu 固结系数
'gu'jie'yan 固结岩
'gu'jing'ce'jing 固井测井
'gu'li'cheng'fen 孤立成分
'gu'ling'xin'kuang 钴菱锌矿
'gu'liu'shen'tie'kuang 钴硫砷铁矿
'gu'nie'huang'tie'kuang 钴镍黄铁矿
'gu'qi'hou 古气候
'gu'qi'hou'xue 古气候学
'gu'qiu 鼓丘
'gu're'dai'qu 古热带区
'gu'ren'lei'xue 古人类学
'gu'rong'ti 固溶体
'gu'rong'ti'fen'jie'jie'gou 固溶体分解结构
'gu'rong'ti'fen'jie'qu'xian 固溶体分解曲线
'gu'san'jiao'zhou 古三角洲
'gu'shan 孤山
'gu'shen'tie'kuang 钴砷铁矿
'gu'sheng'dai 古生代
'gu'sheng'tai'xue 古生态学
'gu'sheng'wu'di'li'qu 古生物地理区
'gu'sheng'wu'di'li'xue 古生物地理学
'gu'sheng'wu'hua'xue 古生物化学
'gu'sheng'wu'qun'luo 古生物群落
'gu'sheng'wu'xiang 古生物相
'gu'sheng'wu'xue 古生物学
'gu'shui'dao 古水道
'gu'tai'wei'yi 固态位移
'gu'tan 骨炭
'gu'ti'jiang'shui 固体降水
'gu'ti'jiao'ti 固体胶体
'gu'ti'ke'ran'kuang'chan 固体可燃矿产
'gu'ti'liu'nie'kuang 钴锑硫镍矿
'gu'ti'peng'zhang 固体膨胀
'gu'tong'an'shan'yan 古铜安山岩
'gu'tong'hui'shi 古铜辉石
'gu'tong'lin'ying'tie'nie'yun'shi 古铜鳞英铁镍陨石
'gu'tong'yan 古铜岩
'gu'tu'kuang 钴土矿
'gu'wen'du 古温度
'gu'xiang'de 古相的
'gu'xin'shi 古新世
'gu'yan'du 古盐度
'gu'ye'xiang'qu'xian 固液相曲线
'gu'yi'chuan'xue 古遗传学
'gu'yi'ji'xue 古遗迹学
'gu'you'hui'fen 固有灰分
'gu'you'pin'lv 固有频率
'gu'yu'lei'xue 古鱼类学
'gu'yuan'di'yan 古原地岩
'gu'yun'hui 古陨挥
'gu'yun'ying'ban'yan 古云英斑岩
'gu'zhe'dong'wu 固着动物
'gu'zhen 骨针
'gu'zhi'wu'dai 古植物代
'gu'zhi'wu'di'li'qu 古植物地理区
'gu'zhi'wu'xue 古植物学
'gu'zhong'gu 谷中谷
'gu'zhun'ping'yuan 古准平原
'gua'dao'zuan'tou 刮刀钻头
'gua'yang'de 寡养的
'gua'yang'hu 寡养湖
'guan'ce 观测
'guan'ce'chang 观测场
'guan'ce'kong 观测孔
'guan'ce'wang 观测网
'guan'cha'wu'cha 观察误差
'guan'chuan'xing 贯穿性
'guan'gai 灌溉
'guan'gai'xu'yao'liang 灌溉需要量
'guan'gai'zai'pei 灌溉栽培
'guan'jie 关节
'guan'jie'qiang 关节腔
'guan'li 管理
'guan'long'ti'sheng 罐笼提升
'guan'mu'cong 灌木丛
'guan'mu'dong'yuan 灌木冻原
'guan'quan 管泉
'guan'ru 贯入
'guan'ru'bian'zhi 贯入变质
'guan'ru'za'yan 贯入杂岩
'guan'shi'an'gou 管式暗沟
'guan'tao 管套
'guan'xi 关系
'guan'zhu'pian'ma'yan 灌注片麻岩
'guan'zhuang'kuang'ti 管状矿体
'guan'zhuang'zhong'zhu 管状中柱
'guan'zhuang'zu'zhi 管状组织
'guan'zi'ban'shou 管子扳手
'guan'zu 管足
'guang'cai'shi 光彩石
'guang'dian 光点
'guang'dian'bei'zeng'guan 光电倍增管
'guang'dian'chi 光电池
'guang'dian'guan 光电管
'guang'dian'liao'da'qi 光电僚大器
'guang'dian'liu 光电流
'guang'dian'xi'shou 光电吸收
'guang'dian'xiao'ying 光电效应
'guang'dian'xiao'ying'yu'zhi 光电效应阈值
'guang'dian'yin'ji 光电阴极
'guang'dian'zi 光电子
'guang'dian'zi'fang'she 光电子放射
'guang'fan'she 光反射
'guang'he'zhuo'dai'de 光合酌带的
'guang'hua'ce'ding 光化测定
'guang'hua'fan'ying 光化反应
'guang'ji'zhong'zi 光激中子
'guang'liang'dai 光亮带
'guang'liang'ji 光量计
'guang'liang'xing'mei 光亮型煤
'guang'lu'shi 光卤石
'guang'lv'ti 光率体
'guang'pu 光谱
'guang'pu'ce'ding 光谱测定
'guang'pu'fen'xi 光谱分析
'guang'pu'hua'xue'fen'xi 光谱化学分析
'guang'pu'tu 光谱图
'guang'pu'xi 光谱系
'guang'pu'xian 光谱线
'guang'pu'xian'kuan'du 光谱线宽度
'guang'qie'mian 光切面
'guang'shan'guang'pu'yi 光栅光谱仪
'guang'shan'she'pu'yi 光栅摄谱仪
'guang'shen'xing'de 广深性的
'guang'sheng'xing 广生性
'guang'tan'xing 光弹性
'guang'tan'xing'mo'xing 光弹性模型
'guang'tan'xing'shi'yan 光弹性实验
'guang'tiao 光条
'guang'wen'xing 广温性
'guang'xian'kuang 光线矿
'guang'xing 光性
'guang'xing'bian'xing 光性变形
'guang'xing'chang'shu 光性常数
'guang'xing'fang'wei 光性方位
'guang'xing'jun'zhi'de 光性均质的
'guang'xing'yi'chang 光性异常
'guang'xue'ge'tong'xing 光学蛤同性
'guang'xue'ge'yi'xing 光学蛤异性
'guang'xue'tan'xing'zhou 光学弹性轴
'guang'xue'xi'tong 光学系统
'guang'xue'xian'xiang 光学现象
'guang'xue'yi'xiang'xing'de 光学异向性的
'guang'ze 光泽
'guang'ze'de 光泽的
'guang'zhou 光轴
'guang'zhou'fen'san 光轴分散
'guang'zhou'fu'fa'xian 光轴副法线
'guang'zhou'jiao 光轴角
'gui'bei'pi'kuang 硅钡铍矿
'gui'bei'shi 硅钡石
'gui'bei'tie'kuang 硅钡铁矿
'gui'bi'shi 硅铋石
'gui'chang'yan'zhi'de 硅长岩质的
'gui'dan'bai'shi 贵蛋白石
'gui'dao'dian'zi 轨道电子
'gui'ding'nong'du 规定浓度
'gui'ding'rong'ye 规定溶液
'gui'ding'ye'du 规定液度
'gui'fu'tie'yi'kuang 硅氟铁钇矿
'gui'gai'qian'kuang 硅钙铅矿
'gui'gai'qian'you'kuang 硅钙铅铀矿
'gui'gai'xi'shi 硅钙锡石
'gui'gai'you'kuang 硅钙铀矿
'gui'gan'lan'shi 贵橄榄石
'gui'gao'na'shi 硅锆钠石
'gui'gui'gai'shi 桂硅钙石
'gui'hua 硅化
'gui'hua 硅华
'gui'hua'mu 硅化木
'gui'hui'shi 硅灰石
'gui'hui'shi'gao 硅灰石膏
'gui'jia'shi 龟甲石
'gui'jin'shu 贵金属
'gui'kong'que'shi 硅孔雀石
'gui'liu'fang'qian'kuang 瑰硫方铅矿
'gui'liu'lin'hui'shi 硅硫磷灰石
'gui'lv'bi 硅铝比
'gui'lv'dai 硅铝带
'gui'lv'mei'dai 硅铝镁带
'gui'lv'zhi'kuang'wu 硅铝质矿物
'gui'mei'dai 硅镁带
'gui'mei'qian'kuang 硅镁铅矿
'gui'mei'shi 硅镁石
'gui'mei'you'kuang 硅镁铀矿
'gui'meng'kuang 硅锰矿
'gui'na'bei'tai'shi 硅钠钡钛石
'gui'na'ni'shi 硅钠铌石
'gui'na'si'lan'shi 硅钠锶镧石
'gui'na'tai'kuang 硅钠钛矿
'gui'nie'kuang 硅镍矿
'gui'peng'gai'shi 硅硼钙石
'gui'peng'gai'tie'kuang 硅硼钙铁矿
'gui'peng'gai'yi'kuang 硅硼钙钇矿
'gui'peng'na'shi 硅硼钠石
'gui'pi'shi 硅铍石
'gui'pi'yi'kuang 硅铍钇矿
'gui'qian'kuang 硅铅矿
'gui'qian'meng'kuang 硅铅锰矿
'gui'qian'tie'kuang 硅铅铁矿
'gui'qian'tu'you'kuang 硅铅钍铀矿
'gui'qian'xin'kuang 硅铅锌矿
'gui'qian'you'kuang 硅铅铀矿
'gui'san'yang'er'mou'hua'he'wu'bi 硅三氧二某化合物比
'gui'sha 硅砂
'gui'shi'kuang'chuang 硅石矿床
'gui'shi'shi 硅铈石
'gui'shi'yan 硅石岩
'gui'suan 硅酸
'gui'suan'yan 硅酸盐
'gui'suan'yan'kuang'wu 硅酸盐矿物
'gui'suan'yan'rong'ti 硅酸盐熔体
'gui'suan'yan'yan'shi 硅酸盐岩石
'gui'tai'na'shi 硅钛钠石
'gui'tai'shi'yi'kuang 硅钛铈钇矿
'gui'ti'meng'kuang 硅锑锰矿
'gui'tie'bei'kuang 硅铁钡矿
'gui'tie'tu 硅铁土
'gui'tie'yan 硅铁岩
'gui'tong'you'kuang 硅铜铀矿
'gui'tu 硅土
'gui'tu'shi 硅钍石
'gui'tu'yi'kuang 硅钍钇矿
'gui'xi'kuang 硅锡矿
'gui'xi'tu'shi 硅稀土石
'gui'xian'shi 硅线石
'gui'xin'kuang 硅锌矿
'gui'you'kuang 硅铀矿
'gui'you'qian'tu'kuang 硅铀铅钍矿
'gui'zao'lei 硅藻类
'gui'zao'ni 硅藻泥
'gui'zao'shi 硅藻石
'gui'zao'tu 硅藻土
'gui'ze'fan'she 规则反射
'gui'zhi'chen'ji 硅质沉积
'gui'zhi'de 硅质的
'gui'zhi'tu'rang 硅质土壤
'gui'zhuan 硅砖
'gun'shi'po'sui'ji 辊式破碎机
'guo'bao'he 过饱和
'guo'bao'he'gu'rong'ti 过饱和固溶体
'guo'bao'he'rong'ye 过饱和溶液
'guo'bao'he'yan 过饱和岩
'guo'bo'li'zhi'de 过玻璃质的
'guo'cheng 过程
'guo'du'ceng 过渡层
'guo'du'dai 过渡带
'guo'du'de'jie'gou 过渡的结构
'guo'du'xing'kuang'chuang 过度型矿床
'guo'du'yuan'su 过渡元素
'guo'fu'he 过负荷
'guo'gong'jing'ti 过共晶体
'guo'gong'xi'ti 过共析体
'guo'ji'di'li'xue'lian'he'hui 国际地理学联合会
'guo'ji'di'qiu'wu'li'nian 国际地球物理年
'guo'ji'di'zhi'da'hui 国际地质大会
'guo'ji'di'zhi'ke'xue'lian'he'hui 国际地质科学联合会
'guo'jian'xing'yan 过碱性岩
'guo'jing'zhi 过晶质
'guo'leng 过冷
'guo'liu'ti'qian'kuang 过硫锑铅矿
'guo'lu'mei 锅炉煤
'guo'lv 过滤
'guo'lv'ji 过滤机
'guo'lv'su'du 过滤速度
'guo'min'xing'nian'tu 过敏性粘土
'guo're 过热
'guo're'zheng'qi 过热蒸汽
'guo'sheng'cheng'fen 过剩成分
'guo'xue 锅穴
'guo'ya 过压
'guo'yang'hua'qing 过氧化氢
'guo'zhuang'huo'shan'kou 锅状火山口
'guo'zhuang'xian'luo'di 锅状陷落地
'ha'gao'shi 铪锆石
'ha'tong'shu 哈通数
'hai'an 海岸
'hai'an'di'xing 海岸地形
'hai'an'dong'xue 海岸洞穴
'hai'an'jian'tou 海岸尖头
'hai'an'jie'di 海岸阶地
'hai'an'li'shi 海岸砾石
'hai'an'sha'qiu 海岸沙丘
'hai'an'xian 海岸线
'hai'bai'he'hui'yan 海百合灰岩
'hai'bai'he'lei 海百合类
'hai'bin'jie'di 海滨阶地
'hai'bin'ping'yuan 海滨平原
'hai'bin'sha'kuang 海滨砂矿
'hai'bin'zhi'bei 海滨植被
'hai'bing 海冰
'hai'cao 海槽
'hai'dan'lei 海胆类
'hai'di 海底
'hai'di'chen'ji'wu 海底沉积物
'hai'di'di'zhi'xue 海底地质学
'hai'di'fen'jie 海底分解
'hai'di'feng'hua 海底风化
'hai'di'fu'zhi'zhi 海底腐殖质
'hai'di'hua'dong 海底滑动
'hai'di'huo'shan 海底火山
'hai'di'jie'di 海底阶地
'hai'di'kuang'chuang 海底矿床
'hai'di'kuo'zhang 海底扩张
'hai'di'kuo'zhang'shuo 海底扩张说
'hai'di'mei'tian 海底煤田
'hai'di'meng'kuai 海底锰块
'hai'di'qiang'liu 海底强流
'hai'di'qin'shi 海底侵蚀
'hai'di'qu'yan'xin'zuan'ji 海底取岩芯钻机
'hai'di'shan'xing'di 海底扇形地
'hai'di'ya 海底崖
'hai'di'you'tian 海底油田
'hai'er'wei'jie 海尔微阶
'hai'feng 海峰
'hai'fu 海釜
'hai'ji'wu 海积物
'hai'jie 海阶
'hai'jin 海进
'hai'jing 骸晶
'hai'jing'gou'zao 骸晶构造
'hai'lan'bao'shi 海蓝宝石
'hai'lei'lei 海蕾类
'hai'lin'qin'lei 海林檎类
'hai'ling 海岭
'hai'liu 海流
'hai'long 海隆
'hai'lv'sha'yan 海绿砂岩
'hai'lv'shi 海绿石
'hai'lv'shi'sha 海绿石砂
'hai'mian'dong'wu 海绵动物
'hai'mian'gou'zao 海绵构造
'hai'mian'gu'zhen 海绵骨针
'hai'mian'sheng'jiang 海面升降
'hai'mian'sheng'jiang'yun'dong 海面升降运动
'hai'mian'ti 海绵体
'hai'mian'ying'ruan 海绵硬朊
'hai'mian'yun'tie'jie'gou 海绵陨铁结构
'hai'mian'zu'zhi 海绵组织
'hai'pao'shi 海泡石
'hai'ping'mian 海平面
'hai'qin 海侵
'hai'qin'bu'zheng'he 海侵不整合
'hai'qin'chao'fu 海侵超覆
'hai'shan 海山
'hai'shang'shi'you'zuan'tan 海上石油钻探
'hai'shang'zuan'tan'zhuang'zhi 海上钻探装置
'hai'shi 海蚀
'hai'shi'di 海湿地
'hai'shi'dong 海蚀洞
'hai'shi'hou'tui 海蚀后退
'hai'shi'lun'hui 海蚀轮回
'hai'shi'ping'tai 海蚀平台
'hai'shi'ping'yuan 海蚀平原
'hai'shui 海水
'hai'shui'jin'ru 海水浸入
'hai'shui'wen'du 海水温度
'hai'ta 海塔
'hai'tan'qin'shi 海滩侵蚀
'hai'tan'yi'dong 海滩移动
'hai'tui 海退
'hai'tui'ceng'xu 海退层序
'hai'tui'xian 海退线
'hai'wan'chen'ji 海湾沉积
'hai'wu'shan'yun'dong 海戊山运动
'hai'xia 海峡
'hai'xiao 海啸
'hai'xing'lei 海星类
'hai'xue 海雪
'hai'ya 海崖
'hai'yang'ce'liang 海洋测量
'hai'yang'chen'ji 海洋沉积
'hai'yang'dao 海洋岛
'hai'yang'di'qiao 海洋地壳
'hai'yang'di'zhi'xue 海洋地质学
'hai'yang'fu'you'sheng'wu 海洋浮游生物
'hai'yang'hua'zhuo 海洋化酌
'hai'yang'ke'la'tong 海洋克拉通
'hai'yang'xing'la'ban'xuan'wu'yan 海洋性拉斑玄武岩
'hai'yang'xue 海洋学
'hai'yang'yao'gan 海洋遥感
'hai'yang'zao'lei 海洋藻类
'hai'yuan 海渊
'hai'yuan'xian'shui'hu 海源咸水湖
'hai'zao 海藻
'hai'zao'bing 海藻饼
'hai'zhen 海震
'hai'zhong'li'yi 海重力仪
'han'dai 寒带
'han'dong'feng'hua 寒冻风化
'han'hua'shi'de 含化石的
'han'jie 焊接
'han'jin'de 含金的
'han'jin'li'yan 含金砾岩
'han'jin'li'yan'ceng 含金砾岩层
'han'jin'shu'de 含金属的
'han'jin'shu'pen'qi 含金属喷气
'han'jing'ti'de 含晶体的
'han'kuang'ceng 含矿层
'han'kuang'de 含矿的
'han'kuang'di'dai 含矿地带
'han'kuang'yan 含矿岩
'han'liu'an'ji'suan 含硫氨基酸
'han'mei'de 含煤的
'han'mei'di'ceng 含煤地层
'han'mei'shi'hui'yan 含镁石灰岩
'han'mei'xi'shu 含煤系数
'han'mei'xing 含煤性
'han'qi'de 含气的
'han'qi'shi'you 含气石油
'han'sheng'xing'tai 旱生形态
'han'sheng'xing'tai'de 旱生形态的
'han'sheng'zhi'bei 旱生植被
'han'sheng'zhi'wu 旱生植物
'han'shu'zu'gou 函数组构
'han'shui'ceng 含水层
'han'shui'ceng'shi'yan 含水层试验
'han'shui'ceng'sun'shi 含水层损失
'han'shui'ceng'wei'zhe'zhui'xue 含水层未着锥穴
'han'shui'de 含水的
'han'shui'liang 含水量
'han'shui'lin'tie'kuang 含水磷铁矿
'han'shui'zhen'tie'kuang 含水针铁矿
'han'tan'de 含碳的
'han'tie'de 含铁的
'han'tong'nie'de 含铜镍的
'han'wu'xi 寒武系
'han'xi'de 含锡的
'han'yan'xing 含盐性
'han'yan'yan'lin'lv 含盐岩淋滤
'han'yin'de 含银的
'han'yin'huang'tie'kuang 含银黄铁矿
'han'you'ceng 含油层
'han'you'de 含油的
'han'you'jian'zao 含油建造
'han'you'liang 含铀量
'han'you'pen'di 含油盆地
'hang'dao 巷道
'hang'dao'zhi'jia 巷道支架
'hang'kong'ce'liang 航空测量
'hang'kong'ce'tu'yi 航空测图仪
'hang'kong'ci'ce 航空磁测
'hang'kong'ci'fa'kan'tan 航空磁法勘探
'hang'kong'di'ci'yi 航空地磁仪
