'an'fa'zhi'zhi'er'zeng'ju 按法治之而增剧
'fu'ling'shi'ba'zhu 茯苓十八铢
'fu'ling'si'liang 茯苓四两
'fu'ling'si'ni'tang'fang 茯苓四逆汤方
'fu'ling'si'ni'tang'zhu'zhi 茯苓四逆汤主之
'fu'ling'wei'si'han 复令微似汗
'fu'ling'yi'liang'ban 茯苓一两半
'fu'liu'qi'he'wei'miao 服六七合为妙
'fu'man'bu'jian 腹满不减
'fu'man'er'chuan 腹满而喘
'fu'man'er'tu 腹满而吐
'fu'man'jia'hui'zhe 腹满加哕者
'fu'man'ru'gu 腹满如故
'fu'man'shen'zhong 腹满身重
'fu'man'tong'zhe 腹满痛者
'fu'man'wei'chuan 腹满微喘
'fu'man'zhe 腹满者
'fu'mu'run'zhe 肤目闰者
'fu'nei'tong'zhe 腹内痛者
'fu'nei'zu'tong 腹内卒痛
'fu'qi'zhi'bing 伏气之病
'fu'qu'wei'si'han 复取微似汗
'fu're'si'ri 复热四日
'fu'ren'bing 妇人病
'fu'ren'shang'han'fa're 妇人伤寒发热
'fu'ren'ze'ban'chan'lou'xia 妇人则半产漏下
'fu'ren'zhong'feng 妇人中风
'fu'ru 腹濡
'fu'ru'shi 夫如是
'fu'san'ji'nai'jie 服三剂乃解
'fu'se'xiang'bo 浮涩相搏
'fu'shi'wan 服十丸
'fu'shi'ze'zhan'yu 夫实则谵语
'fu'si'ni'bei 服四逆辈
'fu'tang 服汤
'fu'tang'hou 服汤后
'fu'tang'yao'geng'chi 服汤药更迟
'fu'tang'yi'ke'zhe 服汤已渴者
'fu'tong 腹痛
'fu'wang'lai'han're'zhe 复往来寒热者
'fu'wei'feng 浮为风
'fu'wei'feng'xu 浮为风虚
'fu'wei'fu'man 浮为腹满
'fu'wei'man 腹微满
'fu'wei'man'zhe 腹微满者
'fu'wei'qi 浮为气
'fu'wei'qi'shi 浮为气实
'fu'wei'xu 浮为虚
'fu'wei'yang 浮为阳
'fu'wei'yang'xu 浮为阳虚
'fu'wei'zai'wai 浮为在外
'fu'wen'ge'san 服文蛤散
'fu'wu'he 服五合
'fu'xia'zhi 复下之
'fu'xiang'huo 覆向火
'fu'xie'xin'tang'yi 服泻心汤已
'fu'xu'xiang'bo 浮虚相搏
'fu'yang'mai'bu'chu 趺阳脉不出
'fu'yang'mai'chen'er'shu 趺阳脉沉而数
'fu'yang'mai'chi'er'huan 趺阳脉迟而缓
'fu'yang'mai'da'er'jin'zhe 肤阳脉大而紧者
'fu'yang'mai'fu 趺阳脉浮
'fu'yang'mai'fu'er'kou 趺阳脉浮而芤
'fu'yang'mai'fu'er'se 趺阳脉伏而涩
'fu'yang'mai'fu'er'se 趺阳脉浮而涩
'fu'yang'mai'fu'er'shu 趺阳脉浮而数
'fu'yang'mai'hua'er'jin 趺阳脉滑而紧
'fu'yang'mai'jin'er'fu 趺阳脉紧而浮
'fu'yang'mai'wei'er'jin 肤阳脉微而紧
'fu'yang'sheng'yin'xu 夫阳盛阴虚
'fu'yao'bu'ru'fang'fa 服药不如方法
'fu'yao'yi 服药已
'fu'yi'ji'jin 服一剂尽
'fu'yi'sheng 服一升
'fu'yi'ta'yao'xia'zhi 复以他药下之
'fu'yi'wei'ji'bing'zhi'ji 夫以为疾病至急
'fu'yi'xu'yu 服已须臾
'fu'you'li'ye 复有里也
'fu'yu'chai'hu'tang 复与柴胡汤
'fu'yu'ci'fang'nei 附于此方内
'fu'yu'hou'zhi'si'shi'zheng'qi'wei'bing 夫欲候知四时正气为病
'fu'yu'zhi'shui 复与之水
'fu'ze'shang'wei 浮则伤胃
'fu'ze'tu'ni 伏则吐逆
'fu'ze'wei'feng 浮则为风
'fu'ze'wei'qi'qiang 浮则胃气强
'fu'ze'wei'xu 浮则为虚
'fu'ze'wu'xue 浮则无血
'fu'zhang'bu'da'bian'zhe 腹胀不大便者
'fu'zhang'man 腹胀满
'fu'zhang'man'zhe 腹胀满者
'fu'zhe 负者
'fu'zhe'wei'qi'shuai 浮者卫气衰
'fu'zhi'ze'jue'ni 服之则厥逆
'fu'zhi'zhe'zhi'ju'cuo'ye 夫智者之举错也
'fu'zhong'fu'jian 腹中复坚
'fu'zhong'gan 腹中干
'fu'zhong'he'wu'bing 腹中和无病
'fu'zhong'ji 腹中饥
'fu'zhong'lei'ming 腹中雷鸣
'fu'zhong'lei'ming'xia'li'zhe 腹中雷鸣下利者
'fu'zhong'tong 腹中痛
'fu'zhong'tong'zhe 腹中痛者
'fu'zhong'wei're 腹中未热
'fu'zhong'ying'leng 腹中应冷
'fu'zhong'zhuan'shi'qi'zhe 腹中转矢气者
'fu'zi'er'mei'pao 附子二枚炮
'fu'zi'er'mei'po'ba'pian 附子二枚破八片
'fu'zi'liu'liang'pao 附子六两炮
'fu'zi'san'mei'pao 附子三枚炮
'fu'zi'tang'fang 附子汤方
'fu'zi'tang'zhu'zhi 附子汤主之
'fu'zi'wen'jing 附子温经
'fu'zi'xie'xin'tang'fang 附子泻心汤方
'fu'zi'xie'xin'tang'zhu'zhi 附子泻心汤主之
'fu'zi'yi'mei 附子一枚
'fu'zi'yi'mei'pao 附子一枚炮
'fu'zi'yi'mei'sheng'yong 附子一枚生用
'gan'bing'zi'de'ru'ruo'zhe 肝病自得濡弱者
'gan'cao 甘草
'gan'cao'er'liang'zhi 甘草二两炙
'gan'cao'fu'zi'tang'fang 甘草附子汤方
'gan'cao'fu'zi'tang'zhu'zhi 甘草附子汤主之
'gan'cao'gan'jiang'tang'fang 甘草干姜汤方
'gan'cao'san'liang 甘草三两
'gan'cao'san'liang'zhi 甘草三两炙
'gan'cao'si'liang 甘草四两
'gan'cao'si'liang'zhi 甘草四两炙
'gan'cao'tang'fang 甘草汤方
'gan'cao'xie'xin'tang'fang 甘草泻心汤方
'gan'cao'xie'xin'tang'zhu'zhi 甘草泻心汤主之
'gan'cao'yi'liang 甘草一两
'gan'cao'yi'liang'er'zhu'zhi 甘草一两二铢炙
'gan'cao'yi'liang'zhi 甘草一两炙
'gan'cao'yi'liang'zhi'ban'xia'er'he'ban 甘草一两炙半夏二合半
'gan'cao'zhi 甘草炙
'gan'fan'er'bu'de'mian 干烦而不得眠
'gan'jiang'er'liang 干姜二两
'gan'jiang'er'liang'pao 干姜二两炮
'gan'jiang'er'liang'wei'xin're 干姜二两味辛热
'gan'jiang'fu'zi'tang'fang 干姜附子汤方
'gan'jiang'fu'zi'tang'zhu'zhi 干姜附子汤主之
'gan'jiang'huang'lian'huang'qin'ren'shen 干姜黄连黄芩人参
'gan'jiang'huang'lian'huang'qin'ren'shen'tang'fang 干姜黄连黄芩人参汤方
'gan'jiang'huang'lian'huang'qin'ren'shen'tang'zhu'zhi 干姜黄连黄芩人参汤主之
'gan'jiang'san'liang 干姜三两
'gan'jiang'shi'liang 干姜十两
'gan'jiang'yi'liang 干姜一两
'gan'jiang'yi'liang'ban 干姜一两半
'gan'mai'shu'mu 肝脉属木
'gan'ou 干呕
'gan'ou'bu'neng'shi 干呕不能食
'gan'ou'fa're'er'ke 干呕发热而咳
'gan'ou'fan'zhe 干呕烦者
'gan'ou'zhe 干呕者
'gan'qi'ye 肝气也
'gan're 甘热
'gan'sui 甘遂
'gan'sui'he'ke'yi'wang'gong 甘遂何可以妄攻
'gan'sui'yi'qian 甘遂一钱
'gan'yi 干噫
'gan'zhe'mu'ye 肝者木也
'gang'rou'xiang'bo 刚柔相搏
'gao'xia'bu'tong 高下不同
'gao'zhang'xiang'bo 高章相搏
'ge'bie'dao'shai 各别捣筛
'ge'bie'dao'shai'yi 各别捣筛已
'ge'bie'dao'wei'san 各别捣为散
'ge'gen'ban'jin'gan'cao'er'liang'zhi 葛根半斤甘草二两炙
'ge'gen'huang'lian'huang'qin'tang'zhu'zhi 葛根黄连黄芩汤主之
'ge'gen'huang'qin'huang'lian'tang'fang 葛根黄芩黄连汤方
'ge'gen'jia'ban'xia'tang'fang 葛根加半夏汤方
'ge'gen'jia'ban'xia'tang'zhu'zhi 葛根加半夏汤主之
'ge'gen'si'liang 葛根四两
'ge'gen'tang'fang 葛根汤方
'ge'gen'tang'zhu'zhi 葛根汤主之
'ge'nei'ju'tong 膈内拒痛
'ge'qi'nai'xia 隔气乃下
'ge'qi'xu 隔气虚
'ge'san'liang 各三两
'ge'shi'fen 各十分
'ge'yi'liang 各一两
'ge'ze'tu'ni 格则吐逆
'ge'zheng'yi'qi'er 各正一气耳
'gen'ben'yi'yuan 根本异源
'geng'bu'chuan'jing 更不传经
'geng'fa'han'ze'yu 更发汗则愈
'geng'fa're'er'zao'fan'ye 更发热而躁烦也
'geng'fa're'ye 更发热也
'geng'fa're'zhe 更发热者
'geng'fu 更服
'geng'fu'yi'sheng 更服一升
'geng'jia'gui'er'liang 更加桂二两
'geng'jia'shao'yao'san'liang 更加芍药三两
'geng'jia'shao'yao'sheng'jiang'ge'yi'liang 更加芍药生姜各一两
'geng'jian'san'fei 更煎三沸
'geng'lai'jian'jian'da 更来渐渐大
'geng'lai'xiao'shu 更来小数
'geng'mo'fu'fu 更莫复服
'geng'ni'tu'xia 更逆吐下
'geng'ru'jiu'zhong'zhi'zhi 更入臼中治之
'geng'shang'huo'wei'fei 更上火微沸
'geng'shang'huo'wei'zhu 更上火微煮
'geng'shang'wei'huo 更上微火
'geng'shang'wei'huo'yi'liang'fei 更上微火一两沸
'geng'xiang'chong'ta 更相重沓
'geng'yin'gan'cao'gan'jiang'tang 更饮甘草干姜汤
'geng'yu'jiu'zhong'chu'zhi 更于臼中杵之
'geng'yu'wen'qi 更遇温气
'geng'yu'yu'feng 更遇于风
'geng'zhu'wu'liu'fei 更煮五六沸
'geng'zhu'yi'er'fei 更煮一二沸
'geng'zuo'fu 更作服
'geng'zuo'san'ji 更作三剂
'geng'zuo'shao'yao'gan'cao'tang'yu'zhi 更作芍药甘草汤与之
'gong'biao'gui'zhi'tang 攻表桂枝汤
'gong'pi'da'huang'huang'lian'xie'xin'tang 攻痞大黄黄连泻心汤
'gong'qi're'bi'hui 攻其热必哕
'gong'wu'liang 共五两
'gong'zhi 攻之
'gong'zhi'bi'tang 攻之必溏
'gu'bi'se 故鼻塞
'gu'bu'de'qian 谷不得前
'gu'bu'hua 谷不化
'gu'bu'zhan'bu'han'chu'er'jie'ye 故不战不汗出而解也
'gu'cheng'ru'jing'ye 故称如经也
'gu'ci'jian'zhi 故此见之
'gu'dang'fu'zuo'ben'tang'fu'zhi 故当复作本汤服之
'gu'dang'han'chu'er'jie'ye 故当汗出而解也
'gu'dang'zhan'er'han'chu'ye 故当战而汗出也
'gu'er'chang'ming'zhe 固尔肠鸣者
'gu'fan 故烦
'gu'fan'man'er'nang'suo 故烦满而囊缩
'gu'fu'man'er'ai'gan 故腹满而嗌干
'gu'gong'qi're'bi'hui 故攻其热必哕
'gu'jie'fan'teng 骨节烦疼
'gu'jie'ku'teng 骨节苦疼
'gu'jie'teng'tong 骨节疼痛
'gu'jie'tong 骨节痛
'gu'kou'zao'she'gan'er'ke 故口燥舌干而渴
'gu'ling'bu'yu 故令不愈
'gu'ling'da'bian'ying 故令大便硬
'gu'ling'mai'hua 故令脉滑
'gu'ling'mai'jin'ye 故令脉紧也
'gu'ling'mai'shu'fa're'kuang'zou'jian'gui 故令脉数发热狂走见鬼
'gu'ling'qi 故令气
'gu'ling'se'bai'ye 故令色白也
'gu'ling'wei'fan 故令微烦
'gu'ling'xi'wang 故令喜忘
'gu'ming'fan 故名反
'gu'ming'fu 故名复
'gu'ming'zai'guai'er 故名灾怪耳
'gu'neng'shi'er'ke 故能食而咳
'gu'qi'han 故其汗
'gu'qi'xia'liu'gu'ye 谷气下流故也
'gu'qi'zhi'dan'ri'ye'ban'yu 故期之旦日夜半愈
'gu'qing'xie'zhong'shang 故清邪中上
'gu'ru'yu'wei 谷入于胃
'gu'shen're'mu'teng'bi'gan'bu'de'wo 故身热目疼鼻干不得卧
'gu'shi'bu'da'bian'ye 故使不大便也
'gu'shi'han'chu 故使汗出
'gu'shi'ou'ye 故使呕也
'gu'shi'ran'ye 故使然也
'gu'shi'ru'nue'zhuang 故使如疟状
'gu'shi'xie'zhong'yu'yin'ye 故使邪中于阴也
'gu'shi'ying'ye 故使硬也
'gu'sui'sheng 骨髓生
'gu'tou'xiang'tong 故头项痛
'gu'tu'ye 故吐也
'gu'wei'fa'han'ye 故微发汗也
'gu'wei'jin'ye 故为进也
'gu'xie'qi'fu'zhi 故邪气浮之
'gu'xin'xia'pi 故心下痞
'gu'xiong'xie'tong'er'er'long 故胸胁痛而耳聋
'gu'yang'du'xia'yin'bu'zhe 孤阳独下阴部者
'gu'yu'luo'qi'shen 故欲裸其身
'gu'yu'zhu'fu'yi 故欲著复衣
'gu'ze'zhi 故责之
'gu'zhi'bing'ke'yu 故知病可愈
'gu'zhi'bu'jiu'bi'da'bian'ye 故知不久必大便也
'gu'zhi'bu'zhan'han'chu'er'jie'ye 故知不战汗出而解也
'gu'zhi'da'bian'bu'jiu'chu 故知大便不久出
'gu'zhi'dang'shi'nong'ye 故知当屎脓也
'gu'zhi'fei'shao'yin'ye 故知非少阴也
'gu'zhi'han'chu'jie'ye 故知汗出解也
'gu'zhi'pi'qi'bu'zhi 故知脾气不治
'gu'zhi'pi'qi'bu'zu 故知脾气不足
'gu'zhi'si'ye 故知死也
'gu'zhi'xue'wang'ye 故知血亡也
'gu'zhi'you'su'shi 故知有宿食
'gu'zhi'yu'ye 故知愈也
'gu'zhi'zai'wai 故知在外
'gu'zhi'zhi'qiu'si 故知至秋死
'gu'zhi'zi'yu 故知自愈
'gu'zhong'ji'zhu'ke'yu'bu'ke'fang'zhi 故重集诸可与不可方治
'gua'di'san 瓜蒂散
'gua'di'san'fang 瓜蒂散方
'gua'di'yi'fen 瓜蒂一分
'gua'lou'gen'si'liang 栝蒌根四两
'gua'lou'shi'da'zhe'yi'ge 栝蒌实大者一个
'guan'chi'zi'ping 关尺自平
'guan'jie'teng'tong'er'fan 关节疼痛而烦
'guan'mai'chen 关脉沉
'guan'mai'xiao'xi'chen'jin 关脉小细沉紧
'guan'qi'mai'zheng 观其脉证
'guan'shang'mai'xi'shu'zhe 关上脉细数者
'guan'ze'bu'de'xiao'bian 关则不得小便
'gui'ban'liang'qu'pi 桂半两去皮
'gui'er'liang'qu'pi 桂二两去皮
'gui'ji'er'liang'qu'pi 桂技二两去皮
'gui'zhi'ben'wei'jie'ji 桂枝本为解肌
'gui'zhi'bu'zhong'yu'zhi'ye 桂枝不中与之也
'gui'zhi'er'liang 桂枝二两
'gui'zhi'er'liang'qu'pi 桂枝二两去皮
'gui'zhi'er'ma'huang'yi'tang 桂枝二麻黄一汤
'gui'zhi'er'ma'huang'yi'tang'fang 桂枝二麻黄一汤方
'gui'zhi'er'yue'bi'yi 桂枝二越婢一
'gui'zhi'er'yue'bi'yi'tang'fang 桂枝二越婢一汤方
'gui'zhi'fu'ling 桂枝茯苓
'gui'zhi'fu'zi'tang'fang 桂枝附子汤方
'gui'zhi'fu'zi'tang'zhu'zhi 桂枝附子汤主之
'gui'zhi'gan'cao'long'gu'mu'li'tang'fang 桂枝甘草龙骨牡蛎汤方
'gui'zhi'gan'cao'long'gu'mu'li'tang'zhu'zhi 桂枝甘草龙骨牡蛎汤主之
'gui'zhi'gan'cao'tang'fang 桂枝甘草汤方
'gui'zhi'gan'cao'tang'zhu'zhi 桂枝甘草汤主之
'gui'zhi'jia'da'huang'tang'fang 桂枝加大黄汤方
'gui'zhi'jia'da'huang'tang'zhu'zhi 桂枝加大黄汤主之
'gui'zhi'jia'fu'zi'tang'fang 桂枝加附子汤方
'gui'zhi'jia'fu'zi'tang'zhu'zhi 桂枝加附子汤主之
'gui'zhi'jia'ge'gen'tang'fang 桂枝加葛根汤方
'gui'zhi'jia'ge'gen'tang'zhu'zhi 桂枝加葛根汤主之
'gui'zhi'jia'gui'tang'fang 桂枝加桂汤方
'gui'zhi'jia'hou'pu'xing'ren'tang'zhu'zhi 桂枝加厚朴杏仁汤主之
'gui'zhi'jia'hou'pu'xing'zi'tang'fang 桂枝加厚朴杏子汤方
'gui'zhi'jia'shao'yao'sheng'jiang'ren'shen'xin'jia'tang'fang 桂枝加芍药生姜人参新加汤方
'gui'zhi'jia'shao'yao'tang'fang 桂枝加芍药汤方
'gui'zhi'jia'shao'yao'tang'zhu'zhi 桂枝加芍药汤主之
'gui'zhi'liu'liang 桂枝六两
'gui'zhi'ma'huang'ge'ban'tang 桂枝麻黄各半汤
'gui'zhi'ma'huang'ge'ban'tang'fang 桂枝麻黄各半汤方
'gui'zhi'qu'gui'jia'fu'ling'bai'zhu'tang'fang 桂枝去桂加茯苓白术汤方
'gui'zhi'qu'pi 桂枝去皮
'gui'zhi'qu'shao'yao'jia'fu'zi'tang'fang 桂枝去芍药加附子汤方
'gui'zhi'qu'shao'yao'tang'fang 桂枝去芍药汤方
'gui'zhi'qu'shao'yao'tang'zhu'zhi 桂枝去芍药汤主之
'gui'zhi'ren'shen'tang'fang 桂枝人参汤方
'gui'zhi'ren'shen'tang'zhu'zhi 桂枝人参汤主之
'gui'zhi'san'liang 桂枝三两
'gui'zhi'san'liang'qu'pi 桂枝三两去皮
'gui'zhi'si'liang'qu'pi 桂枝四两去皮
'gui'zhi'tang 桂枝汤
'gui'zhi'tang'fa'han 桂枝汤发汗
'gui'zhi'tang'fang 桂枝汤方
'gui'zhi'tang'qu'gui 桂枝汤去桂
'gui'zhi'tang'xiao'he'zhi 桂枝汤小和之
'gui'zhi'tang'zhu'zhi 桂枝汤主之
'gui'zhi'yi'liang 桂枝一两
'gui'zhi'yi'liang'ban'qu'pi 桂枝一两半去皮
'gui'zhi'yi'liang'shi'liu'zhu'qu'pi 桂枝一两十六铢去皮
'gui'zhi'yi'liang'shi'qi'zhu'qu'pi 桂枝一两十七铢去皮
'gui'zhi'zheng 桂枝证
'guo'jing 过经
'guo'jing'nai'ke'xia'zhi 过经乃可下之
'guo'jing'shi'yu'ri 过经十余日
'guo'zhi'yi'ri 过之一日
'hai'yong'shu 还用术
'hai'zao 海藻
'han'bu'zhi 汗不止
'han'chu 汗出
'han'chu'bi'e'shang'xian 汗出必额上陷
'han'chu'bi'jie 汗出必解
'han'chu'biao'he'gu'ye 汗出表和故也
'han'chu'bu'fan 汗出不烦
'han'chu'bu'jie 汗出不解
'han'chu'duan'qi 汗出短气
'han'chu'duo 汗出多
'han'chu'duo'er'ke'zhe 汗出多而渴者
'han'chu'duo'zhe 汗出多者
'han'chu'e'feng'zhe 汗出恶风者
'han'chu'er'chuan 汗出而喘
'han'chu'er'jie 汗出而解
'han'chu'er'jue 汗出而厥
'han'chu'er'jue'zhe 汗出而厥者
'han'chu'er'mao'dian 汗出而冒巅
'han'chu'fu'fan'zhe 汗出复烦者
'han'chu'wei'yang'wei 汗出为阳微
'han'chu'yu 汗出愈
'han'chu'ze'jie 汗出则解
'han'chu'ze'si'zhi'jue'ni'leng 汗出则四肢厥逆冷
'han'chu'zhan'yu'zhe 汗出谵语者
'han'chu'zhe 汗出者
'han'da'chu'zhe 汗大出者
'han'du'cang'yu'ji'fu 寒毒藏于肌肤
'han'duo 寒多
'han'duo'bi'wang'yang 汗多必亡阳
'han'duo're'shao 寒多热少
'han'duo'wang'yang 汗多亡阳
'han'duo'ze're'yu 汗多则热愈
'han'duo'zhe'bian'qing'gu 寒多者便清谷
'han'er'bu're 寒而不热
'han'ge 寒格
'han'jia'zhong'fa'han 汗家重发汗
'han'jian'jiang'jie 寒渐将解
'han'jue'xiang'zhu 寒厥相逐
'han'lie'yi'yan 寒冽已严
'han'qi'shang'wei 寒气尚微
'han'qi'xiang'bo 寒气相搏
'han'qi'yin'shui'fa 寒气因水发
'han'shao'ze'bian'nan 汗少则便难
'han'shi'jie'xiong 寒实结胸
'han'xian'chu'bu'che 汗先出不彻
'han'xu'xiang'bo 寒虚相搏
'han'you'bu'yu'zhe 罕有不愈者
'han'zai'gu'sui'ye 寒在骨髓也
'han'zai'pi'fu 寒在皮肤
'han'ze'lao'jian 寒则牢坚
'han'ze'shang'rong 寒则伤荣
'han'zhe 寒者
'han'zhi'bing'bu'yu'zhe 汗之病不愈者
'han'zhi'ze'si 汗之则死
'han'zhi'ze'yu 汗之则愈
'han'zi'chu 汗自出
'he'cu'shao'xu 和醋少许
'he'er'yin'zhi 合而饮之
'he'ling'xiang'de 和令相得
'he'qi'er'chi'zhe 核起而赤者
'he'qi'rong'wei 和其荣卫
'he'qian'cheng'si'liang'ban 合前成四两半
'he're'ze'xiao'gu'xi'ji 合热则消谷喜饥
'he'san 和散
'he'shi'yu 何时愈
'he'wei'cang'jie 何谓藏结
'he'wei'yang'bu'zu 何谓阳不足
'he'wei'yin'bu'zu 何谓阴不足
'he'xiang'de 和相得
'he'yan'ru'zhi 合研如脂
'he'yao'ling'xiang'de 和药令相得
'he'yi'chu'yan'zhi'qiu'dang'si 何以处言至秋当死
'he'yi'gu 何以故
'he'yi'wan 和一丸
'he'yi'zhi'cheng'cang 何以知乘藏
'he'yi'zhi'cheng'fu 何以知乘府
'he'yi'zhi'han'chu'bu'che 何以知汗出不彻
'he'yi'zhi'zhi'ran 何以知之然
'he'yin'yi'sheng 合饮一升
'he'yuan'de'yang'ming'bing 何缘得阳明病
'he'zhe 何者
'he'zhi'zhi 合治之
'he'zhu'qu'wu'sheng 和煮取五升
'hou'bi'jue 后必厥
'hou'bi'tang 后必溏
'hou'bi'xia'zhong 后必下重
'hou'fa're'er'li'zhe 后发热而利者
'hou'fu'xiao'cu'yi'qi'jian 后服小促役其间
'hou'jia'jian'fa 后加减法
'hou'nai'fa're 后乃发热
'hou'pu'ban'jin'qu'pi 厚朴半斤去皮
'hou'pu'er'liang'zhi'qu'pi 厚朴二两炙去皮
'hou'pu'sheng'jiang'gan'cao'ban'xia'ren'shen'tang'fang 厚朴生姜甘草半夏人参汤方
'hou'pu'sheng'jiang'gan'cao'ban'xia'ren'shen'tang'zhu'zhi 厚朴生姜甘草半夏人参汤主之
'hou'pu'si'liang'jiang'zhi 厚朴四两姜炙
'hou'pu'yi'jin'zhi 厚朴一斤炙
'hou'ru'shi'yan 后如师言
'hou'san'ri'mai'zhi 后三日脉之
'hou'san'ri'mai'zhi'er'mai'shu 后三日脉之而脉数
'hou'shen'teng'tong 后身疼痛
'hou'si'wu'ri 后四五日
'hou'yi'chai'hu'jia'mang'xiao'tang'zhu'zhi 后以柴胡加芒消汤主之
'hou'zhong'tong 喉中痛
'hou'zi'yu 后自愈
'hu'ran'da'han'chu 忽然大汗出
'hu'xi'chu'ru 呼吸出入
'hu'xi'zhe 呼吸者
'hu'xi'zhi'zhong 呼吸之中
'hu'xiang'ke'zei 互相克贼
'hua'shi'sui 滑石碎
'hua'wei'shi 滑为实
'hua'zhe'jin'zhi'fu'ming'ye 滑者紧之浮名也
'hua'zhe'wei'qi'shi 滑者胃气实
'huan'kou'li'hei 环口黧黑
'huan'ren'ren'zhi 患人忍之
'huan'ze'yang'qi'chang 缓则阳气长
'huan'zhe'wei'qi'shi 缓者胃气实
'huan'zhe'wei'qi'you'yu 缓者胃气有余
'huang'cong'xiao'bian'qu'ye 黄从小便去也
'huang'er'gang 黄耳杠
'huang'lian 黄连
'huang'lian'e'jiao'tang'fang 黄连阿胶汤方
'huang'lian'e'jiao'tang'zhu'zhi 黄连阿胶汤主之
'huang'lian'huang'bai'qin'pi'ge'san'liang 黄连黄柏秦皮各三两
'huang'lian'huang'qin'ge'yi'liang 黄连黄芩各一两
'huang'lian'san'liang 黄连三两
'huang'lian'si'liang 黄连四两
'huang'lian'tang'fang 黄连汤方
'huang'lian'tang'zhu'zhi 黄连汤主之
'huang'lian'yi'jin 黄连一斤
'huang'lian'yi'liang 黄连一两
'huang'nie'er'liang 黄蘖二两
'huang'nie'liu'liang 黄蘖六两
'huang'qin'er'liang 黄芩二两
'huang'qin'jia'ban'xia'sheng'jiang'tang'fang 黄芩加半夏生姜汤方
'huang'qin'jia'ban'xia'sheng'jiang'tang'zhu'zhi 黄芩加半夏生姜汤主之
'huang'qin'ren'shen'ge'yi'liang'ban 黄芩人参各一两半
'huang'qin'san'liang 黄芩三两
'huang'qin'tang'fang 黄芩汤方
'huang'qin'yi'liang 黄芩一两
'hui'er'fu'man 哕而腹满
'hui'jue'zhe 蛔厥者
'hui'jue'zhe'qi'ren'dang'tu'hui 蛔厥者其人当吐蛔
'hui'shang'ru'ge 蛔上入膈
'hui'wen'shi'chou'chu 蛔闻食臭出
'huo'bu'da'bian 或不大便
'huo'bu'ke 或不渴
'huo'chuan'zhe 或喘者
'huo'cong'kou'bi 或从口鼻
'huo'cong'mu'chu 或从目出
'huo'cun'huo'wang 或存或亡
'huo'dao'ba'ri'yi'shang 或到八日以上
'huo'duan'huo'chang 或短或长
'huo'fu'tong 或腹痛
'huo'fu'zhong'tong 或腹中痛
'huo'gan'ou 或干呕
'huo'ji 或悸
'huo'jiu'shang'qu'leng'suo'zhi'ye 或久伤取冷所致也
'huo'ke 或渴
'huo'ke'xi'fang'jin 火克西方金
'huo'ke'zhe 或咳者
'huo'li 或利
'huo'li'zhi 或利止
'huo'luan 霍乱
'huo'ni 火逆
'huo'ou'zhe 或呕者
'huo'qi'sui'wei 火气虽微
'huo'ri'shu'jiu'yan 或日数久淹
'huo'shen'wei'zhong'zhe 或身微肿者
'huo'shi'bu'zao'zhi 或始不早治
'huo'wei'fa're 或未发热
'huo'xia'li 或下利
'huo'xia'zhi 或下之
'huo'xiao'bian'bu'li 或小便不利
'huo'xiao'bian'li 或小便利
'huo'xie'li'xia'zhong'zhe 或泄利下重者
'huo'xie'xia'pi'ying 或胁下痞硬
'huo'xin'xia'ji 或心下悸
'huo'xing'cheng'mu 火行乘木
'huo'xing'cheng'shui 火行乘水
'huo'xiong'zhong'fan'er'bu'ou 或胸中烦而不呕
'huo'xuan'mao 或眩冒
'huo'yan'tong 或咽痛
'huo'ye 或噎
'huo'yi'fa're 或已发热
'huo'yin'yin'zhong'ju'luan 或引阴中拘挛
'huo'you'bao'han 或有暴寒
'huo'you'jiu'shi'fu'yao 或有旧时服药
'huo'you'wei'ying'zhi'er'zhi'zhe 或有未应至而至者
'huo'you'zhi'er'tai'guo'zhe 或有至而太过者
'huo'zhi'bu'dui'bing 或治不对病
'ji'bian'you'suo'jue 即便有所觉
'ji'bian'zhi 即便治
'ji'bu'neng'shi 饥不能食
'ji'bu'neng'shi'zhe 饥不能食者
'ji'dang'jiu'biao 急当救表
'ji'dang'jiu'li 急当救里
'ji'er'bu'yu'shi 饥而不欲食
'ji'er'xu'man'bu'neng'shi'ye 饥而虚满不能食也
'ji'han'fan'han'chu 极寒反汗出
'ji'jing'er'hai 剂颈而还
'ji'qiao'wu'suo'shi 技巧无所施
'ji'rou'jia'cuo 肌肉甲错
'ji'rou'jin'bo'xian'ying 肌肉紧薄鲜硬
'ji'ru'yu'fu 己入于府
'ji'shi'xing'yi'qi'zhi'fa 及时行疫气之法
'ji'shui'guan'qi'shen 汲水灌其身
'ji'tu'qie'li 既吐且利
'ji'wei'bing'ye 即为病也
'ji'wen'zhi 急温之
'ji'xia'zhi 急下之
'ji'xiong'zhi'ji 吉凶之机
'ji'xu 极虚
'ji'yu'jue'yin'ju'bing 即与厥阴俱病
'ji'yu'shao'yin'ju'bing 即与少阴俱病
'ji'yu'tai'yin'ju'bing 即与太阴俱病
'ji'zai'cou'li 及在腠理
'ji'zhe 悸者
'ji'zi'han'chu'er'e're'ye 即自汗出而恶热也
'ji'zi'huang'er'mei 鸡子黄二枚
'ji'zi'yi'mei'qu'huang 鸡子一枚去黄
'jia'bai'mi'yi'sheng 加白蜜一升
'jia'bai'zhu'si'liang 加白术四两
'jia'ban'qian 加半钱
'jia'ban'xia'ban'sheng 加半夏半升
