'an'qu 暗区
'xue'guan'ping'hua'ji'zhi'fang'liu 血管平滑肌脂肪瘤
'xue'guan'zou'xiang'zi'ran 血管走向自然
'xue'liu'qu'xian 血流曲线
'xue'liu'su'du'zeng'kuai 血流速度增快
'xue'xi'chong'xing'gan'bing 血吸虫性肝病
'ya'bie'bo'dong'xiao'shi 压瘪搏动消失
'yang'shui 羊水
'yang'shui'hou 羊水厚
'ye'shi'hun'he'xing'tuan'kuai 液实混合性团块
'ye'xing'an'qu 液性暗区
'ye'xing'an'qu'shen 液性暗区深
'yi'chang'xue'liu'xin'hao'ji'pin'pu 异常血流信号及频谱
'yi'chang'xue'liu'zheng 异常血流征
'yi'guan'kuo'zhang 胰管扩张
'yi'guan'wei'jian'kuo'zhang 胰管未见扩张
'yi'si 疑似
'yi'ti'hou 胰体厚
'yi'tou'hou 胰头厚
'yi'wei'hou 胰尾厚
'yi'xian'da'xiao'zheng'chang 胰腺大小正常
'yi'xian'zhou'wei 胰腺周围
'yi'zhou'hou'fu'cha 一周后复查
'you'bao'mo 有包膜
'you'ce'jian'jia'xian 右侧肩胛线
'you'ce'luan'chao 右侧卵巢
'you'di 有蒂
'you'fang 右房
'you'gan'guan 右肝管
'you'gan'jing'mai 右肝静脉
'you'gan'shi'xing'zhan'wei'xing'bing'bian 右肝实性占位性病变
'you'gan'xie'jing 右肝斜径
'you'hou'ye 右后叶
'you'jia'bao'mo 有假包膜
'you'jia'bao'mo'hui'sheng 有假包膜回声
'you'qi'pang 右脐旁
'you'qian'xie'jing 右前斜径
'you'qian'ye 右前叶
'you'qiu'ti'gan 有球体感
'you'shen'dong'mai 右肾动脉
'you'shen'ji'he'xi'tong'fen'li 右肾集合系统分离
'you'shen'jing'mai 右肾静脉
'you'shen'qie'mian 右肾切面
'you'shen'qie'mian'nei'jing 右肾切面内径
'you'shen'shen'jing'mai'zeng'kuan 右肾肾静脉增宽
'you'shen'shi'zhi'hui'sheng'zeng'qiang 右肾实质回声增强
'you'shen'wei'jian'yi'chang'hui'sheng 右肾未见异常回声
'you'shi'liu'chu'dao 右室流出道
'you'shi'zeng'da 右室增大
'you'shu'niao'guan'shang'duan'nei'jing 右输尿管上段内径
'you'xia'fu'qiang 右下腹腔
'you'xian'wei'bao'mo'nei'bu'hui'sheng'jun'yun 有纤维包膜内部回声均匀
'you'xiang'zuo'fen'liu'xin'hao 右向左分流信号
'you'xin'fang 右心房
'you'xin'shi 右心室
'you'ye'jia'zhuang'xian 右叶甲状腺
'you'zhi 右支
'yu'ni 淤泥
'yuan'chang'hui'sheng'qing'du'shuai'jian 远场回声轻度衰减
'yuan'chang'shuai'jian 远场衰减
'yuan'duan'jing'mai 远端静脉
'yuan'fa'dan'nang'ai 原发胆囊癌
'yuan'pang 圆胖
'yuan'shi'xin'guan'bo'dong 原始心管搏动
'yuan'xing 圆形
'yun'nang 孕囊
'yun'nang'hui'sheng 孕囊回声
'za'luan'hui'sheng 杂乱回声
'zao'yun 早孕
'zeng'da 增大
'zeng'hou 增厚
'zeng'qiang'zeng'hou 增强增厚
'zhen'chuang 枕窗
'zheng'chang 正常
'zheng'chang'da'xiao 正常大小
'zhi'chang'wo 直肠窝
'zhi'fang'ceng 脂肪层
'zhi'fang'gan 脂肪肝
'zhi'shen'jing'mai'wei'jian'yi'chang 肢深静脉未见异常
'zhi'ye'fen'ceng'zheng 脂液分层征
'zhong'bu 中部
'zhong'deng'hui'sheng 中等回声
'zhong'deng'hui'sheng'zhong'kuai 中等回声肿块
'zhong'du'fan'liu 中度返流
'zhong'du'fan'liu 重度返流
'zhong'du'xia'zhai 中度狭窄
'zhong'du'xia'zhai 重度狭窄
'zhong'du'zeng'da 中度增大
'zhong'du'zeng'da 重度增大
'zhong'fu'bu 中腹部
'zhong'gan'jing'mai 中肝静脉
'zhong'kuai 肿块
'zhong'kuai'bian'yuan'bu'gui'ze 肿块边缘不规则
'zhong'liu'ke'neng 肿瘤可能
'zhong'liu'ke'neng'da 肿瘤可能大
'zhong'xia'duan'wei'xian'shi 中下段未显示
'zhong'yun 中孕
'zhong'zhong'du'fan'liu 中重度返流
'zhong'zhong'du'xia'zhai 中重度狭窄
'zhou'suo 皱缩
'zhu'dong'mai 主动脉
'zhu'dong'mai'ban 主动脉瓣
'zhu'dong'mai'ban'fan'liu 主动脉瓣返流
'zhu'dong'mai'ban'shao'liang'fan'liu 主动脉瓣少量返流
'zhu'dong'mai'ban'xing'tai 主动脉瓣形态
'zhu'dong'mai'bu'kuan 主动脉不宽
'zhu'dong'mai'gong 主动脉弓
'zhu'dong'mai'zeng'kuan 主动脉增宽
'zhu'gan 主干
'zhu'lou 主漏
'zhu'yi'guan'wei'jian'kuo'zhang 主胰管未见扩张
'zhui'dong'mai 椎动脉
'zhui'ji'di'dong'mai 椎基底动脉
'zi'gong'bian'jie'gui'zheng 子宫边界规整
'zi'gong'fu'jian'wei'jian'yi'chang 子宫附件未见异常
'zi'gong'hou'wei 子宮后位
'zi'gong'ji'ceng 子宫肌层
'zi'gong'ji'liu 子宫肌瘤
'zi'gong'jing'nei'kou 子宫颈内口
'zi'gong'nei'mo 子宫内膜
'zi'gong'nei'mo'qing 子宫内膜清
'zi'gong'qian'bi 子宫前壁
'zi'gong'qian'wei 子宫前位
'zi'gong'qiang 子宫腔
'zi'gong'wai'xing'zheng'chang 子宫外形正常
'zi'gong'xian'ji'liu 子宫腺肌瘤
'zi'gong'zhi'chang'wo 子宫直肠窝
'zong'ge'zi'gong 纵隔子宫
'zou'xing 走行
'zou'xing'zheng'chang 走行正常
'zu'bei'dong'mai 足背动脉
'zu'bei'jing'mai 足背静脉
'zu'li'zhi'shu 阻力指数
'zui'da'yang'shui'an'qu 最大羊水暗区
'zuo'ce 左侧
'zuo'ce'luan'chao 左侧卵巢
'zuo'gan'guan 左肝管
'zuo'gan'jing'mai 左肝静脉
'zuo'jia'zhuang'xian 左甲状腺
'zuo'nei'ye 左内叶
'zuo'shang'fu 左上腹
'zuo'shen'dong'mai 左肾动脉
'zuo'shen'jing'mai 左肾静脉
'zuo'shen'qie'mian 左肾切面
'zuo'shen'qie'mian'nei'jing 左肾切面内径
'zuo'shi'hou'bi 左室后壁
'zuo'shi'suo'duan'lv 左室缩短率
'zuo'wai'ye 左外叶
'zuo'wei'bei'bu'tan'cha 坐位背部探查
'zuo'xia'fu 左下腹
'zuo'xia'fu'qiang 左下腹腔
'zuo'xiang'you'fen'liu 左向右分流
'zuo'xin'fang 左心房
'zuo'xin'gong'neng 左心功能
'zuo'xin'shi 左心室
'zuo'you'jing 左右径
'zuo'zhi 左支
