'an'huan'ke 安环科
'ri'rong'yuan'tang'liang 日溶原糖量
'ri'ru'cang'liang 日入仓量
'ri'yong'dian'liang 日用电量
'ri'zha 日榨
'ri'zha'liang 日榨量
'ri'zha'zhe'liang 日榨蔗量
'rong'tang 溶糖
'rong'tang'gong'duan 溶糖工段
'rong'tang'liang 溶糖量
'rong'tang'lv'dai 溶糖滤袋
'rong'yuan'tang 溶原糖
'rong'zhong 溶种
'ru'bo'liao 入薄料
'ru'cang'liang 入仓量
'ru'cang'shu 入仓数
'ru'cang'shu'liang 入仓数量
'ru'ku'bai'tang 入库白糖
'ru'ku'tang 入库糖
'ru'ku'yuan'tang 入库原糖
'ru'liao 入料
'ru'liao'fa 入料阀
'ru'lu'shui 入炉水
'ru'tang'jiang 入糖浆
'ru'zhi 入汁
'ru'zhi'fa 入汁阀
'ru'zhi'guan 入汁管
'san'ban'an'quan'sheng'chan 三班安全生产
'san'piao 三票
'san'piao'jian'shai 三票兼筛
'san'piao'tang 三票糖
'san'qi'xiang 散气箱
'san'xiao 三效
'san'xiao'qi 三效汽
'san'xiao'zhi'qi 三效汁汽
'san'xing'chi 三星齿
'san'xing'chi'lun 三星齿轮
'san'zha 散榨
'san'zha'dui'fang 散渣堆放
'san'zha'dui'fang'liang 散渣堆放量
'san'zhuang'zhe'zha'dui'fang'liang 散装蔗渣堆放量
'sao'tang'qi 扫糖器
'se'zhi 色值
'se'zhi'chao 色值超
'se'zhi'chao'biao 色值超标
'sha'jun'ji 杀菌剂
'sha'jun'mie'zao'ji 杀菌灭藻剂
'shai'lan 筛篮
'shai'tang 筛糖
'shai'tang'da'shui 筛糖打水
'shai'tang'shai'zhi 筛糖色值
'shai'tou 筛透
'shai'wang 筛网
'shang'fu 上浮
'shang'ge'zha'ji 上个榨季
'shang'qi'bao 上汽包
'shang'shui 上水
'shang'shui'guan 上水管
'shang'tang 上糖
'shang'tang'fa 上糖阀
'shang'tang'fa'ding'wei'qi 上糖阀定位器
'shang'tang'fa'lou 上糖阀漏
'shang'wang'mai'dian'liang 上网卖电量
'shang'ye'ban 上夜班
'shang'ye'zhe'tang'fen 商业蔗糖分
'shang'zha'ji 上榨季
'shao'da'dian'shui 少打点水
'shao'da'shui 少打水
'shao'shu'pi 烧树皮
'shao'zhe'zha 烧蔗渣
'she'bei'an'quan'lv 设备安全率
'she'bei'jie'ti 设备解体
'she'bei'sheng'chan'an'quan'lv 设备生产安全率
'shen'suo'dou 伸缩斗
'shen'tou'shui 渗透水
'shen'tou'shui'yu'zhe'bi 渗透水与蔗比
'sheng'chan'an'quan'lv 生产安全率
'sheng'chan'bao'biao 生产报表
'sheng'chan'hua'yan'xi'tong 生产化验系统
'sheng'chan'ji'hua 生产计划
'sheng'chan'shi'ji 生产实绩
'sheng'jiang'zhao 升降罩
'sheng'lu 升炉
'sheng'mei'qi 省煤器
'sheng'yu'zhe'zha'yu'zhe'bi 剩余蔗渣与蔗比
'shi'chun'du 视纯度
'shi'hui'fa 石灰法
'shi'hui'xiao'du 石灰消毒
'shi'hui'xiao'he'qi 石灰消和器
'shi'hui'yao 石灰窑
'shi'ji'zha'zhe 实际榨蔗
'shi'ji'zha'zhe'ri'shu 实际榨蔗日数
'shi'ji'zha'zhe'shi'jian 实际榨蔗时间
'shi'pin'jiao'dai 食品胶带
'shi'san'zhen'ding'jing'ban'jin'shou'tao 十三针丁腈半浸手套
'shi'zha 试榨
'shi'zha'ji'hua 试榨计划
'shi'zha'shi'yan 湿榨试验
'shi'zhen'kong 试真空
'shou'shu 收梳
'shou'zha 收榨
'shu'shui 疏水
'shu'zhe'dai 输蔗带
'shu'zhe'dai'gong 输蔗带工
'shu'zhe'ji 输蔗机
'shu'zhe'lian 输蔗链
'shu'zhi 树脂
'shu'zhi'dao 梳汁刀
'shu'zhi'guan 树脂罐
'shuang'luo'xuan 双螺旋
'shuang'shu 双梳
'shui'bu'rong'wu 水不溶物
'shui'leng'bi 水冷壁
'shui'leng'ping 水冷屏
'shui'pen'lin 水喷淋
'shui'xi 水洗
'shui'xi'fa 水洗阀
'si'jie'ji 撕解机
'si'lu'gong 司炉工
'si'xiao 四效
'si'xiao'qi 四效汽
'sui'zhe'zha 碎蔗渣
'sun'shi'zhe'tang 损失蔗糖
'tan'fa 碳法
'tan'liao'qi 探料器
'tang'cang'bao'cang 糖仓爆仓
'tang'chang 糖厂
'tang'dai 糖带
'tang'dai 糖袋
'tang'dai'shu'song'ji'gong 糖带输送机工
'tang'dou 糖斗
'tang'du 糖度
'tang'fen 糖粉
'tang'fen'hui'shou'beng 糖粉回收泵
'tang'fen'mi'ji 糖分蜜机
'tang'gao 糖膏
'tang'gao'cai'yang'dou 糖膏采样斗
'tang'gao'chun'du 糖膏纯度
'tang'gao'fen'pei'cao 糖膏分配槽
'tang'gao'jia're 糖膏加热
'tang'gao'jia're'qi 糖膏加热器
'tang'gao'jia're'wen'du 糖膏加热温度
'tang'gao'liu'bu'ji 糖膏流不及
'tang'hu 糖糊
'tang'hu'ji 糖糊机
'tang'hu'ji'gong 糖糊机工
'tang'hua'gai 糖化钙
'tang'hua'gai'bo'mei'du 糖化钙波美度
'tang'hua'gai'yu'zhe'bi 糖化钙与蔗比
'tang'jiang 糖浆
'tang'jiang'beng 糖浆泵
'tang'jiang'chui'du 糖浆锤度
'tang'jiang'nong 糖浆浓
'tang'jiang'qing'jing 糖浆清净
'tang'jiang'se'zhi 糖浆色值
'tang'jiang'shang'fu 糖浆上浮
'tang'jiang'tuo'se 糖浆脱色
'tang'jiang'tuo'se'lv 糖浆脱色率
'tang'jiang'xi 糖浆稀
'tang'jiang'xiang 糖浆箱
'tang'mi 糖蜜
'tang'mi'cheng 糖蜜秤
'tang'tou 糖头
'tang'tou'hui'rong 糖头回溶
'tang'tou'hui'rong'ji 糖头回溶机
'tang'tou'shai 糖头筛
'tang'tou'shai'xuan'ji 糖头筛选机
'tang'wen 糖温
'tang'xiu 糖修
'tang'xiu'gong 糖修工
'tang'zhi'qing'jing 糖汁清净
'ti'gao'bei'ya 提高背压
'ti'sheng'ji 提升机
'ti'tang 提糖
'ti'tang'bao'shu 提糖包数
'ti'tang'lv 提糖率
'ti'tang'lv'di 提糖率低
'tian'shui 甜水
'tian'shui'xiang 甜水箱
'tiao'jie'fa 调节阀
'tiao'kai'wai'dian 跳开外电
'tiao'zheng'guan'shi 调整罐时
'tiao'zheng'hao'guan'shi 调整好罐时
'ting'bang 停磅
'ting'hui'rong 停洄溶
'ting'lu 停炉
'ting'lu'ting'ji 停炉停机
'ting'rong 停溶
'ting'rong'xi'ji 停溶洗机
'ting'shai 停筛
'ting'yi'tai'ji 停一台机
'ting'yi'tai'lu 停一台炉
'ting'zha 停榨
'ting'zha'qi 停榨期
'ting'zha'xi'ji 停榨洗机
'ting'zheng'fa 停蒸发
'tong'shai'wang 铜筛网
'tong'zhou'wa 铜轴瓦
'tou'fen 投粉
'tui'bao 推包
'tui'bao'shu'song'ji 推包输送机
'tuo'gun 托辊
'tuo'se 脱色
'tuo'se'lv 脱色率
'wai'dian 外电
'wai'dian'bing'wang 外电并网
'wai'dian'tiao 外电跳
'wai'dian'tiao'zha 外电跳闸
'wai'dian'yi'chang 外电异常
'wai'pai'fei'shui 外排废水
'wai'pai'shui 外排水
'wai'pai'shui'liang 外排水量
'wai'zhe 外蔗
'wei'ce'ding 未测定
'wei'ce'ding'sun'shi 未测定损失
'wei'kai'sheng'qi 未开生汽
'wei'liao'qi 喂料器
'wei'zhe'tai 喂蔗台
'wo'shi'hui'rong'ji 卧式回溶机
'wu'liao'beng 物料泵
'wu'liao'ding'long 物料顶笼
'wu'liao'duo 物料多
'wu'liao'jin'zhang 物料紧张
'wu'liao'kong 物料空
'wu'liao'shao 物料少
'wu'shui'beng 污水泵
'wu'shui'chi 污水池
'wu'xiao 五效
'wu'xiao'zheng'fa 五效蒸发
'xi'guan 洗罐
'xi'guan'shui 洗罐水
'xi'ji 洗机
'xi'ji'ji'hua 洗机计划
'xi'lv 吸滤
'xi'lv'ji 吸滤机
'xi'lv'ji'gong 吸滤机工
'xi'lv'ji'ni'ceng 吸滤机泥层
'xi'mi 洗蜜
'xi'mi'chun'du 洗蜜纯度
'xi'tie'qi 吸铁器
'xi'you'zhan 稀油站
'xi'yuan'chun'du'cha 洗原纯度差
'xi'zhi'xiang 稀汁箱
'xia'ge'zha'ji 下个榨季
'xia'qi'bao 下汽包
'xia'song'gun 下送辊
'xia'ye'ban 下夜班
'xia'zha'ji 下榨季
'xian'wei'fen 纤维分
'xiang'wei 箱位
'xiang'wei'kong 箱位空
'xiang'wei'man 箱位满
'xiao'fang'beng 消防泵
'xiao'fang'shui 消防水
'xiao'tang'dou 小糖斗
'xiao'zhi'biao 小指标
'xiao'zhou 销轴
'xie'dian'ban 斜垫板
'xie'liao'fa 卸料阀
'xie'pan'beng 斜盘泵
'xie'pan'beng'ye 斜盘泵叶
'xie'pan'beng'zhou 斜盘泵轴
'xie'tang'fa 卸糖阀
'xie'zhe 卸蔗
'xin'jiu'xian 新旧线
'xin'xian'ya'zha 新线压榨
'xin'zha'ji 新榨季
'xu'neng'qi 蓄能器
'xu'ning'ji 絮凝剂
'xu'ning'ji'yu'zhe'bi 絮凝剂与蔗比
'xuan'feng'fen'li'qi 旋风分离器
'xuan'kong'fen'li'qi 旋空分离器
'xuan'zhuan'qi'suo 旋转气锁
'xun'huan'beng 循环泵
'xun'huan'chi 循环池
'xun'huan'chi'fu'yong'shui 循环池复用水
'xun'huan'shui 循环水
'xun'huan'shui'chi 循环水池
'xun'huan'shui'gou 循环水沟
'xun'huan'shui'hui'shui 循环水回水
'xun'huan'shui'hui'shui'guan 循环水回水管
'xun'huan'shui'shang'shui 循环水上水
'xun'huan'shui'shang'shui'guan 循环水上水管
'xun'huan'shui'wen 循环水温
'xun'huan'shui'wen'du 循环水温度
'xun'huan'shui'yi'liu 循环水溢流
'ya'liu'suan'fa 亚硫酸法
'ya'lv'ji 压滤机
'ya'lv'ji'gong 压滤机工
'ya'zha 压榨
'ya'zha'beng'gong 压榨泵工
'ya'zha'chou'chu'lv 压榨抽出率
'ya'zha'gong'duan 压榨工段
'ya'zha'ji 压榨机
'ya'zha'ji'gong 压榨机工
'ya'zha'qu'shai 压榨曲筛
'yan'qi 烟气
'yan'qi'ke'li'wu 烟气颗粒物
'yang'hua'gou 氧化沟
'yang'hua'tang 氧化塘
'yang'jing 养晶
'yao'bi 摇臂
'yao'fu'tang 药辅糖
'ye'feng'xiang 液封箱
'ye'feng'xiang'yi'liu 液封箱溢流
'ye'wei'ji 液位计
'yi'biao 仪表
'yi'biao'gong 仪表工
'yi'gao 乙膏
'yi'gao'chun'du 乙膏纯度
'yi'gao'yi'yuan'chun'du'cha 乙膏乙原纯度差
'yi'ji'beng 一级泵
'yi'ji'lv 一级率
'yi'ji'tang 一级糖
'yi'ji'tang'dai 一级糖袋
'yi'lv'zhi 一滤汁
'yi'lv'zhi'xiang 一滤汁箱
'yi'piao 一票
'yi'piao'tang 一票糖
'yi'tang 乙糖
'yi'tang'fen'mi'ji 乙糖分蜜机
'yi'tang'gao 乙糖膏
'yi'tang'gao'ti'tang'lv 乙糖膏提糖率
'yi'tang'gong 乙糖工
'yi'tang'hu 乙糖糊
'yi'tang'hu'gong 乙糖糊工
'yi'tang'ji 乙糖机
'yi'tang'ji'gong 乙糖机工
'yi'xi 乙洗
'yi'xiao 一效
'yi'xiao'guan 一效罐
'yi'xiao'han'tang 一效含糖
'yi'xiao'qi 一效汽
'yi'xiao'qi'fa 一效汽阀
'yi'xiao're'shui'beng 一效热水泵
'yi'xiao'shui 一效水
'yi'xiao'shui'beng 一效水泵
'yi'xiao'zheng'fa 一效蒸发
'yi'xiao'zheng'fa'guan 一效蒸发罐
'yi'xiao'zhi'qi 一效汁汽
'yi'yuan 乙原
'yi'yuan'chun'du 乙原纯度
'yi'yuan'mi 乙原蜜
'yi'zhong 乙种
'yi'zhong'gong 乙种工
'yin'feng'ji 引风机
'ying'ji'chi 应急池
'yong'dian'jin'zhang 用电紧张
'yong'dian'liang 用电量
'yong'qi'bo'dong 用汽波动
'yong'qi'bu'jun 用汽不均
'yong'qi'da 用汽大
'yong'qi'duo 用汽多
'yong'qi'jiao'da 用汽较大
'yong'qi'jin'zhang 用汽紧张
'yong'qi'shao 用汽少
'you'ji'bai'sha'tang 优级白砂糖
'you'ji'lv 优级率
'you'ji'pin 优级品
'you'ji'pin'lv 优级品率
'you'ji'tang 优级糖
'you'ji'tang'dai 优级糖袋
'you'ya'tou 油压头
'you'you'bai'sha'tang 优幼白砂糖
'you'you'tang 优幼糖
'yu'hui 预灰
'yu'tian'duan'cao 雨天断槽
'yu'tian'man'zha 雨天慢榨
'yu'zhe'bi 与蔗比
'yuan'mi 原蜜
'yuan'mi'chun'du 原蜜纯度
'yuan'tang 原糖
'yuan'tang'an'quan'xi'shu 原糖安全系数
'yuan'tang'bu 原糖部
'yuan'tang'cang 原糖仓
'yuan'tang'cang'bao'cang 原糖仓爆仓
'yuan'tang'chan'lv 原糖产率
'yuan'tang'cheng 原糖秤
'yuan'tang'dai 原糖带
'yuan'tang'hui'rong 原糖回溶
'yuan'tang'hui'rong'cang 原糖回溶仓
'yuan'tang'hui'rong'ji 原糖回溶机
'yuan'tang'xi'zhi'xiang 原糖稀汁箱
'yue'bao 月报
'yue'bao'biao 月报表
'yun'luo'qi 匀落器
'zai'xian'jian'ce 在线监测
'zai'zhi'pin 在制品
'zeng'chan'yuan 增产员
'zha'di 榨底
'zha'di'gong 榨底工
'zha'gun 榨辊
'zha'ji 榨季
'zha'ji 榨机
'zha'ji'gong 榨机工
'zha'ji'jing'guo'tian'shu 榨季经过天数
'zha'ji'lei'ji 榨季累计
'zha'ji'qi 榨季期
'zha'ji'tian'shu 榨季天数
'zha'ji'zhuan'su 榨机转速
'zha'liang 榨量
'zha'liang'bu'jun 榨量不均
'zha'liang'da 榨量大
'zha'liang'xiao 榨量小
'zha'mian 榨面
'zha'mian'luo'zhe 榨面落蔗
'zha'mian'luo'zhe'gong 榨面落蔗工
'zha'zhe 榨蔗
'zha'zhe'liang 榨蔗量
'zha'zhe'ri'shu 榨蔗日数
'zhan'jing 粘晶
'zhe'ceng 蔗层
'zhe'chang 蔗场
'zhe'chang'gong 蔗场工
'zhe'che 蔗车
'zhe'dai 蔗带
'zhe'dai'ban 蔗带板
'zhe'dai'ban'song 蔗带板松
'zhe'dai'di 蔗带底
'zhe'dai'di'bu 蔗带底部
'zhe'dao 蔗刀
'zhe'dao'ji 蔗刀机
'zhe'fan 蔗饭
'zhe'kang 蔗糠
'zhe'liao 蔗料
'zhe'liao'zu'ai 蔗料阻碍
'zhe'liao'zu'ai'shi'jian 蔗料阻碍时间
'zhe'liao'zu'ai'sun'shi 蔗料阻碍损失
'zhe'nong 蔗农
'zhe'nong'fu'chi'bu 蔗农扶持部
'zhe'piao 蔗票
'zhe'qu 蔗区
'zhe'shao'man'zha 蔗少慢榨
'zhe'tang 蔗糖
'zhe'tang'fen 蔗糖分
'zhe'tang'sun'shi 蔗糖损失
'zhe'zha 蔗渣
'zhe'zha'chan'liang 蔗渣产量
'zhe'zha'chang 蔗渣场
'zhe'zha'cheng 蔗渣秤
'zhe'zha'cheng'dai 蔗渣秤带
'zhe'zha'chu'sui 蔗渣除髓
'zhe'zha'chu'sui'ji 蔗渣除髓机
'zhe'zha'cun'fang 蔗渣存放
'zhe'zha'cun'fang'liang 蔗渣存放量
'zhe'zha'da'bao 蔗渣打包
'zhe'zha'da'bao'liang 蔗渣打包量
'zhe'zha'da'bao'yu'zhe'bi 蔗渣打包与蔗比
'zhe'zha'dai 蔗渣带
'zhe'zha'dui'fang 蔗渣堆放
'zhe'zha'dui'fang'liang 蔗渣堆放量
'zhe'zha'hui'shou 蔗渣回收
'zhe'zha'kang 蔗渣糠
'zhe'zha'ran'shao'liang 蔗渣燃烧量
'zhe'zha'shen'suo'dou 蔗渣伸缩斗
'zhe'zha'sheng'yu 蔗渣剩余
'zhe'zha'sheng'yu'liang 蔗渣剩余量
'zhe'zha'sheng'yu'lv 蔗渣剩余率
'zhe'zha'shu'song'dai 蔗渣输送带
'zhe'zha'shui'fen 蔗渣水分
'zhe'zha'sun'shi 蔗渣损失
'zhe'zha'tang'du 蔗渣糖度
'zhe'zha'tang'fen 蔗渣糖分
'zhe'zha'wai'mai 蔗渣外卖
'zhe'zha'wai'mai'liang 蔗渣外卖量
'zhe'zha'yu'zhe'bi 蔗渣与蔗比
'zhe'zha'zhuan'guang'du 蔗渣转光度
'zhe'zhi 蔗汁
'zhe'zhi'beng 蔗汁泵
'zhe'zhi'chui'du 蔗汁锤度
'zhe'zhi'qing'jing 蔗汁清净
'zhe'zhi'tang'du 蔗汁糖度
'zhen'cao 振槽
'zhen'cao'gong 振槽工
'zhen'dong'shu'song'ji 振动输送机
'zhen'kong'beng 真空泵
'zhen'kong'da'hou'guan 真空大喉管
'zhen'kong'du 真空度
'zhen'kong'lou 真空漏
'zhen'kong'xi'lv'ji 真空吸滤机
'zhen'shai 振筛
'zhen'shai'gan'zao'chuang 振筛干燥床
'zhen'shai'gan'zao'chuang'gong 振筛干燥床工
'zheng'fa 蒸发
'zheng'fa'cha'ding 蒸发查定
'zheng'fa'gong 蒸发工
'zheng'fa'guan 蒸发罐
'zheng'fa'guan'zhuan'guan 蒸发罐转罐
'zheng'fa'liang 蒸发量
'zheng'qi'yu'zhe'bi 蒸汽与蔗比
'zhi'ban'zhang 值班长
'zhi'leng'shi'tong'zhou'wa 直冷式铜轴瓦
'zhi'lian 制炼
'zhi'lian'ding'long 制炼顶笼
'zhi'lian'pao'tang 制炼跑糖
'zhi'lian'shui'gou 制炼水沟
'zhi'lian'zhu'li 制炼助理
'zhi'pen 汁盆
'zhi'qi 汁汽
'zhi'qi'fa 汁汽阀
'zhi'qi'shi 汁汽室
'zhi'ruan'shui 制软水
'zhi'shui 制水
'zhi'tang 制糖
'zhi'tong 汁桶
'zhong'he 中和
'zhong'he'chen'jiang 中和沉降
'zhong'he'chen'jiang'shi'yan 中和沉降试验
'zhong'he'gong 中和工
'zhong'he'zhi 中和汁
'zhong'he'zhi'beng 中和汁泵
'zhong'he'zhi'lin'suan'zhi 中和汁磷酸值
'zhong'he'zhi'xiang 中和汁箱
'zhong'jian'dai 中间带
'zhong'li'chun'du 重力纯度
'zhong'xing'wei'liao'qi 重型喂料器
'zhong'zhi'ji 种植机
'zhong'zi 种子
'zhong'zi'xiang 种子箱
'zhu'dong'lian'lun 主动链轮
'zhu'dong'lun 主动轮
'zhu'gan'dai 主干带
'zhu'jing 助晶
'zhu'jing'gong 助晶工
'zhu'jing'xiang 助晶箱
'zhu'lian 煮炼
'zhu'lian'hui'shou'lv 煮炼回收率
'zhu'lu 煮炉
'zhu'lv'ji 助滤剂
'zhu'qi'men 主汽门
'zhu'shui 煮水
'zhu'shui'guan 煮水罐
'zhu'tang 煮糖
'zhu'tang'bu'dui'liu 煮糖不对流
'zhu'tang'fen'mi 煮糖分蜜
'zhu'tang'gong 煮糖工
'zhu'tang'gong'duan 煮糖工段
'zhu'tang'guan 煮糖罐
'zhu'tang'guan'bu'dui'liu 煮糖罐不对流
'zhu'tang'jiao'ban 煮糖搅拌
'zhu'tang'lv'dai 煮糖滤袋
'zhu'tang'zhi'du 煮糖制度
'zhuan'er'xiao 转二效
'zhuan'er'xiao'qi 转二效汽
'zhuan'er'xiao'zhi'qi 转二效汁汽
'zhuan'fei'qi 转废气
'zhuan'fei'qi 转废汽
'zhuan'guan 转罐
'zhuan'guang 转光
'zhuan'guang'du 转光度
'zhuan'san'xiao 转三效
'zhuan'san'xiao'qi 转三效汽
'zhuan'san'xiao'zhi'qi 转三效汁汽
'zhuan'yi'xiao 转一效
'zhuan'yi'xiao'qi 转一效汽
'zhuan'yi'xiao'zhi'qi 转一效汁汽
'zhuan'zhi'qi 转汁汽
'zhuang'bao 装包
'zhuang'bao'cheng 装包秤
'zhuang'bao'dai 装包袋
'zhuang'bao'gong 装包工
'zhuang'bao'gong'duan 装包工段
'zhuang'bao'jian 装包间
'zhuang'bao're'he'ji 装包热合机
'zhuang'bao'sheng 装包绳
'zhuang'bao'tang'wen 装包糖温
'zhuang'bao'wen'du 装包温度
'zhuang'bao'xian 装包线
'zhuang'tang'liang 装糖量
'zi'gou'tang 自购糖
'zong'chan'tang'liang 总产糖量
'zong'fa'dian'liang 总发电量
'zong'hui'shou'lv 总回收率
'zong'tang'fen 总糖分
'zou'nei'quan 走内圈
'zou'wai'yuan 走外圆
'zu'gou'ji 阻垢剂
'zuo'zhong 做种
