'a'ba'la'qi'ya'ji'you'jun 阿巴拉契亚鸡油菌
'cu'ni'ge'gai'jun 粗拟革盖菌
'cu'pi'kuai'jun'shu 粗皮块菌属
'cu'pi'li'kou'bao 粗皮丽口包
'cu'pi'shi'rui 粗皮石蕊
'cu'pi'song'luo 粗皮松萝
'cu'pi'tu'ma'bo 粗皮秃马勃
'cu'pi'wen'zi'yi 粗皮文字衣
'cu'rou'zuo'ke 粗肉座壳
'cu'shan'jun 簇扇菌
'cu'shan'jun'shu 簇扇菌属
'cu'sheng'bing'bei'jun 簇生柄杯菌
'cu'sheng'chui'mu'gu 簇生垂幕菇
'cu'sheng'huang'ren'san 簇生黄韧伞
'cu'sheng'jia'zhi 簇生假芝
'cu'sheng'jin'qian'jun 簇生金钱菌
'cu'sheng'li'zhe'san 簇生离褶伞
'cu'sheng'san'bao'pan'jun 簇生散胞盘菌
'cu'shu'hua 粗树花
'cu'tan'jiao'jun 簇炭角菌
'cu'tui'bo'kong'jun 粗腿钹孔菌
'cu'wa'yi 粗瓦衣
'cu'wang'bing'niu'gan'jun 粗网柄牛肝菌
'cu'xing'dian'mei 粗星点梅
'cu'ying'chun'kong'jun 粗硬春孔菌
'cu'zhi'hou'tou'jun 粗枝猴头菌
'cu'zhi'ru'gu 粗质乳菇
'cu'zhuang'bei'san 粗壮杯伞
'cu'zhuang'fen'bao'niu'gan'jun 粗壮粉孢牛肝菌
'cu'zhuang'kou'mo 粗壮口蘑
'cu'zhuo'bao'shu 簇茁孢属
'cui'bing'fen'zhe'jun 脆柄粉褶菌
'cui'bing'gu 脆柄菇
'cui'bing'gu'shu 脆柄菇属
'cui'hong'gu 脆红菇
'cui'qiu'nang'mei 脆球囊霉
'cui'que'tiao'hei'fen'jun 翠雀条黑粉菌
'cui'ru'gu 脆乳菇
'cui'ruo'bai'gui'san 脆弱白鬼伞
'cui'san'shu 脆伞属
'cui'song'luo 脆松萝
'cui'wu'geng'nang'mei 脆无梗囊霉
'cui'xiang'ru'gu 脆香乳菇
'cui'xing'tan'tuan'jun 脆形炭团菌
'cui'zhi'ceng'fu'jun 脆质层腹菌
'cun'cao'hei'fen'jun 寸草黑粉菌
'cun'shi'rui 寸石蕊
'cun'xiao'qi'san 村小脐伞
'da'ba'chang'sheng'pan'jun 大巴长生盘菌
'da'ba'la'pan'jun 大巴蜡盘菌
'da'bai'jiao'kong'jun 大白胶孔菌
'da'bai'la'san 大白蜡伞
'da'bai'wu'gong'yi 大白蜈蚣衣
'da'bai'xin'tan'jiao'jun 大白心炭角菌
'da'bai'zhuang'gu 大白桩菇
'da'bao'ao'ta'shi'fu'jun 大孢奥他氏腹菌
'da'bao'ba'ke'mei 大孢巴科霉
'da'bao'bao'dui'hei'fen'jun 大孢孢堆黑粉菌
'da'bao'bei'san 大孢杯伞
'da'bao'bo'kong'jun 大孢薄孔菌
'da'bao'ceng'fu'jun 大孢层腹菌
'da'bao'cong'er 大孢丛耳
'da'bao'dai'yi 大孢袋衣
'da'bao'di'bei'jun 大孢地杯菌
'da'bao'di'hua'jun 大孢地花菌
'da'bao'dian'pan'jun 大孢垫盘菌
'da'bao'er'mei 大孢耳霉
'da'bao'feng'lie'ke 大孢缝裂壳
'da'bao'gan'pi'kong'jun 大孢干皮孔菌
'da'bao'gan'shi'chong'mei 大孢干尸虫霉
'da'bao'gao'fu'jun 大孢高腹菌
'da'bao'gen'sheng'hu'jun 大孢根生壶菌
'da'bao'gui'bi 大孢鬼笔
'da'bao'hei'dan'chao 大孢黑蛋巢
'da'bao'hei'fen'jun 大孢黑粉菌
'da'bao'jia'hua'er 大孢假花耳
'da'bao'kong'jun'shu 大孢孔菌属
'da'bao'li'zhe'san 大孢离褶伞
'da'bao'lin'he'yi 大孢鳞核衣
'da'bao'ma'bo 大孢马勃
'da'bao'mo'gu 大孢蘑菇
'da'bao'nian'hua'jun 大孢粘滑菌
'da'bao'pan'ge'jun 大孢盘革菌
'da'bao'pi'san'jun 大孢皮伞菌
'da'bao'ping'shu'pan'jun 大孢瓶束盘菌
'da'bao'qiu'shu'mei 大孢球梳霉
'da'bao'qiu'zhen'ye 大孢球针叶
'da'bao'san'ban'ke 大孢散斑壳
'da'bao'shuang'pan'yi 大孢霜盘衣
'da'bao'tan'jiao'jun 大孢炭角菌
'da'bao'tuan'san'hei'fen'jun 大孢团散黑粉菌
'da'bao'wa'fen'mei 大孢蛙粪霉
'da'bao'wu'gong'yi'shu 大孢蜈蚣衣属
'da'bao'xiao'bei'jun 大孢小杯菌
'da'bao'xiao'gou'pan'jun 大孢小沟盘菌
'da'bao'xiao'kou'pan'jun 大孢小口盘菌
'da'bao'xiu'ge'jun 大孢锈革菌
'da'bao'ya'ying'kong'jun 大孢亚硬孔菌
'da'bao'yi'ke 大孢衣科
'da'bao'yi'shu 大孢衣属
'da'bao'ying'pi'ma'bo 大孢硬皮马勃
'da'bao'zhang'gen'gu 大孢长根菇
'da'bao'zhao'mo'shuang'bao'xiu 大孢罩膜双孢锈
'da'bao'zhi'hu'jun 大孢枝瑚菌
'da'bao'zhou'hei'fen'jun 大孢轴黑粉菌
'da'bao'zhui'gai'san 大孢锥盖伞
'da'bao'zi'jiao'pan'jun 大孢紫胶盘菌
'da'bei'san 大杯伞
'da'bing'yuan'nang'jun 大柄原囊菌
'da'bo'te'lu'xiao'pi'san 大伯特路小皮伞
'da'ce'pan'jun 大侧盘菌
'da'chi'lie'jun 大齿裂菌
'da'chi'shi'rui 大翅石蕊
'da'ci'song'luo 大刺松萝
'da'cong'er 大丛耳
'da'da'qian'cao'bing'xiu'jun 鞑靼茜草柄锈菌
'da'dan'bao'shu 大单孢属
'da'dou'he'pan'jun 大豆核盘菌
'da'du'nian'hua'gu 大毒粘滑菇
'da'er'mei 大耳霉
'da'fei'gu 大肥菇
'da'fen'luo'pan'jun 大粪裸盘菌
'da'fen'zhe'xun 大粉褶蕈
'da'gai'zhui'gai'san 大盖锥盖伞
'da'ge'er 大革耳
'da'gu'bing'xiu'jun 大谷柄锈菌
'da'guo'gai'mo'gu 大果盖蘑菇
'da'guo'ji'zong'jun 大果鸡枞菌
'da'guo'qiu'nang'mei 大果球囊霉
'da'he'ma'la'se'jun 大和马拉色菌
'da'he'qing'mei 大核青霉
'da'hong'dou'ya'jun 大红豆芽菌
'da'hong'gu 大红菇
'da'hua'song'cao'tan'hei'fen'jun 大花嵩草炭黑粉菌
'da'huan'bing'gu'shu 大环柄菇属
'da'huan'xing'shuang'yuan'yi 大环形双缘衣
'da'huang'bing'xiu'jun 大黄柄锈菌
'da'huang'hei'fen'jun 大黄黑粉菌
'da'huang'huang'se'xiao'pi'san 大黄黄色小皮伞
'da'huang'rou'chi'jun 大黄肉齿菌
'da'huang'se'ci'ge'jun 大黄色刺革菌
'da'huang'tan'jiao'jun 大黄炭角菌
'da'huang'xiu'ge'jun 大黄锈革菌
'da'huo'cao'tiao'hei'fen'jun 大火草条黑粉菌
'da'ji'dan'bao'xiu'jun 大戟单胞锈菌
'da'ji'mao'jun 大集毛菌
'da'ji'shan'xiu 大戟栅锈
'da'ji'xiu'bao'xiu'jun 大戟锈孢锈菌
'da'jiao'xiu'bao'xiu'jun 大角锈孢锈菌
'da'jin'fen'bao'niu'gan'jun 大津粉孢牛肝菌
'da'jin'qian'jun'shu 大金钱菌属
'da'jing'dian'jun'shu 大茎点菌属
'da'kong'jia'zhi 大孔假芝
'da'kong'ling'zhi 大孔灵芝
'da'kong'rui'kong'jun 大孔锐孔菌
'da'kou'jing'hui'qiu 大口静灰球
'da'kou'mo'shu 大口蘑属
'da'kuai'jun 大块菌
'da'li'bing'xiu'jun 大理柄锈菌
'da'li'ce'pan'jun 大理侧盘菌
'da'li'hong'gu 大理红菇
'da'li'hua'ye'hei'fen'jun 大丽花叶黑粉菌
'da'li'pao'qi'yi 大理疱脐衣
'da'li'si'bu'na'pan'jun 大理斯布纳盘菌
'da'lin'he'yi 大鳞核衣
'da'long'shan'san'bao'pan'jun 大龙山散胞盘菌
'da'lu'di'juan 大陆地卷
'da'lu'hua'jun 大鹿花菌
'da'ma'bo 大馬勃
'da'ma'bo 大马勃
'da'ma'fen'pan'jun 大马粪盘菌
'da'mai'bing'xiu'jun 大麦柄锈菌
'da'mai'jian'hei'fen'jun 大麦坚黑粉菌
'da'mao'ding'jun 大毛钉菌
'da'mao'mu'er 大毛木耳
'da'ming'shan'er'tou'bao'pan'jun 大明山二头孢盘菌
'da'ming'shan'ge'mao'xiao'bei'jun 大明山隔毛小杯菌
'da'ming'shan'ni'zhao'mao'pan'jun 大明山拟爪毛盘菌
'da'nang'jie'mei 大囊接霉
'da'nang'kui'bao'jun 大囊盔孢菌
'da'nang'mao'mei 大囊毛霉
'da'nang'mo'gu 大囊蘑菇
'da'nang'song'guo'san 大囊松果伞
'da'ni'she'mai'jun 大拟射脉菌
'da'nian'hua'gu 大粘滑菇
'da'niu'gan'jun 大牛肝菌
'da'pan'ge'jun 大盘革菌
'da'pan'guo'song'luo 大盘果松萝
'da'pan'yi'shu 大盘衣属
'da'qing'shan'ling'zhi 大青山灵芝
'da'qing'zhe'san 大青褶伞
'da'qiu'gai'gu 大球盖菇
'da'qu'mu'jun 大趋木菌
'da'ren'ge'jun 大韧革菌
'da'rou'rou'chi'er 大肉肉齿耳
'da'san'ban'ke 大散斑壳
'da'shan'chu'chi'xiu'jun 大山褚痴锈菌
'da'shan'hu'zhi 大珊瑚枝
'da'shi'zhu'xiu 达氏柱锈
'da'si'mo'jun 大丝膜菌
'da'song'ta'niu'gan'jun 大松塔牛肝菌
'da'suan'he'pan'jun 大蒜核盘菌
'da'suo'yin'er 大锁银耳
'da'tai'yuan'niu'gan'jun 大台原牛肝菌
'da'tan'jiao'jun 大炭角菌
'da'tiao'bao'niu'gan'jun 大条孢牛肝菌
'da'tuan'nang'jun'ke 大团囊菌科
'da'tuan'nang'jun'shu 大团囊菌属
'da'tuo'chong'nang'jun'shu 大托虫囊菌属
'da'wang'bao'pan'jun 大网孢盘菌
'da'wei'shi'ban'ye 大维氏斑叶
'da'xi'yang'jiao'xiu'jun 大西洋胶锈菌
'da'xing'wu'geng'nang'mei 大型无梗囊霉
'da'xing'yi'shu 大星衣属
'da'ya'ling'bao 大哑铃孢
'da'yao'shan'jia'zhi 大瑶山假芝
'da'ye'mei 大叶梅
'da'ye'mei'shu 大叶梅属
'da'ye'shi'rui 大叶石蕊
'da'ying'hei'san 大硬黑伞
'da'you'mang'bao'dui'hei'fen'jun 大油芒孢堆黑粉菌
'da'yu'xu'hu'jun 大羽须瑚菌
'da'yuan'ci'pan'jun 大缘刺盘菌
'da'yuan'ling'zhi 大圆灵芝
'da'ze'bing'xiu 大泽柄锈
'da'zhu'hong'gu 大朱红菇
'da'zi'mo'gu 大紫蘑菇
'da'zu'pan'jun 大足盘菌
'da'zu'pan'jun'shu 大足盘菌属
'dai'bing'shi'rui 带饼石蕊
'dai'er'bing'zuo'yi 带耳柄座衣
'dai'er'fei'tan'jiao'jun 戴尔菲炭角菌
'dai'li'mo'gu 戴利蘑菇
'dai'mao'ju'hua'yi 玳瑁菊花衣
'dai'mei'yi 袋梅衣
'dai'nang'cao'bao'kong'jun 袋囊糙孢孔菌
'dai'shi'ban'ye 戴氏斑叶
'dai'shi'bao'dui'hei'fen'jun 戴氏孢堆黑粉菌
'dai'shi'lv'jiang'chong'cao 戴氏绿僵虫草
'dai'shi'mao'er'yi 戴氏猫耳衣
'dai'shi'shi'rui 戴氏石蕊
'dai'wei'si'hei'fen'jun 戴维斯黑粉菌
'dai'wei'si'pan'jun'shu 戴维斯盘菌属
'dai'xing'kui'bao'san 带形盔孢伞
'dai'xing'ma'bo 袋形马勃
'dai'yi 袋衣
'dai'yi'shu 袋衣属
'dai'zhuang'song'luo 带状松萝
'dan'bai'di'tu'yi 淡白地图衣
'dan'bai'kou'mo 淡白口蘑
'dan'bai'xue'er 淡白靴耳
'dan'bao'fen'zhe'xun 单孢粉褶蕈
'dan'bao'hong'gu 淡孢红菇
'dan'bao'jiao'mu'ke 担孢酵母科
'dan'bao'jiao'mu'mu 担孢酵母目
'dan'bao'jiao'mu'shu 担孢酵母属
'dan'bao'qiu'nang'mei 单孢球囊霉
'dan'bao'xiu'jun'shu 单胞锈菌属
'dan'bao'zhi'mei'shu 单孢枝霉属
'dan'cha'se'mo'gu 淡茶色蘑菇
'dan'cheng'se'shi'san 淡橙色湿伞
'dan'duan'bao'shu 单端孢属
'dan'fen'se'ding'gu 淡粉色钉菇
'dan'fu'gen'shi'er 淡肤根石耳
'dan'fu'huang'mei 淡腹黄梅
'dan'fu'pao'qi'yi 淡腹疱脐衣
'dan'fu'shi'er 淡腹石耳
'dan'ge'bao'shu 单格孢属
'dan'he'chang'mao'pan'jun 淡褐长毛盘菌
'dan'he'qiu'bao'pan'jun 淡褐球孢盘菌
'dan'he'shi'san 淡褐湿伞
'dan'he'xiao'bao'fa 淡褐小孢发
'dan'he'xiao'gu 淡褐小菇
'dan'he'yang'du'jun 淡褐羊肚菌
'dan'hong'ai'you'yi 淡红矮疣衣
'dan'hong'ce'er 淡红侧耳
'dan'hong'cong'zhi'hu 淡红丛枝瑚
'dan'hong'he'tiao'bao'niu'gan'jun 淡红褐条孢牛肝菌
'dan'hong'ni'kou'mo 淡红拟口蘑
'dan'hong'wu'he'yi 淡红污核衣
'dan'hong'yang'jiao'yi 淡红羊角衣
'dan'huang'cha'zi 蛋黄茶渍
'dan'huang'cheng'yi 蛋黄橙衣
'dan'huang'duo'kong'jun 淡黄多孔菌
'dan'huang'er'si'kong'jun 淡黄二丝孔菌
'dan'huang'gu 淡黄菇
'dan'huang'guang'bing'gu 淡黄光柄菇
'dan'huang'he'fen'zhe'jun 淡黄褐粉褶菌
'dan'huang'he'ru'niu'gan'jun 淡黄褐乳牛肝菌
'dan'huang'he'shuan'jun 淡黄褐栓菌
'dan'huang'hong'gu 淡黄红菇
'dan'huang'lie'kong'jun 淡黄裂孔菌
'dan'huang'ma'bo 淡黄马勃
'dan'huang'mao'ding'jun 淡黄毛钉菌
'dan'huang'mu'ceng'kong'jun 淡黄木层孔菌
'dan'huang'ru'gu 淡黄乳菇
'dan'huang'si'gai'san 蛋黄丝盖伞
'dan'huang'xu'fu'jun 淡黄须腹菌
'dan'huang'xue'er 淡黄靴耳
'dan'huang'yuan'ci'pan'jun 蛋黄缘刺盘菌
'dan'huang'zhi'hu'jun 淡黄枝瑚菌
'dan'hui'bing'xiu'jun 淡灰柄锈菌
'dan'hui'hei'pan'yi 淡灰黑盘衣
'dan'hui'jia'niu'gan 淡灰假牛肝
'dan'hui'xiao'niu'gan'jun 淡灰小牛肝菌
'dan'hui'ya'qi'gu 淡灰亚脐菇
'dan'hui'zi'si'mo'jun 淡灰紫丝膜菌
'dan'juan'mei 单卷霉
'dan'lan'lai'xie'yi 淡蓝癞屑衣
'dan'lan'wen'zi'yi 淡兰文字衣
'dan'li'cha'zi 淡栗茶渍
'dan'lv'ji'pi'yi 淡绿鸡皮衣
'dan'lv'nan'niu'gan'jun 淡绿南牛肝菌
'dan'lv'xiao'dian'ge'jun 淡绿小垫革菌
'dan'mao'jun'gang 单毛菌纲
'dan'mao'jun'ke 单毛菌科
'dan'mao'jun'mu 单毛菌目
'dan'mao'jun'shu 单毛菌属
'dan'mian'fu'yi 淡绵腹衣
'dan'nang'ke'shu 单囊壳属
'dan'pai'bao'shu 单排孢属
'dan'pan'gan'bao'yi 淡盘杆孢衣
'dan'pan'yi'shu 淡盘衣属
'dan'pao'lin'yi 淡泡鳞衣
'dan'pu'tao'jiu'se'fen'bao'niu'gan'jun 淡葡萄酒色粉孢牛肝菌
'dan'se'ci'ge'jun 单色刺革菌
'dan'se'he'kong'xiao'niu'gan'jun 淡色褐孔小牛肝菌
'dan'se'kui'bao'san 单色盔孢伞
'dan'se'la'san 单色蜡伞
'dan'se'ru'niu'gan'jun 淡色乳牛肝菌
'dan'se'xia'pi'hei'kong'jun 单色下皮黑孔菌
'dan'se'yun'zhi 单色云芝
'dan'sheng'nian'hua'gu 单生黏滑菇
'dan'sheng'wang'pan'yi 单生网盘衣
'dan'sheng'yan'si'san 单生沿丝伞
'dan'shi'guo'yi 淡石果衣
'dan'shi'nei'sheng'nang'mei 单氏内生囊霉
'dan'suo'bao'bing'xiu'jun 淡梭孢柄锈菌
'dan'wan'yi'shu 单碗衣属
'dan'xiu'pan'yi 淡锈盘衣
'dan'ya'jun'ke 单芽菌科
'dan'ya'jun'mu 单芽菌目
'dan'yan'hei'liu'yi 单眼黑瘤衣
'dan'yan'ye'jing'yi 单眼叶睛衣
'dan'yi'xiao'bao'fa 单一小孢发
'dan'zhu'chong'nang'jun'shu 单主虫囊菌属
'dan'zhu'hong'la'san 淡朱红蜡伞
'dan'zhu'ye'bing'xiu'jun 淡竹叶柄锈菌
'dan'zi'hong'gu 淡紫红菇
'dan'zi'huan'bing'gu 淡紫环柄菇
'dan'zi'jun'men 担子菌门
'dan'zi'li'tou'mei 淡紫梨头霉
'dan'zi'ru'gu 淡紫乳菇
'dan'zi'se'ding'gu 淡紫色钉菇
'dan'zi'shan'hu'jun 淡紫珊瑚菌
'dan'zi'si'gai'san 淡紫丝盖伞
'dan'zi'xiao'gu 淡紫小菇
'dan'zi'xue'er'dan'zi'xiu'er 淡紫靴耳淡紫锈耳
'dan'zi'zhi'hu'jun 淡紫枝瑚菌
'dan'zong'kou'guo'fen'yi 淡棕口果粉衣
'dan'zong'lin'he'yi 淡棕鳞核衣
'dan'zong'niu'gan'jun 淡棕牛肝菌
'dan'zong'si'gai'san 淡棕丝盖伞
'dang'gui'bing'xiu'jun 当归柄锈菌
'dang'gui'sheng'bing'xiu'jun 当归生柄锈菌
'dang'shen'qiao'xiu 党参鞘锈
'dao'bao'shu 刀孢属
'dao'cha'cai'bing'xiu'jun 稻槎菜柄锈菌
'dao'chi'xue'hua'yi 倒齿雪花衣
'dao'chui'bei'san 倒垂杯伞
'dao'chui'xiang'mo 倒垂香蘑
'dao'dou'dan'bao'xiu'jun 刀豆单胞锈菌
'dao'li'hei'fen'bing 稻粒黑粉病
'dao'li'xing'chang'ru'bao 倒梨形长蠕孢
'dao'luan'bao'hei'fu'jun 倒卵孢黑腹菌
'dao'luan'xing'chang'ru'bao 倒卵形长蠕孢
'dao'sheng'shuan'jun 岛生栓菌
'dao'sheng'yi'dan'zi'jun 岛生异担子菌
'dao'shi'ping'nang'mei 道氏平囊霉
'dao'wu'zhi'bao'hei'fen'jun 稻无掷孢黑粉菌
'dao'ye'hei'fen'jun 稻叶黑粉菌
'dao'yi 岛衣
'dao'yi'shu 岛衣属
'dao'yuan'pan'yi 岛圆盘衣
'dao'zhui'ji'zhu'mei 倒锥集珠霉
'de'ba'li'jiao'mu'shu 德巴利酵母属
'de'ban'dian'guang'pan'jun 德班碘光盘菌
'de'ke'er'shu 德克耳属
'de'la'wa'bing'xiu'jun 德拉瓦柄锈菌
'de'lei'dun'pu'tao'bao'pan'jun 德雷顿葡萄孢盘菌
'de'li'qiu'nang'mei 德里球囊霉
'de'qin'wai'dan'zi'jun 德钦外担子菌
'de'qing'yang'du'jun 德清羊肚菌
'de'shi'huo'mu'ti'kong'jun 德氏火木蹄孔菌
'de'shi'mo'pan'jun 徳氏膜盘菌
'de'shi'zhen'zhu'mao'bing'xiu'jun 德氏珍珠茅柄锈菌
'de'si'ma'ze'hei'pi'pan'jun 德斯马泽黑皮盘菌
'de'yong'bing'xiu'jun 德永柄锈菌
'de'zhou'jiao'yi 得州胶衣
'de'zhou'kuai'jun 德州块菌
'deng'cao'jun 灯草菌
'deng'e'chong'mei 灯蛾虫霉
'deng'e'shi'chong'mei 灯蛾噬虫霉
'deng'kou'lie'zui'ke 磴口裂嘴壳
'deng'long'cao'bing'xiu'jun 灯笼草柄锈菌
'deng'ru'guo'yi 等乳果衣
'deng'shi'fen'zhe'xun 邓氏粉褶蕈
'deng'shi'lan'bo'pan'jun 邓氏兰伯盘菌
'deng'shi'li'mao'pan'jun 邓氏粒毛盘菌
'deng'xin'cao'bang'hu'jun 灯芯草棒瑚菌
'deng'xin'cao'gen'zhong'hei'fen'jun 灯心草根肿黑粉菌
'di'ai'shan'xiu'jun 低矮栅锈菌
'di'ai'si'gai'san 低矮丝盖伞
'di'bao'bing'hui'bao 滴抱柄灰包
'di'bei'jun'shu 地杯菌属
'di'biao'duo'yang'bao'nang'mei 地表多样孢囊霉
'di'biao'qiu'nang'mei 地表球囊霉
'di'cha 地茶
'di'cha'shu 地茶属
'di'cha'zi 地茶渍
'di'chi'jun 地匙菌
'di'chi'jun'shu 地匙菌属
'di'chui'jun'ke 地锤菌科
'di'chui'jun'shu 地锤菌属
'di'dan'cao'ceng'xiu'jun 地胆草层锈菌
'di'dan'cao'qiao'xiu'jun 地胆草鞘锈菌
'di'di'bei'jun 地地杯菌
'di'dian'zhuang'gen'zhong'hei'fen'jun 滴点状根肿黑粉菌
'di'fu'dan'bao'xiu'jun 地肤单胞锈菌
'di'gai'mu'tou'zhu'mei 蒂盖姆头珠霉
'di'gu 地菇
'di'gu'shu 地菇属
'di'gu'zhuang'di'gu 地菇状地菇
'di'gu'zhuang'ma'di'ao'luo'jun 地菇状马蒂奥洛菌
'di'hong'gu'shu 地红菇属
'di'hua'jun'ke 地花菌科
'di'hua'jun'shu 地花菌属
'di'jiao'pan'jun 地胶盘菌
'di'jiao'pan'jun'shu 地胶盘菌属
'di'juan 地卷
'di'juan'jun'ke 地卷菌科
'di'juan'mu 地卷目
'di'juan'shu 地卷属
'di'kong'jun'shu 地孔菌属
'di'kong'jun'shu 滴孔菌属
'di'kong'zhuang'chang'mao'pan'jun 地孔状长毛盘菌
'di'lin'san 地鳞伞
'di'man'bing'xiu'jun 蒂曼柄锈菌
'di'pan'jun 地盘菌
'di'qian'jun'shu 地钱菌属
'di'qiu'nang'mei 地球囊霉
'di'she'jun'gang 地舌菌纲
'di'she'jun'ke 地舌菌科
'di'she'jun'mu 地舌菌目
'di'she'jun'shu 地舌菌属
'di'sheng'bing'gan'yi 地生饼干衣
'di'sheng'luo'san 地生裸伞
'di'sheng'ruan'kong'jun 地生软孔菌
'di'sheng'tong'zhi'yi 地生同枝衣
'di'sheng'tuo'gai'ma'bo 地生脱盖马勃
'di'shi'huang'sui'yi 棣氏黄髓衣
'di'shi'ma'an'jun 迪氏马鞍菌
'di'shi'shan'hu'zhi 迪氏珊瑚枝
'di'shi'xiao'cui'bing'gu 蒂氏小脆柄菇
'di'si'gai'san 地丝盖伞
'di'sun'qiao'xiu'jun 地笋鞘锈菌
'di'tan'ku'mai'cai'bing'xiu'jun 低摊苦荬菜柄锈菌
'di'tan'ku'mai'cai'bing'xiu'jun 低滩苦荬菜柄锈菌
'di'te'er'bing'xiu'jun 迪特尔柄锈菌
'di'te'er'jin'xiu'jun 迪特尔金锈菌
'di'te'er'mao'bao'xiu'jun 迪特尔帽孢锈菌
'di'tu'yi 地图衣
'di'tu'yi'ke 地图衣科
'di'tu'yi'mu 地图衣目
'di'tu'yi'shu 地图衣属
'di'tuo'luo 地陀螺
'di'wei'wei'ding 地位未定
'di'wen'tan'jiao'jun 帝汶炭角菌
'di'xing'ke 地星科
'di'xing'mu 地星目
'di'xing'shu 地星属
'di'ya'wang'yi 低亚网衣
'di'yang'mei'bing'xiu'jun 地杨梅柄锈菌
'di'yi'mi'le'shi'jun 地衣米勒氏菌
'di'you'bei'jun 地疣杯菌
'di'zhang'jun'shu 地杖菌属
'di'zhi'yi'shu 地指衣属
'di'zhong'hai'shi'lan'bao'kong'jun 地中海嗜蓝孢孔菌
'dian'ban'zhi'pan'jun 点斑痣盘菌
'dian'bing'huang'hong'gu 点柄黄红菇
'dian'bing'ru'gu 点柄乳菇
'dian'bing'ru'niu'gan'jun 点柄乳牛肝菌
'dian'bing'xiao'niu'gan'jun 点柄小牛肝菌
'dian'di'mei'luo'jiao'san 点地梅裸脚伞
'dian'dun'lian'yi 垫盾链衣
'dian'fen'fu'ge'jun'ke 淀粉伏革菌科
'dian'fen'fu'ge'jun'mu 淀粉伏革菌目
'dian'fen'kong'jun'shu 淀粉孔菌属
'dian'fen'nang'kong'jun'shu 淀粉囊孔菌属
'dian'fen'ren'ge'jun'shu 淀粉韧革菌属
'dian'fen'wei'si'gai'san 淀粉味丝盖伞
'dian'fen'xiu'san 滇粪锈伞
'dian'ge'jun'shu 点革菌属
'dian'guang'pan'jun'shu 碘光盘菌属
'dian'lan'ru'gu 靛蓝乳菇
'dian'nan'bing'xiu'jun 滇南柄锈菌
'dian'pan'jun'ke 点盘菌科
'dian'pan'jun'shu 垫盘菌属
'dian'pan'jun'shu 点盘菌属
'dian'qi'lin 垫脐鳞
'dian'qi'xiao'mei 垫脐小梅
'dian'tou'gen'mei 点头根霉
'dian'wei'bao'yi 垫微孢衣
'dian'wei'di'hong'gu 碘味地红菇
'dian'xi'liu'yi 点喜瘤衣
'dian'xiong'bing'xiu'jun 滇芎柄锈菌
'dian'xiu'jun 垫锈菌
'dian'xiu'jun'shu 垫锈菌属
'dian'xue'yi'shu 垫雪衣属
'dian'ye'tai'cao'bing'xiu'jun 点叶薹草柄锈菌
'dian'yi'shu 点衣属
'dian'you'kong'yi 点疣孔衣
'dian'zhuang'fen'ya'bing'gan'yi 点状粉芽饼干衣
'dian'zhuang'gu 滇桩菇
'dian'zhuang'hei'dan'chao'jun 垫状黑蛋巢菌
'dian'zhuang'jiao'yi 垫状胶衣
'dian'zhuang'niu'pi'ye 垫状牛皮叶
'dian'zhuang'yin'er 垫状银耳
'dian'zhuang'zhen'yi 垫状真衣
'dian'zuo'ke'shu 垫座壳属
'diao'luo'shan'shu'she 吊罗山树舌
'diao'pi'huan'bing'gu 貂皮环柄菇
'diao'shi'jun'ke 雕蚀菌科
'diao'wei'chui'she'jun 凋萎锤舌菌
'diao'wei'zhuang'ru'gu 凋萎状乳菇
'diao'wen'kou'mo 雕纹口蘑
'diao'wen'la'chang'yi 雕纹腊肠衣
'diao'wen'yi'shu 雕纹衣属
'die'sheng'bing'gan'yi 叠生饼干衣
'die'sheng'xing'mao'ge'jun'shu 叠生星毛革菌属
'die'sheng'ya'ying'kong'jun 叠生亚硬孔菌
'die'xing'leng'bing'pan'jun 碟形棱柄盘菌
'die'zhuang'di'bei'jun 碟状地杯菌
'die'zhuang'ma'an'jun 碟状马鞍菌
'die'zhuang'you'bei'jun 碟状疣杯菌
'ding'bei'yi 顶杯衣
'ding'bei'yi'shu 顶杯衣属
'ding'duo'mao'bao'shu 顶多毛孢属
'ding'gu'ke 钉菇科
'ding'gu'mu 钉菇目
'ding'gu'shu 钉菇属
'ding'hu'lin'san 鼎湖鳞伞
'ding'hu'xiao'gu 鼎湖小菇
'ding'hui'bao'shu 钉灰包属
'ding'lie'pan'jun 顶裂盘菌
'ding'lie'pan'jun'shu 顶裂盘菌属
'ding'mao'bei'bao'mei 顶毛被孢霉
'ding'nang'ke'shu 顶囊壳属
'ding'sheng'nei'nang'mei 顶生内囊霉
'ding'sheng'yi'xing'jun 顶生异形菌
'ding'shi'ceng'chu'pan'jun 丁氏层出盘菌
'ding'si'ge'bao'shu 顶丝格孢属
'ding'tao'mei'shu 顶套霉属
'ding'tou'niu'gan'jun 钉头牛肝菌
'ding'xiang'si'chi'jun 丁香丝齿菌
'ding'xiang'zhen'ceng'kong 丁香针层孔
'ding'xiang'zi'si'mo'jun 丁香紫丝膜菌
'ding'xing'ping'cha'zi 定形平茶渍
'ding'ye'feng'mao'ju'bing'xiu'jun 顶叶风毛菊柄锈菌
'ding'yu'ju'bing'xiu'jun 顶羽菊柄锈菌
'ding'zuo'mei'shu 疔座霉属
'dong'bei'bing'xiu'jun 东北柄锈菌
