'a'ji'mi'de'wo'gan 阿基米德蜗杆
'tu'lun'dao'zhi'ji'gou 凸轮倒置机构
'tu'lun'ji'gou 凸轮机构
'tu'lun'kuo'xian 凸轮廓线
'tu'lun'kuo'xian'hui'zhi 凸轮廓线绘制
'tu'lun'li'lun'kuo'xian 凸轮理论廓线
'tu'mian'ti 凸面体
'tu'pu 图谱
'tu'yuan'lian'zhou'qi 凸缘联轴器
'tui'cheng 推程
'tui'dao'cao 退刀槽
'tui'huo 退火
'tui'li'qiu'zhou'cheng 推力球轴承
'tui'li'zhou'cheng 推力轴承
'tuo'luo'yi 陀螺仪
'wai'chi'lun 外齿轮
'wai'li 外力
'wai'quan 外圈
'wai'xing'chi'cun 外形尺寸
'wan'bu 腕部
'wan'ju 弯矩
'wan'qu'ying'li 弯曲应力
'wan'xiang'lian'zhou'qi 万向联轴器
'wang'fu'shi'mi'feng 往复式密封
'wang'fu'yi'dong 往复移动
'wang'shang'she'ji 网上设计
'wei'dong'luo'xuan'ji 微动螺旋机
'wei'yi 位移
'wei'yi'qu'xian 位移曲线
'wei'zi 位姿
'wen'ding'yun'zhuan'jie'duan 稳定运转阶段
'wen'jian'she'ji 稳健设计
'wo'gan 蜗杆
'wo'gan'chuan'dong'ji'gou 蜗杆传动机构
'wo'gan'tou'shu 蜗杆头数
'wo'gan'wo'lun'ji'gou 蜗杆蜗轮机构
'wo'gan'xing'tu'lun'bu'jin'ji'gou 蜗杆形凸轮步进机构
'wo'gan'xuan'xiang 蜗杆旋向
'wo'gan'zhi'jing'xi'shu 蜗杆直径系数
'wo'lun 蜗轮
'wo'quan'xing'pan'huang 涡圈形盘簧
'wu'ji'bian'su'zhuang'zhi 无级变速装置
'wu'qiong'da 无穷大
'wu'sheng'lian 无声链
'xi'gan 系杆
'xi'ya'luo'wen 细牙螺纹
'xian'chang'ping'heng 现场平衡
'xiang'dui'jian'xi 相对间隙
'xiang'dui'su'du 相对速度
'xiang'dui'yun'dong 相对运动
'xiang'jiao'tan'huang 橡胶弹簧
'xiang'pi'ni 橡皮泥
'xiang'xian 象限
'xiang'xin'li 向心力
'xiang'xin'zhou'cheng 向心轴承
'xiao'chi'lun 小齿轮
'xiao'hao 消耗
'xiao'jing 小径
'xie'bo'chi'lun 谐波齿轮
'xie'bo'chuan'dong 谐波传动
'xie'bo'fa'sheng'qi 谐波发生器
'xie'chi'lun'de'dang'liang'zhi'chi'lun 斜齿轮的当量直齿轮
'xie'chi'yuan'zhu'chi'lun 斜齿圆柱齿轮
'xie'jian 斜键
'xie'lou 泄漏
'xin'zhou 心轴
'xing'cheng'su'bi'xi'shu 行程速比系数
'xing'cheng'su'du'bian'hua'xi'shu 行程速度变化系数
'xing'feng'bi'tu'lun'ji'gou 形封闭凸轮机构
'xing'xing'chi'lun'zhuang'zhi 行星齿轮装置
'xing'xing'lun 行星轮
'xing'xing'lun'bian'su'zhuang'zhi 行星轮变速装置
'xing'xing'lun'xi 行星轮系
'xiu'zheng'ti'xing'jia'su'du'yun'dong'gui'lv 修正梯形加速度运动规律
'xiu'zheng'zheng'xian'jia'su'du'yun'dong'gui'lv 修正正弦加速度运动规律
'xu'ni'xian'shi 虚拟现实
'xu'ni'xian'shi'ji'shu 虚拟现实技术
'xu'ni'xian'shi'she'ji 虚拟现实设计
'xu'yong'bu'ping'heng'liang 许用不平衡量
'xu'yong'ya'li'jiao 许用压力角
'xu'yong'ying'li 许用应力
'xu'yue'shu 虚约束
'xuan'bi'jie'gou 悬臂结构
'xuan'bi'liang 悬臂梁
'xuan'xing 选型
'xuan'zhuan'li'ju 旋转力矩
'xuan'zhuan'shi'mi'feng 旋转式密封
'xuan'zhuan'yun'dong 旋转运动
'xun'huan'gong'lv'liu 循环功率流
'ya'ke'bi'ju'zhen 雅可比矩阵
'ya'li 压力
'ya'li'jiao 压力角
'ya'li'zhong'xin 压力中心
'ya'qian'shi'lian'zhou'qi 牙嵌式联轴器
'ya'suo'ji 压缩机
'ya'ying'li 压应力
'yao'gan 摇杆
'ye'li'chuan'dong 液力传动
'ye'li'ou'he'qi 液力耦合器
'ye'ti'tan'huang 液体弹簧
'ye'ya'ji'gou 液压机构
'ye'ya'wu'ji'bian'su 液压无级变速
'yi'ban'hua'yun'dong'lian 一般化运动链
'yi'dong'cong'dong'jian 移动从动件
'yi'dong'fu 移动副
'yi'dong'guan'jie 移动关节
'yi'dong'tu'lun 移动凸轮
'ying'kui'gong 盈亏功
'ying'li'fu 应力幅
'ying'li'ji'zhong 应力集中
'ying'li'ji'zhong'xi'shu 应力集中系数
'ying'li'tu 应力图
'ying'li'ying'bian'tu 应力应变图
'you'bei 油杯
'you'gou'mi'feng 油沟密封
'you'hai'zu'li 有害阻力
'you'hu 油壶
'you'hua'she'ji 优化设计
'you'xiao'la'li 有效拉力
'you'xiao'yuan'zhou'li 有效圆周力
'you'yi'zu'li 有益阻力
'yu'jin'li 预紧力
'yu'xian'jia'su'du'yun'dong 余弦加速度运动
'yuan'dai 圆带
'yuan'dai'chuan'dong 圆带传动
'yuan'dong'ji 原动机
'yuan'dong'jian 原动件
'yuan'hu'chi'hou 圆弧齿厚
'yuan'hu'yuan'zhu'wo'gan 圆弧圆柱蜗杆
'yuan'jiao'ban'jing 圆角半径
'yuan'pan'mo'ca'li'he'qi 圆盘摩擦离合器
'yuan'pan'zhi'dong'qi 圆盘制动器
'yuan'shi'ji'gou 原始机构
'yuan'xing'chi'lun 圆形齿轮
'yuan'zhu'fu 圆柱副
'yuan'zhu'gun'zi 圆柱滚子
'yuan'zhu'gun'zi'zhou'cheng 圆柱滚子轴承
'yuan'zhu'luo'xuan'la'shen'tan'huang 圆柱螺旋拉伸弹簧
'yuan'zhu'luo'xuan'niu'zhuan'tan'huang 圆柱螺旋扭转弹簧
'yuan'zhu'luo'xuan'ya'suo'tan'huang 圆柱螺旋压缩弹簧
'yuan'zhu'shi'tu'lun'bu'jin'yun'dong'ji'gou 圆柱式凸轮步进运动机构
'yuan'zhu'tu'lun 圆柱凸轮
'yuan'zhu'wo'gan 圆柱蜗杆
'yuan'zhu'zuo'biao'cao'zuo'qi 圆柱坐标操作器
'yuan'zhui'chi'lun'ji'gou 圆锥齿轮机构
'yuan'zhui'gun'zi 圆锥滚子
'yuan'zhui'gun'zi'zhou'cheng 圆锥滚子轴承
'yuan'zhui'jiao 圆锥角
'yuan'zhui'luo'xuan'niu'zhuan'tan'huang 圆锥螺旋扭转弹簧
'yue'du 跃度
'yue'du'qu'xian 跃度曲线
'yue'shu 约束
'yue'shu'fan'li 约束反力
'yue'shu'tiao'jian 约束条件
'yun'dong'dao'zhi 运动倒置
'yun'dong'fang'an'she'ji 运动方案设计
'yun'dong'fen'xi 运动分析
'yun'dong'fu 运动副
'yun'dong'gou'jian 运动构件
'yun'dong'jian'tu 运动简图
'yun'dong'lian 运动链
'yun'dong'nian'du 运动粘度
'yun'dong'she'ji 运动设计
'yun'dong'shi'zhen 运动失真
'yun'dong'zhou'qi 运动周期
'yun'dong'zong'he 运动综合
'yun'zhuan'bu'jun'yun'xi'shu 运转不均匀系数
'zai'he 载荷
'zai'he'bian'xing'qu'xian 载荷变形曲线
'zai'he'bian'xing'tu 载荷变形图
'zhan'cheng'fa 展成法
'zhan'quan'mi'feng 毡圈密封
'zhang'jin'li 张紧力
'zhang'jin'lun 张紧轮
'zhen'dong 振动
'zhen'dong'li'ju 振动力矩
'zhen'dong'pin'lv 振动频率
'zhen'fu 振幅
'zheng'qie'ji'gou 正切机构
'zheng'xian'ji'gou 正弦机构
'zheng'xiang'yun'dong'xue 正向运动学
'zheng'ying'li 正应力
'zhi'bu'ji 织布机
'zhi'chi'yuan'zhu'chi'lun 直齿圆柱齿轮
'zhi'chi'zhui'chi'lun 直齿锥齿轮
'zhi'dong'qi 制动器
'zhi'jiao'san'jiao'xing 直角三角形
'zhi'jiao'zuo'biao'cao'zuo'qi 直角坐标操作器
'zhi'jing'ji 质径积
'zhi'jing'xi'lie 直径系列
'zhi'jing'xi'shu 直径系数
'zhi'kuo'huan'mian'wo'gan 直廓环面蜗杆
'zhi'liang 质量
'zhi'neng'hua'she'ji 智能化设计
'zhi'xian'yun'dong 直线运动
'zhi'xin 质心
'zhi'xing'gou'jian 执行构件
'zhi'zhou 直轴
'zhong'jian'ping'mian 中间平面
'zhong'jing 中径
'zhong'xin'ju 中心距
'zhong'xin'ju'bian'dong 中心距变动
'zhong'xin'lun 中心轮
'zhong'zhi'nie'he'dian 终止啮合点
'zhou'cheng'chen 轴承衬
'zhou'cheng'gai 轴承盖
'zhou'cheng'gao'du 轴承高度
'zhou'cheng'he'jin 轴承合金
'zhou'cheng'kuan'du 轴承宽度
'zhou'cheng'nei'jing 轴承内径
'zhou'cheng'shou'ming 轴承寿命
'zhou'cheng'tao'quan 轴承套圈
'zhou'cheng'wai'jing 轴承外径
'zhou'cheng'zuo 轴承座
'zhou'duan'dang'quan 轴端挡圈
'zhou'huan 轴环
'zhou'jian 轴肩
'zhou'jiao 轴角
'zhou'jie 周节
'zhou'jing 轴颈
'zhou'qi'xing'su'du'bo'dong 周期性速度波动
'zhou'wa 轴瓦
'zhou'xiang 轴向
'zhou'xiang'chi'kuo 轴向齿廓
'zhou'xiang'dang'liang'dong'zai'he 轴向当量动载荷
'zhou'xiang'dang'liang'jing'zai'he 轴向当量静载荷
'zhou'xiang'fen'li 轴向分力
'zhou'xiang'ji'ben'e'ding'dong'zai'he 轴向基本额定动载荷
'zhou'xiang'ji'ben'e'ding'jing'zai'he 轴向基本额定静载荷
'zhou'xiang'jie'chu'zhou'cheng 轴向接触轴承
'zhou'xiang'ping'mian 轴向平面
'zhou'xiang'you'xi 轴向游隙
'zhou'xiang'zai'he 轴向载荷
'zhou'xing'ji'gou 肘形机构
'zhou'zhuan'lun'xi 周转轮系
'zhu'dong'chi'lun 主动齿轮
'zhu'dong'dai'lun 主动带轮
'zhu'dong'jian 主动件
'zhuan'dong'dao'gan'ji'gou 转动导杆机构
'zhuan'dong'fu 转动副
'zhuan'dong'guan'jie 转动关节
'zhuan'su 转速
'zhuan'zhou 转轴
'zhuan'zi 转子
'zhuan'zi'ping'heng 转子平衡
'zhuang'pei'tiao'jian 装配条件
'zhui'chi'lun 锥齿轮
'zhui'chi'lun'de'dang'liang'zhi'chi'lun 锥齿轮的当量直齿轮
'zhui'ding 锥顶
'zhui'ju 锥距
'zhui'lun 锥轮
'zhui'mian'bao'luo'yuan'zhu'wo'gan 锥面包络圆柱蜗杆
'zhun'shuang'qu'mian'chi'lun 准双曲面齿轮
'zi'cheng'xu 子程序
'zi'dong'hua 自动化
'zi'ji'gou 子机构
'zi'suo 自锁
'zi'suo'tiao'jian 自锁条件
'zi'you'du 自由度
'zong'fan'li 总反力
'zong'xiang'chong'he'du 纵向重合度
'zong'xiao'lv 总效率
'zong'zhong'he'du 总重合度
'zong'zuo'biao 纵坐标
'zu'cheng'yuan'li 组成原理
'zu'he'an'zhuang 组合安装
'zu'he'chi'xing 组合齿形
'zu'he'ji'gou 组合机构
'zu'kang'li 阻抗力
'zui'da'ying'kui'gong 最大盈亏功
'zui'shao'chi'shu 最少齿数
'zui'xiao'xiang'jing 最小向径
