'ai'jing'zhi'bi'gu 爱敬治彼故
'qi'jian'da'li'zhe 岂见大力者
'qi'le'dou'fei'you 其乐都非有
'qi'li'bu'cheng'jiu 其理不成就
'qi'mie'qi'cong'yin 其灭岂从因
'qi'she'ci'jing'yi 弃舍此境已
'qi'sheng'ding'fei'you 其生定非有
'qi'si'wei'gong'yang 岂思为供养
'qi'wei'hai'yi'ren 岂唯害一人
'qi'xing'ze'wu'de 其行则无德
'qi'you'xing'fei'you 其有性非有
'qian'hou'he'zhe'shi 前后何者实
'qian'hou'ji'tong'shi 前后及同时
'qian'hou'yi'wei'wu 前后亦为无
'qian'sheng'bu'cheng'jiu 前生不成旧
'qian'yi'ying'fei'wu 前亦应非无
'qie'ruo'bu'sheng'wei 怯弱不生畏
'qiu'fu'zhe'sui'shi 求福者随时
'qu'jie'tuo'ying'xu 趣解脱应虚
'qu'shi'jian'gong'zi 取世间工资
'qu'yi'ying'wu'yong 去亦应无用
'quan'deng'yi'suo'gong 犬等亦所共
'quan'tong'wei'gong'zi 全同为工资
'ran'bi'fei'you'shi 然彼非有始
'ran'bi'jie'fei'you 然彼皆非有
'ran'neng'zhang'bi'ku 然能障蔽苦
'ran'ying'bao'hu'shen 然应保护身
'ren'ku'cong'shen'sheng 人苦从身生
'ren'shui'suo'wei'huo 任谁所谓活
'ren'shui'yu'ta'ren 任谁与他人
'ren'xin'su'xiao'shi 人心速消失
'ren'yu'wu'yi'qin 人于无益亲
'ri'lun'yu'di'shang 日轮于地上
'ri'ri'huai'shi'jian 日日坏世间
'ru'ai'ben'sheng'di 如爱本生地
'ru'ai'jiu'cun'huo 汝爱久存活
'ru'ben'zong'yi'er 汝本宗亦尔
'ru'bu'shuo'ke'he 汝不说可呵
'ru'de'duan'zheng'nv 汝得端正女
'ru'ding'ru'zhi'zhe 汝定如智者
'ru'dou'bu'ying'tan 汝都不应贪
'ru'dui'bu'shun'ren 如对不顺人
'ru'dui'hui'ma'zhe 如对毁骂者
'ru'dui'mie'li'che 如对蔑栗车
'ru'e'yi'zhi'bing 如恶医治病
'ru'feng'yu'da'zhong 如风于大种
'ru'fu'ai'qi'zi 如父爱其子
'ru'gui'zhi'sui'chen 如鬼执虽嗔
'ru'he'bi'bu'xin 如何彼不欣
'ru'he'bu'cheng'huo 如何不成火
'ru'he'bu'wei'si 汝何不畏死
'ru'he'bu'yi'se 如何不异色
'ru'he'cheng'guo'qu 如何成过去
'ru'he'dang'you'sheng 如何当有生
'ru'he'fei'chang'zhu 如何非常住
'ru'he'fei'ru'huan 如何非如幻
'ru'he'fei'xian'zai 如何非现在
'ru'he'huo'ming'nuan 如何火名暖
'ru'he'jie'tuo'zhe 如何解脱者
'ru'he'jing'zhong'bi 汝何敬重彼
'ru'he'ming'wei'lai 如何名未来
'ru'he'neng'dan'qu 如何能单取
'ru'he'neng'sheng'ta 如何能生他
'ru'he'neng'sheng'xin 如何能生欣
'ru'he'shi'ji'wei 如何是极微
'ru'he'shuo'duo'wu 如何说堕无
'ru'he'wei'wei'chang 如何谓为常
'ru'he'wei'wo'suo 如何为我所
'ru'he'yu'wu'hu 如何于无怙
'ru'he'yuan'bu'neng 汝何缘不能
'ru'he'zheng'nie'pan 如何证涅槃
'ru'he'zhong'ci'shen 汝何重此身
'ru'he'zhong'xi'zhe 汝何重稀者
'ru'huan'sheng'zhu'shi 如幻生诸识
'ru'ji'guan'huan'ren 如机关幻人
'ru'ji'ying'wei'si 汝极应畏死
'ru'jian'qu'shi'duan 汝见去时短
'ru'jian'zhong'you'zhong 如见种有终
'ru'ku'bu'li'ran 汝苦不离染
'ru'ku'ye'suo'gan 如苦业所感
'ru'lai'fei'zhong'tong 如癞非众同
'ru'lai'jue'ding'shuo 如来决定说
'ru'lai'san'suo'zong 如来三所宗
'ru'lai'shuo'ai'fa 如来说爱法
'ru'lai'shuo'bi'liang 如来说彼量
'ru'lai'shuo'xie'jian 如来说邪见
'ru'lai'suo'shuo'fa 如来所说法
'ru'lao'jing'he'wei 汝劳竟何为
'ru'li'yu'se'deng 如离于色等
'ru'li'yu'se'wai 如离于色外
'ru'mu'yu'bing'er 如母于病儿
'ru'nan'de'shan'qu 汝难得善趣
'ru'qi'dian'dao'nian 汝起颠倒念
'ru'qian'yi'ju'qian 如前已俱遣
'ru'quan'wu'yi'hu 汝全无依怙
'ru'ren'zhi'can'que 如人肢残缺
'ru'ru'chang'ai'zhong 如汝常爱重
'ru'ru'guo'qu'shi 如汝过去世
'ru'ru'shi'jian'jin 如如时渐进
'ru'ru'sui'ta'zhuan 如汝随他转
'ru'se'bian'yu'shi 如色遍于实
'ru'shan'qiao'liang'yi 如善巧良医
'ru'shang'gu'ying'he 如商贾应呵
'ru'shen'lao'wu'guo 汝身劳无果
'ru'shen'zhong'shen'gen 如身中身根
'ru'sheng'yu'zi'xing 如生于自性
'ru'shi'ai'yu'ren 如是爱欲人
'ru'shi'bian'yi'yin 如是变异因
'ru'shi'bian'zhi'sheng 如是遍智声
'ru'shi'dian'dao'fa 如是颠倒法
'ru'shi'dui'zan'zhe 如是对赞者
'ru'shi'hao'ru'lai 如实号如来
'ru'shi'ji'da'ku 如是极大苦
'ru'shi'ku'jian'zeng 如是苦渐增
'ru'shi'lie'gen'zhe 如是劣根者
'ru'shi'shen'shen'fa 如是甚深法
'ru'shi'sheng'fei'fa 如是生非法
'ru'shi'wu'yi'yi 如是无一义
'ru'shi'xian'jian'chen 如是现见嗔
'ru'shi'yin'bu'ju 如是因不具
'ru'shi'yu'zhi'ku 如是于治苦
'ru'shi'ze'san'you 如是则三有
'ru'shi'zhi'zhong'guo 如是知众过
'ru'shi'zhu'pu'sa 如是诸菩萨
'ru'si'deng'bu'deng 汝思等不等
'ru'si'zuo'ci'yi 汝思作此已
'ru'suo'zai'zhong'chu 如所宰众畜
'ru'tan'ai'fa'zhe 汝贪爱法者
'ru'tie'lian'rong'xiao 如铁链熔销
'ru'tong'neng'mie'men 如同能灭门
'ru'wang'fen'quan'li 如王分权利
'ru'wei'fen'bu'ku 如为分布苦
'ru'wei'shi'yu'fu 汝唯是愚夫
'ru'wei'wei'yi'ti 汝谓为一体
'ru'wo'yu'fei'wo 汝我余非我
'ru'wu'si'wei'zhe 汝无死畏者
'ru'wu'suo'zhi'pin 如无所治品
'ru'wu'wei'si'zhe 汝无畏死者
'ru'xian'jian'tan'bing 如现见痰病
'ru'xian'zai'zhu'fa 如现在诸法
'ru'xiang'suo'zuo'shi 如想所作事
'ru'yan'huo'chang'zhu 如言火常住
'ru'ye'huo'fen'xin 如野火焚薪
'ru'ying'qin'jing'nei 汝应勤净内
'ru'ying'you'zi'si 汝应忧自死
'ru'yong'de'suo'de 如佣得所得
'ru'yong'ren'xiu'fu 如佣人修福
'ru'you'he'sheng'xi 汝由何生喜
'ru'you'he'suo'jiao 汝有何所骄
'ru'you'yi'tu'chong 如有依土虫
'ru'you'yu'jin'qi 如有于金器
'ru'yu'bi'wu'wei 汝于彼无畏
'ru'yu'neng'de'ku 如欲能得苦
'ru'yu'san'you'zhong 汝于三有中
'ru'yu'zi'jia'shi 如于自家室
'ru'yuan'cheng'ya'deng 如缘成芽等
'ru'yue'zheng'zeng'zhang 如乐正增长
'ru'zheng'si'shi'qu 汝正死时去
'ru'zhong'wu'de'chen 汝重无德嗔
'ru'zi'wei'gui'zha 汝自为诡诈
'ruo'ben'wu'jin'you 若本无今有
'ruo'bian'zhu'fa'ti 若遍诸法体
'ruo'bu'shuo'er'xing 若不说而行
'ruo'bu'wang'er'guan 若不往而观
'ruo'chang'fang'ta'zhe 若常防他者
'ruo'chu'sheng'li'tan 若处生离贪
'ruo'chu'wu'fa'qi 若初无发起
'ruo'de'bian'wei'hai 若得便为害
'ruo'de'neng'shan'jie 若德能善解
'ruo'de'shi'zuo'zhe 若德是作者
'ruo'deng'ruo'zeng'sheng 若等若增胜
'ruo'er'shi'zhong'jian 若二时中间
'ruo'fa'ben'xing'you 若法本性有
'ruo'fa'geng'wu'yu 若法更无余
'ruo'fa'ti'shi'you 若法体实有
'ruo'fa'wu'chang'ju 若法无常俱
'ruo'fa'wu'chu'dui 若法无触对
'ruo'fa'wu'chu'fen 若法无初分
'ruo'fa'yin'yuan'sheng 若法因缘生
'ruo'fan'fu'yi'zhi 若凡夫亦知
'ruo'guan'cha'ji'wu 若观察即无
'ruo'guo'neng'huai'yin 若果能坏因
'ruo'hou'sheng'zhu'xing 若后生诸行
'ruo'huo'wei'wu'xin 若火微无薪
'ruo'jian'er'xiang'yi 若见二相异
'ruo'jian'ping'se'shi 若见瓶色时
'ruo'jian'se'yan'xing 若见色眼行
'ruo'jian'wei'lai'you 若见未来有
'ruo'jian'yuan'qi'li 若见缘起理
'ruo'jie'tuo'shi'you 若解脱时有
'ruo'jie'tuo'you'wo 若解脱有我
'ruo'ju'wu'hui'shen 若具污秽身
'ruo'le'fei'ku'xing 若乐非苦行
'ruo'li'suo'sheng'guo 若离所生果
'ruo'li'wei'sheng'shi 若立为生时
'ruo'ping'you'yin'sheng 若瓶由因生
'ruo'pu'sa'jing'zhong 若菩萨境中
'ruo'qian'sheng'gu'zhe 若前生故者
'ruo'ren'suo'sheng'le 若人所生乐
'ruo'ren'wu'qu'lao 若忍无劬劳
'ruo'ru'huo'bu'shan 若汝获不善
'ruo'ru'sheng'bu'wei 若汝生怖畏
'ruo'ru'shi'er'ti 若如是二体
'ruo'ru'tan'zi'pin 若汝贪自品
'ruo'se'yi'wei'deng 若色异味等
'ruo'shan'ruo'bu'shan 若善若不善
'ruo'shang'bu'le'shan 若尚不乐善
'ruo'shang'wu'sheng'shi 若尚无生时
'ruo'shao'you'suo'wei 若少有所为
'ruo'sheng'deng'zhu'xiang 若生等诸相
'ruo'sheng'shuo'er'xing 若声说而行
'ruo'shi'bu'sui'shun 若时不随顺
'ruo'shi'bu'zheng'zhu 若识不正住
'ruo'shi'da'quan'shi 若时大权势
'ruo'shi'li'qi'yin 若时离其因
'ruo'shi'sui'yi'guo 若时随一果
'ruo'shi'wei'qing'qiu 若时未请求
'ruo'shi'wei'zhi'ta 若时未知他
'ruo'shi'you'suo'zuo 若实有所作
'ruo'shui'bu'zhong'bi 若谁不重彼
'ruo'shui'jian'zhong'sheng 若谁见众生
'ruo'shui'lue'sheng'yi 若谁略生疑
'ruo'shui'neng'zhen'zhi 若谁能真知
'ruo'shui'yi'qie'shi 若谁一切时
'ruo'shui'you'ci'nian 若谁有此念
'ruo'shui'yu'sheng'si 若谁于生死
'ruo'shuo'yan'sheng'shi 若说言生时
'ruo'si'bian'jie'zhen 若四边皆真
'ruo'tan'ji'shi'le 若贪即是乐
'ruo'wei'fa'shi'you 若谓法实有
'ruo'wei'hou'sheng'zhe 若谓后生者
'ruo'wei'jin'xing'shi 若谓今行施
'ruo'wei'lai'wu'sheng 若未来无生
'ruo'wei'shuo'kong'guo 若唯说空过
'ruo'wei'wo'si'chang 若谓我思常
'ruo'wei'zheng'fang'hu 若谓正防护
'ruo'wo'yu'si'he 若我与思合
'ruo'wu'chang'ji'duan 若无常即断
'ruo'wu'si'you'wo 若无思有我
'ruo'wu'you'fen'bie 若无有分别
'ruo'xi'bi'ji'ju 若喜彼集聚
'ruo'xi'suo'zuo'e 若昔所作恶
'ruo'xu'you'zong'zhe 若许有宗者
'ruo'yi'bu'ming'ping 若一不名瓶
'ruo'yi'chang'wai'chi 若意常外驰
'ruo'yi'fen'shi'yin 若一分是因
'ruo'yi'qie'jing'wu 若一切净物
'ruo'yi'qie'sheng'zhong 若一切生中
'ruo'yi'qie'shi'you 若一切时有
'ruo'you'chu'you'hou 若有初有后
'ruo'you'cong'yuan'sheng 若有从缘生
'ruo'you'jian'bao'ta 若有建宝塔
'ruo'you'jian'se'gu 若由见色故
'ruo'you'ren'he'fa 若有任何法
'ruo'you'san'shi'zhu 若有三世主
'ruo'you'shi'jian'shuo 若由世间说
'ruo'you'su'sheng'nian 若有宿生念
'ruo'you'ta'shi'zuo 若由他使作
'ruo'you'wei'li'ta 若有为利他
'ruo'you'yu'jie'tuo 若有余解脱
'ruo'yu'bu'cheng'nuan 若余不成暖
'ruo'yu'chen'chu'ren 若于嗔处忍
'ruo'yu'fo'suo'shuo 若于佛所说
'ruo'yu'jiu'deng'shi 若于酒等事
'ruo'yu'ren'zuo'zhang 若于忍作障
'ruo'yu'ta'ku'po 若于他苦迫
'ruo'yu'ta'tong'xi 若与他同系
'ruo'yu'yi'zhi'zhe 若余亦知者
'ruo'zhen'li'you'wu 若真离有无
'ruo'zhi'er'qu'sheng 若至耳取声
'ruo'zhi'fo'suo'shuo 若知佛所说
'ruo'zhi'guo'xian'you 若执果先有
'ruo'zhi'wei'shi'you 若执为实有
'ruo'zhi'yi'sheng'wei 若至已生位
'ruo'zhu'da'zhong'zhong 若诸大种中
'ruo'zhu'fa'jie'kong 若诸法皆空
'ruo'zi'zuo'zui'e 若自作罪恶
'ruo'zuo'yi'hou'qi 若作已后弃
'ruo'zuo'zui'zhong'sheng 若作罪众生
'se'deng'he'he'shi 色等和合时
'se'deng'xiang'wu'cha 色等相无差
'se'shi'de'da'ming 色实得大名
'se'shi'ping'yi'fen 色是瓶一分
'se'ti'ye'ying'ran 色体也应然
'se'yi'wei'ta'yong 色亦为他用
'se'ying'ming'bu'jian 色应名不见
'se'yuan'jian'ying'chi 色远见应迟
'se'zhong'er'ju'wu 色中二俱无
'shan'shi'xin'bu'qi 善士心不起
'shang'fei'bian'zhi'jing 尚非遍智境
'shang'wei'suo'ying'he 尚为所应呵
'shao'hua'shi'luo'hou 韶华适落后
'shao'you'bu'zhi'zheng 少有不治症
'she'bi'cheng'ji'xiang 舍彼成吉祥
'she'cai'fei'gong'yang 舍财非供养
'she'ru'shi'ming'zhe 设如是命者
'she'shou'zhe'jie'jing 舍受者洁净
'she'wei'de'nie'pan 设未得涅槃
'she'you'suo'zhi'wo 设有所执我
'she'zhu'you'nie'pan 舍诸有涅槃
'shen'guan'zhu'fa'shi 审观诸法时
'shen'nei'bu'neng'jing 身内不能净
'shen'shi'yi'sheng'yi 深事以生疑
'shen'shi'zhong'ku'qi 身是众苦器
'shen'sui'jiu'xiang'shou 身虽久享受
'shen'xin'tong'hui'mie 身心同毁灭
'shen'yi'ying'chang'zhu 身亦应常住
'sheng'chu'you'he'qu 声初由何取
'sheng'fei'dan'du'zhi 声非单独至
'sheng'guo'da'di'shang 胜过大地上
'sheng'ji'wu'suo'lai 生既无所来
'sheng'jian'bi'wu'he 圣见彼无合
'sheng'mie'jie'shi'ku 生灭皆是苦
'sheng'qian'ding'bu'cheng 生前定不成
'sheng'sheng'you'bian'yi 生生有变易
'sheng'shi'ti'wei'yuan 生时体未圆
'sheng'shi'wei'ban'sheng 生时谓半生
'sheng'si'shun'liu'fa 生死顺流法
'sheng'yi'fu'ying'sheng 生已复应生
'sheng'yi'he'cheng'you 生义何成有
'sheng'yi'ji'wei'wu 生义既为无
'sheng'zhe'guan'san'you 圣者观三有
'sheng'zhe'qu'nie'pan 胜者趣涅槃
'sheng'zhe'wei'yi'ku 胜者为意苦
'sheng'zhu'mie'san'xiang 生住灭三相
'shi'bi'yu'chi'gu 时彼愚痴故
'shi'fa'wu'suo'xian 是法无所现
'shi'gong'xu'fei'chang 世共许非常
'shi'gu'bu'neng'shuo 是故不能说
'shi'gu'chu'ku'wai 是故除苦外
'shi'gu'ji'wo'chang 是故计我常
'shi'gu'jiao'yu'fa 是故较于法
'shi'gu'mou'ni'shuo 是故牟尼说
'shi'gu'neng'sheng'yin 是故能生因
'shi'gu'sha'di'li 是故刹帝利
'shi'gu'shen'zuo'ye 是故身作业
'shi'gu'sheng'bu'wei 是故生怖畏
'shi'gu'sheng'yu'ping 是故生与瓶
'shi'gu'wo'fei'you 是故我非有
'shi'gu'yi'bu'ying 是故亦不应
'shi'gu'ying'cheng'shuo 是故应称说
'shi'gu'ying'ke'jian 是故应可见
'shi'gu'yu'pu'sa 是故于菩萨
'shi'gu'zhu'ji'wei 是故诸极微
'shi'gu'zhu'ye'zhong 是故诸业中
'shi'jian'bian'liu'zhuan 世间遍流转
'shi'jian'jie'sheng'wei 世间皆生畏
'shi'jian'li'you'qiang 世间力尤强
'shi'jian'shuo'ming'zhong 世间说名种
'shi'jian'wei'tong'da 世间未通达
'shi'jian'xiang'xia'xing 世间向下行
'shi'jian'yi'guo'wang 世间依国王
'shi'jian'yi'xian'jian 世间亦现见
'shi'jian'zhu'gui'lv 世间诸规律
'shi'jian'zhu'suo'you 世间诸所有
'shi'jian'zi'bu'liao 世间自不了
'shi'luo'sheng'shan'qu 尸罗生善趣
'shi'neng'zuo'nan'zuo 是能作难作
'shi'ren'dan'zi'zong 世人耽自宗
'shi'ren'jie'qu'le 世人皆趋乐
'shi'ruo'you'yu'zhu 时若有余住
'shi'shen'gen'suo'qu 是身根所取
'shi'sheng'heng'you'mei 施声恒优美
'shi'sheng'neng'xian'shi 施声能显示
'shi'shi'dou'fei'you 是事都非有
'shi'shi'su'xu'yan 是世俗虚言
'shi'shi'yi'shu'gu 是世异熟故
'shi'shu'yu'shao'fen 实属于少分
'shi'shuo'bi'wei'yu 世说彼为愚
'shi'shuo'wei'dian'kuang 世说为颠狂
'shi'suo'wei'ceng'jian 世所未曾见
'shi'wei'zhu'you'zhong 识为诸有种
'shi'xiang'yun'ying'zhi 是想蕴应知
'shi'xing'yi'fei'you 实性亦非有
'shi'yi'yi'yi'sheng 是亦异已生
'shi'ze'bu'ke'shuo 是则不可说
'shi'ze'wu'tan'you 是则无贪有
'shi'ze'yin'fei'chang 是则因非常
'shi'zhang'yu'li'ta 师长欲利他
'shi'zhi'zhe'shui'qi 世智者谁起
'shi'zhi'zhe'suo'he 是智者所呵
'shi'zhong'ye'wu'jian 识中也无见
'shi'zhong'zhong'yu'ren 是众中愚人
'shou'tuo'you'zuo'ye 首陀由作业
'shou'wu'you'shan'zai 受侮尤善哉
'shu'wo'fei'ta'you 属我非他有
'shui'bu'shen'bei'min 谁不深悲愍
'shui'bu'yan'san'you 谁不厌三有
'shui'bu'yong'jiao'chi 谁不用教敕
'shui'dai'yu'zhi'fa 谁待于治罚
'shui'kong'shi'jin'gang 谁恐食金刚
'shui'mie'jin'wu'hui 谁灭尽侮毁
'shui'neng'bu'sheng'wei 谁能不生畏
'shui'neng'sheng'huan'xi 谁能生欢喜
'shui'qiu'de'jiao'chi 谁求得教敕
'shui'shuo'zi'mai'shen 谁说自卖身
'shui'yu'shui'yue'yi 谁于谁悦意
'shui'yue'hui'xing'xiang 水月彗星响
'shuo'bi'wei'zhen'xing 说彼为真性
'shuo'bu'yue'yi'sheng 说不悦意声
'shuo'ci'zui'xia'deng 说此最下等
'shuo'cui'ta'lun'fa 说摧他论法
'shuo'fu'sheng'yu'bi 说福胜于彼
'shuo'he'wei'sheng'shi 说何为生时
'shuo'po'yin'yi'de 说破因易得
'shuo'wei'wen'fa'qi 说为闻法器
'shuo'yi'fa'jian'zhe 说一法见者
'shuo'yi'you'yi'wu 说一有一无
'shuo'you'ding'xing'ren 说有定性人
'shuo'you'ji'you'yin 说有及有因
'shuo'zhe'jie'nan'de 说者皆难得
'shuo'zuo'ye'wei'le 说作业为乐
'si'fa'ji'yu'you 死法及余有
'si'lai'shang'hai'ru 死来伤害汝
'si'ru'yi'liang'xiao 思如意量小
'si'shi'zhong'suo'gong 死是众所共
'si'wei'nei'ti'xing 思维内体性
'si'wei'yi'fei'you 思维亦非有
'si'wo'ding'dang'si 思我定当死
'si'xing'jie'rong'you 四性皆容有
'si'yi'ying'fei'si 思亦应非思
'si'zhu'wei'shi'zhe 思主为施者
'si'zhu'yi'sheng'wei 死主亦生畏
'sui'bi'hang'ming'fa 随彼行名法
'sui'bi'he'suo'xi 随彼何所喜
'sui'chu'jie'fei'wu 随处皆非无
'sui'ci'ying'pei'shu 随次应配属
'sui'er'wu'zhi'ren 虽尔无智人
'sui'jian'shen'ru'yuan 虽见身如怨
'sui'jing'jiu'shou'yong 虽经久受用
'sui'qian'suo'shuo'yi 随前所说义
'sui'ru'shi'er'ru 虽如是而汝
'sui'suo'fu'ze'ren 随所负责任
'sui'ta'xing'ben'xing 随他行本性
'sui'ta'zhuan'wu'wei 随他转无畏
'sui'wei'fa'fei'wu 遂谓法非无
'sui'yong'he'fang'bian 随用何方便
'sui'yu'fu'xiang'he 虽与妇相合
'sui'zhu'ci'shi'jian 虽住此世间
'sun'hai'yu'ta'ren 损害于他人
'suo'ban'yi'ding'mie 所办一定灭
'suo'wen'bu'yue'yi 所闻不悦意
'suo'xiang'yi'neng'xiang 所相异能相
'suo'yi'wu'chang'xing 所以无常性
'ta'yin'po'zi'zong 他因破自宗
'tan'ai'bu'jiu'zhu 贪爱不久住
'tan'bi'ru'sao'lai 贪蔽如搔癞
'tan'fei'qin'si'qin 贪非亲似亲
'tan'ku'ru'lai'zhe 贪苦如癞者
'tan'ye'neng'she'ji 贪业能摄集
'tan'you'cong'yin'sheng 贪有从因生
'tan'zhe'yu'nv'shi 贪者遇女时
'tan'zhu'yi'ru'shi 贪著亦如是
'tang'ruo'yi'shi'huai 倘若已失坏
'te'bie'jue'tong'ai 特别觉痛爱
'te'dui'qiang'li'zhe 特对强力者
'te'yi'min'e'zhe 特意愍恶者
'ti'ying'bu'cheng'guo 体应不成果
'ti'yuan'shuo'ming'you 体圆说名有
'tiao'fu'shi'fa'xin 调伏使发心
'tong'shi'jian'wu'yong 同时见无用
'tong'shi'sheng'fei'you 同时生非有
'tong'shi'you'bu'cheng 同时有不成
'wang'fen'bie'wei'wo 妄分别为我
'wang'ji'you'xian'zai 妄计有现在
'wang'li'zhu'fa'yi 妄立诸法义
'wang'shi'hu'shi'zhe 王是护世者
'wang'xi'zhu'shan'wang 往昔诸善王
'wang'zhi'you'ta'qi 妄执由他起
'wei'bi'he'zi'hai 为彼何自害
'wei'ceng'jian'you'shuo 未曾见有说
'wei'ceng'xiu'ni'liu 未曾修逆流
'wei'cong'ta'yuan'sheng 唯从他缘生
'wei'cong'zi'xing'sheng 唯从自性生
'wei'duo'wu'yi'yin 为多无义因
'wei'fa'shi'fei'wu 谓法实非无
'wei'fei'zuo'chang'zhu 谓非作常住
'wei'fu'wei'le'yin 唯妇为乐因
'wei'guo'er'he'he 为果而和合
'wei'juan'zhu'wang'zhi 唯蠲诸妄执
'wei'kong'deng'wei'chang 谓空等为常
'wei'kong'yu'bie'you 谓空喻别有
'wei'lai'fa'ruo'you 未来法若有
'wei'lai'guo'qu'you 未来过去有
'wei'lai'guo'xian'you 未来过现有
'wei'lai'ruo'wu'sheng 未来若无生
'wei'lai'ruo'yi'xie 未来若已谢
'wei'lai'ruo'you'sheng 未来若有生
'wei'lai'shi'jian'chang 未来时间长
'wei'lai'wu'you'ji 未来无有际
'wei'lai'wu'you'zhong 未来无有终
'wei'lai'yi'fei'you 未来亦非有
'wei'le'tian'qu'zhe 为乐天趣者
'wei'li'ping'you'tong 谓离瓶有同
'wei'qiu'jie'tuo'zhe 为求解脱者
'wei'ruo'you'dong'fang 微若有东方
'wei'shang'shuo'ji'mie 为上说寂灭
'wei'sheng'he'neng'sheng 未生何能生
'wei'sheng'wu'bie'gu 未生无别故
'wei'shi'ze'xiao'shi 违时则消失
'wei'shi'zi'ji'chou 唯使自己丑
'wei'shu'yu'wang'zhi 唯属于妄执
'wei'si'gu'er'sheng 为死故而生
'wei'song'zhu'ming'gu 为诵诸明故
'wei'ta'sheng'ben'xing 谓他胜本性
'wei'tong'yu'mao'yi 唯同于贸易
'wei'wo'dei'nie'pan 谓我得涅槃
'wei'wo'wei'zhang'fu 谓我为丈夫
'wei'xia'gen'shuo'shi 为下根说施
'wei'xin'cha'na'qing 唯心刹那顷
'wei'yi'lei'shi'ping 唯一类是瓶
'wei'yi'wei'zhu'yao 唯意为主要
'wei'ying'guan'zi'xiang 唯应观自相
'wei'ying'shuo'bi'yu 唯应说彼语
'wei'you'yu'chi'gu 唯由愚痴故
'wei'you'yu'ying'cheng 唯有喻应成
'wei'zhi'yi'sheng'wei 未至已生位
'wei'zhong'gen'shuo'jie 为中根说戒
'wei'zi'ku'qi'shen 为自苦其身
'wei'zuo'shuo'wei'wu 未作说为无
'wen'shuo'shen'wu'de 闻说身无德
'wen'zhe'suo'wen'jiao 闻者所闻教
'wo'chang'fei'suo'hai 我常非所害
'wo'de'ruo'zhou'bian 我德若周遍
'wo'ji'tong'yu'shen 我即同于身
'wo'ruo'shi'you'xing 我若实有性
'wo'si'xu'kong'da 我似虚空大
'wo'ti'yi'bian'huai 我体一变坏
'wo'wo'suo'jiao'ao 我我所骄傲
'wo'yi'qie'yong'jin 我一切永尽
'wo'yu'le'deng'he 我与乐等合
'wu'ai'yi'wu'zhang 无碍亦无障
'wu'bei'bu'zhu'fa 无悲不住法
'wu'bei'shui'tong'bi 无悲谁同彼
'wu'bi'deng'zi'wu 无彼等自无
'wu'bie'suo'cheng'guo 无别所成果
'wu'bu'cheng'wu'fa 无不成无法
'wu'bu'cheng'you'fa 无不成有法
'wu'bu'jie'xi'you 无不皆稀有
'wu'bu'ru'zuo'yong 物不如作用
'wu'bu'sheng'wu'fa 无不生无法
'wu'bu'sheng'you'fa 无不生有法
'wu'chang'chu'ji'lie 无常初即劣
'wu'chang'ding'you'sun 无常定有损
'wu'chang'he'you'zhu 无常何有住
'wu'chang'li'fei'lie 无常力非劣
'wu'chang'ruo'heng'you 无常若恒有
'wu'chang'xiang'ying'wang 无常相应妄
'wu'chang'yu'bu'jing 无常与不净
'wu'de'yu'tu'gou 无德与屠狗
'wu'gu'yu'ta'zong 无故于他宗
'wu'hu'ji'suo'po 无怙饥所迫
'wu'hui'ze'bu'zhu 无秽则不住
'wu'lao'er'xiang'shou 无劳而享受
'wu'ming'biao'fa'wu 无名表法无
'wu'nan'nv'fei'er 无男女非二
'wu'nao'ning'jie'tuo 无恼宁解脱
'wu'neng'er'chen'hui 无能而嗔恚
'wu'neng'zhu'da'zhong 无能诸大种
'wu'sheng'hou'cheng'sheng 无声后成声
'wu'ti'ji'fei'you 无体既非有
'wu'wo'ze'yu'you 无我则于有
'wu'wu'zhong'jian'zhe 无无中间者
'wu'xing'yi'fei'you 无性亦非有
'wu'xing'yi'he'li 无性依何立
'wu'yi'ti'shi'you 无一体实有
'wu'yi'wu'suo'bu 无亦无所怖
'wu'yin'er'zhuan'qu 无因而转趣
'wu'yong'tong'wu'xing 无用同无性
'wu'you'bu'neng'ban 无有不能办
'wu'you'neng'she'qi 无由能舍弃
'wu'you'neng'sheng'yin 无有能生因
'wu'you'sheng'shan'qu 无由生善趣
'wu'you'shi'fang'wu 无有时方物
'wu'yun'yi'wu'wo 无蕴亦无我
'wu'za'shi'suo'jian 无杂时所见
'wu'zhi'gu'yu'chi 无知故愚痴
'wu'zhong'fen'hou'fen 无中分后分
'wu'zhong'xing'cha'bie 无种姓差别
'wu'zhu'gu'chen'ku 无助故嗔苦
'wu'zhu'zhu'wu'gu 无住住无故
'wu'zong'ji'cheng'zong 无宗即成宗
'wu'zong'ruo'fei'you 无宗若非有
'wu'zuo'de'nie'pan 无作得涅槃
'xian'jian'ji'hui'zhuan 现见即回转
'xian'jian'ke'hui'zhuan 现见可回转
'xian'jian'qiu'zi'si 现见求自死
'xian'jian'ru'sai'pao 现见如赛跑
'xian'jian'se'deng'xing 现见色等行
'xian'jian'shi'wei'si 现见是为死
'xian'jian'shu'ke'xing 现见属客性
'xian'jian'xing'deng'ku 现见行等苦
'xian'jian'you'tan'ren 现见有贪人
'xian'qu'ji'dang'qu 现去及当去
'xian'ran'fei'zhi'zhe 显然非智者
'xian'tong'bu'hu'huan 显同怖呼唤
'xian'wu'bu'ying'li 先无不应理
'xian'wu'hou'nai'you 先无后乃有
