'a'zi'wu'sheng'zhi'fa'men 阿字无生之法门
'ji'shi'wen'shu'jin'gang'deng 即是文殊金刚灯
'ji'shi'wen'si'zhi'jian'pai 即是闻思之见派
'ji'shi'wo'zhi'shan'shuo'li 即是我之善说力
'ji'shi'wu'gou'zhi'zheng'liang 即是无垢之正量
'ji'shi'wu'miu'zhi'zheng'jian 即是无谬之正见
'ji'shi'wu'wo'zhi'zhuo'xiang 即是无我执著相
'ji'shi'xian'xiang'fei'shi'xiang 即是现相非实相
'ji'shi'yin'ming'zhi'lun'dian 即是因明之论典
'ji'shi'yuan'qi'xing'kong'dao 即是缘起性空道
'ji'shi'zhen'shi'zhi'jian'jie 即是真实之见解
'ji'shi'zhi'duan'zhi'jian'jie 即是直断之见解
'ji'shi'zhu'xu'zhi'jiu'jing 即是诸续之究竟
'ji'you'wu'deng'jun'wu'you 及有无等均无有
'ji'zhi'huan'hua'wang'xu'yun 即指幻化网续云
'jia'cheng'shi'deng'zhi'jian'bie 加成实等之鉴别
'jia'ci'jian'bie'you'he'yong 加此鉴别有何用
'jia'li'ju'sheng'wo'zhi'jing 假立俱生我执境
'jia'li'zhi'wo'yin'ju'gu 假立之我因具故
'jia'shang'yin'zhi'si'cha'yi 加上因之伺察意
'jia'she'wei'zhi'ci'fa'li 假设未知此法理
'jia'she'yi'zhao'ru'guan'dian 假设依照汝观点
'jia'shi'bi'deng'ben'wei'zhi 假使彼等本未知
'jia'shi'guan'cha'xin'xing'se 假使观察心形色
'jian'bi'ma'pi'yu'mao'niu 见彼马匹于牦牛
'jian'bi'you'jing'jun'zheng'liang 见彼有境均正量
'jian'bi'zhi'hui'yi'yi'ti 见彼智慧亦一体
'jian'jie'ru'he'er'duan'ding 见解如何而断定
'jian'jie'wu'zhe'huo'fei'zhe 见解无遮或非遮
'jian'li'ben'jing'da'kong'xing 建立本净大空性
'jian'li'bu'wei'zhi'zong'pai 建立不违之宗派
'jian'li'jue'ding'zhi'zong'pai 建立决定之宗派
'jian'li'wu'pian'shuang'yun'zong 建立无偏双运宗
'jian'miao'dao'zhe'wo'cheng'xin 见妙道者我诚信
'jian'shui'bu'tong'zhi'bi'yu 见水不同之比喻
'jian'shui'ma'ma'ge'fo'mu 见水玛玛格佛母
'jian'shui'yi'chen'wu'liang'sha 见水一尘无量刹
'jian'xing'qiao'jue'ci'mi'yao 见行窍诀此密要
'jian'xiu'xing'zhi'yi'qie'shi 见修行之一切时
'jian'yi'bu'duo'yu'yi'fang 见义不堕于一方
'jian'yi'chen'zhong'chen'shu'sha 见一尘中尘数刹
'jian'yi'zheng'wu'ruo'bu'cheng 见义证悟若不成
'jiang'xu'bu'jian'fen'gao'di 将续部见分高低
'jiao'zheng'bu'wei'zhi'tong'shi 教证不违之同时
'jie'shi'li'xin'zhi'hui'gu 皆是离心智慧故
'jie'shi'zhi'shi'liu'lang'zhe 解释之时流浪者
'jin'cong'li'xi'fen'er'yan 仅从离戏分而言
'jin'cong'shi'su'fang'mian'yan 仅从世俗方面言
'jin'gang'cang'xu'deng'zhi'zhong 金刚藏续等之中
'jin'gang'cheng'guo'si'guan'dao 金刚乘果四灌道
'jin'guan'fen'kai'er'ren'shi 尽管分开而认识
'jin'guan'shi'su'zhi'ben'zun 仅观世俗之本尊
'jin'jin'dan'kong'zuo'dui'jing 仅仅单空作对境
'jin'jin'wei'jian'ruo'ren'wei 仅仅未见若认为
'jin'jue'wei'jue'zhi'cha'bie 仅觉未觉之差别
'jin'ming'bu'tong'yi'wu'bie 仅名不同义无别
'jin'pin'zi'zong'jing'shui'wei 仅品自宗井水味
'jin'po'suo'po'zhi'wu'zhe 仅破所破之无遮
'jin'shi'du'li'sheng'yi'di 仅是独立胜义谛
'jin'shi'ge'zi'zhi'xian'xiang 仅是各自之现相
'jin'shi'zong'pai'shu'yu'yi 仅是宗派术语义
'jin'xin'wu'you'wu'li'yi 仅信无有无利益
'jin'yi'xin'jie'zuo'guan'xiang 仅以信解作观想
'jin'yin'jing'shui'wei'neng'pin 仅饮井水未能品
'jin'yu'shu'qian'jie'zhi'zhong 仅于数千劫之中
'jing'deng'tan'cheng'xing'zhi'zhong 净等坛城性之中
'jing'hua'jiu'jing'da'zhong'guan 精华究竟大中观
'jing'qin'guan'cha'nan'zheng'wu 精勤观察难证悟
'jing'shuo'sheng'wen'wei'wu'wo 经说声闻微无我
'jing'shuo'wan'jie'zhi'mo'ji 经说万劫之末际
'jiu'hu'yi'qie'zhu'you'qing 救护一切诸有情
'jiu'jing'da'bei'zhi'zi'xing 究竟大悲之自性
'jiu'jing'deng'xing'zhi'fa'jie 究竟等性之法界
'jiu'jing'duan'chu'er'zhang'di 究竟断除二障地
'jiu'jing'fa'xing'zhi'zhen'ru 究竟法性之真如
'jiu'jing'li'zheng'er'guan'cha 究竟理证而观察
'jiu'jing'shi'wei'he'zhe'ye 究竟是为何者耶
'jiu'jing'shi'wei'sheng'dan'kong 究竟时唯剩单空
'jiu'jing'shuang'yun'zhi'zhi'hui 究竟双运之智慧
'jiu'jing'zan'shi'cha'bie'da 究竟暂时差别大
'jiu'jing'zi'zong'wu'cheng'ren 究竟自宗无承认
'jiu'pai'da'de'zhi'yi'fang 旧派大德执一方
'jiu'pai'shang'shi'tong'sheng'shuo 旧派上师同声说
'ju'da'zhi'hui'ji'jing'jin 具大智慧极精进
'ju'de'shi'lun'jin'gang'xu 具德时轮金刚续
'ju'li'hui'yan'zhe'qian'cheng 具理慧眼者前成
'ju'qian'bian'xing'er'xian'xian 具迁变性而显现
'ju'sheng'bian'cai'zhi'li'wei 俱生辩才智力微
'ju'sheng'tan'jing'wei'duan'gu 俱生贪境未断故
'ju'sheng'wo'zhi'yi'yun'sheng 俱生我执依蕴生
'ju'sheng'zhi'shen'yi'si'cha 俱生智深以伺察
'ju'yi'er'zhe'jun'xiang'wei 句义二者均相违
'ju'you'an'li'li'you'gu 具有安立理由故
'ju'you'ci'deng'bu'tong'ming 具有此等不同名
'ju'you'ge'zhong'bao'fa'zang 具有各种宝法藏
'ju'you'shu'sheng'zhi'kong'xing 具有殊胜之空性
'ju'you'xian'fen'fang'bian'xiang 具有现分方便相
'ju'yu'yi'zhi'er'ta'kong 句与义之二他空
'jue'ding'bu'shi'zhen'kong'xing 决定不是真空性
'jue'kong'zi'ran'zhi'hui'zhe 觉空自然智慧者
'jue'ze'ben'jing'kong'xing'fen 抉择本净空性分
'jue'ze'ren'yun'er'zi'cheng 抉择任运而自成
'jue'ze'zheng'que'zhi'jian'jie 抉择正确之见解
'jun'jie'shi'wei'bu'le'yi 均解释为不了义
'jun'wei'po'chi'ge'xie'jian 均为破斥各邪见
'jun'wei'wu'shi'ji'chu'shang 均为无实基础上
'jun'you'cuo'wu'zheng'que'fen 均有错误正确分
'kai'xian'jue'ze'shi'xiang'yi 开显抉择实相义
'kan'wei'te'fa'he'xu'yan 堪为特法何须言
'ke'yi'tui'chu'cun'zai'huo 可以推出存在火
'kong'ji'bao'liu'yi'ta'kong 空基保留以他空
'kong'ji'bu'kong'yi'liu'sheng 空基不空已留剩
'kong'le'wu'er'zhi'fa'jie 空乐无二之法界
'kong'li'wu'you'he'cha'bie 空理无有何差别
'kong'xing'du'zi'bu'cheng'li 空性独自不成立
'kong'xing'ji'shi'xian'xian'li 空性即是显现理
'kong'xing'li'xi'mie'jin'ding 空性离戏灭尽定
'kong'xing'sheng'yi'guan'cha'jing 空性胜义观察境
'kong'xing'xian'xian'fan'fu'qian 空性显现凡夫前
'kong'xing'xian'xian'yuan'qi'xing 空性显现缘起性
'kong'xing'yi'wei'xin'jia'li 空性亦唯心假立
'kong'yi'bu'cheng'bu'xian'gu 空亦不成不现故
'kong'yu'bu'kong'fei'shuang'yun 空与不空非双运
'kou'chu'ci'yu'jing'li'shi 口出此语敬礼时
'kou'shuo'zui'chu'ji'duan'ci 口说最初即断此
'kuai'ru'shan'dian'er'da'fu 快如闪电而答复
'le'zhi'mi'luan'xiu'xi'bi 了知迷乱修习彼
'le'zhi'qi'yi'jie'yi'qie 了知其一解一切
'li'bian'jian'wang'guang'jing'jie 离边见王广境界
'li'chang'wu'chang'er'di'deng 离常无常二谛等
'li'ji'hui'da'ci'ti'wen 立即回答此提问
'li'jing'you'jing'qin'ti'yan 离境有境亲体验
'li'kai'guan'cha'fen'xi'shi 离开观察分析时
'li'kai'xian'xian'guan'kong'deng 离开显现观空等
'li'si'guang'ming'ben'fa'jie 离思光明本法界
'li'yi'ben'lai'zhi'fa'xing 离意本来之法性
'li'zheng'fang'hai'jie'wu'you 理证妨害皆无有
'lian'xu'chi'ran'miao'hui'huo 连续炽燃妙慧火
'liang'ci'chong'fu'wen'fa'wu 两次重复文法误
'lie'gen'zhe'ru'chi'xiao'mang 劣根者如鸱鸮盲
'ling'san'qiao'jue'shi'xiu'fa 零散窍诀实修法
'liu'zhuan'san'jie'lun'hui'zhong 流转三界轮回中
'long'qin'rao'jiang'ru'shi'yan 龙钦绕降如是言
'long'qin'sheng'yi'da'hai'zhong 龙钦圣意大海中
'long'shu'guan'dian'mi'le'lun 龙树观点弥勒论
'long'shu'shan'miao'zhi'zong'zhi 龙树善妙之宗旨
'long'shu'yue'cheng'er'shi'tu 龙树月称二师徒
'long'tong'zhi'jie'er'an'zhu 笼统直接而安住
'lun'fan'po'chu'si'bian'xi 轮番破除四边戏
'lun'hui'yi'ji'nie'pan'fa 轮回以及涅槃法
'lun'shuo'nai'zhi'you'yun'zhi 论说乃至有蕴执
'lun'shuo'xian'kong'neng'suo'po 轮说现空能所破
'luo'han'chu'ding'ru'da'cheng 罗汉出定入大乘
'lv'lv'guan'cha'yin'ding'jie 屡屡观察引定解
'ma'shang'sui'bu'cheng'li'niu 马上虽不成立牛
'mang'xiu'wu'nian'he'shang'zong 盲修无念和尚宗
'mao'niu'fei'ma'ren'jie'zhi 牦牛非马人皆知
'mi'luan'zhi'zhuo'qi'wei'she 迷乱执著其为蛇
'mi'yi'xun'zhe'wei'de'yi 觅义寻者未得义
'mi'zong'cheng'wei'ju'yi'guan 密宗称为句义灌
'mi'zong'fang'bian'yu'zhi'hui 密宗方便与智慧
'mi'zong'xuan'shuo'da'le'zhi 密宗宣说大乐智
'mi'zong'xun'su'er'zheng'wu 密宗迅速而证悟
'mi'zong'yi'zi'qin'ti'yan 密宗以自亲体验
'miao'hui'dui'jing'wei'ci'fa 妙慧对境谓此法
'miao'hui'yin'fa'zhi'ding'jie 妙慧引发之定解
'mie'chu'wo'zhi'yi'zu'yi 灭除我执已足矣
'mie'jin'dian'dao'zhi'zeng'yi 灭尽颠倒之增益
'mie'jin'jiao'zheng'zeng'fan'nao 灭尽教证增烦恼
'mie'you'wu'deng'zhu'bian'xing 灭有无等诸边性
'ming'kong'wu'er'zhi'jing'jie 明空无二之境界
'ming'liao'nei'zhi'ru'jian'se 明了内智如见色
'ming'tong'yi'yi'tian'rang'bie 名同义异天壤别
'ming'xian'zong'chi'bian'cai'hui 明现总持辩才慧
'ming'yan'liang'qian'zhi'er'di 名言量前之二谛
'ming'yan'zhi'zhong'cheng'mie'jin 名言之中称灭尽
'mu'kuai'xian'wei'ma'yu'xiang 木块现为马与象
'na'zi'yuan'li'ming'cheng'men 那字远离名称门
'nai'da'cheng'dao'zhi'zheng'hang 乃大乘道之正行
'nai'shi'bu'kong'xian'xian'gu 乃是不空显现故
'nai'shi'san'bu'mo'mi'yu 乃是散布魔密语
'nai'shi'xiao'cheng'zhi'guan'dian 乃是小乘之观点
'nai'wei'mi'luan'sheng'yi'di 乃未迷乱胜义谛
'nai'wei'zhi'hui'zhi'jing'gu 乃为智慧之境故
'nai'zhi'er'di'fen'bie'xian 乃至二谛分别现
'nai'zhi'shi'jian'yi'li'le 乃至世间依利乐
'nai'zhi'wei'sheng'ding'jie'qian 乃至未生定解前
'nan'dao'bu'shi'yu'ben'ye 难道不是愚笨耶
'nan'huo'zhen'ru'zhi'guang'ming 难获真如之光明
'nei'dao'zong'pai'cong'zui'di 内道宗派从最低
'nei'ming'tong'zi'ping'fo'shen 内明童子瓶佛身
'nei'wai'zhu'yuan'suo'zhang'gu 内外诸缘所障故
'nei'xin'ding'sheng'shen'fa'ren 内心定生深法忍
'neng'ci'shuang'yun'guo'wei'gu 能赐双运果位故
'neng'fen'e'jian'zhi'gao'shan 能焚恶见之高山
'neng'gou'cheng'jiu'shuang'yun'guo 能够成就双运果
'neng'huo'sheng'cheng'zhi'miao'dao 能获胜乘之妙道
'neng'jian'zheng'liang'yi'wei'yi 能见正量亦唯一
'neng'jie'kun'xin'yi'wang'zhe 能解困心疑网者
'neng'mie'dian'dao'fen'bie'nian 能灭颠倒分别念
'neng'qu'zhi'xin'shi'yi'wu 能取之心实亦无
'neng'zhi'zheng'liang'wei'jian'shi 能知正量未见时
'pi'ru'ru'zong'yi'cheng'xu 譬如汝宗亦承许
'pi'ru'suo'wei'wu'suo'you 譬如所谓无所有
'pi'ru'suo'wei'yu'yi'shui 譬如所谓于一水
'pi'ru'wei'de'sheng'dao'zhi 譬如为得圣道智
'pian'ke'mo'yan'bu'chu'yu 片刻默言不出语
'pian'mian'pian'zhi'xian'kong'deng 片面偏执现空等
'pian'shuo'you'wu'zhi'zhuo'xiang 偏说有无执著相
'pian'tan'zhi'zhuo'you'xi'lun 偏袒执著有戏论
'pin'li'zi'xin'gan'lu'wei 品利自心甘露味
'ping'ju'li'zheng'er'cheng'li 凭据理证而成立
'ping'ru'xu'kong'bu'xian'xian 瓶如虚空不显现
'ping'zi'zhi'li'er'fen'xi 凭自智力而分析
'ping'zi'zhi'wei'shi'you'gu 瓶子执为实有故
'po'chu'zhu'zi'zhi'kong'xing 破除柱子之空性
'pu'sa'xing'wei'hui'xiang'yuan 菩萨行为回向缘
'qi'bu'yi'shi'jian'ming'yuan 岂不亦是渐明圆
'qi'fei'cheng'wei'he'ze'chu 岂非成为呵责处
'qi'jian'bu'neng'zheng'wu'ye 期间不能证悟也
'qi'neng'duan'chu'e'lun'hui 岂能断除恶轮回
'qi'neng'mie'chu'e'ye'feng 岂能灭除恶业风
'qi'neng'mie'jin'e'tong'ku 岂能灭尽恶痛苦
'qi'neng'mie'jin'lie'zeng'yi 岂能灭尽劣增益
'qi'neng'que'ding'bi'ma'kong 岂能确定彼马空
'qi'neng'sheng'qi'miao'ding'jie 岂能生起妙定解
'qi'sheng'yi'wu'ta'shi'su 弃胜义无他世俗
'qi'shi'bing'fei'yi'yi'yi 其实并非一意义
'qi'shi'wu'you'xian'yu'lie 其实无有贤与劣
'qi'shi'xin'suo'zhi'miao'hui 岂是心所之妙慧
'qi'ta'xu'bu'zhong'suo'cheng 其他续部中所称
'qi'xin'guang'ming'zhi'dun'chao 起信光明之顿超
'qi'yi'huo'jun'wei'zi'zong 其一或均为自宗
'qi'yu'xian'xiang'jie'bu'ding 其余现相皆不定
'qi'yu'zhu'zong'wei'fei'zhe 其余诸宗谓非遮
'qi'zai'qu'ru'shen'shi'xiang 奇哉趋入深实相
'qi'zai'yu'zhe'yu'shun'jian 奇哉愚者于瞬间
'qian'chu'bu'kan'guan'cha'fa 遣除不堪观察法
'qian'chu'ci'deng'zhi'dui'zhi 遣除此等之对治
'qian'chu'yi'an'xian'liang'jian 遣除疑暗现量见
'qian'chu'zhe'zhang'shi'xiang'an 遣除遮障实相暗
'qian'dai'zhu'wei'a'she'li 前代诸位阿阇黎
'qian'suo'wei'you'zheng'xiang'zeng 前所未有证相增
'qian'yi'zi'zong'he'guan'dian 前译自宗何观点
'qian'zhe'miao'hui'hou'wei'zhi 前者妙慧后唯智
'qian'zhi'sheng'yuan'you'duo'zhong 前之声缘有多种
'qian'zhu'suo'po'zhi'wu'zhe 遣诸所破之无遮
'qing'jing'sha'tu'fo'mu'shen 清净刹土佛母身
'qing'jing'shui'yi'jian'wei'nong 清净水亦见为脓
'qing'jing'yi'ji'bu'qing'jing 清净以及不清净
'qu'chu'er'zao'ci'lun'dian 取出而造此论典
'qu'fen'jiu'cheng'bu'yi'ding 区分九乘不一定
'qu'she'bi'jing'bu'qi'gu 取舍彼境不欺故
'qu'yi'she'yi'bu'ying'li 取一舍一不应理
'qu'zhi'ru'lai'xing'jing'zhong 趋至如来行境中
'quan'zhi'rong'suo'ban'zhi'da 全知荣索班智达
'que'ding'shi'kong'wei'zheng'jian 确定实空为正见
'que'ding'yi'you'ling'yi'you 确定一有另亦有
'que'ding'zhi'zi'zhi'dui'jing 确定执自之对境
'que'shao'yi'zhe'bu'sheng'huo 缺少一者不生火
'ran'bu'guan'dai'sheng'yi'di 然不观待胜义谛
'ran'bu'guan'dai'shi'su'di 然不观待世俗谛
'ran'bu'pian'duo'xian'kong'gu 然不偏堕现空故
'ran'ci'sheng'yi'dan'kong'jie 然此胜义单空界
'ran'duan'suo'duan'xu'zhu'yuan 然断所断需助缘
'ran'er'ben'ren'zhi'guan'dian 然而本人之观点
'ran'er'bi'deng'yi'qie'fa 然而彼等一切法
'ran'er'bo'di'fan'fu'zhe 然而薄地凡夫者
'ran'er'duan'chu'shi'su'di 然而断除世俗谛
'ran'er'jian'jie'zhi'zheng'hang 然而见解之正行
'ran'er'ru'ci'ji'han'jian 然而如此极罕见
'ran'er'ru'ding'da'zhi'qian 然而入定大智前
'ran'er'xian'zong'shuang'yun'yi 然而显宗双运义
'ran'er'yu'wu'zhi'zi'xiang 然而于无之自相
'ran'er'zan'shi'wei'zheng'wu 然而暂时未证悟
'ran'er'zi'xing'ben'qing'jing 然而自性本清净
'ran'fei'shui'yi'bu'neng'zheng 然非谁亦不能证
'ran'jiu'guan'cha'sheng'yi'yan 然就观察胜义言
'ran'li'si'bian'xi'zhi'li 然离四边戏之理
'ran'nei'wai'yuan'wei'qi'quan 然内外缘未齐全
'ran'que'bu'neng'tong'da'ye 然却不能通达也
'ran'ru'wei'guan'cha'zhi'shi 然如未观察之时
'ran'ru'ya'ba'pin'tang'wei 然如哑巴品糖味
'ran'wei'dan'du'an'li'cheng 然未单独安立乘
'ran'wei'ke'chen'suo'zhang'gu 然为客尘所障故
'ran'wei'mi'luan'suo'li'zong 然为迷乱所立宗
'ran'wei'yuan'man'zheng'wu'wo 然未圆满证无我
'ran'wei'zhang'bi'bu'xian'xian 然为障蔽不显现
'ran'xiu'shuang'yun'jian'jie'shi 然修双运见解时
'ran'xiu'wei'sheng'ding'jie'gu 然修未生定解故
'ran'xu'an'li'san'cheng'deng 然需安立三乘等
'ran'xu'wei'chen'wei'shi'fa 然许微尘为实法
'ran'yi'zhi'yun'jia'li'wo 然依执蕴假立我
'ran'yu'er'di'shuang'yun'yi 然于二谛双运义
'ran'yu'huo'de'a'luo'han 然欲获得阿罗汉
'ran'zhong'cheng'li'wu'bie'guo 然终成立无别果
'rao'zi'yuan'li'zhu'gou'men 绕字远离诸垢门
'ren'he'po'li'cheng'ren'gu 任何破立承认故
'ren'he'shi'jie'xu'guan'cha 任何时皆需观察
'ren'he'shi'xing'bu'ke'de 任何湿性不可得
'ren'he'xian'xian'bu'xian'ta 任何显现不现他
'ren'he'xian'xian'ding'kong'xing 任何显现定空性
'ren'he'xian'xian'ping'deng'gu 任何显现平等故
'ren'jian'ci'shui'ruo'fei'shui 人见此水若非水
'ren'ren'bu'neng'ru'shi'zheng 人人不能如是证
'ren'shi'sheng'yi'ben'mian'zhe 认识胜义本面者
'ren'wei'lun'hui'bu'qing'jing 认为轮回不清净
'ren'wei'yi'jing'zheng'kong'xing 认为已经证空性
'ren'yun'yi'yun'qi'zhi'zhe 人云亦云岂智者
'reng'shuo'wu'she'fu'guan'cha 仍说无蛇复观察
'ri'sui'sheng'qi'qian'hei'an 日虽升起遣黑暗
'rong'ci'fa'qi'ji'ci'zhe 容此法器即此者
'ru'can'zuo'jian'zi'fu'ban 如蚕作茧自缚般
'ru'chi'xu'kong'duan'jian'pai 如持虚空断见派
'ru'chong'shi'jie'zi'nei'kong 如虫食芥子内空
'ru'ci'geng'cheng'jiu'chan'zi 如此更成纠缠字
'ru'ci'guan'dian'suo'jian'li 如此观点所建立
'ru'ci'jin'chu'nong'zhi'shi 如此尽除脓执时
'ru'ci'liang'ji'yi'ci'ta 如此良机亦赐他
'ru'ci'ti'chu'qi'wen'ti 如此提出七问题
'ru'cong'sheng'zhe'zhi'hui'zhong 如从圣者智慧中
'ru'de'jiu'jing'fa'shen'shi 如得究竟法身时
'ru'deng'le'zhi'suo'po'xiang 汝等了知所破相
'ru'ding'you'wu'zhi'zhuo'xiang 入定有无执著相
'ru'gao'di'cheng'you'duo'zhong 如高低乘有多种
'ru'hai'shui'sui'yin'yi'kou 如海水虽饮一口
'ru'he'cheng'li'ben'zun'xing 如何成立本尊性
'ru'he'cheng'xin'xiu'gen'sui 如何诚信修跟随
'ru'he'cheng'xu'jun'mao'dun 如何承许均矛盾
'ru'he'guan'cha'bu'ying'li 如何观察不应理
'ru'he'heng'liang'jun'zhen'shi 如何衡量均真实
'ru'he'hui'jian'shi'xing'jing 如何会见湿性境
'ru'he'le'zhi'wei'kong'xing 如何了知为空性
'ru'hei'bai'sheng'cuo'yi'qi 如黑白绳搓一起
'ru'hua'deng'huo'zhen'ke'bei 如画灯火真可悲
'ru'huan'ben'ti'wu'shi'you 如幻本体无实有
'ru'jing'yan'yi'zhi'mao'fa 如净眼翳之毛发
'ru'ju'shan'qiao'fang'bian'yuan 如具善巧方便缘
'ru'li'qu'ru'da'cheng'zhe 如理趋入大乘者
'ru'lie'zhong'zhe'tan'wang'fei 如劣种者贪王妃
'ru'mo'jie'feng'yao'shan'wang 如末劫风摇山王
'ru'ruo'li'kai'ci'er'yin 如若离开此二因
'ru'shi'chao'yue'zhu'cheng'ren 如是超越诸承认
'ru'shi'chen'hai'ping'yong'zhu 如石沉海平庸住
'ru'shi'chu'shi'zhi'zhi'hui 如是出世之智慧
'ru'shi'ci'yi'xuan'shuo'wei 如是此义宣说为
'ru'shi'er'xiu'bi'dao'zhong 如实而修彼道中
'ru'shi'er'zhe'bu'neng'ju 如是二者不能聚
'ru'shi'fa'xing'yu'fa'jie 如是法性与法界
'ru'shi'fa'zhi'bie'xiang'wo 如是法之别相我
'ru'shi'heng'liang'jiu'jing'yi 如实衡量究竟义
'ru'shi'jiu'jing'shi'xiang'yi 如是究竟实相义
'ru'shi'long'qin'rao'jiang'yan 如是龙钦绕降言
'ru'shi'qi'zhong'nan'jie'ti 如是七种难解题
'ru'shi'ru'deng'yi'wei'yue 如是汝等已违越
'ru'shi'shen'shen'qi'nan'ti 如是甚深七难题
'ru'shi'shi'xiang'yi'fu'ran 如是实相亦复然
'ru'shi'shuo'fa'zhen'ke'xiao 如是说法真可笑
'ru'shi'si'wei'xian'ren'qian 如是思维仙人前
'ru'shi'wu'shang'xu'bu'zhong 如是无上续部中
'ru'shi'xian'jian'shi'xiang'yi 如实现见实相义
'ru'shi'xiu'chi'xiang'si'zhi 如是修持相似智
'ru'shi'yi'kao'jing'jian'liang 如是依靠净见量
'ru'shi'yi'qie'wei'shi'zong 如是一切唯识宗
'ru'shi'yi'qie'wu'shang'xu 如是一切无上续
'ru'shi'yi'xiu'xing'hu'chi 如是以修行护持
'ru'shi'yin'huo'dao'zhong'guan 如是因或道中观
'ru'shi'you'he'ke'cheng'ren 如是有何可承认
'ru'shi'yuan'li'si'bian'xi 如是远离四边戏
'ru'shi'zhi'hui'suo'chu'yu 如是智慧所出语
'ru'shi'zhong'zhong'zhi'xian'xiang 如是种种之现相
'ru'shui'yang'yan'jian'wei'shui 如水阳焰见为水
'ru'shuo'shui'yue'fei'zhen'yue 如说水月非真月
'ru'sui'wei'zhi'sheng'wu'you 如虽未知绳无有
'ru'sui'xu'ping'wei'jia'li 如虽许瓶为假立
'ru'tong'ba'zi'zhu'xin'qian 如同靶子住心前
'ru'tong'bu'ke'si'yi'wo 如同不可思议我
'ru'tong'dui'yu'hua'se'sheng 如同对于花色绳
'ru'tong'huo'zhong'lian'chun'jin 如同火中炼纯金
'ru'tong'mang'ren'ru'dao'zhong 如同盲人入道中
'ru'tong'mu'shi'xu'kong'zhong 如同目视虚空中
'ru'tong'ru'mian'wu'li'gu 如同入眠无利故
'ru'tong'sheng'da'wa'zhi'ming 如同胜达瓦之名
'ru'tong'sheng'yuan'zi'dao'zhong 如同声缘自道中
'ru'tong'sui'mu'yu'sui'dian 如同燧木与燧垫
'ru'tong'wu'you'zhu'wai'jing 如同无有诸外境
'ru'tong'zhong'guan'yu'zhu'fa 如同中观于诸法
'ru'xi'hei'tan'bu'bian'bai 如洗黑炭不变白
'ru'xu'jian'kong'xiu'bi'dao 汝许见空修彼道
'ru'yi'mo'shu'zhi'zhou'yu 如依魔术之咒语
'ru'you'xian'jing'ran'xu'wang 如有现境然虚妄
'ru'zhe'suo'wei'li'shi'fei 汝者所谓离是非
'ruo'cheng'suo'jian'he'bu'jian 若成所见何不见
'ruo'cheng'ze'ying'cheng'shi'xiang 若成则应成实相
'ruo'chu'suo'po'wu'zhe'wai 若除所破无遮外
'ruo'cong'kong'xing'fen'heng'liang 若从空性分衡量
'ruo'cong'ming'yan'liang'er'yan 若从名言量而言
'ruo'er'zi'zong'ze'cheng'wei 若尔自宗则成为
'ruo'fei'zi'zong'suo'cheng'ren 若非自宗所承认
'ruo'jian'zhen'zheng'zhi'shi'xiang 若见真正之实相
'ruo'ju'ci'zhe'ji'sheng'zhong 若具此者即生中
'ruo'ju'guan'cha'er'zheng'wu 若聚观察而证悟
'ruo'ju'zheng'jian'zhi'ming'mu 若具正见之明目
'ruo'li'fu'yi'guan'cha'yin 若离复依观察引
'ruo'shi'wu'er'zhi'shuang'yun 若是无二之双运
'ruo'shi'zhen'shi'zhi'zhong'guan 若是真实之中观
'ruo'shui'shao'xu'you'zi'xing 若水少许有自性
'ruo'shuo'ci'er'shi'yi'yi 若说此二是一义
'ruo'shuo'wei'jian'bi'zhe'gu 若说未见彼者故
'ruo'shuo'wu'you'zhi'zhuo'xiang 若说无有执著相
'ruo'wei'cheng'shi'wei'you'gu 若谓成实未有故
'ruo'wei'cheng'yi'jian'gao'di 若谓乘以见高低
'ruo'wei'duan'chu'e'lun'hui 若未断除恶轮回
'ruo'wei'er'zhe'li'tong'deng 若谓二者力同等
'ruo'wei'liao'zhi'fa'zi'xing 若未了知法自性
'ruo'wei'mie'chu'e'ye'feng 若未灭除恶业风
'ruo'wei'mie'jin'lie'zeng'yi 若未灭尽劣增益
'ruo'wei'qi'yi'wei'ling'yi 若谓其一违另一
'ruo'wei'ru'ci'liang'fei'liang 若谓如此量非量
'ruo'wei'shang'shu'yu'ta'zong 若谓上述于他宗
'ruo'wei'sheng'qi'miao'ding'jie 若未生起妙定解
'ruo'wei'yi'miao'guan'cha'yin 若未以妙观察引
'ruo'wei'zhe'po'zhu'zi'wu 若未遮破柱子无
'ruo'wen'jin'si'kong'xing'yan 若问仅思空性言
'ruo'wen'ru'ci'ru'shang'wen 若问如此汝上文
'ruo'wen'sheng'wen'yu'yuan'jue 若问声闻与缘觉
'ruo'wen'suo'wei'ru'zhi'xin 若问所谓汝之心
'ruo'wen'yi'fa'jian'kong'xing 若问一法见空性
'ruo'wu'gong'tong'suo'jian'jing 若无共同所见境
'ruo'wu'jian'jie'zhi'gao'di 若无见解之高低
'ruo'wu'ru'ze'yu'ci'shi 若无汝则于此世
'ruo'wu'su'xiu'cheng'shu'yin 若无宿修成熟因
'ruo'xian'bu'kong'bu'ke'neng 若现不空不可能
'ruo'xiang'guan'cha'ru'guan'dian 若详观察汝观点
'ruo'xiang'qi'qing'neng'suo'yi 若想器情能所依
'ruo'xu'kan'wei'guan'cha'ji 若许堪为观察基
'ruo'yan'e'gui'qian'xian'shui 若言饿鬼前现水
'ruo'yi'er'di'li'guan'xiang 若以二谛理观想
