'an'dao 暗道
'xue'lu'ge'wu'sheng'ping 雪庐歌舞升平
'xue'se'qing'ming 血色清名
'xue'ye'bo'jia 雪夜薄甲
'xue'ying'zhong'hun 雪映忠魂
'xue'yuan 雪冤
'xue'zhan 血战
'xun'fang'ying 巡防营
'xun'quan 驯犬
'xun'yang 浔阳
'xun'yang'cheng 浔阳城
'xun'zhen 荀珍
'yan'bo'bo 言伯伯
'yan'dai'fu 晏大夫
'yan'gong'zi 言公子
'yan'hou 言侯
'yan'hou'fu 言侯府
'yan'hou'ye 言侯爷
'yan'huang'hou 言皇后
'yan'jia'zi'sun 言家子孙
'yan'lao'tai'shi 言老太师
'yan'que 言阙
'yan'yu'jin 言豫津
'yang'liu'xin 杨柳心
'yao'chong 药虫
'yao'nv 妖女
'yao'wang'gu 药王谷
'yao'ying'ren'jian'bing'xue'yang 遥映人间冰雪样
'yao'yue'jiu'lou 邀月酒楼
'yao'zhu 瑶珠
'ye'qin 夜秦
'ye'shi'zhen 叶士祯
'ye'xin 野心
'ye'you'ting 掖幽庭
'yi'fa'qian'jun 一发千钧
'yi'fu'zi 遗腹子
'yi'jian'feng'hou 一剑封喉
'yi'jing'zhi'dong 以静制动
'yi'lu'feng'mang 已露锋芒
'yi'mao'qu'ren 以貌取人
'yi'mei 义妹
'yi'nuo'qian'jin 一诺千金
'yi'pin'huang'gui'fei 一品皇贵妃
'yi'pin'jiang'jun 一品将军
'yi'pin'jun'hou 一品军侯
'yi'zhou 翼州
'yi'zhou'ci'shi 翼州刺史
'yin'chen'mou'shi 阴沉谋士
'yin'mou 阴谋
'yin'qin 姻亲
'ying'cai 英才
'ying'feng 迎凤
'ying'feng'lou 迎凤楼
'you'jin'tai'zi 幽禁太子
'you'ming'dao 幽冥道
'you'peng'yuan'lai 有朋远来
'yu'chan 玉蝉
'yu'dian'jin'jun 御殿觐君
'yu'er 羽儿
'yu'jin 豫津
'yu'qi'zhi'shu 御气之术
'yu'qian 御前
'yu'shi'fu 御史府
'yu'shi'nei'jian 御使内监
'yu'shi'tai 御史台
'yu'wang 誉王
'yu'wang 豫王
'yu'wang'dian'xia 誉王殿下
'yu'wang'fei 誉王妃
'yu'wang'fu 誉王府
'yu'wen'lin 宇文霖
'yu'wen'nian 宇文念
'yu'wen'xuan 宇文暄
'yu'xiong'mo'shan 愚兄墨山
'yu'yi 御医
'yu'yi 羽翼
'yuan'an 冤案
'yuan'chou 冤仇
'yuan'hun 冤魂
'yuan'lao'zhong'chen 元老重臣
'yuan'luo'yin'kai 圆罗银铠
'yuan'sen 袁森
'yuan'shuai 元帅
'yue'fei 越妃
'yue'fei'fu'wei 越妃复位
'yue'gui'fei 越贵妃
'yue'ma'yang'bian 跃马扬鞭
'yue'pin 越嫔
'yue'pin'niang'niang 越嫔娘娘
'yue'xiu'ze 岳秀泽
'yue'zhou 岳州
'yun'gu'niang 云姑娘
'yun'he'qing'duo 运河青舵
'yun'jia 云家
'yun'nan 云南
'yun'nan'fan'ling 云南藩领
'yun'nan'feng'di 云南封地
'yun'nan'mu'fu 云南穆府
'yun'nan'wang 云南王
'yun'nan'wang'shi'zi 云南王世子
'yun'piao'liao 云飘蓼
'yun'shou'wu'san 云收雾散
'zai'fan'jing'hua 再返京华
'ze'xu'da'hui 择婿大会
'zhan'chang 战场
'zhan'gong 战功
'zhan'jiang'duo'shuai 斩将夺帅
'zhan'si 战死
'zhang'an'liu'tu'qi 章暗流突起
'zhang'gong'zhu 长公主
'zhang'jin 张荩
'zhang'jing'shi 掌镜使
'zhang'lin'zi 瘴林子
'zhang'ling'xin 张龄心
'zhang'yan'yan 张琰琰
'zhang'zheng'gong'zhu 掌政公主
'zhao'lan 招揽
'zhao'ming 诏命
'zhao'ren'gong 昭仁宫
'zhao'xue 昭雪
'zhen'ping 甄平
'zhen'shan'si 镇山寺
'zhen'shou 镇守
'zhen'xing'shan'he 振兴山河
'zhen'zi 榛子
'zhen'zi'su 榛子酥
'zheng'di 争嫡
'zheng'xu'ting 郑绪亭
'zheng'yang'gong 正阳宫
'zhi'bing'bu 知兵部
'zhi'lan'yu'shu 芝兰玉树
'zhi'luo'gong 芷萝宫
'zhi'luo'yuan 芷萝院
'zhi'pao'fang 制炮坊
'zhi'qu'qi'ren 制曲奇人
'zhi'shi'qi'cai 治世奇才
'zhi'zhu'an'wo 智珠暗握
'zhi'zi 质子
'zhi'zi'zhi'yue 稚子之约
'zhi'zun 至尊
'zhong'ling 钟灵
'zhong'shu'ling 中书令
'zhong'shu'sheng 中书省
'zhong'su'hou 忠肃侯
'zhong'yuan 中原
'zhou'qi'qi 周奇奇
'zhou'xuan'qing 周玄清
'zhou'ye'ye 周爷爷
'zhu'bao'zhen'wan 珠宝珍玩
'zhu'bu 主簿
'zhu'di'qian'li 逐敌千里
'zhu'hai'cha'zhuang 竹海茶庄
'zhu'jun 主君
'zhu'ma'ma 朱妈妈
'zhu'que'men 朱雀门
'zhu'sha 朱砂
'zhu'shou'chun 朱寿春
'zhu'yue 朱樾
'zhu'zi'hao 朱字号
'zhuang'yuan'hong 状元红
'zhuang'zhu 庄主
'zhuo'die'die 卓爹爹
'zhuo'ding'feng 卓鼎风
'zhuo'fu'ren 卓夫人
'zhuo'gu'ye 卓姑爷
'zhuo'jue'zhi'cai 卓绝之才
'zhuo'men 卓门
'zhuo'qing'yao 卓青遥
'zhuo'qing'yao'fu'fu 卓青遥夫妇
'zhuo'qing'yi 卓青怡
'zhuo'shi 卓氏
'zhuo'shi'fu'fu 卓氏夫妇
'zhuo'zhuang'zhu 卓庄主
'zi'tan 紫檀
'zong'ci 宗祠
'zong'di'shu 纵地术
'zong'shuai 总帅
'zong'zhu 宗主
'zong'zhu'ling'diao 宗主灵貂
'zui'hua'sheng 醉花生
'zuo'zhong'cheng'dong'fang'zhi 左中丞东方峙
