'a'ba'ke 阿巴克
'xue'zhe 学者
'xun'lin'guan 巡林官
'xun'lin'yuan 巡林员
'xun'ren'gao'shi'pai 寻人告示牌
'ya'liu 亚琉
'yan'bo 彦博
'yan'fei 烟绯
'yan'hua'jiang 烟花匠
'yan'jiu'yuan 研究员
'yan'shang'cha'shi 岩上茶室
'yan'tian 岩田
'yan'xiao 言笑
'yang'jie 阳介
'yao'nong 药农
'yao'shi 药师
'ye'ge'er 叶戈尔
'ye'ka'jie'lin'na 叶卡捷琳娜
'ye'lan 夜兰
'ye'ming'shan'xun 叶名山薰
'ye'sha'fa'te 耶沙法特
'yi'bu 伊部
'yi'cheng 一成
'yi'da 伊达
'yi'en 伊恩
'yi'er'jia 伊尔佳
'yi'fan'nuo'wei'qi 伊凡诺维奇
'yi'guan 仪倌
'yi'kuo 一阔
'yi'na'mu 伊娜姆
'yi'nian 宜年
'yi'qi'mu'na'xu 依栖目那须
'yi'ran 一然
'yi'sa'mi 伊萨米
'yi'xian 一弦
'yi'zha'de 伊扎德
'yi'zhu 一柱
'yin'jie 寅杰
'yin'lu'ren 引路人
'yin'nai 音乃
'yin'shan 荫山
'yin'xing 银杏
'yin'you'shi'ren 吟游诗人
'yin'you'shi'ren'dai'wei 吟游诗人戴维
'ying'er 莺儿
'ying'si'chao'xiu 鹰司朝秀
'ying'zhu 盈珠
'yong'an 永安
'yong'bing 佣兵
'you'dan 优丹
'you'jun 尤骏
'you'la 优菈
'you'lv 优律
'you'nu'si 尤努斯
'you'xu 佑旭
'you'xue'zhe 游学者
'you'zi 柚子
'you'zi'jia'ni 尤兹贾尼
'yu'fan 鱼贩
'yu'fu 渔夫
'yu'hua 毓华
'yu'li 与力
'yu'liu'bu'qi 御琉部栖
'yu'min 渔民
'yu'nai 宇奈
'yu'ren'zhong 愚人众
'yu'ren'zhong'hu'wei 愚人众护卫
'yu'ren'zhong'shi'jie 愚人众使节
'yu'tang'feng'xing 御汤奉行
'yu'tuo 宇陀
'yu'xia 玉霞
'yu'yu'yuan'ci'lang 御舆源次郎
'yu'yu'yuan'yi'lang 御舆源一郎
'yuan'hang'zhi'feng 远航之风
'yuan'tai 元太
'yue'chuan 岳川
'yue'dun 约顿
'yue'ha'nan 约哈南
'yue'hai'ting 月海亭
'yue'shu 月疏
'yue'wen 玥文
'yue'zi 悦子
'yun'dan 云淡
'yun'jin 云堇
'za'huo'dian 杂货店
'za'huo'dian'lao'ban 杂货店老板
'zao'you 早柚
'ze'wei'er 泽维尔
'ze'xuan 泽轩
'zha'di'si 扎蒂斯
'zha'lai 扎莱
'zha'yi 扎伊
'zhai'zhu 斋主
'zhan'bu'shi 占卜师
'zhan'xing'shu'shi 占星术士
'zhang'gui 掌柜
'zhang'qi'guan 掌旗官
'zhang'shun 张顺
'zhao'dai 招待
'zhe'yuan 哲远
'zhen'hai 镇海
'zhen'qiang 甄强
'zhen'tan 侦探
'zhen'tian 真田
'zhen'xiang 振翔
'zheng'qi'niao'bao 蒸汽鸟报
'zheng'suo'zhi'shi 政所执事
'zheng'zai'zheng'ji'dian'ming'de'dian'zhu 正在征集店名的店主
'zhi'an'guan 治安官
'zhi'cun'kan'bing'wei 志村勘兵卫
'zhi'cun'wu 志村屋
'zhi'hua 志华
'zhi'jiang'jiu'zheng 直江久政
'zhi'la 芝拉
'zhi'ping 治平
'zhi'qiong 志琼
'zhi'ruo 芷若
'zhi'shi 知世
'zhi'shi'dai 执事代
'zhi'shu 智树
'zhi'sui 志穗
'zhi'wu'xue'jia 植物学家
'zhong'li 钟离
'zhong'lin 仲林
'zhong'qian'li 柊千里
'zhong'xi 中西
'zhong'ye 中野
'zhong'yun 重云
'zhong'zuo 重佐
'zhu'bao'shang'ren 珠宝商人
'zhu'dian'fang 珠钿舫
'zhu'lao'ban 朱老板
'zhu'lao'ban'dian'xiao'er 朱老板店小二
'zhu'te 朱特
'zhu'yu 茱萸
'zhu'zi 竺子
'zi'cheng 自称
'zi'wei 紫微
'zong'wu'si'zhuan'yuan 总务司专员
'zui'ren 罪人
'zuo'jia 作家
'zuo'teng 佐藤
'zuo'zuo'mu 佐佐木
