'ba'wu'jian'dao'shi'er'si 八无间道十二思
'yu'shan'yi'zhi'shi'zhi'jian 与善一至十之间
'yu'shang'ci'deng'liu'shi'zhong 于上此等六时中
'yu'shuo'jian'duan'ji'hei'ye 余说见断即黑业
'yu'shuo'zheng'fa'yin'mo'she 余说正法隐没舍
'yu'wu'fu'yin'wu'deng'qi 欲无覆因无等起
'yu'xiang'qian'wang'fei'xing'chu 欲想前往非行处
'yu'you'lou'shan'bu'shan'si 余有漏善不善四
'yu'you'xue'deng'er'er'wu 余有学等二二五
'yu'yu'shou'ye'you'er'zhong 余欲受业有二种
'yu'zhang'wu'qu'zhong'jie'you 余障五趣中皆有
'yu'zhe'yi'san'er'yuan'man 余者以三而圆满
'yu'zhi'xiang'fan'wei'miao'xing 与之相反为妙行
'yue'jing'zhong'sheng'zhe'wei'mu 月经中生者为母
'zan'xing'sheng'fo'jing'jin'du 赞星胜佛精进度
'zao'duo'wu'jian'hai'yi'zeng 造多无间害亦增
'zao'wu'jian'zui'fei'ji'sheng 造无间罪非即生
'zao'wu'jian'zui'ze'wu'fa 造无间罪则无法
'ze'hui'yan'shuo'wang'yu'gu 则会言说妄语故
'ze'yi'she'bie'jie'tuo'jie 则已舍别解脱戒
'ze'yi'sheng'qi'dui'zhi'fa 则依生起对治法
'zeng'shang'deng'liu'yi'shu'guo 增上等流异熟果
'zeng'shang'wei'zuo'dao'deng'gu 增上未作道等故
'zhai'jie'sha'mi'yu'bi'qiu 斋戒沙弥与比丘
'zheng'zhi'nian'er'yi'gen'jie 正知念二意根戒
'zheng'zuo'xian'ju'wei'she'jian 正作现具未舍间
'zhi'fen'yu'yin'you'cha'bie 支分与因有差别
'zhi'san'chan'jian'zhi'shan'ye 至三禅间之善业
'zhong'jie'cheng'shu'wu'jian'yu 中劫成熟无间狱
'zhong'jie'ze'you'li'suo'shou 中戒则由力所受
'zhu'ye'cheng'shu'bu'dong'gu 诸业成熟不动故
'zhuan'sheng'yu'se'zhu'tian'ren 转生欲色诸天人
'zi'di'da'zhong'zuo'wei'yin 自地大种作为因
'zi'di'zhi'ye'guo'wei'si 自地之业果为四
'zi'xing'bu'xiang'ying'xing'fa 自性不相应行法
'zui'chu'nai'da'shi'jia'fo 最初乃大释迦佛
'zui'hou'er'zhe'sui'xin'jie 最后二者随心戒
'zui'hou'you'zhe'zhi'pu'sa 最后有者之菩萨
'zuo'li'hai'guo'li'ji'shou 作利害果立即受
