'a'da'ri'ge 阿达日格
'gan'cao'dian 甘草店
'gan'dao'shui'ni'sha'jiang 干捣水泥砂浆
'gan'he 甘河
'gan'he'zi 甘河子
'gan'huo'che 赶火车
'gan'jia'ba 甘家坝
'gan'jie'feng 干接缝
'gan'long'xian 赣龙线
'gan'mi'du 干密度
'gan'shui 赶水
'gan'suo'xi'shu 干缩系数
'gan'suo'ying'bian 干缩应变
'gan'tang 干塘
'gan'tu'zhi'liang 干土质量
'gan'wu'xian 干武线
'gan'xi'gou 干溪沟
'gan'yue'gao'su'gong'lu 赣粤高速公路
'gan'zhou'dong 赣州东
'gang'ban 钢板
'gang'gui 钢轨
'gang'gui'bao'bian'ji 钢轨刨边机
'gang'gui'ca'shang 钢轨擦伤
'gang'gui'da'biao'ji 钢轨打标记
'gang'gui'da'mo 钢轨打磨
'gang'gui'da'mo'che 钢轨打磨车
'gang'gui'da'mo'ji 钢轨打磨机
'gang'gui'di'jie'tou 钢轨低接头
'gang'gui'duan'lie 钢轨断裂
'gang'gui'gang 钢轨钢
'gang'gui'geng'huan 钢轨更换
'gang'gui'geng'huan'ji 钢轨更换机
'gang'gui'gong'zuo'bian 钢轨工作边
'gang'gui'gu'qu 钢轨鼓曲
'gang'gui'han'bu 钢轨焊补
'gang'gui'han'feng 钢轨焊缝
'gang'gui'han'jie 钢轨焊接
'gang'gui'han'jie'che 钢轨焊接车
'gang'gui'ji'chu'mo'liang 钢轨基础模量
'gang'gui'jia're 钢轨加热
'gang'gui'jia're'qi 钢轨加热器
'gang'gui'jiao'zhi 钢轨矫直
'gang'gui'jie'tou 钢轨接头
'gang'gui'la'shen'qi 钢轨拉伸器
'gang'gui'lian'jie 钢轨连接
'gang'gui'lie'wen 钢轨裂纹
'gang'gui'luo'chui'shi'yan 钢轨落锤试验
'gang'gui'luo'shuan'kong 钢轨螺栓孔
'gang'gui'mo'hao 钢轨磨耗
'gang'gui'pa'xing 钢轨爬行
'gang'gui'pi'lao 钢轨疲劳
'gang'gui'pu'she 钢轨铺设
'gang'gui're'chu'li 钢轨热处理
'gang'gui'shang'sun 钢轨伤损
'gang'gui'suo'ding 钢轨锁定
'gang'gui'tan'shang 钢轨探伤
'gang'gui'tan'shang'che 钢轨探伤车
'gang'gui'tan'shang'yi 钢轨探伤仪
'gang'gui'tu'you 钢轨涂油
'gang'gui'tu'you'qi 钢轨涂油器
'gang'gui'tui'tu'ji 钢轨推凸机
'gang'gui'tui'tu'qi 钢轨推凸器
'gang'gui'wen'du 钢轨温度
'gang'gui'xiu'shi 钢轨锈蚀
'gang'gui'ying'li 钢轨应力
'gang'gui'zhe'duan 钢轨折断
'gang'gui'zu'he'zhe'cha 钢轨组合辙叉
'gang'gui'zuan'kong'qi 钢轨钻孔器
'gang'jiao'xian 钢绞线
'gang'jin 钢筋
'gang'jin'ju'duan'ji 钢筋锯断机
'gang'jin'long 钢筋笼
'gang'jin'tong 钢筋砼
'gang'kou'zhen 港口镇
'gang'liang'fu'shi'lie'wen 钢梁腐蚀裂纹
'gang'liang'jia'gu 钢梁加固
'gang'liang'pi'lao'sun'shang 钢梁疲劳损伤
'gang'liang'you'qi 钢梁油漆
'gang'si'shua'chu'xiu 钢丝刷除锈
'gang'xing'ji'ceng 刚性基层
'gang'xing'kou'jian 刚性扣件
'gao'dian'pu 高店铺
'gao'jia'hui 高家会
'gao'jia'lie'che 高架列车
'gao'jia'qiao 高架桥
'gao'jia'sui 高家岁
'gao'jia'tie'lu 高架铁路
'gao'jie 高界
'gao'liang'pu 高梁铺
'gao'lin'tun 高林屯
'gao'lou'fang 高楼房
'gao'lu'zi 高炉子
'gao'mi'huo'che'zhan 高密火车站
'gao'mi'nan'zhan 高密南站
'gao'ping'pu 高坪铺
'gao'shan'zi 高山子
'gao'su 高速
'gao'su'dao'cha 高速道岔
'gao'su'gong'lu 高速公路
'gao'su'gong'si 高速公司
'gao'su'gui'jian'che 高速轨检车
'gao'tai'shan 高台山
'gao'tan 高滩
'gao'tan'zi 高潭子
'gao'xin'xian 高新线
'gao'ya'heng'dan 高压横担
'gao'ya'jie'xian'zhu 高压接线柱
'gao'ya'xuan'ping 高压悬瓶
'gao'ya'yin'xia'xian 高压引下线
'gao'ya'zhen'ping 高压针瓶
'gao'ye'xian 高液限
'gao'ying 郜营
'gao'zhu'ban 高驻办
'ge'gen'miao 葛根庙
'ge'kai'she'bei 隔开设备
'ge'kou 格口
'ge'lao'ba 阁老坝
'ge'li'kai'guan'tuo'jia 隔离开关托架
'ge'li'ping 格里坪
'ge'li'she'shi 隔离设施
'ge'li'zha'lan'da'xiu 隔离栅栏大修
'ge'sheng'qiang 隔声墙
'ge'yi'tou 格以头
'ge'zhi 革志
'ge'zi'dong 鸽子洞
'gen'long 根龙
'gen'zong'chu'zhan'diao'che 跟踪出站调车
'geng'jia'tun 耿家屯
'geng'po 耿坡
'gong'chang'qi 工厂漆
'gong'cheng'gai'yu'suan 工程概预算
'gong'cheng'jian'li'fei 工程监理费
'gong'cheng'jian'zao'shi 工程建造师
'gong'cheng'jing'ji 工程经济
'gong'cheng'ju 工程局
'gong'cheng'li'jing 公称粒径
'gong'cheng'liang'qing'dan 工程量清单
'gong'cheng'nian'bao 工程年报
'gong'cheng'su'ying'che 工程宿营车
'gong'cheng'yue'bao 工程月报
'gong'cheng'zao'jia'shi 工程造价师
'gong'di'qi 工地漆
'gong'dian'che 供电车
'gong'dian'duan 供电段
'gong'ji'ban 公积坂
'gong'jia'tai 贡家台
'gong'li'biao 公里标
'gong'li'pai 公里牌
'gong'lu 公路
'gong'lu'gong'cheng'ding'e 公路工程定额
'gong'lu'guan'li'duan 公路管理段
'gong'lu'ji'ben'jian'she 公路基本建设
'gong'miao'zi 公庙子
'gong'nong'hu 工农湖
'gong'qu 工区
'gong'shi'qiao 拱式桥
'gong'wu 工务
'gong'wu'an'quan'gui'ze 工务安全规则
'gong'wu'bu'men 工务部门
'gong'wu'duan 工务段
'gong'wu'fen'duan 工务分段
'gong'wu'she'bei'tai'zhang 工务设备台帐
'gong'wu'xiu'pei'chang 工务修配厂
'gong'xing'hu'po 拱型护坡
'gong'yi'dong 巩义东
'gong'ying'zi 公营子
'gong'zhu'geng 公主埂
'gong'zuo'ti'shi 工作提示
'gong'zuo'zhi'ling 工作指令
'gou'bang'zi 沟帮子
'gou'ge'zhuang 苟各庄
'gou'hai'xian 沟海线
'gou'lin 构林
'gou'luo'shuan 钩螺栓
'gou'zao'gui'feng 构造轨缝
'gu'cheng'wan 古城湾
'gu'dao 股道
'gu'dao'hao'ma 股道号码
'gu'dian'zi 孤店子
'gu'ding'qu 固定区
'gu'dong 谷硐
'gu'dong 古东
'gu'er'tu 古尔图
'gu'jia'bao 姑家堡
'gu'jia'hu'po 骨架护坡
'gu'jia'tuo 古家沱
'gu'jia'zi 孤家子
'gu'jin 箍筋
'gu'kou'he 谷口河
'gu'li'jin 古里金
'gu'lu'man'han 古鲁满汗
'gu'sai 鼓腮
'gu'shan'chuan 孤山川
'gu'shan'zi 孤山子
'gu'ti'ti'ji'lv 固体体积率
'gu'yuan 菇园
'gu'zhai 古砦
'gua'jiao'tang 挂角塘
'gua'lan'shi'gong 挂篮施工
'gua'wang'po'mian'fang'hu 挂网坡面防护
'guan'chao 冠朝
'guan'cun'ba 关村坝
'guan'gao 官高
'guan'ge 观阁
'guan'ji 管基
'guan'jie'biao 管界标
'guan'li'duan 管理段
'guan'li'she'shi 管理设施
'guan'men'che 关门车
'guan'mu'qie'ge'ji 灌木切割机
'guan'sha'fa 灌砂法
'guan'zhai 关寨
'guan'zi'jing 官字井
'guang'da'xian 广大线
'guang'de'hao 广德号
'guang'jiu'xian 广九线
'guang'ju'guang'duan 广局广段
'guang'nan'wei 广南卫
'guang'ning'si 广宁寺
'guang'pu'xian 广普线
'guang'san'xian 广三线
'guang'shen'tie'lu 广深铁路
'guang'sheng 广盛
'guang'shun'chang 广顺场
'guang'tie'heng'duan 广铁衡段
'guang'tie'sha'duan 广铁沙段
'guang'wei'cun 广卫村
'guang'yuan'dong 广元东
'guang'yuan'gang'jin 光圆钢筋
'guang'yuan'nan 广元南
'guang'yue'xian 广岳线
'guang'zhou'bei 广州北
'guang'zhou'dong 广州东
'guang'zhou'huan'cheng'dong'xian 广州环城东线
'guang'zhou'xi 广州西
'guang'zhu'dong'xian 广珠东线
'gui'dao'an'keng 轨道暗坑
'gui'dao'bian'xing 轨道变形
'gui'dao'bu'ping'shun 轨道不平顺
'gui'dao'can'shu 轨道参数
'gui'dao'can'yu'bian'xing 轨道残余变形
'gui'dao'che 轨道车
'gui'dao'cheng'zai'li 轨道承载力
'gui'dao'dian'lu 轨道电路
'gui'dao'dong'li'xue 轨道动力学
'gui'dao'fang'xiang 轨道方向
'gui'dao'fu'shu'she'bei 轨道附属设备
'gui'dao'gong'cheng 轨道工程
'gui'dao'gu'chu 轨道鼓出
'gui'dao'ji'he'xing'wei 轨道几何形位
'gui'dao'ji'xie 轨道机械
'gui'dao'jian'ce 轨道检测
'gui'dao'jian'ce'ji'ju 轨道检测机具
'gui'dao'jian'ce'she'bei 轨道检测设备
'gui'dao'jian'cha'che 轨道检查车
'gui'dao'jian'cha'xiao'che 轨道检查小车
'gui'dao'jie'gou 轨道结构
'gui'dao'jie'gou'qiang'du 轨道结构强度
'gui'dao'kuang'jia'gang'du 轨道框架刚度
'gui'dao'lei'xing 轨道类型
'gui'dao'li'lun 轨道理论
'gui'dao'li'xue 轨道力学
'gui'dao'ming'keng 轨道明坑
'gui'dao'ping'che 轨道平车
'gui'dao'pu'she 轨道铺设
'gui'dao'qian'hou'gao'di 轨道前后高低
'gui'dao'qiang'du 轨道强度
'gui'dao'qiang'du'ji'suan 轨道强度计算
'gui'dao'she'ji 轨道设计
'gui'dao'shi'gong 轨道施工
'gui'dao'shi'gong'ji'xie 轨道施工机械
'gui'dao'shi'xiao 轨道失效
'gui'dao'shi'yan 轨道试验
'gui'dao'shi'yan 轨道实验
'gui'dao'shui'ping 轨道水平
'gui'dao'shui'ping'chi 轨道水平尺
'gui'dao'tan'pu'ji 轨道摊铺机
'gui'dao'tie'dao'gui'dao 轨道铁道轨道
'gui'dao'yang'hu'biao'zhun 轨道养护标准
'gui'dao'ying'li 轨道应力
'gui'dao'zhi'liang'zhi'shu 轨道质量指数
'gui'dao'zhuang'tai 轨道状态
'gui'dao'zu'li 轨道阻力
'gui'de'xiang 归德乡
'gui'di'beng'lie 轨底崩裂
'gui'di'po 轨底坡
'gui'ding 轨顶
'gui'duan'beng'lie 轨端崩裂
'gui'duan'xue'jiao 轨端削角
'gui'feng 轨缝
'gui'feng'tiao'zheng 轨缝调整
'gui'feng'tiao'zheng'qi 轨缝调整器
'gui'jian'che 轨检车
'gui'jian'che'ping'fen 轨检车评分
'gui'jie 轨节
'gui'jie'luo'shuan 轨节螺栓
'gui'ju 轨距
'gui'ju'jia'kuan 轨距加宽
'gui'ju'la'gan 轨距拉杆
'gui'lin'bei 桂林北
'gui'liu'he 归流河
'gui'pai 轨排
'gui'pai'chang 轨排场
'gui'pai'che 轨排车
'gui'pai'ji'di 轨排基地
'gui'pai'yun'song'che 轨排运送车
'gui'pai'zhuang'yun 轨排装运
'gui'pai'zu'zhuang 轨排组装
'gui'pai'zu'zhuang'ji 轨排组装机
'gui'tou'bo'li 轨头剥离
'gui'tou'bo'wen'mo'sun 轨头波纹磨损
'gui'tou'bo'xing'mo'sun 轨头波形磨损
'gui'tou'ce'mian'mo'sun 轨头侧面磨损
'gui'tou'chui'zhi'mo'sun 轨头垂直磨损
'gui'tou'chui'zhi'pi'lie 轨头垂直劈裂
'gui'tou'diao'kuai 轨头掉块
'gui'tou'fa'lie 轨头发裂
'gui'tou'fei'bian 轨头肥边
'gui'tou'jian'xi 轨头间隙
'gui'tou'shui'ping'pi'lie 轨头水平劈裂
'gui'tou'wei'xi'lie'wen 轨头微细裂纹
'gui'tou'ya'kui 轨头压溃
'gui'tou'zheng'xing 轨头整形
'gui'tou'zong'mo'sun 轨头总磨损
'gui'xia'ji'chu 轨下基础
'gui'xing 轨型
'gui'xing'shi'qi'zhong'ji 轨行式起重机
'gui'yang'bei 贵阳北
'gui'yang'xi 贵阳西
'gui'yao'pi'lie 轨腰劈裂
'gui'zhen'ban 轨枕板
'gui'zhen'chou'huan'ji 轨枕抽换机
'gui'zhen'geng'huan 轨枕更换
'gui'zhen'geng'huan'ji 轨枕更换机
'gui'zhen'pu'she 轨枕铺设
'gui'zhen'shang'sun 轨枕伤损
'gui'zhen'xiu'bu 轨枕修补
'gui'zun 贵遵
'guo'cha'su'du 过岔速度
'guo'cha'xian 郭查线
'guo'chao'gao 过超高
'guo'dao 国道
'guo'er'ben'ao'bao 郭尔奔敖包
'guo'fen'xiang 过分相
'guo'guang 国光
'guo'he 果河
'guo'jia'ying 郭家营
'guo'lei'zhuang 郭磊庄
'ha'chuan 哈川
'ha'da'yang 哈达阳
'ha'er'ba'ling 哈尔巴岭
'ha'er'bin'ji'chang'lu 哈尔滨机场路
'ha'er'bin'tie'lu'ju 哈尔滨铁路局
'ha'er'gai 哈尔盖
'ha'fu 哈福
'ha'huan'xian 哈环线
'ha'ju 哈局
'ha'ju'qi'duan 哈局齐段
'ha'ju'san'duan 哈局三段
'ha'la'gou 哈拉沟
'ha'la'hei 哈拉黑
'ha'la'su 哈拉苏
'ha'li'tu 哈力图
'ha'ma'tang 蛤蟆塘
'ha'ri'nu'la 哈日努拉
'ha'ye'hu'tong 哈业胡同
'hai'an'nan 海安南
'hai'nan'xi'huan'xian 海南西环线
'hai'ning 海宁
'hai'shi'wan 海石湾
'hai'tuo'zi 海坨子
'han'chang'xian 邯长线
'han'dan'xian 汉丹线
'han'dong 涵洞
'han'fu'wan 韩府湾
'han'gou'zhen 汉沟镇
'han'gui'chang 焊轨厂
'han'gui'ji 焊轨机
'han'huang 汉黄
'han'ji'xian'liao'yan'duan 邯济线聊晏段
'han'jia'ling 韩家岭
'han'jia'lou 韩家楼
'han'jie'chang'gang'gui 焊接长钢轨
'han'jie'zhe'cha 焊接辙叉
'han'ling 寒岭
'han'ni'liang 含泥量
'han'shui'lv 含水率
'han'su'lu 汗苏鲁
'han'wang'shan 汉王山
'han'xiu'gang'gui 焊修钢轨
'hang'shi'dao'chuang 夯实道床
'hang'shi'ji'xie 夯实机械
'hang'yong'xian 杭甬线
'hang'zhou'xian 杭州线
'hao'li'tao'gao 好力套高
'hao'liang'he 浩良河
'hao'lu'ku 好鲁库
'he'an 合安
'he'bei 鹤北
'he'bei 核备
'he'bei'gai'suan 核备概算
'he'bei'zuo 合背座
'he'chao'wu 合巢芜
'he'cheng'gui'zhen 合成轨枕
'he'cheng'ji'pei 合成级配
'he'cheng'po'du 合成坡度
'he'chuang'chong'shua 河床冲刷
'he'chun 河唇
'he'cun 和村
'he'da 鹤大
'he'diao'fang'hu'shi'xiu 河调防护失修
'he'dui'xian'che 核对现车
'he'er'hong'de 赫尔洪得
'he'fei'xi 合肥西
'he'gang'xian 鹤岗线
'he'ji 合济
'he'jia'dian 贺家店
'he'jian'xi 河间西
'he'jie 合界
'he'jin'cui'huo'gui 合金淬火轨
'he'jin'gang'gui 合金钢轨
'he'jin'gui 合金轨
'he'jing 和静
'he'kou'nan 河口南
'he'liu 合流
'he'luo'ying 河洛营
'he'ma'ling 荷马岭
'he'mao'xian 河茂线
'he'ning 合宁
'he'ri'si'tai 贺日斯台
'he'san'jia 何三家
'he'shang 核伤
'he'shi'ba 河市坝
'he'tong'duan 合同段
'he'tong'gong'cheng 合同工程
'he'tong'guan'li 合同管理
'he'tong'huang 合铜黄
'he'tong'wen'jian 合同文件
'he'wan'zi 河湾子
'he'xu 合徐
'he'ye'hua 荷叶花
'he'zao'che 合造车
'he'zi'mi'du'yi 核子密度仪
'hei'cheng'zi 黑城子
'hei'chong'tan 黑冲滩
'hei'gang 黑岗
'hei'jing 黑井
'hei'lao'wan 黑老湾
'hei'long'yan 黑龙堰
'hei'sha'tu 黑沙土
'hei'shi'mu 黑石木
'hei'tai 黑台
'hei'tu'ao 黑土凹
'hei'wang 黑旺
'heng'che 横车
'heng'di'ying 恒地营
'heng'duan'mian'she'ji 横断面设计
'heng'kun 衡昆
'heng'ma'xian 横麻线
'heng'po'du 横坡度
'heng'xi'liang 横系梁
'heng'xiang'biao'xian 横向标线
'heng'xiang'pai'shui'guan 横向排水管
'hong'an'xiang 洪安乡
'hong'bai'chang 红白场
'hong'deng 红灯
'hong'feng 红峰
'hong'feng'ling 红峰岭
'hong'guang 红光
'hong'hua'gou 红花沟
'hong'hua'tang 红花塘
'hong'hui'xian 红会线
'hong'jia'zui 洪家嘴
'hong'liu'he 红柳河
'hong'qi'ying 红旗营
'hong'qing 宏庆
'hong'se'xu'ke'zheng 红色许可证
'hong'sha'ba 红砂坝
'hong'sha'xian 红砂岘
'hong'shan 洪善
'hong'shui'biao'ji 洪水标记
'hong'shui'yan'mo 洪水淹没
'hong'tu'gou 红土沟
'hong'xian'tai 红岘台
'hong'ya 红崖
'hong'yan 红彦
'hou'ba 厚坝
'hou'feng 侯风
'hou'guan'shan 后官山
'hou'jia'ping 侯家坪
'hou'xi'xian 侯西线
'hou'yue'xian 侯月线
'hou'zhai 后寨
'hou'zhang'zi 侯杖子
'hu'bao 呼保
'hu'bei 呼北
'hu'bei'ju'li 护背距离
'hu'er'hu'la 虎尔虎拉
'hu'gui 护轨
'hu'han'xian'he'ning'duan 沪汉线合宁段
'hu'huo 沪霍
'hu'ji'er 呼吉尔
'hu'ji'tu 忽吉图
'hu'jia'dian 胡家店
'hu'jia'ta 呼家塔
'hu'ju 呼局
'hu'ju'bao'duan 呼局包段
'hu'kun'tie'lu 沪昆铁路
'hu'kun'xian 沪昆线
'hu'lan 护栏
'hu'lan'zuo 护栏座
'hu'lu'dao'bei 葫芦岛北
'hu'lu'gong'ren 护路工人
'hu'lu'lian'fang 护路联防
'hu'lu'si'tai 呼鲁斯太
'hu'nie 沪聂
'hu'po 护坡
'hu'po'dao 护坡道
'hu'rui 沪瑞
'hu'rui'gao'su'gong'lu 沪瑞高速公路
'hu'shen'ha 虎什哈
'hu'shi 虎市
'hu'shi 琥市
'hu'tong 护筒
'hu'tong'li'jiao 互通立交
'hu'yuan 呼源
'hu'zhou'nan 湖州南
'hua'chu 化处
'hua'chuang 滑窗
'hua'chuang'ban 滑床板
'hua'jia'shan 华家山
'hua'jia'zhuang 花家庄
'hua'lou'ba 花楼坝
'hua'mo'tan'pu'ji 滑模摊铺机
'hua'peng'zi 花棚子
'hua'pi'chang 桦皮厂
'hua'po'chu'li 滑坡处理
'hua'po'fang'zhi 滑坡防治
'hua'qiao 画桥
'hua'tu'gu'la 花吐古拉
'hua'xian'nan 滑县南
'huai'an'nan 淮安南
'huai'kou 淮口
'huai'rou'bei 怀柔北
'huan'bao'jian'li 环保监理
'huan'chang 换长
'huan'dao 环刀
'huan'he'qu'xian 缓和曲线
'huan'jing'bao'hu'fa 环境保护法
'huan'jing'bao'hu'fang'zhen 环境保护方针
'huan'jing'gong'cheng'xue 环境工程学
'huan'jing'ke'xue 环境科学
'huan'jing'xie'tiao 环境协调
'huan'jing'zao'sheng'biao'zhun 环境噪声标准
'huan'suan'xian'lu'chang'du 换算线路长度
'huan'tian 换填
'huan'xi'te'xing 缓吸特性
'huan'xin'tian 换新天
'huang'cao'chang 黄草场
'huang'de 皇德
'huang'deng 黄灯
'huang'gu'tun'xian 皇姑屯线
'huang'gua'yuan 黄瓜园
'huang'hua'tong 黄花筒
'huang'jia'ba 黄家坝
'huang'jia'tun 黄甲屯
'huang'lian 黄磏
'huang'lian'guan 黄联关
'huang'ling'xi'an 黄陵西安
'huang'lu'dian 皇路店
'huang'nan'xian 黄南线
'huang'ni'he 黄泥河
'huang'ni'wai'zi 黄泥崴子
'huang'sha'he 黄沙河
'huang'shi'dong 黄石东
'huang'shi'dong'xian 黄石东线
'huang'shui'tang 黄水塘
'huang'song'dian 黄松甸
'huang'ta'tao 黄塔桃
'huang'tong 黄桶
'huang'xu'zhen 黄许镇
'huang'yang'cheng 黄羊城
'huang'yang'si 黄阳司
'huang'yang'tan 黄羊滩
'huang'yang'wan 黄羊湾
'huang'yang'zhen 黄羊镇
'hui'chang'zhi'xian 珲长支线
'hui'hang 徽杭
'hui'liu'he 汇流河
'hui'liu'xian 回流线
'hui'liu'xian'bi'jia 回流线臂架
'hui'long'ba 回龙坝
'hui'nan 汇南
'hui'tang'he 汇塘河
'hui'teng'liang 灰腾梁
'hui'tu'dian'ceng 灰土垫层
'hui'yi'hui'bao'cai'liao 会议汇报材料
'hui'zhou'xi 惠州西
'hui'zong'zong'gai'suan 汇总总概算
'hui'zong'zong'he'gai'suan 汇总综合概算
'hun'bai'xian 浑白线
'hun'he'lie'che 混合列车
'hun'he'lu'mian 混合路面
'hun'jiang'xi 浑江西
'hun'ning'tu 混凝土
'hun'ning'tu'dang'tu'qiang 混凝土挡土墙
'hun'ning'tu'guan'zhu'zhuang 混凝土灌注桩
'hun'ning'tu'hu'lan 混凝土护栏
'hun'ning'tu'lie'wen 混凝土裂纹
'hun'ning'tu'pei'he'bi 混凝土配合比
'hun'ning'tu'zhen 混凝土枕
'hun'shui'tang 浑水塘
'huo'che 货车
'huo'che'dan'ji 货车单机
'huo'dong'cha'xin 活动岔心
'huo'gui 货规
'huo'ju'gou 火炬沟
'huo'lian'zhai 火连寨
'huo'long'gou'xian 火龙沟线
'huo'pu 火铺
'huo'shao'ba 火烧坝
'huo'shao'zhai 火烧寨
'huo'wu'lie'che 货物列车
'huo'wu'xian 货物线
'huo'yan'chu'xiu 火焰除锈
'huo'yun'jian'cha 货运检查
'huo'yun'piao'ju 货运票据
'huo'yun'wu'ding'ban'lie 货运五定班列
'ji'an'nan 吉安南
'ji'ben'bi'se'fa 基本闭塞法
'ji'ben'gui 基本轨
'ji'bi 殛毙
'ji'ceng 基层
'ji'cha 挤岔
'ji'chang 计长
'ji'chang 基长
'ji'chang'zhuan'yong'gong'lu 机场专用公路
'ji'che'cao'zuo'gui'cheng 机车操作规程
'ji'che'ku 机车库
'ji'che'si'ji 机车司机
'ji'che'xin'hao 机车信号
'ji'dian'she'shi 机电设施
'ji'dong'ya'dao'che 机动压道车
'ji'er'xian 集二线
'ji'he'can'shu 几何参数
'ji'he'gao'su'gong'lu 济菏高速公路
'ji'hua'ren'wu'shu 计划任务书
'ji'jia'gou 纪家沟
'ji'jian'ban'yun 计件搬运
'ji'jiang'he'chu 计将何出
'ji'jie'ying'xiang'xi'shu 季节影响系数
'ji'jing'xian 吉井线
'ji'ju'ji'duan 济局济段
'ji'ju'ji'duan'qing 济局济段青
'ji'keng'kou 际坑口
'ji'keng'tu'fang 基坑土方
'ji'lan'tai 吉兰泰
'ji'lan'tai'xian 吉兰泰线
'ji'liang'gong'cheng'shi 计量工程师
'ji'liang'zhi'fu 计量支付
'ji'liang'zhi'fu'zheng'shu 计量支付证书
'ji'lin'bei 吉林北
'ji'lin'xi 吉林西
'ji'ling 芨岭
'ji'liu'cao 急流槽
'ji'nan'dong'zhan 济南东站
'ji'nan'rao'cheng 济南绕城
'ji'nan'tie'lu'ju 济南铁路局
'ji'nan'xian 济南线
'ji'ning'nan 集宁南
'ji'pei'li'shi 级配砾石
'ji'pei'sui'shi'ji'ceng 级配碎石基层
'ji'piao 季票
'ji'qie'xiao 挤切销
'ji'qing'gao'su'gong'lu 济青高速公路
'ji'ren'xin'shen 悸人心神
'ji'shi 击实
'ji'shi'ban'yun 计时搬运
'ji'shu 吉舒
'ji'shu'xian 吉舒线
'ji'shu'zhi'da'lie'che 技术直达列车
'ji'shu'zuo'ye'guo'cheng 技术作业过程
'ji'shui'jing 集水井
'ji'suan'ji'lian'suo 计算机联锁
'ji'tai 基太
'ji'tong'da'duan 集通大段
'ji'tong'xian 集通线
'ji'wai'ting'che 机外停车
'ji'wu'duan 机务段
'ji'xian'nan 蓟县南
'ji'xie'shi 机械室
'ji'xie'xin'hao 机械信号
'ji'xin'he 吉新河
'ji'you'xian 既有线
'ji'you'xian'ce'liang 既有线测量
'ji'zhong'chang'ban 集中厂拌
'jia'bao 甲堡
'jia'chuan 嘉川
'jia'feng 嘉峰
'jia'fu'xian 佳富线
'jia'gong'liao 甲供料
'jia'he'zhai 夹河寨
'jia'jia'jie 贾家街
'jia'jin'dang'tu'qiang 加筋挡土墙
'jia'jin'tu 加筋土
'jia'jing'xian 嘉镜线
'jia'lu 甲路
'jia'mei'zhan 加煤站
'jia'su'tui'song'xin'hao 加速推送信号
'jia'xin'zi 夹心子
'jian'ce'ji'shu 检测技术
'jian'che'yuan 检车员
'jian'chi'pu 涧池铺
'jian'ding'zhong'xin 鉴定中心
'jian'duan'gan 尖端杆
'jian'duan'ji'pei 间断级配
'jian'ge'tie 间隔铁
'jian'gui 尖轨
'jian'gui 碱柜
'jian'gui'bao'hu'qi 尖轨保护器
'jian'gui'bu'qiang'ban 尖轨补强板
'jian'gui'chang'du 尖轨长度
'jian'gui'dong'cheng 尖轨动程
'jian'gui'gen'duan 尖轨跟端
'jian'gui'hu'gui 尖轨护轨
'jian'gui'jian'duan 尖轨尖端
'jian'gui'li'lun'jian'duan 尖轨理论尖端
'jian'gui'zhuan'zhe'qi 尖轨转辙器
'jian'kong 检孔
'jian'kong'she'shi 监控设施
'jian'li'gong'cheng'shi 监理工程师
'jian'li'jian'ce'wang 监理检测网
'jian'li'li'lun 监理理论
'jian'li'ri'ji 监理日记
'jian'li'ri'zhi 监理日志
'jian'lu 歼戮
'jian'lue'shi'yan 简略试验
'jian'mei'yi'ti 剑眉一剔
'jian'qiao 笕桥
'jian'she 建设
'jian'su'ding 减速顶
'jian'su'qi 减速器
'jian'su'tui'song'xin'hao 减速推送信号
'jian'su'xin'hao 减速信号
'jian'xiu 鉴修
'jian'zhu'xian'jie 建筑限界
'jiang'jia'ling 江家岭
'jiang'jun'he 将军河
'jiang'mi'feng 江密峰
'jiang'qi'pian'shi 浆砌片石
'jiang'qi'pian'shi'bian'gou 浆砌片石边沟
'jiang'shi 江市
'jiang'suo'tian 江所田
'jiang'xi'cun 江西村
'jiao'ban'lou 搅拌楼
'jiao'cha'du'xian 交叉渡线
'jiao'fen'dao'cha 交分道岔
'jiao'feng 绞缝
'jiao'gong'yan'shou 交工验收
'jiao'ji'ke'zhuan 胶济客专
'jiao'jia 脚架
'jiao'jie'jue'yuan'jie'tou 胶结绝缘接头
'jiao'liu'dian'yuan'ping 交流电源屏
'jiao'liu'gong'dian'zhi 交流供电制
'jiao'liu'xian 焦柳线
'jiao'tong'an'quan'she'shi 交通安全设施
'jiao'tong'biao'zhi 交通标志
'jiao'tong'can'shu 交通参数
'jiao'tong'gong'cheng 交通工程
'jiao'tong'gong'cheng'she'shi 交通工程设施
'jiao'tong'guan'zhi 交通管制
'jiao'tong'gui'hua'she'ji 交通规划设计
'jiao'tong'jian'kong 交通监控
'jiao'tong'liang 交通量
'jiao'tong'zao'sheng 交通噪声
'jiao'xin'tie'lu 胶新铁路
'jiao'xin'xian 胶新线
'jiao'zhi'gang'gui 矫直钢轨
'jiao'zhi'liu'ji'dian'qi 交直流继电器
'jiao'zhou'bei'zhan 胶州北站
'jiao'zhou'huo'che'zhan 胶州火车站
'jie'che 接车
'jie'che'jin'lu 接车进路
'jie'che'xin'hao 接车信号
'jie'chu'bi'se 解除闭塞
'jie'chu'wang'gong'qu 接触网工区
'jie'di'bao'jing 接地报警
'jie'dian'bi'he 接点闭合
'jie'dian'duan'kai 接点断开
'jie'dian'xi'tong 接点系统
'jie'dian'ya'li 接点压力
'jie'fa'lie'che 接发列车
'jie'fu'bang 界阜蚌
'jie'ji 街基
