'ai'shi'zu 爱士卒
'jie'ruo'kong'you'wu'suo'yi 皆若空游无所依
'jie'sheng'han'shu 皆生寒树
'jie'xia'zhi 皆下之
'jie'xing'qi'zhang'li 皆刑其长吏
'jie'yi'shi'qi 皆已失期
'jie'you'xi'qi 皆有喜气
'jie'zhi'mu'chen'sheng 皆指目陈胜
'jin'an 近岸
'jin'an'zai 今安在
'jin'cao'yi'yong'bai'wan'zhi'zhong 今操已拥百万之众
'jin'cheng'yi'wu'zhong'zha'zi'cheng'gong'zi'fu'su'xiang'yan 今诚以吾众诈自称公子扶苏项燕
'jin'dang'yuan'li 今当远离
'jin'huo'wen'wu'zui 今或闻无罪
'jin'jin'zhong'yan 进尽忠言
'jin'lin'you'yong 锦鳞游泳
'jin'mao'diao'qiu 锦帽貂裘
'jin'nan'fang'yi'ding 今南方已定
'jin'ri'bu'neng'wang 尽日不能忘
'jin'ri'shi'ye 今日是也
'jin'ri'ting'jun'ge'yi'qu 今日听君歌一曲
'jin'tian'xia'san'fen 今天下三分
'jin'wang'yi'si 今亡亦死
'jin'wei'gong'shi'zhi'mei'wei'zhi 今为宫室之美为之
'jin'wei'qi'qie'zhi'feng'wei'zhi 今为妻妾之奉为之
'jin'wei'suo'shi'qiong'fa'zhe'de'wo'er'wei'zhi 今为所识穷乏者得我而为之
'jin'wo'he'gong'de 今我何功德
'jin'wu'yi'shi'bei'zhi'di 今吾以十倍之地
'jin'xi'shi'he'nian 今夕是何年
'jin'ye'pian'zhi'chun'qi'nuan 今夜偏知春气暖
'jin'you'ren'yu'ci 今有人于此
'jin'zai'gu'sui 今在骨髓
'jin'zhu'sheng'xue'yu'tai'xue 今诸生学于太学
'jin'zi'yu'yi'zi'zhi'liang'guo 今子欲以子之梁国
'jin'zun'qing'jiu'dou'shi'qian 金樽清酒斗十千
'jing'guo'you'yu'yu'di 荆国有余于地
'jing'jing'ran'ru'jing'zhi'xin'kai'er'leng'guang'zha'chu'yu'xia'ye 晶晶然如镜之新开而冷光乍出于匣也
'jing'lun'shi'wu'zhe 经纶世务者
'jing'shou'ming 敬受命
'jing'ying'chen'bi 静影沉璧
'jing'you'chang'song'wen'zi'pian'zhan'yu'zhang 荆有长松文梓楩枬豫章
'jing'you'yun'meng 荆有云梦
'jing'zhi'di 荆之地
'jing'zhou'bei'ju'han'mian 荆州北据汉沔
'jiu'er'nai'he 久而乃和
'jiu'han'xiong'dan'shang'kai'zhang 酒酣胸胆尚开张
'jiu'kun'lu'chang'wei'yu'shui 酒困路长惟欲睡
'ju'bei'yao'ming'yue 举杯邀明月
'ju'cu'yi'shi'zhi'nei 局促一室之内
'ju'da'ji'yi'si 举大计亦死
'ju'miao'tang'zhi'gao'ze'you'qi'min 居庙堂之高则忧其民
'ju'shi'ri 居十日
'ju'wei'yi'ti 俱为一体
'ju'wu'ri 居五日
'juan'ran'ru'shi 娟然如拭
'juan'shi'di'yi'chu 卷石底以出
'juan'wo'wu'shang'san'chong'mao 卷我屋上三重茅
'jun'wei'ji'jiang'an'chu 君谓计将安出
'jun'you'ji'zai'cou'li 君有疾在腠理
'jun'yu'ju'lai 君与俱来
'jun'zhi'bing'zai'chang'wei 君之病在肠胃
'jun'zhi'bing'zai'ji'fu 君之病在肌肤
'kan'sun'lang 看孙郎
'ke'ji'ri'er'dai'ye 可计日而待也
'ke'lian'bai'fa'sheng 可怜白发生
'ke'tang'xian'jin'ren'shi'fu'yu'qi'shang 刻唐贤今人诗赋于其上
'ke'wai'gu'shi'ci 课外古诗词
'ke'wai'gu'shi'ci'bei'song 课外古诗词背诵
'ke'xing'bei'gu'xiang 客行悲故乡
'ke'zhi'ji'dou'zheng 客至鸡斗争
'kong'fa'qi'shen 空乏其身
'kong'tuo'fu'bu'xiao 恐托付不效
'kua'zhou'lian'jun'zhe'bu'ke'sheng'shu 跨州连郡者不可胜数
'kui'yu'wang'fan 窥欲忘反
'kun'yu'xin 困于心
'lan'wu'zhi'qing 览物之情
'lang'ya'ye 琅琊也
'lao'fu'liao'fa'shao'nian'kuang 老夫聊发少年狂
'lao'qi'jin'gu 劳其筋骨
'lei'er'ge'zhe 罍而歌者
'li'bai 李白
'li'bu'zu 力不足
'li'er'cong'zhe 隶而从者
'li'hua'luo'hou'qing'ming 梨花落后清明
'li'jin'bu'zhi're 力尽不知热
'li'jin'nan'hai 利尽南海
'li'lu'san'bai'shi 吏禄三百石
'li'qing'zhao 李清照
'li'you'jian 立有间
'li'yu'zhi 礼愈至
'lian'juan'xi'feng 帘卷西风
'lian'yue'bu'kai 连月不开
'liang'da'yue 亮答曰
'liang'gong'geng'long'mu 亮躬耕陇亩
'liao'que'jun'wang'tian'xia'shi 了却君王天下事
'lin'biao'ti'ling 临表涕零
'lin'he'you'mei 林壑尤美
'lin'lang'ceng'ceng 鳞浪层层
'lin'xi'er'yu 临溪而渔
'lin'you'bi'yu'er'yu'qie'zhi 邻有敝舆而欲窃之
'lin'you'duan'he 邻有短褐
'lin'you'kang'zao 邻有穅糟
'ling'ding'yang'li'tan'ling'ding 零丁洋里叹零丁
'ling'ling'zuo'xiang 泠泠作响
'ling'luo'cheng'ni'nian'zuo'chen 零落成泥碾作尘
'ling'ru'zhi 令辱之
'liu'bei'shen'cheng'qi'xian 流辈甚称其贤
'liu'fang'ping 刘方平
'liu'qu'dan'xin'zhao'han'qing 留取丹心照汗青
'liu'tiao'jiang'shu'wei'shu 柳条将舒未舒
'liu'xue'qian'li 流血千里
'liu'xue'wu'bu 流血五步
'liu'yu'xi 刘禹锡
'liu'zhang'an'ruo 刘璋暗弱
'liu'zong'yuan 柳宗元
'long'zhong'dui 隆中对
'lu'bi 录毕
'lu'ling'ou'yang'xiu'ye 庐陵欧阳修也
'lu'you 陆游
'lue'wu'mu'yan'yi 略无慕艳意
'lun'tai'dong'men'song'jun'qu 轮台东门送君去
'luo'hong'bu'shi'wu'qing'wu 落红不是无情物
'ma'shuo 马说
'ma'zhi'qian'li'zhe 马之千里者
'ma'zuo'de'lu'fei'kuai 马作的卢飞快
'mai'tian'qian'lie'cun'xu 麦田浅鬣寸许
'man'jing'you'ji 满井游记
'man'mu'xiao'ran 满目萧然
'man'yan'feng'guang'bei'gu'lou 满眼风光北固楼
'mao'fei'du'jiang'sa'jiang'jiao 茅飞渡江洒江郊
'mao'wu'wei'qiu'feng'suo'po'ge 茅屋为秋风所破歌
'mao'yu'lin'lie'zhi'jian 毛羽鳞鬣之间
'mei'jia'jie'yu'cang'shu'zhi'jia 每假借于藏书之家
'mei'mao'feng'chi'xing 每冒风驰行
'mei'you'hui'yi 每有会意
'mei'yu'chen'lun'ci'shi 每与臣论此事
'mei'zi'bi'yu'guan'zhong'yue'yi 每自比于管仲乐毅
'men'ren'di'zi'tian'qi'shi 门人弟子填其室
'meng'hui'chui'jiao'lian'ying 梦回吹角连营
'meng'lang'ruo'ben 猛浪若奔
'meng'luo'yao'zhui 蒙络摇缀
'meng'zi'liang'zhang 孟子两章
'mi'su'fei'bu'duo'ye 米粟非不多也
'min'yin'guo'fu'er'bu'zhi'cun'xu 民殷国富而不知存恤
'ming'mie'ke'jian 明灭可见
'ming'sheng'shang'xia 鸣声上下
'ming'yue'ji'shi'you 明月几时有
'ming'zhi'er'bu'neng'tong'qi'yi 鸣之而不能通其意
'ming'zhi'zhe'shui 名之者谁
'mo'ci'jiu'wei'bao 莫辞酒味薄
'mo'dao'bu'xiao'hun 莫道不消魂
'mo'zi'yue'ran 墨子曰然
'mu'er'gui 暮而归
'nai'chong'xiu'yue'yang'lou 乃重修岳阳楼
'nai'dan'shu'bo'yue 乃丹书帛曰
'nai'ji'zhi'er'qu 乃记之而去
'nai'jian 乃见
'nai'ke'gong'ye 乃可攻也
'nai'ling'fu'li'ren'ge'ying'jiang'bing'xun'qi'yi'dong 乃令符离人葛婴将兵徇蕲以东
'nai'ru'ju'chen 乃入据陈
'nai'xing'bu 乃行卜
'nai'zha'cheng'gong'zi'fu'su'xiang'yan 乃诈称公子扶苏项燕
'nan'cun'qun'tong'qi'wo'lao'wu'li 南村群童欺我老无力
'nan'fang'you'niao 南方有鸟
'nan'fu'yi'yue 南抚夷越
'nan'ji'xiao'xiang 南极潇湘
'nan'xiang'zi'deng'jing'kou'bei'gu'ting'you'huai 南乡子登京口北固亭有怀
'nei'xiu'zheng'li'tian'xia'you'bian 内修政理天下有变
'nian'ci'si'zi'kui 念此私自愧
'nian'er'ri 廿二日
'nian'gui 念鬼
'nian'shao'wan'dou'mou 年少万兜鍪
'niang'quan'wei'jiu 酿泉为酒
'niang'quan'ye 酿泉也
'nie'zheng'zhi'ci'han'kui'ye 聂政之刺韩傀也
'niu'yi'gu'liu'mai'huang'gua 牛衣古柳卖黄瓜
'nu'li'jia'can'fan 努力加餐饭
'nuo 诺
'ou'yang'xiu 欧阳修
'pian'si'yu'cao'li'zhi'jian'bu'yi'qian'li'cheng'ye 骈死于槽枥之间不以千里称也
'po'shi'ji'zhi 颇示己志
'po'zhen'zi 破阵子
'po'zhen'zi'zui'li'tiao'deng'kan'jian 破阵子醉里挑灯看剑
'qi'an'shi'quan'ya'cha'hu 其岸势犬牙差互
'qi'bi'yue 其必曰
'qi'jiang'gui'jian'qi'qin'ye 其将归见其亲也
'qi'juan'wu'fu'dao 弃捐勿复道
'qi'li'zhi'guo 七里之郭
'qi'ming'wei'yuan'chu 其名为鹓雏
'qi'qian'yu 骑千余
'qi'qie'zhi'feng 妻妾之奉
'qi'ren'bu'xie'ye 乞人不屑也
'qi'shan'yi'shui 奇山异水
'qi'shen'han'gu 凄神寒骨
'qi'ta'ren'zhi'guo'zai 岂他人之过哉
'qi'wu'nong'qing'ying 起舞弄清影
'qi'xi'nan'zhu'feng 其西南诸峰
'qi'xia 蕲下
'qi'xiang'wan'qian 气象万千
'qi'yan'zi'ruo'ren'zhi'chou'hu 其言兹若人之俦乎
'qi'ye'you'bu'jing 其业有不精
'qi'yu'qi 起于齐
'qi'zai'bi'zui 期在必醉
'qi'zhen'bu'zhi'ma'ye 其真不知马也
'qi'zhen'wu'ma'ye 其真无马耶
'qi'zhi'wu'bai'li'zai 岂直五百里哉
'qian'bai'cheng'feng 千百成峰
'qian'gu'xing'wang'duo'shao'shi 千古兴亡多少事
'qian'ke'sao'ren 迁客骚人
'qian'li'gong'chan'juan 千里共婵娟
'qian'li'ma'chang'you 千里马常有
'qian'lou'zhi'qi'you'yan 黔娄之妻有言
'qian'qi'juan'ping'gang 千骑卷平冈
'qian'ren'zhi'shu'bei'yi 前人之述备矣
'qian'shu'wan'shu'li'hua'kai 千树万树梨花开
'qian'zhang'jian'di 千丈见底
'qian'zhang'li 千嶂里
'qian'zhe'hu 前者呼
'qiang'cun'san'shou 羌村三首
'qiang'cun'san'shou'zhi'san 羌村三首之三
'qiang'guan'you'you'shuang'man'di 羌管悠悠霜满地
'qiang'qing'ji'cui 樯倾楫摧
'qiao'chuang'you'sui 悄怆幽邃
'qiao'men'shi'wen'ye'ren'jia 敲门试问野人家
'qiao'xiao'dong'lin'nv'ban 巧笑东邻女伴
'qie'qin'mie'han'wang'wei 且秦灭韩亡魏
'qie'yu'yu'chang'ma'deng'bu'ke'de'an'qiu'qi'neng'qian'li'ye 且欲与常马等不可得安求其能千里也
'qie'zhuang'shi'bu'si'ji'yi 且壮士不死即已
'qin'jiu'zhi'qi'ru'ci 亲旧知其如此
'qin'qi'pan'zhi 亲戚畔之
'qin'she'hu 亲射虎
'qin'wang'bu'shuo 秦王不说
'qin'wang'fo'ran'nu 秦王佛然怒
'qin'wang'se'nao 秦王色挠
'qin'wang'shi'ren'wei'an'ling'jun'yue 秦王使人谓安陵君曰
'qin'wang'wei'tang'ju'yue 秦王谓唐雎曰
'qin'wang'yue 秦王曰
'qin'xian'chen 亲贤臣
'qin'xiao'ren 亲小人
'qing'che'jian'di 清澈见底
'qing'gua'ren'yu'tang'ju'dui'yue 轻寡人与唐雎对曰
'qing'guang'yu'jun 请广于君
'qing'ke'zhuo'fu'qing 倾榼浊复清
'qing'li'si'nian'chun 庆历四年春
'qing'shu'cui'man 青树翠蔓
'qing'shuo'zhi 请说之
'qing'wei'fu'lao'ge 请为父老歌
'qing'xian'shi'jin 请献十金
'qing'xun'qi'ben 请循其本
'qiong'dong'lie'feng 穷冬烈风
'qiu'er'bu'de'zhe'ye 求而不得者也
'qiu'tian'mo'mo'xiang'hun'hei 秋天漠漠向昏黑
'qu'ji'shang'shu'mu 驱鸡上树木
'qu'shi'xue'man'tian'shan'lu 去时雪满天山路
'quan'er'ming'zhe 泉而茗者
'quan'shi'yi'wei'di 全石以为底
'quan'shui'ji'shi 泉水激石
'quan'xiang'er'jiu'lie 泉香而酒冽
'qun'ji'zheng'luan'jiao 群鸡正乱叫
'ran'cao'sui'neng'ke'shao 然操遂能克绍
'ran'chen'zhi'di'zi'qin'hua'li'deng'san'bai'ren 然臣之弟子禽滑厘等三百人
'ran'er'bu'sheng'zhe 然而不胜者
'ran'er'qin'niao'zhi'shan'lin'zhi'le 然而禽鸟知山林之乐
'ran'hou'neng'gai 然后能改
'ran'hou'shi'xing 然后施行
'ran'hou'you'qian'li'ma 然后有千里马
'ran'hou'zhi'sheng'yu'you'huan 然后知生于忧患
'ran'shi'wei'zhi'chen'bu'xie'yu'nei 然侍卫之臣不懈于内
'ran'tu'bu'ze'han'chu'jia'bei 然徒步则汗出浃背
'ran'ze'bei'tong'wu'xia 然则北通巫峡
'ran'ze'he'shi'er'le'ye 然则何时而乐耶
'ran'zhi'you'wei'yi 然志犹未已
'ran'zu'xia'bo'zhi'gui'hu 然足下卜之鬼乎
'rang'chu'jian'xiong 攘除奸凶
'ren'bi'huang'hua'shou 人比黄花瘦
'ren'bu'mei 人不寐
'ren'heng'guo 人恒过
'ren'ji'ban'qiao'shuang 人迹板桥霜
'ren'jie'you'zhi 人皆有之
'ren'neng'dui'mian'wei'dao'zei 忍能对面为盗贼
'ren'sheng'zi'gu'shui'wu'si 人生自古谁无死
'ren'yi'dong'xi 任意东西
'ren'ying'san'luan 人影散乱
'ren'you'bei'huan'li'he 人有悲欢离合
'ren'zhi'cong'tai'shou'you'er'le 人知从太守游而乐
'ri'chang'fei'xu'qing 日长飞絮轻
'ri'gao'ren'ke'man'si'cha 日高人渴漫思茶
'ri'guang'xia'che 日光下彻
'ri'wan'juan'shu'tou 日晚倦梳头
'ri'xing'yin'yao 日星隐耀
'ri'zai'shi 日再食
'rou'shao'pi'feng 柔梢披风
'ru'an'zhi'yu'le'yun'zhe 汝安知鱼乐云者
'ru'ming'pei'huan 如鸣佩环
'ru'qian'nv'zhi'hui'mian'er'ji'huan'zhi'shi'lue'ye 如倩女之靧面而髻鬟之始掠也
'ru'shi'ren'zhi'suo'yu'mo'shen'yu'sheng 如使人之所欲莫甚于生
'ru'ze'wu'fa'jia'bi'shi 入则无法家拂士
'rui'nao'xiao'jin'shou 瑞脑消金兽
'ruo'fu'ri'chu'er'lin'fei'kai 若夫日出而林霏开
'ruo'fu'yin'yu'fei'fei 若夫霪雨霏霏
'ruo'kua'you'jing'yi 若跨有荆益
'ruo'shi'bi'nu 若士必怒
'ruo'tuo'long'zhi'hu 若脱笼之鹄
'ruo'wei'yong'geng 若为佣耕
'ruo'wu'xing'de'zhi'yan 若无兴德之言
'ruo'you'zuo'jian'fan'ke'ji'wei'zhong'shan'zhe 若有作奸犯科及为忠善者
'sai'xia'qiu'lai'feng'jing'yi 塞下秋来风景异
'san'gu'chen'yu'cao'lu'zhi'zhong 三顾臣于草庐之中
'san'lao'hao'jie'jie'yue 三老豪杰皆曰
'san'li'zhi'cheng 三里之城
'san'ri'san'ye 三日三夜
'san'ru'zhu'lian'shi'luo'mu 散入珠帘湿罗幕
'se'yu'gong 色愈恭
'sha'chang'dian'qiu'bing 沙场点秋兵
'sha'chen 杀臣
'sha'ou'xiang'ji 沙鸥翔集
'sha'suo'bu'zu 杀所不足
'sha'zhi'yi'ying'chen'she 杀之以应陈涉
'shan 善
'shan'he'biao'li'tong'guan'lu 山河表里潼关路
'shan'he'po'sui'feng'piao'xu 山河破碎风飘絮
'shan'hui'lu'zhuan'bu'jian'jun 山回路转不见君
'shan'jian'zhi'si'shi'ye 山间之四时也
'shan'jian'zhi'zhao'mu'ye 山间之朝暮也
'shan'luan'wei'qing'xue'suo'xi 山峦为晴雪所洗
'shan'po'yang'tong'guan'huai'gu 山坡羊潼关怀古
'shan'qi'ri'xi'jia 山气日夕佳
'shan'shui'zhi'le 山水之乐
'shan'xing'liu'qi'li 山行六七里
'shan'yao'ye'su 山肴野蔌
'shan'yue'qian'xing 山岳潜形
'shan'zai 善哉
'shan'zhi'seng'zhi'xian'ye 山之僧智仙也
'shang'lv'bu'xing 商旅不行
'shang'shan'zao'xing 商山早行
'shang'shi'wai'jiang'bing 上使外将兵
'shang'xia'tian'guang 上下天光
'shang'xin'qin'han'jing'xing'chu 伤心秦汉经行处
'she'qi'jin'xiu 舍其锦绣
'she'qi'liang'rou 舍其粱肉
'she'qi'wen'xuan 舍其文轩
'she'sheng'er'qu'yi'zhe'ye 舍生而取义者也
'she'tian'lang 射天狼
'she'yu'er'qu'xiong'zhang'zhe'ye 舍鱼而取熊掌者也
'she'zhe'zhong 射者中
'shen'chang'ba'chi 身长八尺
'shen'ru'bu'mao 深入不毛
'shen'shan 甚善
'shen'shi'fu'chen'yu'da'ping 身世浮沉雨打萍
'shen'yu'sheng'zhe 甚于生者
'shen'yu'si'zhe 甚于死者
'shen'zhui'xian'di'yi'zhao 深追先帝遗诏
'sheng'yi'wo'suo'yu 生亦我所欲
'sheng'yi'wo'suo'yu'ye 生亦我所欲也
'sheng'yi'xiang'ren'zi'ye'yu 生以乡人子谒余
'sheng'yu'you'huan 生于忧患
'sheng'zi'dang'ru'sun'zhong'mou 生子当如孙仲谋
'shi'bu'bao 食不饱
'shi'ci'chong'ji'chang 拾此充饥肠
'shi'dao'gua'zhu 失道寡助
'shi'dao'zhe'gua'zhu 失道者寡助
'shi'di'li'bu'ru'ren'he'ye 是地利不如人和也
'shi'gu'suo'yu'you 是故所欲有
'shi'jin'yi'you 是进亦忧
'shi'ke'wei'shan'xue'zhe'yi 是可谓善学者矣
'shi'liu'nian'jiu'yue'shi'wu'ri 时六年九月十五日
'shi'ma'ye 是马也
'shi'ma'zhe 食马者
'shi'nei'wai'yi'fa'ye 使内外异法也
'shi'qi 失期
'shi'qi'dang'zhan 失期当斩
'shi'ren'mo'zhi'xu'ye 时人莫之许也
'shi'ren'suo'bian'que 使人索扁鹊
'shi'ren'zhi'suo'e'mo 使人之所恶莫
'shi'tian'shi'bu'ru'di'li'ye 是天时不如地利也
'shi'wen'kou'chai'jing 始闻叩柴荆
'shi'wu'da'xiao 事无大小
'shi'xian'zhu'tun'xin'ye 时先主屯新野
'shi'yi'bu'ke'yi'yi'hu 是亦不可以已乎
'shi'yi'xian'di'jian'ba'yi'yi'bi'xia 是以先帝简拔以遗陛下
'shi'yi'zhong'yi'ju'chong'wei'du 是以众议举宠为督
'shi'yong'yu'xi'ri 试用于昔日
'shi'you'bo'le 世有伯乐
'shi'yu'zhi'le'ye 是鱼之乐也
'shi'zhi'bu'neng'jin'qi'cai 食之不能尽其材
'shi'zhi'jiao'tian'zhi'wai'wei'shi'wu'chun 始知郊田之外未始无春
'shi'zhong'shang'shu'zhang'shi'can'jun 侍中尚书长史参军
'shi'zhong'shi'lang'guo'bi'zhi'fei'dong'yun'deng 侍中侍郎郭彼之费董允等
'shi'zu'duo'wei'yong'zhe 士卒多为用者
'shou'cheng'si 守丞死
'shou'di'yu'xian'wang 受地于先王
'shou'er'gong'qi 收而攻蕲
'shou'ming'yi'lai 受命以来
'shou'ren'yu'bai'jun'zhi'ji 受任于败军之际
'shou'zhi'bu'ke'qu'shen 手指不可屈伸
'shou'zhong'ge'you'xie 手中各有携
'shou'zi'bi'lu 手自笔录
'shu'di'wu'ren'geng 黍地无人耕
'shu'jie'nu'dun 庶竭驽钝
'shu'lin'yin'yi 树林阴翳
'shu'ri 数日
'shu'tiao'jiao'ying 疏条交映
'shu'xi'ba 梳洗罢
'shu'you'gong 数有功
'shu'yu'zuo'wen'yi'ji'zhi 属予作文以记之
'shu'yue 庶曰
'shui'diao'ge'tou 水调歌头
'shui'jie'piao'bi 水皆缥碧
'shui'luo'er'shi'chu'zhe 水落而石出者
'shui'you'qing'lie 水尤清洌
'shun'fa'yu'quan'mu'zhi'zhong 舜发于畎亩之中
'si'guo'ke'hu 死国可乎
'si'ji'ju'da'ming'er 死即举大名耳
'si'jun'ling'ren'lao 思君令人老
'si'mian'bian'sheng'lian'jiao'qi 四面边声连角起
'si'mian'zhu'shu'huan'he 四面竹树环合
'si'ming'zhi'suo'shu 司命之所属
'si'qi'xin'yue 俟其欣悦
'si'shi'zhi'jing'bu'tong 四时之景不同
'si'xian'ru'ke 思贤如渴
'si'yi'wo'suo'e 死亦我所恶
'si'yu'an'le 死于安乐
'si'yu'you'zhe'xiang'le 似与游者相乐
'si'zhi'jiang'jin'bu'neng'dong 四支僵劲不能动
'si'zuo'lei'zong'heng 四座泪纵横
'song'dong'yang'ma'sheng'xu 送东阳马生序
'song'he'zui'zhi'you 宋何罪之有
'song'lian 宋濂
'song'mo'neng'shou 宋莫能守
'song'suo'wei'wu'zhi'tu'hu'li'zhe'ye 宋所为无雉兔狐狸者也
'song'wu'chang'mu 宋无长木
'song'wu'zui'er'gong'zhi 宋无罪而攻之
'song'zhi'di 宋之地
'sou'yu'guo'zhong 搜于国中
'su'shi 苏轼
'su'su'yi'jin'luo'zao'hua 簌簌衣巾落枣花
'su'ye'you'tan 夙夜忧叹
'sui'qian'li'bu'gan'yi'ye 虽千里不敢易也
'sui'ran 虽然
'sui'sha'chen 虽杀臣
'sui'xu'xian'di'yi'qu'chi 遂许先帝以驱驰
'sui'yan'you'yu'liang 岁晏有余粮
'sui'yong'chang'jue 遂用猖蹶
'sui'you'qian'li'zhi'neng 虽有千里之能
'sui'yue'hu'yi'wan 岁月忽已晚
'sun'bu'ao'ju'yu'hai 孙步敖举于海
'sun'quan'ju'you'jiang'dong 孙权据有江东
'suo'e'you'shen'yu'si'zhe 所恶有甚于死者
'suo'shi'qiong'fa'zhe'de'wo'yu 所识穷乏者得我欤
'suo'yi'dong'xin'ren'xing 所以动心忍性
'suo'yu'you'shen'yu'sheng'zhe 所欲有甚于生者
'tai'shou'gui'er'bin'ke'cong'ye 太守归而宾客从也
'tai'shou'wei'shui 太守谓谁
'tai'shou'yan'ye 太守宴也
'tai'shou'ye 太守也
'tai'shou'yu'ke'lai'yin'yu'ci 太守与客来饮于此
'tai'shou'zi'wei'ye 太守自谓也
'tai'shou'zui'ye 太守醉也
'tan'xi'nan'er'wang 潭西南而望
'tan'you 袒右
'tan'zhong'yu'ke'bai'xu'tou 潭中鱼可百许头
'tang'ju'bu'ru'shi'ming 唐雎不辱使命
'tang'ju'dui'yue 唐雎对曰
'tang'ju'yue 唐雎曰
'tang'yun'zhi'suo'ji'ye 汤熨之所及也
'tao'yuan'ming 陶渊明
'teng'zi'jing'zhe'shou'ba'ling'jun 滕子京谪守巴陵郡
'tian'da'han 天大寒
'tian'fu'zhi'tu 天府之土
'tian'jia'shao'xian'yue 田家少闲月
'tian'shan'gong'se 天山共色
'tian'shao'he 天稍和
'tian'shi'bu'ru'di'li 天时不如地利
'tian'xia'du'jue 天下独绝
'tian'xia'gao'su 天下缟素
'tian'xia'ku'qin'jiu'yi 天下苦秦久矣
'tian'xia'shun'zhi 天下顺之
'tian'xia'wu'ma 天下无马
'tian'xia'ying'xiong'shui'di'shou 天下英雄谁敌手
'tian'zi'zhi'nu 天子之怒
'tiao'yu'chu'you'cong'rong 鲦鱼出游从容
'ting'bei'tou'zhu'bu'neng'shi 停杯投箸不能食
'ting'jian'er'qi 挺剑而起
'ting'qi'xiang'gu'yan 听其相顾言
'tong'que'chun'shen'suo'er'qiao 铜雀春深锁二乔
'tong'she'sheng'jie'bei'qi'xiu 同舍生皆被绮绣
'tong'you'zhe 同游者
'tong'zhi'xie'hu'jiang 童稚携壶浆
'tu'gao'wei'run 土膏微润
'tu'shu'jie'yue 徒属皆曰
'tu'yi'you'xian'sheng'ye 徒以有先生也
'tui'hu'qi'zhong'zhe 颓乎其中者
'tui'yi'you 退亦忧
'tun'chang'jiang 吞长江
'tun'da'ze'xiang 屯大泽乡
'wai'jie'hao'sun'quan 外结好孙权
'wan'zhong'yu'wo'he'jia'yan 万钟于我何加焉
'wan'zhong'ze'bu'bian'li'yi'er'shou'zhi 万钟则不辨礼义而受之
'wang'bai'xing'ku 亡百姓苦
'wang'feng'xi'xin 望峰息心
'wang'hou'jiang'xiang'ning'you'zhong'hu 王侯将相宁有种乎
'wang'huai'de'shi 忘怀得失
'wang'jiang'nan 望江南
'wang'jiang'nan'shu'xi'ba 望江南梳洗罢
'wang'lai'er'bu'jue'zhe 往来而不绝者
'wang'lai'xi'hu 往来翕忽
'wang'xi'du 望西都
'wang'yue 王曰
'wang'yue'you'gan 望月有感
'wang'zhi'wei'ran'er'shen'xiu'zhe 望之蔚然而深秀者
'wei'bai'bu'zhe'fan 未百步辄返
'wei'bo'ling'cui'zhou'ping'ying'chuan 惟博陵崔州平颖川
'wei'chang'bu'tan'xi'tong'hen'yu'huan'ling'ye 未尝不叹息痛恨于桓灵也
'wei'chang'shao'jiang'ci'se 未尝稍降辞色
'wei'chen'tong'fu'fu'fu'zhuang'ci'yi'ji'zhi 为陈同父甫赋壮词以寄之
'wei'di 为坻
'wei'er'qu'zhi 委而去之
'wei'gong'shi'zhi'mei 为宫室之美
'wei'guo'chi'guang 尉果笞广
'wei'jian'ting 尉剑挺
'wei'kan 为嵁
'wei'tan'er'meng 为坛而盟
'wei'tang'ju'yue 谓唐雎曰
'wei'tian'xia'bu'yi'bing'ge'zhi'li 威天下不以兵革之利
'wei'tian'xia'chang 为天下唱
'wei'tun'zhang 为屯长
'wei'wei'xin'ran 谓为信然
'wei'xian'zhu'yue'zhu'ge'kong'ming'zhe 谓先主曰诸葛孔明者
'wei'yan 为岩
'wei'you'wen'er'bu'gao 未有问而不告
'wei'yu 为屿
'wei'yu'ci'tong'lei 为与此同类
'wei'zhi'qi'si'ye 未知其死也
'wei'zi'wang'qu 猥自枉屈
'wen'jun'he'neng'er 问君何能尔
'wen'shui'sheng 闻水声
'wen'shuo'shuang'xi'chun'shang'hao 闻说双溪春尚好
'wen'tian'xiang 文天祥
'wen'ting'jun 温庭筠
'wen'wo'jiu'yuan'xing 问我久远行
'wen'zhe'wei'bei'shang 闻者为悲伤
'wen'zi'wei'ti 闻子为梯
'wo'fei'zi 我非子
'wo'ge'yue'pai'huai 我歌月徘徊
'wo'long'ye 卧龙也
'wo'suo'yu'ye 我所欲也
'wo'wu'ying'ling'luan 我舞影零乱
'wo'ye'qian'li 沃野千里
'wo'yu'cheng'feng'gui'qu 我欲乘风归去
'wo'zhi'zhi'hao'shang'ye 我知之濠上也
'wu'ben'zou'zhi'lao'yi 无奔走之劳矣
'wu'bu'yan 吾不言
'wu'cong'bei'fang 吾从北方
'wu'dong'nei'zhi'huan'yi 无冻馁之患矣
'wu'guang'su'ai'ren 吴广素爱人
'wu'guang'wei'du'wei 吴广为都尉
'wu'guang'yi'wei'ran 吴广以为然
'wu'guang'zhe 吴广者
'wu'hu 呜呼
'wu'huai'shi'zhi'min'yu 无怀氏之民欤
'wu'ji'yi'yan'zhi'wang'yi 吾既已言之王矣
'wu'jun 吴均
'wu'ling'chun 武陵春
'wu'ling'chun'feng'zhu'chen'xiang'hua'yi'jin 武陵春风住尘香花已尽
'wu'liu'xian'sheng'chuan 五柳先生传
'wu'lu'du'po'shou'dong'si'yi'zu 吾庐独破受冻死亦足
