'a'bo'luo 阿波羅
'lu'te'dan'si'ba'da 鹿特丹斯巴達
'lu'yuan'hu'mo'er 蘆原胡默爾
'lu'yun'ni'mi 路雲尼米
'lu'zi'en'ji'ya 盧茲恩吉亞
'lun'dun'cheng 倫敦城
'luo'che'si'te'xi'niu 羅徹斯特犀牛
'luo'da 洛達
'luo'da'xian 洛達咸
'luo'de 洛德
'luo'de'zi 羅德茲
'luo'fu'xian 洛夫咸
'luo'ge'lun 洛格倫
'luo'han'si 洛漢思
'luo'ka'nuo 羅卡諾
'luo'lan'fa'si'te 羅蘭法斯特
'luo'lian'an'te 羅連安特
'luo'ma 羅馬
'luo'qi'dai'er 羅奇代爾
'luo'sang'ti'yu'dui 洛桑體育隊
'luo'sha'li'ao'zhong'yang 羅沙里奧中央
'luo'shan'ji'yin'he 洛杉磯銀河
'luo'si'cha'lan'te 洛斯查蘭特
'luo'si'ji'de 洛斯基德
'luo'si'jun 羅斯郡
'luo'si'le 羅斯勒
'luo'si'tuo'fu 羅斯托夫
'luo'si'tuo'ke 羅斯托克
'luo'xin'bao 洛辛堡
'luo'xin'da 羅辛達
'luo'zi 羅茲
'ma'de'li'ti'yu'kuai 馬德里體育會
'ma'ge'si'fei'te 馬格斯菲特
'ma'ge'tan'mei'ka 馬格潭美卡
'ma'ka'bi'nai'tan'ya 馬卡比奈坦亞
'ma'la'jia 馬拉加
'ma'la'wan 馬拉宛
'ma'li'bo'er 馬里博爾
'ma'li'di'mo 馬里迪莫
'ma'li'han'mu 馬利漢姆
'ma'li'li'ya 馬利利亞
'ma'liu'jia 馬六甲
'ma'liu'jia'dian'xin 馬六甲電信
'ma'lue'ka 馬略卡
'ma'mo 馬模
'ma'sa'lei 馬薩雷
'ma'sai 馬賽
'ma'se'wei'er 馬瑟韋爾
'ma'shi'ji'zhi 馬士積治
'ma'si'ni'si 馬斯尼斯
'ma'te'si'bao 馬特斯堡
'ma'yao 馬約
'mai'bai 邁柏
'man'cheng 曼城
'man'lian 曼聯
'man'si'fei'te 曼斯菲特
'man'tuo'wa 曼托瓦
'mei'er'bo'ni 梅爾波尼
'mei'guo 美國
'mei'guo'zhi'hua'shi 美國芝華士
'mei'he'lun 梅赫倫
'mei'li'bi'la 梅里比拉
'mei'si 梅斯
'mei'xi'ya 梅西亞
'mei'zi'la'huo'ju'tou 梅茲拉火車頭
'meng'bi'li'ai 蒙彼利埃
'meng'cha'si 蒙察斯
'meng'na'han 蒙納漢
'meng'si 蒙斯
'meng'te'li'er'chong'ji 蒙特利爾衝擊
'meng'te'rui 蒙特瑞
'meng'zha 蒙扎
'mi'da'lei'zhi 米達雷治
'mi'di'lan'te 米迪蘭特
'mi'du'shi'bao 米杜士堡
'mi'er'dun'kai'en'si 米爾頓凱恩斯
'mi'he'er 米禾爾
'mi'ka'ai'ta'lei'ke 米卡艾塔雷克
'mi'lan 米蘭
'mi'nei'luo'jing'ji 米內羅競技
'mi'ta'li'si 米塔利斯
'mi'ya'er'bi 米亞爾比
'mian'en'si 緬恩斯
'miao'si'gan 苗斯干
'ming'gu'wu'ba'jing 名古屋八鯨
'ming'ni'su'da'lei 明尼蘇達雷
'ming'si'ke'dai'na'mo 明斯克戴拿模
'ming'si'ke'huo'ju'tou 明斯克火車頭
'ming'yao'pi'ni'ke 明約匹尼克
'mo'de'na 摩德納
'mo'di 莫迪
'mo'ha'wei'ma'te 莫哈威馬特
'mo'la'si 莫拉斯
'mo'lei'li'ya 莫雷利亞
'mo'li'jin'bi 莫利金比
'mo'na'ge 摩納哥
'mo'ning 莫寧
'mo'si 莫斯
'mo'si'ke 莫斯科
'mo'si'ke'dai'na'mo 莫斯科戴拿模
'mo'si'ke'huo'ju'tou 莫斯科火車頭
'mo'si'ke'si'ba'da 莫斯科斯巴達
'mo'si'ke'yu'lei 莫斯科魚雷
'mo'si'ke'yun'dong'xue'yuan 莫斯科運動學院
'mo'si'ke'zhong'yang'liu'jun 莫斯科中央陸軍
'mo'si'te 莫斯特
'mo'xi'zhong'bang 無錫中邦
'mu'dun 慕頓
'mu'ni'hei 慕尼黑
'mu'xun'jia'bai 慕遜加柏
'na'bo'li 拿玻里
'na'di'ke 納帝科
'na'er'qi'ke'si'ba'da 納爾奇克斯巴達
'na'er'wei'ke 拿爾維克
'na'fu'tan 納夫坦
'na'hua 拿華
'na'jia'sha 拿加沙
'na'ke'en'pu'la'tuo'mu 那可恩普拉托姆
'na'mo'er 那摩爾
'na'sha'tai'er 納沙泰爾
'na'xi'ang'nuo 那西昂諾
'nai'mei'si 奈梅斯
'nai'si 奈斯
'nai'si'te'wei'de 奈司特維德
'nan'hou 南后
'nan'jing'you'you 南京有有
'nan'ta 南塔
'nan'te 南特
'nan'xi 南錫
'nan'yang'zhou'shi'min 南陽州市民
'ni'ang'nai'si 尼昂奈斯
'ni'bo'sang'de 尼伯桑德
'ni'mei'gen 尼美根
'ni'ou'te 尼歐特
'ni'rui'ge'ha'sa 尼瑞格哈薩
'ni'si'jing'ji 尼斯競技
'ni'te'la 尼特拉
'ni'wei 尼威
'nian'qing'ren 年青人
'niao'qi'sha'gen 鳥栖沙根
'ning'bi 寧比
'ning'si 寧斯
'niu'bai'lai'si 紐柏萊斯
'niu'jin'lian 牛津聯
'niu'ka'si'tuo 紐卡斯托
'niu'ka'su 紐卡素
'niu'lun'bao 紐倫堡
'niu'wei'cheng 紐維城
'niu'wei'er'jiu'sheng 紐維爾舊生
'niu'wen'xi'ya 紐文西亞
'niu'yao'gong'niu 紐約紅牛
'niu'yao'tai'kong'ren 紐約太空人
'nuo'ding'xian'sen'lin 諾定咸森林
'nuo'he'hua 諾和華
'nuo'ke'ping 諾科平
'nuo'shi'jun 諾士郡
'nuo'si'ta 諾斯塔
'nuo'tuo'deng 諾托登
'nuo'xian'dun 諾咸頓
'nuo'yu'zhi 諾域治
'nv'zi 女子
'ou'ben 歐本
'ou'han'ni'si 歐漢尼斯
'ou'sai'er 歐塞爾
'ou'te'pei'ni 歐特佩尼
'pa'duo'fu 帕多夫
'pa'er'ma 帕爾馬
'pa'fu'si 帕福斯
'pa'jia'ni'si 帕加尼斯
'pa'la'ni'en'si 帕拉尼恩斯
'pa'la'si 帕拉斯
'pa'le'si'di'nuo 帕勒斯蒂諾
'pa'nu 帕努
'pa'qiu'ka 帕丘卡
'pa'si 帕斯
'pa'xi'wei'li'yi'er 帕西維利伊爾
'pa'ya'mu 帕亞姆
'pai'li'gao'si 派李高斯
'pai'ya'si'te 派雅斯特
'pan'tian'shan'ye 磐田山葉
'pei'di'luo'si 佩蒂羅斯
'pei'ge'er'ma 佩哥爾馬
'pei'jia 佩加
'pei'kan 培坎
'pei'ke'si 佩克斯
'pei'li'gen 佩利根
'pei'li'ke 佩歷克
'pei'lu'gu 佩魯賈
'pei'si'ge'luo'rui 佩斯哥羅瑞
'peng'heng 彭亨
'peng'la'yi'gao'si 彭拉伊高斯
'peng'li'an'ao'si 彭里安奧斯
'peng'mei'la'si 彭美拉斯
'peng'na'dian'nai'gao'si 彭拿典奈高斯
'pi'er'sen 皮耳森
'pi'li 霹靂
'pi'lin 匹林
'pi'ya'qin'cha 皮亞琴察
'pu'ai'bu'la 普埃布拉
'pu'ci'mao'fu 樸茨茅夫
'pu'fu'di'fu'huo'ju'tou 普夫迪夫火車頭
'pu'he'gong'zuan 浦和紅鑽
'pu'he'nv'zi 浦和女子
'pu'lei'si'dun 普雷斯頓
'pu'lei'suo'fu 撲雷索夫
'pu'li'bu'lan 普利布蘭
'pu'li'mao'fu 普利茅夫
'pu'li'ta'li'ka 普利塔力卡
'pu'ma'si 普馬斯
'pu'teng 普騰
'pu'xiang'zhi'tie 浦項制鐵
'qi'bao'ge 契堡格
'qi'fu 岐阜
'qi'mu'qi 其姆奇
'qi'nu'la'si 奇努拉斯
'qian'ye'shi'yuan 千葉市原
'qie'er'da 切爾達
'qie'he 切禾
'qie'xin'na 切辛納
'qing'dao'hai'li'feng 青島海利豐
'qing'dao'zhong'neng 青島中能
'qing'shui'di'ba'nv'zi 清水第八女子
'qing'shui'xin'tiao 清水心跳
'qing'zhou'shi'min 慶州市民
'qu'fu'te 屈福特
'qu'fu'te'lian 屈福特聯
'quan'bei'xian'dai 全北現代
'quan'nan'tian'long 全南天龍
'quan'wang'lao 全網絡
're'ci 熱刺
're'na'ya 熱拿亞
'ren'chuan'di'tie 仁川地鐵
'ren'chuan'lian'dui 仁川聯隊
'rou'fo 柔佛
'rou'ya 柔亞
'sa'bi'li'si 薩比利斯
'sa'da'er 薩達爾
'sa'ding 薩丁
'sa'ge'le'bu 薩格勒布
'sa'ge'le'bu'dai'na'mo 薩格勒布戴拿模
'sa'ji'lie'si 薩基列斯
'sa'ke'da 薩克達
'sa'ke'du'ya 薩克杜亞
'sa'la'ge'sa 薩拉戈薩
'sa'lei'si 薩雷斯
'sa'ma'lei'ke 薩馬雷克
'sa'mu'te'song'ke'la'mu 薩穆特松科拉姆
'sa'pu'si'bao'si'ba'da 薩普斯堡斯巴達
'sa'wa'he'er 薩瓦赫爾
'sai'da 賽達
'sai'de'ni 賽德尼
'sai'er'wei'ya'bai'ying 塞爾維亞白鷹
'sai'lei'na 塞雷那
'sai'li'si'bei'rui 塞利斯貝瑞
'sai'pa 塞帕
'sai'si'tuo 塞斯托
'sai'tu'ba'er 塞圖巴爾
'sai'wei'ta'sa'ge'le'bu 塞維塔薩格勒布
'sai'wei'te 塞維特
'sang'dan'si'ji 桑丹斯基
'sang'de'fei'jie 桑德菲傑
'sang'de'jie'si'ji 桑德捷斯基
'sang'en'da 桑恩達
'sang'tan'de 桑坦德
'se'dang 色當
'se'fu'si 瑟福斯
'se'ge'la'bu'lu'ri 色格拉布魯日
'se'te'fu 瑟特福
'sen'bin'ni'di'te'si 森賓尼迪特斯
'sen'bu'lu 森布魯
'sen'duo'li'ya 森多利亞
'sen'mei'lan 森美蘭
'sha'ba 沙巴
'sha'ba'ba'te'rui 沙巴巴特瑞
'sha'ba'han 沙巴罕
'sha'fu'hao'sen 沙夫豪森
'sha'ke'ni 沙克尼
'sha'la'man'ka 沙拉曼卡
'sha'lan'di'bing'gong'chang 沙蘭迪兵工廠
'sha'lan'li'tan'na 沙蘭力坦拿
'sha'lang'li'ji 沙朗歷基
'sha'lao'yue 砂勞越
'sha'le'ge'si'ji 沙勒格斯基
'sha'le'luo'wa 沙勒羅瓦
'sha'mu'luo'ke'liu'lang 沙姆洛克流浪
'sha'shi'fei 沙士菲
'sha'suo'luo 沙索洛
'sha'te'lu 沙特魯
'sha'you'an'na'ji'ye 沙由安拿吉耶
'sha'zhan'mu'da 沙占木達
'shan'da'le'si 山達勒斯
'shan'dong'lu'neng'tai'shan 山東魯能泰山
'shan'du'shi 山度士
'shan'xi'zhong'xin 陝西中新
'shan'xing'meng'di'ao 山形蒙迪奧
'shang'hai'dong'ya 上海東亞
'shang'hai'shen'hua 上海申花
'shen'chuan'shang'qing'yin 深玔上清飲
'shen'hu'sheng'li'chuan 神戶勝利船
'sheng'an'de'lei 聖安德雷
'sheng'bao'li 聖保利
'sheng'bao'luo 聖保羅
'sheng'bi'de'si'bao 聖彼德斯堡
'sheng'dian'li 省電力
'sheng'duo'si 聖多斯
'sheng'gang'bang'e 盛港榜鵝
'sheng'he'xi'di'zhen 聖荷西地震
'sheng'jia'lun 聖加倫
'sheng'ka'la'fu 聖卡拉夫
'sheng'ka'tan'nu 聖卡坦奴
'sheng'kai'se'lin'si'lang'dui 聖凱瑟琳斯狼隊
'sheng'lu'yi'shi 聖路易士
'sheng'luo'lun'su 聖羅倫素
'sheng'ma'ding'de'tu'ku'man 聖馬丁德圖庫曼
'sheng'mi'lun 聖米倫
'sheng'tu'er'deng 聖圖爾登
'sheng'yi'tian 聖伊天
'sheng'zhuang'shi'dong 聖莊士東
'shi'ba'li'ya 施巴利亞
'shi'bo'ting 士砵亭
'shi'da'bi'ke 史達比克
'shi'da'di'na 施達迪那
'shi'deng'hou'si'mo'ya 士登后斯莫亞
'shi'hao'ke'ling'si 史浩克零四
'shi'he'ni 施禾尼
'shi'ke'bao 施克堡
'shi'luo'te 史洛特
'shi'pa'er 史帕爾
'shi'te'jia 史特加
'shi'te'la'si'bao 史特拉斯堡
'shi'te'ning 士特寧
'shi'tuo'gang 史托港
'shi'yuan'qian'ye'nv'zi 市原千葉女子
'shi'yun'dun 史雲頓
'shi'yun'si 史雲斯
'shi'zhuo'jia'si'te 史卓加斯特
'shou'er'lian'dui 首爾聯隊
'shou'er'pa'ba'er 首爾帕巴爾
'shu'er'ben 舒爾本
'shu'la'xin'sa'na 舒拉欣薩那
'shu'lie'fu 舒列夫
'shu'shi'bei'li 梳士貝利
'shui'hu'huo'li'ke 水戶霍利克
'shui'jing'gong 水晶宮
'shui'yuan 水原
'shui'yuan'san'xing 水原三星
'si'chuan 四川
'si'cui'da 斯崔達
'si'da 斯達
'si'hua'ni'si'ta'de 斯華尼斯塔德
'si'ji'fu 斯基夫
'si'ken'suo'pu 斯肯索普
'si'la'si'ke 斯拉斯克
'si'lai'ge 斯萊戈
'si'lan'ze 斯蘭澤
'si'li'na 斯利納
'si'li'wen 斯利文
'si'lu'da 斯路達
'si'luo'yun 斯洛雲
'si'mo'gen 斯莫根
'si'qing'wei'er 斯青威爾
'si'ta'er'nan 斯塔爾南
'si'ta'li 斯塔利
'si'wa'da 斯瓦達
'si'wa'duo'fu 斯瓦多夫
'su'du'wa 蘇杜瓦
'su'li'shi 蘇黎世
'su'na 蘇納
'su'wei'du'fu 蘇維杜夫
'su'wei'meng 蘇維蒙
'suo'bai'ai'en 索柏艾恩
'suo'cha 索察
'suo'er'mei'zhou 索爾美洲
'suo'fei'ya'huo'ju'tou 索菲亞火車頭
'suo'fei'ya'li'fu'si'ji 索菲亞利夫斯基
'suo'fei'ya'si'la'wei'ya 索菲亞斯拉維亞
'suo'fei'ya'zhong'yang'liu'jun 索菲亞中央陸軍
'suo'ke'luo'fu 索科洛夫
'suo'lun'tuo 索倫托
'ta'bi'li'si 塔比歷斯
'ta'er'bo'te'gang 塔爾波特港
'ta'ge'lei'si 塔格雷斯
'ta'ku'li 塔庫裡
'ta'la'en'tuo 塔拉恩托
'ta'la'ge'na 塔拉哥納
'ta'la'ya 塔拉雅
'ta'li'ke 塔利克
'ta'lin'li'hua'dai'ya 塔林利華戴亞
'tai'fu'li'ya 泰夫利亞
'tai'guo'gang'kou'ju 泰國港口局
'tai'guo'hai'guan 泰國海關
'tai'guo'yan'cao 泰國菸草
'tai'jing'yin'xing 泰京銀行
'tai'la'sang'na 泰拉桑那
'tai'la'si'pu'er 泰拉斯普爾
'tai'li'pu'li'si 泰利普利斯
'tai'li'si'tian'na 泰利斯天拿
'tai'lian'ni 泰連尼
'tai'lie'wei'su 泰列維素
'tai'lin 泰琳
'tai'na'hua'si'ba'da 泰拿華斯巴達
'tai'neng 泰能
'tan'bai'li 譚柏利
'tang'ka'shi'da 唐卡士打
'tang'mu'si'ji 湯姆斯基
'te'la'bu'zong 特拉布宗
'te'la'na 特拉納
'te'la'wei'fu'ha'pu'er 特拉維夫哈普爾
'te'la'wei'fu'ma'ka'bi 特拉維夫馬卡比
'te'lai'da 特萊達
'te'lan'si'mai 特蘭斯邁
'te'li'bao 特利堡
'te'li'nai'ke 特里耐克
'te'lu'wa 特魯瓦
'te'lun'si'na'wa 特倫思納瓦
'te'luo'sa'sa'na 特羅薩薩納
'te'luo'su 特羅素
'te'luo'xi'wei'lu'si 特洛西維路斯
'te'nei'li'fei 特內里費
'te'shi'da 特士達
'tian'an 天安
'tian'jin'tai'da 天津泰達
'tian'lang'xing 天狼星
'tian'qi'nv'zi 田崎女子
'tu'bi'si 突比斯
'tu'lie'wei'ke 圖列維克
'tu'lu'zi 圖魯茲
'tu'luo'du'er 圖羅杜爾
'tu'xing 土星
'tuo'ao'si 托奧斯
'tuo'er 托爾
'tuo'er'nai 托爾奈
'tuo'er'si 托爾司
'tuo'ji'lian 托基聯
'tuo'la'ka 托拉卡
'tuo'lian'nu 拖連奴
'wa'si'bi 瓦思畢
'wa'si'lu'yi 瓦斯路易
'wei'di'si 維迪斯
'wei'duo'li'ya 維多利亞
'wei'er 韋爾
'wei'er'gang 維爾港
'wei'er'jun 威爾郡
'wei'er'wa 維爾瓦
'wei'fu'ke 維夫克
'wei'fu'liu'lang'dui 威夫流浪隊
'wei'fu'te'qing'nian'dui 威福特青年隊
'wei'gan'bi 韋甘比
'wei'ge'ha'ma 維格哈瑪
'wei'gen 韋根
'wei'heng 威恆
'wei'ji'li 維積利
'wei'ji'ou'la'wei'ke 維吉歐拉維克
'wei'jing 維京
'wei'jing'ge 維京格
'wei'jing'ji'te 維京吉特
'wei'ka'wa'si 維卡瓦斯
'wei'ke'nuo'yu'zhi 維克諾域治
'wei'la'li'er 維拉利爾
'wei'la'nuo'wa 維拉諾瓦
'wei'lian'er'shi 威廉二世
'wei'ling'dun 威靈頓
'wei'lun 韋倫
'wei'luo'na 維羅納
'wei'mao'si 威茂斯
'wei'mu'si 威姆斯
'wei'na'si 維那斯
'wei'ni'si 威尼斯
'wei'ning'dun'fu'huo 威寧頓復活
'wei'qin'cha 維琴察
'wei'rui'ya 維瑞亞
'wei'sai'la 維賽拉
'wei'shan'xian'dai 蔚山現代
'wei'shan'zao'chuan 蔚山造船
'wei'si'da'lu 韋斯達路
'wei'si'ka 威斯卡
'wei'si'pu 韋斯浦
'wei'si'qu'lai 韋斯屈萊
'wei'si'wen'ni'cha 韋斯文尼查
'wei'si'xian 韋斯咸
'wei'te'la 維特拉
'wei'tie'bu'si'ke'huo'ju'tou 維貼布斯克火車頭
'wei'tong 維通
'wei'ye'na'xun'su 維也納迅速
'wen'ge'hua'bai'mao 溫哥華白帽
'wen'sha'bao'bian'jing'xing 溫莎堡邊境星
'wen'te'tu'er 溫特圖爾
'wo'er'fu'si'bao 沃爾夫斯堡
'wo'si'ka'la 沃斯卡拉
'wu'bi'si 烏比斯
'wu'de'le'zhi 烏德勒支
'wu'dian'ni'si 烏甸尼斯
'wu'han'guang'gu 武漢光谷
'wu'la'er 烏拉爾
'wu'la'kan 烏拉坎
'wu'zi'ti'na'la'ban 烏茲提納拉班
'xi'ang 錫昂
'xi'bai'nian 喜百年
'xi'bi'er 席比爾
'xi'bi'ni'ke 席比尼克
'xi'er'xing'bao 希爾星堡
'xi'fei'lian 錫菲聯
'xi'hang 希杭
'xi'jin'si 希金斯
'xi'la'mei 西拉美
'xi'meng 希蒙
'xi'ou'fu'ke 席歐福克
'xi'rui'ke 希瑞克
'xi'si'dun 希斯頓
'xi'te 席特
'xi'wei'er 西維爾
'xi'wei'er'jing'ji 西維爾競技
'xi'wei'si'bao 希維斯堡
'xi'ya'tu'yin'xiang 西雅圖音響
'xi'ye'na 錫耶納
'xi'zhou'san 錫周三
'xia'ji'du'ke 夏積杜克
'xia'ka 夏卡
'xia'na'zuo'du'ya 夏拿佐杜亞
'xia'shan'nv'zi 狹山女子
'xia'wei'ke'wei'si 夏維科韋斯
'xian'dai'cheng 現代城
'xian'ka'mu 咸卡姆
'xian'mei'dun 咸美頓
'xian'mei'en'lian'na 咸美恩連拿
'xian'shi'tai'si 咸史泰斯
'xian'tai'wei'jia'tai 仙台維加泰
'xiang'nan'bi'ma 湘南比馬
'xiao'a'gen'ting'ren 小阿根廷人
'xiao'bao'jia 小保加
'xie'ao'lai 歇奧萊
'xie'kuai'dui 協會隊
'xie'lu'di 些路迪
'xin'da'ka'la 辛達卡拉
'xin'jia'po'wu'zhuang'bu'dui 新加坡武裝部隊
'xin'li'ke 辛歷克
'xin'ning 辛寧
'xin'si'hua'er 辛斯華爾
'xin'te'lan 新特蘭
'xin'xie'tian'e 新瀉天鵝
'xin'xie'tian'e'yi'dui 新瀉天鵝乙隊
'xin'ying'lun'ge'ming 新英倫革命
'xing'dui 星隊
'xing'yun'xue'da 幸運薛達
'xiong'ben'nv'zi 熊本女子
'xiong'ben'shen'gong 熊本深紅
'xiong'ge'li'ya 匈格利亞
'xiu'an'lian 修安聯
'xiu'xian'dun 修咸頓
'xue'er'ke'zhi 靴爾科治
'xue'ge'la'si 靴格拉斯
'xue'lan'yi 雪蘭義
'xue'sheng'dui 學生隊
'xue'si'gao'fu 薛斯高夫
'xue'yuan 學院
'ya'ba'dian 鴨巴甸
'ya'bu'yue'fu 亞布嶽夫
'ya'chen 亞琛
'ya'dian 雅典
'ya'long'cheng 亞隆城
'ya'long'lian'dui 芽籠聯隊
'ya'shan'lian'dui 牙山聯隊
'ya'ta'qi 亞塔奇
'ya'te'lan'da'yin'xing 亞特蘭大銀猩
'ya'te'lan'te 亞特蘭特
'ya'te'lan'ti'si 亞特蘭提斯
'ya'tu'mi'tu'si 亞圖米圖斯
'ya'zhuo'mi'tu'si 亞卓米徒斯
'yan'bian 延邊
'yan'hao'fen 燕豪芬
'yan'tai'yi'teng'ju'feng 煙台毅騰颶風
'yang'zhou'shi'min 揚州市民
'yao'ke'cheng 約克城
'ye'hou'da 耶侯達
'ye'lu'sa'leng'xia'pu'er 耶路撒冷夏普爾
'ye'shi'yu'zhi 葉士域治
'yi'an'ni'gao'si 伊安尼高斯
'yi'ao'hua 伊奧華
'yi'ba 伊巴
'yi'da'li'ju'ji'shou 意大利狙擊手
'yi'gao'tai'li'si 伊高泰利斯
'yi'hua'dong 伊華東
'yi'lan'na'si 伊蘭拿斯
'yi'li'jie'wei'si 伊利捷維斯
'yi'na'ke'li'si 伊拿克里斯
'yi'nuo'xi'si 意諾西斯
'yi'pa'ting'jia 伊帕汀加
'yi'ruo'ni'qi'ya'xia'pu 伊若尼奇亞夏普
'yi'si'ji'xi'hai'si'pu 伊斯基錫海斯普
'yi'si'mai'li 依斯麥里
'yi'si'tan'bao 伊斯坦堡
'yi'si'te 伊斯特
'yi'si'te'la 伊斯特拉
'yi'si'tuo'li'er 伊斯托里爾
'yi'wa'dun 伊瓦頓
'yi'xi'la'wa 伊希拉瓦
'yi'you'ma 伊尤馬
'yin'di'ou'si 印地歐斯
'ying'te'bu'luo'ge 英特布羅格
'ying'te'du'gu 英特杜古
'you'hu'dui 幼虎隊
'you'li'sa'si 尤裏薩斯
'you'ni'li'ya 尤尼里亞
'you'shi'dui 幼獅隊
'you'wen'du'de 尤文都德
'yu'bao 域堡
'yu'lei 魚雷
'yu'si'xian 域斯咸
'yun'da'bu'lai'mei 雲達不萊梅
'yun'da'hua 雲達華
'yun'deng 雲登
'yun'lu 雲路
'zha'huang'gang'sa'duo 札幌岡薩多
'zhe'jiang'ba'bei'lv'cheng 浙江巴貝綠城
'zhen'ge'na'bai'lie'zhi 真格拿拜列治
'zhen'te 真特
'zhi'jia'ge'huo'yan 芝加哥火燄
'zhi'li'guo'jia'dui 智利國家隊
'zhong'qing'li'fan 重慶力帆
'zhong'yang'hai'an 中央海岸
'zu'hua'shi'ta'bi'ya 祖華史塔比亞
'zu'ma'na 祖瑪拿
'zu'yun'da'si 祖雲達斯
'zu'zu'er'gan'na'si'ya 祖祖爾甘拿斯亞
'zuo'jia'dun'si 佐加頓斯
