'ai'er'bu'chou 哀而不愁
'chui'gong'er'zhi 垂拱而治
'chui'guang'bai'shi 垂光百世
'chui'ji'si'shi 垂及四世
'chui'kong'wen'yi'duan'li'yi 垂空文以断礼义
'chui'ming'dang'shi 垂明当世
'chui'ming'yue'zhi'zhu 垂明月之珠
'chui'shen'zheng'hu 垂绅正笏
'chui'tou'er'shui 垂头而睡
'chun'bu'de'bi'feng'chen 春不得避风尘
'chun'er'tiao'sang 春尔条桑
'chun'geng 春耕
'chun'guang'rong'rong 春光融融
'chun'luo'bai'yue 春萝摆月
'chun'qiu'bian'shi'fei 春秋辨是非
'chun'qiu'bu'ji'bu'hui'xian'ming 春秋不讥不讳嫌名
'chun'qiu'cai'shan'bian'e 春秋采善贬恶
'chun'qiu'gong'xian 春秋贡献
'chun'qiu'gong'yang'chuan'yue 春秋公羊传曰
'chun'qiu'ji'bu'qin'ying 春秋讥不亲迎
'chun'qiu'jin'yan 春秋谨严
'chun'qiu'shu'zang'yuan'zhong'hui'shuai'shi 春秋书葬原仲翚帅师
'chun'qiu'wen'cheng'shu'wan 春秋文成数万
'chun'qiu'xian'zhe'bu'ming 春秋贤者不名
'chun'qiu'ye'zhe 春秋也者
'chun'qiu'yi'dao'yi 春秋以道义
'chun'qiu'zhi'yi 春秋之义
'chun'qiu'zhi'zhong 春秋之中
'chun'sheng'qiu'shi 春生秋实
'chun'wang'chi'han'zhe 唇亡齿寒者
'chun'wang'ze'chi'han 唇亡则齿寒
'chun'wang'zheng'yue 春王正月
'chun'xia'zhi'jiao 春夏之交
'chun'xiao'ye 纯孝也
'chun'ye'yan'tao'li'yuan'xu 春夜宴桃李园序
'chun'yu'kun'shuo'zhi'yi'yin'yue 淳于髡说之以隐曰
'chun'yu'kun'yang'tian'da'xiao 淳于髡仰天大笑
'chun'yu'kun'zhe 淳于髡者
'chun'zhe'he 春者何
'chuo'li'feng'fa 踔厉风发
'ci'ai'er'neng'duan 慈爱而能断
'ci'bao'jiao'suo'yi'fen'yu'shi'ye 此鲍焦所以愤于世也
'ci'bei'qing'liu 此辈清流
'ci'bi'li'mu'si'yi 此必吏目死矣
'ci'bi'wei'chang'xiang'jie'ye 辞币未尝相接也
'ci'bi'you'suo'le'hu'si'dao'ye 此必有所乐乎斯道也
'ci'bing'shi'ye 此病是也
'ci'bu'fu'ming 辞不赴命
'ci'bu'guo'er'bai'wan 赐不过二百万
'ci'bu'jiu'zhi 辞不就职
'ci'bu'zhi'ren'zhi'huo'ye 此不知人之祸也
'ci'bu'zu'wei'yong'ye 此不足为勇也
'ci'cang'lang'ting'wei'da'yun'an'ye 此沧浪亭为大云庵也
'ci'cao'zhi'shi'ji'er'han'shi'jiang'cheng 此操之失计而汉事将成
'ci'chen'suo'wei 此臣所谓
'ci'chen'zhi'suo'da'yuan'ye 此臣之所大愿也
'ci'chen'zhi'suo'kong'er 此臣之所恐耳
'ci'chen'zhi'suo'yi'bao'xian'di 此臣之所以报先帝
'ci'chen'zhi'wei'jie'er'ye 此臣之未解二也
'ci'chen'zhi'wei'jie'liu'ye 此臣之未解六也
'ci'chen'zhi'wei'jie'san'ye 此臣之未解三也
'ci'chen'zhi'wei'jie'si'ye 此臣之未解四也
'ci'chen'zhi'wei'jie'wu'ye 此臣之未解五也
'ci'chen'zhi'wei'jie'yi'ye 此臣之未解一也
'ci'cheng'wei'ji'cun'wang'zhi'qiu'ye 此诚危急存亡之秋也
'ci'chou'nang'xin'ji 此畴曩心迹
'ci'chu'guo'zhi'bao'ye 此楚国之宝也
'ci'da'de'ye 此大德也
'ci'da'yun'an'wei'cang'lang'ting'ye 此大云庵为沧浪亭也
'ci'di'you'chong'shan'jun'ling 此地有崇山峻岭
'ci'du'da'wang'zhi'xiong'feng'er 此独大王之雄风耳
'ci'er'guo'qi'ji'yu'su 此二国岂系于俗
'ci'er'ren'zhe 此二人者
'ci'er'shi'fu'ye 此二士弗业
'ci'er'zi'zhe 此二子者
'ci'fei'bi'tan'han'dan 此非必贪邯郸
'ci'fei'cao'meng'de'zhi'shi'hu 此非曹孟德之诗乎
'ci'fei'kong'yan'ye 此非空言也
'ci'fei'meng'de'zhi'kun'yu'zhou'lang'zhe 此非孟德之困于周郎者
'ci'fei'suo'yi'kua'hai'nei'zhi'zhu'hou 此非所以跨海内制诸侯
'ci'fu'er'ju'pin 辞富而居贫
'ci'fu'jian'bei 慈父见背
'ci'gong'chen'yi'shi'suo'yi'fu'ji'er 此功臣义士所以负戟而
'ci'gong'zhi'zhi'er'shi'yi'yi'ci'wang 此公之志而士亦以此望
'ci'gu'fei'mian'qiang'ji'yue'zhi'jian 此固非勉强期月之间
'ci'gu'qin'huang'zhi'suo'bu'neng'jing 此固秦皇之所不能惊
'ci'gu'zhan'chang'ye 此古战场也
'ci'guan'he'ye 此鹳鹤也
'ci'he'sheng'ye 此何声也
'ci'he'yi'cheng'yan 此何以称焉
'ci'he'yi'ming 此何以名
'ci'he'yi'shu 此何以书
'ci'he'yi'you'jun'you'dai'fu 此何以有君有大夫
'ci'hou'han'suo'yi'qing'tui'ye 此后汉所以倾颓也
'ci'hou'yu'gong'qing'zhi'men 伺候于公卿之门
'ci'hou'yu'men'qiang'zhe'ri'yi'jin 伺候于门墙者日益进
'ci'huang'di'zhi'suo'yi'qi'shi'zhan'er 此黄帝之所以七十战而
'ci'ji'yu'shi 次及于事
'ci'jia'shu'zhi'shi 此贾竖之事
'ci'jie'dai'fu'ye 此皆大夫也
'ci'jie'ji'li'zhi'feng 此皆疾吏之风
'ci'jie'liang'shi 此皆良实
'ci'jie'qi'zhi'xi'jie 此皆齐之西界
'ci'jie'sao'ren'si'shi'zhi'suo'yi'bei 此皆骚人思士之所以悲
'ci'jie'shu'shi'nian'zhi'nei'suo'jiu'he 此皆数十年之内所纠合
'ci'jie'tian'zhi'wei'ding'zhe'ye 此皆天之未定者也
'ci'jie'xue'shi'suo'wei'you'dao'ren'ren 此皆学士所谓有道仁人
'ci'jin'guo'zhi'bao'ye 此晋国之宝也
'ci'jin'qian'yi 赐金千镒
'ci'jin'qu'zhi'shi'ye 此进趋之时也
'ci'jiu'da'wang'zhi'qian 赐酒大王之前
'ci'jun'zi'zhi'peng'ye 此君子之朋也
'ci'le'he'ji 此乐何极
'ci'li'zhi'chang 此理之常
'ci'li'zhi'chang'ye 此理之常也
'ci'li'zhi'suo'bi'wu'zhe'ye 此理之所必无者也
'ci'liang'yan'jue'er 此两言决耳
'ci'ling'chen'qing'bei'qi'zhu 此令臣轻背其主
'ci'ling'suo'yi'yang'tian'zhui'xin'er'qi 此陵所以仰天椎心而泣
'ci'ling'xu'zhi'suo'wei'zhu'ye 此凌虚之所为筑也
'ci'lou'xia'dian 辞楼下殿
'ci'lv'min'er'chu'yu'wu'yong'zhe 此率民而出于无用者
'ci'lv'zhi'yuan'zhe'ye 此虑之远者也
'ci'mu'zu 次母族
'ci'nai'chuan'zhi'suo'wei'da'sheng'hu 此乃传之所谓大圣乎
'ci'nai'qin'zhi'suo'yi'wang'tian'xia'ye 此乃秦之所以亡天下也
'ci'niao'bu'fei'ze'yi 此鸟不蜚则已
'ci'ning'you'zheng'jiao'fa'zheng'qi'hui'zai 此宁有政教发征期会哉
'ci'qi'da'jiao'ye 此其大较也
'ci'qi'fei'can'tian'di'guan'sheng'shuai'hao 此岂非参天地关盛衰浩
'ci'qi'fei'ren'zhi'suo'wei'xian'hao'jian 此岂非人之所谓贤豪间
'ci'qi'gu'fang'shan'guan'zhi'yi'xiang'hu 此岂古方山冠之遗像乎
'ci'qi'gu'he'ye 此其故何也
'ci'qi'jin'yu'ren'qing'zai 此岂近于人情哉
'ci'qi'jin'zhe'huo'ji'shen 此其近者祸及身
'ci'qi'jun'chen'xiang'de'zhi'fen 此其君臣相得之分
'ci'qi'qi'qing'ye'zai 此岂其情也哉
'ci'qi'ren'jie'you'chu'ren'zhi'zhi'gai 此其人皆有出人之智盖
'ci'qi'suo'xie'chi'zhe'shen'da 此其所挟持者甚大
'ci'qi'suo'yi'wei'kuai'zai'zhe'ye 此其所以为快哉者也
'ci'qi'suo'yi'wei'zi'fang'yu 此其所以为子房欤
'ci'qi'suo'yi'yu'shi'yi'ye 此其所以与史异也
'ci'qi'wu'de'er'ran'zai 此岂无得而然哉
'ci'qi'you'da'zhang'ming'jiao'zhu'zhe'ye 此其尤大彰明较著者也
'ci'qi'yu'qi'ma'zhi'gong'xiang'qu'yuan 此其与骑马之功相去远
'ci'qi'zhi'tian'xia'zhi'shi'ye 此岂知天下之势耶
'ci'qi'zhong'yi'you'yi'guo'ren'zhe 此其中宜有以过人者
'ci'qi'zi'yi'ru'he'hui 此其子宜如何讳
'ci'qi'zu 次妻族
'ci'qian'shi'suo'zai'huan'zhe'zhi'huo'chang 此前史所载宦者之祸常
'ci'qiu'sheng'ye 此秋声也
'ci'qu 辞去
'ci'ren'de'zhi 此人得志
'ci'ren'jie'shen'zhi'wang'hou'jiang'xiang 此人皆身至王侯将相
'ci'ren'jie'yi'you'suo'yu'jie 此人皆意有所郁结
'ci'ren'qing'zhi'suo'rong 此人情之所荣
'ci'ren'sheng'zhi'suo'yi'shang'ye 此仁圣之所以伤也
'ci'ren'yi'yi'wei'ju'yan'suo'wen 此人一一为具言所闻
'ci'ren'yin'qin 慈仁殷勤
'ci'ren'zhi'zhi'qing'ye 此人之至情也
'ci'ru'fu'zhi'zhi'ye 此汝父之志也
'ci'san'zhe 此三者
'ci'san'zi'jie'bu'yi'zhi'shi'ye 此三子皆布衣之士也
'ci'shang'ren'suo'yi'jian'bing'nong'ren'nong 此商人所以兼并农人农
'ci'sheng'feng'bei 粢盛丰备
'ci'shi'bu'zao 粢食不凿
'ci'shi'er'yu'wei'zhi'an 此时而欲为治安
'ci'shi'lu'zhong'lian'shi'you'zhao 此时鲁仲连适游赵
'ci'shi'nan'yi 此实难矣
'ci'shi'shou'tian'zi'ming 刺史受天子命
'ci'shi'sui'nu'ruo 刺史虽驽弱
'ci'shi'sui'you'yan 刺史虽有言
'ci'shi'suo'wei'shang'xia'xiang'fu'ye 此世所谓上下相孚也
'ci'shi'suo'yi'bu'chuan'ye 此世所以不传也
'ci'shi'xian'ling'zhi'suo'zhi 刺史县令之所治
'ci'shi'ze'xuan'cai'ji'li'min 刺史则选材技吏民
'ci'shi'zhi'da'zei'ye 此世之大贼也
'ci'shi'zhi'shi'ye 刺史之事也
'ci'shi'zhi'suo'yi'bu'zhi'ye 此士之所以不至也
'ci'shu'bao'zhe 此数宝者
'ci'shu'ji'shu'xiong 此孰吉孰凶
'ci'shu'mei'zhe 此数美者
'ci'shui'ye 此谁也
'ci'si'hang'zhe 此四行者
'ci'si'jun'zhe 此四君者
'ci'si'yu'ye 此死狱也
'ci'si'zhe 此四者
'ci'suo'wei 此所谓
'ci'suo'wei'jin'si'jin'zhong 此所谓进思尽忠
'ci'suo'wei'tian'fu 此所谓天府
'ci'suo'wei'yi'shang'cun'zhe'ye 此所谓一尚存者也
'ci'suo'wei'zhan'sheng'yu'chao'ting 此所谓战胜于朝廷
'ci'suo'yi'xue'zhe'bu'ke'yi'bu'shen 此所以学者不可以不深
'ci'tian'suo'yi'xing'xian'wang'er'bu'qi 此天所以幸先王而不弃
'ci'tian'xia'suo'xi'wen 此天下所希闻
'ci'tian'yi'gua'ren'hun'xian'sheng 此天以寡人慁先生
'ci'tui'ren'zhi'dao 此推刃之道
'ci'wang'ye'ye 此王业也
'ci'wei'dao'ye 此危道也
'ci'wei'shi'juan 次为十卷
'ci'wo'nan'bi'zhi'tian 赐我南鄙之田
'ci'wo'xian'jun'lv 赐我先君履
'ci'wu'di'san'wang'zhi'suo'yi'wu'di 此五帝三王之所以无敌
'ci'wu'gu'ren'chen'zao'ji'chang'ye 此吾故人陈慥季常也
'ci'wu'suo'da'e'ye 此吾所大恶也
'ci'wu'ta 此无他
'ci'wu'zhe'guo'zhi'dian'si'ye 此五者国之典祀也
'ci'wu'zhi'ru'fu'zhi'bi'jiang'you'hou 此吾知汝父之必将有后
'ci'wu'zi'zhe 此五子者
'ci'xi'zhen'liang'si'jie'zhi'chen'ye 此悉贞亮死节之臣也
'ci'xian'han'suo'yi'xing'long'ye 此先汉所以兴隆也
'ci'xian'sheng'suo'yi'zhao'tian'ming'ye 此贤圣所以昭天命也
'ci'xian'wang'zhi'suo'yi'bu'yong'cai'hui 此先王之所以不用财贿
'ci'xiao'guo'zhi'suo'yi'shi'da'guo'ye 此小国之所以事大国也
'ci'xiong'yong'yong'zhi'xiang'ming'ye 雌雄雍雍之相鸣也
'ci'yan'shi'jie'bu'ke'bu'mian'li'ye 此言士节不可不勉励也
'ci'yan'sui'xiao 此言虽小
'ci'yan'ze'zi'chen'dian'huo'ji'ying'dian 赐宴则紫宸殿或集英殿
'ci'yi'ji 赐一级
'ci'yi'jie'zhi'shi'de'zhi'yu'dang'shi 此一介之士得志于当时
'ci'yi'qin'shou'yi'di'suo'bu'ren'wei 此宜禽兽夷狄所不忍为
'ci'yi'ren'ye 此义人也
'ci'yi'shang'lao'ren'suo'wei'shen'xi'zhe 此圯上老人所为深惜者
'ci'yi'yi'ye 此一役也
'ci'yi'you'suo'chang 此亦有所长
'ci'yong'chang'duan'zhi'shu'ye 此用长短之术也
'ci'yong'fu'zhi'nu'ye 此庸夫之怒也
'ci'you'bu'tong'zhi'lun'ye 此又不通之论也
'ci'you'he'shuo'zai 此又何说哉
'ci'you'jun'zi'zhi'you'nan'zhe'ye 此又君子之尤难者也
'ci'you'xiao'ren'zhi'you'shen'zhe'ye 此又小人之尤甚者也
'ci'yu'suo'yi'kun'yu'jin'er'bu'zi 此予所以困于今而不自
'ci'yu'xing 次于陉
'ci'yu'ying'wei 次于颍尾
'ci'yu'zhao'ling 次于召陵
'ci'yu'zhi'suo'de'ye 此予之所得也
'ci'yuan'bu'fei 此园不废
'ci'yue 辞曰
'ci'ze'ren'zhi'bian'ye 此则人之变也
'ci'ze'yue'yang'lou'zhi'da'guan'ye 此则岳阳楼之大观也
'ci'zhen'ba'zhu'shui'huo 此朕拔诸水火
'ci'zhen'de'sui'wei'fu 此朕德绥威服
'ci'zhen'ke'yi'shuo'dang'shi'zhi'jun'yi 此真可以说当世之君矣
'ci'zhen'shao'qing'suo'qin'jian 此真少卿所亲见
'ci'zhen'zhi'feng'mu'yu 此朕栉风沐雨
'ci'zhi 次之
'ci'zhi'bu'ke'yi'yi'ye'ru'shi'fu 辞之不可以已也如是夫
'ci'zhi'chi'yi'er'fu'zhi'jiang 赐之鸱夷而浮之江
'ci'zhi'ji'yi 辞之辑矣
'ci'zhi'wei'xia'sheng 此之谓夏声
'ci'zhi'yi'yi 辞之怿矣
'ci'zhong'chen'yi'shi'suo'yi'fen'yuan'er 此忠臣义士所以愤怨而
'ci'zhong'ren'yu'yun 此中人语云
'ci'zhong'zhi'yi'shang'nai'neng'lv'zhi 此中知以上乃能虑之
'ci'zi'fang'jiao'zhi'ye 此子房教之也
'ci'zi'gu'sheng'xian'mo'bu'jie'ran 此自古圣贤莫不皆然
'ci'zi'gu'sheng'xian'yi'jie'ran'xi 此自古圣贤亦皆然兮
'ci'zi'ran'zhi'li'ye 此自然之理也
'cong'che'qi'shu'shi'ren 从车骑数十人
'cong'cong'zheng'zheng 鏦鏦铮铮
'cong'di'zhi'zi'ye 从弟之子也
'cong'er'fa'zhi 从而罚之
'cong'er'shang'zhi 从而赏之
'cong'feng'er'fu 从风而服
'cong'gu'ru'si 从古如斯
'cong'jun'zhe'ye 从君者也
'cong'rong'you'le 从容优乐
'cong'sao'gui'zang'he'yang 从嫂归葬河阳
'cong'shi'yue 从事曰
'cong'wu'suo'hao 从吾所好
'cong'wu'you'zhe 从吾游者
'cong'yu'jue'gong 藂于厥躬
'cong'zhe'sai'tu 从者塞途
'cong'zi'yu'pan'xi 从子于盘兮
'cu'er'qu'zhi'ke'ye 捽而去之可也
'cu'ran'gai'bu'sheng'qi'you'zhe 蹙然盖不胜其忧者
'cuan'feng'song'qiao 攒峰竦诮
'cuan'liang'hong'yu'hai'qu 窜梁鸿于海曲
'cui'bei 翠被
'cui'chen'shang'dao 催臣上道
'cui'wu'zi'jian'tang'jiang'er'mei'zhi 崔武子见棠姜而美之
'cui'yu'yi'guan'shi'yan'zhi 萃于一官使言之
'cui'zi'shi'zhi 崔子弑之
'cui'zi'yue 崔子曰
'cun'shen'mu'qing 存神穆清
'cun'wang'guo 存亡国
'cun'wang'ji'jue 存亡继绝
'cun'you'suo'chang 寸有所长
'cun'zhao'guo 存赵国
'cun'zhi'yu'mu 存之于目
'cun'zhong'wen'you'ci'ren 村中闻有此人
'cuo'bu'yu'ci'shi'juan'qi'shen 错不于此时捐其身
'cuo'yi'shen'ren'qi'wei 错以身任其危
'cuo'zhi'suo'yi'zi'quan'zhe 错之所以自全者
'cuo'zhu'bi 措诸壁
'da'bo'bu'cong 大伯不从
'da'bo'yu'zhong 大伯虞仲
'da'chen'bu'ji 大臣不忌
'da'chen'jian'yi'xia'yuan'ji'deng 大臣蹇义夏元吉等
'da'chen'qiang'jian 大臣强谏
'da'chen'san'ri'huo'wu'ri'yi'ci'qi 大臣三日或五日一次起
'da'chen'wen'er'jian'zhi 大臣闻而荐之
'da'chen'you'ju 大臣忧惧
'da'chen'you'qi 大臣忧戚
'da'chen'zai'xiang'zhe'zhi'shi 大臣宰相者之事
'da'chen'zhi'shun 大臣致顺
'da'chen'zhi'yong'xin 大臣之用心
'da'dao'bei'luan 大道悖乱
'da'dao'bu'zhi 大盗不止
'da'de'min'ye 大得民也
'da'di'qiang'zhe'xian'fan 大抵强者先反
'da'di'wei'qi'zhu'you'jian'yu'qin'er 大抵为其主游间于秦耳
'da'di'xian'sheng'fa'fen'zhi'suo'wei'zuo 大底贤圣发愤之所为作
'da'di'xian'sheng'fa'fen'zhi'suo'wei'zuo 大抵贤圣发愤之所为作
'da'dou'bu'guo'can'guo'zhi'yi 大都不过参国之一
'da'e'yu'min 大恶于民
'da'er'wan 大而婉
'da'fan'jun'zi'yu'jun'zi 大凡君子与君子
'da'fan'wu'bu'de'qi'ping'ze'ming 大凡物不得其平则鸣
'da'feng'ye'zai 大风也哉
'da'geng'bu'zhi 大羹不致
'da'guan'da'yi 大官大邑
'da'guan'sui'yu'xi'mo'bi'yu'gong 达观随寓兮莫必予宫
'da'guo'ruo'fu'tu 大国若弗图
'da'guo'ye 大国也
'da'guo'zhi'wang'you'ruo'wei'zhuang 大国之王幼弱未壮
'da'hai'zai'qi'nan 大海在其南
'da'jiang'ye 大将也
'da'jiang'zhi'pen 大江之濆
'da'ju'ren'cai'fang'shi 大惧人材放失
'da'kai'jiang'shi 大开奖饰
'da'kuai'jia'wo'yi'wen'zhang 大块假我以文章
'da'lu'yue'xi 大路越席
'da'lun'shi'hong 大论是弘
'da'lv'chen'yu'yuan'ying 大吕陈于元英
'da'pi'zhi'ji'sui'yi'wan'shu 大辟之计岁以万数
'da'po'chu'shi'yu'dan'xi 大破楚师于丹淅
'da'po'lin'hu 大破林胡
'da'po'zhi 大破之
'da'qi'ping'hu'ji'ye 大其平乎己也
'da'qi'sheng'er'ji'hu'yi 大其声而疾呼矣
'da'ren'zhi'ming 达人知命
'da'sheng'ren'ye 大圣人也
'da'sheng'zhi 大胜之
'da'shi'ce'li'qian'chi 大石侧立千尺
'da'shu'chu'ben'gong 大叔出奔共
'da'shu'hui'zhi 大叔悔之
'da'shu'wan'ju 大叔完聚
'da'shu'wei'zheng 大叔为政
'da'shu'you'shou'er'yi'wei'ji'yi 大叔又收贰以为己邑
'da'si'hai 达四海
'da'si'ma'gu'jian'yue 大司马固谏曰
'da'si'ma'zuo'you'qian'hou'jiang'jun'shi 大司马左右前后将军侍
'da'su'wu'shu 答苏武书
'da'sui'zhi'wai 大隧之外
'da'sui'zhi'zhong 大隧之中
'da'wang'chang'wen'bu'yi'zhi'nu'hu 大王尝闻布衣之怒乎
'da'wang'fu'yu'cheng'er'dai'zhao'bi 大王弗予城而绐赵璧
'da'wang'jia'hui 大王加惠
'da'wang'xin'xing'chen'zhi'yan 大王信行臣之言
'da'wang'zhi'guo 大王之国
'da'wang'zhi'zhao'ye 大王之昭也
'da'wu'qi'wei'ke'gai'ye 大物其未可改也
'da'xi 大喜
'da'xin'er'nuo 达心而懦
'da'xin'ze'qi'yan'lue 达心则其言略
'da'xing'shi'fa'qin 大兴师伐秦
'da'yan'yi'qun'xun'wei'yi 大阉亦逡巡畏义
'da'yan'zhi'luan 大阉之乱
'da'yi'ru'tian'zhi'wu'bu'chou'ye 大矣如天之无不帱也
'da'yi'tong'er'shen'shi'ye 大一统而慎始也
'da'yi'tong'ye 大一统也
'da'yue'zhi'yin'ye 大岳之胤也
'da'zai'xiang'hu 大哉相乎
'da'zhang'fu'bu'yu'yu'shi'zhe'zhi'suo 大丈夫不遇于时者之所
'da'zhang'fu'zhi'yu'zhi'yu'tian'zi 大丈夫之遇知于天子
'da'zhe'ru'chuan 大者如椽
'da'zhe'wei'gong 大者为宫
'da'zhe'zong'miao'mie'fu 大者宗庙灭覆
'da'zhi'zhi'ye 大之至也
'da'zhou'bu'ke'ru'ye 大舟不可入也
'dai'bai'si'zhi'zhi'yi'zai 代百司之职役哉
'dai'bu'ke'shu 殆不可数
'dai'chen'er'ju'huo'zhe'san'bai'yu'ren 待臣而举火者三百余人
'dai'dan'er'ru 待旦而入
'dai'feng'sheng'chao 逮奉圣朝
'dai'fu'wen'wu'zhong'xiao 大夫文武忠孝
'dai'fu'wu'gong'yi'fu'yue'zhen'he'yang 大夫乌公以鈇钺镇河阳
'dai'fu'wu'gong'yi'zhen'he'yang 大夫乌公一镇河阳
'dai'fu'xi'long'yu'yue 大夫奚隆于越
'dai'fu'yong'zhi 大夫壅之
'dai'fu'yue 大夫曰
'dai'fu'zhen'neng'yi'yi'qu'ren 大夫真能以义取人
'dai'fu'zhi'ze'yu 大夫之箦与
'dai'fu'zhong'nai'xian'mou'yue 大夫种乃献谋曰
'dai'fu'zhong'yong'er'shan'mou 大夫种勇而善谋
'dai'hua'yang'jin 戴华阳巾
'dai'huai'hai'na'tu 迨淮海纳土
'dai'jia'bai'wan 带甲百万
'dai'jin'sheng'zhu'xing'er'yu'nei'ding 逮今圣主兴而宇内定
'dai'lou'yuan'ji 待漏院记
'dai'lou'zhi'ji 待漏之际
'dai'ming'fan'shi'you'jiu'ri 待命凡十有九日
'dai'qi'fu'shi 逮其父时
'dai'qi'jia 待其嫁
'dai'qi'jiu'li'xing 待其酒力醒
'dai'qi'si'bu'qu 逮其死不去
'dai'qi'yi'xin 待其已信
'dai'qiong'zhe'er'hou'gong'ye 殆穷者而后工也
'dai'shang'fu'xi 带裳幅舄
'dai'sheng'ren'zhi'chu 待圣人之出
'dai'shu'ren'zhi'hou 待蜀人之厚
'dai'si'tong'guan 殆死潼关
'dai'wei'ci'ye 殆为此也
'dai'wo'huang'di 逮我皇帝
'dai'wu'yan'zhi 待吾言之
'dai'yong'wu'yi'zhe 待用无遗者
'dai'yu'ji'zhi'wei'ye 怠与忌之谓也
'dai'zhe'bu'neng'xiu 怠者不能修
'dan'dang'tui'xiao'ren'zhi'wei'peng 但当退小人之伪朋
'dan'feng'bai'di 丹枫白荻
'dan'jian'mu'tong'qiao'sou 但见牧童樵叟
'dan'jian'yi'lei 但见异类
'dan'mu'li'lai'er'hu'yue 旦暮吏来而呼曰
'dan'piao'lv'kong 箪瓢屡空
'dan'qi'bu'xing 但其不幸
'dan'qi'di'zhi'chu 殚其地之出
'dan'ri 旦日
'dan'sheng'yan'you'yuan 但圣言幽远
'dan'shi'er'mu'fu 旦视而暮抚
'dan'shi'sheng'xian'zhi'xiang'qi 但使圣贤之相契
'dan'wen'bei'feng'xiao'tiao'zhi'sheng 但闻悲风萧条之声
'dan'wen'ren'ma'zhi'xing'sheng 但闻人马之行声
'dan'wen'si'bi'chong'sheng'ji'ji 但闻四壁虫声唧唧
'dan'ya'zhong'zi 丹崖重滓
'dan'yi'liu'ri'bo'xi'shan 但以刘日薄西山
'dan'yuan'yi'shi'han'jing'zhou 但愿一识韩荆州
'dan'ze'wang'xi'shan'zhi'que'er'fang'yan 旦则望西山之缺而放焉
'dan'zi'gui 单子归
'dan'zi'ru'chu 单子如楚
'dan'zi'zhi'chen'bi'wang 单子知陈必亡
'dang'bo'qing'di'wu'yan'zhi'ri 当伯请地无厌之日
'dang'bu'fu'ji'yi 当不复记忆
'dang'ci'ku'han 当此苦寒
'dang'ci'shi 当此时
'dang'ci'shi'ye 当此时也
'dang'ci'zhi'shi 当此之时
'dang'dang'nan'ming 荡荡难名
'dang'de'guan 当得官
'dang'feng'ri'qing'mei 当风日清美
'dang'han'zhi'wang'qin'zhi'fang'sheng'ye 当韩之亡秦之方盛也
'dang'he'men'huang'ju 当阖门惶惧
'dang'he'yi'tu'di 当何以图敌
'dang'hu 荡乎
'dang'huai'yin'po'qi'er'yu'zi'wang 当淮阴破齐而欲自王
'dang'jiang'shuai'san'jun 当奖帅三军
'dang'qi'ji'yin'da'zui 当其极饮大醉
'dang'qi'tong'li'zhi'shi 当其同利之时
'dang'qi'xin'yu'suo'yu 当其欣于所遇
'dang'qi'you'zhe'ban'jia'er'mai 当其有者半贾而卖
'dang'qi'zhou'shi'wei'zhi 当其周时未至
'dang'qi'zu'ru 当其租入
'dang'qin'long'zhi'jin'hou 当秦陇之襟喉
'dang'qin'zhi'long 当秦之隆
'dang'qin'zhi'shi 当秦之世
'dang'qiu'shu'qing'zhi'tian'yu'yi'ying'zhi 当求数顷之田于伊颍之
'dang'shi'da'zhi 当时大治
'dang'shi'dong'gong 当侍东宫
'dang'shi'jian'chen'chen'zi'ang'jian'yi'zhu 当时谏臣陈子昂建议诛
'dang'shi'shi 当是时
'dang'shi'shi'bi'xia'ji'wei 当是时陛下即位
'dang'shi'shi'er'bi'xia'ji'tian'zi'wei 当是时而陛下即天子位
'dang'shi'shi'ye 当是时也
'dang'shi'suo'wei'sao'tan'zhu'meng'zhe 当时所谓骚坛主盟者
'dang'shi'yi'xiao'zhi 当世亦笑之
'dang'shi'ze'rong 当时则荣
'dang'shi'zhi'shi 当是之时
'dang'si'sheng'de'ru'tian 当思圣德如天
'dang'tuan'er'jun'zhe'wei'yu'liang 当湍而浚者为鱼梁
'dang'tun'liu'zhi'dao 当屯留之道
'dang'xian'zhi'xin 当先治心
'dang'xin'ji'zhi'ma 当新羁之马
'dang'yao'zhi'shi 当尧之时
'dang'yi'bo'zhou 当诣播州
'dang'yi'wang'zhi'fa 当一王之法
'dang'yi'wei'bi'wu'lu'zhi'zhe 当亦未必无录之者
'dang'yu'shi'qu'ye 当于是去耶
'dang'yu'yu'sha'qing'zi'guan'jun'shi'ye 当于羽杀卿子冠军时也
'dang'zhi'qi'da 当志其大
'dang'zhou'zhi'shi 当纣之时
'dao'bang'zhi'zhong'lei'lei'xi 道傍之冢累累兮
'dao'bian'guan'zhe'yi'you'tan'xi'zhi'qi 道边观者亦有叹息知其
'dao'bu'tong 道不同
'dao'bu'xing'yu'shi'ye 道不行于时也
'dao'de'bu'hou'zhe'bu'ke'yi'shi'min 道德不厚者不可以使民
'dao'fang'er'shi'shi 道方而事实
'dao'fu'bu'ke'xing'ye 道茀不可行也
'dao'gu'jin'er'yu'sheng'de 道古今而誉盛德
'dao'ju'bu'jia 刀锯不加
'dao'jun 到郡
'dao'lu'guan'zhe 道路观者
'dao'lu'yi'mu 道路以目
'dao'pei'li'dui 叨陪鲤对
'dao'qi'er'bu'zhi'yu 盗起而不知御
'dao'qi'feng'su'zhi'mei 道其风俗之美
'dao'qi'suo'dao 道其所道
'dao'qi'yan'yu 道其湮郁
'dao'sang'wen'bi 道丧文弊
'dao'shao'zhi 盗少止
