'a'bu'ha 阿布哈
'yue'qian'rao'duan'qi 跃迁扰断器
'yue'qian'rao'pin'qi 跃迁扰频器
'yue'qian'zu'rao'she'bei 跃迁阻扰设备
'ze'hu'lu 泽胡鲁
'ze'ma'lu 泽玛鲁
'ze'meng'te 泽蒙特
'ze'te 泽特
'zha'de 扎得
'zha'er'du 扎尔杜
'zhan'lie'xun'yang'jian 战列巡洋舰
'zhi'zi'tan 质子弹
'zhu'bi'te 朱庇特
'zhu'de'la 朱德拉
'zhu'di 朱迪
'zhu'dian'qi 注电器
'zhuan'lu'wei'kong'qi 转录微控器
'zhuang'jia'fu'liao 装甲覆料
'zhuang'jia'xiu'fu'she'bei 装甲修复设备
'zhuang'jia'xiu'fu'tou'she'she'bei 装甲修复投射设备
'zhuang'jia'zeng'qiang'qi 装甲增强器
'zhuo'shao'yan 灼烧岩
'zi'dong'suo'di'xi'tong 自动锁敌系统
'zi'wai'jing'ti 紫外晶体
