'an'ji'che'gang 按及车缸
'dong'zhi'zhi'hou 冬至之后
'du'ke'suan'mi'ji 独颗蒜弥忌
'du're 肚热
'du'tou'dong'yao 独头动摇
'du'yao'bu'zhi 毒药不止
'du'yu'bu'xiu 独语不休
'du'zu'zhong'da 独足肿大
'duan'qi 短气
'duan'qi'bu'de'wo 短气不得卧
'duan'qi'bu'zu'yi'xi'zhe 短气不足以息者
'duan'qi'li'ji 短气里急
'duan'qi'zhe 短气者
'dun'fu 顿服
'dun'fu'ji'xiao 顿服即消
'duo'dan'tuo 多诞唾
'duo'du 多毒
'duo'ji'shi'shang 多集食上
'duo'shi'jia'du'yi'tou 多是假毒以投
'duo'shi'ling'ren'fa'luo 多食令人发落
'duo'tuo'kou'zao 多唾口燥
'duo'wu'tang 多鹜溏
'e'feng 恶风
'e'feng'bu'yu'qu'yi 恶风不欲去衣
'e'feng'ze'xu 恶风则虚
'e'han 恶寒
'e'han'zhe 恶寒者
'e'shang'han'chu 额上汗出
'e'shang'hei 额上黑
'e'shui'bu'yu'yin 恶水不欲饮
'e'wen'shi'chou 恶闻食臭
'er'bu'e'han 而不恶寒
'er'da'da'han'bu'jie 而大大寒不解
'er'de'lou'xia'bu'zhi 而得漏下不止
'er'fan'bao'si'zhi 而反暴思之
'er'fan'e'han 而反恶寒
'er'fan'geng'ke 而反更咳
'er'fan'sa'xi'e'han 而反洒淅恶寒
'er'fan'tu'zhe 而反吐者
'er'fan'xia'zhi 而反下之
'er'fan'yi'xi'zhe 而反倚息者
'er'geng'fu'ke 而更复渴
'er'ke'fan'zhi'lao 而渴反止老
'er'mai'wei'ruo 而脉微弱
'er'shi'ri 二十日
'er'tian'wei'wen'he 而天未温和
'er'tian'wen'ru'sheng'xia'wu'liu'yue'shi 而天温如盛夏五六月时
'er'you'yin'an'mo'zhi 而犹引按莫置
'er'yue'wu'shi'liao 二月勿食蓼
'er'zhe 二者
'er'zhe'bing'yu'mao 二者病郁冒
'fa'bai'bing 发百病
'fa'dang'fu'man 法当腹满
'fa'dang'gu'jie'teng'tong 法当骨节疼痛
'fa'dang'han'chu'er'jie 法当汗出而解
'fa'dang'mao 法当冒
'fa'dang'yi'zhi'shi'shao'yao'san 法当以枳实芍药散
'fa'han'de'zhi 发汗得之
'fa'han'hou 发汗后
'fa'han'hou'zhe 发汗后者
'fa'han'ji 发汗即
'fa'han're 发寒热
'fa'han'tai'duo 发汗太多
'fa'han'ze 发汗则
'fa'han'ze'bi'bian'xie 发汗则必便血
'fa'luo 发落
'fa'qi'han'ji'yi 发其汗即已
'fa'qi'han'wei'yi 发其汗为宜
'fa'qi'han'yi 发其汗已
'fa're 发热
'fa're'bing 发热病
'fa're'bu'zhi'zhe 发热不止者
'fa're'e'han 发热恶寒
'fa're'fan'chuan 发热烦喘
'fa're'han'chu 发热汗出
'fa're'han'chu'er'ke 发热汗出而渴
'fa're'se'he'zhe 发热色和者
'fa're'shen'han'zhe 发热身汗者
'fa're'shi'ri 发热十日
'fa're'wu'han 发热无汗
'fa'shen'bing 发肾病
'fa'shi'shou'qing'fu'man 发时手青腹满
'fa'xin'tong 发心痛
'fa'yu'yin'bu 发于阴部
'fa'ze'han're 发则寒热
'fa'zuo'you'shi 发作有时
'fa'zuo'yu'si 发作欲死
'fan'bu'ke 反不渴
'fan'bu'teng 反不疼
'fan'e'han'zhe 反恶寒者
'fan'er'zao 烦而躁
'fan'fa're'zhe 反发热者
'fan'feng'ying'chong'yi'deng 凡蜂蝇虫蚁等
'fan'fu'xian'zhe 反伏弦者
'fan'gan'zang 凡肝脏
'fan'hong'da 反洪大
'fan'ji'wei'nan'zhi 反极为难治
'fan'ju'tong 反聚痛
'fan'ke'zhe 烦咳者
'fan'luan'ou'ni 烦乱呕逆
'fan'luan'yu'si 烦乱欲死
'fan'man 烦满
'fan'man'bu'de'wo 烦满不得卧
'fan'neng'wei'hai 反能为害
'fan'niao'zi'si 凡鸟自死
'fan're'bu'de'wo 烦热不得卧
'fan're'xin'luan 烦热心乱
'fan'rou'ji'gan 凡肉及肝
'fan'shi'ban'jin 矾石半斤
'fan'shi'shao'yin'duo 凡食少饮多
'fan'shi'sheng'ru'fu 矾石生入腹
'fan'shi'tang'zhi'jiao'qi'chong'xin 矾石汤治脚气冲心
'fan'shi'wan'fang 矾石丸方
'fan'shi'wan'zhu'zhi 矾石丸主之
'fan'shui'ji'jiu 凡水及酒
'fan'wei'chuan'zhe 反微喘者
'fan'xie'wei'yu'shuang 凡蟹未遇霜
'fan'xin'jie'wei'shen'shi'suo'she 凡心皆为神识所舍
'fan'yan'xiong'zhong'tong 反言胸中痛
'fan'yin'shi'zi'wei'yi'yang'yu'sheng 凡饮食滋味以养于生
'fan'zao 烦躁
'fan'zao'er'chuan 烦躁而喘
'fan'zao'fa're 烦躁发热
'fan'zhong'ye'si 凡中暍死
'fan'zhu'du 凡诸毒
'fan'zhu'yao'yin'zhi'yi'jie'du'zhe 凡煮药饮汁以解毒者
'fang'ji'di'huang'tang'zhi'bing'ru'kuang'zhuang 防己地黄汤治病如狂状
'fang'ji'huang'qi'tang'zhu'zhi 防己黄芪汤主之
'fang'shi'jin'ren'chong'shou'suo'shang 房室金刃虫兽所伤
'fang'shi'wu'ling'jie'fa 房室勿令竭乏
'fang'yi'fu'ling'tang'fang 防已茯苓汤方
'fang'yi'fu'ling'tang'zhu'zhi 防已茯苓汤主之
'fang'yi'huang'qi'tang'fang 防已黄芪汤方
'fang'yi'huang'qi'tang'zhi'feng'shui 防已黄芪汤治风水
'fang'yi'huang'qi'tang'zhu'zhi 防已黄芪汤主之
'fei'bei'shang 肺被伤
'fei'bing'jin'ku 肺病禁苦
'fei'ci'yu're'zhi'ye 非此遇热之暍
'fei'dan'shi'zhong 非但食中
'fei'qi'shi'se'mai 非其时色脉
'fei'shui'ye 非水也
'fei'shui'zhe 肺水者
'fei'si'cang 肺死藏
'fei'wei'fei'yong'ke'sou'shang'qi'bing'mai'zheng'zhi'di'qi 肺痿肺痈咳嗽上气病脉证治第七
'fei'wei'tu'dan'mo'er'bu'ke'zhe 肺痿吐诞沫而不咳者
'fei'wei'tuo'mo 肺痿唾沫
'fei'wei'yi'bing 非为一病
'fei'wei'zhi'bing'he'cong'de'zhi 肺痿之病何从得之
'fei'yin'bu'xian 肺饮不弦
'fei'yong 肺痈
'fei'yong'xiong'man'zhang 肺痈胸满胀
'fei'you'gui'shen 非有鬼神
'fei'zhang 肺胀
'fei'zhi'nv'shen 非止女身
'fei'zhong'feng'zhe 肺中风者
'fei'zhong'han 肺中寒
'fen'bing'ren'fa'zuo'you 分病人发左右
'fen'san'fu 分三服
'feng'han'xiang'bo 风寒相搏
'feng'ling'mai'fu 风令脉浮
'feng'qi'bai'ji 风气百疾
'feng'qi'sui'neng'sheng'wan'wu 风气虽能生万物
'feng'qi'xiang'bo 风气相搏
'feng'qi'xiang'ji 风气相击
'feng'qiang'ze'wei'yin'zhen 风强则为隐疹
'feng'shang'pi'mao 风伤皮毛
'feng'she'yu'fei 风舍于肺
'feng'shi 风湿
'feng'shi'ju'qu'ye 风湿俱去也
'feng'shi'xiang'bo 风湿相搏
'feng'shui 风水
'feng'shui'e'feng 风水恶风
'feng'xue'xiang'bo 风血相搏
'feng'yin'tang'chu're'tan'xian 风引汤除热瘫癎
'feng'zhong'yu'qian 风中于前
'feng'zhong'yu'wei 风中于卫
'fu'bing'gu'ji'jia'yi'zu'bing 夫病痼疾加以卒病
'fu'bing'jiu'huang'dan 夫病酒黄疸
'fu'bing'ren'yin'shui'duo 夫病人饮水多
'fu'bing'ye 府病也
'fu'bu'jie'zhe 复不解者
'fu'bu'man 腹不满
'fu'da'zhe'ke'tu'zhi 浮大者可吐之
'fu'duan'qi'you'wei'yin 夫短气有微饮
'fu'e'han 复恶寒
'fu'fa 复发
'fu'fa'han 复发汗
'fu'fa'qi'han 复发其汗
'fu'fang'cun'bi 服方寸匕
'fu'feng'bing 夫风病
'fu'feng'zhi'wei'bing 夫风之为病
'fu'gan'zhi'bing 夫肝之病
'fu'hou'dang'ru'chong'xing'pi'zhong 服后当如虫行皮中
'fu'huan'zhi 复还止
'fu'ji'wei'qi 浮即为气
'fu'ji'wei'xu 浮即为虚
'fu'jing'mai 夫痉脉
'fu'jiu'ke'ke'zhe 夫酒客咳者
'fu'ling'gui'zhi'gan'cao'da'zao'tang'fang 茯苓桂枝甘草大枣汤方
'fu'ling'gui'zhi'gan'cao'da'zao'tang'zhu'zhi 茯苓桂枝甘草大枣汤主之
'fu'ling'rong'yan'tang'fang 茯苓戎盐汤方
'fu'ling'xing'ren'gan'cao'tang'fang 茯苓杏仁甘草汤方
'fu'ling'xing'ren'gan'cao'tang'zhu'zhi 茯苓杏仁甘草汤主之
'fu'ling'yin'zhi'xin'xiong'zhong'you'ting'tan'su'shui 茯苓饮治心胸中有停痰宿水
'fu'ling'ze'xie'tang'fang 扶零泽泻汤方
'fu'ling'ze'xie'tang'zhu'zhi 茯苓泽泻汤主之
'fu'liu'fu'qi'jue'yu'wai'zhe 夫六府气绝于外者
'fu'mai'dang'qu'tai'guo'bu'ji 夫脉当取太过不及
'fu'mai'fu 夫脉浮
'fu'mai'ji're 浮脉即热
'fu'mai'tang 复脉汤
'fu'mai'ze're 浮脉则热
'fu'man 腹满
'fu'man'bu'jian 腹满不减
'fu'man'bu'neng'yin'shi 腹满不能饮食
'fu'man'er'chuan 腹满而喘
'fu'man'han'shan'su'shi'bing'mai'zheng'zhi'di'shi 腹满寒疝宿食病脉证治第十
'fu'man'ru'gu 腹满如故
'fu'man'shi'jian 腹满时减
'fu'man'yin'zhong'zhe 腹满因肿者
'fu'man'zhe'nan'zhi 腹满者难治
'fu'mu'ji'shen'ben'ming'rou 父母及身本命肉
'fu'nan'zi'ping'ren 夫男子平人
'fu'ou'jia'you'yong'nong 夫呕家有痈脓
'fu'pi'ji 腹皮急
'fu'ren'bing 妇人病
'fu'ren'bing'wu'chang 夫人禀五常
'fu'ren'cang'zao 妇人藏躁
'fu'ren'chan'hou'bing'mai'zheng'zhi'di'er'shi'yi 妇人产后病脉证治第二十一
'fu'ren'de'ping'mai 妇人得平脉
'fu'ren'fu'zhong'tong 妇人腹中痛
'fu'ren'fu'zhong'zhu'ji'tong 妇人腹中诸疾痛
'fu'ren'huai'shen'liu'qi'yue 妇人怀娠六七月
'fu'ren'jing'shui'bi'bu'li 妇人经水闭不利
'fu'ren'jing'shui'bu'li'xia 妇人经水不利下
'fu'ren'liu'shi'er'zhong'feng 妇人六十二种风
'fu'ren'nian'wu'shi 妇人年五十
'fu'ren'ren'shen 妇人妊娠
'fu'ren'ren'shen'bing'mai'zheng'bing'zhi'di'er'shi 妇人妊娠病脉证并治第二十
'fu'ren'ru'zhong'xu 妇人乳中虚
'fu'ren'san'shi'liu'bing 妇人三十六病
'fu'ren'shang'han'fa're 妇人伤寒发热
'fu'ren'shang'tai 妇人伤胎
'fu'ren'shao'fu'man'ru'dun'zhuang 妇人少腹满如敦状
'fu'ren'su'you'zheng'bing 妇人宿有症病
'fu'ren'tu'dan'mo 妇人吐诞沫
'fu'ren'xian'jing 妇人陷经
'fu'ren'yan'zhong'ru'you'zhi'luan 妇人咽中如有炙脔
'fu'ren'you'lou'xia'zhe 妇人有漏下者
'fu'ren'za'bing'mai'zheng'bing'zhi'di'er'shi'er 妇人杂病脉证并治第二十二
'fu'ren'ze'ban'chan'lou'xia 妇人则半产漏下
'fu'ren'ze'jing'shui'bu'tong 妇人则经水不通
'fu'ren'zhi'bing 妇人之病
'fu'ren'zhong'feng 妇人中风
'fu'ren'zhong'feng'qi'ba'ri 妇人中风七八日
'fu'ru'gu 复如故
'fu'ru'shui'zhuang'bu'zhi 腹如水状不治
'fu'ruo 浮弱
'fu'se'xiang'bo 浮涩相搏
'fu'shi'jie'qi'leng're'ku'suan'xin'gan 服食节其冷热苦酸辛甘
'fu'shi'jing'jia 夫失精家
'fu'shou'ren'rao'qi'tong 夫瘦人绕脐痛
'fu'shu'sheng 服数升
'fu'shui'bing'ren 夫水病人
'fu'tong 腹痛
'fu'tong'e'han'zhe 腹痛恶寒者
'fu'tong'er'ou'zhe 腹痛而呕者
'fu'tong'zhe'jia'shao'yao 腹痛者加芍药
'fu'tou'chuang 傅头疮
'fu'tu'xie 夫吐血
'fu'wu'ji'ju 腹无积聚
'fu'xin'xia'you'liu'yin 夫心下有留饮
'fu'yang'mai'dang'fu 趺阳脉当伏
'fu'yang'mai'fu 趺阳脉伏
'fu'yang'mai'fu'er'hua 趺阳脉浮而滑
'fu'yang'mai'fu'er'se 趺阳脉浮而涩
'fu'yang'mai'fu'er'shu 趺阳脉浮而数
'fu'yang'mai'jin'er'shu 趺阳脉紧而数
'fu'yang'mai'jin'wei'shang'pi 趺阳脉紧为伤脾
'fu'yang'mai'shu 趺阳脉数
'fu'yang'mai'wei'er'chi 趺阳脉微而迟
'fu'yang'mai'wei'xian 趺阳脉微弦
'fu'yin'you'si 夫饮有四
'fu'you'zhi'yin'jia 夫有支饮家
'fu'yu'bu'zhe 复与不者
'fu'ze'han'zi'chu 浮则汗自出
'fu'ze'wei'feng 浮则为风
'fu'ze'wei'qi'qiang 浮则胃气强
'fu'ze'wei'xu 浮则为虚
'fu'ze'xiao'bian'nan 伏则小便难
'fu'zhang'tong 腹胀痛
'fu'zhe'wei'feng 浮者为风
'fu'zhe'xue'xu 浮者血虚
'fu'zhe'yi'xing'zi'tang 浮者宜杏子汤
'fu'zhe'zai'hou 浮者在后
'fu'zhi'da'jian 浮之大坚
'fu'zhi'dang'sui'ke 服之当遂渴
'fu'zhi'hou 服之后
'fu'zhi'ji'jie 服之即解
'fu'zhi'jia 服之佳
'fu'zhi'jian 浮之坚
'fu'zhi'jie 服之解
'fu'zhi'ruo 浮之弱
'fu'zhi'shi'ru'ma'dou 浮之实如麻豆
'fu'zhi'wei'bing'zhe 夫治未病者
'fu'zhi'wu'zhi 服之勿置
'fu'zhi'xu 浮之虚
'fu'zhong'ci'tong'bu'zhi 腹中刺痛不止
'fu'zhong'fan'zhong 腹中烦重
'fu'zhong'han 腹中寒
'fu'zhong'han'jia 夫中寒家
'fu'zhong'han'qi 腹中寒气
'fu'zhong'he'wu'bing 腹中和无病
'fu'zhong'ru'dai'wu'qian'qian 腹重如带五千钱
'fu'zhong'tong 腹中痛
'fu'zhong'xiu'tong 腹中休痛
'fu'zhong'you'su'shi'bu'hua'ye 腹中有宿食不化也
'fu'zhu'bing'zai'cang 夫诸病在藏
'fu'zhu'tu'li'yao 服诸吐利药
'fu'zi'jing'mi'tang'fang 附子粳米汤方
'fu'zi'jing'mi'tang'zhu'zhi 附子粳米汤主之
'fu'zun'rong'ren 夫尊荣人
'gai'fa'qi'han 盖发其汗
'gan'bing'jin'xin 肝病禁辛
'gan'cao'fen'mi'tang'fang 甘草粉蜜汤方
'gan'cao'fen'mi'tang'zhu'zhi 甘草粉蜜汤主之
'gan'cao'fu'zi'tang'fang 甘草附子汤方
'gan'cao'fu'zi'tang'zhu'zhi 甘草附子汤主之
'gan'cao'gan'jiang'fu'ling'bai'zhu'tang'fang 甘草干姜茯苓白术汤方
'gan'cao'gan'jiang'tang'fang 甘草干姜汤方
'gan'cao'gan'jiang'tang'yi'wen'zhi 甘草干姜汤以温之
'gan'cao'ma'huang'tang'fang 甘草麻黄汤方
'gan'cao'ma'huang'tang'yi'zhu'zhi 甘草麻黄汤亦主之
'gan'cao'xiao'mai'da'zao'tang'fang 甘草小麦大枣汤方
'gan'cao'xie'xin'tang'fang 甘草泻心汤方
'gan'cao'xie'xin'tang'zhu'zhi 甘草泻心汤主之
'gan'cao'zhu'zhi 甘草煮汁
'gan'dang'han'chu 敢当汗出
'gan'jiang'ling'shu'tang'zhu'zhi 甘姜苓术汤主之
'gan'jiang'ren'shen'ban'xia'wan'fang 干姜人参半夏丸方
'gan'jiang'ren'shen'ban'xia'wan'zhu'zhi 干姜人参半夏丸主之
'gan'lan'shui'fa 甘澜水法
'gan'mai'da'zao'tang'zhu'zhi 甘麦大枣汤主之
'gan'ou 干呕
'gan'ou'han'chu 干呕汗出
'gan'ru'pi 甘入脾
'gan'se'qing'er'fan'bai 肝色青而反白
'gan'shui'zhe 肝水者
'gan'si'cang 肝死藏
'gan'sui'ban'xia'tang'fang 甘遂半夏汤方
'gan'sui'ban'xia'tang'zhu'zhi 甘遂半夏汤主之
'gan'xu'ze'yong'ci'fa 肝虚则用此法
'gan'zhe 肝着
'gan'zhong'feng'zhe 肝中风者
'gan'zhong'han'zhe 肝中寒者
'gao'fa'jian'dao'zhi 膏发煎导之
'gao'fa'jian'fang 膏发煎方
'ge'bie'chu'shai 各别杵筛
'ge'gen'tang'fang 葛根汤方
'ge'gen'tang'zhu'zhi 葛根汤主之
'ge'jian'you'shui 膈间有水
'ge'jian'zhi'yin 膈间支饮
'ge'qu'wu'shi 割去勿食
'ge'qu'xue 割取血
'ge'shang'bing'tan 膈上病痰
'ge'su'zhe'shi'ye 隔宿者是也
'ge'sui'qi'suo'bu'xi'zhe'wei'bing 各随其所不喜者为病
'ge'sui'zheng'zhi'zhi 各随证治之
'ge'xia'zhe'xie'chu 膈下者泻出
'ge'yi'qi'bu'chu'zhi 各以其部处之
'ge'you'fa'du 各有法度
'geng'fan 更烦
'geng'neng'wu'fan'wang'fa'qin'shou'zai'shang 更能无犯王法禽兽灾伤
'geng'yi'cu'jiang'shui'fu'zhi 更以醋浆水服之
'geng'yu'san'wan 更与三丸
'gong'biao'zhi'gui'zhi'tang 攻表直桂枝汤
'gou'quan'qi'sheng 苟全其生
'gou'shi'yi'wan 狗屎一丸
'gou'wen'sheng'di'bang'wu'ta'cao 钩吻生地傍无他草
'gou'wen'yu'qin'cai'xiang'si 钩吻与芹菜相似
'gu'bi'se 故鼻塞
'gu'bu'de'xia'zhe 谷不得下者
'gu'bu'nei'zhi 故不内之
'gu'cheng'jue'yang 故称厥阳
'gu'da'bian'nan 故大便难
'gu'dan'zhi'wei'bing 谷疸之为病
'gu'de'zhi 故得之
'gu'fan 故烦
'gu'ji'ren'bu'ke'shi'xiong'rou 痼疾人不可食熊肉
'gu'jie'jian'bing 骨节间病
'gu'jie'teng'fan 骨节疼烦
'gu'jing'er'si'ye 故静而死也
'gu'ling'bing'jing 故令病痉
'gu'ling'bing'shui 故令病水
'gu'ling'ke'ye 故令渴也
'gu'ling'yu'mao 故令郁冒
'gu'ming'yue'xu 故名曰虚
'gu'neng'yi'er 故能噫耳
'gu'qi'bu'xiao 谷气不消
'gu'qi'bu'xing 谷气不行
'gu'ruo'ji'fu'sheng 骨弱肌肤盛
'gu'shang'ze'wei 骨伤则痿
'gu'shi'pi 故实脾
'gu'shi'ru'nue'zhuang 故使如疟状
'gu'tou'han'chu 故头汗出
'gu'yang'shang'chu 孤阳上出
'gu'you'hui'chong 故有蛔虫
'gu'yue'li'jie 故曰历节
'gu'zhi'ci'bing 故致此病
'gu'zhi'you'su'shi 故知有宿食
'gu'zhi'zhi 故知之
'gua'di'san'fang 瓜蒂散方
'gua'di'tang'zhi'zhu'huang 瓜蒂汤治诸黄
'gua'lou'gui'zhi'tang'fang 栝蒌桂枝汤方
'gua'lou'gui'zhi'tang'zhu'zhi 栝蒌桂枝汤主之
'gua'lou'mu'li'san'fang 栝蒌牡蛎散方
'gua'lou'qu'mai'wan'fang 栝蒌瞿麦丸方
'gua'lou'qu'mai'wan'zhu'zhi 栝蒌瞿麦丸主之
'gua'lou'xie'bai'bai'jiu'tang'fang 栝蒌薤白白酒汤方
'gua'lou'xie'bai'bai'jiu'tang'zhu'zhi 栝蒌薤白白酒汤主之
'gua'lou'xie'bai'ban'xia'tang'fang 栝蒌薤白半夏汤方
'gua'lou'xie'bai'ban'xia'tang'zhu'zhi 栝蒌薤白半夏汤主之
'guan'bi'zhong 灌鼻中
'guan'chui'nei'bi'zhong 管吹内鼻中
'guan'jie'teng'tong'er'fan 关节疼痛而烦
'guan'ling'ru'hou'li'qi 灌令入喉立起
'guan'ling'xia'yan 灌令下咽
'guan'shang'ji'zai'qi'pang 关上积在脐旁
'guan'shang'xiao'jin'shu 关上小紧数
'gui'bie'rou'bu'ke'he'xian'cai'shi'zhi 龟鳖肉不可合苋菜食之
'gui'jiang'cao'zao'huang'xin'fu'zi'tang'fang 桂姜草枣黄辛附子汤方
'gui'ling'wu'wei'gan'cao'qu'gui'jia'jiang'xin'xia'tang'fang 桂苓五味甘草去桂加姜辛夏汤方
'gui'ling'wu'wei'gan'cao'tang'fang 桂苓五味甘草汤方
'gui'mu'ku'shen'jiu'zhu'zhi 归母苦参九主之
'gui'rou'bu'ke'he'jiu'guo'zi'shi'zhi 龟肉不可合酒果子食之
'gui'yu'si'zhi 归于四肢
'gui'zhi'fu'ling'wan'fang 桂枝茯苓丸方
'gui'zhi'fu'zi'tang'fang 桂枝附子汤方
'gui'zhi'fu'zi'tang'zhu'zhi 桂枝附子汤主之
'gui'zhi'huo'ling'wan'zhu'zhi 桂枝获苓丸主之
'gui'zhi'jia'gui'tang'fang 桂枝加桂汤方
'gui'zhi'jia'huang'qi'tang'fang 桂枝加黄芪汤方
'gui'zhi'jia'huang'qi'tang'zhu'zhi 桂枝加黄芪汤主之
'gui'zhi'jia'long'gu'mu'li'tang'fang 桂枝加龙骨牡蛎汤方
'gui'zhi'jia'long'gu'mu'li'tang'zhu'zhi 桂枝加龙骨牡蛎汤主之
'gui'zhi'jiu'ni'tang'fang 桂枝救逆汤方
'gui'zhi'qu'shao'yao'jia'ma'xin'fu'zi'tang'zhu'zhi 桂枝去芍药加麻辛附子汤主之
'gui'zhi'shao'yao'zhi'mu'tang'fang 桂枝芍药知母汤方
'gui'zhi'shao'yao'zhi'mu'tang'zhu'zhi 桂枝芍药知母汤主之
'gui'zhi'sheng'jiang'zhi'shi'tang'fang 桂枝生姜枳实汤方
'gui'zhi'sheng'jiang'zhi'shi'tang'zhu'zhi 桂枝生姜枳实汤主之
'gui'zhi'tang'fang 桂枝汤方
'gui'zhi'tang'zhu'zhi 桂枝汤主之
'guo'shi'cai'gu'jin'ji'bing'zhi'di'er'shi'wu 果实菜谷禁忌并治第二十五
'guo'zi'luo'di'jing'su 果子落地经宿
'guo'zi'sheng'shi'sheng'chuang 果子生食生疮
'hai'ren 害人
'hai'ze'cheng'ji 害则成疾
'han'chu 汗出
'han'chu'bi'e'shang'xian 汗出必额上陷
'han'chu'bi'zhang'man 汗出必胀满
'han'chu'duan'qi 汗出短气
'han'chu'e'feng'zhe 汗出恶风者
'han'chu'e'han 汗出恶寒
'han'chu'er'jie 汗出而解
'han'chu'er'jue'zhe 汗出而厥者
'han'chu'er'men 汗出而闷
'han'chu'ji 汗出即
'han'chu'nai 汗出乃
'han'chu'ru'shui'zhong 汗出入水中
'han'chu'yi'zhe'qing'zhe 汗出已辄轻者
'han'chu'ze 汗出则
'han'chu'ze'han'su'er'zhen 汗出则寒粟而振
'han'chu'ze'jing 汗出则痉
'han'da'chu'zhe 汗大出者
'han'da'xie 汗大泄
'han'duo'zhe 汗多者
'han'ling'mai'ji 寒令脉急
'han'mu'chu 汗目出
'han'qi'bu'zu 寒气不足
'han'qi'jue'ni 寒气厥逆
'han're'bu'shi 寒热不食
'han're'lei'shou'zhe 寒热羸瘦者
'han're'zhe 寒热者
'han'shan'fu'zhong'tong 寒疝腹中痛
'han'shan'rao'qi'tong 寒疝绕脐痛
'han'shang'jing'luo 寒伤经络
'han'shi'xiang'de 寒湿相得
'han'shui'xiang'bo 寒水相搏
'han'xu'xiang'bo 寒虚相搏
'han'xu'xiang'qu 寒虚相去
'han'yu'zhi 含与之
'han'zai'yu'shang 寒在于上
'han'zhan'yi 汗沾衣
'han'zhi'bing'bu'zhe 汗之病不者
'han'zhong'yu'mu 寒中于暮
'he'cong'de'wei'zhi 何从得为之
'he'li'le'san'fang 诃梨勒散方
'he'li'le'san'zhu'zhi 诃梨勒散主之
'he'ling'xiang'de 和令相得
'he'mu'yu'mian 合目欲眠
'he'pi'shu'yan'yong 合皮熟研用
'he'qi'er'chi'zhe 核起而赤者
'he'wei'jiu'shi'bing 合为九十病
'he'wei'yi'bai'ba'bing 合为一百八病
'he'yi'gu 何以故
'he'yi'zhi'ci'wei'fei'yong 何以知此为肺痈
'he'zhi'yi'qian'chu 合治一千杵
'he'zhi'zhi'wei'san 合治之为散
'he'zhu'rou'shi'zhi 合猪肉食之
'hong'lan'hua'jiu'fang 红蓝花酒方
'hong'lan'hua'jiu'zhu'zhi 红蓝花酒主之
'hong'lan'hua'yi'liang 红蓝花一两
'hong'ze'wei'qi 洪则为气
'hou'duan'san'yue'xia'xue'ye 后断三月下血也
'hou'nai'zhi'qi'gu'ji'ye 后乃治其痼疾也
'hou'pu'da'huang'tang'fang 厚朴大黄汤方
'hou'pu'da'huang'tang'zhu'zhi 厚朴大黄汤主之
'hou'pu'ma'huang'tang'fang 厚朴麻黄汤方
'hou'pu'ma'huang'tang'zhu'zhi 厚朴麻黄汤主之
'hou'pu'qi'wu'tang'fang 厚朴七物汤方
'hou'pu'qi'wu'tang'zhu'zhi 厚朴七物汤主之
'hou'pu'san'wu'tang'fang 厚朴三物汤方
'hou'pu'san'wu'tang'zhu'zhi 厚朴三物汤主之
'hou'shen'ti'teng'tong 后身体疼痛
'hou'shi'hei'san'zhi'da'feng 侯氏黑散治大风
'hou'si'shui'zhe'jie 后思水者解
'hou'yan'sai'ye 喉咽塞噎
'hou'zhong'se 喉中涩
'hou'zhong'shui'ji'sheng 喉中水鸡声
'hou'zhong'tu'zhi 后重吐之
'hou'zuo'bei'shang 后坐被上
'hu'huo'zhi'wei'bing 狐惑之为病
'hu'qi'bu'ru 呼气不入
'hu'sui'jiu'shi'zhi 胡荽久食之
'hu'tao'bu'ke'duo'shi 胡桃不可多食
'hu'xi'dong'yao'zhen'zhen'zhe 呼吸动摇振振者
'hu'xi'yan'kai 呼吸眼开
'hua'shi'bai'yu'san'fang 滑石白鱼散方
'hua'shi'bai'yu'san'fu'ling'rong'yan'tang'bing'zhu'zhi 滑石白鱼散茯苓戎盐汤并主之
'hua'shi'dai'zhe'tang'fang 滑石代赭汤方
'hua'shi'dai'zhe'tang'zhu'zhi 滑石代赭汤主之
'hua'ze'gu'qi'shi 滑则谷气实
'hua'ze'wei'qi 滑则为气
'huai'ren'chi 坏人齿
'huai'shen'fu'man 怀身腹满
'huai'shen'qi'yue 怀身七月
'huan'hun'tang'zhu'zhi'fang 还魂汤主之方
'huan'ze'wei'bi 缓则为痹
'huan'ze'wei'xu 缓则为虚
'huan'zhong'bu'xu 缓中补虚
'huang'bei'chi'jing'zhe'wu'shi'zhi 黄背赤茎者勿食之
'huang'bo'xie 黄蘗屑
'huang'cong'xiao'bian'qu'ye 黄从小便去也
'huang'dan'bing 黄疸病
'huang'dan'bing'mai'zheng'bing'zhi'di'shi'wu 黄疸病脉证并治第十五
'huang'dan'fu'man 黄疸腹满
'huang'dan'zhi'bing 黄疸之病
'huang'gua'shi'zhi 黄瓜食之
'huang'han 黄汗
'huang'han'chu 黄汗出
'huang'han'zhi'bing 黄汗之病
'huang'han'zhi'wei'bing 黄汗之为病
'huang'jia'ri'bu'suo'fa're 黄家日晡所发热
'huang'lian'fen'zhu'zhi 黄连粉主之
'huang'qi'gui'zhi'wu'wu'tang'fang 黄芪桂枝五物汤方
'huang'qi'gui'zhi'wu'wu'tang'zhu'zhi 黄芪桂枝五物汤主之
'huang'qi'jian'zhong'tang'zhu'zhi 黄芪建中汤主之
'huang'qi'shao'gui'ku'jiu'tang'fang 黄芪芍桂苦酒汤方
'huang'qin'jia'ban'xia'sheng'jiang'tang'fang 黄芩加半夏生姜汤方
