'a'luo'han'neng'zuo'shi'nian 阿罗汉能作是念
'wu'wo'xiang'wu'ren'xiang'wu'zhong'sheng'xiang'wu'shou'zhe'xiang 无我相无人相无众生相无寿者相
'wu'you'ding'fa'ming'a'nou'duo'luo'san'miao'san'pu'ti 无有定法名阿耨多罗三藐三菩提
'wu'you'fa'de'a'nou'duo'luo'san'miao'san'pu'ti 无有法得阿耨多罗三藐三菩提
'wu'you'gao'xia 无有高下
'xi'jian'shi'ren 悉见是人
'xi'jie'gong'yang'cheng'shi 悉皆供养承事
'xi'you 希有
'xi'zhi'shi'ren 悉知是人
'xi'zu'yi 洗足已
'xian'shi'zui'ye'ze'wei'xiao'mie 先世罪业则为消灭
'xian'zai'xin'bu'ke'de 现在心不可得
'xin'ji'kuang'luan 心即狂乱
'xin'jie'shou'chi 信解受持
'xin'jie'shou'chi'bu'zu'wei'nan 信解受持不足为难
'xin'shou'feng'xing 信受奉行
'xin'xin'bu'ni 信心不逆
'xin'xin'qing'jing 信心清净
'xing'yu'bu'shi 行于布施
'xiu'yi'qie'shan'fa 修一切善法
'xu'pu'ti 须菩提
'xu'pu'ti'bai'fo'yan 须菩提白佛言
'xu'pu'ti'wen'shuo'shi'jing 须菩提闻说是经
'xu'pu'ti'yan 须菩提言
'xu'tuo'huan'ming'wei'ru'liu 须陀洹名为入流
'xu'tuo'huan'neng'zuo'shi'nian 须陀洹能作是念
'yao'qin'san'zang'fa'shi'jiu'mo'luo'shen'yi 姚秦三藏法师鸠摩罗什译
'yi'ci'wei'shi 以此为实
'yi'fa'chu'sheng'fen 依法出生分
'yi'fu'de'wu'gu 以福德无故
'yi'he'li'xiang'fen 一合理相分
'yi'he'xiang 一合相
'yi'he'xiang'zhe 一合相者
'yi'heng'he'sha'deng'shen'ming'bu'shi 以恒河沙等身命布施
'yi'jin'shi'ren'qing'jian'gu 以今世人轻贱故
'yi'qie'fa'jie'shi'fo'fa 一切法皆是佛法
'yi'qie'fa'wu'wo'wu'ren'wu'zhong'sheng'wu'shou'zhe 一切法无我无人无众生无寿者
'yi'qie'sheng'xian 一切圣贤
'yi'qie'shi'jian'tian'ren'a'xiu'luo 一切世间天人阿修罗
'yi'qie'you'wei'fa 一切有为法
'yi'qie'zhong'sheng 一切众生
'yi'qie'zhu'fo 一切诸佛
'yi'qie'zhu'xiang 一切诸相
'yi'san'qian'da'qian'shi'jie'sui'wei'wei'chen 以三千大千世界碎为微尘
'yi'san'shi'er'xiang'guan'ru'lai 以三十二相观如来
'yi'shi 一时
'yi'shi'ming'zi 以是名字
'yi'shi'yi'gu 以是义故
'yi'ti'tong'guan'fen 一体同观分
'yi'wu'fei'fa'xiang 亦无非法相
'yi'wu'suo'qu 亦无所去
'yi'wu'wo'wu'ren'wu'zhong'sheng'wu'shou'zhe 以无我无人无众生无寿者
'yi'wu'you'ding'fa 亦无有定法
'yi'xiang'wu'xiang'fen 一相无相分
'yi'xu'pu'ti'shi'wu'suo'xing 以须菩提实无所行
'yi'yao'yan'zhi 以要言之
'yi'yin'sheng'qiu'wo 以音声求我
'yi'yong'bu'shi 以用布施
'yi'yu'wu'liang'qian'wan'fo'suo'zhong'zhu'shan'gen 已于无量千万佛所种诸善根
'yi'zhu'hua'xiang'er'san'qi'chu 以诸华香而散其处
'yi'zhu'pu'sa'bu'shou'fu'de'gu 以诸菩萨不受福德故
'ying'duo'e'dao 应堕恶道
'ying'hua'fei'zhen'fen 应化非真分
'ying'ru'shi'bu'shi 应如是布施
'ying'ru'shi'zhi 应如是知
'ying'ru'shi'zhu 应如是住
'ying'sheng'chen'hen 应生嗔恨
'ying'sheng'wu'suo'zhu'xin 应生无所住心
'ying'wu'suo'zhu 应无所住
'ying'wu'suo'zhu'er'sheng'qi'xin 应无所住而生其心
'ying'yun'he'zhu 应云何住
'ying'zuo'ru'shi'guan'fo'shuo'shi'jing'yi 应作如是观佛说是经已
'you'chi'jie'xiu'fu'zhe 有持戒修福者
'you'fa'de'a'nou'duo'luo'san'miao'san'pu'ti'bu 有法得阿耨多罗三藐三菩提不
'you'nian'guo'qu'yu'wu'bai'shi'zuo'ren'ru'xian'ren 又念过去于五百世作忍辱仙人
'you'ren'chi'yong'bu'shi 有人持用布施
'you'ru'shi'deng'heng'he 有如是等恒河
'you'shou'chi'du'song'ci'jing 有受持读诵此经
'you'shuo 又说
'you'wo'zhe 有我者
'you'xi'zhao'di 右膝着地
'yu'ci'jing'zhong 于此经中
'yu'ci'jing'zhong'shou'chi 于此经中受持
'yu'ci'zhang'ju'neng'sheng'xin'xin 于此章句能生信心
'yu'da'bi'qiu'zhong'qian'er'bai'wu'shi'ren'ju 与大比丘众千二百五十人俱
'yu'er'suo'shi 于尔所世
'yu'fa'bu'shuo'duan'mie'xiang 于法不说断灭相
'yu'fa'shi'wu'suo'de 于法实无所得
'yu'fa'you'suo'de'bu 于法有所得不
'yu'hou'mo'shi 于后末世
'yu'qi'cheng'zhong 于其城中
'yu'qian'fu'de'bai'fen'bu'ji'yi 于前福德百分不及一
'yu'ran'deng'fo'qian 于然灯佛前
'yu'shi'zhong'wu'shi'wu'xu 于是中无实无虚
'yu'wei'lai'shi 于未来世
'yu'wo'suo'gong'yang'zhu'fo'gong'de 于我所供养诸佛功德
'yu'yi'qie'fa 于一切法
'yu'yi'yun'he 于意云何
'yuan'jie'ru'lai'zhen'shi'yi 愿解如来真实义
'yuan'le'yu'wen 愿乐欲闻
'yun'he'pu'sa'bu'shou'fu'de 云何菩萨不受福德
'yun'he'wei'ren'yan'shuo 云何为人演说
'yun'he'xiang'fu'qi'xin 云何降伏其心
'yun'he'ying'zhu 云何应住
'zai'zai'chu'chu 在在处处
'ze'fei'you'wo 则非有我
'ze'ming'zhu'fo 则名诸佛
'ze'sheng'shi'xiang 则生实相
'ze'wei'ru'lai'yi'fo'zhi'hui 则为如来以佛智慧
'ze'wei'you'fo 则为有佛
'ze'wei'zhu'wo'ren'zhong'sheng'shou'zhe 则为著我人众生寿者
'ze'yu'ci'jing 则于此经
'zhang'lao'xu'pu'ti'zai'da'zhong'zhong'ji'cong'zuo'qi 长老须菩提在大众中即从座起
'zheng'xin'xi'you'fen 正信希有分
'zhi'jian'bu'sheng'fen 知见不生分
'zhi'wo'shuo'fa 知我说法
'zhong'ri'fen'fu'yi'heng'he'sha'deng'shen'bu'shi 中日分复以恒河沙等身布施
'zhong'sheng'zhong'sheng'zhe 众生众生者
'zhu'pu'sa'mo'he'sa'ying'ru'shi'sheng'qing'jing'xin 诸菩萨摩诃萨应如是生清净心
'zhu'pu'sa'mo'he'sa'ying'ru'shi'xiang'fu'qi'xin 诸菩萨摩诃萨应如是降伏其心
'zhu'wei'chen 诸微尘
'zhu'wo'jian'ren'jian'zhong'sheng'jian'shou'zhe'jian 著我见人见众生见寿者见
'zhu'xiang'ju'zu 诸相具足
'zhu'xin'jie'wei'fei'xin 诸心皆为非心
'zhu'yi'chi'bo 著衣持钵
'zhuan'lun'sheng'wang'ji'shi'ru'lai 转轮圣王即是如来
'zhuang'yan'fo'tu'zhe 庄严佛土者
'zhuang'yan'jing'tu'fen 庄严净土分
'zun'zhong'zheng'jiao'fen 尊重正教分
'zuo'li'wei'rao 作礼围绕
'zuo'shi'yan 作是言
