'a'bie 阿别
'guai'wu'yu'yin'mou 怪物与阴谋
'guai'yi'de'hui'lang 怪异的回廊
'guai'yi'de'shi'jian 怪异的时间
'guan'chuan'jian 贯穿箭
'guan'li'zhe'de'zhu'fu 管理者的祝福
'guang'chang 广场
'guang'sheng 光圣
'guang'su'quan 光速拳
'gui'guai'shan'ji 鬼怪山脊
'gui'ling'jing'guai 鬼灵精怪
'gui'zhai 鬼宅
'gun'bang 棍棒
'guo'qu'zhi'lu 过去之路
'ha'men 哈闷
'ha'men'qi'qiu 哈闷气球
'ha'wei 哈维
'ha'wei'yu'mao 哈维羽毛
'hai'an'cao'cong 海岸草丛
'hai'an'da'lie'chang 海岸打猎场
'hai'bao'rou 海豹肉
'hai'bian'gua'peng 海边瓜棚
'hai'cao'zhi'ta 海草之塔
'hai'dan 海胆
'hai'dao 海盗
'hai'dao'biao'zhi 海盗标志
'hai'dao'zu'dui 海盗组队
'hai'dao'zu'dui'ren'wu 海盗组队任务
'hai'di 海底
'hai'di'cha'lu 海底叉路
'hai'lan'shi 海蓝石
'hai'lan'shi'mu'kuang 海蓝石母矿
'hai'luo'shan'qiu 海螺山丘
'hai'ma'de'jiao 海马的角
'hai'ma'de'wei'ba 海马的尾巴
'hai'mo'nv'ka'le'ta 海魔女卡勒塔
'hai'ou'ye'ye'de'fang'jian 海鸥爷爷的房间
'hai'shi 海狮
'hai'shi'pi'ge 海狮皮革
'hai'tun'chu'zu'che'shi'yong'quan 海豚出租车使用券
'hai'xiang 海象
'hai'xiang'jian'ya 海象尖牙
'hai'xing'biao 海星标
'hai'zei'yu 海贼鱼
'hai'zhi'feng'jing'xi'lie 海之风景系列
'han'bao 汉堡
'han'bing'ban'ren'ma 寒冰半人马
'han'bing'ban'ren'ma'zhan'chang 寒冰半人马战场
'han'bing'bei'bu'gu 寒冰背部骨
'han'bing'dun'qi 寒冰钝器
'han'bing'jian 寒冰箭
'han'bing'pen'she 寒冰喷射
'han'bing'ping'yuan 寒冰平原
'han'bing'zhang 寒冰掌
'han'bing'zhi'jian 寒冰之剑
'han'si 汉斯
'han'si'de'fen'shen 汉斯的分身
'han'tai'shou 韩太守
'hang'hai'shi 航海室
'hao'wu'liao 好无聊
'hao'zhu 豪猪
'he'da 和答
'he'gong'di 褐工地
'he'hou'jie'xiao'fan'de'jiao'yi 和后街小贩的交易
'he'jie'tou'xiao'fan'lv'shi'jin'xing'wu'pin'jiao'huan 和街头小贩吕氏进行物品交换
'he'ke'de'mo'fa'cai'liao'shou'ji 何克的魔法材料收集
'he'lang 褐浪
'he'li'ao'si'ta 赫丽奥斯塔
'he'li'ao'si'ta'ru'kou 赫丽奥斯塔入口
'he'li'ao'si'ta'tu'shu'guan 赫丽奥斯塔图书馆
'he'li'ao'si'ta'zhi'tuo 赫丽奥斯塔之托
'he'li'na 赫丽娜
'he'li'na'de'fen'shen 赫丽娜的分身
'he'tong 河童
'hei'an'lai'xi 黑暗莱西
'hei'an'lai'xi'mao'qiu 黑暗莱西毛球
'hei'an'shui'jing 黑暗水晶
'hei'an'shui'jing'mu'kuang 黑暗水晶母矿
'hei'an'ting'yuan 黑暗庭院
'hei'an'tong'dao 黑暗通道
'hei'ba'ke 黑巴克
'hei'bai'shi'tou'ren 黑白石头人
'hei'e'yu 黑鳄鱼
'hei'e'yu'pi 黑鳄鱼皮
'hei'fei'long 黑飞龙
'hei'fu'mu'yao 黑斧木妖
'hei'hai'can 黑海参
'hei'jia'xiong'ling 黑甲凶灵
'hei'jia'xiong'ling'de'xiu'biao 黑甲凶灵的袖标
'hei'ke'ke'shu'guo 黑柯柯树果
'hei'kong'long 黑恐龙
'hei'long 黑龙
'hei'long'de'jiao 黑龙的角
'hei'long'zhi'jiao 黑龙之角
'hei'mian'yang 黑绵羊
'hei'ming'dan 黑名单
'hei'mu'yao 黑木妖
'hei'qi 黑骑
'hei'qi'e'wang 黑企鹅王
'hei'qi'e'wang'de'zui 黑企鹅王的嘴
'hei'qi'shi 黑骑士
'hei'qiao'ke'li 黑巧克力
'hei'se'fei'shi 黑色飞狮
'hei'se'fei'shi'wei 黑色飞狮尾
'hei'se'guo'shi 黑色果实
'hei'se'jing'sui 黑色精髓
'hei'se'kui'jia'sui'pian 黑色盔甲碎片
'hei'se'xiao'fei'shi 黑色小飞狮
'hei'sen'lin 黑森林
'hei'sen'lin'da'lie'chang 黑森林打猎场
'hei'sen'lin'tong'dao 黑森林通道
'hei'sen'lin'xi'ru'kou 黑森林西入口
'hei'sen'lin'zhao'ze 黑森林沼泽
'hei'shan'lao'yao 黑山老妖
'hei'shan'yang 黑山羊
'hei'shan'yang'jiao 黑山羊角
'hei'shi'kuai 黑石块
'hei'shi'ren'hua 黑食人花
'hei'shi'ren'hua'de'zhong'zi 黑食人花的种子
'hei'shi'tou'ren 黑石头人
'hei'shu 黑鼠
'hei'shui'jing 黑水晶
'hei'shui'jing'mu'kuang 黑水晶母矿
'hei'xiao'zhu 黑小猪
'hei'xiong 黑熊
'hei'xiong'zhi'jia 黑熊指甲
'hei'xue'ban 黑雪板
'hei'xue'ren 黑雪人
'hei'xue'ren'de'jiao 黑雪人的角
'hei'yang'de'ling'tu 黑羊的领土
'hei'yang'mao 黑羊毛
'hei'yao'miao'miao 黑妖苗苗
'hei'yao'miao'miao'xiong'di 黑妖苗苗兄弟
'hei'yao'miao'miao'ye'zi 黑妖苗苗叶子
'hong'bei'ke 红背壳
'hong'bi'zi'hai'dao'tuan'de'lao'chao 红鼻子海盗团的老巢
'hong'bian'yi'luo'mu 红变异螺母
'hong'bian'yi'luo'mu'sui'pian 红变异螺母碎片
'hong'chuan 红船
'hong'dou'bao'bing 红豆刨冰
'hong'du'jiao'shi 红独角狮
'hong'du'jiao'shi'wei 红独角狮尾
'hong'dui'zhu'shou 红队助手
'hong'fei'ji 红飞机
'hong'fei'long 红飞龙
'hong'fei'long'zhi'wo 红飞龙之窝
'hong'hai'gui'long 红海龟龙
'hong'hua'she 红花蛇
'hong'lian 红莲
'hong'long 红龙
'hong'nu 红弩
'hong'pang'xie 红螃蟹
'hong'pang'xie'hai'tan 红螃蟹海滩
'hong'pang'xie'qian 红螃蟹钳
'hong'se'bian'zi 红色鞭子
'hong'se'di'bo 红色迪波
'hong'se'gao'mao 红色高帽
'hong'se'gui'guai 红色鬼怪
'hong'se'guo'shi 红色果实
'hong'se'hua'shi'ju'ren 红色化石巨人
'hong'se'jing'sui 红色精髓
'hong'se'kou'xiang'tang 红色口香糖
'hong'se'sha'mo'ai'ren 红色沙漠矮人
'hong'se'ting'yuan 红色庭院
'hong'se'tou'kui 红色头盔
'hong'se'wo'niu'ke 红色蜗牛壳
'hong'se'xin'zang 红色心脏
'hong'se'yao'shui 红色药水
'hong'se'yao'wan 红色药丸
'hong'se'yi'jin 红色衣襟
'hong'sha'sha'mo 红沙沙漠
'hong'shan'hu'shu'lin 红珊瑚树林
'hong'she'hua 红蛇花
'hong'shui'ling 红水灵
'hong'wo'niu 红蜗牛
'hong'wo'niu'wang 红蜗牛王
'hong'xi'yi 红蜥蜴
'hong'xi'yi'zhi'she 红蜥蜴之舌
'hong'xiao'chou 红小丑
'hong'xiao'chou'de'xiao'zhu 红小丑的小珠
'hong'yao'dai 红腰带
'hong'zhi'zhu 红蜘蛛
'hou'ce'ji 后测击
'hou'hui'de'ji'si 后悔的祭司
'hou'hui'de'ji'si 后悔的祭祀
'hou'hui'de'shen'guan 后悔的神官
'hou'hui'de'shou'hu'bing 后悔的守护兵
'hou'hui'de'shou'hu'dui'zhang 后悔的守护队长
'hou'hui'zhi'lu 后悔之路
'hou'jie'ji'mu 后街吉姆
'hou'jie'xiao'fan 后街小贩
'hou'zi 猴子
'hou'zi'de'yu'shou 猴子的御守
'hou'zi'mi'gong 猴子迷宫
'hou'zi'sen'lin 猴子森林
'hou'zi'wa'wa 猴子娃娃
'hou'zi'xiang'pi'ca 猴子橡皮擦
'hou'zi'zhao'ze'di 猴子沼泽地
'hu'die'chu'xu 蝴蝶触须
'hu'die'jie 蝴蝶结
'hu'die'jing 蝴蝶精
'hu'die'jing'de'chu'jiao 蝴蝶精的触角
'hu'die'yao 蝴蝶妖
'hu'jing 虎精
'hu'li'shan'po 狐狸山坡
'hu'lu 葫芦
'hu'luo'bo 胡萝卜
'hu'pao'xiao 虎咆哮
'hu'pi 虎皮
'hu'shen'fu 护身符
'hu'xi'si'yuan 呼吸寺院
'hu'xi'si'yuan'men'kou 呼吸寺院门口
'hua'hua'qing'nian'yu 花花青鲇鱼
'hua'li'de'hua'ban 华丽的花瓣
'hua'li'de'lin'pi 华丽的鳞皮
'hua'mo'gu 花蘑菇
'hua'mo'gu'gai 花蘑菇盖
'hua'mo'gu'wu'mu'shi 花蘑菇五目石
'hua'ping 花瓶
'hua'she'de'di'pan 花蛇的地盘
'hua'shi'jin'hua'e'mo 化石进化恶魔
'huan'cheng'qu 环乘区
'huan'hao 换号
'huan'ren'qi 换人气
'huan'su'shu 缓速术
'huan'you'shi'jie'chuan'qing'yi 环游世界传情意
'huang'du'jiao'shi 黄独角狮
'huang'du'jiao'shi'wei 黄独角狮尾
'huang'gua 黄瓜
'huang'guan'chui'pao'pao'yu 皇冠吹泡泡鱼
'huang'hai'ma 黄海马
'huang'he'se'ying'yue'hua'zhong'zi 黄褐色迎月花种子
'huang'hun'zhi'lu 黄昏之露
'huang'ji'mu'guai 黄积木怪
'huang'jin 黄金
'huang'jin'feng'ye 黄金枫叶
'huang'jin'hai'an 黄金海岸
'huang'jin'hai'tan 黄金海滩
'huang'jin'hai'tan'de'te'se'cai 黄金海滩的特色菜
'huang'jin'kai'kou'xiao 黄金开口笑
'huang'jin'mu'kuang 黄金母矿
'huang'jin'xue'ban 黄金雪板
'huang'jin'zha'xia 黄金炸虾
'huang'jin'zhu'zhu'bian'shen'dao'ju 黄金猪猪变身道具
'huang'jing'mu'kuang 黄晶母矿
'huang'jing'you 黄晶有
'huang'lang 黄浪
'huang'liang'de'shan'qiu 荒凉的山丘
'huang'liang'de'shan'ya 荒凉的山崖
'huang'se'gui'guai 黄色鬼怪
'huang'se'ting'yuan 黄色庭院
'huang'se'wan'ju'quan 黄色玩具圈
'huang'se'ying'yue'hua'zhong'zi 黄色迎月花种子
'huang'se'yu'san 黄色雨伞
'huang'se'zha'dan'qiu 黄色炸弹球
'huang'xi'yi 黄蜥蜴
'huang'xi'yi'zhi'wei 黄蜥蜴之尾
'huang'xiao'chou 黄小丑
'huang'xiao'chou'de'mao'zi 黄小丑的帽子
'huang'yao'dai 黄腰带
'huang'zhi'sheng'ji 黄直升机
'hui'bi'lv 回避率
'hui'bi'yao'gao 回避药膏
'hui'cheng 回城
'hui'cheng'juan'zhou 回城卷轴
'hui'fu'dao'ju 回复道具
'hui'fu'pi'lao'bu'yao 恢复疲劳补药
'hui'fu'shu 恢复术
'hui'hao'zhu 灰豪猪
'hui'ma 回马
'hui'xuan'zhan 回旋斩
'hui'yi'shi 会议室
'hui'zhi'leng'de'di'bo 会制冷的迪波
'hun'mi 昏迷
'hun'mi'zhu'zi 昏迷珠子
'hun'zha 混扎
'hun'zhi'ling 魂之灵
'hun'zhong'shi'kuai 混种石块
'hun'zhong'shi'tou'ren 混种石头人
'huo'du 火毒
'huo'du'fa'shi 火毒法师
'huo'du'kang'xing 火毒抗性
'huo'du'mo'dao'shi 火毒魔导师
'huo'du'wu'shi 火毒巫师
'huo'du'yan'shou 火独眼兽
'huo'du'yan'shou'dong'xue 火独眼兽洞穴
'huo'du'yan'shou'tong'ji'pai 火毒眼兽通缉牌
'huo'du'yan'shou'zhi'wei 火独眼兽之尾
'huo'feng'huang 火凤凰
'huo'hong'mei'gui 火红玫瑰
'huo'jian 火箭
'huo'jian'shu 火箭术
'huo'jing'ling 火精灵
'huo'jing'ling'de'huo'jing 火精灵的火精
'huo'li 火狸
'huo'li'mao 火狸猫
'huo'li'shen'shui 活力神水
'huo'li'shen'yao 活力神药
'huo'ma 火马
'huo'qiang'shou 火枪手
'huo'shi'mu'kuang'sui'pian 火石母矿碎片
'huo'shi'qiu 火石球
'huo'shi'qiu'de'shi'pian 火石球的石片
'huo'yan'ban'ren'ma 火焰半人马
'huo'yan'ban'ren'ma'ling'tu 火焰半人马领土
'huo'yan'de'yan 火焰的眼
'huo'yan'jing'jing 火眼晶晶
'huo'yan'lie'quan 火焰猎犬
'huo'yan'lie'quan'de'xiang'lian 火焰猎犬的项链
'huo'yan'long 火焰龙
'huo'yan'shan 火焰山
'huo'yan'shu'lin 火焰树林
'huo'yan'si'wang'zhan'chang 火焰死亡战场
'huo'yan'zhi'di 火焰之地
'huo'yao'tong 火药桶
'huo'ye'zhu 火野猪
'huo'ye'zhu'jian'ya 火野猪尖牙
'ji'chi 疾驰
'ji'dan 鸡蛋
'ji'feng'bu 疾风步
'ji'ku 机库
'ji'le 几了
'ji'lu'zhe 记录者
'ji'mi'la 吉米拉
'ji'mo'de'bo'da 寂寞的波达
'ji'pin 极品
'ji'qi'xin'zang 机器心脏
'ji'rou 鸡肉
'ji'shi'jiu'jiu 计时啾啾
'ji'si 祭司
'ji'si 祭祀
'ji'su'ling'yu 极速领域
'ji'su'she 急速射
'ji'tui'jian 击腿箭
'ji'tui'ju'ju'xie 击退巨居蟹
'ji'tui'she'sha 激退射杀
'ji'tui'wan'ju'ta'de'zhi'zhu 击退玩具塔的蜘蛛
'ji'tui'yao'guai'chan'shi 击退妖怪禅师
'ji'tui'zhu'zhu 击退猪猪
'ji'xian'fang'yu 极限防御
'ji'xiang'de'mo'fa 吉祥的魔法
'ji'xie'gong 机械工
'ji'xie'zhi'zhu 机械蜘蛛
'ji'xue 几血
'ji'xue'le 几血了
'ji'yi'zhe 记忆者
'ji'zhong'jing'li 集中精力
'ji'zhong'shu 集中术
'ji'zhua 鸡爪
'jia'dong'zuo 假动作
'jia'ge'hua 加个花
'jia'ge'huo 加个火
'jia'nian'hua 嘉年华
'jia'nian'hua'dian 嘉年华点
'jia'ren'qi 加人气
'jia'ru'ka'pa'lai'te 加入卡帕莱特
'jia'zu'zhong'xin 家族中心
'jian'bi'sha'yu 尖鼻鲨鱼
'jian'he'ye'zhu 简和野猪
'jian'jiao'xiao'chou'yu 尖角小丑鱼
'jian'ke 剑客
'jian'ku'dong'xue 艰苦洞穴
'jian'qiao'de'shan'qiu 尖峭的山丘
'jian'qing'tian'kong'zhi'cheng'de'zhong'liang 减轻天空之城的重量
'jian'ren'de'long'pi 坚韧的龙皮
'jian'ren'qi 减人气
'jian'rui'de'jue'bi 尖锐的绝壁
'jian'sao'she 箭扫射
'jian'shen 箭神
'jian'yi'er'huan 坚毅耳环
'jian'ying'de'lin'pian 坚硬的鳞片
'jian'yu 箭雨
'jian'zao'xin'jia 建造新家
'jiang'hu'cun 江户村
'jiang'ren'zhi'hun 匠人之魂
'jiang'shi 僵尸
'jiang'shi'diu'shi'de'jin'chi 僵尸丢失的金齿
'jiang'shi'diu'shi'de'jiu'chi 僵尸丢失的臼齿
'jiang'shi'hou 僵尸猴
'jiang'shi'mo'gu 僵尸蘑菇
'jiang'shi'mo'gu'tong'ji'pai 僵尸蘑菇通缉牌
'jiang'shi'mo'gu'wang 僵尸蘑菇王
'jiang'shi'wa'wa 僵尸娃娃
'jiang'shi'ya 僵尸牙
'jiao'guan'fen'shen 教官分身
'jiao'tang'guo 焦糖果
'jiao'zi 饺子
'jie'bing'de'ping'yuan 结冰的平原
'jie'de 杰德
'jie'du'yao 解毒药
'jie'fa'xing'huang'shui'ling 街发型黄水灵
'jie'feng 解封
'jie'geng 桔梗
'jie'geng'gu 桔梗谷
'jie'geng'jing 桔梗精
'jie'geng'nong'suo'ye 桔梗浓缩液
'jie'hun'ji'nian'ri'de'li'wu 结婚纪念日的礼物
'jie'ke 捷克
'jie'ren'wu 接任务
'jin'bei 金杯
'jin'bo'shi 金博士
'jin'gu'jiao 筋骨胶
'jin'jie'dou'qi 进阶斗气
'jin'qian'hu'dun 金钱护盾
'jin'qian'tou'zhi 金钱投掷
'jin'qian'zha 金钱炸
'jin'qian'zha'dan 金钱炸弹
'jin'ren 金人
'jin'ren'dun'qi 金人钝器
'jin'ren'xin 金人心
'jin'sha'fen 金沙粉
'jin'shu'duan'zhang 金属短杖
'jin'shu'feng'bao 金属风暴
'jin'shu'gan 金属杆
'jin'shu'jia'chong 金属甲虫
'jin'shu'jia'chong'jiao 金属甲虫角
'jin'yin'dao 金银岛
'jin'yin'dao'de'si'wei'xian'zhe 金银岛的四位贤者
'jin'ying'zhao'huan 金鹰召唤
'jing'hua 净化
'jing'ji'cao 荆棘草
'jing'kou 井口
'jing'ling'ba'ba 精灵爸爸
'jing'ling'wang 精灵王
'jing'ling'wei'ke'de'zhu'fu 精灵威科的祝福
'jing'shen'jiao'liu 精神交流
'jing'shen'li 精神力
'jing'yan'zhi 经验值
'jing'yu'dao 鲸鱼岛
'jing'zhun'an'qi 精准暗器
'jing'zhun'duan'dao 精准短刀
'jing'zhun'dun'qi 精准钝器
'jing'zhun'fu 精准斧
'jing'zhun'gong 精准弓
'jing'zhun'jian 精准剑
'jing'zhun'jian 精准箭
'jing'zhun'mao 精准矛
'jing'zhun'nu 精准弩
'jing'zhun'qiang 精准枪
'jing'zhun'quan 精准拳
'jing'zhun'zhi 精准指
'jing'zi'shi 镜子室
'jiu'lao'de'shi'di 久老的湿地
'jiu'ling'chao'xue 九灵巢穴
'jiu'ling'long'de'qi'xi 九灵龙的气息
'jiu'wei'hu 九尾狐
'jiu'weng 久翁
'jiu'yun'dong'yan'jing 旧运动眼镜
'ju'bao 具宝
'ju'cai'shu 聚财术
'ju'da'yun'hu 巨大云狐
'ju'hua'jin'ren 巨化金人
'ju'hua'yin'ren 巨化银人
'ju'ju'xie 巨居蟹
'ju'ling'shi'ren'hua 巨灵食人花
'ju'ren'zhi'lin 巨人之林
'ju'se'kou'xiang'tang 橘色口香糖
'ju'xing'di'dai 矩形地带
'ju'xing'xue'qiu'zhuang'bei'deng'ji 巨型雪球装备等级
'ju'ying 巨鹰
'ju'ying'yu'mao 巨鹰羽毛
'ju'zi'biao 橘子标
'juan'juan 卷卷
'ka'che'guai 卡车怪
'ka'li'ke 卡里可
'ka'men 卡门
'ka'mi'la'de'bo'li'zhu 卡米拉的玻璃珠
'ka'pa'lai'te 卡帕莱特
'ka'pa'lai'te'he'shi'zong'de'lian'jin'shu'shi 卡帕莱特和失踪的炼金术士
'ka'pa'lai'te'mi'shi 卡帕莱特密室
'ka'pa'lai'te'xie'hui 卡帕莱特协会
'ka'pa'lai'te'yan'jiu'suo 卡帕莱特研究所
'ka'sen 卡森
'kai'ding 凯丁
'kai'lin 凯琳
'kai'min 铠敏
'kai'qian 凯茜
'kai'wang'mo'fa'mi'lin'de'chuan'piao 开往魔法密林的船票
'kai'wang'shen'mu'cun'de'chuan'piao 开往神木村的船票
'kai'wang'tian'kong'zhi'cheng'de'chuan'piao 开往天空之城的船票
'kai'wang'wan'ju'cheng'de'chuan'piao 开往玩具城的船票
'kai'xin'de'li'fu 开心的里弗
'kan'te 坎特
'kan'te'de'hai'di'sheng'wu'diao'cha 坎特的海底生物调查
'kan'te'de'ti'yi 坎特的提议
'kao'man'yu 烤鳗鱼
'kao'rou 烤肉
'kao'zhang'yu 烤章鱼
'ke'er 科尔
'ke'hui'shou'shui'ping 可回收水瓶
'ke'le'ka'sa 可乐卡萨
'ke'lei'sai'er 克雷塞尔
'ke'li'fu'de'te'shu'yao'shui 克里夫的特殊药水
'ke'lian'de'qu'yuan 可怜的屈原
'ke'lin'de'ji'yi 克林的记忆
'ke'lu 克鲁
'ke'luo'yi 科络伊
'ke'yi'de'nan'zi 可疑的男子
'ke'yi'si'la'ma 克依斯拉玛
'ken'de'xiong 肯德熊
'kong'dai'zi 空袋子
'kong'fang'jian 空房间
'kong'jun'que 空军雀
'kong'long 恐龙
'kong'qi'ling 空气铃
'kong'zhi'di'qu 控制地区
'kou'si'ku 寇斯库
'ku'er'lan'cao'yuan 库尔兰草原
'ku'lian'lian'ju 哭脸脸具
'ku'lian'mian'ju 哭脸面具
'ku'lou'hu'jian 骷髅护肩
'ku'lou'long 骷髅龙
'ku'lou'quan 骷髅犬
'ku'lou'quan'gu'tou 骷髅犬骨头
'ku'lou'shi'bing 骷髅士兵
'ku'lou'shi'guan 骷髅士官
'ku'lou'zhi'hui'guan 骷髅指挥官
'ku'mo 库摩
'ku'mo'zhi'jia 库摩之家
'ku'qun'zhi'zuo'fu'zhu'ji 裤裙制作辅助剂
'kuai'dao'le 快倒了
'kuai'dong'zuo 快动作
'kuai'qiang'shou 快枪手
'kuai'su'an'qi 快速暗器
'kuai'su'duan'dao 快速短刀
'kuai'su'dun'qi 快速钝器
'kuai'su'fu 快速斧
'kuai'su'jian 快速剑
'kuai'su'jian 快速箭
'kuai'su'mao 快速矛
'kuai'su'nu 快速弩
'kuai'su'qiang 快速枪
'kuai'su'quan 快速拳
'kuai'su'shou'zhi 快速手指
'kuai'su'yi'dong 快速移动
'kuang'dian 狂点
'kuang'luan'zhi'fu 狂乱之斧
'kuang'luan'zhi'jian 狂乱之剑
'kuang'quan'shui 矿泉水
'kuang'shan'jiang'shi 矿山僵尸
'kuang'shi'bao'shi 矿石宝石
'kuang'shuai 狂甩
'kui'hua'bao'dian 葵花宝典
'la'er 拉尔
'la'er'la 拉尔拉
'la'ji 垃圾
'la'ji'juan 垃圾卷
'la'ji'tong'di'bo 垃圾桶迪波
'la'ke'li'si 拉克里斯
'la'mian 拉面
'la'ya'tou 拉丫头
'lai'ha'ma 癞蛤蟆
'lai'ha'ma'de'du'ye 癞蛤蟆的毒液
'lai'ha'ma'lian'hua'chi 癞蛤蟆莲花池
'lai'li'bu'ming'de'ren'men 来历不明的人们
'lai'xi 莱西
'lai'xi'mao'qiu 莱西毛球
'lan'bao'shi 蓝宝石
'lan'bao'shi'mu'kuang 蓝宝石母矿
'lan'bian'yi'luo'mu 蓝变异螺母
'lan'bian'yi'luo'mu'sui'pian 蓝变异螺母碎片
'lan'ci'tun 蓝刺豚
'lan'ci'tun'de'luan 蓝刺豚的卵
'lan'du'jiao'shi 蓝独角狮
'lan'du'jiao'shi'wei 蓝独角狮尾
'lan'dui'zhu'shou 蓝队助手
'lan'duo'de'ka'li'ke 懒惰的卡里可
'lan'fei'ji 蓝飞机
'lan'fei'long 蓝飞龙
'lan'fei'long'zhi'wo 蓝飞龙之窝
'lan'hai'cao'lu 蓝海草路
'lan'hai'gui'long 蓝海龟龙
'lan'long 蓝龙
'lan'mao'hai'zei 蓝帽海贼
'lan'mao'hai'zei'de'duo 蓝帽海贼的舵
'lan'mo'gu 蓝蘑菇
'lan'mo'gu'gai 蓝蘑菇盖
'lan'mo'gu'wang 蓝蘑菇王
'lan'pao'pao'fan'che'yu 蓝泡泡翻车鱼
'lan'pao'pao'fan'che'yu'zhi'xin 蓝泡泡翻车鱼之心
'lan'se'di'bo 蓝色迪波
'lan'se'dian'ji'xiang 蓝色电击象
'lan'se'gao'mao 蓝色高帽
'lan'se'gui'guai 蓝色鬼怪
'lan'se'guo'shi 蓝色果实
'lan'se'jing'sui 蓝色精髓
'lan'se'shuang'jiao'long'de'lin'pian 蓝色双角龙的鳞片
'lan'se'shuang'jiao'long'de'ling'hun 蓝色双角龙的灵魂
'lan'se'ting'yuan 蓝色庭院
'lan'se'tou'kui 蓝色头盔
'lan'se'wan'ju'quan 蓝色玩具圈
'lan'se'wo'niu'ke 蓝色蜗牛壳
'lan'se'xin'zang 蓝色心脏
'lan'se'yao'shi 蓝色钥匙
'lan'se'yao'shui 蓝色药水
'lan'se'yao'wan 蓝色药丸
'lan'se'yi'jin 蓝色衣襟
'lan'se'ying'yue'hua'zhong'zi 蓝色迎月花种子
'lan'se'yu'san 蓝色雨伞
'lan'shui'ling 蓝水灵
'lan'shui'ling'da'shui'zhu 蓝水灵大水珠
'lan'wo'niu 蓝蜗牛
'lan'zhou'la'mian 兰州拉面
'lang'de'ling'tu 狼的领土
'lang'man'ying'hua 浪漫樱花
'lang'ren 狼人
'lang'ren'de'jiao'zhi'jia 狼人的脚趾甲
'lang'ren'jiao'zhi'jia 狼人脚趾甲
'lao'ban 老板
'lao'ban'de'ming'pai 老板的名牌
'lao'hai'dao 老海盗
'lao'hai'dao'de'xiang'zi'yao'shi 老海盗的箱子钥匙
'lao'hu'jiao'yin 老虎脚印
'lao'hu'shan'po 老虎山坡
'lao'hu'shu'lin 老虎树林
'lao'ku'lou'long 老骷髅龙
'lao'pan 老盼
'lao'po'po'zhi'wu 老婆婆之屋
'lao'shan'can'jing 老山参精
'lao'shu'xian'jing 老鼠陷阱
'lao'tou 老头
'lei'dian'shu 雷电术
'lei'gu 肋骨
'lei'ka 雷卡
'lei'ming'dun'qi 雷鸣钝器
'lei'ming'zhi'jian 雷鸣之剑
'lei'tai 擂台
'leng'dong'yu'chi 冷冻鱼翅
'li'de 里德
'li'de'quan'tou 力的拳头
'li'er 丽尔
'li'fu 里弗
'li'jia'chu'qu'de'a'le'si 离家出去的阿勒斯
'li'jia'chu'zou'de'a'le'si 离家出走的阿勒斯
'li'kuang'shi 锂矿石
'li'kuang'shi'mu'kuang 锂矿石母矿
'li'liang 力量
'li'liang'beng'kui 力量崩溃
'li'liang'mu'kuang 力量母矿
'li'liang'shui'jing 力量水晶
'li'mao'chai'huo 狸猫柴火
'li'mu'kuang 锂母矿
'li'na 丽娜
'li'sa 莉萨
'li'sa'de'te'shu'zhi'liao'ji 莉萨的特殊治疗剂
'li'wei'gong'wen'dui 李卫公问对
'li'zhang 犁杖
'li'zhang'niu 犁杖牛
'li'zi 栗子
'li'zi'xiang'pi'ca 狸子橡皮擦
'lian'cai'shu 敛财术
'lian'huan'dong'xue 连环洞穴
'lian'huan'huan'po 连环环破
'lian'huan'shan'dian 链环闪电
'lian'huo'dan 连火弹
'lian'jin'shu'jian 炼金术简
'lian'shen'fu 连身服
'lie'huo'jian 烈火箭
'lie'kai'de'sha'lou 裂开的沙漏
'lie'quan 猎犬
'lie'quan'de'jian'ya 猎犬的尖牙
'lie'ren 猎人
'lie'shou'si'ka'de 猎手斯卡德
'lie'shou'si'ka'de'de'er'zi'ni'ke 猎手斯卡得的儿子尼克
'lie'yan'dun'qi 烈焰钝器
'lie'yan'nu 烈焰弩
'lie'yan'pen'she 烈焰喷射
'lie'yan'zhang 烈焰仗
'lie'yan'zhi'jian 烈焰之剑
'lin'ye'de'song'lin 林野的松林
'lin'zhong 林中
'lin'zhong'zhi'cheng 林中之城
'lin'zhong'zhi'cheng'hui'cheng'juan 林中之城回城卷
'ling'hun'shou'ji'qi 灵魂收集器
'ling'hun'zhi'yu 灵魂治愈
'ling'hun'zhu'fu 灵魂祝福
'ling'hun'zhu'li 灵魂助力
'ling'lu'deng 领路灯
'ling'wai'de'ru'kou 另外的入口
'liu'jiao'shui'jing'xiang'lian 六角水晶项链
'liu'lang'lian'jin'shu'shi 流浪炼金术士
'liu'lang'tuan'zhi'di 流浪团之地
'liu'mang 流氓
'liu'mang'de'hui'zhang 流氓的徽章
'liu'mang'de'ming'pian 流氓的名片
'liu'mang'de'xiang'lian 流氓的项链
'liu'shi'nian'yao'cao'di 六十年药草地
'liu'tao 六韬
'long'bei'ren 龙背刃
'long'de'tou'gu 龙的头骨
'long'de'xia'gu 龙的峡谷
'long'gu 龙骨
'long'lin 龙林
'long'lin'ru'kou 龙林入口
'long'pao'xiao 龙咆哮
'long'pi 龙皮
'long'qi 龙骑
'long'qi'shi 龙骑士
'long'rou 龙肉
'long'wang 龙王
'long'xia 龙虾
'long'xue 龙血
'long'xue 龙穴
'long'zhi'chao'xue'ru'kou 龙之巢穴入口
'long'zhi'hun 龙之魂
