'an'jian 案件
'jing'ji'wei'fa 经济违法
'jing'ji'wei'fa'xing'wei 经济违法行为
'jing'ju 警句
'jing'li 经历
'jing'li 经理
'jing'pin 竞聘
'jing'pin'shu'zhi 竞聘述职
'jing'qing 敬请
'jing'sai 竞赛
'jing'shen 精神
'jing'shi 警示
'jing'shi'xin'xi 警示信息
'jing'tai 静态
'jing'ting 静听
'jing'xi 精细
'jing'yan 经验
'jing'ying 经营
'jing'ying'chang'suo 经营场所
'jing'ying'fan'wei 经营范围
'jing'ying'xiang'mu 经营项目
'jing'ying'xing'wei 经营行为
'jing'ying'zhe 经营者
'jing'ying'zhe'zi'lv'zhi'du 经营者自律制度
'jing'zheng 竞争
'jiu'dang 就当
'jiu'jin 就近
'jiu'lei 酒类
'jiu'shi 就是
'jiu'xiang 就像
'jiu'ye'zai'jiu'ye 就业再就业
'jiu'ye'zhao'pin 就业招聘
'ju'bao 举报
'ju'cuo 举措
'ju'da 巨大
'ju'ji 剧集
'ju'li 距离
'ju'ti 具体
'ju'wu'gong'kai 局务公开
'ju'xian'yu 局限于
'ju'you 具有
'ju'zhang 局长
'jue'bu'dong'yao 决不动摇
'jue'ce 决策
'jue'ding 决定
'jun'ke 均可
'kai'cai 开采
'kai'chuang 开创
'kai'chuang'gong'shang'xing'zheng'guan'li'gong'zuo'xin'ju'mian 开创工商行政管理工作新局面
'kai'chuang'le 开创了
'kai'fa 开发
'kai'fa'le 开发了
'kai'fang 开放
'kai'she 开设
'kai'shi 开始
'kai'tong 开通
'kai'tong'le 开通了
'kai'tuo 开拓
'kai'tuo'chuang'xin 开拓创新
'kai'ye'deng'ji 开业登记
'kai'zhan 开展
'kai'zhan'le 开展了
'kan'dao 看到
'kan'deng 刊登
'kan'tu 看图
'kang'zai'jiu'zai 抗灾救灾
'kang'zhen'jiu'zai 抗震救灾
'kao'cha 考察
'kao'he 考核
'kao'ping 考评
'kao'ping'ji'zhi 考评机制
'kao'yan 考验
'ke'chi'xu'fa'zhan 可持续发展
'ke'ji 科技
'ke'lu 刻录
'ke'xue 科学
'ke'xue'fa'zhan'guan 科学发展观
'ke'xue'hua 科学化
'ke'yi 可以
'ke'yu 可与
'ken'ding 肯定
'kong'gu 控股
'kong'jian 空间
'kong'qi 空气
'ku'shu 酷暑
'kua'di'qu 跨地区
'kua'yue 跨越
'kua'yue'shi 跨越式
'kuai'jie 快捷
'kuai'su 快速
'kun'rao'zhe 困扰着
'kuo'da 扩大
'kuo'da'kai'fang 扩大开放
'la'ji 垃圾
'lai'jiang 来讲
'lai'le 来了
'lan'mu 栏目
'lan'shou 滥收
'lan'shou'fei'yong 滥收费用
'lang'fei 浪费
'lao'gong'ye 老工业
'lao'gong'ye'ji'di 老工业基地
'lao'gu'shu'li'fu'wu'yi'shi 牢固树立服务意识
'lei'si 类似
'lei'xing 类型
'li'an 立案
'li'cai 理财
'li'du 力度
'li'jing'tu'zhi 励精图治
'li'nian 理念
'li'ru 例如
'li'shi 历史
'li'shi 理事
'li'shi'jin'cheng 历史进程
'li'shi'xing 历史性
'li'shu'dan'wei 隶属单位
'li'shun 理顺
'li'ti 立体
'li'ti'hua 立体化
'li'yi 利益
'li'yong 利用
'li'zu 立足
'lian'bing'bi'wu 练兵比武
'lian'dong 联动
'lian'he 联合
'lian'jie 连接
'lian'wang'ying'yong 联网应用
'lian'xi 联系
'lian'xu 连续
'lian'ying 联营
'lian'zheng 廉政
'lian'zheng'feng'xian'dian'fang'fan 廉政风险点防范
'lian'zheng'jian'she 廉政建设
'lian'zheng'qin'zheng 廉政勤政
'liang'da'mao'dun 两大矛盾
'liang'dian 亮点
'liang'fa'shi'dang 量罚适当
'liang'hao 良好
'liang'hao'de'gong'shang'xing'xiang 良好的工商形象
'liang'ji 两级
'liang'lei 两类
'liang'nian 两年
'liang'nian'lai 两年来
'liang'pian 两篇
'liang'shou'zhua 两手抓
'liang'tian 两天
'liang'xing'hu'dong 良性互动
'liao'jie 了解
'liao'ning 辽宁
'liao'ning'sheng 辽宁省
'liao'ning'sheng'gong'shang'ju 辽宁省工商局
'liao'ning'sheng'gong'shang'xing'zheng'guan'li'ju 辽宁省工商行政管理局
'liao'ning'sheng'ju 辽宁省局
'liao'tian 聊天
'liao'yang'shi'gong'shang'xing'zheng'guan'li'ju 辽阳市工商行政管理局
'liao'yang'shi'ju 辽阳市局
'lin'shi 临时
'ling'dao 领导
'ling'dao'shui'ping 领导水平
'ling'dao'xia 领导下
'ling'dao'xiao'zu 领导小组
'ling'ju'li 零距离
'ling'qu 领取
'ling'ye 另页
'ling'yu 领域
'liu'cheng 流程
'liu'cheng'guan'li 流程管理
'liu'cheng'hua 流程化
'liu'dong 流动
'liu'lan'qi 浏览器
'liu'shang 流上
'liu'tong 流通
'liu'tong'huan'jie 流通环节
'liu'tong'huan'jie'chan'pin'zhi'liang 流通环节产品质量
'liu'tong'huan'jie'chan'pin'zhi'liang'he'shi'pin'an'quan'jian'guan 流通环节产品质量和食品安全监管
'liu'tong'ling'yu 流通领域
'liu'xiang 流向
'liu'zhuan 流转
'lou'shang 楼上
'lun'gang 轮岗
'lun'tan 论坛
'luo'dao 落到
'luo'hou 落后
'luo'shi 落实
'lv'se 绿色
'lv'se'tong'dao 绿色通道
'lv'xing 履行
'lv'xing'fa'ding'zhi'neng 履行法定职能
'lv'xing'fa'ding'zhi'ze 履行法定职责
'lv'xing'zhi'ze 履行职责
'mai'chu 迈出
'man'yi'de 满意的
'man'yi'du 满意度
'man'zu 满足
'mang'bu'mang 忙不忙
'mang'le 忙了
'mang'mu 盲目
'mei'chu'wu 没出屋
'mei'duo'shao 没多少
'mei'guan'xi 没关系
'mei'jian 没见
'mei'kan'jian 没看见
'mei'ren 没人
'mei'shi 没事
'mei'ti 媒体
'mei'you 没有
'mei'zhong 每种
'mei'zhou 每周
'mei'zou 没走
'men'hu 门户
'men'pai'hao 门牌号
'mian'fei 免费
'mian'fei'de 免费的
'mian'mao 面貌
'mian'qian 面前
'min'sheng 民声
'min'sheng 民生
'min'sheng'wei'quan 民生维权
'min'sheng'wen'ti 民生问题
'min'yi 民意
'ming'cheng 名称
'ming'ling 命令
'ming'ming 命名
'ming'ming 明明
'ming'que 明确
'ming'que'le 明确了
'ming'que'ti'chu 明确提出
'ming'xian 明显
'ming'you'qi'ye 名优企业
'ming'zi 名字
'mo'shi 模式
'mo'suo 摸索
'mo'xing 模型
'mou'ge 某个
'mu'biao 目标
'mu'biao'kao'he 目标考核
'mu'biao'ze'ren'shu 目标责任书
'mu'gong'si 母公司
'mu'qian 目前
'mu'qian'wei'zhi 目前为止
'mu'zi 母子
'na'li 哪里
'na'ru 纳入
'na'shi 那时
'na'shi 那是
'nan'du 难度
'nei'bu 内部
'nei'rong 内容
'nei'wai 内外
'nei'wang 内网
'nei'zai 内在
'nei'zi 内资
'nei'zi'qi'ye 内资企业
'neng'li 能力
'ni'hao 你好
'ni'men 你们
'nian'di 年底
'nian'du 年度
'nian'du'jian'yan 年度检验
'nian'jian 年检
'nian'qi 年起
'nian'qing 年轻
'nong'cun'shi'pin'jian'guan 农村食品监管
'nong'fu'chan'pin'pi'fa'shi'chang 农副产品批发市场
'nong'mao'shi'chang 农贸市场
'nong'zi'wei'fa'an'jian 农资违法案件
'ou'ran 偶然
'pai'cha'zhi'li 排查治理
'pai'mai 拍卖
'pai'you 排忧
'pan'jin 盘锦
'pan'jin'shi'gong'shang'xing'zheng'guan'li'ju 盘锦市工商行政管理局
'pan'jin'shi'ju 盘锦市局
'pei'bei 配备
'pei'chang 赔偿
'pei'he 配合
'pei'xun 培训
'pei'zhi 配置
'peng'bo 蓬勃
'peng'bo'fa'zha 蓬勃发扎
'pian'qu 片区
'pian'tou 片头
'pin'ci 频次
'pin'pai 品牌
'pin'pai'lian'bao 品牌联保
'ping'an'ao'yun'xing'dong 平安奥运行动
'ping'jia 评价
'ping'shen 评审
'ping'tai 平台
'ping'yi 评议
'pu'dong'xin'qu 浦东新区
'pu'tong 普通
'qi'ci 其次
'qi'dao'le 起到了
'qi'huo 期货
'qi'ji 契机
'qi'shi 其实
'qi'ta 其他
'qi'ta 其它
'qi'xian 期限
'qi'xiang 气象
'qi'ye 企业
'qi'ye'deng'ji 企业登记
'qi'ye'fa'ren 企业法人
'qi'ye'ji'tuan 企业集团
'qi'ye'nian'jian 企业年检
'qi'ye'xin'yong'fen'lei'jian'guan 企业信用分类监管
'qi'ye'xin'yong'ti'xi 企业信用体系
'qi'zhong 其中
'qian'chu 迁出
'qian'ru 迁入
'qian'ti 前提
'qian'yi 迁移
'qian'yi'deng'ji 迁移登记
'qian'zhi 前置
'qian'zhi'shen'pi 前置审批
'qian'zhi'xu'ke 前置许可
'qian'zi 签字
'qiang'da 强大
'qiang'hua 强化
'qiang'hua'jian'guan'cuo'shi 强化监管措施
'qiang'hua'le 强化了
'qiang'hua'shi'chang'jian'guan 强化市场监管
'qiang'li 强力
'qiang'zhi'fu'wu 强制服务
'qiang'zhi'jiao'yi 强制交易
'qie'shi 切实
'qin'fen'xue'xi 勤奋学习
'qin'jian'jie'yue 勤俭节约
'qin'qie 亲切
'qin'quan'xing'wei 侵权行为
'qin'zi 亲自
'qing'chen 清晨
'qing'cheng'xu 轻程序
'qing'hai'zang'qu 青海藏区
'qing'kuang 情况
'qing'li 清理
'qing'li'hou 清理后
'qing'suan'bao'gao 清算报告
'qing'ting 倾听
'qing'xi'ming'que 清晰明确
'qing'xing 情形
'qiu'zhen 求真
'qiu'zhen'wu'shi 求真务实
'qu'dao 渠道
'qu'de 去的
'qu'de'le 取得了
'qu'hei'tou 去黑头
'qu'le 去了
'qu'nian 去年
'qu'shi 趋势
'qu'yu 区域
'qu'yu'jing'ji'liang'xing'hu'dong 区域经济良性互动
'qu'yu'jing'ji'xie'tiao'fa'zhan 区域经济协调发展
'qu'yu'lian'fang'xie'zuo 区域联防协作
'quan'ben 全本
'quan'bu 全部
'quan'cheng 全程
'quan'guo 全国
'quan'guo'gong'shang'xi'tong 全国工商系统
'quan'guo'gong'shang'xin'lian'xin 全国工商心连心
'quan'guo'gong'shang'yi'jia'qin 全国工商一家亲
'quan'ju 全局
'quan'li'jian'du'zhi'yue'zhi'du 权力监督制约制度
'quan'li'yi'fu 全力以赴
'quan'mian 全面
'quan'mian'guan'che 全面贯彻
'quan'mian'sheng'li 全面胜利
'quan'min 全民
'quan'min'suo'you'zhi 全民所有制
'quan'min'suo'you'zhi'qi'ye 全民所有制企业
'quan'min'suo'you'zhi'qi'ye'fa'ren 全民所有制企业法人
'quan'sheng 全省
'quan'ti 全体
'quan'xi'tong 全系统
'quan'xian 权限
'quan'xian'guan'li 权限管理
'quan'yi 权益
'quan'yi'bao'nong 权益保农
'quan'ze 权责
'que'ding 确定
'que'ding'le 确定了
'que'ding'wei 确定为
'que'jin'shao'liang 缺斤少两
'que'li 确立
'que'shi 确实
'que'xin 确信
'qun'zhong 群众
'qun'zhong'an'quan 群众安全
'ran'er 然而
'rao'luan'shi'chang'zhi'xu 扰乱市场秩序
'ren'ding 认定
'ren'ding'gong'zhi'lv'shi 认定公职律师
'ren'gong 人工
'ren'li 人力
'ren'min 人民
'ren'min'bi 人民币
'ren'min'sheng'ming'cai'chan 人民生命财产
'ren'qing 人情
'ren'qing'an 人情案
'ren'shi 认识
'ren'shi'dao 认识到
'ren'wu 任务
'ren'wu'fan'zhong 任务繁重
'ren'wu'jian'ju 任务艰巨
'ren'xin 人心
'ren'yi'chu'fa 任意处罚
'ren'yuan 人员
'ren'zhen 认真
'ren'zhen'luo'shi'dang'de'shi'qi'da'jing'shen 认真落实党的十七大精神
'ri'bao 日报
'ri'chang 日常
'ri'qi 日期
'ri'yi 日益
'ru'ci 如此
'ru'guo 如果
'ru'he 如何
'ru'shou 入手
'ru'shu 如数
'ru'you 如有
'ruan'jian 软件
'ruan'jian'xi'tong 软件系统
'ruan'jian'zhong 软件中
'san'bu'xu'jia'xin'xi 散布虚假信息
'san'dian 三点
'san'ding 三定
'san'fang 三方
'san'ge 三个
'san'ge'guo'ying 三个过硬
'san'ge'ji'ben'jian'li 三个基本建立
'san'hui 三会
'san'nian 三年
'san'nian'lai 三年来
'san'shi 三是
'san'wei 三位
'san'xia'ku'qu 三峡库区
'sang'na 桑拿
'sao'huang'da'fei 扫黄打非
'shan'dian 闪电
'shang'ban'nian 上半年
'shang'bao 上报
'shang'biao 商标
'shang'biao'cha'yan'dui'bi 商标查验对比
'shang'biao'fu'nong 商标富农
'shang'biao'pin'pai'shi'chang'zhun'ru 商标品牌市场准入
'shang'biao'shou'quan'jing'ying'zhi'du 商标授权经营制度
'shang'biao'xing'zheng'bao'hu 商标行政保护
'shang'biao'xing'zheng'bao'hu'chang'xiao'ji'zhi 商标行政保护长效机制
'shang'biao'yi'shi 商标意识
'shang'biao'zhan'lue 商标战略
'shang'biao'zhu'ce 商标注册
'shang'biao'zhu'ce'shen'qing 商标注册申请
'shang'chang 商场
'shang'lai 上来
'shang'pin 商品
'shang'pin'jiao'yi'shi'chang 商品交易市场
'shang'pin'jiao'yi'shi'chang'xin'yong'fen'lei'jian'guan 商品交易市场信用分类监管
'shang'pin'zhi'liang 商品质量
'shang'pin'zhun'ru'zhi'du 商品准入制度
'shang'shi 上市
'shang'shi'gong'si 上市公司
'shang'shu 上述
'shang'xia 上下
'shang'xian 上线
'shang'ye 商业
'shang'ye'hui'lu 商业贿赂
'shang'ye'hui'lu'xing'wei 商业贿赂行为
'shang'ye'qi'zha 商业欺诈
'shang'zhou 上周
'she'an 涉案
'she'ao 涉奥
'she'bei 设备
'she'hui 社会
'she'hui'fa'zhan 社会发展
'she'hui'fu'wu 社会服务
'she'hui'he'xie'wen'ding 社会和谐稳定
'she'hui're'dian'nan'dian'ling'yu 社会热点难点领域
'she'hui'wen'ding 社会稳定
'she'hui'zhi'an'zong'he'zhi'li 社会治安综合治理
'she'hui'zhu'yi 社会主义
'she'hui'zhu'yi'da'shi'chang 社会主义大市场
'she'hui'zhu'yi'shi'chang'jing'ji 社会主义市场经济
'she'hui'zhu'yi'xin'nong'cun 社会主义新农村
'she'hui'zhu'yi'xin'nong'cun'jian'she 社会主义新农村建设
'she'ji 设计
'she'ji 涉及
'she'ji'kai'fa 设计开发
'she'li 设立
'she'li'deng'ji 设立登记
'she'zhi 设置
'she'zhi'le 设置了
'shen'cha 审查
'shen'cha'li'liang 审查力量
'shen'du 深度
'shen'fen 身份
'shen'he 审核
'shen'hua 深化
'shen'hua'gai'ge 深化改革
'shen'ji'bao'gao 审计报告
'shen'ju 身居
'shen'ke 深刻
'shen'me 什么
'shen'me'yang 什么样
'shen'pi 审批
'shen'qing 申请
'shen'qing'ren 申请人
'shen'ru 深入
'shen'ru'guan'che 深入贯彻
'shen'ru'tui'jin 深入推进
'shen'shu 申述
'shen'shu'ju'bao'xi'tong 申述举报系统
'shen'su 申诉
'shen'su'ju'bao 申诉举报
'shen'su'ju'bao'zhi'du 申诉举报制度
'shen'yang 沈阳
'shen'yang'shi'gong'shang'xing'zheng'guan'li'ju 沈阳市工商行政管理局
'shen'yang'shi'ju 沈阳市局
'shen'zhi 甚至
'sheng'cheng 生成
'sheng'gong'shang'ju 省工商局
'sheng'ji 升级
'sheng'ju 省局
'sheng'ju'dang'zu 省局党组
'sheng'shi 省市
'sheng'shi'ju 省市局
'sheng'wei 省委
'sheng'wei'sheng'zheng'fu 省委省政府
'sheng'zheng'fu 省政府
'shi'bie 识别
'shi'chang 市场
'shi'chang'guan'li 市场管理
'shi'chang'huan'jing 市场环境
'shi'chang'jian'guan 市场监管
'shi'chang'jian'guan'xin'xi'hua 市场监管信息化
'shi'chang'jian'guan'zhi'fa 市场监管执法
'shi'chang'jiao'yi'zhi'xu 市场交易秩序
'shi'chang'jing'ji 市场经济
'shi'chang'wen'ding 市场稳定
'shi'chang'xun'cha 市场巡查
'shi'chang'zhi'xu 市场秩序
'shi'chang'zhu'nong 市场助农
'shi'chang'zhu'ti 市场主体
'shi'chang'zhu'ti'deng'ji'xin'xi'fen'xi'li'yong 市场主体登记信息分析利用
'shi'chu 实处
'shi'dian 试点
'shi'dian'dan'wei 试点单位
'shi'duan 时段
'shi'er 十二
'shi'fen 十分
'shi'hou 时候
'shi'ji 实际
'shi'jian 事件
'shi'jian 实践
'shi'jian 时间
'shi'jian'li 时间里
'shi'jie 世界
'shi'ju 市局
'shi'pin 视频
'shi'pin 食品
'shi'pin'an'quan 食品安全
'shi'pin'an'quan'bao'zhang'ti'xi 食品安全保障体系
'shi'pin'an'quan'feng'xian'yu'jing 食品安全风险预警
'shi'pin'an'quan'he'shang'pin'zhi'liang'jian'guan'xin'xi'hua'wang'luo 食品安全和商品质量监管信息化网络
'shi'pin'an'quan'jian'guan 食品安全监管
'shi'pin'an'quan'shi'fan'dian 食品安全示范店
'shi'pin'an'quan'suo'zheng'suo'piao'he'gou'xiao'tai'zhang'zhi'du 食品安全索证索票和购销台账制度
'shi'pin'hui'yi 视频会议
'shi'pin'hui'yi'xi'tong 视频会议系统
'shi'pin'jian'ce'che 食品检测车
'shi'pin'jian'ce'xiang 食品检测箱
'shi'pin'jing'ying'zhu'ti 食品经营主体
'shi'pin'jing'ying'zhu'ti'xin'yong'fen'lei 食品经营主体信用分类
'shi'pin'ling'shou'shang 食品零售商
'shi'pin'tiao'jie 视频调解
'shi'pin'zhi'liang'fen'lei'jian'guan 食品质量分类监管
'shi'pin'zi'liao 视频资料
'shi'qi 使其
'shi'quan 事权
'shi'shi 实施
'shi'shi 实时
'shi'shi'de 适时地
'shi'shi'jian'guan 实时监管
'shi'wei'shi'zheng'fu 市委市政府
'shi'wu 事务
'shi'xian 实现
'shi'xian 时限
'shi'xian'le 实现了
'shi'xiang 事项
'shi'xin 失信
'shi'xing 实行
'shi'xing'le 实行了
'shi'ye 事业
'shi'yi 十一
'shi'ying 适应
'shi'yong 使用
'shi'za'dian 食杂店
'shi'zhang 市长
'shou'dao 受到
'shou'duan 手段
'shou'fa 守法
'shou'fei 收费
'shou'gong 手工
'shou'he'tong'zhong'xin'yong 守合同重信用
'shou'li 受理
'shou'li 手里
'shou'qu 收取
'shou'xian 首先
'shou'xian 受限
'shou'xiao 收效
'shou'xie 手写
'shou'zhong 守重
'shou'zhong'qi'ye 守重企业
'shu'di 属地
'shu'di'ban'li 属地办理
'shu'di'deng'ji'ji'guan 属地登记机关
'shu'di'hua 属地化
'shu'di'jian'guan 属地监管
'shu'e 数额
'shu'ju 数据
'shu'ju'fen'xi'bao'gao 数据分析报告
'shu'ju'ji'chu 数据基础
'shu'ju'zhi'biao 数据指标
'shu'ju'zhi'liang 数据质量
'shu'ju'zhong'xin 数据中心
'shu'li 树立
'shu'li 梳理
'shu'li'le 梳理了
'shu'liang 数量
'shu'rong 殊荣
'shu'shi 书式
'shu'shi'cai'liao 书式材料
'shu'shi'dang'an 书式档案
'shu'shi'shen'pi 书式审批
'shu'zhi'shu'lian 述职述廉
'shu'zi 数字
'shu'zi'dian'lu 数字电路
'shuai'xian 率先
'shui'ping 水平
'shui'zhun 水准
'shuo'ming 说明
'shuo'qing 说情
'si'ge 四个
'si'ge'tong'yi 四个统一
'si'hua 四化
'si'hua'jian'she 四化建设
'si'ji 四级
'si'ji'lian'wang 四级联网
'si'kao 思考
'si'shi 四是
'si'xiang 思想
'si'xie 私协
'si'ying'qi'ye 私营企业
'si'ying'qi'ye'xie'hui 私营企业协会
'sou'gou 搜狗
'su'qiu 诉求
'su'song 诉讼
'su'zhi 素质
'sui'ran 虽然
'sui'yi 随意
'sui'yi'xing 随意性
'sui'yi'zhi'fa 随意执法
'sui'zhe 随着
'suo'duan 缩短
'suo'you 所有
'suo'zai 所在
'suo'zai'shi 所在市
'tai'kuai 太快
'tan'suo 探索
'tao'tai 淘汰
'te'bie 特别
'te'bie'neng'zhan'dou 特别能战斗
'te'dian 特点
'te'hao 特好
'te'xing'hua 特性化
'ti'chu 提出
'ti'chu'le 提出了
'ti'dai 替代
'ti'gao 提高
'ti'gao'fu'wu'xiao'neng 提高服务效能
'ti'gao'jian'guan'fu'wu'shui'ping 提高监管服务水平
'ti'gao'jian'guan'zhi'fa'shui'ping 提高监管执法水平
'ti'gao'le 提高了
'ti'gao'zhi'fa 提高执法
'ti'gong 提供
'ti'gong'le 提供了
'ti'jiao 提交
'ti'ku 题库
'ti'qian 提前
'ti'qu 提取
'ti'sheng 提升
'ti'sheng'le 提升了
'ti'shi 提示
'ti'xi 体系
'ti'xian'le 体现了
'ti'zhi 体制
'ti'zhi'ji'zhi 体制机制
'ti'zhi'zhong 体制中
'tian'qi 天气
'tian'xie 填写
'tiao'jie 调解
'tiao'zheng 调整
'tiao'zheng'nei'she'ji'gou 调整内设机构
'tie'ling 铁岭
'tie'ling'shi'gong'shang'xing'zheng'guan'li'ju 铁岭市工商行政管理局
'tie'ling'shi'ju 铁岭市局
'tie'xi 铁西
'ting'chang 挺长
'tong'chou 统筹
'tong'dao 通道
'tong'guo 通过
'tong'guo'dui 通过对
'tong'ji 统计
'tong'ling 统领
'tong'shi 同时
'tong'xing'zheng 通行证
'tong'yi 同一
'tong'yi 统一
'tong'yi'biao'zhun 统一标准
'tong'yong 通用
'tong'zhi 同志
'tong'zhi'shu 通知书
'tou'deng'da'shi 头等大事
'tou'ming 透明
'tou'ru 投入
'tou'su 投诉
'tou'su'ping'tai 投诉平台
'tou'zi 投资
'tu'chu 突出
'tu'chu'wen'ti 突出问题
'tu'chu'zhong'dian 突出重点
'tu'fa 突发
'tu'ji'xing 突击性
'tu'jin 突进
'tu'jing 途径
'tu'pian 图片
'tu'po 突破
'tu'ru'qi'lai 突如其来
'tu'shu 图书
'tuan'jie'hu'zhu 团结互助
'tuan'jie'wu'shi 团结务实
'tui'chu 退出
'tui'chu 推出
'tui'dong 推动
'tui'guang 推广
'tui'jin 推进
'tui'jin'le 推进了
'tui'shi'zhi'du 退市制度
'tui'xing'le 推行了
'tun'ji'ju'qi 囤积居奇
'tuo'kuan 拓宽
'tuo'kuan'le 拓宽了
'tuo'zhan 拓展
'tuo'zhan'le 拓展了
'tuo'zhan'zhi'neng'kong'jian 拓展职能空间
'wai'bu 外部
'wai'guo'zi 外国字
'wai'shang 外商
'wai'shang'tou'zi'qi'ye 外商投资企业
'wai'zi 外资
'wai'zi'deng'ji'guan'li'shu'ju'lian'wang'ji'jian'ce'fen'xi'xi'tong 外资登记管理数据联网及监测分析系统
'wan'bi 完毕
'wan'cheng 完成
'wan'hu 万户
'wan'hui'jing'ji'sun'shi 挽回经济损失
'wan'jian 万件
'wan'shan 完善
'wan'shan'le 完善了
'wan'yuan 万元
'wan'zheng 完整
'wang'fan 往返
'wang'ge 网格
'wang'ge'hua 网格化
'wang'luo 网络
'wang'luo'bao'zhang 网络保障
'wang'luo'guang'gao'guan'li 网络广告管理
'wang'luo'hua 网络化
'wang'luo'shi'chang 网络市场
'wang'shang 网上
'wang'shang'deng'ji'jian'guan 网上登记监管
'wang'shang'zheng'fu 网上政府
'wang'zhan 网站
'wang'zhan'jian'she 网站建设
'wang'zhong'fu 王众孚
'wei'ci 为此
'wei'di'fang 为地方
'wei'fa 违法
'wei'hu 维护
'wei'hu'shi'chang'wen'ding 维护市场稳定
'wei'hu'shi'chang'xiao'fei'an'quan 维护市场消费安全
'wei'ji 危机
'wei'jing'ji'she'hui'you'hao'you'kuai'fa'zhan'fu'wu 为经济社会又好又快发展服务
'wei'jing'shou'quan'xu'ke 未经授权许可
'wei'quan 维权
'wei'quan'gong'zuo 维权工作
'wei'rao 围绕
'wei'she'hui 为社会
'wei'sheng'fang'yi 卫生防疫
'wei'xing 卫星
'wei'zheng'fu 为政府
'wei'zhi'cheng 为支撑
'wei'zhun 为准
'wen'dang 文档
'wen'gao 文稿
'wen'hao 文号
'wen'jian 文件
'wen'shu 文书
'wen'ti 问题
'wen'zi 文字
'wo'de 我的
'wo'ju 我局
'wo'men 我们
'wo'sheng 我省
'wo'xia'wu 我下午
'wo'ye 我也
'wo'zhe'li 我这里
'wu'fa 无法
'wu'ge 五个
'wu'ji'lian'wang 五级联网
'wu'ran'huan'jing 污染环境
'wu'ran'jian'pai 污染减排
'wu'shi 五是
'wu'shi 务实
'wu'zhao'jing'ying 无照经营
'wu'zhi'hua'ban'gong 无纸化办公
'wu'zhua 五抓
'xi'tong 系统
'xi'tong'na'ge 系统那个
'xi'tong'nei 系统内
'xia'fa 下发
'xia'fang'dao 下放到
'xia'yi'bu 下一步
'xia'zai 下载
'xian'chang 现场
'xian'dai 现代
'xian'dai'fu'wu'ye 现代服务业
'xian'dai'hua 现代化
'xian'dai'shi'chang 现代市场
'xian'ji 先机
'xian'ji'xian'ce 献计献策
'xian'jin 先进
'xian'jin'ji'shu 先进技术
'xian'ju 县局
'xian'lu 线路
'xian'qu 县区
'xian'shi 显示
'xian'shi'qi 显示器
'xian'zai 现在
'xian'zhi'jing'zheng'xing'wei 限制竞争行为
'xian'zhu 显著
'xian'zhuang 现状
'xiang'dui 相对
'xiang'dui'ren 相对人
'xiang'dui'yu 相对于
'xiang'guan 相关
'xiang'liang 响亮
'xiang'mu 项目
'xiang'she'hui 向社会
'xiang'tong'yi 相统一
'xiang'xi 详细
'xiang'ying 相应
'xiao'an 销案
'xiao'fei 消费
'xiao'fei'jiu'fen'tiao'jie'zhi'du 消费纠纷调解制度
'xiao'fei'wei'quan 消费维权
'xiao'fei'wei'quan'ti'zhi 消费维权体制
'xiao'fei'zhe 消费者
'xiao'fei'zhe'he'qi'ye'he'jie'zhi'du 消费者和企业和解制度
'xiao'fei'zhe'quan'yi 消费者权益
'xiao'fei'zhe'quan'yi'bao'hu 消费者权益保护
'xiao'guo 效果
'xiao'lv 效率
'xiao'neng 效能
'xiao'shou'ping'zheng 销售凭证
'xiao'shou'tai'zhang 销售台账
'xie'bu'xia 写不下
'xie'hui 协会
'xie'tiao 协调
'xie'tong 协同
'xie'xie 谢谢
'xie'zai 卸载
'xin'ju'mian 新局面
'xin'kuan 新款
'xin'mian'mao 新面貌
'xin'nong'cun'jian'she 新农村建设
'xin'shi'qi 新时期
'xin'shou 新手
'xin'ti'zhi 新体制
'xin'tu'jing 新途径
'xin'tu'po 新突破
'xin'wen 新闻
'xin'xi 信息
'xin'xi'ban 信息办
'xin'xi'de 信息的
'xin'xi'gong'kai 信息公开
'xin'xi'gong'shang 信息工商
'xin'xi'gong'xiang 信息共享
'xin'xi'hua 信息化
'xin'xi'hua'jian'guan'wang'luo'ti'xi 信息化监管网络体系
'xin'xi'hua'jian'she 信息化建设
'xin'xi'zhong'xin 信息中心
'xin'xi'zi'yuan 信息资源
'xin'xing'shi'xia 新形势下
'xin'xing'xiang 新形象
'xin'yong 信用
'xin'yong'deng'ji 信用等级
'xin'yong'fen'lei 信用分类
'xin'yong'fen'lei'jian'guan 信用分类监管
'xin'yong'gong'shang 信用工商
'xin'yong'jing'ji 信用经济
'xin'yong'ti'xi 信用体系
'xin'yong'xin'xi 信用信息
'xing'cheng 形成
'xing'cheng'le 形成了
'xing'dong 行动
'xing'neng 性能
'xing'qi'liu 星期六
'xing'shi 形式
'xing'shi'bi'ren 形势逼人
'xing'shi'fa'zhan 形势发展
'xing'wei 行为
'xing'wei'gui'fan 行为规范
'xing'xiang 形象
'xing'zhen 刑侦
'xing'zheng 行政
'xing'zheng'cheng'ben 行政成本
'xing'zheng'cheng'xu'shang 行政程序上
'xing'zheng'chu'fa'zi'you'cai'liang'quan 行政处罚自由裁量权
'xing'zheng'fu'yi 行政复议
'xing'zheng'guan'li 行政管理
'xing'zheng'pei'chang 行政赔偿
'xing'zheng'shen'pi 行政审批
'xing'zheng'shen'pi'gai'ge 行政审批改革
'xing'zheng'su'song 行政诉讼
