'an'dian'niu'dian'han 按电钮点焊
'dian'hu'han'zhe'zhao 电弧焊遮罩
'dian'hu'jing'te'xing 电弧静特性
'dian'hu'kong'qiang 电弧空腔
'dian'hu'li 电弧力
'dian'hu'pen'tu 电弧喷涂
'dian'hu'pian'chui 电弧偏吹
'dian'hu'piao'yi 电弧漂移
'dian'hu'piao'yi 电弧飘移
'dian'hu'qi'bao 电弧气刨
'dian'hu'qi'fen 电弧气氛
'dian'hu'qian'han 电弧钎焊
'dian'hu'qie'ge 电弧切割
'dian'hu'shan'guang'han 电弧闪光焊
'dian'hu'ting'du 电弧挺度
'dian'hu'wan'qu 电弧弯曲
'dian'hu'wen'ding'xing 电弧稳定性
'dian'hu'wu'li'xing'wei 电弧物理行为
'dian'hu'xing'tai 电弧形态
'dian'hu'yang'yi'que'han 电弧氧乙炔焊
'dian'hu'zi'shen'tiao'jie 电弧自身调节
'dian'hu'zi'wai'xian'zhuo'shang 电弧紫外线灼伤
'dian'huo'cheng'xu'kong'zhi'zhuang'zhi 点火程序控制装置
'dian'huo'hua'la'mao 电火花拉毛
'dian'huo'zhuang'zhi 点火装置
'dian'ji'bi 电极臂
'dian'ji'bi'shen'chang'du 电极臂伸长度
'dian'ji'bi'shen'chu'chang'du 电极臂伸出长度
'dian'ji'gong'zuo'duan 电极工作端
'dian'ji'hua'yi 电极滑移
'dian'ji'jia 电极夹
'dian'ji'jia'qian 电极夹钳
'dian'ji'jie'chu'mian 电极接触面
'dian'ji'li 电极力
'dian'ji'mao 电极帽
'dian'ji'nei'suo'chang'du 电极内缩长度
'dian'ji'shui'leng'guan 电极水冷管
'dian'ji'tai'ban 电极台板
'dian'ji'tou 电极头
'dian'ji'wo'gan 电极握杆
'dian'ji'ya'li 电极压力
'dian'ji'zhan'sun 电极粘损
'dian'ji'zhan'tie 电极粘贴
'dian'ji'zong'xing'cheng 电极总行程
'dian'ji'zuo 电极座
'dian'jie'chu'han 电接触焊
'dian'jie'ye'dian'rong'qi 电解液电容器
'dian'kuai'han'jie 垫块焊接
'dian'lan'jia'tou 电缆夹头
'dian'liu'an'pei 电流安培
'dian'liu'di'jian'shi'jian 电流递减时间
'dian'liu'di'zeng'shi'jian 电流递增时间
'dian'liu'mi'du 电流密度
'dian'mao 电铆
'dian'mao'han 电铆焊
'dian'mao'han'feng 电铆焊缝
'dian'neng'chu'neng'han'jie 电能储能焊接
'dian'qi'han 电气焊
'dian're'guo'lu 电热锅炉
'dian're'han'qiang 电热焊枪
'dian're'yuan 点热源
'dian'rong'chu'neng'dian'han 电容储能点焊
'dian'rong'chu'neng'dian'han'ji 电容储能点焊机
'dian'rong'chu'neng'dian'zu'han'ji 电容储能电阻焊机
'dian'rong'fang'dian'han'jie 电容放电焊接
'dian'rong'jie'di 电熔接地
'dian'rong'qi'fang'dian'dian'han'ji 电容器放电点焊机
'dian'rong'yi'zhi'zhi'liu'cheng'fen'de'han'jie'she'bei 电容抑制直流成分的焊接设备
'dian'rong'zhu'neng'dian'han 电容贮能点焊
'dian'shi'ru'shui'shi'yi'que'fa'sheng'qi 电石入水式乙炔发生器
'dian'shuan'han 电栓焊
'dian'wei'chong'fu'jing'du 点位重复精度
'dian'xian'han 点线焊
'dian'xing'gong'yi'gui'cheng 典型工艺规程
'dian'ya'han 点压焊
'dian'ya'li'han'jie 电压力焊接
'dian'yuan'dong'te'xing 电源动特性
'dian'yuan'wai'te'xing 电源外特性
'dian'zha'dui'han 电渣堆焊
'dian'zha'guo'cheng'wen'ding'xing 电渣过程稳定性
'dian'zha'han 电渣焊
'dian'zha'han'ji 电渣焊机
'dian'zha'ya'li'han 电渣压力焊
'dian'zhan'guo'lu 电站锅炉
'dian'zi'qiang 电子枪
'dian'zi'shu'dian'liu 电子束电流
'dian'zi'shu'gong'lv 电子束功率
'dian'zi'shu'gong'lv'mi'du 电子束功率密度
'dian'zi'shu'han 电子束焊
'dian'zi'shu'han'ji 电子束焊机
'dian'zi'shu'han'jie 电子束焊接
'dian'zi'shu'han'jie'ji 电子束焊接机
'dian'zi'shu'pian'zhuan'xian'quan 电子束偏转线圈
'dian'zi'shu'qian'han 电子束钎焊
'dian'zi'shu'qie'ge 电子束切割
'dian'zu'dian'feng'han'jie 电阻点缝焊接
'dian'zu'dian'han 电阻点焊
'dian'zu'duan'jie 电阻锻接
'dian'zu'dui'feng'han'jie 电阻对缝焊接
'dian'zu'dui'han 电阻对焊
'dian'zu'dui'jie'han 电阻对接焊
'dian'zu'feng'han 电阻缝焊
'dian'zu'feng'han'ji 电阻缝焊机
'dian'zu'gun'dong'dian'han 电阻滚动点焊
'dian'zu'gun'han 电阻滚焊
'dian'zu'han 电阻焊
'dian'zu'han'gang'guan 电阻焊钢管
'dian'zu'han'gong'yi 电阻焊工艺
'dian'zu'han'guan 电阻焊管
'dian'zu'han'guan'ji 电阻焊管机
'dian'zu'han'ji 电阻焊机
'dian'zu'han'jie 电阻焊接
'dian'zu'han'jie'guan 电阻焊接管
'dian'zu'han'she'bei 电阻焊设备
'dian'zu'han'tong'dian'shi'jian 电阻焊通电时间
'dian'zu'hu'hua'ya'han'jie 电阻弧花压焊接
'dian'zu'jia're'duan'han 电阻加热锻焊
'dian'zu'jie'chu'han 电阻接触焊
'dian'zu'qian'han 电阻钎焊
'dian'zu'qian'han'ji 电阻钎焊机
'dian'zu'shan'guang'han'jie 电阻闪光焊接
'dian'zu'shuan'han 电阻栓焊
'dian'zu'ya'li'dui'han 电阻压力对焊
'diao'zhuang'li'zhu 吊装立柱
'die'ban'qie'ge 叠板切割
'die'han 叠焊
'die'han'fa 叠焊法
'ding'ban'jia'qiang'lei 顶板加强肋
'ding'cha'han'jie'jian 顶叉焊接件
'ding'duan 顶锻
'ding'duan'bian'xing'liang 顶锻变形量
'ding'duan'bian'xing'su'du 顶锻变形速度
'ding'duan'dian'liu 顶锻电流
'ding'duan'ji'gou 顶锻机构
'ding'duan'li 顶锻力
'ding'duan'liu'liang 顶锻留量
'ding'duan'shi'jian 顶锻时间
'ding'duan'su'du 顶锻速度
'ding'duan'ya'li 顶锻压力
'ding'han 钉焊
'ding'han 顶焊
'ding'huo'ren'zai'chang'de'shi'yan 订货人在场的试验
'ding'jian 钉尖
'ding'mian'ping'wo'han 顶面平卧焊
'ding'peng'guan'guo're'qi'lu'ding'guo're'qi 顶棚管过热器炉顶过热器
'ding'qi'pai'wu 定期排污
'ding'tou'shi'han'jie 钉头式焊接
'ding'wei'ban 定位板
'ding'wei'han 定位焊
'ding'wei'han'dian 定位焊点
'ding'wei'han'feng 定位焊缝
'ding'wei'han'gong 定位焊工
'ding'wei'han'jie 定位焊接
'ding'wei'tiao'zheng 定位调整
'ding'ya'shi'jian 顶压时间
'ding'ya'yun'xing 定压运行
'ding'zi'dian'han 丁字点焊
'ding'zi'han 丁字焊
'ding'zi'han'feng 丁字焊缝
'ding'zi'jie'tou'han'feng 丁字接头焊缝
'ding'zi'jie'tou'jiao'han'feng 丁字接头角焊缝
'ding'zi'xing'han 丁字形焊
'ding'zi'xing'jiao'han 丁字形角焊
'dong'tai'can'shu 动态参数
'dou'dong'han 抖动焊
'du'tong'han'si 渡铜焊丝
'du'xin'dian'han'wang 镀锌电焊网
'du'xin'han'feng'gang'guan 镀锌焊缝钢管
'du'xin'han'feng'guan 镀锌焊缝管
'duan'bu'zhou'bian'han 端部周边焊
'duan'gong'han'jie 锻工焊接
'duan'han 锻焊
'duan'han'de 锻焊的
'duan'han'feng 端焊缝
'duan'han'feng 锻焊缝
'duan'han'guan 锻焊管
'duan'han'han'feng 锻焊焊缝
'duan'han'jie 端焊接
'duan'han'jie'tou 锻焊接头
'duan'han'shi'dan'ceng'yuan'tong 锻焊式单层圆筒
'duan'han'shi'rong'qi 锻焊式容器
'duan'hu'han 短弧焊
'duan'jie 锻接
'duan'jie'guan 锻接管
'duan'jie'han 端接焊
'duan'jie'han 锻接焊
'duan'jie'han'feng 端接焊缝
'duan'jie'han'feng 端界焊缝
'duan'jie'jie'tou 煅接接头
'duan'jie'jie'tou 端接接头
'duan'jie'tou 锻接头
'duan'kou'jin'xiang 断口金相
'duan'kou'shi'yan 断口试验
'duan'kou'xing'mao 断口形貌
'duan'lie'fen'xi'tu 断裂分析图
'duan'lie'li'xue 断裂力学
'duan'lie'ren'du 断裂韧度
'duan'lie'ren'xing 断裂韧性
'duan'lu'dian'hu'qi'ti'bao'hu'dian'hu'han 短路电弧气体保护电弧焊
'duan'lu'dian'liu 短路电流
'duan'lu'guo'du 短路过渡
'duan'lu'guo'du'dian'hu'han 短路过渡电弧焊
'duan'mian'han'feng 端面焊缝
'duan'mian'jie'tou'gun'han 端面接头滚焊
'duan'xu'dian'han 断续点焊
'duan'xu'feng'han 断续缝焊
'duan'xu'han 断续焊
'duan'xu'han'feng 断续焊缝
'duan'xu'han'feng'jian'ju 断续焊缝间距
'duan'xu'han'jian'ju 断续焊间距
'duan'xu'han'jie 断续焊接
'duan'xu'jiao'han 断续角焊
'duan'xu'jiao'han'feng 断续角焊缝
'duan'xu'qi 断续器
'duan'ya'han'feng 锻压焊缝
'duan'ya'han'jie 端压焊接
'duan'ya'shi'jian 锻压时间
'duan'zha 短渣
'dui'bi'fan'she'ti 对比反射体
'dui'bi'zhi 对比值
'dui'bian'han 对边焊
'dui'chen'han 对称焊
'dui'chen'han'jie 对称焊接
'dui'chen'peng'zhuang 对称碰撞
'dui'feng'han 对缝焊
'dui'feng'han'guan 对缝焊管
'dui'feng'han'jie'guan 对缝焊接管
'dui'han 堆焊
'dui'han'fa'lan 对焊法兰
'dui'han'fa'lan'ren'kong 对焊法兰人孔
'dui'han'fa'lan'shou'kong 对焊法兰手孔
'dui'han'feng 对焊缝
'dui'han'gang'guan 对焊钢管
'dui'han'guan'zha'ji 对焊管轧机
'dui'han'gui'duan 对焊轨端
'dui'han'han'feng 堆焊焊缝
'dui'han'han'si 堆焊焊丝
'dui'han'han'tiao 堆焊焊条
'dui'han'ji 对焊机
'dui'han'jie'tou 对焊接头
'dui'han'tian'chong'bang 堆焊填充棒
'dui'han'tian'chong'han'bang 堆焊填充焊棒
'dui'han'tian'chong'si 堆焊填充丝
'dui'jie'dian'zu'han 对接电阻焊
'dui'jie'feng'han 对接缝焊
'dui'jie'feng'han'ji 对接缝焊机
'dui'jie'gun'han 对接滚焊
'dui'jie'han 对接焊
'dui'jie'han'fa 对接焊法
'dui'jie'han'feng 对接焊缝
'dui'jie'han'ji 对接焊机
'dui'jie'han'jie 对接焊接
'dui'jie'han'jie'de 对接焊接的
'dui'jie'jie'chu'han 对接接触焊
'dui'jie'jie'tou 对接接头
'dui'jie'jie'tou'kao'mo'wan'qu'shi'yan 对接接头靠模弯曲试验
'dui'jie'jie'tou'que'kou'duan'lie'shi'yan 对接接头缺口断裂试验
'dui'jie'lu'han'guan 对接炉焊管
'dui'jie'ping'han 对接平焊
'dui'kou'han'jie'gang'guan 对口焊接钢管
'dui'liu'shi'guo're'qi 对流式过热器
'dui'liu'shi'zai're'qi 对流式再热器
'dui'liu'shou're'mian 对流受热面
'dui'liu'yan'dao 对流烟道
'dui'tou'han'feng 对头焊缝
'dui'tou'han'jie 对头焊接
'dui'tou'han'jie'duan 对头焊接端
'dui'tou'han'jie'zuan'tou 对头焊接钻头
'dui'xian'han 对线焊
'dun'bian 钝边
'dun'bian'gao'du 钝边高度
'dun'cu'ya'li 镦粗压力
'dun'hu'dian'han 盾护电焊
'dun'hu'dian'hu'han 盾护电弧焊
'dun'hua'chu'li 钝化处理
'dun'ya'han'jie 镦压焊接
'duo'bian'hua'bian'jie 多边化边界
'duo'bian'hua'lie'wen 多边化裂纹
'duo'ceng'ban'bao'zha'han 多层板爆炸焊
'duo'ceng'bao'za'shi'yuan'tong 多层包扎式圆筒
'duo'ceng'guan'bao'zha'han 多层管爆炸焊
'duo'ceng'han 多层焊
'duo'ceng'han'feng 多层焊缝
'duo'ceng'han'jie 多层焊接
'duo'ceng'jie'chu'dian'han 多层接触点焊
'duo'chong'cao'zuo'han'jie'dan'yuan 多重操作焊接单元
'duo'dao'han 多道焊
'duo'dao'han'feng 多道焊缝
'duo'dao'han'jie 多道焊接
'duo'dian'dian'han 多点点焊
'duo'dian'dian'han'ji 多点点焊机
'duo'dian'dian'zu'han'jie 多点电阻焊接
'duo'dian'han 多点焊
'duo'dian'han'ji 多点焊机
'duo'dian'ji'mai'hu'han 多电极埋弧焊
'duo'dian'tu'han 多点凸焊
'duo'duan'duo'ceng'han'jie'fa 多段多层焊接法
'duo'gong'wei'han'jie'fa'dian'ji 多工位焊接发电机
'duo'han'si 多焊丝
'duo'han'tiao'han'jie 多焊条焊接
'duo'hu'han 多弧焊
'duo'hu'han'feng 多弧焊缝
'duo'hu'han'jie'ji 多弧焊接机
'duo'hu'zi'dong'dian'han'ji 多弧自动电焊机
'duo'ji'dian'han'ji 多极点焊机
'duo'ji'ping'xing'hu'han 多极平行弧焊
'duo'kong'ban 多孔板
'duo'kong'han'feng 多孔焊缝
'duo'kong'han'zha 多孔焊渣
'duo'kong'pen'zui 多孔喷嘴
'duo'kong'rong'zha 多孔熔渣
'duo'lu'han'jie 多路焊接
'duo'mai'chong'han 多脉冲焊
'duo'mai'chong'han'feng 多脉冲焊缝
'duo'mai'chong'jie'chu'han 多脉冲接触焊
'duo'pai'han'jie'tou 多排焊接头
'duo'si'mai'hu'han 多丝埋弧焊
'duo'te'xing'hu'han'dian'yuan 多特性弧焊电源
'duo'tou'zi'dong'han'ji 多头自动焊机
'duo'xing'qi'ti 惰性气体
'duo'xing'qi'ti'bao'hu'dian'hu'dian'han 惰性气体保护电弧点焊
'duo'xing'qi'ti'bao'hu'han 惰性气体保护焊
'duo'xing'qi'ti'bao'hu'jin'shu'ban'hu'han 惰性气体保护金属板弧焊
'duo'xing'qi'ti'bao'hu'jin'shu'dian'hu'han 惰性气体保护金属电弧焊
'duo'xing'qi'ti'bao'hu'jin'shu'ji'dian'ji'hu'han 惰性气体保护金属极电极弧焊
'duo'xing'qi'ti'bao'hu'jin'shu'ji'han'jie 惰性气体保护金属极焊接
'duo'xing'qi'ti'bao'hu'jin'shu'ji'hu'han 惰性气体保护金属极弧焊
'duo'xing'qi'ti'bao'hu'tan'hu'han'jie 惰性气体保护碳弧焊接
'duo'xing'qi'ti'bao'hu'wu'ji'dian'hu'han 惰性气体保护钨极电弧焊
'duo'xing'qi'ti'chen'dian 惰性气体衬垫
'duo'xing'qi'ti'dian'hu'dian'han 惰性气体电弧点焊
'duo'xing'qi'ti'dian'hu'han 惰性气体电弧焊
'duo'xing'qi'ti'han'jie'fa 惰性气体焊接法
'duo'xing'qi'ti'hu'han 惰性气体弧焊
'duo'xing'qi'ti'ji'guang'qie'ge 惰性气体激光切割
'duo'yu'jin'shu 多余金属
'duo'zhan'dian'han'ji 多站电焊机
'duo'zhan'han'ji 多站焊机
'duo'zhan'han'jie 多站焊接
'duo'zhan'hu'han'ji 多站弧焊机
'duo'zhen'feng'shi'han'jie 多针缝式焊接
'e'ding'fen'pei'zhi 额定分配值
'e'ding'fu'zai'chi'xu'lv 额定负载持续率
'e'ding'gong're'liang 额定供热量
'e'ding'han'jie'dian'liu 额定焊接电流
'e'ding'que'xian'zhi'shi'zhi 额定缺陷指示值
'e'ding're'shui'wen'du 额定热水温度
'e'ding'zheng'fa'liang 额定蒸发量
'e'ding'zheng'qi'can'shu 额定蒸汽参数
'e'ding'zheng'qi'wen'du 额定蒸汽温度
'e'ding'zheng'qi'ya'li 额定蒸汽压力
'e'ding'zhi'shi'zhi 额定指示值
'er'ci'feng'er'ci'kong'qi 二次风二次空气
'er'ci'jie'jing'zu'zhi 二次结晶组织
'er'ci'ran'shao 二次燃烧
'er'ci'zheng'liu'dian'zu'han'ji 二次整流电阻焊机
'er'ji'dian'zi'qiang 二极电子枪
'er'ji'dian'zi'qiang 二级电子枪
'er'jin'shu'han'jie'xing 二金属焊接性
'er'mian'jiao 二面角
'er'yang'hua'tan'bao'hu'han 二氧化碳保护焊
'er'yang'hua'tan'hu'han'ji 二氧化碳弧焊机
'er'yang'hua'tan'qi'ti'bao'hu'dian'hu'han 二氧化碳气体保护电弧焊
'er'yang'hua'tan'qi'ti'bao'hu'han 二氧化碳气体保护焊
'er'zuo 耳座
'fa'lan'dian'pian 法兰垫片
'fa'lan'mi'feng'mian 法兰密封面
'fa'zhao 阀罩
'fan'bian'xing 反变形
'fan'gun'shai 翻滚筛
'fan'ji'xing'han'jie 反极性焊接
'fan'jie 反接
'fan'shou'han'jie 反手焊接
'fan'xiang'han 反向焊
'fan'xiu'ci'shu 返修次数
'fan'xiu'han 返修焊
'fan'ying'qian'han 反应钎焊
'fan'ying'qian'ji 反应钎剂
'fang'bao'men 防爆门
'fang'dian'ji'zhuang'zhi 防电击装置
'fang'hu'bai'bo'li 防护白玻璃
'fang'hu'jing'pian 防护镜片
'fang'hu'xie 防护鞋
'fang'liao'fa 放料阀
'fang'she'qu 放射区
'fang'tou'dui'han 方头对焊
'fang'xing'qie'ge 仿形切割
'fang'zha'guan'ning'zha'guan 防渣管凝渣管
'fei'cheng'zai'han'feng 非承载焊缝
'fei'fei'teng'shi'sheng'mei'qi 非沸腾式省煤器
'fei'han'jie'shi'jie'tou 非焊接式接头
'fei'hui'ke'ran'wu'han'liang'fei'hui'han'tan'liang 飞灰可燃物含量飞灰含碳量
'fei'jian'lv 飞溅率
'fei'jian'wu 飞溅物
'fei'jing'tai'qian'liao 非晶态钎料
'fei'kuo'san'qing 非扩散氢
'fei'la'dian'hu'han'ju 菲拉电弧焊距
'fei'qi'han 非气焊
'fei'si'ke'lie'wen'shi'yan 菲斯柯裂纹试验
'fei'si'ke'lie'wen'shi'yan 非斯柯裂纹试验
'fei'teng'huan're'e'hua 沸腾换热恶化
'fei'teng'shi'sheng'mei'qi 沸腾式省煤器
'fei'teng'zhuang'rong'chi 沸腾状熔池
'fei'tong'bu'duan'xu'qi 非同步断续器
'fei'zhen'kong'dian'zi'shu'han 非真空电子束焊
'fei'zhen'kong'dian'zi'shu'han'ji 非真空电子束焊机
'fei'zhi'jie'huo'han'jie'ya'li'rong'qi 非直接火焊接压力容器
'fei'zhuan'yi'han 非转移焊
'fei'zhuan'yi'hu 非转移弧
'fei'zhuan'yi'hu'dian'yuan 非转移弧电源
'fen'ceng'duo'dao'han 分层多道焊
'fen'duan'duo'ceng'han 分段多层焊
'fen'duan'duo'ceng'tiao'han 分段多层跳焊
'fen'duan'duo'ceng'tiao'han'fa 分段多层跳焊法
'fen'duan'fan'xiang'han'fa 分段反向焊法
'fen'duan'han'fa 分段焊法
'fen'duan'han'jie 分段焊接
'fen'duan'lian'xu'han'jie 分段连续焊接
'fen'duan'ni'han 分段逆焊
'fen'duan'song'feng 分段送风
'fen'duan'tiao'han 分段跳焊
'fen'duan'tui'han 分段退焊
'fen'duan'tui'han'ci'xu 分段退焊次序
'fen'duan'tui'han'fa 分段退焊法
'fen'duan'zheng'fa 分段蒸发
'fen'ji'guan 粉剂罐
'fen'ji'qian'han 分极钎焊
'fen'ji'qian'han 分级钎焊
'fen'kuai'huan'xing'cao're'lie'wen'shi'yan 分块环形槽热裂纹试验
'fen'kuai'xing'cao're'lie'wen'shi'yan 分块形槽热裂纹试验
'fen'mo'deng'li'zi'hu'dui'han 粉末等离子弧堆焊
'fen'mo'deng'li'zi'hu'dui'han 粉沫等离子弧堆焊
'fen'mo'han'jie'fa 粉末焊接法
'fen'san'jian'ge'han 分散间隔焊
'fen'zhuang'han'jie'rong'ji 粉状焊接熔剂
'fen'zhuang'qian'liao 粉状钎料
'feng'bi'dian'hu'han 封闭电弧焊
'feng'bi'han 封闭焊
'feng'di'han 封底焊
'feng'di'han'bei'mian'han'feng 封底焊背面焊缝
'feng'di'han'dao 封底焊道
'feng'di'han'feng 封底焊缝
'feng'di'han'feng'guan'zhuang'jie'gou 封底焊缝管状结构
'feng'du 封堵
'feng'han 封焊
'feng'han 缝焊
'feng'han'fa 缝焊法
'feng'han'ji 缝焊机
'feng'kong'chu'li 封孔处理
'feng'kong'ji 封孔剂
'feng'mian'han'dao 封面焊道
'feng'tou'cheng'xing 封头成型
'feng'zhao'zhuan'dong'xing'zai'sheng'shi'kong'qi'yu're'qi 风罩转动型再生式空气预热器
'feng'zhi'wen'du 峰值温度
'fu'ban 覆板
'fu'ban'fu'guan 覆板覆管
'fu'ban'su'du 覆板速度
'fu'guan'lu'qiang 敷管炉墙
'fu'han 俯焊
'fu'he'han'si 复合焊丝
'fu'he'xun'huan'guo'lu 复合循环锅炉
'fu'jia'shou're'mian 附加受热面
'fu'jia'ying'li 附加应力
'fu'qian'liao'ban 敷钎料板
'fu'she'shi'guo'lu 辐射式锅炉
'fu'she'shi'guo're'qi 辐射式过热器
'fu'she'shi'zai're'qi 辐射式再热器
'fu'she'shou're'mian 辐射受热面
'fu'shi'dian'zu'han 复式电阻焊
'fu'shi'hu'han'ji 复式弧焊机
'fu'tong'shi'yi'que'fa'sheng'qi 浮筒式乙炔发生器
'fu'ya'ran'shao 负压燃烧
'fu'zai'chi'xu'lv 负载持续率
'fu'zhu'qi'ju'ji'gong'yi'zhuang'bei 辅助器具及工艺装备
'fu'zhu'xing'cheng 辅助行程
'gai'ban'han 盖板焊
'gai'ban'jie'tou 盖板接头
'gai'mian'han 盖面焊
'gai'mian'han'dao 盖面焊道
'gai'mian'han'feng 盖面焊缝
'gan'fa'bao'yang 干法保养
'gan'shi'han'jian 干式焊件
'gan'shi'hui'huo'fang'zhi'qi 干式回火防止器
'gan'shi'qiu'shi'du'ji 干湿球湿度计
'gan'shi'qiu'wen'du'ji 干湿球温度计
'gan'shi'qiu'zi'ji'shi'du'ji 干湿球自记湿度计
'gan'shi'shui'xia'han 干式水下焊
'gan'ying'dian'zu'dui'han 感应电阻对焊
'gan'ying'dian'zu'feng'han 感应电阻缝焊
'gan'ying'dian'zu'han'jie 感应电阻焊接
'gan'ying'han 感应焊
'gan'ying'han'guan'ji 感应焊管机
'gan'ying'han'jie 感应焊接
'gan'ying'qian'han 感应钎焊
'gan'ying'rong'han 感应熔焊
'gan'zao'qi 干燥器
'gan'zao'xiang 干燥箱
'gang'ban'han'jie'jie'gou 钢板焊接结构
'gang'ban'han'jie'wo'ke 钢板焊接蜗壳
'gang'ban'yu'chu'li 钢板预处理
'gang'cai'han'jie'wei'lan 钢材焊接围栏
'gang'dang'ban 钢挡板
'gang'dang'ban 钢档板
'gang'gan'shi'an'quan'fa 杠杆式安全阀
'gang'gan'shi'dian'han'qian 杠杆式点焊钳
'gang'guan'han'jie'ji 钢管焊接机
'gang'guan'shi'kong'qi'yu're'qi 钢管式空气预热器
'gang'guan'shi'sheng'mei'qi 钢管式省煤器
'gang'gui'gui'ji'han 钢轨轨剂焊
'gang'gui'jie'tou'han'jie 钢轨接头焊接
'gang'gui're'ji'han 钢轨热剂焊
'gang'gui'zi'dong'mai'hu'dian'hu'han 钢轨自动埋弧电弧焊
'gang'han'jie'guan'jian 钢焊接管件
'gang'han'jie'kong'jian'kuang'jia 钢焊接空间框架
'gang'jin'gu'gou'jia'han'jie'ji 钢筋骨构架焊接机
'gang'leng'que'ban 钢冷却板
'gang'si'wang'fen'li'qi 钢丝网分离器
'gang'xing'gu'ding 刚性固定
'gang'xing'jia 刚性架
'gang'xing'ju'shu'lie'wen'shi'yan 刚性拘束裂纹试验
'gang'xing'ju'shu'lie'wen'shi'yan'shi'yan 刚性拘束裂纹试验试验
'gang'zhu'xin'han'tiao 钢铸芯焊条
'gao'di'shui'wei'bao'jing'qi 高低水位报警器
'gao'jing'fa'lan 高颈法兰
'gao'meng'gang'dui'han'han'tiao 高锰钢堆焊焊条
'gao'neng'han 高能焊
'gao'neng'shu'qie'ge 高能束切割
'gao'pin'dian'han 高频电焊
'gao'pin'dian'han'gang'guan 高频电焊钢管
'gao'pin'dian'zu'dui'han 高频电阻对焊
'gao'pin'dian'zu'feng'han 高频电阻缝焊
'gao'pin'dian'zu'han 高频电阻焊
'gao'pin'gan'ying'han 高频感应焊
'gao'pin'gan'ying'han'jie 高频感应焊接
'gao'pin'gan'ying'pen'tu 高频感应喷涂
'gao'pin'han 高频焊
'gao'pin'han'guan 高频焊管
'gao'pin'han'ji 高频焊机
'gao'pin'han'jie 高频焊接
'gao'pin'han'jie'ci'bang 高频焊接磁棒
'gao'pin'han'jie'luo'xuan'chi'pian'guan 高频焊接螺旋翅片管
'gao'pin'jiao'liu'dian'han'ji 高频交流电焊机
'gao'pin'jie'chu'han 高频接触焊
'gao'pin'jie'dian'han 高频介电焊
'gao'pin'zhen'dang'qi 高频振荡器
'gao'pin'zhi'feng'han'jie'gang'guan 高频直缝焊接钢管
'gao'qiang'du'han'jie 高强度焊接
'gao'qiang'du'han'jie'gang'guan 高强度焊接钢管
'gao'qiang'du'han'jie'guan 高强度焊接管
'gao'qiang'du'ke'han'lv'he'jin 高强度可焊铝合金
'gao'qiang'han'tiao 高强焊条
'gao'ren'xing'chao'di'qing'han'tiao 高韧性超低氢焊条
'gao'su'han'ji 高速焊剂
'gao'su'yang'ran'qi'pen'tu 高速氧燃气喷涂
'gao'tai'xing'han'tiao 高钛型焊条
'gao'xian'wei'su'xing'han'tiao 高纤维素型焊条
'gao'xiao'han'tiao 高效焊条
'gao'xiao'lv'han'tiao 高效率焊条
'gao'xing'neng'han'ji 高性能焊剂
'gao'ya'guo'lu 高压锅炉
'gao'zhen'kong'dian'zi'shu'han 高真空电子束焊
'gao'zhen'kong'dian'zi'shu'han'ji 高真空电子束焊机
'ge'dang'liang 铬当量
'ge'han'liang'yong'ji 割焊两用机
'ge'ju 割咀
'ge'ju 割炬
'ge'li'ceng'dui'han 隔离层堆焊
'ge'li'ceng'han'jie 隔离层焊接
'ge'li'ji 隔离剂
'ge'li'mang'ban 隔离盲板
'ge'ni'neng 格尼能
'ge'qiang 割枪
'ge'shi'shan'yang'pi 铬湿山羊皮
'ge'wen'shen'du 割纹深度
'ge'zui 割嘴
'gei'shui'pin'zhi 给水品质
'gei'shui'wen'du 给水温度
'gen'bu'ao'xian 根部凹陷
'gen'bu'ban'jing 根部半径
'gen'bu'han'dao 根部焊道
'gen'bu'jian'xi 根部间隙
'gen'bu'rui'bian 根部锐边
'gen'bu'wan'qu'shi'yan 根部弯曲试验
'gen'zong'zhuang'zhi 跟踪装置
'gong'chang'han'jie 工厂焊接
'gong'cheng'bi'hou'ming'yi'bi'hou 公称壁厚名义壁厚
'gong'cheng'zhi'jing 公称直径
'gong'di'han'jie 工地焊接
'gong'ding 拱顶
'gong'jian'bi'hou 工件壁厚
'gong'jian'yin'xian 工件引线
'gong'lv'yin'su'gai'shan'le'de'han'ji 功率因素改善了的焊机
'gong'mo'han'jie 工模焊接
'gong'pin'dian'zu'han'ji 工频电阻焊机
'gong'ye'guo'lu 工业锅炉
'gong'yi'can'shu 工艺参数
'gong'yi'du'ceng 工艺镀层
'gong'yi'gui'cheng'jian'ding 工艺规程鉴定
'gong'yi'han'jie'xing 工艺焊接性
'gong'yi'ke'han'xing 工艺可焊性
'gong'zuo'ceng 工作层
'gong'zuo'ju'li 工作距离
'gong'zuo'xing'cheng 工作行程
'gu'ding'han'ji 固定焊机
'gu'ding'han'jie 固定焊接
'gu'ding'shi'guo'lu 固定式锅炉
'gu'ding'shi'han'ji 固定式焊机
'gu'ding'shi'hu'han'ji 固定式弧焊机
'gu'ding'shi'yi'que'fa'sheng'qi 固定式乙炔发生器
'gu'ji'he'jin'dui'han'han'tiao 钴基合金堆焊焊条
'gu'tai'han 固态焊
'gu'tai'han'jie 固态焊接
'gu'tai'pai'zha'guo'lu 固态排渣锅炉
'gu'ti'bu'wan'quan'ran'shao're'sun'shi 固体不完全燃烧热损失
