'an'fa'yi'chuan 按法以传
'gu'zhai'jie'cun'qi'jian'xing 故斋戒存其检行
'guan'hao'ri'tai'di 官号日太帝
'guan'hong'bo'yu'tian'ji'ye 观洪波于天际也
'guan'shang'xiang'he 官商相和
'guang'du'yi'qie 广度一切
'guang'fu'wu'bian 广覆无边
'guang'yan'can'ran'er'hai'chu 光颜灿然而还初
'guang'ying'yu'xing'wai 光映于形外
'guang'ying'yu'xing'wai 光暎于形外
'gui'hang'biao'yu'gao'cheng 贵行标于高称
'gui'shen'sui'gong'jin'zhi 鬼神随功进秩
'gui'shen'suo'wei 鬼神所畏
'gui'shen'tian'ren'ze'yi'qing'zhong'zhi'shi 鬼神天人责役轻重之事
'guo'an'min'sheng 国安民盛
'guo'feng'min'fu 国丰民富
'guo'fu'min'feng 国富民丰
'guo'meng'xuan'shi'zhi'zong 过蒙玄师之宗
'guo'ning'min'xiu 国宁民休
'guo'shui'huo'zhi'nan 过水火之难
'guo'tu'an 国土安
'guo'tu'bei'fang'ji'dong'san'yue'you'zai 国土北方及冬三月有灾
'guo'tu'dong'fang'ji'chun'san'yue'you'zai 国土东方及春三月有灾
'guo'tu'nan'fang'ji'xia'san'yue'you'zai 国土南方及夏三月有灾
'guo'tu'tai'ping 国土太平
'guo'tu'xi'fang'ji'qiu'san'yue'you'zai 国土西方及秋三月有灾
'guo'zuo'an'ning 国祚安宁
'guo'zuo'xiang'zhi'yi'tai'ping 国祚享之以太平
'hai'cheng'xue'chuan 海成血川
'hai'di'sheng'chen 海底生尘
'hai'di'yang'chen 海底扬尘
'hai'ming'ye'yu'dong'ling 还冥夜于东陵
'hai'nai'geng'yi'yuan'shi'tian'zun 还乃更诣元始天尊
'hai'yu'shang'yuan'zhi'qi 还于上元之炁
'hai'zi'zhi'nian 亥子之年
'han'chun'he'er'fu'hua 含淳和而弗华
'han'er'tun'zhi 含而吞之
'han'tiao'yang'xi'hua'yang'zhi'fan 寒条仰希华阳之繁
'hao'ri'cang'di 号日苍帝
'hao'ri'chi'di 号日赤帝
'hao'ri'huang'di 号日黄帝
'hao'sheng'jun 好生君
'hao'yue'bai'di 号曰白帝
'hao'yue'bao'jie'dong'qing'jiu'tian'ling'shu 号曰宝劫洞清九天灵书
'hao'yue'chi'huang 号曰赤皇
'hao'yue'hei'di 号曰黑帝
'hao'yue'jin'zhen'bao'ming'dong'wei'pian 号曰金真宝明洞微篇
'hao'yue'kong'hun'chi'shu'jing'huang'zhen'wen 号曰空浑赤书景皇真文
'hao'yue'nan'yun'tong'tian'bao'ling'jin 号曰南云通天宝灵衿
'hao'yue'sheng'shen'bao'zhen'dong'xuan'zhang 号曰生神宝真洞玄章
'hao'yue'yuan'shen'sheng'zhen'bao'ming'wen 号曰元神生真宝明文
'he'bu'zhong'zi'sheng 禾不种自生
'he'feng'wei'ce 合封为策
'he'hai'shen'ling 河海神灵
'he'jia'cui'zhe 禾稼摧折
'he'jia'feng'shu 禾稼丰熟
'he'jia'shang'si 禾稼伤死
'he'lv'he'you 何虑何忧
'he'yi'bai'er'shi'zi 合一百二十字
'he'yi'bai'san'shi'liu'zi 合一百三十六字
'he'yi'bai'si'shi'si'zi 合一百四十四字
'he'yi'bai'wu'shi'er'zi 合一百五十二字
'he'yi'san'huang 诃役三皇
'hei'di'gui'mo'yuan'she'wu'wan'li 黑帝鬼魔远舍五万里
'hei'di'shou'ci'wen'yi'zhen'bei'yue 黑帝受此文以镇北岳
'hei'di'xing'pei'ci'wen 黑帝行佩此文
'hei'di'yong'shi 黑帝用事
'hei'di'zhen'ren'xia'shi 黑帝真人下世
'hei'qi'fou 黑炁否
'hei'qi'ji 黑炁激
'hei'qi'shi 黑炁食
'hei'shu'huang'zeng 黑书黄缯
'hei'shu'huang'zeng'shang 黑书黄缯上
'hei'shu'mu'dao'jian 黑书木刀剑
'hei'shu'qing'zeng 黑书青缯
'heng'shi'tian'yu'jiang'hai 横尸填于江海
'hong'bao'tian'shen'zhu'jun'zhang'ren 鸿保天神诸君丈人
'hong'liu'tao'tian 洪流滔天
'hong'shui'fei'zai 洪水飞灾
'hong'shui'liu'tian 洪水流天
'hong'shui'si'chu 洪水四出
'hong'zai'san'hui 洪灾三会
'hong'zai'sao'tian 洪灾扫天
'hong'zai'yong'yi'zhi'shu 洪灾涌溢之数
'hong'zai'zhi'tian 洪灾至天
'hou'shi'zi'sun 后世子孙
'hu'bao 虎豹
'hu'er'yi'er'bu'qing 护二仪而不倾
'hu'yin'yang'yi'yong'chang 护阴阳以永昌
'hu'zong'xin'er'huo'lang 忽纵心而豁朗
'hua'jing'guan'ri 华精灌日
'hua'rong'wei'mao 华容伟貌
'hua'sheng'shao'yang'jiu'qi'qing'tian'zhu'xiao'jie'hai 化生少阳九炁青天主小劫亥
'hua'sheng'shao'yin'qi'qi'su'tian 化生少阴七炁素天
'hua'sheng'tai'yang'san'qi'dan'tian 化生太阳三气丹天
'hua'sheng'tai'yin'wu'qi'xuan'tian 化生太阴五炁玄天
'hua'sheng'zhong'yuan 化生中元
'hua'wei'nv'zi 化为女子
'huai'tai'han'yun 怀胎含孕
'huan'xing'bi'fu 雚行毕甫
'huang'bi'shu'zhi 黄笔书之
'huang'dao'ji'chang 皇道既畅
'huang'dao'xian'chang 皇道咸畅
'huang'di'gui'mo'yuan'she'shi'er'wan'li 黄帝鬼魔远舍十二万里
'huang'di'shou'ci'wen 黄帝受此文
'huang'di'xing'pei'ci'wen 黄帝行佩此文
'huang'di'yong'shi 黄帝用事
'huang'di'zhen'ren'xia'shi 黄帝真人下世
'huang'di'zhong'yue'ze'que'ci'yi'wen 黄帝中岳则阙此一文
'huang'fang'ling'ting 黄房灵庭
'huang'lao'da'shen 皇老大神
'huang'lao'jun 黄老君
'huang'lao'zhang'ren 黄老丈人
'huang'qi'fou 黄炁否
'huang'qi'shi 黄炁食
'huang'shang'lao'jun 皇上老君
'huang'shang'tian'yuan 黄上天元
'huang'shang'zhang'ren 皇上丈人
'huang'shen'lao'jun 黄神老君
'huang'shen'zhang'ren 黄神丈人
'huang'shu'jiang'zeng'san'cun'pei'shen 黄书绛缯三寸佩身
'huang'shu'qing'zeng 黄书青缯
'huang'tian'tai'shang'di 皇天太上帝
'huang'ting'zhang'sheng 黄庭长生
'huang'zhen'zhang'ren 皇真丈人
'hui'chang'kai 讳昌开
'hui'du'bei'yuan 回度北元
'hui'ji'yan 讳极炎
'hui'kai'ming 讳开明
'hui'ling'bao'zun'shen 会灵宝尊神
'hui'ling'hui 讳灵会
'hui'lun'xian'guan'yu'nv 会论仙官玉女
'hui'yu'dong'hai'qing'tong 会于东海青童
'hui'yu'si'ming'shang'gong 会于司命上宫
'hui'yuan'shi 讳元氏
'hui'zhi'bu'mie 毁之不灭
'hui'zhi'yu'qing 秽之愈清
'hui'zhu'xian'guan 会诸仙官
'hui'zhu'xian'guan'yu'kun'lun'yao'tai 会诸仙官于昆仑瑶台
'hui'zhu'xian'ren'yu'zi'wei'gong 会诸仙人于紫微宫
'hui'zhu'zun'da'sheng'xian'ren'yu 会诸尊大圣仙人于
'hui'zhuan'ling'bao'xuan'du'yu'shan'zhong'guan 回转灵宝玄都玉山中关
'hui'zhuan'tian'chang 回转天常
'hun'dun'wu'xing'xu'wu'zi'ran'tai'shang 混沌无形虚无自然太上
'hun'zhi'bu'zhuo 混之不浊
'huo'cheng'bai'hu 或乘白虎
'huo'jing'jue'mie 火精绝灭
'huo'luo'si'kai 豁落四开
'ji'de'shi'jie 即得尸解
'ji'dei'chuan'xi'you'sheng'qi'zhe 及得喘息有生气者
'ji'fu'ming'heng'shan'zhi'tian'qi 赍符命恒山制天炁
'ji'fu'ming'hua'shan'zhi'tian'qi 赍符命华山制天炁
'ji'fu'ming'huo'shan'zhi'tian'qi 赍符命霍山制天炁
'ji'fu'ming'tai'shan'zhi'tian'qi 赍符命太山制天炁
'ji'fu'ming'zhong'yue'zhi'tian'qi 赍符命中岳制天炁
'ji'ji'ming'zuo'qi 即记名左契
'ji'jian'shi'zhi'zui 及见世之罪
'ji'lang'yun'gong 激朗云宫
'ji'le'lu'jiu'tian 即勒录九天
'ji'ming'xian'ji 记名仙籍
'ji'neng'wu'qiong 即能无穷
'ji'san'guang'er'gao'mu 极三光而告暮
'ji'suan'tian'xia'zhao'min'zui'lu 集算天下兆民罪录
'ji'suan'tian'yuan 集筭天元
'ji'suan'xiao'da'jie 集筭校大劫
'ji'wei'dai'ren'xing'er'si'yi 即为代人形而死矣
'ji'wei'zhong'min 记为种民
'ji'wu'bu'li 吉无不利
'ji'xiao'ren'min'bu'lu 集校人民簿录
'ji'xuan'qi'yu'tian'hu 汲玄炁于天湖
'ji'yang'qi'lei 激阳起雷
'ji'zhu'qi'chen 箕主七辰
'jia'cheng'yun'long 驾乘云龙
'jia'guo'an'ning 家国安宁
'jia'lu'nian'yu'tian'he 驾鹿辇于天河
'jia'san'jiao'zhi'lin 驾三角之麟
'jia'zhi'xing'long 家致兴隆
'jian'chou'chua'er'long'teng 见鯈欻而龙腾
'jian'chu'bu'xiang 剪除不祥
'jian'chun'qi 建鹑旗
'jian'ding'tu'lu 检定图录
'jian'gui'jing 检鬼精
'jian'guo'zuo'yi'ying'tu 建国祚以应图
'jian'huang'qi 建黄旗
'jian'jiao'shen'qi 检校神祇
'jian'jiao'tian'xia'shen'tu'ling'yao 检校天下神图灵药
'jian'lu'tian'du 检录天度
'jian'ri'gong'zhi'yang 见日宫之阳
'jian'su'qi 建素旗
'jian'suan'suo'nian 减筭缩年
'jian'tai'ping 见太平
'jian'tian'bao'yu'fu 建天宝羽服
'jian'xian'za'su 奸祆杂俗
'jian'yu'san'tian'bei'yuan'yu'guan'zhi'shang 见于三天北元玉关之上
'jian'yu'xuan'du'yu'jing'shang'guan 见于玄都玉京上馆
'jian'yu'yi'yu'long'ding 煎玉饴于龙鼎
'jian'yue'zhi'shang'guan 见月之上馆
'jian'zao'qi 建皂旗
'jian'zha'wang'liang 奸诈魍魉
'jian'zhong'zhen'xiu'zhai'feng'jie 见众真修斋奉戒
'jian'zhu'qi 建朱旗
'jiang'hai'jie'gan 江海竭干
'jiang'hai'kai'zhang 江海开张
'jiang'he'huai'ji'shui'di'jiu'bu'ci'jian 江河淮济水帝九部刺奸
'jiang'he'ku'jie 江河枯竭
'jiang'zhao'da'fu'yu'zi'ran 将招大福于自然
'jiao'dao'tian'ren 教导天人
'jiao'hua'heng'shan 教化恒山
'jiao'hua'hua'shan 教化华山
'jiao'hua'huo'shan 教化霍山
'jiao'hua'song'gao'shan 教化嵩高山
'jiao'hua'tai'shan 教化太山
'jiao'kang'zhen'zhen 角亢镇真
'jiao'long'fu'shen 蛟龙负身
'jiao'long'tong'dao 蛟龙通道
'jiao'shi'xue'zhi'ren 教始学之人
'jie'bai'ri'sheng'tian 皆白日升天
'jie'bu'sheng'hai'xin 皆不生害心
'jie'can'ran'ju'hui'tian'guan'zhi'men 皆惨然俱会天关之门
'jie'cheng'bi'xia'jiu'ling'liu'jing'fei'yun'yu'yu 皆乘碧霞九灵流景飞云玉舆
'jie'cheng'dong'zhang 皆成洞章
'jie'de'jian'ci'wen 皆得见此文
'jie'de'kang'qiang 皆得康强
'jie'de'sheng'yu 皆得生育
'jie'hui'xuan'du'yu'jing'zhi'tai 皆会玄都玉京之台
'jie'jing'xing'suo'zhi 皆精行所致
'jie'kong'dong'zi'ran'zhi'shu 皆空洞自然之书
'jie'shang'yun'yuan'shi'qing'yang'zhi'qi 皆上运元始青阳之炁
'jie'shi'fan'mao 结实繁茂
'jie'tuo'san'tu 解脱三涂
'jie'wei'wu'di'suo'ju 皆为五帝所举
'jie'xie'zhan'gen 截邪斩根
'jie'yi'jin'guan 截以金关
'jie'yi'san'yuan'zhai'zhi 皆以三元斋之
'jie'yi'wu'long'ying'zhi 皆以五龙迎之
'jie'ying'tian'fen 皆应天分
'jie'yuan'shi'zi'ran'zhi'shu'ye 皆元始自然之书也
'jin'feng'bei'dan'guang'ling'dong'shi'shi'gong'zhi'zhong 今封北单广灵洞室石碽之中
'jin'ling'hao'ying 金灵皓映
'jin'ma'yi'chuan 金马驿传
'jin'qie'ke'xiang'fu 今且可相付
'jin'que'hou'sheng'di'jun 金阙后圣帝君
'jin'que'hou'sheng'shang'xiang'di'jun 金阙后圣上相帝君
'jin'que'shang'xiang'zhi'zhen'da'shen 金阙上相至真大神
'jin'que'xian'fu 金雀衔符
'jin'san'tian'zheng'yun 今三天整运
'jin'shi'zi'xiao 金石自消
'jin'suo'yi'shu'yu'jiu'jing'zhe 今所以书于旧经者
'jin'tong'yang'yan 金童扬烟
'jin'wan'wu'zhi'yong'cun 今万物之永存
'jin'yu'hua'xiao 金玉化消
'jin'yu'lou'xie 禁于漏泄
'jin'yu'lu'xing 金玉露形
'jin'yu'mou'qi'tian'zhong 谨于某气天中
'jin'yu'shan'hai 金玉山海
'jin'yu'zi'ran 金玉自然
'jing'cai'guang'ming 精彩光明
'jing'gui'shou'fang 井鬼守房
'jing'mei'za'fa'zhi'shu 精魅杂法之术
'jing'ru'jin'gang 净如金刚
'jing'si'ling'bao'zun'shen 精思灵宝尊神
'jing'si'ling'bao'zun'shen'ze'tian'zhen'xia'jiang 精思灵宝尊神则天真下降
'jing'zheng'jiu'tian 径烝九天
'jiu'ben'feng'yu'xuan'du'zi'wei'gong 旧本封于玄都紫微宫
'jiu'cha'gong'guo 纠察功过
'jiu'cha'gong'guo'qing'zhong 糺察功过轻重
'jiu'cha'zhao'min 糺察兆民
'jiu'fu 九府
'jiu'he'qing'qi 九河倾讫
'jiu'he'zhi'kou 九河之口
'jiu'lao'xian'du'jun 九老仙都君
'jiu'lao'zhang'ren 九老丈人
'jiu'ling'jun 九灵君
'jiu'ling'zhang'ren 九灵丈人
'jiu'nian'jie'sheng'qing'jing'bao'hua'jiu'chong 九年皆生青精宝华九重
'jiu'nian'pu'wei'yi'qie'ren'min 九念普为一切人民
'jiu'qi'jun 九气君
'jiu'qi'zhang'ren 九气丈人
'jiu'qi'zhang'ren'deng 九气丈人等
'jiu'qian'jiu'bai'du 九千九百度
'jiu'qian'jiu'bai'du'bai'qi'ji 九千九百度白气激
'jiu'qian'jiu'bai'du'chi'qi'ji 九千九百度赤炁激
'jiu'qian'jiu'bai'du'huang'qi'ji 九千九百度黄炁激
'jiu'qian'nian'yi'chu 九千年一出
'jiu'qian'wan'ren 九千万人
'jiu'se'xuan'long 九色玄龙
'jiu'shui'he'yuan 九水河源
'jiu'tian'fu'ming 九天符命
'jiu'tian'qi'jiao 九天炁交
'jiu'tian'shang'shu 九天上书
'jiu'tian'shi'sheng'zhi'xuan'zha 九天始生之玄札
'jiu'tian'suo'mi 九天所秘
'jiu'tian'tai'su'yang'sheng'fu 九天太素阳生符
'jiu'tian'yu'zhen'chang'an'shen'fei'fu 九天玉真长安神飞符
'jiu'tian'zheng'wen 九天正文
'jiu'tu'beng'xian 九土崩陷
'jiu'wei'zhong'sheng 九为众生
'jiu'wen'jin'mi'yu'xuan'du'zi'wei'gong 旧文今秘于玄都紫微宫
'jiu'yi'jiu'wan'jiu'qian'jiu'bai'jiu'shi'jiu'du 九亿九万九千九百九十九度
'jiu'yi'xi'ling'bao'zhong'yuan'pian'mu 旧仪系灵宝中元篇目
'jiu'yuan'yun'guan 九元运关
'jiu'yue 九月
'jiu'zhe'chen'gou'pu'xiao 九者尘垢普消
'jiu'zhe'chun'qiu'dong'xia 九者春秋冬夏
'jiu'zhe'jiao'long'yong'yue 九者蛟龙踊跃
'jiu'zhe'jiao'you'shang'dao 九者交游上道
'jiu'zhe'jiao'you'zhen'ren 九者交友真人
'jiu'zhe'qi'de'ru'tai'xuan 九者其德如太玄
'ju'chu'ling'bao'zhong'jin'zi'ge 具出灵宝中金紫格
'ju'meng'wu'yue'er'shou'wen 举盟五岳而受文
'ju'wei'huo'an 居危获安
'ju'xiang'cong'xin 举响从心
'ju'xiang'suo'yu 举向所欲
'ju'yu'tai'yang'san'shan'zhi'shang 居于太阳三山之上
'jue'tian'zhen'wei 攫天镇威
'jun'zi'ke'yi'ling'dou'zi'wei'shang'gong 君自可诣灵都紫微上宫
'kai'chu'shui'jing 开除水径
'kai'er'tan'ri'wei'hu'shen'zai 慨尔叹日微乎深哉
'kai'hua'shen'ming 开化神明
'kai'ming'yuan'hua 开明元化
'kai'ming'zhi'hou 开明之后
'kai'san'tu'yi'tong'zhen 开三图以通真
'kai'yuan'shou'zhi'miao'men 开元首之妙门
'kai'zhang'guang'na 开张广纳
'kai'zhang'hou'zai 开张厚载
'kai'zhang'wan'zhen 开张万真
'kang'zhi'ba'yuan'zhi'zhong 抗志八圆之中
'kao'fa'er'shen 考罚尔身
'ke'de'jian'shou 可得见授
'ke'de'zan'pi'yu'ling'yun'hu 可得暂披于灵蕴乎
'ke'huo'shang'xian 克获上仙
'ke'shu'jin'zha'yi'pei'shen 刻书金札以佩身
'ke'shu'yu'pian 刻书玉篇
'ke'wei'ting'ling'yun'yu'yuan'zuo 可谓停灵运于元祚
'ke'zhi'shen'xian 克致神仙
'kong'dong'jie'zhen 空洞结真
'kong'dong'zhi'ling'zhang 空洞之灵章
'kong'dong'zhi'zhong 空洞之中
'kong'dong'zi'ran'zhi'wen 空洞自然之文
'kong'shang'yi'jie 空上一节
'kong'sheng'shi'fang 空生十方
'kong'sheng'zi'ran 空生自然
'kong'xia'yi'jie 空下一节
'kou'tian'chi'er'wu'gu 叩天池而呜鼓
'kou'yong'ling'zhang 口咏灵章
'ku'gu'geng'sheng 枯骨更生
'ku'mu'bing'rong 枯木并荣
'ku'xiu'jie'sheng 枯朽皆生
'kuang'yu'yun'du 匡御运度
'kui'lou'shou'hun 奎娄守魂
'kui'shao'zhu'fei 魁勺主非
'lang'xiao'qing'xu 朗啸清虚
'lang'xiu'san'hui 朗秀三会
'lang'yu'bi'nian 琅舆碧辇
'lei'jing'jie'yun 累经劫运
'li'bing'wei'shen 吏兵卫身
'liang'nan'ke'sheng 量难可胜
'liao'bie'shan'e 料别善恶
'lie'ming'shang'tian 列名上天
'lie'ming'xuan'du 列名玄都
'lie'wei'shan'min 列为善民
'lie'yan'dan'tai 列言丹台
'lie'yan'di'jun 列言帝君
'lie'yan'jin'tang 列言金堂
'lie'yan'ling'bao'dong'ling'dan'tai 列言灵宝洞灵丹台
'lie'yan'ling'bao'xuan'du'shang'gong 列言灵宝玄都上宫
'lie'yan'qing'gong 列言青宫
'lie'yan'shan'gong 列言善功
'lie'yan'shang'gong 列言上宫
'lie'yan'shang'tian 列言上天
'lie'yan'xuan'du 列言玄都
'lie'yan'zhu'gong 列言朱宫
'lie'zou'ling'bao'xuan'du'shang'gong 列奏灵宝玄都上宫
'lin'mu'he'jia 林木禾稼
'lin'wu'feng'chang 麟舞凤唱
'ling'bao'chi'di'mou'jun 灵宝赤帝某君
'ling'bao'jiu'xian'jun'deng 灵宝九仙君等
'ling'bao'jun 灵宝君
'ling'bao'miao'xing'zhen'ren 灵宝妙行真人
'ling'bao'wu'pian'zhen'wen 灵宝五篇真文
'ling'bao'xuan'du'yu'shan 灵宝玄都玉山
'ling'bao'xuan'miao 灵宝玄妙
'ling'bao'zhang'ren 灵宝丈人
'ling'bao'zhen'wen 灵宝真文
'ling'chang'qi'chi 令长七尺
'ling'de'sheng'xuan'yi 令得升玄矣
'ling'de'yu'yuan'shi'tong'mei'tong'sheng'ye 令得与元始同没同生也
'ling'di'shang'gui'pu'shen'wang'zhe 领地上鬼普神王者
'ling'dou'gong'yuan'yang'zi'wei'zhi'tai 灵都宫元阳紫微之台
'ling'fei'san'hua 灵妃散华
'ling'guan'kuo'kai 灵关廓开
'ling'qi'zhen'fei 灵炁镇肺
'ling'qi'zhen'gan 灵气镇肝
'ling'qi'zhen'pi 灵气镇脾
'ling'qi'zhen'shen 灵气镇肾
'ling'qi'zhen'xin 灵气镇心
'ling'shou'fei'xuan 灵兽飞轩
'ling'tong'yu'nv 灵童玉女
'ling'tu'ge'yun 灵图革运
'ling'tu'ji'huan 灵图既焕
'ling'wen'ji'zhen 灵文既振
'ling'wen'miao'zhong 灵文妙重
'ling'wen'yan'ai 灵文晻蔼
'ling'wen'yu'xiu 灵文郁秀
'ling'zhen'jiang'su'li'er'zhan'ru 灵真降素醴而沾濡
'ling'zun'miao'gui 灵尊妙贵
'liu'dian'yang'feng 流电扬烽
'liu'jing'ming'hua'zhi'du 流景冥华之都
'liu'lian'shen'gong 流炼神宫
'liu'ling'huan'luo 流铃焕落
'liu'nian'ke'de'bai'ye'tai'shang 六年克得拜谒太上
'liu'nian'yuan'de'fei'xing 六念愿得飞行
'liu'pan'tai'wu 流盻太无
'liu'sa'zhu'tian 流洒诸天
'liu'tian'dao'heng 六天道行
'liu'tian'qi'fan 六天炁返
'liu'tian'qi'xiao 六天气消
'liu'wei'qiu'xian 六为求仙
'liu'xing'zhang'yi 柳星张翼
'liu'zhe'fu'yan'xian'wang 六者福延先亡
'liu'zhe'ling'feng'bai'yong 六者灵风百咏
'liu'zhe'qi'de'ru'san'guang'wu'yao 六者其德如三光五曜
'liu'zhe'qiong'long'xian'xi 六者琼龙衔玺
'liu'zhe'tian'zai'bin'fu 六者天灾宾伏
'liu'zhe'zhi'fu'tian'di'yi'qie'gui'shen 六者制伏天地一切鬼神
'long'lin 龙麟
'long'wen'feng'yi 龙文凤衣
'luan'xiang'yun'duan 鸾翔云端
'lun'ding'yin'yang 论定阴阳
'lun'jie'qu'dai 论解曲逮
'lv'da'yang'jiu 履大阳九
'lv'xiao'yang'jiu 履小阳九
'mang'long'bo'ke 盲聋跛痾
'mei'shi'zun'fa 每事尊法
'mei'yi'jin'jie 每以尽节
'men'hu'chang'chi 门户昌炽
'men'hu'zheng'su 门户整肃
'mi'tian'sao'hui 弥天扫秽
'mi'yu'jiu'tian'ling'dou'zhi'gong 秘于九天灵都之宫
'mi'yu'jiu'tian'ling'dou'zi'wei'gong'qi'bao'xuan'tai 秘于九天灵都紫微宫七宝玄台
'mi'zhang'tian'zhen 秘掌天真
'mian'du'e'shi 免度厄世
'mian'li'tu'ze 免离徒责
'miao'xing'zhen'ren 妙行真人
'miao'xing'zhen'ren'chang'yi'zheng'yue 妙行真人常以正月
'miao'xing'zhen'ren'suo'jian'ai'jing 妙行真人所见爱敬
'miao'ying'zi'ran 妙应自然
'miao'zai'ling'bao 妙哉灵宝
'mie'zhi'ji'ming 灭之极明
'min'wu'li'zhong 民无立踵
'ming'dao'dong'hui 明道动辉
'ming'du'shu 明度数
'ming'du'tian'guan 明度天关
'ming'hai'shui'shen 溟海水神
'ming'jian'zhong'zhen'feng'zhai 明见众真奉斋
'ming'lie'zui'yuan 明列罪原
'ming'ling'ce'yi'zhi'mo 命灵策以制魔
'ming'shan'song'yun 名山送云
'ming'shi'chang'sheng 明石长生
'ming'tai'kong'zhi'ling'xiang 明太空之灵象
'ming'zhao'wu'di 命召五帝
'mo'bu'can'ran'ju'xia 莫不惨然俱下
'mo'bu'fei'xian 莫不飞仙
'mo'bu'kai'rong 莫不开容
'mo'bu'li'zhen 莫不利贞
'mo'bu'qi'shou'yao'chang'yu'yin 莫不稽首遥唱玉音
'mo'bu'shang'hui'ling'bao'xuan'du 莫不上会灵宝玄都
'mo'bu'shu'dai'su'ran'chi'zhai 莫不束带肃然持斋
'mo'bu'xin'xin 莫不欣欣
'mo'bu'you'yan 莫不由焉
'mo'neng'zhi'zhi 莫能致之
'mo'you'bu'cong 莫有不从
'mo'you'dang'qian 莫有当前
'mou'nian'mou'yue'mou'ri 某年某月某日
'mou'yue'dao'shi'mou'jia 某岳道士某甲
'mou'yue'sheng 某月生
'mou'zhou'jun'xian'xiang'li 某州郡县乡里
'nai'bi'he'yu'qiu'zhen'zhi'lu 乃闭阂于求真之路
'nai'chuan'tai'shang'da'dao'jun 乃传太上大道君
'nai'ke'ji'de'geng'sheng'shi'fen'zhi'zhong 乃可即得更生始分之中
'nai'tian'di'zhi'xuan'gen 乃天地之玄根
'nai'zhi'tian'zhen'gui'zhong 乃知天真贵重
'nan'fang'chi'di'ling'bao'chi'shu'yu'pian 南方赤帝灵宝赤书玉篇
'nan'fang'dan'tian 南方丹天
'nan'fang'fan'bao'chang 南方梵宝昌
'nan'fang'fan'bao'chang'yang'dan'ling'zhen'lao 南方梵宝昌阳丹灵真老
'nan'fang'fan'bao'chang'yang'dan'ling'zhen'lao'jun'fu'ming 南方梵宝昌阳丹灵真老君符命
'nan'fang'fen'bao'chang'yang'dan'ling'zhen'lao 南方焚宝昌阳丹灵真老
'nan'fang'san'qi'dan'tian 南方三炁丹天
'nan'he'shui'di 南河水帝
'nan'ji'du'shi'jun 南极度世君
'nan'ji'lao'jun 南极老君
'nan'ji'yuan'zhen'jun 南极元真君
'nan'ji'zhang'ren 南极丈人
'nan'ke'cheng'yan 难可称焉
'nan'ke'ji'wen 难可即闻
'nan'ren'tun'ci'fu'hou 男人吞此符后
'nan'shan'shen'zhou 南山神咒
'nei'shen'zhang'ci'bai'di'xia'jie'zhong 内神杖次白帝下节中
'nei'shen'zhang'ci'chi'di'xia'jie'zhong 内神杖次赤帝下节中
'nei'shen'zhang'ci'huang'di'xia'jie'zhong 内神杖次黄帝下节中
'nei'shen'zhang'ci'qing'di'xia'jie'zhong 内神杖次青帝下节中
'nei'shen'zhang'shang'jie'zhong 内神杖上节中
'nei'you'xuan'ying'jiu'chuang'zhi'guan 内有玄膺九窗之关
'neng'she'zhai'shao'xiang 能设斋烧香
'neng'xiu'zhai'feng'jie 能修斋奉戒
'nian'ruo'gan'sui 年若干岁
'nian'yue'gong'guo'ji'gui'shen'zhi'shi 年月功过及鬼神之事
'niao'mu'qun'fei 鸟母群飞
'nv'tun'ci'fu'hou 女吞此符后
'nv'xu'wei'shi 女虚危室
'pai'huai'yun'lu 徘徊云路
'pei'ci'wen 佩此文
'pei'ci'wen'du'tian'zai'jian'tai'ping'jun 佩此文度天灾见太平君
'pei'ci'wen'du'zai'heng 佩此文度灾横
'pei'ci'wen'ze'mian'hong'liu'wan'li'zhi'zhong 佩此文则免洪流万疠之中
'pei'ci'wen'ze'yu'yun'tui'yi 佩此文则与运推移
'pei'shen 佩身
'pei'zhi'de'mian'da'zai 佩之得免大灾
'pei'zhi'ji'de'hua'sheng'shi'fen'zhi'zhong 佩之即得化生始分之中
'pei'zhi'jie'ji'de'hua'sheng'shi'fen'zhi'zhong 佩之皆即得化生始分之中
'pei'zhi'qian'du'bu'jia'shen 佩之千毒不加身
'pei'zhi'qian'hai'bu'jia 佩之千害不加
'pi'jiu'guang'ba'se'zhi'yun'yun'jin'zhi'nang 披九光八色之蕴云锦之囊
'piao'shi'hong'liu 飘尸洪流
'piao'zheng'xuan'dou 票正玄斗
'pu'gao'wan'shen 普告万神
'pu'gui'di'jun 普归帝君
'pu'jia'wu'qiong 普加无穷
'pu'jiao'shi'fang 普教十方
'pu'jiao'wu'qiong 普教无穷
'pu'jie'yan'nian 普皆延年
'pu'li'zhong'e 普离众恶
'pu'meng'hui'ze 普蒙惠泽
'pu'sao'bu'xiang 普扫不祥
'pu'shou'guang'ming 普受光明
'pu'shou'qi'yin'run 普受其荫润
'pu'shou'zi'ran 普受自然
'pu'tian'an'ning 普天安宁
'pu'tian'sheng'nan 普天生男
'pu'tian'xing'long 普天兴隆
'pu'zhao'pu'cha 普照普察
'qi'bao'zhi'shu 七宝之树
'qi'bu'yuan'hu 岂不远乎
'qi'chong'ran'er'liu'ying 炁充然而流盈
'qi'de'hong'yi 其德洪矣
'qi'de'ru'zhi'wei'wei'gao'fan 其德如之巍巍高范
'qi'er'shi'si'ying 其二十四应
'qi'fang'qi'nian 其方其年
'qi'fang'qi'nian'feng'shu 其方其年丰熟
'qi'gan'he'er'dan'miao 气甘和而淡妙
