'ai'gan 嗌干
'jia'shen 甲申
'jia'tong 颊痛
'jia'wu 甲午
'jia'wu'sui 甲午岁
'jia'xia'ni'quan'wei'da'jia 颊下逆颧为大瘕
'jia'xie'hang'sang'ye 颊挟颃颡也
'jia'xu 甲戌
'jia'xu'sui'hui 甲戌岁会
'jia'yi 甲乙
'jia'yi'bu'si 甲乙不死
'jia'yi'bu'yu 甲乙不愈
'jia'yi'da'han 甲乙大汗
'jia'yi'fan'xin 加以烦心
'jia'yi'hei'se'er'mei'gu'zhe 加以黑色而美骨者
'jia'yi'ri'zi'cheng 甲乙日自乘
'jia'yi'shen 甲乙甚
'jia'yi'zhi'sui 甲乙之岁
'jia'yin 甲寅
'jia'yin'sui 甲寅岁
'jia'yu'bing'ding 加于丙丁
'jia'yu'geng'xin 加于庚辛
'jia'yu'jia'yi 加于甲乙
'jia'yu'ren'gui 加于壬癸
'jia'zhe'fan'zhi 假者反之
'jia'zhe'he'ru 假者何如
'jia'zhe'he'wei 加者何谓
'jia'zhong 颊肿
'jia'zhu'zuo'shou'zhi'shao'yang 甲主左手之少阳
'jia'zi 甲子
'jia'zi'yi'zhao'qi'yi 加字以昭其义
'jia'zi'zhi'sui 甲子之岁
'jian'an'ji'nian'yi'lai 建安纪年以来
'jian'bei'bi'nao'ji'que'pen'zhong'tong 肩背臂臑及缺盆中痛
'jian'bei'bo'zhe 肩背薄者
'jian'bei'jing'xiang'tong 肩背颈项痛
'jian'bei'mao're 肩背瞀热
'jian'bei're 肩背热
'jian'bei'tong 肩背痛
'jian'bo'bu'wang'lai'zhe 坚搏不往来者
'jian'bo'xu'zhe 肩膊虚者
'jian'bu'ji'xia'zhen 间不及下针
'jian'bu'ju 肩不举
'jian'bu'rong'kong 间不容空
'jian'bu'rong'shun 间不容瞚
'jian'cheng'zhi'ji 坚成之纪
'jian'chi'mai'bu'xia'guan'tong'zi 见赤脉不下贯瞳子
'jian'chi'se'zhe'ci'zhi 见赤色者刺之
'jian'ci'zhe 见此者
'jian'cui 坚脆
'jian'cui'bu'tong 坚脆不同
'jian'da'zhe 坚大者
'jian'ding'ren'bu'he'de'ye 见丁壬不合德也
'jian'duo'zhi 渐多之
'jian'er'bo 坚而搏
'jian'er'bu'kui 简而不匮
'jian'er'de'zhi 见而得之
'jian'er'mai 见二脉
'jian'er'mai'ban 见二脉半
'jian'er'qu'zhi 见而取之
'jian'er'xie'zhi 见而泻之
'jian'gu'ming'qi'tai'ye 间谷命其太也
'jian'gu'yan'tai'zhe 间谷言太者
'jian'huo'yun'xiao'xu 见火运小虚
'jian'jian'ran 监监然
'jian'jie'er'xue 肩解二穴
'jian'jie'ge'yi 肩解各一
'jian'jie'xia'san'cun 肩解下三寸
'jian'jin'tie'zhi'qi'wu 见金铁之奇物
'jian'jin'zhe 坚紧者
'jian'jiu'cang'zhi'juan 兼旧藏之卷
'jian'ju'wu'chu 坚拒勿出
'jian'kai'er'chu 见开而出
'jian'nan'bu'kong 见难不恐
'jian'nan'yu'tong 见难与痛
'jian'nan'ze'qian 见难则前
'jian'qi'he'ru 间气何如
'jian'qi'he'wei 间气何谓
'jian'qi'ji'ji 见其稷稷
'jian'qi'jie'ran 间气皆然
'jian'qi'se 见其色
'jian'qi'se'er'bu'de'qi'mai 见其色而不得其脉
'jian'qi'tong'qi'zhu'wu'fan 间气同其主无犯
'jian'qi'wei'cang'hua 间气为藏化
'jian'qi'wei'dong'hua 间气为动化
'jian'qi'wei'ming'hua 间气为明化
'jian'qi'wei'qing'hua 间气为清化
'jian'qi'wei'rou'hua 间气为柔化
'jian'qi'wu'wu 见其乌乌
'jian'qi'zhe'ji'bu'ye 间气者纪步也
'jian'qi'zhen'zang 见其真脏
'jian'qian'nao'tong 肩前臑痛
'jian'qie'sheng'qie'hua'zhe 坚且盛且滑者
'jian'ren'xin'ti'ti'ran 见人心惕惕然
'jian'ren'you'rong 见人有荣
'jian'ren'you'wang 见人有亡
'jian'ren'zhan'xue'jie'jie 见人斩血借借
'jian'ri'er'fu'ci'zhi 间日而复刺之
'jian'ri'er'zuo 间日而作
'jian'ri'yi'ci 间日一刺
'jian'ri'yi'ci'zhi 间日一刺之
'jian'rou'bo'pi'zhe 坚肉薄皮者
'jian'rou'huan'jie 坚肉缓节
'jian'ru'qi'gu'zhe 坚如其故者
'jian'ru'ting 尖如梃
'jian'ru'wen'meng'hui 尖如蚊虻喙
'jian'san'mai 见三脉
'jian'shang're 肩上热
'jian'shao'yang 见少阳
'jian'shao'yin 见少阴
'jian'shao'zhi 渐少之
'jian'shen'zhi'shi 间甚之时
'jian'shi'ming'hao'yan 见事明好颜
'jian'shi'zhi'dao 间使之道
'jian'si'ba 肩似拔
'jian'sui'nei'xiao 肩髓内消
'jian'tai'yang 见太阳
'jian'tai'yin 见太阴
'jian'tong'ze'zhi 见痛则止
'jian'wei'de'guo 见微得过
'jian'wu'gui'hai'wei'he'de'ye 见戊癸亥未合德也
'jian'xi'ke 肩息咳
'jian'xi'shen'bu'qu 蹇膝伸不屈
'jian'xiang'shen're 肩项身热
'jian'xiang'zhong'bu'bian 肩项中不便
'jian'xin'wu'jie 坚心无解
'jian'xue 见血
'jian'xue'er'zhi 见血而止
'jian'xue'li'yi 见血立已
'jian'yang'ming 见阳明
'jian'ye 坚也
'jian'ye 肩也
'jian'yi'mai 见一脉
'jian'yi'mai'ban 见一脉半
'jian'yi'mai'yi'sui'si 见一脉一岁死
'jian'yi'zang'ji'er 间一脏及二
'jian'yi'zang'zhi'ji'zhi'san'si'zang'zhe 间一脏止及至三四脏者
'jian'yu'hou'tu 见于厚土
'jian'ze'bing'ye 减则病也
'jian'ze'wei'bai 见则为败
'jian'zhe 渐者
'jian'zhe 间者
'jian'zhe'bing'xing 间者并行
'jian'zhe'bu'ru 坚者不入
'jian'zhe'huan'ye 间者环也
'jian'zhe'qian'qu'zhi 间者浅取之
'jian'zhe'ruan'zhi 坚者软之
'jian'zhe'san'xia 间者散下
'jian'zhe'wei'bao 坚者为宝
'jian'zhe'xiao'zhi 间者小之
'jian'zhe'xue'zhi 坚者削之
'jian'zhe'ze'gang 坚者则刚
'jian'zhen'er'xue 肩贞二穴
'jian'zhen'ge'yi 肩贞各一
'jian'zhen'xia'san'cun'fen'jian'ge'yi 肩贞下三寸分间各一
'jian'zhen'zang'yue'si 见真脏曰死
'jian'zhi'ling'ren'bao'wang 见之令人暴亡
'jian'zhi'zhou 肩至肘
'jiang'bi'xu'ba'zheng'xu'xie 将必须八正虚邪
'jiang'cong'shang'gu'he'tong'yu'dao 将从上古合同于道
'jiang'er'bu'ru 降而不入
'jiang'er'bu'xia 降而不下
'jiang'er'ru'di 降而入地
'jiang'er'yu'fa 降而郁发
'jiang'guo'you'yang 将国有殃
'jiang'jin'xing'zhi'hu 将尽行之乎
'jiang'jiu'zhi'qi'xun'zhi 姜韭之气熏之
'jiang'jun'zhi'guan 将军之官
'jiang'ke'zhe'qi'suo'sheng'ye 降可折其所胜也
'jiang'pu 僵仆
'jiang'ren'mo'fu'jin 匠人磨斧斤
'jiang'shen'cha'yu'wu'er'xin'sheng'zhi'hu 将审察于物而心生之乎
'jiang'tian'shu'ran'ye 将天数然也
'jiang'yan'yi'za'he'ye 将言以杂合耶
'jiang'yi'er'sheng 降已而升
'jiang'zai'fen'rou'zhi'jian'hu 将在分肉之间乎
'jiang'zhe'wei'tian 降者谓天
'jiang'zhi'bu'xia'zhe 降之不下者
'jiang'zhi'qu'jie 降志屈节
'jiang'zhi'wei'xia 降之未下
'jiang'zhou'ru'wei 浆粥入胃
'jiao'ai'tang 胶艾汤
'jiao'chu'jue'yin'zhi'qian 交出厥阴之前
'jiao'chu'tai'yin'zhi'hou 交出太阴之后
'jiao'dian 交巅
'jiao'dian'shang 交巅上
'jiao'jia 交颊
'jiao'jian'shang 交肩上
'jiao'jiang'tang 胶姜汤
'jiao'jue'shan'nu'xia 焦绝善怒吓
'jiao'li'bo 胶理薄
'jiao'ma 脚麻
'jiao'mu 椒目
'jiao'qi'zhe 交漆者
'jiao'ren'zhong 交人中
'jiao'shang'ge'yi 角上各一
'jiao'shi'zhui'xia 交十椎下
'jiao'shu'xiang'bing 交属相并
'jiao'tai'yin 交太阴
'jiao'tiao'jian 脚跳坚
'jiao'tong'bu'biao 交通不表
'jiao'xia'tong 脚下痛
'jiao'xia'zhi'shao'fu'man 脚下至少腹满
'jiao'yi 胶饴
'jiao'yi'xia'zhi'zhu'gu 角以下至柱骨
'jiao'yu'mu'rui'zi 交于目锐眦
'jiao'yu'tai'yin 交于太阴
'jiao'zhe'si'ye 交者死也
'jiao'zi'cong'yu'qing'ren 骄恣从欲轻人
'jiao'zu 矫足
'jie'an'qi'chu 皆安其处
'jie'bi'er'bu'tong 皆闭而不通
'jie'bing 解并
'jie'bing'qi'yu'wei 皆禀气于胃
'jie'bing'ren'zhi'suo'zi'zhi'ye 皆病人之所自知也
'jie'bing'yi'shuai'er're'you'suo'cang 皆病已衰而热有所藏
'jie'bu'ke'qu'yi'xiao'zhen 皆不可取以小针
'jie'bu'neng'sheng'ku 皆不能胜苦
'jie'bu'sheng'du'ye 皆不胜毒也
'jie'bu'si'ye 皆不死也
'jie'chong'bu'cheng 介虫不成
'jie'chong'bu'fu 介虫不复
'jie'chong'hao 介虫耗
'jie'chong'hao'bu'yu 介虫耗不育
'jie'chong'jing 介虫静
'jie'chong'nai'hao 介虫乃耗
'jie'chong'nai'qu 介虫乃屈
'jie'chong'nai'yang 介虫乃殃
'jie'chong'yu 介虫育
'jie'chu'yu'jing'sui 皆出于经隧
'jie'chu'yu'wei 皆出于胃
'jie'chun'zhe 揭唇者
'jie'cong'nei 皆从内
'jie'cong'qi'wu'lei'shi 皆从其物类始
'jie'da'sheng'yi'ping'ding 皆大盛以平定
'jie'dang'zhi'zhi 皆当治之
'jie'de'si'miao'dao'zhe'ye 皆得斯妙道者也
'jie'de'suo'yuan 皆得所愿
'jie'duan'man'you'bie'xiang 皆端满有别乡
'jie'duo'xue'luo 皆多血络
'jie'er'bu'tong'zhe 结而不通者
'jie'er'heng'you'ji'yi 结而横有积矣
'jie'er'wei'neng'bie 解而未能别
'jie'fa'wu 皆发屋
'jie'fan'er'zao'ke 皆烦而燥渴
'jie'fei'qi'su'suo'neng'ye 皆非其素所能也
'jie'fu'gui'ren'ye 皆富贵人也
'jie'ge'pian'ku 皆膈偏枯
'jie'geng 桔梗
'jie'geng'tang 桔梗汤
'jie'guan'qi'ji'er'nai'fa'ye 皆观其极而乃发也
'jie'gui'chu'chun 皆归出春
'jie'gui'shi'chun 皆归始春
'jie'he'dao'cong'lai 皆何道从来
'jie'he'qi'shi'sheng 皆何气使生
'jie'he'zang'shi'ran 皆何脏使然
'jie'hou'yi'xia'zhi'que'pen'zhong 结喉以下至缺盆中
'jie'huan'er'bu'shou'ye 节缓而不收也
'jie'huo'zhe 解惑者
'jie'ji'ci'yu'zhe 捷疾辞语者
'jie'ji'guan'zhi'shi 皆机关之室
'jie'ji'shui'ye 皆积水也
'jie'jian'qian'yu 结肩前髃
'jie'jian'yu'wai 皆见于外
'jie'jiao'ju 皆嚼咀
'jie'jing'fu 洁净府
'jie'jing'wei'lun 解精微论
'jie'jing'wei'lun'pian'di'ba'shi'yi 解精微论篇第八十一
'jie'jiu'liu'zhi 皆久留之
'jie'jue'er'shi'sheng 竭绝而失生
'jie'ke'men'er'de'ye 皆可扪而得也
'jie'ke'xian'zhi'ye 皆可先治也
'jie'ke'zuo'qi'bu'ji'ye 皆可作其不及也
'jie'liu'zhi 皆留之
'jie'luo'jian'jin 结络坚紧
'jie'luo'mai'ye 皆络脉也
'jie'luo'san'bai'liu'shi'wu'jie 皆络三百六十五节
'jie'mai'ling'ren'yao'tong 解脉令人腰痛
'jie'mai'ling'ren'yao'tong'ru'yin'dai 解脉令人腰痛如引带
'jie'nai'you'dong 節乃有動
'jie'nan'zhi 皆难治
'jie'pi'bu'wei'jing'luo 节皮部为经络
'jie'qi'xie'zhi'zou'kong'qiao'zhe'ye 皆奇邪之走空窍者也
'jie'qi'zhe 节气者
'jie'qu'zhi 皆取之
'jie'qu'zhi'bu'zu 皆取之不足
'jie'qu'zhi'pi'zhi'da'luo'mai'ye 皆取之脾之大络脉也
'jie're'zhi'zuo'you'ye 皆热之左右也
'jie'rong'qi'zhi'suo'shi'ye 皆荣气之所食也
'jie'ru'fu'qi'wei'fa'ye 皆如复气为法也
'jie'ru'shou'shao'yin'xin'zhu'zhi'mai'xing'ye 皆如手少阴心主之脉行也
'jie'ru'yu'wei 皆入于胃
'jie'shang'han'zhi'lei'ye 皆伤寒之类也
'jie'shang'jing'qi 皆伤精气
'jie'shang'qi'zhi 皆伤其枝
'jie'shang'xun'yu'mian 皆上熏于面
'jie'shang'zhu'yu'mu'er'wei'zhi'jing 皆上注于目而为之精
'jie'shao'yang'zhi'luo'ye 皆少阳之络也
'jie'shao'yin'zhi'luo'ye 皆少阴之络也
'jie'sheng'du 皆胜毒
'jie'sheng'yu'feng'han'shu'shi'zao'huo 皆生于风寒暑湿燥火
'jie'sheng'yu'feng'yu'han'shu 皆生于风雨寒暑
'jie'sheng'yu'gu 皆生于谷
'jie'sheng'yu'nv'zi 皆生于女子
'jie'sheng'yu'wu'zang'ye 皆生于五脏也
'jie'shi'ba'feng'wan're 皆失八风菀热
'jie'shi'qi'suo'zai 皆视其所在
'jie'shi'shen'shi'shou'wei'gu'ye 皆是神失守位故也
'jie'shou'qi'bing 皆受其病
'jie'shou'shu'bu'tong 皆受术不通
'jie'shou'yi'hu 接手以呼
'jie'shu'yu'dai'mai 皆属于带脉
'jie'shu'yu'fei 皆属于肺
'jie'shu'yu'feng 皆属于风
'jie'shu'yu'gan 皆属于肝
'jie'shu'yu'han 皆属于寒
'jie'shu'yu'huo 皆属于火
'jie'shu'yu'jie 皆属于节
'jie'shu'yu'mu 皆属于目
'jie'shu'yu'nao 皆属于脑
'jie'shu'yu'pi 皆属于脾
'jie'shu'yu're 皆属于热
'jie'shu'yu'shang 皆属于上
'jie'shu'yu'shen 皆属于肾
'jie'shu'yu'shi 皆属于湿
'jie'shu'yu'wei 皆属于胃
'jie'shu'yu'xia 皆属于下
'jie'shu'yu'xin 皆属于心
'jie'si 皆死
'jie'si'bu'zhi'ye 皆死不治也
'jie'si'ye 皆死也
'jie'sui'jiu'you'ke'jie'ye 结虽久犹可解也
'jie'sui'sheng'qi 皆随胜气
'jie'tai'yang'zhi'luo'ye 皆太阳之络也
'jie'tai'yin'zhi'luo'ye 皆太阴之络也
'jie'tiao'yu'san'li 皆调于三里
'jie'tong'hu'tian'qi 皆通乎天气
'jie'tong'ming'si'bu'zhi 皆同命死不治
'jie'wei'bian'ye 皆为变也
'jie'wei'bu'zu 皆为不足
'jie'wei'qu'san'sheng 竭为取三升
'jie'wei'shan 皆为疝
'jie'wei'shang'zhong 皆为伤中
'jie'wei'zheng'ye 皆为正也
'jie'wei'zhi'xu'xie'zei'feng 皆谓之虚邪贼风
'jie'wu'guo'er'fen 皆无过二分
'jie'wu'guo'yi'hu 皆无过一呼
'jie'wu'qi'yi'sheng 皆无气以生
'jie'xi 解溪
'jie'xiang'liang'yi 皆相梁易
'jie'xie'ji'xiang'qu'san'cun'suo 皆挟脊相去三寸所
'jie'xie'qi'ju'zhi 皆邪气居之
'jie'xie'qi'xie'ye 皆泻其邪也
'jie'xin'zhu'zhi'luo'ye 皆心主之络也
'jie'xiong'zheng'xi'ju'fan'zao'zhe'yi'si 结胸证悉具烦躁者亦死
'jie'yan'shi'quan 皆言十全
'jie'yang'ming'zhi'luo'ye 皆阳明之络也
'jie'yang'zhe 结阳者
'jie'ye'xia 结腋下
'jie'yi'shou'qi 皆以受气
'jie'yi'ying'qi'jing'mai'zhi'se'ye 皆亦应其经脉之色也
'jie'yin'qi'qi'zhi'xu'shi'ji'xu'yi'qu'zhi 皆因其气之虚实疾徐以取之
'jie'yin'yang'er'tiao'gang'rou 节阴阳而调刚柔
'jie'yin'zhe 结阴者
'jie'ying 皆盈
'jie'you'biao'ben'xu'shi'suo'li'zhi'chu 皆有标本虚实所离之处
'jie'you'biao'li 皆有表里
'jie'you'bing'bi'bei'jing'mai 节有病必被经脉
'jie'you'chang'shu 皆有常数
'jie'you'da'shu 皆有大数
'jie'you'si'qi 皆有死期
'jie'you'suo'qi 皆有所起
'jie'you'suo'sheng 皆有所生
'jie'you'tiao'li 皆有条理
'jie'you'xing 皆有形
'jie'you'xu'shi 皆有虚实
'jie'yu'bi 结于臂
'jie'yu'bi 结于髀
'jie'yu'bi 结于鼻
'jie'yu'chuang'long 结于窗笼
'jie'yu'er'hou'wan'gu 结于耳后完骨
'jie'yu'feng'yu'han'shu 皆于风雨寒暑
'jie'yu'fu'shang 结于跗上
'jie'yu'guo 结于腘
'jie'yu'he'ye 皆愈何也
'jie'yu'jiao 结于角
'jie'yu'jing 结于茎
'jie'yu'kao 结于尻
'jie'yu'lei 结于肋
'jie'yu'lian'quan 结于廉泉
'jie'yu'ming'men 结于命门
'jie'yu'mu'zi'wei'wai'wei 结于目眦为外维
'jie'yu'qi 结于脐
'jie'yu'qiu 结于頄
'jie'yu'que'pen 结于缺盆
'jie'yu'rui'gu 结于锐骨
'jie'yu'sang'da 结于颡大
'jie'yu'shuan'wai 结于腨外
'jie'yu'tai'cang 结于太仓
'jie'yu'wai'fu'gu 结于外辅骨
'jie'yu'wan 结于腕
'jie'yu'xi 结于膝
'jie'yu'xi'wai'lian 结于膝外廉
'jie'yu'xiong'zhong 结于胸中
'jie'yu'yin'qi 结于阴器
'jie'yu'yu 结于髃
'jie'yu'yu'hou 结于鱼后
'jie'yu'yu'ying 结于玉英
'jie'yu'zhen'gu 结于枕骨
'jie'yu'zhong 结于踵
'jie'yu'zhou 结于肘
'jie'yu'zhou'nei'lian 结于肘内廉
'jie'yu'zhou'nei'rui'gu'zhi'hou 结于肘内锐骨之后
'jie'yue'tian'fu 皆曰天符
'jie'zai'qi'ye 皆在气也
'jie'zai'wu'yu'ye 皆在五俞也
'jie'zai'yang 皆在阳
'jie'zai'yin 皆在阴
'jie'zai'yu'mian 皆在于面
'jie'zai'yu'xin'zhi'bao'luo 皆在于心之包络
'jie'zai'yu'zang 皆在于脏
'jie'zai'yu'zang'fu'zhi'wai 皆在于脏腑之外
'jie'zang'yu'yin'er'xiang'yu'di 皆脏于阴而象于地
'jie'zang'zhi'yin'luo 皆脏之阴络
'jie'ze'yan'lu'jiao 竭则咽路焦
'jie'zhe'san'zhi 结者散之
'jie'zhi 结直
'jie'zhi'jiao 节之交
'jie'zhi'jiao'san'bai'liu'shi'wu'hui'zhe 节之交三百六十五会者
'jie'zhi'jie'tong 皆肢节痛
'jie'zhi'jie'zhi 戒之戒之
'jie'zhong 皆肿
'jie'zhou'zhong 结肘中
'jie'zhu'shu'qi'wen 皆朱书其文
'jie'zhu'yu'hai 皆注于海
'jie'zi'wei'shi 皆自谓是
'jie'zu'ci'zhi 皆卒刺之
'jie'zuo'tai'guo'zhi'yong 皆作太过之用
'jin'an 谨按
'jin'an'si'wei 谨按四维
'jin'bi'bu'yi 筋痹不已
'jin'bi'mu'jin 筋躄目浸
'jin'bing'wu'duo'shi'suan 筋病无多食酸
'jin'bu'ji 金不及
'jin'bu'neng'dong 筋不能动
'jin'bu'wu'yin'wu'yang 筋部无阴无阳
'jin'cha'jian'shen 谨察间甚
'jin'cha'wu'zang'liu'fu 谨察五脏六腑
'jin'cha'yin'yang'suo'zai'er'tiao'zhi 谨察阴阳所在而调之
'jin'chu'qi'xue 尽出其血
'jin'ci'qu'qi'xue'luo 尽刺去其血络
'jin'ci'you'xing'fu'sheng'zhi 金次又行复胜之
'jin'ci'zhi'chu'xie 尽刺之出血
'jin'ci'zhu'yang'zhi'qi'yu'ye 尽刺诸阳之奇俞也
'jin'dang'feng 禁当风
'jin'dao'ru'fa 谨道如法
'jin'de'fei'mai 今得肺脉
'jin'de'huo'er'que 金得火而缺
'jin'de'qi'qing 尽得其情
'jin'dian'ji'zhe 筋癫疾者
'jin'du 筋度
'jin'du'bing'duan 谨度病端
'jin'er'ji'ou 近而奇偶
'jin'er'tiao'zhi'ye 谨而调之也
'jin'er'wu'huo 近而无惑
'jin'fa'er'qing'ming 金发而清明
'jin'fan'cui 禁犯焠
'jin'fang'cao'shi'yao 禁芳草石药
'jin'fei'shou'xie 金肺受邪
'jin'feng'han'ke'yu'ren 今风寒客于人
'jin'feng'tian'dao 谨奉天道
'jin'fu 禁服
'jin'fu'di'si'shi'ba 禁服第四十八
'jin'fu'mai'fu'da'xu'zhe 今夫脉浮大虚者
'jin'fu're'bing'zhe 今夫热病者
'jin'fu'ren'zhi'sheng'you'yu'yu'qi 今妇人之生有余于气
'jin'fu'wang'gong'da'ren 今夫王公大人
'jin'fu'zi'du'yan'wu'zang 今夫子独言五脏
'jin'fu'zi'nai'yan'xia'zhe'zuo'xing 今夫子乃言下者左行
'jin'fu'zi'nai'yan'xue'bing'wei'xu 今夫子乃言血并为虚
'jin'fu'zi'nai'yan'you'yu'you'wu 今夫子乃言有余有五
'jin'fu'zi'zhi'suo'yan'zhe 今夫子之所言者
'jin'gu'bing'pi 筋骨并辟
'jin'gu'diao'xuan'qing'jue 筋骨掉眩清厥
'jin'gu'ji'nei 筋骨肌内
'jin'gu'ji'rou 筋骨肌肉
'jin'gu'jian 筋骨坚
'jin'gu'jie'duo 筋骨解堕
'jin'gu'jin'qiang 筋骨劲强
'jin'gu'liang'rou'jie'wu'yu 筋骨良肉皆无余
'jin'gu'long'sheng 筋骨隆盛
'jin'gu'nai'jian 黅谷乃减
'jin'gu'nei'bian 筋骨内变
'jin'gu'sui'ku 筋骨髓枯
'jin'gu'wei'yin 筋骨为阴
'jin'gu'yao'fu 筋骨繇复
'jin'gu'yi'xiao 筋骨以消
'jin'gu'zhi'qiang'ruo 筋骨之强弱
'jin'gui'cang'zhi 金柜藏之
'jin'han'chu'er'zhe'fu're'zhe 今汗出而辄复热者
'jin'han'yin'shi 禁寒饮食
'jin'hang'yu'shang 金行于上
'jin'hang'zao'sheng 金行燥胜
'jin'he'fa'he'ze 今何法何则
'jin'hou'qi'shi 谨候其时
'jin'hou'qi'yi 谨候气宜
'jin'hou'xu'feng'er'bi'zhi 谨候虚风而避之
'jin'huo'he'de 金火合德
'jin'ji'er'jian 筋急而见
'jin'ji'fu'er'shao'yin'ru'zhi 金既复而少阴如至
'jin'ji'ze'kou'mu'wei'pi 筋急则口目为僻
'jin'ji'ze'yin'she'yu'luan 筋急则引舌与卵
'jin'jian'san'si 今见三死
'jin'jian'xue'ye 尽见血也
'jin'jiang'bei'yi 筋将惫矣
'jin'jiang'sheng'huo 金将胜火
'jin'jin'gao'liang 今禁高梁
'jin'jing'huai'shen'qu 今精坏神去
'jin'jue'qi'ke'yu'wu'zang'liu'fu 今厥气客于五脏六腑
'jin'kui'yao'lue 金匮要略
'jin'kui'zhe 金匮者
'jin'kui'zhen'yan'lun 金匮真言论
'jin'kui'zhen'yan'lun'pian'di'si 金匮真言论篇第四
'jin'lan'ze'shang'gu 筋烂则伤骨
'jin'liang'gong'jie'cheng'yue'bing'cheng 今良工皆称曰病成
'jin'liang'gong'jie'de'qi'fa 今良工皆得其法
'jin'ling'bing'yi 尽灵病已
'jin'luan 筋挛
'jin'luan'jie'tong 筋挛节痛
'jin'luan'ni'qi'huan'wei'ke'sou 筋挛逆气环为咳嗽
'jin'luo'ju'qiang 筋络拘强
'jin'mai 禁脉
'jin'mai'bu'li 筋脉不利
'jin'mai'bu'tong 筋脉不通
'jin'mai'bu'yu'han'xiang'ying 今脉不与汗相应
'jin'mai'gu'rou 筋脉骨肉
'jin'mai'he'tong 筋脉和同
'jin'mai'heng'jie 筋脉横解
'jin'mai'ju'chi 筋脉沮弛
'jin'mai'nai'ying 筋脉乃应
'jin'mai'xie'duo'ze'xing'yin'yong'li 筋脉懈惰则行阴用力
'jin'mo'gan 筋膜干
'jin'mo'gan'ze'jin'ji'er'luan 筋膜干则筋急而挛
'jin'mo'shi'zhi'ci'ye 今末世之刺也
'jin'mu'shui'huo'tu 金木水火土
'jin'mu'shui'huo'tu'ye 金木水火土也
'jin'mu'zhe 金木者
'jin'nai'bian'wei'liu'ming 今乃辨为六名
'jin'nai'yi'jia'wei'zuo'shou'zhi'shao'yang 今乃以甲为左手之少阳
'jin'nai'yi'zhi 金乃抑之
'jin'nai'you'sheng 金乃有声
'jin'nai'zhi 尽乃止
'jin'ni'er'shang'xing 今逆而上行
'jin'nue'bu'bi'ying'zhe'he'ye 今疟不必应者何也
'jin'pi'bing'bu'neng'wei'wei'xing'qi'jin'ye 今脾病不能为胃行其津液
'jin'qi'bi'huan 尽气闭环
'jin'qi'bu'ke'ci'ye 禁其不可刺也
'jin'qi'bu'shi 近气不失
'jin'qi'cheng'zhi 金气承之
'jin'qi'shang'po'fei 今气上迫肺
'jin'qi'ying 筋其应
'jin'qi'zhi'zhi 金气治之
'jin'qu'bu'de'shen 筋屈不得伸
'jin'qu'zhi 尽取之
'jin're'wei'you'yu 今热为有余
'jin'ri'fa'meng'jie'huo 今日发蒙解惑
'jin'ri'zheng'yang 今日正阳
'jin'rou'ju'ke 筋肉拘苛
'jin'ruo 筋弱
'jin'san'yin'san'yang'bu'ying'yin'yang 今三阴三阳不应阴阳
'jin'shang'shen'yu'mu 尽上渗于目
'jin'shang'ze'nei'dong'gan 筋伤则内动肝
'jin'sheng'mu'ye 金胜木也
'jin'sheng'xin 筋生心
'jin'sheng'xin 金生辛
'jin'shi'chu'han 进食出汗
'jin'shi'zhi'bing 今世治病
'jin'shi'zhi'ren 今时之人
'jin'shi'zhi'ren'bu'ran'ye 今时之人不然也
'jin'shou'bing'ji 谨守病机
'jin'shou'ci'zhi 谨守此治
'jin'shou'qi'qi 谨守其气
'jin'shou'wu'nei 谨守勿内
'jin'shu'yin'yang 谨熟阴阳
'jin'shui'bu'sheng'huo 今水不胜火
'jin'shuo'shi'liu 金烁石流
'jin'song'zhuan'fang'qing'ming'yi 今崧专访请名医
'jin'sui'ku 筋髓枯
'jin'tian'zhi'qi 黅天之气
'jin'tiao'bu'bai'er'jiu'zhi 尽调不败而救之
'jin'tong 筋痛
'jin'tong'ze'qu'zhi'fen'rou 紧痛则取之分肉
'jin'tui'di'ang 进退低昂
'jin'tuo'zhe 津脱者
'jin'wai'de'wu'you'yu 今外得五有余
'jin'wei'bu'neng'jiu'li 筋痿不能久立
'jin'wei'gang 筋为刚
'jin'wei'qi'ri'xia'yi'jie 今卫气日下一节
'jin'wei'zhe'sheng'yu'gan'shi'nei'ye 筋痿者生于肝使内也
'jin'wei'zhi'xia 金位之下
'jin'wei'zhi'zhu 金味之主
'jin'wen'ming'yi 谨闻命矣
'jin'wen'shi'bao'shi 禁温食饱食
'jin'wen'shi're'yi 禁温食热衣
'jin'wu'zang'jie'shuai 今五脏皆衰
'jin'xiang'cha'jian'shen 谨详察间甚
'jin'xiao'shu'fu'tang 近效术附汤
'jin'xiao'xiao'ke'fang 近效消渴方
'jin'xie'ke'yu'pi'mao 今邪客于皮毛
'jin'xie'qi'jiao'zheng'yu'gu'rou'er'de'han'zhe 今邪气交争于骨肉而得汗者
'jin'xing'zhi'ren'bi'yu'shang'shang 金形之人比于上商
'jin'xue'yu'qi'xiang'shi 今血与气相失
'jin'yan'die'zhi'die'wei 今言迭支迭位
'jin'ye 津液
'jin'ye'bu'hua 津液不化
'jin'ye'bu'xia 津液不下
'jin'ye'bu'yang 津液布扬
'jin'ye'cang'yan 津液藏焉
'jin'ye'chong'guo 津液充郭
'jin'ye'ge'zou'qi'dao 津液各走其道
'jin'ye'he'diao 津液和调
'jin'ye'jiu'liu 津液久留
