'an'hao'xin'xue 暗耗心血
'ji'yin'huo'yang'de'yi'fang'pian'sheng 即阴或阳的一方偏盛
'ji'yu'qi'bu 系于脐部
'ji'yu'xiong'ce'he'ru'bu 系于胸侧和乳部
'ji'yu'xiong'zhong 积于胸中
'ji'yu'xiong'zhong'de'zong'qi 积于胸中的宗气
'ji'yu'xiong'zhong'zhi'qi 积于胸中之气
'ji'zhu 脊柱
'ji'zhu'liang'pang 脊柱两旁
'ji'zhu'liang'pang'de'ji'rou 脊柱两旁的肌肉
'jia'chun'gou 颊唇沟
'jia'su'gu'zhe'de'yu'he 加速骨折的愈合
'jia'xiang 假象
'jian'bu 肩部
'jian'gu'jian'pi 兼顾健脾
'jian'guan'jie 肩关节
'jian'guan'jie'qian'yuan 肩关节前缘
'jian'jiao'bu 肩脚部
'jian'pi'wei'yi'fang'qi'chuan'bian 健脾胃以防其传变
'jian'qi'se'er'bu'de'qi'mai 见其色而不得其脉
'jian'qing'huo'xiao'chu'han'zheng 减轻或消除寒证
'jian'qing'huo'xiao'chu're'zheng 减轻或消除热证
'jian'shao'he'yu'fang'ji'bing'de'fa'sheng 减少和预防疾病的发生
'jian'xie'shi'xie 兼挟湿邪
'jian'yan'xue'chu 肩胭穴处
'jian'yun'shi'zhi 健运失职
'jiang'jin'ye'shu'bu'yu'quan'shen'ti'biao 将津液输布于全身体表
'jiang'ni'shou'lian 降逆收敛
'jiang'shang'zhi'gui'yu'shang'jiao 将上肢归于上焦
'jiang'shi'wu'can'zha'xia'shu'yu'da'chang 将食物残渣下输于大肠
'jiang'shi'xia'jiang 降是下降
'jiang'ti'nei'de'shui'ye 将体内的水液
'jiang'yi'er'sheng 降已而升
'jiang'yin'shi'wu'fu'shu'xiao'hua 将饮食物腐熟消化
'jiang'zhe'wei'tian 降者为天
'jiang'zhe'wei'tian 降者谓天
'jiang'zhuo 降浊
'jiao'chu'jue'yin'zhi'qian 交出厥阴之前
'jiao'chu'tai'yin'zhi'hou 交出太阴之后
'jiao'chu'zu'tai'yin'pi'jing 交出足太阴脾经
'jiao'dian 交巅
'jiao'e'zhong 交頞中
'jiao'hu'shang'qi 叫呼伤气
'jiao'hui'yu'tou'ding 交会于头顶
'jiao'jia 交颊
'jiao'jian'shang 交肩上
'jiao'jie 交接
'jiao'ren'zhong 交人中
'jiao'shou'san'yang'jing 交手三阳经
'jiao'shou'san'yin'jing 交手三阴经
'jiao'shou'tai'yin'jing'jin 交手太阴经筋
'jiao'yu'shou'tai'yin'fei'jing 交于手太阴肺经
'jiao'zu'san'yang'jing 交足三阳经
'jiao'zu'san'yin'jing 交足三阴经
'jie'cang'yu'yin'er'xiang'yu'di 皆藏于阴而象于地
'jie'cha'qi'yu'wei 皆察气于胃
'jie'fei'qi'zhi'suo'xuan 皆肺气之所宣
'jie'ji 皆极
'jie'ji'shui'ye 皆积水也
'jie'jie'huo'zhong'fu'xue'you'ya'tong 结节或中府穴有压痛
'jie'jie'zhuang 结节状
'jie'ju'san'luo 结聚散络
'jie'ju'yu'guan'jie'he'gu'ge'fu'jin 结聚于关节和骨骼附近
'jie'ju'zai'yin'jing'chu 结聚在阴茎处
'jie'luo'mai'ye 皆络脉也
'jie'pou'bu'wei 解剖部位
'jie'qi'xue'zhi'suo'xun'xing 皆气血之所循行
'jie'shang'chuan'xia 接上传下
'jie'shang'zhu'yu'mu 皆上注于目
'jie'shang'zhu'yu'mu'er'wei'zhi'jing 皆上注于目而为之精
'jie'shi'ye 皆是也
'jie'shou 接受
'jie'shou'he'rong'na 接受和容纳
'jie'shou'wai'lai'xin'xi 接受外来信息
'jie'shu'yu'jie 皆属于节
'jie'shu'yu'nao 皆属于脑
'jie'you'da'shu 皆有大数
'jie'you'pi'wei'zhi'qi'wu'suo'shang 皆由脾胃之气无所伤
'jie'yu'bi 结于鼻
'jie'yu'bi'pang 结于鼻旁
'jie'yu'e'jiao 结于额角
'jie'yu'er'hou'ru'tu 结于耳后乳突
'jie'yu'ge 结于隔
'jie'yu'gu'gu'qian 结于股骨前
'jie'yu'jian'sui 结于肩髓
'jie'yu'jian'sui'qian'fang 结于肩髓前方
'jie'yu'jing'gu'nei'zao'zhi'xia 结于胫骨内躁之下
'jie'yu'lei'gu 结于肋骨
'jie'yu'qi 结于脐
'jie'yu'que'pen 结于缺盆
'jie'yu'wan'bei 结于腕背
'jie'yu'wan'hou'rui'gu 结于腕后锐骨
'jie'yu'xi'bu 结于膝部
'jie'yu'xi'wai'ce 结于膝外侧
'jie'yu'xiong'zhong 结于胸中
'jie'yu'ye'xia 结于腋下
'jie'yu'yin'bu 结于阴部
'jie'yu'yu'ji'hou 结于鱼际后
'jie'yu'zhen'gu 结于枕骨
'jie'yu'zhou'nei'ce 结于肘内侧
'jie'yu'zhou'nei'rui'gu 结于肘内锐骨
'jie'yu'zhou'zhong 结于肘中
'jie'yu'zu'bei 结于足背
'jie'yu'zu'gen 结于足跟
'jie'zai'nao'zhong 皆在脑中
'jie'zai'yu'xin'zhi'bao'luo 皆在于心之包络
'jin'bian'yao'lue'zhu 金匾要略注
'jin'bu'neng'dong 筋不能动
'jin'chuang'ai'zhe 金疮矮折
'jin'de'qi'suo'yang 筋得其所养
'jin'de'su'jiang 金的肃降
'jin'dong'zhi'han'qi 近冬之寒气
'jin'gu'ji'rou'jie'wu'qi'yi'sheng 筋骨肌肉皆无气以生
'jin'gu'jian 筋骨坚
'jin'gu'jin'qiang 筋骨劲强
'jin'gu'long'sheng 筋骨隆盛
'jin'gu'wei'yin 筋骨为阴
'jin'he'ji'rou'de'shou'suo'he'chi'zhang 筋和肌肉的收缩和弛张
'jin'he'mu'shu'yu'mu 筋和目属于木
'jin'jie'xiao'chang 紧接小肠
'jin'ke'mu 金克木
'jin'li'bu'jian 筋力不健
'jin'mai'ju'ji 筋脉拘急
'jin'mai'shou'suo'er'luan'ji 筋脉收缩而挛急
'jin'mo 筋膜
'jin'mo'shi'yang 筋膜失养
'jin'mo'you'lai'yu'gan'xue'de'zi'yang 筋膜有赖于肝血的滋养
'jin'mu'zhe 金木者
'jin'neng'ke'mu 金能克木
'jin'neng'sheng'shui 金能生水
'jin'pi'bing'bu'neng'wei'wei'xing'qi'jin'ye 今脾病不能为胃行其津液
'jin'ren'bing'jie'yu'ye'xia 进人并结于腋下
'jin'ren'ye'xia 进人腋下
'jin'rou'de'ti'xi 筋肉的体系
'jin'rou'guan'jie 筋肉关节
'jin'ru'er'zhong 进入耳中
'jin'ru'fu'qiang 进入腹腔
'jin'ru'fu'qiang'li'mian 进入腹腔里面
'jin'ru'mao'ji 进入毛际
'jin'ru'ti'qiang 进入体腔
'jin'ru'xiang'hou'zhu'gu 进入项后柱骨
'jin'ru'xiong'qiang 进入胸腔
'jin'ru'xiong'qiang'luo'fei 进入胸腔络肺
'jin'ru'xiong'zhong 进入胸中
'jin'ru'yin'mao'zhong 进入阴毛中
'jin'sheng'shui 金生水
'jin'shi 进食
'jin'shui'xiang'sheng 金水相生
'jin'tuo'man'kou'hou 津唾满口后
'jin'xi'yao'lue'xin'dian 金曦要略心典
'jin'xing'qi'ti'de'jiao'huan 进行气体的交换
'jin'xing'qing'su'shou'lian 金性清肃收敛
'jin'xing'ti'nei'wai'de'qi'ti'jiao'huan 进行体内外的气体交换
'jin'xu'mu'wu 金虚木侮
'jin'xue'tong'yuan 津血同源
'jin'ye'bu'neng'xia'da 津液不能下达
'jin'ye'cang'yan 津液藏焉
'jin'ye'da'kui 津液大亏
'jin'ye'ge'zou'qi'dao 津液各走其道
'jin'ye'he'diao 津液和调
'jin'ye'huan'liu'zhang'ai 津液环流障碍
'jin'ye'kui'sun 津液亏损
'jin'ye'shen'zhu'yu'mai'zhong 津液渗注于脉中
'jin'ye'sheng'jiang'chu'ru'de'tong'dao 津液升降出入的通道
'jin'ye'shu'yin 津液属阴
'jin'ye'tong'guo'yang'qi'de'zheng'teng'qi'hua 津液通过阳气的蒸腾气化
'jin'ye'xiang'cheng 津液相成
'jin'yuan'yi'jia 金元医家
'jin'zhi'jing'wei'hei'yan 筋之精为黑眼
'jin'zhi'zong 筋之宗
'jing'bu 颈部
'jing'cang'yu'shen 精藏于肾
'jing'chi'zhi'ju'jue 经齿之咀嚼
'jing'e'bu'zhi'mei'shang 经额部至眉上
'jing'gu'nei'yuan 胫骨内缘
'jing'gu'nei'zao'bu 胫骨内躁部
'jing'gu'wai'yuan 胫骨外缘
'jing'guo'jian'ge 经过肩骼
'jing'guo'shang'zhong'xia'san'jiao 经过上中下三焦
'jing'guo'shi'guan 经过食管
'jing'hai'duo'meng 惊骇多梦
'jing'huo'kong 惊或恐
'jing'ji'bu'an 惊悸不安
'jing'ji'xie 经季胁
'jing'jian'jiao'nei'ce 经肩脚内侧
'jing'jin'he'pi'bu 经筋和皮部
'jing'jue 经绝
'jing'kong'shu'shen 惊恐属肾
'jing'lai'chao 经来潮
'jing'li'wu'zang'liu'fu 经历五脏六腑
'jing'luo'chuan'dao 经络传导
'jing'luo'de'chuan'dao'zhuan'shu 经络的传导转输
'jing'luo'de'chuan'zhu 经络的传注
'jing'luo'de'sheng'li'gong'neng 经络的生理功能
'jing'luo'de'xun'xing'fen'bu'lu'xian 经络的循行分布路线
'jing'luo'shou'xie'ren'zang'fu 经络受邪人脏腑
'jing'luo'tong'li 经络通利
'jing'luo'xun'xing 经络循行
'jing'luo'zhi'qi 经络之气
'jing'mai'er'ju'hui'yu'fei 经脉而聚会于肺
'jing'mai'he'luo'mai 经脉和络脉
'jing'mai'hu'wei'luo'shu 经脉互为络属
'jing'mai'ju'ji'shou'yin 经脉拘急收引
'jing'mai'man'ze'ren'she'yu'fu'zang'ye 经脉满则人舍于腑脏也
'jing'mai'shi'er'zhe 经脉十二者
'jing'mai'shi'zhu'gan 经脉是主干
'jing'mai'xun'xing 经脉循行
'jing'mai'yu'jing'mai'zhi'jian 经脉与经脉之间
'jing'mai'zhe 经脉者
'jing'mai'zhi'qi 经脉之气
'jing'ming 精明
'jing'qi'bu'neng'shang'zi'yu'fei 精气不能上滋于肺
'jing'qi'duo 精气夺
'jing'qi'gui'yu'fei 经气归于肺
'jing'qi'ju'ji 经气聚集
'jing'qi'wei'man 精气为满
'jing'qi'yi'xie 精气溢泻
'jing'qi'yu'mu'wai'pi 经起于目外毗
'jing'rong'yu'jing'he 井荣俞经合
'jing'shang'guan'xue 经上关穴
'jing'shao 精少
'jing'shen'he'pang'guang'de'qi'hua'zuo'yong 经肾和膀胱的气化作用
'jing'shen'liao'fa 精神疗法
'jing'shen'nai'ju 精神乃居
'jing'shen'nai'zhi 精神乃治
'jing'shen'qing'zhi 精神情志
'jing'shen'qing'zhi'mi'qie 精神情志密切
'jing'shen'tiao'she 精神调摄
'jing'shen'yi'shi'si'wei'de'yi'chang 精神意识思维的异常
'jing'shen'yi'shi'si'wei'huo'dong'yi'chang 精神意识思维活动异常
'jing'shen'yi'yu 精神抑郁
'jing'shen'zhen'fen 精神振奋
'jing'shen'zhi'suo'she 精神之所舍
'jing'shen'zhi'suo'she'ye 精神之所舍也
'jing'shen'zhuang'tai 精神状态
'jing'shui 经水
'jing'suan'xuan'mao 胫酸眩冒
'jing'wai'ce 颈外侧
'jing'wei'bu'zi'zhi 惊为不自知
'jing'xing'bu'chang 经行不畅
'jing'xue'chong'ying 精血充盈
'jing'xue'duo'xu'shuai 精血多虚衰
'jing'xue'jin'ye 精血津液
'jing'ye 径也
'jing'ye 精液
'jing'you'suo'zi 精有所资
'jing'ze'xin'wu'suo'yi 惊则心无所倚
'jing'zhe 经者
'jing'zhi'an'wei'yan 精之案为眼
'jing'zhi'chao'wei'yan 精之巢为眼
'jing'zhi'chu'ye 精之处也
'jing'zhi'de 静止的
'jing'zhi'zhi'mai'pang'chu'zhe'wei'luo 经之支脉旁出者为络
'jing'zhi'zhi'qing'zhe 精汁之清者
'jiu'bing'ji'shen 久病及肾
'jiu'bing'sun'shang'yang'qi 久病损伤阳气
'jiu'ju'shi'di'chang 久居湿地常
'jiu'li 久立
'jiu'shi 久视
'jiu'shi'shang'xue 久视伤血
'jiu'shi'wu'bai'wang 旧事物败亡
'jiu'shi'wu'de'fa'zhan 旧事物的发展
'jiu'xie'hua'tuo 久泄滑脱
'jiu'xing'ye'neng'shi'ren'zhi'bing 久行也能使人致病
'jiu'zuo 久坐
'jiu'zuo'shang'rou 久坐伤肉
'ju'bu'pi'fu 局部皮肤
'ju'chu'chao'shi 居处潮湿
'ju'er'cheng'jing 聚而成精
'ju'hui 聚会
'ju'ji'ti'yin'bu 聚集体阴部
'ju'ji'yu'yin'bu 聚集于阴部
'ju'shu'wu'xing'zhi'qi 俱属无形之气
'ju'shui'er'sheng'bing'ye 聚水而生病也
'ju'you'sheng'fa 具有升发
'ju'you'xie'xia'qing're 具有泻下清热
'ju'yu'guan'jie 聚于关节
'juan'dai'xiao'shou 倦怠消瘦
'jue'bu'zhi 绝不至
'jue'du 决读
'jue'du'zhi'guan 决读之官
'jue'duan'you'lai'zi'mou'lv 决断又来自谋虑
'jue'dui'de'xu'kui 绝对的虚亏
'jue'dui'xu'liang'lei 绝对虚两类
'jue'jing'qi 绝经期
'jue'qi 决气
'jue'yin'jing'you'guan 厥阴经有关
'jue'yin'shao'yang'zai'zhong'xian 厥阴少阳在中线
'jun'jing'hou'long'er'he'yu'tou'mian'bu 均经喉陇而合于头面部
'kai'fa 开发
'kai'kou'dong'shou'bian'cuo 开口动手便错
'kai'qiao 开窍
'kai'qiao'yu'bi 开窍于鼻
'kai'qiao'yu'er'he'er'yin 开窍于耳和二阴
'kai'qiao'yu'kou 开窍于口
'kai'qiao'yu'mu 开窍于目
'kai'qiao'yu'she 开窍于舌
'kai'ze'xie'ru'ke'yu'luo'mai 开则邪入客于络脉
'kan'wai'zhi'ou'ye 坎外之偶也
'kan'zhong'zhi'qi'ye 坎中之奇也
'kang'bing'li'qiang 抗病力强
'kang'bing'li'shuai'tui 抗病力衰退
'kang'bing'neng'li 抗病能力
'kang'bing'neng'li'di'xia 抗病能力低下
'kang'jin 亢进
'kang'yu'wai'xie 抗御外邪
'kao'yue'ren'liang'hu'ming'men'wei'jing'shen'zhi'she 考越人两呼命门为精神之舍
'ke'fa'tai'guo 克伐太过
'ke'jie'pou'er'shi'zhi 可解剖而视之
'ke'ni'yi'xi'er'bu'de'ping'wo 咳逆倚息而不得平卧
'ke'se'zhi'mai'wei'ni 克色之脉为逆
'ke'sheng'zhu'shan 客胜主善
'ke'sou'qi'cu 咳嗽气促
'ke'tan'ka'xie 咳痰咯血
'ke'tu'tai'guo 克土太过
'ke'wo 克我
'ke'wo'ye 克我也
'ke'wo'zhe'wei'shui 克我者为水
'ke'yi're'yu'xiao'chang 可移热于小肠
'ke'yi'wan'quan 可以万全
'ke'yu'mai'wai'ze'xue'shao 客于脉外则血少
'ke'yu'mai'zhong'ze'qi'bu'tong 客于脉中则气不通
'ke'zhi'tai'guo 克制太过
'ke'zhong'you'yong 克中有用
'kong'dong'yu'xin'ze'shen'ying 恐动于心则肾应
'kong'qi'shui'yuan 空气水源
'kong'qi'zhong'que'fa'shui'fen'ru'run 空气中缺乏水分濡润
'kong'qiao 孔窍
'kong'sheng'xi 恐胜喜
'kong'wei'shen'zhi'shu'shui 恐为肾志属水
'kong'wei'shen'zhi'zhi 恐为肾之志
'kong'wei'zi'zhi 恐为自知
'kong'yu'jing'xiang 恐与惊相
'kong'zhi'qi'fen'mi'pai'xie'liang 控制其分泌排泄量
'kou'chi'chun'she'bing'yuan'liu 口齿唇舌病源流
'kou'chou 口臭
'kou'chun'de'se'ze 口唇的色泽
'kou'ke'niao'shao 口渴尿少
'kou'ku'ou'tu 口苦呕吐
'kou'she'sheng'chuang 口舌生疮
'kou'tian'kou'ni 口甜口腻
'kou'wei'ku 口味苦
'kou'wei'yi'chang 口味异常
'kou'xian'zi'chu 口涎自出
'ku'er'se'yao 枯而色夭
'la'feng'xue 蜡风穴
'lai'shi'bi'shen 来势必甚
'lai'yu'fei'qi'de'fu'bu'he'tiao'jie 赖于肺气的敷布和调节
'lai'yu'gu'sui'de'chong'ying 赖于骨髓的充盈
'lai'yu'wei'qi'dui'cou'li'de'kai'he'zuo'yong 赖于卫气对腠理的开阖作用
'lan'men 阑门
'lan'wei'xue 阑尾穴
'lao'lei'guo'du 劳累过度
'lao'ying'xue 劳营穴
'lei'cong'mu'chu 泪从目出
'lei'dao'kai'gu'qi'ti'chu'yan 泪道开故泣涕出焉
'lei'ji'yu'shen 累及于肾
'lei'jing'dong'yi 类经冬翼
'lei'jing'tu'yi 类经图翼
'lei'ye'da'liang'fen'mi 泪液大量分泌
'lei'ye'de'fen'mi'yi'chang 泪液的分泌异常
'lei'ye'fen'mi'bu'zu 泪液分泌不足
'lei'zheng'zhi'cai 类证治裁
'leng'jue'bu'ren 冷厥不仁
'li'dui'xue 厉兑穴
'li'guan'jie'zhe'ye 利关节者也
'li'jing'zhi'xue 离经之血
'li'luo'san'jiao 历络三焦
'li'niao 利尿
'li'qiu'yi'qian 立秋以前
'li'se'mai'er'tong'shen'ming 理色脉而通神明
'li'ting 李挺
'li'xiao'bian'ji'suo'yi'shi'da'bian 利小便即所以实大便
'li'xu'han'shu'yin 里虚寒属阴
'li'zhong'zi'zai 李中梓在
'lian'jie'guan'jie'ji'rou 联结关节肌肉
'lian'luo'chang'wei 联络肠胃
'lian'luo'ge'jing'jin 联络各经筋
'lian'luo'jin'mai'pi'rou 联络筋脉皮肉
'lian'luo'zang'fu'zhi'jie 联络脏腑肢节
'lian'mu'xi 连目系
'lian'she'ben 连舌本
'lian'xi'fan'wei 联系范围
'lian'xi'she'gen 联系舌根
'lian'xi'xiao'chang 联系小肠
'lian'xi'zang'fu'qi'guan 联系脏腑器官
'lian'zhu'ji'zhui 连属脊椎
'lian'zhu'mu'wai'pi 连属目外毗
'lian'zhu'mu'xi 连属目系
'lian'zhui'si'zhi'bai'hai 联缀四肢百骸
'liang'bian'dao'zhi'bian 量变到质变
'liang'ci'yu'han 凉次于寒
'liang'er'bao'yi 两而包一
'liang'er'tong'nao 两耳通脑
'liang'mu'gan'se'hun'hua 两目干涩昏花
'liang'mu'xi'ru'xian'chang'yu'nao 两目系如线长于脑
'liang'quan'nen'hong 两颧嫩红
'liang'shen'jie'shu'ming'men 两肾皆属命门
'liang'shen'suo'ji 两肾所寄
'liang'shen'wei'chang'you'fen'yan'zhe 两肾未尝有分言者
'liang'shen'zong'hao'wei'ming'men 两肾总号为命门
'liang'xie'shao'fu'zhang'tong 两胁少腹胀痛
'liang'xie'teng'tong 两胁疼痛
'liang'xie'xia'tong'yin'xiao'fu 两胁下痛引小腹
'liang'zang'zao'shi'xiang'ji 两脏燥湿相济
'liang'zao'bing'zheng 凉燥病证
'lie'que'xue 列缺穴
'lie'que'xue'chu 列缺穴处
'lin'pei'qin 林佩琴
'lin'qi'xue 临泣穴
'lin'yu'she'shui 淋雨涉水
'lin'zheng'zhi'nan'yi'an 临证指南医案
'lin'zhuo 淋浊
'ling'ji'ji'xing'zai'nao'zhe 灵机记性在脑者
'ling'ren'shan'nu 令人善怒
'ling'su'yi'bi'zhu'zhi'yu'jing'ye 灵素亦必著之于经也
'ling'wu'suo'bi 令无所避
'ling'ze'tian'li'kai 灵则腆理开
'liu'bu'yu'quan'shen 流布于全身
'liu'dong'xun'su 流动迅速
'liu'fu'chuan'hua'shui'gu 六腑传化水谷
'liu'fu'shu'biao 六腑属表
'liu'fu'wei'yang 六腑为阳
'liu'fu'yi'jiang'wei'shun 六腑以降为顺
'liu'fu'yi'tong'wei'yong 六腑以通为用
'liu'fu'ze'bu'cang'jing'qi 六腑则不藏精气
'liu'fu'zhe 六府者
'liu'fu'zhuan'si 六腑专司
'liu'jing'fen'zheng 六经分证
'liu'nao 流脑
'liu'qi 六七
'liu'qi 六气
'liu'qi'fa'sheng'tai'guo'huo'bu'ji 六气发生太过或不及
'liu'qi'shi'wan'wu'sheng'zhang'de'tiao'jian 六气是万物生长的条件
'liu'xian 流涎
'liu'xing'xing'gan'mao 流行性感冒
'liu'xing'xing'nao'ji'sui'mo'yan 流行性脑脊髓膜炎
'liu'xing'xing'yi'xing'nao'yan 流行性乙型脑炎
'liu'yin'he'yi'bing'zhi'bing 六淫和疫病致病
'liu'yin'qi'qing 六淫七情
'liu'yin'wei'bing 六淫为病
'liu'yin'xie'qi'qin'xi'wei'wai'yin 六淫邪气侵袭为外因
'liu'yu'si'cang 留于四藏
'liu'zhi'ti'nei 留滞体内
'liu'zhi'yu'zang'fu'jing'luo 留滞于脏腑经络
'liu'zhong'wai'gan'bing'xie 六种外感病邪
'liu'zhu'yu'kong'qiao'de'jin'ye 流注于孔窍的津液
'liu'zhu'yu'qi'jing'ba'mai 流注于奇经八脉
'lu'jing 路径
'lu'nei 颅内
'lu'qiang 颅腔
'lun'ji'zhen'chi 论疾诊尺
'lun'kuang 论狂
'luo'dan 络胆
'luo'fei 络肺
'luo'gan 络肝
'luo'gan'shu'dan 络肝属胆
'luo'liu'fu'ye 络六腑也
'luo'mai'man'ze'zhu'yu'jing'mai 络脉满则注于经脉
'luo'mai'shi'fen'zhi 络脉是分支
'luo'nao 络脑
'luo'pang'guang 络膀胱
'luo'pi 络脾
'luo'shen 络肾
'luo'shu'yi'zang'yi'fu 络属一脏一腑
'luo'shu'zang'fu 络属脏腑
'luo'tou'bu 络头部
'luo'wei 络胃
'luo'xiao'chang 络小肠
'luo'xin 络心
'luo'xin'xi 络心系
'luo'yu'xi'nei'fu'gu 络于膝内辅骨
'luo'zhi'bie'zhe'wei'sun 络之别者为孙
'mai'dao'de'tong'li'yu'fou 脉道的通利与否
'mai'dao'shi'fou'tong'li 脉道是否通利
'mai'dao'tong'li 脉道通利
'mai'du 脉度
'mai'fu 脉赋
'mai'gan'ze'lei'dao'kai 脉感则泪道开
'mai'guan'ju'you 脉管具有
'mai'han'ze'suo'chou 脉寒则缩踌
'mai'jian'xian'xiang 脉见弦象
'mai'jin 脉紧
'mai'jue'qiong'man 脉诀琼满
'mai'nei'zhi'jin'ye'yi'ke'shen'chu'yu'mai'wai 脉内之津液亦可渗出于脉外
'mai'qi'liu'jing 脉气流经
'mai'she'shu'yu'huo 脉舌属于火
'mai'shi'xue'ye'yun'xing'de'tong'dao 脉是血液运行的通道
'mai'shi'you'li 脉实有力
'mai'wai'zhi'jin'ye 脉外之津液
'mai'wei'xi 脉微细
'mai'xi'shu'wu'li 脉细数无力
'mai'xiang'fen'yin'yang 脉象分阴阳
'mai'xiang'he'huan'you'li 脉象和缓有力
'mai'xiang'hong 脉象洪
'mai'xiang'hong'da 脉象洪大
'mai'xiang'jie'dai'cu'se 脉象结代促涩
'mai'xiang'xi'ruo'wu'li 脉象细弱无力
'mai'you'qi'chang 脉有奇常
'mai'you'yin'yang 脉有阴阳
'mai'zhi'bu'ye 脉之部也
'mai'zhi'chang'duan 脉之长短
'mai'zhi'zong 脉之宗
'mai'zong'qi'ye 脉宗气也
'man'er'bu'shi'ye 满而不实也
'man'xing'bing'zheng 慢性病证
'man'xing'zhong'du 慢性中毒
'mao'fa'bian'bai'er'tuo'luo 毛发变白而脱落
'mao'fa'bu'rong 毛发不荣
'mao'fa'gan'ku'huo 毛发干枯或
'mao'mai'he'jing 毛脉合精
'mao'qiao'tian'li'bi'se 毛窍腆理闭塞
'mao'zhi'ze'xian'zi'jing'luo'liu'ru 冒之则先自经络流入
'men'hu 门户
'men'shan 门扇
'meng'bi'xin'bao 蒙蔽心包
'meng'yi 梦呓
'meng'you 梦游
'mi'qi'jin'ye 泌其津液
'mi'zao'po 泌糟粕
'mian'bu'de'se'zhen 面部的色诊
'mian'bu'hong'run'you'ze 面部红润有泽
'mian'chi 面赤
'mian'gou'duo'duo 面垢哆多
'mian'jia'bu 面颊部
'mian'jia'bu'de'zhi'mai 面颊部的支脉
'mian'jian'chi'se 面见赤色
'mian'jian'hei'se 面见黑色
'mian'jian'qing'se 面见青色
'mian'jiao 面焦
'mian'jie'jiao 面皆焦
'mian'rong'qiao'cui 面容憔悴
'mian'se'bu'hua'huo'wei'huang 面色不华或萎黄
'mian'se'de'hong'run 面色的红润
'mian'se'hong'run'guang'ze 面色红润光泽
'mian'se'hui'an 面色灰暗
'mian'se'yu'bai'hui'zhi 面色毓白晦滞
'mian'shi'jiao 面始焦
'mian'zhuang'mi'san 面状弥散
'min'bing'yong'zhi 民并用之
'ming'men'ji'you'shen 命门即右肾
'ming'men'nai'liang'shen'zhong'jian'zhi'dong'qi 命门乃两肾中间之动气
'ming'men'tu'shuo 命门图说
'ming'men'wei'pei'cheng'zhi'guan 命门为配成之官
'ming'men'wei'shi'er'jing'zhi'zhu 命门为十二经之主
'ming'men'wei'yuan'qi'zhi'gen 命门为元气之根
'ming'men'xia'ji'shen'you 命门下寄肾右
'ming'men'yi'zhe 命门一者
'ming'men'yuan'qi 命门原气
'ming'men'zai'ren'shen'zhi'zhong 命门在人身之中
'ming'men'zhe 命门者
'ming'men'zhi'huo'bu'zu 命门之火不足
'ming'men'zhi'yi 命门之意
'ming'yue'nao'sui 名曰脑髓
'ming'yue'qi'hai 命曰气海
'ming'yue'qi'heng'zhi'fu 名曰奇恒之府
'ming'yue'xu'li 名曰虚里
'mo'da'yu'ci'zhe'ye 莫大于此者也
'mo'gui'yu'ci 莫贵于此
'mou'bing'bian'de'zhi'bing'yin'su 某病变的致病因素
'mou'lv'chu'yan 谋虑出焉
'mou'lv'hou'ze'bi'xu'jue'duan 谋虑后则必须决断
'mou'xie'wu'zhi'bu'zu 某些物质不足
'mou'xie'wu'zhi'guo'duo 某些物质过多
'mou'yi'jing'huo'mou'yi'zang'fu'de'bing'bian 某一经或某一脏腑的病变
'mu'ben'ke'tu 木本克土
'mu'ben'shou'jin'ke 木本受金克
'mu'bu'shu'tu 木不疏土
'mu'bu'shu'tu'zhi'zheng 木不疏土之证
'mu'cheng'tu 木乘土
'mu'chi'sheng'ling 目赤生聆
'mu'chi'yang'tong 目赤痒痛
'mu'de'ke'wo'wei'jin 木的克我为金
'mu'de'sheng'fa 木的升发
'mu'de'sheng'wo'wei'shui 木的生我为水
'mu'de'wo'ke'wei'tu 木的我克为土
'mu'de'wo'sheng'wei'huo 木的我生为火
'mu'di'shi'li 目的视力
'mu'duo'zeng'duo 目哆增多
'mu'er'bi'kou'she 目耳鼻口舌
'mu'guo'yu'qiang'sheng 木过于强盛
'mu'he'huo'shi'mu'zi 木和火是母子
'mu'ke'tu 木克土
'mu'kuang'xia 目眶下
'mu'nei'pi 目内毗
'mu'neng'ke'tu 木能克土
'mu'neng'sheng'huo 木能生火
'mu'qi'chong'he'tiao'da 木气冲和调达
'mu'shang'gang 目上纲
'mu'shang'wang 目上网
'mu'sheng'huo 木生火
'mu'sheng'suan 木生酸
'mu'wai'pi 目外毗
'mu'wang'bi'ke'tu 木旺必克土
'mu'wang'cheng'tu 木旺乘土
'mu'wang'ke'tu 木旺克土
'mu'wei'huo'zhi'mu 木为火之母
'mu'wei'zhi'xuan 目为之眩
'mu'wu'suo'jian 目无所见
'mu'xi'ji'ze'mu'xuan'yi'zhuan'yi 目系急则目眩以转矣
'mu'xia'wang 目下网
'mu'xie'shang'shi'shen 目斜上视肾
'mu'xing'ke'qu'ke'zhi 木性可曲可直
'mu'xue 母穴
'mu'ye 目也
'mu'zhi'xing'zhu'yu'shu'xie 木之性主于疏泄
'mu'zhi'zhi'duan 拇指之端
'nai'hua'er'wei'xue 乃化而为血
'nai'huo're'suo'hua 乃火热所化
'nai'jin'zhi'yan'xu 乃筋之延续
'nai'neng'ren'yu'mai'ye 乃能人于脉也
'nai'shi'you'xing'zhi'wu 乃是有形之物
'nai'shou'xing'jiu'hui'xia'jiang 耐受性就会下降
