'a'mu'bai'mei'ren 阿母白媒人
'huo'xi'fu'suo'yi 祸兮福所倚
'huo'xi'fu'zhi'suo'yi 祸兮福之所倚
'huo'xia'er'qu 或下而取
'huo'xiang'bei'xi 或相倍蓰
'huo'xiang'qian'wan 或相千万
'huo'xiang'shen'bo 或相什伯
'huo'xu'huo'chui 或嘘或吹
'huo'yi'bu'zhi 祸亦不至
'huo'yi'gao'wang'liang 或以告王良
'huo'yi'zhi'er'sun 或益之而损
'huo'you'shi'yong 或又是勇
'huo'yu'shang'you'dao 获於上有道
'huo'yuan'huo'jin 或远或近
'huo'yue'fang'yan 或曰放焉
'huo'yue'fang'zhe 或曰放者
'huo'zai'huo'hui 或载或隳
'huo'zhe'bu'ke'hu 或者不可乎
'huo'zhe'ruo'lu'ju'zhe'xie 或者若鲁遽者邪
'huo'zhe'shao'ye 惑者少也
'huo'zhe'sheng'ye 惑者胜也
'huo'zhi'bu'jie 惑之不解
'huo'zhi'chang'ye'zi'cui 祸之长也兹萃
'huo'zhi'wen'yu'jian'shi'lv 获之问于监市履
'huo'zhong'hu'di 祸重乎地
'huo'zhong'yu'tai'shan 或重于泰山
'huo'zui'yu'tian 获罪于天
'ji'ben'chuan'tong 基本传统
'ji'ben'ji'gu 基本肌骨
'ji'ben'yi'jue'chen'er'hui'cheng'ruo'hu'hou'zhe 及奔逸绝尘而回瞠若乎后者
'ji'bi'cheng'wo'bai'suo'you'pan'ye 即彼成我败所由判也
'ji'bing'xiang'fu'chi 疾病相扶持
'ji'bo'yu'qiong'nian 羁泊欲穷年
'ji'bu'cheng'qi'li 骥不称其力
'ji'bu'neng'ling 既不能令
'ji'bu'ren'qi'hu'su 即不忍其觳觫
'ji'bu'wei'zhu'jia'qian'nu 季布为朱家钳奴
'ji'cai'hua'fan'hu'die'luan 荠菜花繁胡蝶乱
'ji'can'yun'sheng'yu'peng'lai 寄残云剩雨蓬莱
'ji'ceng'hui'shou 几曾回首
'ji'ceng'shi'gan'ge 几曾识干戈
'ji'chang'qiu'zou'ma 记长楸走马
'ji'che'ju'ju'ran'xiao'yue 季彻局局然笑曰
'ji'chi'mei'tai 屐齿莓苔
'ji'chou'he'chu'hao 寄愁何处好
'ji'chu'bo'qian'sheng 几处簸钱声
'ji'chu'xian'tian 几处闲田
'ji'chu'zao'ying'zheng'nuan'shu 几处早莺争暖树
'ji'ci'ai'ru'yi'nian 即此爱汝一念
'ji'ci'xian'xian'yi 即此羡闲逸
'ji'cong'ba'xia'chuan'wu'xia 即从巴峡穿巫峡
'ji'cui'bo'zhang'deng 记翠箔张灯
'ji'da'cheng'ye'zhe 集大成也者
'ji'dang'ping'shi 稷当平世
'ji'dang'ri'men'yan'li'hua 记当日门掩梨花
'ji'de'chun'lou'dang'shi'shi 记得春楼当时事
'ji'de'pian'zhong'san'wu 记得偏重三五
'ji'de'qi'lai'zhi'ze 冀得其来之泽
'ji'de'qi'mu 既得其母
'ji'de'tong'shao'ci'ye'xiang 记得同烧此夜香
'ji'de'xiao'ping'chu'jian 记得小苹初见
'ji'de'yu'zhen'chu'jian'mian 记得玉真初见面
'ji'de'zhi'ze'zong'qing'yi'ao'wu 既得志则纵情以傲物
'ji'diao'ji'zhuo 既雕既琢
'ji'dong'ping'li'si'kong'shi'dao 寄东平李司空师道
'ji'du'dong'feng 几度东风
'ji'du'fei'hua 几度飞花
'ji'du'ge'shan'chuan 几度隔山川
'ji'du'huang'hun'yu 几度黄昏雨
'ji'du'xi'yang'hong 几度夕阳红
'ji'du'yin'san'ge'lan 几度饮散歌阑
'ji'du'yu'xin'sui 几度欲心碎
'ji'du'zhan'yi 几度沾衣
'ji'duo'you'yuan 几多幽怨
'ji'er'bu'zheng 讥而不征
'ji'er'fan'ran'gai'yue 既而幡然改曰
'ji'er'xie'lao 及尔偕老
'ji'er'you'sheng 既而有生
'ji'er'you'shi'ming 继而有师命
'ji'er'zhou'mu'bo 及二州牧伯
'ji'fa'er'mei'zhe'yi'fan'zhi 积伐而美者以犯之
'ji'fan'chun'mu 几番春暮
'ji'fan'feng'yu 几番风雨
'ji'fan'feng'yue 几番风月
'ji'fan'li'he 几番离合
'ji'fan'li'he 几翻离合
'ji'feng'zhi'jin'cao 疾风知劲草
'ji'fu'ruo'bing'xue 肌肤若冰雪
'ji'fu'yi'ben'deng 及傅奕本等
'ji'fu'you'yu'tian'di 寄蜉蝣于天地
'ji'gai'zhi'ci'hu 技盖至此乎
'ji'gan'xiu'zhu'san'geng'yu 几竿修竹三更雨
'ji'gao'guan'du 几篙官渡
'ji'gao'tai'wei 即告太尉
'ji'gong'sun'ke'zhi'yi 即公孙可知矣
'ji'gu'feng'yue 几孤风月
'ji'gua'ren'zhi'shen 及寡人之身
'ji'guan'fan'xian 急管繁弦
'ji'gun'yu'yu'shan 殛鲧於羽山
'ji'hai'za'shi 己亥杂诗
'ji'han'jian'yi 寄韩谏议
'ji'hang'gui'sai'jin 几行归塞尽
'ji'he'jiao'xing'er'bu'sang'ren'zhi'guo'hu 几何侥幸而不丧人之国乎
'ji'he'yi'zhi'ci 籍何以至此
'ji'hu'hou'yan 几乎后言
'ji'hu'tian'xia 圾乎天下
'ji'huan'dui'qi 髻鬟对起
'ji'huan'jiu'xun'fang'chu 记唤酒寻芳处
'ji'huan'zi'shou'zhi 季桓子受之
'ji'huang'shu'lang 即黄鼠狼
'ji'hui'chang'duan'chu 几回肠断处
'ji'hui'hun'meng'yu'jun'tong 几回魂梦与君同
'ji'hui'jiao'ban'zui 几回娇半醉
'ji'hui'ping'shuang'yan 几回凭双燕
'ji'hui'sha'ji'gui'lu 几回沙际归路
'ji'hui'tou'shi'qing'shan'lei 几回偷拭青衫泪
'ji'hui'xiao'gu 积毁销骨
'ji'ji'hua'shi'bi'yuan'men 寂寂花时闭院门
'ji'ji'jiang'shan'yao'luo'chu 寂寂江山摇落处
'ji'ji'jing'he'dai 寂寂竟何待
'ji'ji'nian'ye 及期年也
'ji'ji'ran'wei'kong'qi'si'ji'ye 汲汲然唯恐其似己也
'ji'ji'ren'ding'chu 寂寂人定初
'ji'ji'wu'shi 急击勿失
'ji'jia'huan'le'ji'jia'chou 几家欢乐几家愁
'ji'jia'neng'gou 几家能彀
'ji'jian'fu'guan 既见复关
'ji'jian'yu'shi 技兼于事
'ji'jiang'qin'jing 寄将秦镜
'ji'jie'er'li'yan 既竭耳力焉
'ji'jie'wu'cai 既竭吾才
'ji'jie'xin'si'yan 既竭心思焉
'ji'jin'er'qu 几尽而去
'ji'jin'piao'bo'gan'ge'ji 即今漂泊干戈际
'ji'jin'si'zhi 及今思之
'ji'jing'ken'qing'zhi'wei'chang 技经肯綮之未尝
'ji'jing'shu'han'chi 汲井漱寒齿
'ji'kang'zi'huan'dao 季康子患盗
'ji'kang'zi'wen 季康子问
'ji'kang'zi'wen'zheng'yu'kong'zi 季康子问政于孔子
'ji'kang'zi'wen'zheng'yu'kong'zi'yue 季康子问政于孔子曰
'ji'ke'bu'si 即可不死
'ji'ke'han'shu 饥渴寒暑
'ji'ke'zhi'shi'ye 际可之仕也
'ji'kong'ming'xi'su'liu'guang 击空明兮泝流光
'ji'lai'shi'chang'yu'yuan'yang'wei'lv 记来时尝与鸳鸯为侣
'ji'lei'po'shan 疾雷破山
'ji'li'dan'yuan'xi 寄李儋元锡
'ji'li'xi'ni'gu'rou'yun 肌理细腻骨肉匀
'ji'liao'xi'chuang'jiu'zuo 寂寥西窗久坐
'ji'ling'tai'er'shou'zhi'er 集灵台二首之二
'ji'ling'tai'er'shou'zhi'yi 集灵台二首之一
'ji'lu'jian'yu'kong'zi 季路见于孔子
'ji'lu'wen'shi'gui'shen 季路问事鬼神
'ji'lv'chang'kan'zui 羁旅长堪醉
'ji'ming'gou'fei'xiang'wen 鸡鸣狗吠相闻
'ji'ming'ru'ji'zhi 鸡鸣入机织
'ji'ming'sang'shu'dian 鸡鸣桑树颠
'ji'ming'wai'yu'shu 鸡鸣外欲曙
'ji'ming'zi'mo'shu'guang'han 鸡鸣紫陌曙光寒
'ji'mo'dang'nian'xiao'gu 寂寞当年萧鼓
'ji'mo'hua'tang'shen'yuan 寂寞画堂深院
'ji'mo'kai'wu'zhu 寂寞开无主
'ji'mo'kan'feng'xu 寂寞看风絮
'ji'mo'kong'ting'chun'yu'wan 寂寞空庭春欲晚
'ji'mo'ping'gao'nian'yuan 寂寞凭高念远
'ji'mo'sha'zhou'leng 寂寞沙洲冷
'ji'mo'shen'hou'shi 寂寞身后事
'ji'mo'wu'ren'jian 寂寞无人见
'ji'mo'wu'tong'shen'yuan'suo'qing'qiu 寂寞梧桐深院锁清秋
'ji'mo'xi'qiao'pan 寂寞溪桥畔
'ji'mo'xia'wu'cheng 寂寞下芜城
'ji'mo'yang'can'sheng 寂寞养残生
'ji'mo'zhao'zhao'mu'mu 寂寞朝朝暮暮
'ji'mu'ji'ai'fei 极目霁霭霏
'ji'mu'nan'yun'wu'guo'yan 极目南云无过雁
'ji'mu'shang'ping'chu 极目伤平楚
'ji'nian'bu'de'yu 期年不得鱼
'ji'nian'li'suo 几年离索
'ji'niao'lian'jiu'lin 羁鸟恋旧林
'ji'qi'cheng'bai'xing'huai'zhi'ji 稽其成败兴坏之纪
'ji'qi'cheng'wu 亟其乘屋
'ji'qi'de'zhe'ji'zhi'gou'zhi'jian'ye 及其得柘棘枳枸之间也
'ji'qi'duo'gui 击其惰归
'ji'qi'geng'ye 及其更也
'ji'qi'lao'ye 及其老也
'ji'qi'shi'ren'ye 及其使人也
'ji'qi'yi'chen'ye 及其已陈也
'ji'qi'you'shi 及其有事
'ji'qi'yu'ting 鸡栖于厅
'ji'qi'zhi'yu'wang'suo 及其至于王所
'ji'qi'zhuang'ye 及其壮也
'ji'qian'ren'yi 几千人矣
'ji'qian'san'bai'wan 赍钱三百万
'ji'qian'wang'zhi'zhong'wu 及前王之踵武
'ji'qie'wei'zai 几且伪哉
'ji'qing'er'mei 极清而美
'ji'qing'xiang'ru'yu'hai 击磬襄入于海
'ji'qu'cui'zheng'mu'yang 记取崔徵模样
'ji'qu'ming'nian 记取明年
'ji'qu'zhi'suo'xing'zhong 几蘧之所行终
'ji'quan'jiao'shan'zhong'dao'shi 寄全椒山中道士
'ji'quan'zhi'sheng'xiang'wen 鸡犬之声相闻
'ji'ren'zhen'shi'jing'lun'shou 几人真是经纶手
'ji'ren'zhi'suo'zhi 计人之所知
'ji'ri'bu'da'luan 几日不大乱
'ji'ri'dao'lin'tao 几日到临洮
'ji'ri'xing'yun'he'chu'qu 几日行云何处去
'ji'shan'cheng'de 积善成德
'ji'shang'fu'liang'da'xiong 寄上浮梁大兄
'ji'shang'qun'er'wen'ye'na 系上裙儿稳也哪
'ji'shao'nian'yi'meng'yang'zhou 记少年一梦扬州
'ji'shen'qie'xi'cang'zhou'jin 寄身且喜沧洲近
'ji'shen'ru'shen'zai 祭神如神在
'ji'sheng'gui'yan 几声归雁
'ji'sheng'mao'dian'yue 鸡声茅店月
'ji'sheng'yu'wen'sai'nan'shi 寄声欲问塞南事
'ji'sheng'zhen'chu 几声砧杵
'ji'shi'bei'zhong'ba 几时杯重把
'ji'shi'di'shi'liu 季氏第十六
'ji'shi'fu'yu'zhou'gong 季氏富于周公
'ji'shi'ji'nian 几世几年
'ji'shi'jian'de 几时见得
'ji'shi'jiang'fa'zhuan'yu 季氏将伐颛臾
'ji'shi'jiang'you'shi'yu'zhuan'yu 季氏将有事于颛臾
'ji'shi'lv'yu'tai'shan 季氏旅于泰山
'ji'shi'shang'zuo 吉事尚左
'ji'shi'shi'min'zi'qian'wei'fei'zai 季氏使闵子骞为费宰
'ji'shi'wo'yu'ruo'bian'yi 既使我与若辩矣
'ji'shi'xiang'qian'gui 及时相遣归
'ji'shi'yi'you'tian'xia 继世以有天下
'ji'shi'yue'ma'gui'lai 基时跃马归来
'ji'shou'shi'yu'tian 既受食于天
'ji'shu'chang'bu'da 寄书长不达
'ji'shu'yi'yue 既署一月
'ji'shui'cheng'yuan 积水成渊
'ji'si'hai'zhi'zai'tian'di'zhi'jian'ye 计四海之在天地之间也
'ji'si'rou'lv'zha'he'yan 几丝柔绿乍和烟
'ji'si'tian'xia'you'ji'zhe 稷思天下有饥者
'ji'su'wu'ren'qing 寄宿无人情
'ji'suo'bu'yu 己所不欲
'ji'ta'wen'zhi 纪他闻之
'ji'tai'wei'zi'jing'zhou'yi'si'nong'zheng 及太尉自泾州以司农征
'ji'tian'yu'zhi'ye 几天与之也
'ji'tong'hu'wo'yi 既同乎我矣
'ji'tong'hu'wo'yu'ruo'yi 既同乎我与若矣
'ji'tu'cheng'shan 积土成山
'ji'tun'gou'zhi'zhi'chu 鸡豚狗彘之畜
'ji'wai'gong'feng 洎外供奉
'ji'wai'lun'zhi 藉外论之
'ji'wan'chang'tiao'yu'bie'nan 记绾长条欲别难
'ji'wan'wu'er'bu'wei'li 赍万物而不为戾
'ji'wan'wu'er'bu'wei'yi 赍万物而不为义
'ji'wang'bu'jiu 既往不咎
'ji'wang'tian'xi 极望天西
'ji'wei'er'ku 即位而哭
'ji'wei'wan'li'shen 羁危万里身
'ji'wei'wu'you'yi 及为无有矣
'ji'wei'yue'zhi'jian'ye 积威约之渐也
'ji'wei'yue'zhi'shi'ye 积威约之势也
'ji'wei'zhi'ren 既谓之人
'ji'wen'ji'ding'rou 亟问亟鼎肉
'ji'wen'zi'san'si'er'hou'xing 季文子三思而后行
'ji'wo'jiang'nan'chun'se'yi'zhi'mei 寄我江南春色一枝梅
'ji'wo'jiao'fei'jiu 寄卧郊扉久
'ji'wu'er'yi 极物而已
'ji'wu'shu'bai 既无叔伯
'ji'wu'wu'shen 及吾无身
'ji'wu'zhi'zhen 极物之真
'ji'wu'zui'zhe 击无罪者
'ji'xi'jiang'zhi'shui'er'ying'zi 激西江之水而迎子
'ji'xi'liao'xi 寂兮寥兮
'ji'xian'can'bei 积藓残碑
'ji'xian'hu'zui 及陷乎罪
'ji'xian'yu'zui 及陷於罪
'ji'xiang'zhi'zhi 吉祥止止
'ji'xiao'jiang'feng'yue'jia'shi 记小江风月佳时
'ji'xin'cun'yu'xiong'zhong'ze'chun'bai'bu'bei 机心存于胸中则纯白不备
'ji'xin'deng'si'ren'chi'jian'dun'bu'zou 纪信等四人持剑盾步走
'ji'xiu'ta'xian'shi 记绣榻闲时
'ji'xu'meng'yan 几许盟言
'ji'xu'qi'liang'xu'tong'yin 几许凄凉须痛饮
'ji'xu'shang'chun'chun'fu'mu 几许伤春春复暮
'ji'xu'shang'chun'chun'wan 几许伤春春晚
'ji'xu'xiao'hun 几许消魂
'ji'xue'fu'yun'duan 积雪浮云端
'ji'xue'zha'fan'xiang'ge'xu 急雪乍翻香阁絮
'ji'ya'cheng'qun'wan'bu'shou 鸡鸭成群晚不收
'ji'yan'bo'dong'qu 寄烟波东去
'ji'yang'zhou'han'chuo'pan'guan 寄扬州韩绰判官
'ji'ye'chu'zou 忌也出走
'ji'ye'zhuan'xi'he 际夜转西壑
'ji'yi'gao'yi 既已告矣
'ji'yi'hu'wo'yu'ruo'yi 既异乎我与若矣
'ji'yi'qi'ren'zhi'dao 即以其人之道
'ji'yi'wei'yi'yi 既已为一矣
'ji'yi'wei'zhi'yi'yi 既已谓之一矣
'ji'yi'xian'yi 既已县矣
'ji'yi'yu'ren'ji'yu'you 既以与人己愈有
'ji'yi'zhi'shi 及以至是
'ji'yi'zhi'wu'zhi'zhi'er'wen'wo 既已知吾知之而问我
'ji'ying'gui'wei 季鹰归未
'ji'you'he'wei'zai 己又何为哉
'ji'yu'cheng'bian'yi'ci'xing'zhi'shi'yu'ru 即欲乘便以此行之事语汝
'ji'yu'da'er'da'ren 己欲达而达人
'ji'yu'dong'yang'gu'jiu'shi 寄语东阳沽酒市
'ji'yu'jie'da'yi 既欲结大义
'ji'yu'kong'lin'yan'huo'chi 积雨空林烟火迟
'ji'yu'qi'sheng 既欲其生
'ji'yu'ren'er'mou'yu'tian 畸于人而侔于天
'ji'yu'ru'xiang'dui 及与汝相对
'ji'yu'ruo'tong'yi 既与若同矣
'ji'yu'sheng'ren 稽于圣人
'ji'yu'wang'chuan'zhuang'zuo 积雨辋川庄作
'ji'yu'xian'zou 几欲先走
'ji'yu'xiao'yao'rong'yu 寄语逍遥容与
'ji'yu'xing'huo 急于星火
'ji'yu'yan'cheng'guan'gong'sun'shi'wu'jian'qi 记于郾城观公孙氏舞剑器
'ji'yuan'wu'chi 箕圆五尺
'ji'yue'er'yi'ke'ye 期月而已可也
'ji'zai'jing'kan'zhi'zhong 及在穽槛之中
'ji'ze'ku'er'bu'ru 疾则苦而不入
'ji'zhe'fu'shi 饥者弗食
'ji'zhe'guo'ban'yi 饥者过半矣
'ji'zhe'yi'wei'shi 饥者易为食
'ji'zhen'zhi'mo'wei 季真之莫为
'ji'zhi'bo'le 及至伯乐
'ji'zhi'bu'ji'zhe'ye 际之不际者也
'ji'zhi'jin'men'yuan 既至金门远
'ji'zhi'ke'zhi 饥之渴之
'ji'zhi'ma'jiang'bai 稷之马将败
'ji'zhi'sheng'ren 及至圣人
'ji'zhi'shi'huang 及至始皇
'ji'zhi'tao'hua'kai'hou 及至桃花开后
'ji'zhi'xing'xiu'yi'xi'e 掎摭星宿遗羲娥
'ji'zhi'ye'wen 即之也温
'ji'zhi'yi'bu'ren'ren'zhi'zheng 继之以不忍人之政
'ji'zhi'yi'gui'ju'zhun'sheng 继之以规矩准绳
'ji'zhi'yi'li 祭之以礼
'ji'zhi'yi'liu'lv 继之以六律
'ji'zhi'yi'nu 继之以怒
'ji'zhi'yi'shen 疾之已甚
'ji'zhong'guo'zhi'zai'hai'nei'bu'si 计中国之在海内不似
'ji'zhong'jin'zi'lun'chang'hen 机中锦字论长恨
'ji'zhou'ba'dai'zheng'zhan'ba 继周八代争战罢
'ji'zhou'chang'yan 及骤尝焉
'ji'zhou'zhao'bo'zhi'gan'tang 即周召伯之甘棠
'ji'zhou'zhi'shen 及纣之身
'ji'zhu'zun'qian'xue 记著尊前雪
'ji'zi'cheng'yue 棘子成曰
'ji'zi'qi'you'jue 及兹契幽绝
'ji'zi'qu'shui'xi'qu'xue 即自取水洗去血
'ji'zi'ran'wen 季子然问
'ji'zi'wei'zhi'nu 箕子为之奴
'ji'zi'wen'er'chi'zhi 季子闻而耻之
'ji'zi'zheng'nian'shao 季子正年少
'ji'zi'zhi'de 计子之德
'ji'zui'ta'nan'ping 记醉踏南屏
'ji'zui'zhi'wang'jia 及罪至罔加
'ji'zun'dao'er'de'lu 既遵道而得路
'ji'zuo'sheng'du'shi'yi 寄左省杜拾遗
'jia'bi'zi'hui 家必自毁
'jia'bin'fu'man'tang 嘉宾复满堂
'jia'chang'che'ta'po 驾长车踏破
'jia'chao'fu'tuo'shen 加朝服拖绅
'jia'chu'jing'xu'xie'zhang'qu 佳处径须携杖去
'jia'dao'yu'ren 假道于仁
'jia'dao'yu'yu'yi'fa'guo 假道於虞以伐虢
'jia'de'qu'tang'jia 嫁得瞿塘贾
'jia'gu'bei'ming 笳鼓悲鸣
'jia'guang'xiang'ri'jin'lin'kai 甲光向日金鳞开
'jia'ji'wu'wang'gao'nai'weng 家祭无忘告乃翁
'jia'ji'wu'wang'gao'nai'weng 家祭毋忘告乃翁
'jia'jia'fu'de'zui'ren'gui 家家扶得醉人归
'jia'jie'you'chong'yang 佳节又重阳
'jia'jin'fang'yong'zhen'jin'du 假金方用真金镀
'jia'jing'wu'shi 佳景无时
'jia'liang'zhi'chuan 架梁之椽
'jia'lin'jiu'jiang'shui 家临九江水
'jia'ling'pu'fu'fa'shou'zhu 假令仆伏法受诛
'jia'mu'xiu'er'fan'yin 佳木秀而繁阴
'jia'qi'ru'meng 佳期如梦
'jia'qi'ying'wei'wu'xing'yun 佳期应未误行云
'jia'qing'jian'er'jie'zhi 贾请见而解之
'jia'ren'he'chu 佳人何处
'jia'ren'he'zai 佳人何在
'jia'ren'wan'li'chuan'xiao'xi 家人万里传消息
'jia'ren'wu'dian'jin'chai'liu 佳人舞点金钗溜
'jia'ren'wu'xiao'xi 佳人无消息
'jia'ren'zhong'yue'hai'qing'bie 佳人重约还轻别
'jia'ru'jian'kao'hu'diao'zu'zhi'shang 加汝肩尻乎雕俎之上
'jia'ru'zi'er'ai'fu'ren 嘉孺子而哀妇人
'jia'shan'er'jin'bu'neng 嘉善而矜不能
'jia'shi'guo'shi'tian'xia'shi'shi'shi'guan'xin 家事国事天下事事事关心
'jia'shi'kui'lian'han'yuan'shao 贾氏窥帘韩掾少
'jia'shu'dao'ge'nian 家书到隔年
'jia'shu'di'wan'jin 家书抵万金
'jia'tong'bi'yi'lei'ming 家童鼻已雷鸣
'jia'tong'sao'luo'jing 家童扫萝径
'jia'wo'shu'nian 加我数年
'jia'xin'mo'hen'xin 家信墨痕新
'jia'xuan'wei'lai 稼轩未来
'jia'yi'ding'zheng 加以订正
'jia'yi'fu'ren 哿矣富人
'jia'yi'shang'shu'you'han'shi 贾谊上书忧汉室
'jia'yi'ye'zhi'pian'zhou 驾一叶之扁舟
'jia'yin'mi'hao 佳音密耗
'jia'you'lao'yu 家有老妪
'jia'yu'ma'zhe 假舆马者
'jia'yu'nong'chao'er 嫁与弄潮儿
'jia'yu'yi'wu 假于异物
'jia'zai'ha'ma'ling'xia'zhu 家在虾蟆陵下住
'jia'zhi'ben'zai'shen 家之本在身
'jia'zhi'er'sheng'sheng'zhe 假之而生生者
'jia'zhi'jian'shang 加彘肩上
'jia'zhi'yi'shi'lv 加之以师旅
'jia'zhong'zhu'mu'jie'tong'wen 家中诸母皆通文
'jia'zhou'ji'zhe 假舟楫者
'jia'zhu'ceng'cheng'lin'han'yuan 家住层城邻汉苑
'jia'zhu'jiang'nan 家住江南
'jia'zhu'xi'qin 家住西秦
'jia'zuo'zhen'shi'zhen'yi'jia 假作真时真亦假
'jian'ai'wu'si 兼爱无私
'jian'an'mu'lan'hua 减安木兰花
'jian'ba'jiu'shan'zhong'jian 渐把旧衫重剪
'jian'bi'men'er'bu'chu 坚闭门而不出
'jian'bie'wang'shi'yi'nan'you 饯别王十一南游
'jian'bu'ke'yan 见不可焉
'jian'bu'shan'ru'tan'tang 见不善如探汤
'jian'bu'xian'er'nei'zi'xing'ye 见不贤而内自省也
'jian'che'wei'shang 渐车帷裳
'jian'da'mu'yan 见大木焉
'jian'dan'er'qiu 见弹而求
'jian'de'er'wang'xing 见得而忘形
'jian'de'fei'wu'tu 建德非吾土
'jian'de'ruo'tou 建德若偷
'jian'de'si'yi 见得思义
'jian'deng'shen'ye'yu 剪灯深夜语
'jian'di'shu'jing'xin 涧底束荆薪
'jian'du'er'hou'neng'wu'gu'jin 见独而后能无古今
'jian'duan'xin'shang'chou'hen 剪断心上愁痕
'jian'er'bu'ke'bu'ren'zhe 贱而不可不任者
'jian'er'dang'he'qiu 见尔当何秋
'jian'er'fei'ye 见而非也
'jian'fa'er'zhi 简发而栉
'jian'fu'tou'he'lei'juan 笺幅偷和泪卷
'jian'gao'yu'ding 肩高于顶
'jian'ge'ren'ren'fou 见个人人否
'jian'ge'zheng'rong'er'cui'wei 剑阁峥嵘而崔嵬
'jian'gong'duo'zhe 见功多者
'jian'gou'lou'zhe'cheng'tiao 见佝偻者承蜩
'jian'gu'neng'guang 俭故能广
'jian'gu'ren'yan 见辜人焉
'jian'guan'wu'li'nue'min'ke'yi'si 奸官污吏虐民可以死
'jian'guan'ying'yu'hua'di'hua 间关莺语花底滑
'jian'he'feng'ji'xue'pian'kuo 剑河风急雪片阔
'jian'he'hou'yue 监河侯曰
'jian'huai'wan'wu 兼怀万物
'jian'huang'di'er'wen'yan 见黄帝而问焉
'jian'ji'che'yue 见季彻曰
'jian'ji'wu'zi'si 兼寄吴子似
'jian'jian'ren'sheng'jue 渐渐人声绝
'jian'jian'xi'jian'po 渐见悉煎迫
'jian'jiang'tou'gu'ren 见江头故人
'jian'jiao'chang'shen'shi'wan'song 检校长身十万松
'jian'jiao'shan'yuan'shu'suo'jian 检校山园书所见
'jian'jie'you'mei 简洁优美
'jian'jin'han'zhi'bu'ken'qi 拣尽寒枝不肯栖
'jian'jin'xun'yi'zuo'ri'xiang 减尽荀衣昨日香
'jian'jing'suan'feng'she'yan 箭径酸风射眼
'jian'jiu'di'can'ge'shan'zi 溅酒滴残歌扇字
'jian'jiu'kong'jin 渐酒空金
'jian'jiu'ying'xin 饯旧迎新
'jian'jue'yi'ye'jing'qiu 渐觉一叶惊秋
'jian'kang'zhong'qiu'wei'lv'shu'qian'fu 建康中秋为吕叔潜赋
'jian'ke'sha'yan 见可杀焉
'jian'kong'du'lou 见空髑髅
'jian'kui'gui'jia'zi 兼愧贵家子
'jian'lan'chen'shi'yun'ran 渐懒趁时匀染
'jian'lao'ting'zhou'yan'ruo 渐老汀洲烟箬
'jian'le'hai'yi'jiu 见了还依旧
'jian'li'er'wang'qi'zhen 见利而忘其真
'jian'li'hua'chu'dai'ye'yue 见梨花初带夜月
'jian'li'she'shu 见栎社树
'jian'li'si'yi 见利思义
'jian'lu'ru'xian'wu'mi'jin 渐路入仙坞迷津
'jian'luan'er'qiu'shi'ye 见卵而求时夜
'jian'mai'shi'gu'ru'ru 贱卖市谷入汝
'jian'mei'yan'yi 剪梅烟驿
'jian'men'dao'zhong'yu'wei'yu 剑门道中遇微雨
'jian'meng'long'an'bi 渐蒙笼暗碧
'jian'mian'lian'qing'shou 见面怜清瘦
'jian'mian'zhe'yu'gu'zhe 见冕者与瞽者
'jian'ming'ze'chen'gou'bu'zhi 鉴明则尘垢不止
'jian'nan'ku'hen'fan'shuang'bin 艰难苦恨繁霜鬓
'jian'neng'er'ren'zhi 简能而任之
'jian'niu'wei'jian'yang'ye 见牛未见羊也
'jian'qi'er'zi'yan 见其二子焉
'jian'qi'li'er'zhi'qi'zheng 见其礼而知其政
'jian'qi'shuai'zhe 见齐衰者
'jian'qi'suo'zhi'er'xi 见其所知而喜
'jian'qi'yi'heng'qiu 剑气已横秋
'jian'qi'yu'xian'sheng'bing'xing'ye 见其与先生并行也
'jian'qian'shi'zhi'xing'shuai 鉴前世之兴衰
'jian'qiao'hu'wang 见巧乎王
'jian'ren'ru'gu 见人如故
'jian'ren'xiu'se'que'hui'tou 见人羞涩却回头
'jian'ren'zhi'tu'di 兼人之土地
'jian'ri'qi'shu'zhong 贱日岂殊众
'jian'ru'chou'shi'jie 渐入愁时节
'jian'ruo'mao'zhi'mei 见弱旄之美
'jian'shan'ru'bu'ji 见善如不及
'jian'shan'ze'qian 见善则迁
'jian'shi'fu'li'ji'xia'gui'di'mei 兼示符离及下邽弟妹
'jian'shi'hui'yan 见湿灰焉
'jian'shu'zhi'nen'wu'ping'ju 笺书直恁无凭据
'jian'shuang'feng'qi'jin 渐霜风凄紧
'jian'shuo'xin'chou 见说新愁
'jian'si'ren'zhe'er'xi'yi 见似人者而喜矣
'jian'sui'gu'ling'zhong 渐碎鼓零钟
'jian'suo'chang'jian'yu'guo'zhong'zhe'xi 见所尝见于国中者喜
'jian'tai'zong'shi'si'shu 谏太宗十思疏
'jian'tang'lang'zhi'bao'ying 见螳螂之抱影
'jian'ting'ze'ming 兼听则明
'jian'wai'hu'chuan'shou'ji'bei 剑外忽传收蓟北
'jian'wang'tian'xia'nan 兼忘天下难
'jian'wang'tian'xia'yi 兼忘天下易
'jian'wei'shou'ming 见危授命
'jian'wo'ying'ru'shi 见我应如是
'jian'wu'de'zhi 肩吾得之
'jian'wu'jian'kuang'jie'yu 肩吾见狂接舆
'jian'wu'wen'yu'lian'shu'yue 肩吾问于连叔曰
'jian'wu'wen'yu'sun'shu'ao'yue 肩吾问于孙叔敖曰
'jian'xian'ren'ruo'ci'qi'su'ye 见贤人若此其肃也
