'ai'jiang'nan'fu 哀江南赋
'wang'wei 王维
'wang'wu'zhi'sui'ji'qiong 亡吴之岁既穷
'wang'xuan'ping'zhi'gui'li 望宣平之贵里
'wang'zi'luo'bin'zhi'sui 王子洛滨之岁
'wei'bian'sheng'yu'huang'gai 未辨声于黄盖
'wei'bu'gan'xiang'fan 猥不敢相烦
'wei'jian'shao'niu'zhi'bing 未见烧牛之兵
'wei'jing'heng'zhi'qi'zi 谓荆衡之杞梓
'wei'jing'xie'zhi'mo'shi 畏井渫之莫食
'wei'ku'yu'zhi'xian'suo 惟枯鱼之衔索
'wei'nan'shan'zhi'yu 畏南山之雨
'wei'ri'yue'zhi'yu'mai'xi 惟日月之逾迈兮
'wei'shen'si'yu'wu'nan 未深思于五难
'wei'shui'guan'yu'tian'men 渭水贯于天门
'wei'yi'bei'ai'wei'zhu 惟以悲哀为主
'wen'ci'gao'yu'jia'guan 文词高于甲观
'wen'he'li'er'xin'jing 闻鹤唳而心惊
'wen'san'chuan'er'sui'kui 闻三川而遂窥
'wen'xian'ge'yu'xu'shi 闻弦歌于许史
'wen'xu'si'er'si'gui 温序死而思归
'wen'zhu'yin'hun'zhi'gui 问诸淫昏之鬼
'wo'di'zhu'er'qiu'an 卧砥柱而求安
'wo'diao'dou'yu'xing'yang 卧刁斗于荥阳
'wo'zhi'zhang'yu'cheng'zhou 我之掌庾承周
'wu'chu'qiu'sheng 无处求生
'wu'hu 呜呼
'wu'hu 无忽
'wu'ji'bu'fan 物极不反
'wu'jiu'ping'yang'zhi'huo 无救平阳之祸
'wu'jun'ze'xiong'di'xiang'bei 五郡则兄弟相悲
'wu'shi'nian'zhong 五十年中
'wu'yan'shi'zhi'wo'qiang 无燕师之卧墙
'wu'yu'yue'yin 吴歈越吟
'xi'huan'jun'shan'zhi'zhi'shi 昔桓君山之志事
'xi'jie'zhao'qiu 西接昭丘
'xi'jin'fu'yu 西赆浮玉
'xi'ma'yu'feng'huang'lou'zhu 系马于凤凰楼柱
'xi'ni'fu'zhi'zai'chen'xi 昔尼父之在陈兮
'xi'san'shi'er'wu'can 昔三世而无惭
'xi'tian'xia'zhi'yi'jia 惜天下之一家
'xi'zhan'bo'wang 西瞻博望
'xi'zhi'hu'ju'long'pan 昔之虎踞龙蟠
'xia'chen'cang'er'lian'nu 下陈仓而连弩
'xia'jiang'yu'cheng 下江馀城
'xia'kou'lan'kui'quan'zhi'zhu 夏口滥逵泉之诛
'xia'ting'piao'bo 下亭漂泊
'xian'chen'shi'de 先陈世德
'xian'neng'zi'xu 咸能自叙
'xian'yang'bu'yi 咸阳布衣
'xian'zi'shan'yu'san'duan 先自擅于三端
'xiang'bei'feng'er'kai'jin 向北风而开襟
'xiang'guan'shan'er'chang'tan 向关山而长叹
'xiang'ji'yong'jiang'dong'zhi'zi'di 项籍用江东之子弟
'xiao'ren'ze'jiang'ji'shui'huo 小人则将及水火
'xiao'ze'wei'xiao'wei'jing 小则为枭为獍
'xiao'zhan'yu'tang 校战玉堂
'xie'qing'zhang'zhi'tong'pu'xi 挟清漳之通浦兮
'xie'shou'fu'shi 携手赋诗
'xin'nian'shi'er'mao 信年始二毛
'xin'qi'chuang'yi'gan'fa'xi 心凄怆以感发兮
'xin'sheng'shi'deng'yu'long'men 信生世等于龙门
'xin'ye'you'sheng'ci'zhi'miao 新野有生祠之庙
'xing'gu'zhe'la 硎谷摺拉
'xing'han'fei'cheng'cha'ke'shang 星汉非乘槎可上
'xing'you'kan'yu'dou'niu 星犹看于斗牛
'xiong'di'san'ren 兄弟三人
'xiong'qi'shui'cao'zhi'xing 凶其水草之性
'xu'yang'ting'you'li'bie'zhi'fu 栩杨亭有离别之赋
'xue'an'ru'sha 雪暗如沙
'xun'jie'chu'er'xia'jiang'xi 循阶除而下降兮
'xun'zi'jian'yu'chun'shen 训子见于淳深
'yan'ge'yuan'bie 燕歌远别
'yan'peng'huo'zhi'huang'fei 掩蓬藿之荒扉
'yao'jing'ye'yun 妖精夜殒
'ye'can'ban'er'bu'mei'xi 夜参半而不寐兮
'ye'deng'hua'zi'gang 夜登华子冈
'ye'fu'qiu'yu'qun'shuai 冶父囚于群帅
'yi'ai'zi'er'tuo'ren 以爱子而托人
'yi'chun'shou'er'ci'qin 以鹑首而赐秦
'yi'dao'da'er'can'ce 意忉怛而惨恻
'yi'duan'wei'er'kai'wu 异端委而开吴
'yi'gong'yu'yu'nv'chuang'fei 倚弓于玉女窗扉
'yi'lin'he'er'yan'an 邑临河而晏安
'yi'qu'ju'zhi'chang'zhou 倚曲沮之长洲
'yi'sheng'ju'chang 义声俱倡
'yi'shi'gong'er'wei'zu 以世功而为族
'yi'tan'jiang'shu 移谈讲树
'yi'wu'jiang'er'bu'du 舣乌江而不渡
'yi'xian'chen'yu'du'hou 已先沉于杜侯
'yi'zhao'juan'jia'shan'yi'zhan'fa'ru'cao 一朝卷甲芟夷斩伐如草
'yin'li'cheng'bian 因利乘便
'yin'qi'liu'li'zhi'jiu 饮其琉璃之酒
'yin'tou'wei'qi 饮头为器
'yin'tuo'huang'bo'ren'wang 因驮黄檗人往
'ying'jun'liang'zha 营军梁溠
'yong'lang'wang'yu'huang'tu 拥狼望于黄图
'yong'lun'dao'er'dang'guan 用论道而当官
'yong'qi'pao'bo 勇气咆勃
'yong'wu'lai'zhi'zi'di 用无赖之子弟
'you'gui'yu'zhi'tan'yin 有归欤之叹音
'you'gui'zhi'hou 有妫之后
'you'jian'lei'zhi'jiang'si 游洊雷之讲肆
'you'nan'feng'zhi'bu'jing 有南风之不竞
'you'qi'jiang'zhi'bi'bi 有齐将之闭壁
'you'qu'wu'gui 有去无归
'you'shi'gu'shi'jiang'jun 犹是故时将军
'you'wu'qing'yu'lu'shi 又无情于禄仕
'you'xun'jiang'er'xi'liu 又循江而习流
'you'you'yun'tai'zhi'zhang 犹有云台之仗
'you'zao'shi'er'bei'qian 又遭时而北迁
'yu'ben'ju'yi'xiu'suo 驭奔驹以朽索
'yu'feng'chen'er'tian'cui 与风尘而殄瘁
'yu'huang'shi'shui 艅艎失水
'yu'lie'zu'yu'xi'jin 余烈祖于西晋
'yu'long'zhi'feng'feng'yu 鱼龙之逢风雨
'yu'nai'cuan'shen'huang'gu 余乃窜身荒谷
'yu'shan'seng'fan'qi'er'qu 与山僧饭讫而去
'yu'shi'chao'ye'huan'yu 于是朝野欢娱
'yu'shi'gui'lin'dian'fu 于是桂林颠覆
'yu'shi'wa'jie'bing'pan 于时瓦解冰泮
'yu'shi'xi'chu'ba'wang 于时西楚霸王
'yu'xin 庾信
'yu'yang'you'lv'zuo'shu'zu 渔阳有闾左戍卒
'yu'yue'shang'xia 与月上下
'yuan'an'zhi'mei'nian'wang'shi 袁安之每念王室
'yuan'shuang'xia'ling 冤霜夏零
'yuan'ye'qu'qi'wu'ren'xi 原野阒其无人兮
'yue'xie'feng'tai 月榭风台
'yue'yi'wu'chen'zhi'nian 粤以戊辰之年
'yun'meng'wei'you'zhi'di 云梦伪游之地
'yun'ti'ke'ju 云梯可拒
'zai'dan'zhen'chen 载诞贞臣
'zai'ge'tian'xia 宰割天下
'zai'heng'yi'gan'ge'wei'er'xi 宰衡以干戈为儿戏
'zai'shu'heng'jie 载书横阶
'zao'dong'nan'zhi'fan'qi 遭东南之反气
'zao'fen'zhuo'er'qian'shi'xi 遭纷浊而迁逝兮
'zha'feng'jing'er'she'huo 乍风惊而射火
'zhan'chi'you'yu'zhong'ji 斩蚩尤于中冀
'zhan'lu'qu'guo 湛卢去国
'zhan'zi'feng'di 沾渍锋镝
'zhang'hua'wang'ji'zhi'suo 章华望祭之所
'zhang'liao'lin'yu'chi'bi 张辽临于赤壁
'zhang'man'zhi'yi'gu'zou 章曼支以毂走
'zhang'ping'zi'jian'er'lou'zhi 张平子见而陋之
'zhe'bian'wang'shan'zhong 辄便往山中
'zhen'bei'zhi'fu'yu'jin'qian 镇北之负誉矜前
'zhen'feng'xi'hai'gu 贞风兮害蛊
'zheng'fu'xing'er'wei'xi 征夫行而未息
'zheng'hui'di'zhou 争回地轴
'zhi'bai'nian'er'wei'rong'yi 知百年而为戎矣
'zhi'gao'yuan'ye 脂膏原野
'zhi'hong'guan'lei 直虹贯垒
'zhi'jin'gu'er'wen'zei'chen 执金鼓而问贼臣
'zhi'nai'men'zhi'zheng'shui 值耏门之征税
'zhi'tian'xia'zhi'wu'wei 值天下之无为
'zhi'wu'ma'zhi'nan'ben 值五马之南奔
'zhi'xi'lin'zhi'ze'yan 值西邻之责言
'zhi'xi'ling'er'shui'wang 知西陵而谁望
'zhi'yu'mu'chi 至于暮齿
'zhi'zhi'he'wan 知之何晚
'zhong'bu'yue'yu'ren'ren 终不悦于仁人
'zhong'cai'yi'lv 众才一旅
'zhong'chen'jie'gu 忠臣解骨
'zhong'neng'si'jie 忠能死节
'zhong'shi'yao'cheng'zhi'bian 终视尧城之变
'zhong'xing'dao'xiao 中兴道销
'zhong'xing'zhi'zong'bu'si 中兴之宗不祀
'zhong'yi'jun'zi 钟仪君子
'zhong'yi'you'er'chu'zou'xi 钟仪幽而楚奏兮
'zhong'yu'ci'mie 终于此灭
'zhong'yu'san'bai'nian'hu 终于三百年乎
'zhong'ze'shan'cheng'wang'ren 终则山称枉人
'zhong'zong'zhi'yi'xiong'jing'luan 中宗之夷凶靖乱
'zhou'han'zheng'nu 周含郑怒
'zhou'luo'yu'men 胄落鱼门
'zhu'hou'ze'zheng'bo'qian'qu 诸侯则郑伯前驱
'zhu'hou'zhi'xin'yao'yi 诸侯之心摇矣
'zhu'mao'song'yu'zhi'zhai 诛茅宋玉之宅
'zhu'ran'xiang'fei'zhi'lei 竹染湘妃之泪
'zhu'ru'chen'si 主辱臣死
'zhu'ze'jia'feng'qian'hu 竹则家封千户
'zhuang'shi'bu'hai 壮士不还
'zhuang'xi'xian'er'yue'yin 庄舄显而越吟
'zhuang'yu'du'yuan'kai 壮于杜元凯
'zhui'wei'ci'fu 追为此赋
'zi'mian'yi'luan 淄渑一乱
'zi'ran'liu'ti 自然流涕
'zu'xia'fang'wen'jing 足下方温经
