'an'jian'bu'men 安监部门
'dui'she'ji'bei'jian'cha'dan'wei'de'ji'shu'mi'mi'he'ye'wu'mi'mi'ying'dang'wei'qi'bao'mi 对涉及被检查单位的技术秘密和业务秘密应当为其保密
'dui'she'xian'fan'zui'de'ying'dang'yi'fa'li'an'zhen'cha 对涉嫌犯罪的应当依法立案侦查
'dui'sheng'chan'an'quan'shi'gu'yin'man'bu'bao'huang'bao'huo'zhe'tuo'yan'bu'bao'de 对生产安全事故隐瞒不报谎报或者拖延不报的
'dui'sheng'chan'jing'ying'dan'wei'de'zhu'yao'fu'ze'ren'ge'ren'jing'ying'de'tou'zi'ren'chu'er'wan'yuan'yi'shang'shi'wan'yuan'yi'xia'de'fa'kuan 对生产经营单位的主要负责人个人经营的投资人处二万元以上十万元以下的罚款
'dui'sheng'chan'jing'ying'dan'wei'de'zhu'yao'fu'ze'ren'gei'yu'che'zhi'chu'fen 对生产经营单位的主要负责人给予撤职处分
'dui'shi'gu'bao'gao'he'diao'cha'chu'li'zhong'de'wei'fa'xing'wei 对事故报告和调查处理中的违法行为
'dui'shi'gu'diao'cha'gong'zuo'bu'fu'ze'ren 对事故调查工作不负责任
'dui'shi'gu'fa'sheng'dan'wei'chu'yi'bai'wan'yuan'yi'shang'wu'bai'wan'yuan'yi'xia'de'fa'kuan 对事故发生单位处一百万元以上五百万元以下的罚款
'dui'shi'gu'fa'sheng'dan'wei'fu'you'shi'gu'ze'ren'de'you'guan'ren'yuan 对事故发生单位负有事故责任的有关人员
'dui'shi'gu'fa'sheng'dan'wei'he'you'guan'ren'yuan'jin'xing'xing'zheng'chu'fa 对事故发生单位和有关人员进行行政处罚
'dui'shi'gu'qing'kuang'bu'de'yin'man'bu'bao'huang'bao'huo'zhe'tuo'yan'bu'bao 对事故情况不得隐瞒不报谎报或者拖延不报
'dui'tao'ni'de'chu'shi'wu'ri'yi'xia'ju'liu 对逃匿的处十五日以下拘留
'dui'wei'yi'fa'qu'de'pi'zhun'huo'zhe'yan'shou'he'ge'de'dan'wei'shan'zi'cong'shi'you'guan'huo'dong'de 对未依法取得批准或者验收合格的单位擅自从事有关活动的
'dui'yi'fa'ying'dang'ji'yu'xing'zheng'chu'fa'de'xing'wei 对依法应当给予行政处罚的行为
'dui'yi'jing'yi'fa'qu'de'pi'zhun'de'dan'wei 对已经依法取得批准的单位
'dui'yi'jing'yi'fa'qu'de'pi'zhun'de'dan'wei'bu'lv'xing'jian'du'guan'li'zhi'ze 对已经依法取得批准的单位不履行监督管理职责
'dui'you'gen'ju'ren'wei'bu'fu'he'bao'zhang'an'quan'sheng'chan'de'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'de 对有根据认为不符合保障安全生产的国家标准或者行业标准的
'dui'you'guan'de'an'quan'sheng'chan'gong'zuo'shi'shi'jian'du'guan'li 对有关的安全生产工作实施监督管理
'dui'you'qian'kuan'wei'fa'xing'wei'de'ji'gou'che'xiao'qi'xiang'ying'zi'ge 对有前款违法行为的机构撤销其相应资格
'dui'you'shi'zhi'du'zhi'xing'wei'de 对有失职渎职行为的
'dui'zhi'jie'fu'ze'de'zhu'guan'ren'yuan 对直接负责的主管人员
'dui'zhi'jie'fu'ze'de'zhu'guan'ren'yuan'he'qi'ta'zhi'jie'ze'ren'ren'yuan'yi'fa'ji'yu'chu'fen 对直接负责的主管人员和其他直接责任人员依法给予处分
'dui'zhong'da'wei'xian'yuan'wei'deng'ji'jian'dang'huo'zhe'wei'jin'xing'ping'gu'jian'kong'huo'zhe'wei'zhi'ding'ying'ji'yu'an'de 对重大危险源未登记建档或者未进行评估监控或者未制定应急预案的
'dui'zhu'yao'fu'ze'ren'zhi'jie'fu'ze'de'zhu'guan'ren'yuan'he'qi'ta'zhi'jie'ze'ren'ren'yuan 对主要负责人直接负责的主管人员和其他直接责任人员
'duo'ge'cheng'bao'dan'wei 多个承包单位
'er'qi'nian'san'yue'er'shi'ba'ri'guo'wu'yuan'di'yi'qi'er'ci'chang'wu'hui'yi'tong'guo 二七年三月二十八日国务院第一七二次常务会议通过
'fa'bao 发包
'fa'bao'huo'zhe'chu'zu'gei'bu'ju'bei'an'quan'sheng'chan'tiao'jian'huo'zhe'xiang'ying'zi'zhi'de'dan'wei'huo'zhe'ge'ren 发包或者出租给不具备安全生产条件或者相应资质的单位或者个人
'fa'lv 法律
'fa'lv'fa'gui 法律法规
'fa'lv'xing'zheng'fa'gui'dui'xing'zheng'chu'fa'de'zhong'lei'fu'du'he'jue'ding'ji'guan'ling'you'gui'ding'de 法律行政法规对行政处罚的种类幅度和决定机关另有规定的
'fa'lv'ze'ren 法律责任
'fa'sheng'bian'hua 发生变化
'fa'sheng'de'shi'gu'de'bao'gao'he'diao'cha'chu'li 发生的事故的报告和调查处理
'fa'sheng'jiao'da'shi'gu'de'chu'er'shi'wan'yuan'yi'shang'wu'shi'wan'yuan'yi'xia'de'fa'kuan 发生较大事故的处二十万元以上五十万元以下的罚款
'fa'sheng'jiao'da'shi'gu'de'chu'shang'yi'nian'nian'shou'ru'si'shi'de'fa'kuan 发生较大事故的处上一年年收入四十的罚款
'fa'sheng'jing'guo 发生经过
'fa'sheng'sheng'chan'an'quan'shi'gu 发生生产安全事故
'fa'sheng'te'bie'zhong'da'shi'gu'de'chu'er'bai'wan'yuan'yi'shang'wu'bai'wan'yuan'yi'xia'de'fa'kuan 发生特别重大事故的处二百万元以上五百万元以下的罚款
'fa'sheng'te'bie'zhong'da'shi'gu'de'chu'shang'yi'nian'nian'shou'ru'ba'shi'de'fa'kuan 发生特别重大事故的处上一年年收入八十的罚款
'fa'sheng'yi'ban'shi'gu'de'chu'shang'yi'nian'nian'shou'ru'san'shi'de'fa'kuan 发生一般事故的处上一年年收入三十的罚款
'fa'sheng'yi'ban'shi'gu'de'chu'shi'wan'yuan'yi'shang'er'shi'wan'yuan'yi'xia'de'fa'kuan 发生一般事故的处十万元以上二十万元以下的罚款
'fa'sheng'yuan'yin 发生原因
'fa'sheng'zhong'da'sheng'chan'an'quan'shi'gu 发生重大生产安全事故
'fa'sheng'zhong'da'sheng'chan'an'quan'shi'gu'shi'dan'wei'de'zhu'yao'fu'ze'ren'ying'dang'li'ji'zu'zhi'qiang'jiu 发生重大生产安全事故时单位的主要负责人应当立即组织抢救
'fa'sheng'zhong'da'shi'gu'de'chu'shang'yi'nian'nian'shou'ru'liu'shi'de'fa'kuan 发生重大事故的处上一年年收入六十的罚款
'fa'sheng'zhong'da'shi'gu'de'chu'wu'shi'wan'yuan'yi'shang'er'bai'wan'yuan'yi'xia'de'fa'kuan 发生重大事故的处五十万元以上二百万元以下的罚款
'fa'xian'an'quan'sheng'chan'wei'fa'xing'wei'bu'yu'cha'chu 发现安全生产违法行为不予查处
'fa'xian'cun'zai'de'an'quan'wen'ti'ying'dang'you'qi'ta'you'guan'bu'men'jin'xing'chu'li'de 发现存在的安全问题应当由其他有关部门进行处理的
'fa'xian'de'wen'ti'ji'qi'chu'li'qing'kuang'zuo'chu'shu'mian'ji'lu 发现的问题及其处理情况作出书面记录
'fa'xian'huo'zhe'jie'dao'ju'bao 发现或者接到举报
'fa'xian'qi'bu'zai'ju'bei'an'quan'sheng'chan'tiao'jian'er'bu'che'xiao'yuan'pi'zhun'huo'zhe'fa'xian'an'quan'sheng'chan'wei'fa'xing'wei'bu'yu'cha'chu'de 发现其不再具备安全生产条件而不撤销原批准或者发现安全生产违法行为不予查处的
'fa'xian'qi'suo'zai'qu'yu'nei'de'sheng'chan'jing'ying'dan'wei'cun'zai'shi'gu'yin'huan'huo'zhe'an'quan'sheng'chan'wei'fa'xing'wei'shi 发现其所在区域内的生产经营单位存在事故隐患或者安全生产违法行为时
'fa'xian'sheng'chan'jing'ying'dan'wei'wei'zhang'zhi'hui'qiang'ling'mao'xian'zuo'ye'huo'zhe'fa'xian'shi'gu'yin'huan'shi 发现生产经营单位违章指挥强令冒险作业或者发现事故隐患时
'fa'xian'shi'gu'yin'huan 发现事故隐患
'fa'xian'shi'gu'yin'huan'huo'zhe'qi'ta'bu'an'quan'yin'su 发现事故隐患或者其他不安全因素
'fa'xian'shi'gu'yin'huan'ying'dang'ji'shi'chu'li 发现事故隐患应当及时处理
'fa'xian'wei'ji'cong'ye'ren'yuan'sheng'ming'an'quan'de'qing'kuang'shi'you'quan'xiang'sheng'chan'jing'ying'dan'wei'jian'yi 发现危及从业人员生命安全的情况时有权向生产经营单位建议
'fa'xian'wei'yi'fa'qu'de'pi'zhun'yan'shou'de'dan'wei 发现未依法取得批准验收的单位
'fan'zui'xian'yi'ren'tao'ni 犯罪嫌疑人逃匿
'fan'zui'xian'yi'ren'tao'ni'de'gong'an'ji'guan'ying'dang'xun'su'zhui'bu'gui'an 犯罪嫌疑人逃匿的公安机关应当迅速追捕归案
'fang'fan'cuo'shi 防范措施
'fang'fan'he'zheng'gai'cuo'shi 防范和整改措施
'fang'fan'he'zheng'gai'cuo'shi'de'luo'shi'qing'kuang'ying'dang'jie'shou'gong'hui'he'zhi'gong'de'jian'du 防范和整改措施的落实情况应当接受工会和职工的监督
'fang'ke'hui'fu'sheng'chan'jing'ying'he'shi'yong 方可恢复生产经营和使用
'fang'ke'tou'ru'shi'yong 方可投入使用
'fang'she'xing'wu'pin 放射性物品
'fang'zhi'he'jian'shao'sheng'chan'an'quan'shi'gu 防止和减少生产安全事故
'fang'zhi'sheng'chan'an'quan'shi'gu 防止生产安全事故
'fang'zhi'shi'gu 防止事故
'fang'zhi'shi'gu'kuo'da 防止事故扩大
'fang'zhi'shi'gu'zai'ci'fa'sheng 防止事故再次发生
'fang'zhi'zhi'ye'wei'hai 防止职业危害
'fang'zhi'zhi'ye'wei'hai'de'shi'xiang 防止职业危害的事项
'fen'bie'jin'xing'jian'cha 分别进行检查
'fen'bie'you'shi'gu'fa'sheng'di 分别由事故发生地
'feng'bi'du'se 封闭堵塞
'feng'bi'du'se'sheng'chan'jing'ying'chang'suo'huo'zhe'yuan'gong'su'she'chu'kou 封闭堵塞生产经营场所或者员工宿舍出口
'fu'cong'guan'li 服从管理
'fu'cong'guan'li'zheng'que'pei'dai'he'shi'yong'lao'dong'fang'hu'yong'pin 服从管理正确佩戴和使用劳动防护用品
'fu'he'guo'jia'biao'zhun 符合国家标准
'fu'ju 附具
'fu'yin'jian 复印件
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men 负有安全生产监督管理职责的部门
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'de'gong'zuo'ren'yuan 负有安全生产监督管理职责的部门的工作人员
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'de'jian'du'jian'cha'ren'yuan 负有安全生产监督管理职责的部门的监督检查人员
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'dui'she'ji'an'quan'sheng'chan'de'shi'xiang'jin'xing'shen'cha'yan'shou'bu'de'shou'qu'fei'yong 负有安全生产监督管理职责的部门对涉及安全生产的事项进行审查验收不得收取费用
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'he'you'guan'di'fang'ren'min'zheng'fu 负有安全生产监督管理职责的部门和有关地方人民政府
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'jie'dao'shi'gu'bao'gao'hou 负有安全生产监督管理职责的部门接到事故报告后
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'ying'dang'jian'li'ju'bao'zhi'du 负有安全生产监督管理职责的部门应当建立举报制度
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'zai'jian'du'jian'cha'zhong'ying'dang'hu'xiang'pei'he'shi'xing'lian'he'jian'cha 负有安全生产监督管理职责的部门在监督检查中应当互相配合实行联合检查
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'you'guan'bu'men 负有安全生产监督管理职责的有关部门
'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'you'guan'bu'men'bao'gao 负有安全生产监督管理职责的有关部门报告
'fu'you'shen'cha'pi'zhun'he'jian'du'zhi'ze 负有审查批准和监督职责
'fu'you'shi'gu'ze'ren'de'guo'jia'gong'zuo'ren'yuan 负有事故责任的国家工作人员
'fu'you'shi'gu'ze'ren'de'ren'yuan'she'xian'fan'zui'de'yi'fa'zhui'jiu'xing'shi'ze'ren 负有事故责任的人员涉嫌犯罪的依法追究刑事责任
'fu'you'shi'gu'ze'ren'de'you'guan'ren'yuan 负有事故责任的有关人员
'fu'ze 附则
'fu'ze'an'quan'sheng'chan'jian'du'guan'li'de'bu'men 负责安全生产监督管理的部门
'fu'ze'diao'cha 负责调查
'fu'ze'ren'qian'zi 负责人签字
'fu'ze'ren'tao'ni 负责人逃匿
'fu'ze'shi'gu'diao'cha'de'ren'min'zheng'fu 负责事故调查的人民政府
'fu'ze'xing'zheng'shen'pi'de'bu'men 负责行政审批的部门
'fu'ze'xing'zheng'shen'pi'de'bu'men'fa'xian'huo'zhe'jie'dao'ju'bao'hou'ying'dang'li'ji'yu'yi'qu'di'bing'yi'fa'yu'yi'chu'li 负责行政审批的部门发现或者接到举报后应当立即予以取缔并依法予以处理
'fu'ze'xing'zheng'shen'pi'de'bu'men'fa'xian'qi'bu'zai'ju'bei'an'quan'sheng'chan'tiao'jian'de'ying'dang'che'xiao'yuan'pi'zhun 负责行政审批的部门发现其不再具备安全生产条件的应当撤销原批准
'gai'shan'an'quan'sheng'chan'tiao'jian 改善安全生产条件
'gai'xie'yi'wu'xiao 该协议无效
'gai'zao 改造
'gan'she 干涉
'gan'she'dui'shi'gu'de'yi'fa'diao'cha'chu'li 干涉对事故的依法调查处理
'gang'wei'zheng'shu 岗位证书
'gao'zhi'cong'ye'ren'yuan'he'xiang'guan'ren'yuan'zai'jin'ji'qing'kuang'xia'ying'dang'cai'qu'de'ying'ji'cuo'shi 告知从业人员和相关人员在紧急情况下应当采取的应急措施
'ge'ren'jing'ying 个人经营
'ge'ren'jing'ying'de'tou'zi'ren 个人经营的投资人
'ge'ren'jing'ying'tou'zi'ren 个人经营投资人
'ge'zi'de'an'quan'sheng'chan'guan'li'zhi'ze 各自的安全生产管理职责
'gei'ta'ren'zao'cheng'sun'hai 给他人造成损害
'gei'ta'ren'zao'cheng'sun'hai'de'yu'sheng'chan'jing'ying'dan'wei'cheng'dan'lian'dai'pei'chang'ze'ren 给他人造成损害的与生产经营单位承担连带赔偿责任
'gei'yu'che'zhi'chu'fen 给予撤职处分
'gei'yu'jiang'ji'che'zhi 给予降级撤职
'gei'yu'jiang'ji'huo'zhe'che'zhi'de'xing'zheng'chu'fen 给予降级或者撤职的行政处分
'gei'yu'jiang'li 给予奖励
'gei'yu'jiang'zhi'che'zhi'de'chu'fen 给予降职撤职的处分
'gei'yu'ju'liu'de'xing'zheng'chu'fa'you'gong'an'ji'guan'yi'zhao'zhi'an'guan'li'chu'fa'tiao'li'de'gui'ding'jue'ding 给予拘留的行政处罚由公安机关依照治安管理处罚条例的规定决定
'gei'yu'xing'zheng'chu'fa 给予行政处罚
'gei'yu'zu'e'pei'chang 给予足额赔偿
'gen'ju'ben'dan'wei'de'sheng'chan'jing'ying'te'dian 根据本单位的生产经营特点
'gen'ju'ben'xing'zheng'qu'yu'nei 根据本行政区域内
'gen'ju'sheng'chan'an'quan'shi'gu'zao'cheng'de'ren'yuan'shang'wang'huo'zhe'zhi'jie'jing'ji'sun'shi 根据生产安全事故造成的人员伤亡或者直接经济损失
'gen'ju'shi'gu'de'ju'ti'qing'kuang 根据事故的具体情况
'gen'ju'zhong'hua'ren'min'gong'he'guo'an'quan'sheng'chan'fa'he'you'guan'fa'lv'zhi'ding'ben'tiao'li 根据中华人民共和国安全生产法和有关法律制定本条例
'gong'an'ji'guan 公安机关
'gong'bu'shi'xing 公布施行
'gong'bu'zhi'ban'dian'hua 公布值班电话
'gong'cheng'ji'shu'ren'yuan 工程技术人员
'gong'cheng'zhi'liang 工程质量
'gong'hui 工会
'gong'hui'dui'sheng'chan'jing'ying'dan'wei'wei'fan'an'quan'sheng'chan'fa'lv'fa'gui'qin'fan'cong'ye'ren'yuan'he'fa'quan'yi'de'xing'wei 工会对生产经营单位违反安全生产法律法规侵犯从业人员合法权益的行为
'gong'hui'yi'fa'can'jia'shi'gu'diao'cha'chu'li'you'quan'xiang'you'guan'bu'men'ti'chu'chu'li'yi'jian 工会依法参加事故调查处理有权向有关部门提出处理意见
'gong'hui'yi'fa'zu'zhi'zhi'gong'can'jia'ben'dan'wei'an'quan'sheng'chan'gong'zuo'de'min'zhu'guan'li'he'min'zhu'jian'du 工会依法组织职工参加本单位安全生产工作的民主管理和民主监督
'gong'hui'you'quan'dui'jian'she'xiang'mu'de'an'quan'she'shi'yu'zhu'ti'gong'cheng'san'tong'shi'tou'ru'sheng'chan'he'shi'yong'jin'xing'jian'du'ti'chu'yi'jian 工会有权对建设项目的安全设施与主体工程三同时投入生产和使用进行监督提出意见
'gong'hui'you'quan'yi'fa'can'jia'shi'gu'diao'cha'xiang'you'guan'bu'men'ti'chu'chu'li'yi'jian'bing'yao'qiu'zhui'jiu'you'guan'ren'yuan'de'ze'ren 工会有权依法参加事故调查向有关部门提出处理意见并要求追究有关人员的责任
'gong'kai'ju'bao'dian'hua'xin'xiang'huo'zhe'dian'zi'you'jian'di'zhi 公开举报电话信箱或者电子邮件地址
'gong'shang'she'hui'bao'xian 工伤社会保险
'gong'yi'she'bei 工艺设备
'gong'zi'fu'li 工资福利
'gong'zuo'gang'wei 工作岗位
'gong'zuo'ji'gou 工作机构
'gou'cheng'fan'zui 构成犯罪
'gou'cheng'fan'zui'de 构成犯罪的
'gou'cheng'fan'zui'de'yi'fa'zhui'jiu'xing'shi'ze'ren 构成犯罪的依法追究刑事责任
'gou'cheng'fan'zui'de'yi'zhao'xing'fa'you'guan'gui'ding'zhui'jiu'xing'shi'ze'ren 构成犯罪的依照刑法有关规定追究刑事责任
'gou'cheng'wei'fan'zhi'an'guan'li'xing'wei'de 构成违反治安管理行为的
'gou'mai'qi'zhi'ding'de'an'quan'she'bei'qi'cai'huo'zhe'qi'ta'chan'pin 购买其指定的安全设备器材或者其他产品
'gou'mai'qi'zhi'ding'pin'pai 购买其指定品牌
'gou'mai'qi'zhi'ding'pin'pai'huo'zhe'zhi'ding'sheng'chan'xiao'shou'dan'wei'de'an'quan'she'bei'qi'cai'huo'zhe'qi'ta'chan'pin 购买其指定品牌或者指定生产销售单位的安全设备器材或者其他产品
'gu'yi'po'huai 故意破坏
'gu'yi'po'huai'shi'gu'xian'chang 故意破坏事故现场
'gu'yi'tuo'yan 故意拖延
'gu'yi'tuo'yan'huo'zhe'ju'jue'luo'shi'jing'pi'fu'de'dui'shi'gu'ze'ren'ren'de'chu'li'yi'jian'de 故意拖延或者拒绝落实经批复的对事故责任人的处理意见的
'guang'bo'dian'ying'dian'shi 广播电影电视
'gui'dang'bao'cun 归档保存
'gui'fan'sheng'chan'an'quan'shi'gu'de'bao'gao'he'diao'cha'chu'li 规范生产安全事故的报告和调查处理
'gui'mo'jiao'xiao 规模较小
'gui'zhang'zhi'du 规章制度
'guo'fang'ke'yan'sheng'chan'shi'gu 国防科研生产事故
'guo'jia'biao'zhun 国家标准
'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'de'qing'kuang'jin'xing'jian'du'jian'cha'xing'shi'yi'xia'zhi'quan 国家标准或者行业标准的情况进行监督检查行使以下职权
'guo'jia'dui'yan'zhong'wei'ji'sheng'chan'an'quan'de'gong'yi'she'bei'shi'xing'tao'tai'zhi'du 国家对严重危及生产安全的工艺设备实行淘汰制度
'guo'jia'gong'zuo'ren'yuan 国家工作人员
'guo'jia'ji'guan 国家机关
'guo'jia'ji'guan'shi'ye'dan'wei'ren'min'tuan'ti'fa'sheng'de'shi'gu'de'bao'gao'he'diao'cha'chu'li 国家机关事业单位人民团体发生的事故的报告和调查处理
'guo'jia'ming'ling'tao'tai 国家明令淘汰
'guo'wu'yuan'an'quan'sheng'chan'jian'du'guan'li'bu'men 国务院安全生产监督管理部门
'guo'wu'yuan'an'quan'sheng'chan'jian'du'guan'li'bu'men'he'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'you'guan'bu'men 国务院安全生产监督管理部门和负有安全生产监督管理职责的有关部门
'guo'wu'yuan'huo'zhe'you'guan'di'fang'ren'min'zheng'fu'ren'wei'xu'yao'diao'cha'chu'li'de 国务院或者有关地方人民政府认为需要调查处理的
'guo'wu'yuan'yi'jiu'ba'jiu'nian'san'yue'er'shi'jiu'ri'gong'bu'de'te'bie'zhong'da'shi'gu'diao'cha'cheng'xu'zan'xing'gui'ding 国务院一九八九年三月二十九日公布的特别重大事故调查程序暂行规定
'guo'wu'yuan'you'guan'bu'men 国务院有关部门
'guo'wu'yuan'zhi'ding 国务院制定
'hai'ying'dang'cha'ming'dui'an'quan'sheng'chan'de'you'guan'shi'xiang'fu'you'shen'cha'pi'zhun'he'jian'du'zhi'ze'de'xing'zheng'bu'men'de'ze'ren 还应当查明对安全生产的有关事项负有审查批准和监督职责的行政部门的责任
'hang'ye'biao'zhun 行业标准
'he'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'you'guan'bu'men 和负有安全生产监督管理职责的有关部门
'he'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'you'guan'bu'men'bao'gao 和负有安全生产监督管理职责的有关部门报告
'he'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun'gui'ding'de'an'quan'sheng'chan'tiao'jian 和国家标准或者行业标准规定的安全生产条件
'he'she'shi'shi'gu 核设施事故
'he'zhun 核准
'hen'ji 痕迹
'hu'tong'qing'kuang 互通情况
'hu'xiang'pei'he 互相配合
'hu'zhi'gong'zai'an'quan'sheng'chan'fang'mian'de'he'fa'quan'yi 护职工在安全生产方面的合法权益
'huan'jing'wu'ran'shi'gu 环境污染事故
'huang'bao 谎报
'huang'bao'huo'zhe'man'bao'shi'gu'de 谎报或者瞒报事故的
'hui'mie'xiang'guan'zheng'ju 毁灭相关证据
'hui'mie'you'guan'zheng'ju 毁灭有关证据
'hui'mie'zheng'ju 毁灭证据
'hui'zhi 绘制
'hui'zhi'xian'chang'jian'tu 绘制现场简图
'huo'de'pei'chang'de'quan'li 获得赔偿的权利
'huo'zai'shi'gu 火灾事故
'huo'zhe 或者
'huo'zhe'qi'shou'quan'de'you'guan'bu'men'ji'gou'xiang'she'hui'gong'bu 或者其授权的有关部门机构向社会公布
'huo'zhe'shou'chu'fen'zhi'ri'qi'wu'nian'nei'bu'de'dan'ren'ren'he'sheng'chan'jing'ying'dan'wei'de'zhu'yao'fu'ze'ren 或者受处分之日起五年内不得担任任何生产经营单位的主要负责人
'huo'zhe'wei'dui'cheng'bao'dan'wei'cheng'zu'dan'wei'de'an'quan'sheng'chan'tong'yi'xie'tiao'guan'li'de 或者未对承包单位承租单位的安全生产统一协调管理的
'huo'zhe'wei'zai'cheng'bao'he'tong'zu'lin'he'tong'zhong'ming'que'ge'zi'de'an'quan'sheng'chan'guan'li'zhi'ze 或者未在承包合同租赁合同中明确各自的安全生产管理职责
'huo'zhe'zai'cheng'bao'he'tong'zu'lin'he'tong'zhong'yue'ding'ge'zi'de'an'quan'sheng'chan'guan'li'zhi'ze 或者在承包合同租赁合同中约定各自的安全生产管理职责
'ji'gao'jie'shu 即告结束
'ji'lu'zai'an 记录在案
'ji'shi 及时
'ji'shi'bao'gao 及时报告
'ji'shi'bao'song 及时报送
'ji'shi'ru'shi'bao'gao'sheng'chan'an'quan'shi'gu 及时如实报告生产安全事故
'ji'shi'xiao'chu'sheng'chan'an'quan'shi'gu'yin'huan 及时消除生产安全事故隐患
'ji'shi'yan'jiu'da'fu 及时研究答复
'ji'shi'yi'song 及时移送
'ji'shi'yu'yi'chu'li 及时予以处理
'ji'shi'yu'yi'xie'tiao'jie'jue 及时予以协调解决
'ji'shi'zhun'que 及时准确
'ji'shi'zhun'que'de'cha'qing 及时准确地查清
'ji'shi'zhun'que'de'cha'qing'shi'gu'yuan'yin 及时准确地查清事故原因
'ji'shi'zhun'que'de'wan'cheng'shi'gu'diao'cha'chu'li'gong'zuo 及时准确地完成事故调查处理工作
'ji'shu'jian'ding 技术鉴定
'ji'shu'jian'ding'suo'xu'shi'jian'bu'ji'ru'shi'gu'diao'cha'qi'xian 技术鉴定所需时间不计入事故调查期限
'ji'shu'mi'mi 技术秘密
'ji'xing'gong'ye'zhong'du 急性工业中毒
'ji'xu'lv'xing 继续履行
'ji'yu'chu'fen 给予处分
'jia'qiang'an'quan'sheng'chan'guan'li 加强安全生产管理
'jia'qiang'dui'you'guan'an'quan'sheng'chan'de'fa'lv'fa'gui'he'an'quan'sheng'chan'zhi'shi'de'xuan'chuan 加强对有关安全生产的法律法规和安全生产知识的宣传
'jian'ce 检测
'jian'ce'gai'zao 检测改造
'jian'ce'he'ge 检测合格
'jian'ce'jian'yan'he'ge 检测检验合格
'jian'ce'jian'yan'ji'gou'dui'jian'ce'jian'yan'jie'guo'fu'ze 检测检验机构对检测检验结果负责
'jian'cha'de'shi'jian'de'dian'nei'rong 检查的时间地点内容
'jian'cha'ji'chu'li 检查及处理
'jian'cha'ji'chu'li'qing'kuang 检查及处理情况
'jian'cha'ji'chu'li'qing'kuang'ying'dang'ji'lu'zai'an 检查及处理情况应当记录在案
'jian'cha'ji'guan 监察机关
'jian'cha'ji'guan'gong'an'ji'guan'yi'ji'gong'hui'pai'ren'zu'cheng 监察机关公安机关以及工会派人组成
'jian'cha'ji'guan'yi'zhao'xing'zheng'jian'cha'fa'de'gui'ding 监察机关依照行政监察法的规定
'jian'cha'zhong'fa'xian 检查中发现
'jian'chi'an'quan'di'yi'yu'fang'wei'zhu'de'fang'zhen 坚持安全第一预防为主的方针
'jian'chi'yuan'ze 坚持原则
'jian'du'jian'cha 监督检查
'jian'du'jian'cha'bu'de'ying'xiang'bei'jian'cha'dan'wei'de'zheng'chang'sheng'chan'jing'ying'huo'dong 监督检查不得影响被检查单位的正常生产经营活动
'jian'du'jiao'yu 监督教育
'jian'du'jiao'yu'cong'ye'ren'yuan'an'zhao'shi'yong'gui'ze'pei'dai'shi'yong 监督教育从业人员按照使用规则佩戴使用
'jian'du'zhi'fa'zheng'jian 监督执法证件
'jian'ju'kong'gao 检举控告
'jian'li'jian'quan'an'quan'sheng'chan'ze'ren'zhi'du 建立健全安全生产责任制度
'jian'li'ju'bao'zhi'du 建立举报制度
'jian'li'ying'ji'jiu'yuan'ti'xi 建立应急救援体系
'jian'li'zhuan'men'de'an'quan'guan'li'zhi'du 建立专门的安全管理制度
'jian'shao'cai'chan'sun'shi 减少财产损失
'jian'shao'ren'yuan'shang'wang 减少人员伤亡
'jian'she'xiang'mu 建设项目
'jian'yan 检验
'jian'yan'he'ge 检验合格
'jiang'di 降低
'jiang'di'qi'gong'zi'fu'li'dai'yu 降低其工资福利待遇
'jiang'li'ban'fa 奖励办法
'jiang'qing'kuang'ji'lu'zai'an 将情况记录在案
'jiao'da'shi'gu 较大事故
'jiao'da'shi'gu'zhu'ji'shang'bao'zhi'sheng'zi'zhi'qu'zhi'xia'shi'ren'min'zheng'fu'an'quan'sheng'chan'jian'du'guan'li'bu'men 较大事故逐级上报至省自治区直辖市人民政府安全生产监督管理部门
'jiao'da'wei'xian'yin'su'de'sheng'chan'jing'ying'chang'suo 较大危险因素的生产经营场所
'jiao'na'bao'xian'fei 缴纳保险费
'jiao'yu'he'du'cu 教育和督促
