'ai'gong'wen'zheng 哀公问政
'ze'ke'yi'zan'tian'di'zhi'hua'yu 则可以赞天地之化育
'ze'neng'jin'ren'zhi'xing 则能尽人之性
'ze'neng'jin'wu'zhi'xing 则能尽物之性
'ze'qi'sheng'wu'bu'ce 则其生物不测
'ze'qi'zheng'ju 则其政举
'ze'qi'zheng'xi 则其政息
'ze'quan'quan'fu'ying'fu'shi'zhi'yi 则拳拳服膺弗失之矣
'ze'shan'er'gu'zhi'zhi'zhe'ye 择善而固执之者也
'ze'wu'yuan 则无怨
'ze'zhi'suo'yi'xiu'shen 则知所以修身
'ze'zhi'suo'yi'zhi'ren 则知所以治人
'ze'zhi'suo'yi'zhi'tian'xia'guo'jia'yi 则知所以治天下国家矣
'zhen'he'hai'er'bu'xie 振河海而不泄
'zheng'ji'er'bu'qiu'yu'ren 正己而不求于人
'zheng'ze'you'yuan 征则悠远
'zheng'zhu'shu'min 徵诸庶民
'zhi'cheng'zhi'dao 至诚之道
'zhi'chi'jin'hu'yong 知耻近乎勇
'zhi'dao'bu'ning'yan 至道不凝焉
'zhi'feng'zhi'zi 知风之自
'zhi'guang'da'er'jin'jing'wei 致广大而尽精微
'zhi'guo'qi'ru'shi'zhu'zhang'hu 治国其如示诸掌乎
'zhi'ke'yi'fa'ke 执柯以伐柯
'zhi'luan'chi'wei 治乱持危
'zhi'qi'liang'duan 执其两端
'zhi'ren'ye 知人也
'zhi'si'bu'bian 至死不变
'zhi'si'san'zhe 知斯三者
'zhi'suo'yi'xiu'shen 知所以修身
'zhi'suo'yi'zhi'ren 知所以治人
'zhi'tian'di'zhi'hua'yu 知天地之化育
'zhi'tian'ye 知天也
'zhi'wei'zhi'xian 知微之显
'zhi'yi 至矣
'zhi'yuan'zhi'jin 知远之近
'zhi'zhe'guo'zhi 知者过之
'zhi'zhong'he 致中和
'zhi'zhu'gui'shen'er'wu'yi 质诸鬼神而无疑
'zhong'li'er'bu'yi 中立而不倚
'zhong'ni'yue 仲尼曰
'zhong'ni'zu'shu'yao'shun 仲尼祖述尧舜
'zhong'qi'lu 重其禄
'zhong'shu'wei'dao'bu'yuan 忠恕违道不远
'zhong'xin'zhong'lu 忠信重禄
'zhong'ye'zhe 中也者
'zhong'yong'bu'ke'neng'ye 中庸不可能也
'zhong'yong'qi'zhi'yi'hu 中庸其至矣乎
'zhou'che'suo'zhi 舟车所至
'zhou'gong 周公
'zhou'gong'cheng'wen 周公成文
'zhu'ze'ming 著则明
'zhui'wang'da'wang 追王大王
'zhun'zhun'qi'ren 肫肫其仁
'zi'cheng'ming'wei'zhi'xing 自诚明谓之性
'zi'lu'wen'qiang 子路问强
'zi'ming'cheng'wei'zhi'jiao 自明诚谓之教
'zi'shu'min'ye 子庶民也
'zi'shu'min'ze'bai'xing'quan 子庶民则百姓劝
'zi'shu'zhi 子述之
'zi'sun'bao'zhi 子孙保之
'zi'tian'shen'zhi 自天申之
'zi'wei'dai'fu 子为大夫
'zi'wei'shi 子为士
'zi'yue 子曰
'zong'miao'xiang'zhi 宗庙飨之
'zong'miao'zhi'li 宗庙之礼
'zou'jia'wu'yan 奏假无言
'zou'qi'le 奏其乐
'zu'yi'you'bie'ye 足以有别也
'zu'yi'you'jing'ye 足以有敬也
'zu'yi'you'lin'ye 足以有临也
'zu'yi'you'rong'ye 足以有容也
'zu'yi'you'zhi'ye 足以有执也
'zun'qi'wei 尊其位
'zun'wei'tian'zi 尊为天子
'zun'xian'wei'da 尊贤为大
'zun'xian'ye 尊贤也
'zun'xian'ze'bu'huo 尊贤则不惑
'zun'xian'zhi'deng 尊贤之等
