'a'ji'mi'de'wo'gan 阿基米德蜗杆
'qian'ru'jian 嵌入键
'qie'chi'shen'du 切齿深度
'qie'xian 切线
'qie'xiao'shen'du 切削深度
'qiu'dao 球刀
'qiu'mian'fu 球面副
'qiu'mian'gun'zi 球面滚子
'qiu'mian'jian'kai'xian 球面渐开线
'qiu'xiao'fu 球销副
'qiu'zhou'cheng 球轴承
'qiu'zuo'biao'cao'zuo'qi 球坐标操作器
'qu'bing 曲柄
'qu'bing'cun'zai'tiao'jian 曲柄存在条件
'qu'bing'dao'gan'ji'gou 曲柄导杆机构
'qu'bing'hua'kuai'ji'gou 曲柄滑块机构
'qu'bing'yao'gan'ji'gou 曲柄摇杆机构
'qu'chi'zhui'chi'lun 曲齿锥齿轮
'qu'dong'li 驱动力
'qu'dong'li'ju 驱动力矩
'qu'lv 曲率
'qu'mian'cong'dong'jian 曲面从动件
'qu'xian'pin'jie 曲线拼接
'quan'chi'gao 全齿高
'quan'pou'shi'tu 全剖视图
'quan'tiao'dong 全跳动
're'chu'li 热处理
're'jia'gong 热加工
'ren'zi'chi'lun 人字齿轮
'rong'he'zhi'jing 熔核直径
'rong'yu'zi'you'du 冗余自由度
'rou'lun 柔轮
'rou'xing'chong'ji 柔性冲击
'rou'xing'zi'dong'hua 柔性自动化
'run'hua 润滑
'run'hua'ji 润滑剂
'run'hua'zhuang'zhi 润滑装置
'san'hao'tu'zhi 三号图纸
'san'jiao'xing'hua'jian 三角形花键
'san'jiao'xing'luo'wen 三角形螺纹
'san'wei'tu'lun 三维凸轮
'san'xiang'jiao'liu'dian 三相交流电
'san'xin'ding'li 三心定理
'sha'lou 砂漏
'sha'lun 砂轮
'sha'lun'yue'cheng'cao 砂轮越程槽
'shang'xuan'gan 上旋杆
'shang'yu'jiao 上隅角
'shao'chi'cha'xing'xing'chuan'dong 少齿差行星传动
'she'ji'bian'liang 设计变量
'shen'gou'qiu'zhou'cheng 深沟球轴承
'shen'tan 渗碳
'sheng'chan'zu'li 生产阻力
'sheng'cheng 升程
'sheng'ju 升距
'shi'gong'dian'ti 施工电梯
'shi'ji'kuo'xian 实际廓线
'shi'ji'nie'he'xian 实际啮合线
'shi'tu 视图
'shi'xiao 失效
'shi'zi'cao'chen'tou'luo'ding 十字槽沉头螺钉
'shi'zi'hua'kuai'lian'zhou'qi 十字滑块联轴器
'shi'zi'jie'lian'zhou'jie 十字结联轴节
'shou'dong'huan'xiang'fa'ye'ya'beng'zhan 手动换向阀液压泵站
'shu'chu'gong 输出功
'shu'chu'gou'jian 输出构件
'shu'chu'ji'gou 输出机构
'shu'chu'li'ju 输出力矩
'shu'kong'jing'che 数控精车
'shu'ru'gou'jian 输入构件
'shu'xue'mo'xing 数学模型
'shuang'hua'kuai'ji'gou 双滑块机构
'shuang'lie'zhou'cheng 双列轴承
'shuang'qu'bing'ji'gou 双曲柄机构
'shuang'tou'luo'zhu 双头螺柱
'shuang'wan'xiang'lian'zhou'jie 双万向联轴节
'shuang'xiang'tui'li'zhou'cheng 双向推力轴承
'shuang'yao'gan'ji'gou 双摇杆机构
'shuang'zhe'xian 双折线
'shuang'zhuan'kuai'ji'gou 双转块机构
'shui'ping'tou'ying'mian 水平投影面
'si'fu'dian'ji 伺服电机
'si'gan'ji'gou 四杆机构
'si'gang 丝杠
'si'hao'tu'zhi 四号图纸
'song'bian 松边
'su'du'bo'dong 速度波动
'su'du'bu'jun'yun'bo'dong'xi'shu 速度不均匀波动系数
'su'du'qu'xian 速度曲线
'su'du'shun'xin 速度瞬心
'su'xing'bian'xing 塑性变形
'suo'xiao'bi'li 缩小比例
'ta'diao'ban 塔吊班
'ta'diao'ta'shi'qi'zhong'ji 塔吊塔式起重机
'ta'lun 塔轮
'tai'yang'lun 太阳轮
'tan'huang 弹簧
'tan'xing'hua'dong 弹性滑动
'tan'xing'lian'zhou'qi 弹性联轴器
'tan'xing'tao'zhu'xiao'lian'zhou'qi 弹性套柱销联轴器
'tang'chuang 镗床
'tao'jia 套架
'tao'tong 套筒
'te'shu'yun'dong'lian 特殊运动链
'te'xing 特性
'ti'dai'ji'gou 替代机构
'ti'sheng'yun'shu 提升运输
'ti'xing'luo'wen 梯形螺纹
'tiao'dong'wei'zhi'gong'cha 跳动位置公差
'tiao'su'dian'dong'ji 调速电动机
'tiao'su'qi 调速器
'tiao'xin'gun'zi'zhou'cheng 调心滚子轴承
'tiao'xin'qiu'zhou'cheng 调心球轴承
'tiao'xin'zhou'cheng 调心轴承
'tiao'ya'tiao'su 调压调速
'tiao'zhi 调质
'tie'ci'liu'ti'mi'feng 铁磁流体密封
'tie'la'gan 铁拉杆
'ting'che'jie'duan 停车阶段
'tong'bu'dai 同步带
'tong'bu'dai'chuan'dong 同步带传动
'tong'zhou'du 同轴度
'tou'lao'kong 透老控
'tou'lao'xiang 透老巷
'tou'ying 投影
'tou'ying'zhou 投影轴
'tu'lun 凸轮
'tu'lun'dao'zhi'ji'gou 凸轮倒置机构
'tu'lun'ji'gou 凸轮机构
'tu'lun'kuo'xian 凸轮廓线
'tu'lun'kuo'xian'hui'zhi 凸轮廓线绘制
'tu'lun'li'lun'kuo'xian 凸轮理论廓线
'tu'mian'fu'hao 凸面符号
'tu'mian'ti 凸面体
'tu'yang 图样
'tu'yuan'lian'zhou'qi 凸缘联轴器
'tui'cheng 推程
'tui'dao'cao 退刀槽
'tui'huo 退火
'tui'li'qiu'zhou'cheng 推力球轴承
'tui'li'zhou'cheng 推力轴承
'tuo'tan 脱碳
'wa'jian'yuan 瓦检员
'wa'si'jian'cha'yuan 瓦斯检查员
'wa'si'pai'ban 瓦斯排版
'wai'chi'lun 外齿轮
'wai'luo'wen 外螺纹
'wai'xing'chi'cun 外形尺寸
'wai'yuan'mo'xue 外圆磨削
'wan'qu'ying'li 弯曲应力
'wan'xiang'lian'zhou'qi 万向联轴器
'wan'zheng'hua'jian'chang'du 完整花键长度
'wang'fu'shi'mi'feng 往复式密封
'wang'fu'yi'dong 往复移动
'wang'shang'she'ji 网上设计
'wei'dong'luo'xuan'ji 微动螺旋机
'wei'yi 位移
'wei'yi'qu'xian 位移曲线
'wei'zhi'du 位置度
'wei'zhi'gong'cha 位置公差
'wei'zi 位姿
'wen'ding'xing 稳定性
'wen'ding'yun'zhuan'jie'duan 稳定运转阶段
'wen'jian'she'ji 稳健设计
'wo'gan 蜗杆
'wo'gan'chuan'dong'ji'gou 蜗杆传动机构
'wo'gan'tou'shu 蜗杆头数
'wo'gan'wo'lun 蜗杆蜗轮
'wo'gan'wo'lun'ji'gou 蜗杆蜗轮机构
'wo'gan'xing'tu'lun'bu'jin'ji'gou 蜗杆形凸轮步进机构
'wo'gan'xuan'xiang 蜗杆旋向
'wo'gan'zhi'jing'xi'shu 蜗杆直径系数
'wo'lun 蜗轮
'wo'quan'xing'pan'huang 涡圈形盘簧
'wu'cha'de'min'gan'fang'xiang 误差的敏感方向
'wu'ji'bian'su'zhuang'zhi 无级变速装置
'wu'sheng'lian 无声链
'xi'chuang 铣床
'xi'dao 铣刀
'xi'dian'hua'xian 细点画线
'xi'shi'xian 细实线
'xi'shuang'dian'hua'xian 细双点画线
'xi'xiao 铣削
'xi'xu'xian 细虚线
'xi'ya'luo'wen 细牙螺纹
'xia'yu'jiao 下隅角
'xian'chang'ping'heng 现场平衡
'xian'lun'kuo'du 线轮廓度
'xian'qi'zheng'gai'shi'jian 限期整改时间
'xiang'dui'jian'xi 相对间隙
'xiang'guan'xian 相贯线
'xiang'jiao'liang'zhi'xian 相交两直线
'xiang'jiao'tan'huang 橡胶弹簧
'xiang'shi'tu 向视图
'xiang'tong'han'feng'shu'liang'fu'hao 相同焊缝数量符号
'xiang'tu 相图
'xiang'xin'li 向心力
'xiang'xin'zhou'cheng 向心轴承
'xiang'xiu'dui 巷修队
'xiao'chi'lun 小齿轮
'xiao'jing 小径
'xie'bo'chi'lun 谐波齿轮
'xie'bo'chuan'dong 谐波传动
'xie'chi'yuan'zhu'chi'lun 斜齿圆柱齿轮
'xie'er'zhou'ce'tu 斜二轴测图
'xing'cheng'su'bi'xi'shu 行程速比系数
'xing'cheng'su'du'bian'hua'xi'shu 行程速度变化系数
'xing'feng'bi'tu'lun'ji'gou 形封闭凸轮机构
'xing'wei'gong'cha 形位公差
'xing'xing'chi'lun'zhuang'zhi 行星齿轮装置
'xing'xing'jian'su'qi 行星减速器
'xing'xing'lun 行星轮
'xing'xing'lun'bian'su'zhuang'zhi 行星轮变速装置
'xing'xing'lun'xi 行星轮系
'xing'zhuang'gong'cha 形状公差
'xu'ni'xian'shi'she'ji 虚拟现实设计
'xu'yong'bu'ping'heng'liang 许用不平衡量
'xu'yong'ya'li'jiao 许用压力角
'xu'yong'ying'li 许用应力
'xu'yue'shu 虚约束
'xuan'jia 悬架
'xuan'xiang 旋向
'xuan'zhuan'shi'mi'feng 旋转式密封
'xun'huan'gong'lv'liu 循环功率流
'ya'li'jiao 压力角
'ya'mu 压模
'ya'qian'shi'lian'zhou'qi 牙嵌式联轴器
'ya'suo'ji 压缩机
'ya'xing 牙型
'yao'gan 摇杆
'ye'li'chuan'dong 液力传动
'ye'li'ou'he'qi 液力偶合器
'ye'ya'beng 液压泵
'ye'ya'chuan'dong'ji'gou 液压传动机构
'ye'ya'ji'gou 液压机构
'ye'ya'qu'dong'beng 液压驱动泵
'ye'ya'wu'ji'bian'su 液压无级变速
'yi'ban'hua'yun'dong'lian 一般化运动链
'yi'bu'dian'dong'ji 异步电动机
'yi'dong'cong'dong'jian 移动从动件
'yi'dong'fu 移动副
'yi'dong'guan'jie 移动关节
'yi'dong'tu'lun 移动凸轮
'yi'hao'tu'zhi 一号图纸
'yi'mian'liang'zhi'xian 异面两直线
'yin'huan'dan'wei 隐患单位
'yin'huan'di'dian 隐患地点
'yin'huan'nei'rong 隐患内容
'ying'du'zhuan'bian'qu 硬度转变区
'ying'kui'gong 盈亏功
'ying'li 应力
'ying'li'fu 应力幅
'ying'li'ji'zhong 应力集中
'you'bei 油杯
'you'biao'ka'chi 游标卡尺
'you'gou'mi'feng 油沟密封
'you'hai'zu'li 有害阻力
'you'hua'she'ji 优化设计
'you'se'jin'shu 有色金属
'you'xiao'hua'jian'chang'du 有效花键长度
'you'xiao'la'li 有效拉力
'you'xiao'luo'wen'chang'du 有效螺纹长度
'you'xiao'yuan'zhou'li 有效圆周力
'you'yi'zu'li 有益阻力
'yu'gao 余高
'yu'xian'jia'su'du'yun'dong 余弦加速度运动
'yuan'bi'dao 圆鼻刀
'yuan'dai 圆带
'yuan'dai'chuan'dong 圆带传动
'yuan'dao 圆刀
'yuan'dong'jian 原动件
'yuan'hu'chi'hou 圆弧齿厚
'yuan'hu'yuan'zhu'wo'gan 圆弧圆柱蜗杆
'yuan'pan'mo'ca'li'he'qi 圆盘摩擦离合器
'yuan'shi'ji'gou 原始机构
'yuan'tiao'dong 圆跳动
'yuan'xing'chi'lun 圆形齿轮
'yuan'zhu'du 圆柱度
'yuan'zhu'fu 圆柱副
'yuan'zhu'gun'zi 圆柱滚子
'yuan'zhu'gun'zi'zhou'cheng 圆柱滚子轴承
'yuan'zhu'luo'xuan'la'shen'tan'huang 圆柱螺旋拉伸弹簧
'yuan'zhu'luo'xuan'niu'zhuan'tan'huang 圆柱螺旋扭转弹簧
'yuan'zhu'luo'xuan'ya'suo'tan'huang 圆柱螺旋压缩弹簧
'yuan'zhu'tu'lun 圆柱凸轮
'yuan'zhu'wo'gan 圆柱蜗杆
'yuan'zhu'zuo'biao'cao'zuo'qi 圆柱坐标操作器
'yuan'zhui'chi'lun'ji'gou 圆锥齿轮机构
'yuan'zhui'gun'zi 圆锥滚子
'yuan'zhui'gun'zi'zhou'cheng 圆锥滚子轴承
'yuan'zhui'jiao 圆锥角
'yuan'zhui'luo'xuan'niu'zhuan'tan'huang 圆锥螺旋扭转弹簧
'yue'du 跃度
'yue'du'qu'xian 跃度曲线
'yue'shu'fan'li 约束反力
'yun'dong'dao'zhi 运动倒置
'yun'dong'fang'an'she'ji 运动方案设计
'yun'dong'fu 运动副
'yun'dong'gou'jian 运动构件
'yun'dong'jian'tu 运动简图
'yun'dong'lian 运动链
'yun'dong'she'ji 运动设计
'yun'dong'shi'zhen 运动失真
'yun'dong'xue 运动学
'yun'dong'zhou'qi 运动周期
'yun'dong'zong'he 运动综合
'yun'zhuan'bu'jun'yun'xi'shu 运转不均匀系数
'zai'he 载荷
'zhan'cheng'fa 展成法
'zhan'jin'guo 战金果
'zhan'kai'tu 展开图
'zhang'jin'li 张紧力
'zhang'jin'lun 张紧轮
'zhen'dong'li'ju 振动力矩
'zheng'chui'mian 正垂面
'zheng'chui'xian 正垂线
'zheng'deng'zhou'ce'tu 正等轴测图
'zheng'huo 正火
'zheng'li'tou'ying'mian 正立投影面
'zheng'ping'mian 正平面
'zheng'ping'xian 正平线
'zheng'qie'ji'gou 正切机构
'zheng'tou'ying'fa 正投影法
'zheng'xian'ji'gou 正弦机构
'zheng'xiang'yun'dong'xue 正向运动学
'zhi'chi'yuan'zhu'chi'lun 直齿圆柱齿轮
'zhi'chi'zhui'chi'lun 直齿锥齿轮
'zhi'dong'qi 制动器
'zhi'jiao'zuo'biao'cao'zuo'qi 直角坐标操作器
'zhi'jing'ji 质径积
'zhi'jing'xi'lie 直径系列
'zhi'jing'xi'shu 直径系数
'zhi'kuo'huan'mian'wo'gan 直廓环面蜗杆
'zhi'liu'dian'yuan 直流电源
'zhi'neng'hua'she'ji 智能化设计
'zhi'neng'ke'shi 职能科室
'zhi'xing'gou'jian 执行构件
'zhong'jian'ping'mian 中间平面
'zhong'jian'xian'duan 中间线段
'zhong'jing 中径
'zhong'xin'ju 中心距
'zhong'xin'ju'bian'dong 中心距变动
'zhong'xin'lun 中心轮
'zhong'xin'tou'ying'fa 中心投影法
'zhong'xin'zuan 中心钻
'zhong'zhi'nie'he'dian 终止啮合点
'zhou'bian'chi'cun 周边尺寸
'zhou'ce'tou'ying 轴测投影
'zhou'ce'tu 轴测图
'zhou'cheng'chen 轴承衬
'zhou'cheng'gao'du 轴承高度
'zhou'cheng'kuan'du 轴承宽度
'zhou'cheng'nei'jing 轴承内径
'zhou'cheng'shou'ming 轴承寿命
'zhou'cheng'tao'quan 轴承套圈
'zhou'cheng'wai'jing 轴承外径
'zhou'duan'dang'quan 轴端挡圈
'zhou'jian 轴肩
'zhou'jing 轴颈
'zhou'qi'xing'su'du'bo'dong 周期性速度波动
'zhou'wa 轴瓦
'zhou'xian 轴线
'zhou'xiang'chi'kuo 轴向齿廓
'zhou'xiang'dang'liang'dong'zai'he 轴向当量动载荷
'zhou'xiang'dang'liang'jing'zai'he 轴向当量静载荷
'zhou'xiang'fen'li 轴向分力
'zhou'xiang'ji'ben'e'ding'dong'zai'he 轴向基本额定动载荷
'zhou'xiang'jie'chu'zhou'cheng 轴向接触轴承
'zhou'xiang'ping'mian 轴向平面
'zhou'xiang'shen'suo'xi'shu 轴向伸缩系数
'zhou'xiang'you'xi 轴向游隙
'zhou'xiang'zai'he 轴向载荷
'zhou'xing'ji'gou 肘形机构
'zhu'dong'chi'lun 主动齿轮
'zhu'dong'dai'lun 主动带轮
'zhu'dong'jian 主动件
'zhu'dong'zhui'chi'lun 主动锥齿轮
'zhu'jian'bi'hou 铸件壁厚
'zhu'sai'beng 柱塞泵
'zhu'shi'tu 主视图
'zhu'ti'sheng'xi'tong 主提升系统
'zhu'xie'jing 主斜井
'zhu'yun'dong 主运动
'zhu'zao 铸造
'zhu'zao'yuan'jiao 铸造圆角
'zhu'zhou 主轴
'zhu'zhou'xiang 主轴箱
'zhuan'dong'dao'gan'ji'gou 转动导杆机构
'zhuan'dong'fu 转动副
'zhuan'dong'guan'jie 转动关节
'zhuan'xiang'qi 转向器
'zhuan'zi 转子
'zhuan'zi'ping'heng 转子平衡
'zhuang'pei'tiao'jian 装配条件
'zhuang'pei'tu 装配图
'zhui'chi'lun 锥齿轮
'zhui'ding 锥顶
'zhui'ju 锥距
'zhui'lun 锥轮
'zhui'mian'bao'luo'yuan'zhu'wo'gan 锥面包络圆柱蜗杆
'zhun'shuang'qu'mian'chi'lun 准双曲面齿轮
'zi'ji'gou 子机构
'zi'suo 自锁
'zi'suo'tiao'jian 自锁条件
'zi'you'du 自由度
'zong'fan'li 总反力
'zong'xiang'chong'he'du 纵向重合度
'zong'zhong'he'du 总重合度
'zu'cheng'yuan'li 组成原理
'zu'he'an'zhuang 组合安装
'zu'he'chi'xing 组合齿形
'zu'he'ji'gou 组合机构
'zu'kang'li 阻抗力
'zuan'chuang 钻床
'zuan'xue'tang'xue 钻削镗削
'zui'da'ying'kui'gong 最大盈亏功
'zui'shao'chi'shu 最少齿数
'zui'xiao'xiang'jing 最小向径
'zuo'biao'fa 坐标法
