'a'za 腌臜
'ran'fu 染服
'ran'fu 然腹
'ran'hai 然海
'ran'han 染翰
'ran'hao 染豪
'ran'hua 染化
'ran'huang'fa 染潢法
'ran'kang'zi'zhao 然糠自照
'ran'li 燃藜
'ran'mang 冉駹
'ran'mei 燃眉
'ran'min 冉闵
'ran'na 然纳
'ran'niao 姌袅
'ran'nuo 然诺
'ran'qi 燃脐
'ran'qi 燃萁
'ran'qiu 冉求
'ran'ran 冉冉
'ran'ran 呥呥
'ran'ran 苒苒
'ran're 染惹
'ran're 苒惹
'ran'ren 染人
'ran'ren 苒荏
'ran'rou'shen'deng 燃肉身灯
'ran'ruo 冉弱
'ran'ruo 苒弱
'ran'she 髯蛇
'ran'she'dan 蚦蛇胆
'ran'she'dan 蚺蛇胆
'ran'shi 然始
'ran'shi 燃石
'ran'wei 冉魏
'ran'wu 然物
'ran'xi 冉溪
'ran'xi 染溪
'ran'xi 然犀
'ran'xi 燃犀
'ran'xia 染夏
'ran'xu'can'jun 髯须参军
'ran'yi 冉遗
'ran'yi 然疑
'ran'you 然友
'ran'yuan 染园
'ran'zan 然赞
'ran'zhe 染着
'ran'zhi 染指
'ran'zhi 橪支
'ran'zhi 然脂
'ran'zhi'shu 染指书
'rang'bi 壤陛
'rang'bi 攘臂
'rang'chong 壤虫
'rang'chu 攘除
'rang'di 壤地
'rang'di 让帝
'rang'dian 壤奠
'rang'fu 壤父
'rang'gou 攘诟
'rang'he 蘘荷
'rang'hou 穰侯
'rang'ju 穰苴
'rang'li 壤力
'rang'li 让梨
'rang'li'yi'cun 让礼一寸
'rang'ma 嚷骂
'rang'mei 攘袂
'rang'mu 让木
'rang'nao 嚷闹
'rang'pan 让畔
'rang'pi 攘辟
'rang'rang 壤壤
'rang'rang 攘攘
'rang'rang 瀼瀼
'rang'rang 穰穰
'rang'shan 攘善
'rang'shi 壤室
'rang'shu 壤树
'rang'shui 让水
'rang'si 壤驷
'rang'sui 穰岁
'rang'tu 壤土
'rang'wang 让王
'rang'wei 让位
'rang'xi 瀼溪
'rang'xi 瀼西
'rang'xiang 壤乡
'rang'yang 攘羊
'rang'yi 穰衣
'rang'yu 攘羭
'rang'zao'tui'li 让枣推梨
'rang'zhou 瀼州
'rang'zi 壤子
'rao'bai 桡败
'rao'chao'bian 绕朝鞭
'rao'chao'ce 绕朝策
'rao'chi 饶侈
'rao'ci 桡辞
'rao'dian'lei 绕殿雷
'rao'dian'lei 遶殿雷
'rao'feng'ling 饶风岭
'rao'hua 荛花
'rao'jiao 绕角
'rao'jin 绕衿
'rao'le 饶乐
'rao'liang 绕梁
'rao'liu 绕溜
'rao'long 扰龙
'rao'lu 饶鲁
'rao'luan 扰乱
'rao'nao 娆恼
'rao'ping 饶平
'rao'rang 扰攘
'rao'rao 娆娆
'rao'rao 扰扰
'rao'rao 绕绕
'rao'ren 饶人
'rao'she 饶舌
'rao'shu 荛竖
'rao'tiao 桡挑
'rao'xian 饶先
'rao'xun 扰驯
'rao'yan 饶衍
'rao'yang 饶阳
'rao'yao 饶窑
'rao'zhi'rou 绕指柔
'rao'zhou 饶州
're'ao'fan'bing 热熬翻饼
're'ca 热擦
're'cao'nian'hua 惹草拈花
're'chang 热肠
're'di 热地
're'di'you'yan 热地蚰蜒
're'du 热毒
're'fu 热府
're'fu'leng'chang 热腹冷肠
're'guan 热官
're'guo'shang'ma'yi 热锅上蚂蚁
're'he 热河
're'jue 热厥
're'ke 热客
're'lie 热烈
're'luo'he 热洛河
're'nao 热恼
're'nao 热闹
're're 惹惹
're'shen 热审
're'shi 热势
're'shi'zhao'fei 惹是招非
're'shu 热熟
're'wu 热雾
're'xi 热戏
're'xiang 热乡
're'xiao 热孝
're'xue 热血
're'zhong 热中
'ren'an 仁安
'ren'an 任安
'ren'bao 人胞
'ren'bi 任鄙
'ren'biao 人表
'ren'cai 人才
'ren'cao 仁草
'ren'cao 忍草
'ren'chen 人臣
'ren'cheng 任城
'ren'ci 人次
'ren'ci 仁祠
'ren'cun'zheng'ju 人存政举
'ren'da 任达
'ren'da'chun 任大椿
'ren'dao 人道
'ren'dao'wo 人道我
'ren'de 认得
'ren'di 人地
'ren'di 仁弟
'ren'di 任地
'ren'ding 人丁
'ren'ding 人定
'ren'ding'sheng'tian 人定胜天
'ren'dong 忍冬
'ren'duan'lu 仁端录
'ren'fan 人犯
'ren'fang 任放
'ren'fang 任昉
'ren'feng 人风
'ren'feng 仁风
'ren'fu 人夫
'ren'fu 任父
'ren'fu 壬夫
'ren'fu'yu'shi 人浮于食
'ren'gao 人膏
'ren'ge 人鬲
'ren'gei'jia'zu 人给家足
'ren'gong 人功
'ren'gong 人工
'ren'gong 仁公
'ren'gong'zi 任公子
'ren'gou 忍垢
'ren'gou 忍訽
'ren'gou 忍诟
'ren'hai 人海
'ren'hao 人豪
'ren'he 人和
'ren'he 仁和
'ren'hua 仁化
'ren'huai 仁怀
'ren'huan 人寰
'ren'huan 任环
'ren'huang 人皇
'ren'ji 人极
'ren'ji 人纪
'ren'ji 纫缉
'ren'jian 人鉴
'ren'jian 人间
'ren'jiang'yi'su 仁浆义粟
'ren'jie 人杰
'ren'jie'di'ling 人杰地灵
'ren'jing 人境
'ren'jing 人镜
'ren'jue 人爵
'ren'jun 人君
'ren'jun 仁君
'ren'jun 任峻
'ren'jun'bu'jin 忍俊不禁
'ren'ke 人疴
'ren'ke 人痾
'ren'kou 人口
'ren'la 人腊
'ren'lai 人籁
'ren'lao'ren'yuan 任劳任怨
'ren'lei 忍泪
'ren'li 人力
'ren'li 仁里
'ren'lin 壬林
'ren'liu 人柳
'ren'lun 人伦
'ren'lun'jian 人伦鉴
'ren'lv 任率
'ren'ma 人马
'ren'mai 任脉
'ren'mao 人猫
'ren'men 人门
'ren'mian'shou'xin 人面兽心
'ren'mian'tao'hua 人面桃花
'ren'mian'zhu 人面竹
'ren'mian'zi 人面子
'ren'min 人民
'ren'ming 人命
'ren'ming 任命
'ren'ming'wei'qian 人命危浅
'ren'mo 任末
'ren'mu 人牧
'ren'mu 纴木
'ren'nian 稔年
'ren'niao 仁鸟
'ren'nu 人奴
'ren'nu'chan'zi 人奴产子
'ren'pin 人品
'ren'pin 仁频
'ren'ping 仁平
'ren'pu 人谱
'ren'qi 任器
'ren'qi 任气
'ren'qi'tun'sheng 忍气吞声
'ren'qi'wo'qu 人弃我取
'ren'qiang'sheng'tian 人强胜天
'ren'qin 人琴
'ren'qin'ju'wang 人琴俱亡
'ren'qing 人庆
'ren'qing 人情
'ren'qiong'zhi'duan 人穷智短
'ren'qiu 任丘
'ren'qu 人区
'ren'qu'wo'yu 人取我与
'ren'ran 荏染
'ren'ran 荏苒
'ren'ren 人人
'ren'ren 任人
'ren'ren 壬人
'ren'ren 忍人
'ren'ren 忍忍
'ren'ren'jun'zi 仁人君子
'ren'ren'zi'wei 人人自危
'ren'ri 人日
'ren'ru'cao 忍辱草
'ren'ru'fu'zhong 忍辱负重
'ren'ru'kai 忍辱铠
'ren'rui 人瑞
'ren'ruo 荏弱
'ren'se 稔色
'ren'shan'ren'hai 人山人海
'ren'shan'xian'sheng 仁山先生
'ren'shen 人参
'ren'shen 人神
'ren'shen 人身
'ren'sheng 人胜
'ren'sheng 仁声
'ren'sheng'jie 人胜节
'ren'sheng'qi'shi'gu'lai'xi 人生七十古来稀
'ren'sheng'ru'ji 人生如寄
'ren'shi 人世
'ren'shi 人事
'ren'shi 人士
'ren'shi 人师
'ren'shi 人豕
'ren'shi 任使
'ren'shi 任士
'ren'shi 任石
'ren'shi'dai'xie 人事代谢
'ren'shou 仁兽
'ren'shou 仁寿
'ren'shou'gong 仁寿宫
'ren'shou'guan 人兽关
'ren'shou'jing 仁寿镜
'ren'shu 人庶
'ren'shu 仁术
'ren'shu 荏菽
'ren'shu'yuan 仁恕掾
'ren'si 任姒
'ren'si 忍死
'ren'si'liu'ming 人死留名
'ren'tang 任棠
'ren'tian 人天
'ren'tou'chu'ming 人头畜鸣
'ren'tu 人徒
'ren'tu 任土
'ren'tu 忍土
'ren'tui 人蜕
'ren'wai 人外
'ren'wai'you 人外游
'ren'wang 人望
'ren'wang 仁王
'ren'wang'hui 仁王会
'ren'wang'jing 仁王经
'ren'wang'zheng'xi 人亡政息
'ren'wei 人为
'ren'wei 人位
'ren'wei'quan'qing 人微权轻
'ren'wei'yan'qing 人微言轻
'ren'wen 人文
'ren'wu 人物
'ren'wu 人舞
'ren'wu 仁乌
'ren'wu'zhi 人物志
'ren'xi 衽席
'ren'xia 任侠
'ren'xian 人苋
'ren'xian 人衔
'ren'xian'shi 人闲世
'ren'xiao 任嚣
'ren'xin 忍心
'ren'xing 人性
'ren'xing 任性
'ren'xing 忍性
'ren'xiong 人熊
'ren'xiong 人雄
'ren'xiong 仁兄
'ren'yan 人烟
'ren'yan 人言
'ren'yan 任延
'ren'yao 人妖
'ren'yao 人祅
'ren'yi 仁羿
'ren'yi 任意
'ren'yi'ji'bai 人一己百
'ren'you 荏油
'ren'you'rang'gou 忍尤攘诟
'ren'yu 人欲
'ren'yu 人鱼
'ren'yu 仁宇
'ren'yu'gao 人鱼膏
'ren'yun 任运
'ren'yun'yi'yun 人云亦云
'ren'zei'wei'zi 认贼为子
'ren'zha'weng 人鲊瓮
'ren'zhao'lin 任兆麟
'ren'zhen 任真
'ren'zhen 认真
'ren'zheng 人正
'ren'zheng 仁政
'ren'zhi 人彘
'ren'zhi'xiang 任职相
'ren'zhi'yi'jin 仁至义尽
'ren'zhong 人中
'ren'zhong'bai 人中白
'ren'zhong'dao'yuan 任重道远
'ren'zhong'huang 人中黄
'ren'zhong'long 人中龙
'ren'zhong'sheng'tian 人众胜天
'ren'zhong'shi'zi 人中狮子
'ren'zhu 人主
'ren'zi 任子
'ren'zi'teng 人子藤
'ren'zi'wei'zhan 人自为战
'reng'beng 扔崩
'reng'jiu'guan 仍旧贯
'reng'ren 芿荏
'reng'reng 仍仍
'reng'reng 陾陾
'reng'shi 仍世
'reng'sun 仍孙
'reng'sun 礽孙
'ri'ben 日本
'ri'bian 日边
'ri'biao 日表
'ri'bo 日薄
'ri'bo'xi'shan 日薄西山
'ri'bu 日餔
'ri'bu'xia'ji 日不暇给
'ri'can 日参
'ri'cha 日差
'ri'chan 日躔
'ri'chang 日常
'ri'chang'yi'xian 日长一线
'ri'che 日车
'ri'cheng 日程
'ri'chong'guang 日重光
'ri'dao 日道
'ri'dong'yue'xi 日东月西
'ri'er 日珥
'ri'fan'wu 日返坞
'ri'fen 日分
'ri'feng 日冯
'ri'fu 日富
'ri'fu 衵服
'ri'gan 日干
'ri'gan 日旰
'ri'gei 日给
'ri'gu 日毂
'ri'guan 日冠
'ri'guan 日官
'ri'guan 日观
'ri'guang 日光
'ri'gui 日圭
'ri'gui 日晷
'ri'hou 日后
'ri'hua 日华
'ri'huang'bu 日黄簿
'ri'hun 日魂
'ri'ji 日畿
'ri'ji 日稷
'ri'ji 日记
'ri'ji'gu'shi 日记故事
'ri'ji'yue'lei 日积月累
'ri'ji'yue'zhu 日居月诸
'ri'jia 日家
'ri'jiang'guan 日讲官
'ri'jiang'qi'ju'zhu'guan 日讲起居注官
'ri'jiao 日脚
'ri'jiao 日角
'ri'jin 日禁
'ri'jin'chang'an'yuan 日近长安远
'ri'jing 日景
'ri'jing 日精
'ri'jiu'jian'ren'xin 日久见人心
'ri'jiu'tian'chang 日久天长
'ri'jiu'yue'jiang 日就月将
'ri'jun 日君
'ri'ka'ze 日喀则
'ri'ke 日课
'ri'ku 日窟
'ri'lai 日来
'ri'le 日勒
'ri'li 日力
'ri'li 日历
'ri'li'wan'ji 日理万机
'ri'lin 日廪
'ri'lu 日录
'ri'lun 日轮
'ri'mu 日母
'ri'mu'tu'qiong 日暮途穷
'ri'mu'tu'yuan 日暮途远
'ri'nan 日南
'ri'nan'zhi 日南至
'ri'qi 日气
'ri'qi 驲骑
'ri'ri 日日
'ri'ru 日入
'ri'se 日色
'ri'shang'san'gan 日上三竿
'ri'sheng 日省
'ri'sheng'yue'chang 日升月常
'ri'sheng'yue'heng 日升月恒
'ri'shi 日蚀
'ri'shi 日食
'ri'shi'wan'yan 日试万言
'ri'tan 日坛
'ri'tian'zi 日天子
'ri'tou 日头
'ri'wan 日完
'ri'wei 日围
'ri'wen'lu 日闻录
'ri'xi 日及
'ri'xi 日夕
'ri'xia 日下
'ri'xia'jiu'wen 日下旧闻
'ri'xia'wu'shuang 日下无双
'ri'xin 日新
'ri'xing'yue'shi 日省月试
'ri'xiong 日兄
'ri'xue'yue'juan 日削月朘
'ri'xue'yue'juan 日削月脧
'ri'yan 日晏
'ri'yang 日阳
'ri'yao 日要
'ri'ye 日夜
'ri'yi 日昳
'ri'yi 日益
'ri'yi 衵衣
'ri'yong 日用
'ri'you'shen 日游神
'ri'yu 日域
'ri'yu 日御
'ri'yu 日驭
'ri'yue 日月
'ri'yue'he'bi 日月合璧
'ri'yue'jiao'shi 日月交食
'ri'yue'qi 日月旗
'ri'yue'ru'huai 日月入怀
'ri'yue'ru'suo 日月如梭
'ri'yue'shan 日月山
'ri'yue'shen'chen 日月参辰
'ri'yue'shi 日月食
'ri'yue'shi'li 日月时例
'ri'yue'xiang 日月相
'ri'yun 日晕
'ri'ze 日昃
'ri'zhao 日照
'ri'zhe 日者
'ri'zhi 日秩
'ri'zhi 日至
'ri'zhi'lu 日知录
'ri'zhong 日中
'ri'zhong 日种
'ri'zhong'bi'hui 日中必彗
'ri'zhong'ze'ze 日中则昃
'ri'zhu 日注
'ri'zhu 日逐
'ri'zhu 日铸
'ri'zhuan'qian'jie 日转千街
'ri'zi 日子
'rong'ai 荣哀
'rong'an 狨鞌
'rong'an 狨鞍
'rong'bi 冗笔
'rong'bi 宂笔
'rong'biao 容表
'rong'cai 熔裁
'rong'cai 镕裁
'rong'chang 冗长
'rong'chang 宂长
'rong'chang 荣昌
'rong'che 容车
'rong'che 戎车
'rong'cheng 容城
'rong'cheng 容成
'rong'cheng 榕城
'rong'cheng 茸城
'rong'cheng 荣成
'rong'cheng'hou 容城侯
'rong'chi 荣齿
'rong'chong 荣宠
'rong'chou 戎丑
'rong'cong 冗从
'rong'cong 宂从
'rong'cong'pu'ye 冗从仆射
'rong'cui 荣悴
'rong'cun'ji 榕村集
'rong'dao 容刀
'rong'dun 荣楯
'rong'fan 容范
'rong'fei 冗费
'rong'fei 宂费
'rong'feng 融风
'rong'fu 冗赋
'rong'fu 宂赋
'rong'fu 戎服
'rong'gong 戎公
'rong'gong 戎弓
'rong'gong 荣公
'rong'guan 冗官
'rong'guan 宂官
'rong'guan 容观
'rong'guan 荣观
'rong'guang 容光
'rong'guang 荣光
'rong'hang 戎行
'rong'he 荣河
'rong'hua 容华
'rong'hua 榕花
'rong'hua 荣华
'rong'huai 荣怀
'rong'hui 容辉
'rong'hui 融会
'rong'hui'guan'tong 融会贯通
'rong'ji 容玑
'rong'ji 戎寄
'rong'ji 戎机
'rong'ji 戎疾
'rong'jie 容接
'rong'jing 荣经
'rong'ke 茸客
'rong'ku 荣枯
'rong'kui 戎葵
'rong'kui 茙葵
'rong'li 荣利
'rong'lu 戎卢
'rong'lu 戎路
'rong'lu 荣禄
'rong'lu 荣路
'rong'lue 戎略
'rong'lv 戎旅
'rong'ma 戎马
'rong'man 戎蛮
'rong'mei 容媚
'rong'ming 荣命
'rong'mo 冗末
'rong'mo 宂末
'rong'mu 戎幕
'rong'mu 茸母
'rong'mu 蓉幕
'rong'na 容纳
'rong'peng 容彭
'rong'pi 荣毗
'rong'pu 戎仆
'rong'qi 戎器
'rong'qi'qi 荣启期
'rong'qi'shi 荣锜氏
'rong'qiu 融丘
'rong'ren 容忍
'rong'ri 容日
'rong'ri 肜日
'rong'rong 冗冗
'rong'rong 宂宂
'rong'rong 容容
'rong'rong 戎戎
'rong'rong 溶溶
'rong'rong 肜肜
'rong'rong 茸茸
'rong'rong 融融
'rong'rong'yi'yi 融融泄泄
'rong'san 冗散
'rong'san 宂散
'rong'sha 榕厦
'rong'shen 容身
'rong'shi 冗食
'rong'shi 宂食
'rong'shi 戎事
'rong'shi 戎士
'rong'shi 荣施
'rong'shi'xia 荣侍下
'rong'shou 戎首
'rong'shu 戎菽
'rong'shu 茙菽
'rong'shuai 戎帅
'rong'suo 戎索
'rong'ta 茸阘
'rong'tai 容台
'rong'tai 容态
'rong'tan'wen'ye 榕坛问业
'rong'tao 戎韬
'rong'tou'guo'shen 容头过身
'rong'wei 荣卫
'rong'wen 荣问
'rong'wu 容物
'rong'wu 荣伍
'rong'xi 容膝
'rong'xian 容县
'rong'xian 茸线
'rong'xian 荣县
'rong'xian 融县
'rong'xie 融泄
'rong'xin 戎心
'rong'xiu 容臭
'rong'xu 容许
'rong'xuan 戎轩
'rong'yan 容颜
'rong'yan 戎盐
'rong'yang 溶漾
'rong'yang 荣养
'rong'yao 荣耀
'rong'yi 容仪
'rong'yi 容易
'rong'yi 容裔
'rong'yi 戎衣
'rong'yi 融怡
'rong'yi 融裔
'rong'yi'gong 荣夷公
'rong'yin 容隐
'rong'you 戎右
'rong'yu 容与
'rong'yu 戎御
'rong'yu'shi 肜鱼氏
'rong'yuan 冗员
'rong'yuan 宂员
'rong'yuan 荣原
'rong'yuan 蝾螈
'rong'yue 容悦
'rong'za 冗杂
'rong'za 宂杂
'rong'zhai'sui'bi 容斋随笔
'rong'zhan 戎旃
'rong'zheng 戎政
'rong'zheng'shang'shu 戎政尚书
'rong'zhi 冗职
'rong'zhi 宂职
'rong'zhi 容止
'rong'zhi 容质
'rong'zhou 戎州
'rong'zhuang 戎装
'rong'zu 容足
'rong'zu'di 容足地
'rong'zuo 冗作
'rong'zuo 宂作
'rong'zuo 狨座
'rou'an 肉鞌
'rou'an 肉鞍
'rou'bo 肉薄
'rou'chang 柔肠
'rou'cong'rong 肉苁蓉
'rou'cuo 揉搓
'rou'dao 柔道
'rou'deng 肉灯
'rou'ding 肉丁
'rou'dou'kou 肉豆蔻
'rou'fei'xian 肉飞仙
'rou'feng 柔风
'rou'fo 柔佛
'rou'gu 肉骨
'rou'gu'chui 肉鼓吹
'rou'gui 肉桂
'rou'guo 肉果
'rou'han 柔翰
'rou'hao 肉好
'rou'he 柔和
'rou'hong 肉红
'rou'hua 柔华
'rou'hui 柔惠
'rou'ji 肉髻
'rou'jia 柔嘉
'rou'jia 柔甲
'rou'jiao 肉角
'rou'jing 柔痉
'rou'ju 糅莒
'rou'ke 柔克
'rou'lei 肉雷
'rou'li 柔利
'rou'li 輮轹
'rou'lin 蹂躏
'rou'lin 蹂辚
'rou'lu 柔橹
'rou'lun 揉轮
'rou'ma 柔麻
'rou'ma 肉马
'rou'man 柔曼
'rou'mao 厹矛
'rou'mao 柔毛
'rou'mei 柔媚
'rou'mi 肉糜
'rou'mu 柔木
'rou'pi 肉辟
'rou'ping 肉屏
'rou'ping'feng 肉屏风
'rou'pu 肉谱
'rou'qi 柔祇
'rou'ran 柔然
'rou'rao 柔桡
'rou'ren 柔刃
'rou'ren 肉人
'rou'ri 柔日
'rou'ru 柔茹
'rou'ru'gang'tu 柔茹刚吐
'rou'ruo 柔弱
'rou'ruo 蹂若
'rou'se 柔色
'rou'shan 肉山
'rou'shan'fu'lin 肉山脯林
'rou'she 柔舌
'rou'she 肉檨
'rou'shen 肉身
'rou'sheng 肉声
'rou'shi 肉食
'rou'tai'ban 肉台柈
'rou'tan 肉袒
'rou'tang 柔汤
'rou'ti 柔荑
'rou'wo 柔握
'rou'xing 肉刑
'rou'xuan 柔玄
'rou'xun 肉蕈
'rou'yan 肉眼
'rou'yan'yu'mei 肉眼愚眉
'rou'yao'dao 肉腰刀
'rou'you 厹犹
'rou'you 厹由
'rou'yu 柔鱼
'rou'yuan 柔远
'rou'za 揉杂
'rou'za 粈杂
'rou'za 糅杂
'rou'ze 柔则
'rou'zhao 柔兆
'rou'zhen 肉阵
'rou'zhi 肉芝
'rou'zhong 柔种
'rou'zhong'ci 肉中刺
'rou'zhu 肉竹
'rou'zong 肉鬃
'ru'ao 乳媪
'ru'ba'fen 入八分
'ru'bao 乳保
'ru'beng 如琫
'ru'bi 乳婢
'ru'bi 茹笔
'ru'bing 乳饼
'ru'bo 乳钵
'ru'bu 乳哺
'ru'cao 汝曹
'ru'cao 茹草
'ru'chu 乳雏
'ru'chu'yi'kou 如出一口
'ru'chuan'bi 如椽笔
'ru'chuang 乳床
'ru'chun 如淳
'ru'dao 入道
'ru'deng 入等
'ru'di 孺帝
'ru'ding 入定
'ru'dou 乳窦
'ru'duo'yan'wu 如堕烟雾
'ru'e 乳萼
'ru'er 入耳
'ru'er 嚅唲
'ru'fa'pao'zhi 如法炮制
'ru'fen 汝坟
'ru'feng 儒风
'ru'feng'guo'er 如风过耳
'ru'fu 乳腐
'ru'fu 儒服
'ru'fu 蓐妇
'ru'fu'ren 如夫人
'ru'gan 乳柑
'ru'gan 如干
'ru'gang 入港
'ru'gao 入告
'ru'gao 如皋
'ru'ge 入格
'ru'ge 入阁
'ru'ge 繻葛
'ru'gou 乳狗
'ru'gou 入彀
'ru'gu 入谷
'ru'gu'han'jin 茹古涵今
'ru'guan 乳管
'ru'guan 儒冠
'ru'guan 儒官
'ru'guan 入官
'ru'guo'wen'su 入国问俗
'ru'hao 濡毫
'ru'he 入合
'ru'he 如何
'ru'he 汝河
'ru'he 洳河
'ru'hen 茹恨
'ru'hu 乳虎
'ru'hua 乳花
'ru'hua 入话
'ru'hua'nv 如花女
'ru'huan 儒缓
'ru'huang 如簧
'ru'huang 茹黄
'ru'hun 茹荤
'ru'huo 入伙
'ru'huo'zhi'bao 如获至宝
'ru'ji 入寂
'ru'ji 如姬
'ru'ji 擩哜
'ru'ji 擩祭
'ru'ji 濡迹
'ru'jia 儒家
'ru'jia 入甲
'ru'jian 入监
'ru'jiang 儒将
'ru'jiao 儒教
'ru'jie 乳姐
'ru'jie 乳节
'ru'jin 儒巾
'ru'jin 辱金
'ru'jing 入静
'ru'jing 辱井
'ru'jing'shi 如京使
'ru'jing'wen'jin 入境问禁
'ru'jue 挐攫
'ru'jun 如君
'ru'ku 乳窟
'ru'ku'ge 襦袴歌
'ru'ku'ge 襦裤歌
'ru'lai 如来
'ru'lang'mu'yang 如狼牧羊
'ru'lao 蓐劳
'ru'lei'guan'er 如雷贯耳
'ru'li 乳梨
'ru'li 儒吏
'ru'li 缛礼
'ru'lian 入帘
'ru'lin 儒林
'ru'lin 辱临
'ru'lin'lang 儒林郎
'ru'lin'wai'shi 儒林外史
'ru'lin'zhang'ren 儒林丈人
'ru'lin'zong'pai 儒林宗派
'ru'liu 入流
'ru'luan 乳卵
'ru'lv 茹藘
'ru'lv'ling 如律令
'ru'mao 乳毛
'ru'mao'yin'xue 茹毛饮血
'ru'mei 入梅
'ru'mei 入霉
'ru'men 儒门
'ru'men 入门
'ru'men'shi'qin 儒门事亲
'ru'men'wen'hui 入门问讳
'ru'men'zhang'zi 入门杖子
'ru'meng'ling 如梦令
'ru'mi 乳糜
'ru'mie 入灭
'ru'ming 乳名
'ru'ming 入冥
'ru'ming 辱命
'ru'mo 辱没
'ru'mu 乳母
'ru'mu 孺慕
'ru'mu 蓐母
'ru'mu'bin 入幕宾
'ru'mu'san'fen 入木三分
'ru'nan 汝南
'ru'nan'ji 汝南鸡
'ru'nan'yi'shi 汝南遗事
'ru'nan'yue'dan 汝南月旦
'ru'nei'nei'shi'sheng 入内内侍省
'ru'nie 嚅嗫
'ru'ning 汝宁
'ru'nv 乳女
'ru'pan 入泮
'ru'po 入破
'ru'qi 乳气
'ru'qi 儒棋
'ru'qie 乳茄
'ru'ran 濡染
'ru'ren 乳人
'ru'ren 儒人
'ru'ren 孺人
'ru'ren 濡忍
'ru'ren'yin'shui'leng'nuan'zi'zhi 如人饮水冷暖自知
'ru'ru 儒儒
'ru'ru 如如
'ru'ru 茹茹
'ru'ru 蠕蠕
'ru'sai 入塞
'ru'sai 袽塞
'ru'sang'kao'bi 如丧考妣
'ru'shan 入山
'ru'she 入舍
'ru'she'nv'xu 入舍女婿
'ru'shen 入神
'ru'sheng 儒生
'ru'sheng 入圣
'ru'sheng 入声
'ru'shi 乳石
'ru'shi 儒士
'ru'shi 入室
'ru'shi 入时
'ru'shi 蓐食
'ru'shi'bin 入室宾
'ru'shi'cao'ge 入室操戈
'ru'shi'di'jie 如拾地芥
'ru'shi'guan 如是观
'ru'shi'sheng'tang 入室升堂
'ru'shi'wo'wen 如是我闻
'ru'shi'zhong'fu 如释重负
'ru'shou 乳兽
'ru'shou 入手
'ru'shou 挐首
'ru'shou 濡首
'ru'shou 蓐收
'ru'shu 儒术
'ru'shu 溽暑
'ru'shu'ji 入蜀记
'ru'shui 汝水
'ru'shui 濡水
'ru'shui 茹水
'ru'su 乳粟
'ru'su 儒素
'ru'su 入粟
'ru'su 茹素
'ru'suan 儒酸
'ru'tang 乳糖
'ru'tang 乳饧
'ru'tang'wo'xue 如汤沃雪
'ru'te'shu 褥特鼠
'ru'tie 汝帖
'ru'tie'zhu'bu 入铁主簿
'ru'tong 孺童
'ru'tou 入头
'ru'tu'ru'huo 如荼如火
'ru'wu 入务
'ru'xi 茹溪
'ru'xiang 乳香
'ru'xiang 入庠
'ru'xiao 儒效
'ru'xin 如馨
'ru'xiu 乳臭
'ru'xu 如许
'ru'xu 濡需
'ru'xu 濡须
'ru'xue 儒学
'ru'xue'jing'wu 儒学警悟
'ru'ya 乳鸦
'ru'ya 儒雅
'ru'yan 乳燕
'ru'yan 儒言
'ru'yan 入眼
'ru'yang 汝阳
'ru'yao 乳药
'ru'yao 汝窑
'ru'yi 乳医
'ru'yi 儒医
'ru'yi 如意
'ru'yi 蓐蚁
'ru'yi'cai 如意菜
'ru'yi'che 如意车
'ru'yi'niang 如意娘
'ru'yi'shu 如意树
'ru'yi'zhu 如意珠
'ru'ying 乳莺
'ru'ying 孺婴
'ru'yu 乳妪
'ru'yu 茹鱼
'ru'yu'de'shui 如鱼得水
'ru'yuan 如愿
'ru'yue 入月
'ru'yue 如月
'ru'yun'zhu'zhang 如运诸掌
'ru'zhi 乳彘
'ru'zhi 入直
'ru'zhi 濡滞
'ru'zhou 乳粥
'ru'zhou 儒州
'ru'zhou 汝州
'ru'zhu'chu'nu 入主出奴
'ru'zhui 入赘
'ru'zi 入子
'ru'zi 如字
'ru'zi 孺子
'ru'zi'ke'jiao 孺子可教
'ru'zi'niu 孺子牛
'ru'zi'ying 孺子婴
'ru'zong 儒宗
'ru'zuo'yun'wu 如坐云雾
'ru'zuo'zhen'zhan 如坐针毡
'ruan'ban 软半
'ruan'bao 软饱
'ruan'chen 软尘
'ruan'da'cheng 阮大铖
'ruan'fu'ji 阮孚屐
'ruan'hong 软红
'ruan'huo 软火
'ruan'ji 阮籍
'ruan'jia'pin 阮家贫
'ruan'jiao 软脚
'ruan'jie 软节
'ruan'jiu 撋就
'ruan'lang 阮郎
'ruan'lang'gui 阮郎归
'ruan'lun 软轮
'ruan'lun'che 软轮车
'ruan'min 瓀珉
'ruan'nang 阮囊
'ruan'nang'xiu'se 阮囊羞涩
'ruan'pan 软盘
'ruan'qi 碝磩
'ruan'ruan 媆媆
'ruan'ruan 蝡蝡
'ruan'ruo 偄弱
'ruan'ruo 软弱
'ruan'shi 礝石
'ruan'shi'dao 阮师刀
'ruan'wen 瓀玟
'ruan'wu 软舞
'ruan'xian 阮咸
'ruan'xiao'xu 阮孝绪
'ruan'yu 软舆
'ruan'yu 阮瑀
'ruan'yuan 壖垣
'ruan'yuan 阮元
'ruan'zhi 软脂
'rui'an 瑞安
'rui'an'jiang 瑞安江
'rui'bai 瑞白
'rui'bang 蕊榜
'rui'bang 蘂榜
'rui'bin 蕤宾
'rui'cao 瑞草
'rui'chang 瑞昌
