'a'ba'ka'wei 阿巴卡韦
'qu'qing'dan'suan 去氢胆酸
'qu'tie'an 去铁胺
'qu'tuo'zhu'dan'kang 曲妥珠单抗
'qu'yang'fu'niao'gan 去氧氟尿苷
'qu'yang'shen'shang'xian'su 去氧肾上腺素
'qu'yi'xian'mao'hua'gan 去乙酰毛花苷
'qu'zuo'tong 曲唑酮
'que'ci'chun 炔雌醇
'que'nuo'tong 炔诺酮
'rong'cu'xing'su 绒促性素
'rou'hong'mei'su 柔红霉素
'rou'suan'jia'ya'su 鞣酸加压素
'ru'guo'tang 乳果糖
'ru'mei'sheng 乳酶生
'ru'suan'jun'su 乳酸菌素
'ru'suan'na 乳酸钠
'rui'fen'tai'ni 瑞芬太尼
'sai'geng'ding 赛庚啶
'sai'lai'xi'bu 塞来昔布
'sai'luo'zuo'lin 赛洛唑啉
'sai'lv'pi'ding 噻氯匹定
'sai'ma'luo'er 噻吗洛尔
'sai'nai'pu'ting 噻奈普汀
'sai'ti'pai 塞替派
'san'fu'la'qin 三氟拉嗪
'san'jian'shan'zhi'jian 三尖杉酯碱
'san'lin'suan'bao'gan 三磷酸胞苷
'san'lin'suan'xian'gan 三磷酸腺苷
'san'yi'chun'an 三乙醇胺
'san'zuo'lun 三唑仑
'se'gan'suan'na 色甘酸钠
'sha'ding'an'chun 沙丁胺醇
'sha'gan'chun 鲨肝醇
'sha'ge'lei'zhi 沙格雷酯
'sha'kui'na'wei 沙奎那韦
'sha'li'du'an 沙利度胺
'sha'mei'te'luo 沙美特罗
'shan'lang'dang'jian 山莨菪碱
'shan'li'chun'tie 山梨醇铁
'she'qu'lin 舍曲林
'shen'shang'xian'su 肾上腺素
'sheng'zhang'yi'su 生长抑素
'shi'shan'jian'jia 石杉碱甲
'shi'yi'suan'gao'tong 十一酸睾酮
'shu'bi'li 舒必利
'shu'fen'tai'ni 舒芬太尼
'shu'li'bi'mei 鼠李铋镁
'shu'lin'suan 舒林酸
'shuang'huan'chun 双环醇
'shuang'lv'fei'na'an 双氯非那胺
'shuang'lv'fen'suan'jia 双氯芬酸钾
'shuang'lv'fen'suan'na 双氯芬酸钠
'shuang'mi'da'mo 双嘧达莫
'shuang'qi'gan'jun'huo'jun 双歧杆菌活菌
'shuang'qiang'nai'suan'sai'mi'ding 双羟萘酸噻嘧啶
'shuang'qing'ke'dai'yin 双氢可待因
'shuang'qing'mai'jiao'an 双氢麦角胺
'shuang'qing'qing'hao'su 双氢青蒿素
'shui'fei'ji'bin 水飞蓟宾
'shui'yang'suan 水杨酸
'shun'bo 顺铂
'si'huan'su 四环素
'si'ke'ba'bi'tuo 司可巴比妥
'si'lai'ji'lan 司来吉兰
'si'lie'mei'su 丝裂霉素
'si'mo'si'ting 司莫司汀
'si'pa'sha'xing 司帕沙星
'si'ta'fu'ding 司他夫定
'si'tan'zuo'chun 司坦唑醇
'suo'gong'su 缩宫素
'suo'jia'ji'xian'wei'su'na 羧甲基纤维素钠
'suo'jia'si'tan 羧甲司坦
'suo'ta'luo'er 索他洛尔
'ta'ka'xi'chun 他卡西醇
'ta'ke'mo'si 他克莫司
'ta'lei 他类
'ta'mo'xi'fen 他莫昔芬
'tai'ding'an 酞丁安
'tan'luo'xin 坦洛新
'tan'suan'gai 碳酸钙
'tan'suan'li 碳酸锂
'tan'suan'qing'na 碳酸氢钠
'te'bu'ta'lin 特布他林
'te'la'zuo'qin 特拉唑嗪
'ti'bo'long 替勃龙
'ti'jia'duo'tai 蹄甲多肽
'ti'jia'fu 替加氟
'ti'jia'se'luo 替加色罗
'ti'ka'xi'lin 替卡西林
'ti'ka'xi'lin'na'ke'la'wei'suan'jia 替卡西林钠克拉维酸钾
'ti'kao'la'ning 替考拉宁
'ti'luo'fei'ban 替罗非班
'ti'mi'sha'tan 替米沙坦
'ti'ni'bo'gan 替尼泊苷
'ti'pu'rui'tong 替普瑞酮
'ti'xiao'zuo 替硝唑
'tian'ma'su 天麻素
'tong'kang'zuo 酮康唑
'tong'ti'fen 酮替芬
'tou'bao'an'bian 头孢氨苄
'tou'bao'bi'wo 头孢吡肟
'tou'bao'bing'xi 头孢丙烯
'tou'bao'bo'wo'zhi 头孢泊肟酯
'tou'bao'di'ni 头孢地尼
'tou'bao'di'qin 头孢地秦
'tou'bao'fu'xin 头孢呋辛
'tou'bao'ke'luo 头孢克洛
'tou'bao'ke'wo 头孢克肟
'tou'bao'liu'mi 头孢硫脒
'tou'bao'mei'zuo 头孢美唑
'tou'bao'mi'nuo 头孢米诺
'tou'bao'ni'xi 头孢尼西
'tou'bao'pai'tong 头孢哌酮
'tou'bao'pai'tong'shu'ba'tan 头孢哌酮舒巴坦
'tou'bao'qiang'an'bian 头孢羟氨苄
'tou'bao'qu'song 头孢曲松
'tou'bao'ta'ding 头孢他啶
'tou'bao'ta'mei'zhi 头孢他美酯
'tou'bao'ti'an 头孢替安
'tou'bao'tuo'lun'pi'zhi 头孢妥仑匹酯
'tou'bao'xi'ding 头孢西丁
'tou'bao'zuo'lin 头孢唑林
'tou'bao'zuo'wo 头孢唑肟
'tou'ming'zhi'suan'na 透明质酸钠
'tuo'bi'ka'an 托吡卡胺
'tuo'bi'zhi 托吡酯
'tuo'la'sai'mi 托拉塞米
'tuo'ni'nai'suan 托尼萘酸
'tuo'pu'ti'kang 拓扑替康
'tuo'rui'mi'fen 托瑞米芬
'tuo'te'luo'ding 托特罗定
'tuo'wan'si'qiong 托烷司琼
'wan'gu'mei'su 万古霉素
'wei'an'zhi 维胺酯
'wei'dan'bai'mei 胃蛋白酶
'wei'ku'xiu'an 维库溴铵
'wei'la'pa'mi 维拉帕米
'wei'mei'su 维酶素
'wei'sheng'su 维生素
'wei'ti'bo'fen 维替泊芬
'wen'la'fa'xin 文拉法辛
'wu'ben'mei'si 乌苯美司
'wu'fu'li'duo 五氟利多
'wu'la'di'er 乌拉地尔
'wu'luo'tuo'pin 乌洛托品
'wu'si'ta'ding 乌司他丁
'wu'suan'ci'er'chun 戊酸雌二醇
'wu'yi'kui'mi 戊乙奎醚
'xi'bao'se'su 细胞色素
'xi'bi'lv'an 西吡氯铵
'xi'bing'ci'chun 烯丙雌醇
'xi'bing'ma'fei 烯丙吗啡
'xi'di'dian 西地碘
'xi'jiao'mu 硒酵母
'xi'la'pu'li 西拉普利
'xi'luo'mo'si 西罗莫司
'xi'luo'ta'zuo 西洛他唑
'xi'mi'ti'ding 西咪替丁
'xi'tai'pu'lan 西酞普兰
'xi'ti'li'qin 西替利嗪
'xi'tuo'xi'dan'kang 西妥昔单抗
'xian'gan'dan'an'suan 腺苷蛋氨酸
'xian'gan'gu'an 腺苷钴胺
'xian'wei'dan'bai'nian'he'ji 纤维蛋白粘合剂
'xian'wei'dan'bai'yuan 纤维蛋白原
'xiang'gu'duo'tang 香菇多糖
'xiao'ben'di'ping 硝苯地平
'xiao'bo'an 小檗胺
'xiao'bo'jian 小檗碱
'xiao'hua'mei 消化酶
'xiao'ka'jie 硝卡芥
'xiao'nuo'mi'xing 小诺米星
'xiao'pu'na 硝普钠
'xiao'suan'gan'you 硝酸甘油
'xiao'suan'yi'shan'li'zhi 硝酸异山梨酯
'xiao'xi'pan 硝西泮
'xie'sha'tan 缬沙坦
'xin'fa'ta'ting 辛伐他汀
'xin'mei'su 新霉素
'xin'si'di'ming 新斯的明
'xiong'qu'yang'dan'suan 熊去氧胆酸
'xiong'xian'tai 胸腺肽
'xiong'xian'wu'tai 胸腺五肽
'xiu'bi'si'de'ming 溴吡斯的明
'xiu'ji'xin 溴己新
'xiu'mi'yin 溴米因
'xiu'mo'ni'ding 溴莫尼定
'xiu'yin'ting 溴隐亭
'ya'an'pei'nan 亚胺培南
'ya'jia'lan 亚甲蓝
'ya'liu'suan'qing'na'jia'nai'kun 亚硫酸氢钠甲萘醌
'ya'shen'suan 亚砷酸
'ya'xiao'suan'na 亚硝酸钠
'ya'xiao'suan'yi'wu'zhi 亚硝酸异戊酯
'ya'ye'suan'gai 亚叶酸钙
'yan'suan'biao'rou'bi'xing 盐酸表柔比星
'yan'suan'li'tuo'jun 盐酸利托君
'yan'xian'an 烟酰胺
'yang'fu'sha'xing 氧氟沙星
'yang'hua'xin 氧化锌
'yao'yong'tan 药用炭
'ye'suan 叶酸
'yi'an'ding'chun 乙胺丁醇
'yi'an'mi'ding 乙胺嘧啶
'yi'an'qin 乙胺嗪
'yi'ba'si'ting 依巴斯汀
'yi'ban'lin'suan'na 伊班膦酸钠
'yi'bing'qin 异丙嗪
'yi'bing'shen'shang'xian'su 异丙肾上腺素
'yi'bing'tuo'xiu'an 异丙托溴铵
'yi'da'la'feng 依达拉奉
'yi'dao'su 胰岛素
'yi'di'suan'gai'na 依地酸钙钠
'yi'fei'wei'lun 依非韦伦
'yi'fu'wan 异氟烷
'yi'hu'an 乙琥胺
'yi'huan'lin'xian'an 异环磷酰胺
'yi'ji'tai'yuan'mei 胰激肽原酶
'yi'jiang'gai'su 依降钙素
'yi'kang'zuo 益康唑
'yi'kang'zuo'qu'an'nai'de 益康唑曲安奈德
'yi'li'ti'kang 伊立替康
'yi'mei 胰酶
'yi'mei'si'ting 依美斯汀
'yi'mi'ding 依米丁
'yi'na'pu'li 依那普利
'yi'nuo'sha'xing 依诺沙星
'yi'pa'mi'xing 异帕米星
'yi'pai'li'song 乙哌立松
'yi'qu'kang'zuo 伊曲康唑
'yi'sha'a'ding 依沙吖啶
'yi'tai'mei 抑肽酶
'yi'ti'mi'xing 依替米星
'yi'tuo'bo'gan 依托泊苷
'yi'tuo'hong'mei'su 依托红霉素
'yi'tuo'mi'zhi 依托咪酯
'yi'wu'ba'bi'tuo 异戊巴比妥
'yi'xi'mei'tan 依西美坦
'yi'xian'an 乙酰胺
'yi'xian'ban'guang'an'suan 乙酰半胱氨酸
'yi'xian'zuo'an 乙酰唑胺
'yi'yan'jing 异烟肼
'yin'da'pa'an 吲达帕胺
'yin'di'na'wei 茚地那韦
'yin'duo'jing'lv 吲哚菁绿
'yin'duo'mei'xin 吲哚美辛
'yin'ji'mei 蚓激酶
'ying'guang'su'na 荧光素钠
'ying'su'jian 罂粟碱
'ying'zhi'suan'hong'mei'su 硬脂酸红霉素
'you'mei'sha'fen 右美沙芬
'you'xuan'tang'gan 右旋糖酐
'you'xuan'tang'gan'tie 右旋糖酐铁
'yu'gan'you'suan'na 鱼肝油酸钠
'yu'jing'dan'bai 鱼精蛋白
'yu'shi'zhi 鱼石脂
'yun'san'xi'tong 孕三烯酮
'zao'suan'shuang'zhi'na 藻酸双酯钠
'zha'lai'pu'long 扎来普隆
'zha'lu'si'te 扎鲁司特
'zhang'liu'jian 樟柳碱
'zhang'nao 樟脑
'zhe'tang'tie 蔗糖铁
'zhi'fang'ru 脂肪乳
'zhi'mei'su 制霉素
'zhong'jiu'shi'suan'ka'ba'la'ting 重酒石酸卡巴拉汀
'zhu'fei'lin'zhi 猪肺磷脂
'zi'shan'chun 紫杉醇
'zuo'bi'tan 唑吡坦
'zuo'bu'bi'ka'yin 左布比卡因
'zuo'bu'nuo'luo'er 左布诺洛尔
'zuo'jia'zhuang'xian'su'na 左甲状腺素钠
'zuo'ka'ba'si'ting 左卡巴斯汀
'zuo'ka'ni'ting 左卡尼汀
'zuo'lai'lin'suan 唑来膦酸
'zuo'pi'ke'long 佐匹克隆
'zuo'que'nuo'yun'tong 左炔诺孕酮
'zuo'xi'ti'li'qin 左西替利嗪
'zuo'xuan'duo'ba 左旋多巴
'zuo'xuan'mi'zuo 左旋咪唑
'zuo'yang'fu'sha'xing 左氧氟沙星
