'ai'guo'tong'yi'zhan'xian'zu'zhi 爱国统一战线组织
'wen'ding'zeng'zhang 稳定增长
'wen'hua'jian'she 文化建设
'wen'ming'dan'wei'jian'she 文明单位建设
'wen'su'bao'wei 稳速保位
'wen'su'sheng'wei 稳速升位
'wen'tuo'tui'jin 稳妥推进
'wen'zhong'ti'zhi 稳中提质
'wen'zhong'tu'po 稳中突破
'wen'zhong'xiang'hao 稳中向好
'wen'zhong'you'bian 稳中有变
'wen'zhong'you'hua 稳中优化
'wen'zhong'you'jin 稳中有进
'wen'zhong'you'sheng 稳中有升
'wo'men'jian'xin 我们坚信
'wu'dang'pai'ren'shi 无党派人士
'wu'shi'you'li 务实有力
'wu'zhuang'quan'dang 武装全党
'xi'bu'da'kai'fa 西部大开发
'xi'fang'di'dui'shi'li 西方敌对势力
'xian'fa'he'fa'lv 宪法和法律
'xian'ji'chu'li 献计出力
'xian'shang'jie'guo 线上结果
'xian'wei'ban 县委办
'xian'wei'tong'zhan'bu 县委统战部
'xian'wei'xuan'chuan'bu 县委宣传部
'xian'wei'zu'zhi'bu 县委组织部
'xian'zheng'fu'ban 县政府办
'xian'zhu'gai'guan 显著改观
'xian'zhu'gai'shan 显著改善
'xian'zhu'jia'da 显著加大
'xian'zhu'jian'shao 显著减少
'xian'zhu'ti'gao 显著提高
'xian'zhu'ti'sheng 显著提升
'xian'zhu'wan'shan 显著完善
'xian'zhu'zeng'jin 显著增进
'xian'zhu'zeng'qiang 显著增强
'xiang'de'yi'zhang 相得益彰
'xiang'gang'te'bie'xing'zheng'qu'tong'bao 香港特别行政区同胞
'xiang'ji'chu'tai 相继出台
'xiang'ji'wen'shi 相继问世
'xiang'shou'zai'hou 享受在后
'xiao'fu'zeng'zhang 小幅增长
'xiao'guo'zhen'shi 效果真实
'xiao'guo'zui'xian 效果最显
'xiao'shou'wang'sheng 销售旺盛
'xie'tiao'fu'wu 协调服务
'xie'tiao'guan'xi 协调关系
'xie'tiao'ji'zhi 协调机制
'xin'dai'zhi'chi 信贷支持
'xin'de'geng'gao'yao'qiu 新的更高要求
'xin'de'li'shi'shi'qi 新的历史时期
'xin'de'wei'da'gong'cheng 新的伟大工程
'xin'jiao'qun'zhong 信教群众
'xin'shi'ji'xin'jie'duan 新世纪新阶段
'xin'xi'qu'dao 信息渠道
'xin'xi'wang'luo 信息网络
'xin'xi'zi'xun 信息咨询
'xin'xin'he'jue'xin 信心和决心
'xing'cheng'pin'pai 形成品牌
'xing'dong'gang'ling 行动纲领
'xing'dong'zhi'nan 行动指南
'xing'zheng'gan'bu 行政干部
'xing'zheng'ji'guan 行政机关
'xiu'zheng'cuo'wu 修正错误
'xuan'chuan'bu'men 宣传部门
'xue'rou'lian'xi 血肉联系
'xue'shi'feng'fu 学识丰富
'xue'xi'chuang'xin 学习创新
'xue'xi'guan'che 学习贯彻
'xue'xi'li'jie'shang'you'xin'shou'huo 学习理解上有新收获
'ya'cha'tuo'zhan 压茬拓展
'yan'jiu'xin'qing'kuang'xin'wen'ti 研究新情况新问题
'yan'xing'yi'zhi 言行一致
'yan'zhong'jing'gao 严重警告
'yao'ba'xue'xi'jiang'hua'jing'shen 要把学习讲话精神
'yao'cai'qu'duo'zhong'xing'shi 要采取多种形式
'yao'ji'ji'yin'dao 要积极引导
'yao'jian'li'yi'zhi'gao'su'zhi'de 要建立一支高素质的
'yao'lao'gu'shu'li 要牢固树立
'yao'nu'li'zuo'hao 要努力做好
'yao'quan'mian'guan'che 要全面贯彻
'yao'quan'mian'guan'che'luo'shi 要全面贯彻落实
'yao'shi'zhong'jian'chi 要始终坚持
'ye'dui 也对
'ye'wu'gong'zuo 业务工作
'ye'wu'shou'lian 业务熟练
'yi'ding'cheng'du'he'yi'ding'fan'wei 一定程度和一定范围
'yi'fa'ban'shi 依法办事
'yi'fa'guan'li'zong'jiao'shi'wu 依法管理宗教事务
'yi'fa'zhi'qu 依法治区
'yi'fa'zhi'zheng 依法执政
'yi'ge'zhong'guo'yuan'ze 一个中国原则
'yi'kao'ren'min'zhi'zheng 依靠人民执政
'yi'ran'qiang'jing 依然强劲
'yi'shen'zuo'ze 以身作则
'yi'si'lan'jiao'xie 伊斯兰教协
'yin'dao'fei'gong'you'zhi'jing'ji 引导非公有制经济
'yin'shi'an'kang 殷实安康
'ying'yong'dou'zheng 英勇斗争
'yong'hu'dang'de'ling'dao 拥护党的领导
'yong'hu'gai'ge'kai'fang'zheng'ce 拥护改革开放政策
'yong'hu'she'hui'zhu'yi'ai'guo'zhe 拥护社会主义爱国者
'yong'hu'she'hui'zhu'yi'de'ai'guo'zhe 拥护社会主义的爱国者
'yong'hu'she'hui'zhu'yi'zhi'du 拥护社会主义制度
'you'hua'ti'sheng 优化提升
'you'kuai'you'hao'fa'zhan 又快又好发展
'you'li'shi'shi 有力实施
'you'liang'chuan'tong 优良传统
'you'xiao'e'zhi 有效遏制
'you'xiao'shi'shi 有效实施
'you'xu'shi'shi 有序实施
'you'xu'tui'jin 有序推进
'you'zhi'you'quan'you'ze 有职有权有责
'yu'bei'hui'yi 预备会议
'yu'jia'jian'ding 愈加坚定
'yu'lun'jian'du 舆论监督
'yu'she'hui'zhu'yi'she'hui 与社会主义社会
'yu'shi'ju'jin 与时俱进
'yu'xuan'chuan'bu'men'jia'qiang'he'zuo 与宣传部门加强合作
'yu'yan'jiu'xin'qing'kuang'xin'wen'ti 与研究新情况新问题
'yu'yi'qing'lang 愈益清朗
'yuan'gong'shang'ye'zhe 原工商业者
'yuan'ze'yao'qiu 原则要求
'yue'ran'sheng'hua 跃然升华
'yue'sheng'zui'kuai 跃升最快
'zai'chuang'jia'ji 再创佳绩
'zai'shi'jian'shang'shi'you'hai'de 在实践上是有害的
'zai'xin'de'li'shi'shi'qi 在新的历史时期
'zang'yu'xi'fo'jiao 藏语系佛教
'zao'fu'ren'qun 造福人群
'zeng'qiang'dang'xing 增强党性
'zeng'shi'qiang'jing 增势强劲
'zha'shi'gong'zuo 扎实工作
'zha'shi'tui'jin 扎实推进
'zha'xia'shen'gen 扎下深根
'zhan'wang'wei'lai 展望未来
'zhan'xin'de'jing'shen'feng'mao 崭新的精神风貌
'zhao'shang'yin'zi 招商引资
'zhe'pian'zhong'yao'jiang'hua 这篇重要讲话
'zheng'ce'chan'shi 政策阐释
'zheng'dang'zhi'du 政党制度
'zheng'fu'zhuan'men'ji'guan'jian'du 政府专门机关监督
'zheng'que'yi'jian 正确意见
'zheng'xie'chang'wei 政协常委
'zheng'xie'min'zhu'jian'du 政协民主监督
'zheng'xie'ti'an 政协提案
'zheng'zhi'ba'wo 政治把握
'zheng'zhi'huan'jing 政治环境
'zheng'zhi'jian'ding 政治坚定
'zheng'zhi'jian'she 政治建设
'zheng'zhi'jing'ji'zhuang'kuang 政治经济状况
'zheng'zhi'ju'mian 政治局面
'zheng'zhi'jue'yi 政治决议
'zheng'zhi'lian'meng 政治联盟
'zheng'zhi'ren'wu 政治任务
'zheng'zhi'xie'shang 政治协商
'zheng'zhi'you'shi 政治优势
'zheng'zhi'zhi'du 政治制度
'zhi'guo'li'zheng 治国理政
'zhi'hui'he'li'liang 智慧和力量
'zhi'jie'bu'tie 直接补贴
'zhi'li'mi'ji 智力密集
'zhi'liang'ti'sheng 质量提升
'zhi'zheng'fang'shi 执政方式
'zhi'zheng'wei'min 执政为民
'zhi'zheng'zhi'ji 执政之基
'zhong'bu'di'qu 中部地区
'zhong'da'li'lun'cheng'guo 重大理论成果
'zhong'da'si'xiang'he'shi'jian 重大思想和实践
'zhong'dian'du'ban 重点督办
'zhong'fu 终傅
'zhong'gao'ji'zhi'shi'fen'zi 中高级知识分子
'zhong'gong'san'dai'ling'dao'ji'ti 中共三代领导集体
'zhong'guo'de'te'shu'guo'qing 中国的特殊国情
'zhong'guo'gong'chan'dang'ling'dao'de 中国共产党领导的
'zhong'guo'gong'chan'dang'xian'jin'xing 中国共产党先进性
'zhong'guo'guo'qing 中国国情
'zhong'guo'ju'ti'shi'ji 中国具体实际
'zhong'guo'min'zhu'zheng'zhi 中国民主政治
'zhong'guo'ren'min'zheng'zhi'xie'shang'hui'yi 中国人民政治协商会议
'zhong'guo'ren'min'zheng'zhi'xie'shang'hui'yi'zhang'cheng 中国人民政治协商会议章程
'zhong'guo'te'se 中国特色
'zhong'guo'te'se'she'hui'zhu'yi 中国特色社会主义
'zhong'guo'tian'zhu'jiao'zhu'jiao'tuan 中国天主教主教团
'zhong'hua'min'guo 中华民国
'zhong'hua'min'zu'de'gen'ben'li'yi 中华民族的根本利益
'zhong'hua'min'zu'de'wei'da'fu'xing 中华民族的伟大复兴
'zhong'yang'tong'zhan'bu 中央统战部
'zhong'yao'jiang'hua 重要讲话
'zhong'yao'qiao'liang 重要桥梁
'zhong'yao'xing'shi 重要形式
'zhong'yao'zheng'zhi'ren'wu 重要政治任务
'zhu'bu'jian'quan 逐步健全
'zhu'bu'niu'zhuan 逐步扭转
'zhu'bu'wan'shan 逐步完善
'zhu'di'qi'wen 筑底企稳
'zhu'liu'mei'ti 主流媒体
'zhu'xi'tuan 主席团
'zhuan'bian'zuo'feng 转变作风
'zhuan'men'wei'yuan'hui 专门委员会
'zhuan'wei'hui 专委会
'zhuan'xing'jia'kuai 转型加快
'zhuang'yan'guo'tu 庄严国土
'zhuo'yan'gou'jian 着眼构建
'zhuo'you'cheng'xiao 卓有成效
'zi'shen'jian'she 自身建设
'zong'he'zhi'li 综合治理
'zong'jiao'huo'dong'chang'suo 宗教活动场所
'zong'jiao'jiao'zhi'ren'yuan 宗教教职人员
'zong'jiao'jing'dian 宗教经典
'zong'jiao'kan'wu 宗教刊物
'zong'jiao'tuan'ti 宗教团体
'zong'jiao'xin'tu 宗教信徒
'zong'jiao'xin'yang'zi'you'zheng'ce 宗教信仰自由政策
'zong'jiao'yuan'xiao 宗教院校
'zong'jiao'zu'zhi 宗教组织
'zong'shen'tui'jin 纵深推进
'zong'ti'ping'wen 总体平稳
'zong'ti'wen'ding 总体稳定
'zou'chu'di'gu 走出低谷
'zou'shen'zou'shi 走深走实
'zu'guo'tong'yi 祖国统一
'zu'guo'tong'yi'he'ling'tu'wan'zheng 祖国统一和领土完整
'zu'zhi'gong'zuo 组织工作
'zu'zhi'gou'tong 组织沟通
'zu'zhi'xing'shi'duo'yang'xing 组织形式多样性
'zuo'chu'geng'da'gong'xian 作出更大贡献
'zuo'chu'ji'ji'nu'li 作出积极努力
'zuo'feng'jian'she 作风建设
'zuo'feng'min'zhu 作风民主
'zuo'hao'xin'xing'shi'xia'de 做好新形势下的
'zuo'yong'ming'xian 作用明显
