'bai'nei'zhang 白内障
'shen'jing'ying'yang'xing'jiao'mo'jie'mo'yan 神经营养性角膜结膜炎
'shi'jiao'cha'ji'huan 视交叉疾患
'shi'jiao'cha'zong'he'zheng 视交叉综合征
'shi'jue'xing'yun 视觉性晕
'shi'jue'zhang'ai 视觉障碍
'shi'li'di'xia'dan'yan 视力低下单眼
'shi'li'que'sun'shuang'yan 视力缺损双眼
'shi'lu'ji'huan 视路疾患
'shi'pan'yan 视盘炎
'shi'pi'ceng'ji'huan 视皮层疾患
'shi'ru'tou'qian'mo 视乳头前膜
'shi'ru'tou'shui'zhong 视乳头水肿
'shi'ru'tou'zhong'wu 视乳头肿物
'shi'shen'jing'bing'bian 视神经病变
'shi'shen'jing'ji'huan 视神经疾患
'shi'shen'jing'ma'bi 视神经麻痹
'shi'shen'jing'pan'bo'li'you 视神经盘玻璃疣
'shi'shen'jing'pan'nie'ce'cang'bai 视神经盘颞侧苍白
'shi'shen'jing'pan'shui'zhong 视神经盘水肿
'shi'shen'jing'pan'te'zhi'ji'huan 视神经盘特指疾患
'shi'shen'jing'qiao'mo'nei'chu'xue 视神经鞘膜内出血
'shi'shen'jing'ru'tou'yan 视神经乳头炎
'shi'shen'jing'shi'wang'mo'yan 视神经视网膜炎
'shi'shen'jing'shou'ya 视神经受压
'shi'shen'jing'wei'suo 视神经萎缩
'shi'shen'jing'yan 视神经炎
'shi'ta'jia'te'bing 施塔加特病
'shi'wang'mo'ban'hen 视网膜瘢痕
'shi'wang'mo'bian'xing 视网膜变性
'shi'wang'mo'bu'fen'xing'dong'mai'zu'se 视网膜部分性动脉阻塞
'shi'wang'mo'bu'fen'xing'jing'mai'zu'se 视网膜部分性静脉阻塞
'shi'wang'mo'ceng'fen'li 视网膜层分离
'shi'wang'mo'chu'xie 视网膜出血
'shi'wang'mo'da'dong'mai'liu 视网膜大动脉瘤
'shi'wang'mo'dong'mai'gong'xue'bu'zu 视网膜动脉供血不足
'shi'wang'mo'dong'mai'shuan'sai 视网膜动脉栓塞
'shi'wang'mo'duan'lie'bu'ban'you'tuo'li 视网膜断裂不伴有脱离
'shi'wang'mo'fen'zhi'dong'mai'zu'se 视网膜分支动脉阻塞
'shi'wang'mo'fen'zhi'jing'mai'zu'se 视网膜分支静脉阻塞
'shi'wang'mo'hei'bian'bing 视网膜黑变病
'shi'wang'mo'huai'si 视网膜坏死
'shi'wang'mo'ji'huan 视网膜疾患
'shi'wang'mo'jing'mai'zhou'wei'yan 视网膜静脉周围炎
'shi'wang'mo'jing'mai'zu'se 视网膜静脉阻塞
'shi'wang'mo'lie'kong 视网膜裂孔
'shi'wang'mo'nang'zhong 视网膜囊肿
'shi'wang'mo'pi'lie'zheng 视网膜劈裂症
'shi'wang'mo'po'lie 视网膜破裂
'shi'wang'mo'qian'ji'hua'mo 视网膜前机化膜
'shi'wang'mo'que'sun 视网膜缺损
'shi'wang'mo'se'su'bian'xing 视网膜色素变性
'shi'wang'mo'se'su'shang'pi'tuo'li 视网膜色素上皮脱离
'shi'wang'mo'si'lie 视网膜撕裂
'shi'wang'mo'te'zhi'ji'huan 视网膜特指疾患
'shi'wang'mo'tie'zhi'chen'zhuo'bing 视网膜铁质沉着病
'shi'wang'mo'tuo'li 视网膜脱离
'shi'wang'mo'tuo'li'ban'shi'wang'mo'duan'lie 视网膜脱离伴视网膜断裂
'shi'wang'mo'wei'dong'mai'liu 视网膜微动脉瘤
'shi'wang'mo'wei'suo 视网膜萎缩
'shi'wang'mo'xin'sheng'xue'guan 视网膜新生血管
'shi'wang'mo'xue'guan'bing'bian 视网膜血管病变
'shi'wang'mo'xue'guan'qu'zhang 视网膜血管曲张
'shi'wang'mo'xue'guan'yan 视网膜血管炎
'shi'wang'mo'xue'guan'zu'se 视网膜血管阻塞
'shi'wang'mo'ying'yang'zhang'ai 视网膜营养障碍
'shi'wang'mo'zhong'xin'xing'jing'mai'zu'se 视网膜中心性静脉阻塞
'shi'wang'mo'zhong'yang'dong'mai'zu'se 视网膜中央动脉阻塞
'shi'wang'mo'zhou'bian'bian'xing 视网膜周边变性
'shi'wu'bian'xing 视物变形
'shi'wu'mo'hu 视物模糊
'shi'ye'que'sun 视野缺损
'shou'shu'hou'hong'mo'qian'dun 手术后虹膜嵌顿
'shou'shu'hou'hong'mo'tuo'chui 手术后虹膜脱垂
'shou'shu'hou'jie'mo'lou 手术后结膜瘘
'shou'shu'hou'mai'luo'mo'shi'wang'mo'ban'hen 手术后脉络膜视网膜瘢痕
'shou'shu'hou'mai'luo'mo'tuo'li 手术后脉络膜脱离
'shou'shu'hou'shi'wang'mo'ban'hen 手术后视网膜瘢痕
'shou'shu'hou'wu'jing'ti 手术后无晶体
'shou'shu'hou'yan'qian'fang'chu'xie 手术后眼前房出血
'shu'zhuang'jiao'mo'yan 束状角膜炎
'shuang'bi'ce'pian'mang 双鼻侧偏盲
'shuang'yan'shi'li'di'xia 双眼视力低下
'shuang'yan'shi'li'te'zhi'ji'huan 双眼视力特指疾患
'shuang'yan'yun'dong'ji'huan 双眼运动疾患
'si'zhuang'jiao'mo'yan 丝状角膜炎
'tang'niao'bing'bing'yan'bu'bing'bian 糖尿病并眼部病变
'tang'niao'bing'yan'lou 糖尿病眼漏
'te'zhi'bai'nei'zhang 特指白内障
'te'zhi'hong'mo'jie'zhuang'ti'yan 特指虹膜睫状体炎
'te'zhi'ji'xing'jie'mo'yan 特指急性结膜炎
'te'zhi'jiao'mo'ban'hen'he'hun'zhuo 特指角膜瘢痕和混浊
'te'zhi'jiao'mo'shui'zhong 特指角膜水肿
'te'zhi'jiao'mo'yan 特指角膜炎
'te'zhi'jie'mo'xue'guan'ji'huan 特指结膜血管疾患
'te'zhi'jie'mo'yan 特指结膜炎
'te'zhi'lao'nian'xing'bai'nei'zhang 特指老年性白内障
'te'zhi'ma'bi'xing'xie'shi 特指麻痹性斜视
'te'zhi'mai'luo'mo'shi'wang'mo'yan 特指脉络膜视网膜炎
'te'zhi'qing'guang'yan 特指青光眼
'te'zhi'shi'jue'zhang'ai 特指视觉障碍
'te'zhi'shi'lu'ji'huan 特指视路疾患
'te'zhi'shi'wang'mo'dong'mai'zu'se 特指视网膜动脉阻塞
'te'zhi'shi'wang'mo'tuo'li 特指视网膜脱离
'te'zhi'shi'wang'mo'xue'guan'zu'se 特指视网膜血管阻塞
'te'zhi'shuang'yan'yun'dong'ji'huan 特指双眼运动疾患
'te'zhi'xie'shi 特指斜视
'te'zhi'zeng'sheng'xing'shi'wang'mo'bing'bian 特指增生性视网膜病变
'te'zhi'zhong'xin'xing'jiao'mo'hun'zhuo 特指中心性角膜混浊
'te'zhi'zhou'wei'xing'xuan'yun 特指周围性眩晕
'tiao'jie'ji'huan 调节疾患
'tiao'jie'xing'nei'xie'shi 调节性内斜视
'tong'kong'bi'he 瞳孔闭合
'tong'kong'bi'suo 瞳孔闭锁
'tong'kong'gong'neng'yi'chang 瞳孔功能异常
'tong'kong'hou'zhan'lian 瞳孔后粘连
'tong'kong'kuo'yue'ji'ma'bi 瞳孔括约肌麻痹
'tong'kong'mo 瞳孔膜
'tong'kong'san'da 瞳孔散大
'tong'kong'suo'xiao 瞳孔缩小
'tong'kong'yi'wei 瞳孔移位
'tong'xiang'xing'zhu'shi'ma'bi 同向性注视麻痹
'tong'xing'yan'ji'ma'bi 痛性眼肌麻痹
'tu'ran'shi'li'sang'shi 突然视力丧失
'tu'yan 兔眼
'tu'yan'xing'qing'kuang 突眼性情况
'wai'shang'xing'bai'nei'zhang 外伤性白内障
'wai'zhan'shen'jing'yan 外展神经炎
'wei'guang 畏光
'wei'xie'shi 微斜视
'wu'hong'mo'qing'guang'yan 无虹膜青光眼
'wu'jing'ti'xing'qing'guang'yan 无晶体性青光眼
'wu'jing'zhuang'ti 无晶状体
'wu'jing'zhuang'ti'xing'qing'guang'yan 无晶状体性青光眼
'xi'jun'xing'jiao'mo'kui'yang 细菌性角膜溃疡
'xi'jun'xing'jiao'mo'yan 细菌性角膜炎
'xi'jun'xing'jie'mo'yan 细菌性结膜炎
'xia'xie'shi 下斜视
'xian'tian'xing'dao'jie 先天性倒睫
'xian'tian'xing'ma'bi'xing'xie'shi 先天性麻痹性斜视
'xian'tian'xing'nei'xie'shi 先天性内斜视
'xian'tian'xing'qiu'xing'jiao'mo'ban'qing'guang'yan 先天性球形角膜伴青光眼
'xian'tian'xing'wai'xie'shi 先天性外斜视
'xian'tian'xing'yan'ji'xing 先天性眼畸形
'xian'tian'xing'yan'qiu'zhen'chan 先天性眼球震颤
'xiao'pao'xing'jiao'mo'jie'mo'yan 小泡性角膜结膜炎
'xie'shi 斜视
'xin'sheng'er'jian'yuan'yan 新生儿睑缘炎
'xin'sheng'er'qing'guang'yan 新生儿青光眼
'xin'sheng'xue'guan'xing'qing'guang'yan 新生血管性青光眼
'xuan'zhuan'xie'shi 旋转斜视
'xue'ying'xi'bao'xing'qing'guang'yan 血影细胞性青光眼
'ya'ji'xing'hong'mo'jie'zhuang'ti'yan 亚急性虹膜睫状体炎
'yan'bai'hua'bing 眼白化病
'yan'bu'tong 眼部痛
'yan'cao'xing'ruo'shi 烟草性弱视
'yan'cuo'shang 眼挫伤
'yan'di'chu'xie 眼底出血
'yan'dong'mai'dong'mai'liu 眼动脉动脉瘤
'yan'dong'tai'wei'ding'zhong'liu 眼动态未定肿瘤
'yan'e'xing'zhong'liu 眼恶性肿瘤
'yan'fa'yu'bu'quan 眼发育不全
'yan'gu'guan'ji'huan 咽鼓管疾患
'yan'gu'guan'kai'fang'zheng 咽鼓管开放症
'yan'gu'guan'te'zhi'ji'huan 咽鼓管特指疾患
'yan'gu'guan'zu'se 咽鼓管阻塞
'yan'he'fu'qi'cao'zuo'hou'ji'huan 眼和附器操作后疾患
'yan'he'fu'qi'ji'huan 眼和附器疾患
'yan'he'fu'qi'te'zhi'cao'zuo'hou'ji'huan 眼和附器特指操作后疾患
'yan'he'fu'qi'te'zhi'ji'huan 眼和附器特指疾患
'yan'hou'zu'zhi'liang'xing'zhong'liu 眼后组织良性肿瘤
'yan'huai'si'xing'se'su'mo'yan 眼坏死型色素膜炎
'yan'ji'ma'bi 眼肌麻痹
'yan'ji'xian'wei'hua 眼肌纤维化
'yan'jian'bi'he'bu'quan 眼睑闭合不全
'yan'jian'bi'suo 眼睑闭锁
'yan'jian'cha 眼检查
'yan'jian'chu'xie 眼睑出血
'yan'jian'dai'zhuang'pao'zhen 眼睑带状疱疹
'yan'jian'dian'fen'yang'bian'xing 眼睑淀粉样变性
'yan'jian'duo'mao'zheng 眼睑多毛症
'yan'jian'fa'yu'bu'quan 眼睑发育不全
'yan'jian'fei'gan'ran'xing'pi'fu'bing 眼睑非感染性皮肤病
'yan'jian'feng'wo'zu'zhi'yan 眼睑蜂窝组织炎
'yan'jian'he'yan'zhou'qu'yu'te'zhi'bian'xing'xing'ji'huan 眼睑和眼周区域特指变性性疾患
'yan'jian'hei'bian'bing 眼睑黑变病
'yan'jian'huai'si 眼睑坏死
'yan'jian'huang'ban'liu 眼睑黄斑瘤
'yan'jian'huang'he'ban 眼睑黄褐斑
'yan'jian'ji'huan 眼睑疾患
'yan'jian'ji'ma'bi 眼睑肌麻痹
'yan'jian'jiao'hua'bing 眼睑角化病
'yan'jian'jie'di'zu'zhi'liang'xing'zhong'liu 眼睑结缔组织良性肿瘤
'yan'jian'jie'mao'tuo'luo 眼睑睫毛脱落
'yan'jian'jie'shi 眼睑结石
'yan'jian'jing'luan 眼睑痉挛
'yan'jian'lie'shang 眼睑裂伤
'yan'jian'lie'shang'ban'lei'xiao'guan'duan'lie 眼睑裂伤伴泪小管断裂
'yan'jian'lou 眼睑瘘
'yan'jian'nei'fan 眼睑内翻
'yan'jian'nong'zhong 眼睑脓肿
'yan'jian'pi'fu'e'xing'zhong'liu 眼睑皮肤恶性肿瘤
'yan'jian'pi'fu'song'chi'zheng 眼睑皮肤松驰症
'yan'jian'pi'fu'song'chui 眼睑皮肤松垂
'yan'jian'pi'yan 眼睑皮炎
'yan'jian'pi'zhi'xian'nang'zhong 眼睑皮脂腺囊肿
'yan'jian'pi'zhui 眼睑皮赘
'yan'jian'rou'ya'zhong 眼睑肉芽肿
'yan'jian'shao'shang 眼睑烧伤
'yan'jian'shui'zhong 眼睑水肿
'yan'jian'te'zhi'ji'huan 眼睑特指疾患
'yan'jian'te'zhi'shen'bu'yan'zheng 眼睑特指深部炎症
'yan'jian'te'zhi'yan'zheng 眼睑特指炎症
'yan'jian'tui'suo 眼睑退缩
'yan'jian'wei'suo 眼睑萎缩
'yan'jian'xue'zhong 眼睑血肿
'yan'jian'yan 眼睑炎
'yan'jian'yan'xing'jia'liu 眼睑炎性假瘤
'yan'jian'yi'wu 眼睑异物
'yan'jian'zhan'lian'xing'ban'hen 眼睑粘连性瘢痕
'yan'jian'zhong'wu 眼睑肿物
'yan'jie'he 眼结核
'yan'jie'mo'tuo'chui 眼结膜脱垂
'yan'kuang'chu'xie 眼眶出血
'yan'kuang'cuo'shang 眼眶挫伤
'yan'kuang'e'xing'lin'ba'liu 眼眶恶性淋巴瘤
'yan'kuang'gu'mo'yan 眼眶骨膜炎
'yan'kuang'gu'sui'yan 眼眶骨髓炎
'yan'kuang'guan'tong'shang'hou'can'liu'chen'jiu'xing'yi'wu 眼眶贯通伤后残留陈旧性异物
'yan'kuang'ji'huan 眼眶疾患
'yan'kuang'ji'xing 眼眶畸形
'yan'kuang'ji'xing'yan'zheng 眼眶急性炎症
'yan'kuang'jia'liu 眼眶假瘤
'yan'kuang'jiao'jie'e'xing'zhong'liu 眼眶交界恶性肿瘤
'yan'kuang'jie'he 眼眶结核
'yan'kuang'jing'mai'qu'zhang 眼眶静脉曲张
'yan'kuang'man'xing'yan'xing'ji'huan 眼眶慢性炎性疾患
'yan'kuang'nang'zhong 眼眶囊肿
'yan'kuang'nei'nong'zhong 眼眶内脓肿
'yan'kuang'nei'rou'ya'zhong 眼眶内肉芽肿
'yan'kuang'shui'zhong 眼眶水肿
'yan'kuang'te'zhi'ji'huan 眼眶特指疾患
'yan'kuang'tong 眼眶痛
'yan'kuang'wei'suo 眼眶萎缩
'yan'kuang'yan'xing'jia'liu 眼眶炎性假瘤
'yan'kuang'zhong'liu 眼眶肿瘤
'yan'kuang'zhong'wu 眼眶肿物
'yan'kuang'zong'he'zheng 眼眶综合征
'yan'liang'xing'zhong'liu 眼良性肿瘤
'yan'nei'chu'xue 眼内出血
'yan'nei'e'xing'zhong'liu 眼内恶性肿瘤
'yan'nei'yan 眼内炎
'yan'nei'zhi'ji'ma'bi 眼内直肌麻痹
'yan'nong'zhong 眼脓肿
'yan'qian'fang'chu'xie 眼前房出血
'yan'qiu'bian'xing'xing'qing'kuang 眼球变性性情况
'yan'qiu'chuan'tong'shang'ban'ci'xing'yi'wu 眼球穿通伤伴磁性异物
'yan'qiu'chuan'tong'shang'ban'fei'ci'xing'yi'wu 眼球穿通伤伴非磁性异物
'yan'qiu'chuan'tong'shang'ban'yi'wu 眼球穿通伤伴异物
'yan'qiu'e'xing'zhong'liu 眼球恶性肿瘤
'yan'qiu'hou'tui'zong'he'zheng 眼球后退综合征
'yan'qiu'hou'xue'guan'liu 眼球后血管瘤
'yan'qiu'hou'yan'zheng 眼球后炎症
'yan'qiu'ji'huan 眼球疾患
'yan'qiu'jian'xing'shao'shang 眼球碱性烧伤
'yan'qiu'jin'mo'yan 眼球筋膜炎
'yan'qiu'lao 眼球痨
'yan'qiu'liang'xing'zhong'liu 眼球良性肿瘤
'yan'qiu'nei'xian 眼球内陷
'yan'qiu'pang'nang'zhong 眼球旁囊肿
'yan'qiu'shao'shang 眼球烧伤
'yan'qiu'suan'xing'shao'shang 眼球酸性烧伤
'yan'qiu'te'zhi'bian'xing'xing'ji'huan 眼球特指变性性疾患
'yan'qiu'te'zhi'ji'huan 眼球特指疾患
'yan'qiu'tie'zhi'chen'zhuo'bing 眼球铁质沉着病
'yan'qiu'tu'chu 眼球突出
'yan'qiu'tuo'wei 眼球脱位
'yan'qiu'wei'suo 眼球萎缩
'yan'qiu'yi'wei 眼球移位
'yan'qiu'yuan'wei'ai 眼球原位癌
'yan'qiu'yun'dong'zhang'ai 眼球运动障碍
'yan'qiu'zhai'chu'shu'hou'zhuang'tai 眼球摘除术后状态
'yan'qiu'zhan'chan 眼球展颤
'yan'qiu'zhen'chan 眼球震颤
'yan'qiu'zhong'wu 眼球肿物
'yan'que'xue'zong'he'zheng 眼缺血综合征
'yan'se'su'ceng'nao'mo'yan 眼色素层脑膜炎
'yan'se'su'mo'yan'pu'tao'mo'yan 眼色素膜炎葡萄膜炎
'yan'shang'xie'ji'ma'bi 眼上斜肌麻痹
'yan'shang'zhi'ji'ma'bi 眼上直肌麻痹
'yan'shi'ming 眼失明
'yan'sun'shang 眼损伤
'yan'tie'zhi'chen'zhuo'bing 眼铁质沉着病
'yan'tong 眼痛
'yan'tong'xie'chen'zhuo'bing 眼铜屑沉着病
'yan'wai'ji'liang'xing'zhong'liu 眼外肌良性肿瘤
'yan'wai'zhi'ji'ma'bi 眼外直肌麻痹
'yan'xia'xie'ji'ma'bi 眼下斜肌麻痹
'yan'xia'zhi'ji'ma'bi 眼下直肌麻痹
'yan'xian'shu'shu'hong'ban'xian'cao'pi'bing 眼险蜀黍红斑险糙皮病
'yan'xian'zhong'wu 眼险肿物
'yan'xing'ge'lin'shi'bing'jin'run'xing'tu'yan 眼型格林氏病浸润性突眼
'yan'ya'guo'gao 眼压过高
'yan'yan 眼炎
'yan'yan'hou'qing'guang'yan 眼炎后青光眼
'yan'yan'xing'ji'ying'yang'bu'liang'zheng 眼咽型肌营养不良症
'yan'yan'xing'jia'liu 眼炎性假瘤
'yan'zhen'dang 眼震荡
'yan'zhong'liu 眼肿瘤
'yan'zhou'qu'cuo'shang 眼周区挫伤
'yan'zhui'yan 岩锥炎
'yan'zi'nong'zhong 眼眦脓肿
'yao'wu'xing'bai'nei'zhang 药物性白内障
'yao'wu'xing'jiao'mo'jie'mo'yan 药物性角膜结膜炎
'yao'wu'xing'qing'guang'yan 药物性青光眼
'ye'mang 夜盲
'yi'chuan'xing'jiao'mo'ying'yang'bu'liang 遗传性角膜营养不良
'yi'chuan'xing'mai'luo'mo'ying'yang'zhang'ai 遗传性脉络膜营养障碍
'yi'chuan'xing'shi'shen'jing'bing 遗传性视神经病
'yi'chuan'xing'shi'wang'mo'bian'xing 遗传性视网膜变性
'yi'lei 溢泪
'yi'se'xing'hong'mo'yan 异色性虹膜炎
'yi'yan'tai'bao'lu 义眼台暴露
'yi'yuan'xing'shi'wang'mo'tuo'li 医源性视网膜脱离
'yi'zhuang'nu'rou 翼状胬肉
'yin'xie'shi 隐斜视
'yin'yan 隐眼
'ying'er'qi'bai'nei'zhang 婴儿期白内障
'ying'hua'xing'jiao'mo'yan 硬化性角膜炎
'ying'xiang'bu'deng 影像不等
'ying'xiang'yan'jian'gong'neng'te'zhi'ji'huan 影响眼睑功能特指疾患
'you'nian'qi'bai'nei'zhang 幼年期白内障
'you'nian'xing'bai'nei'zhang 幼年性白内障
'yuan'da'xing'shi'wang'mo'bing 远达性视网膜病
'yuan'fa'xing'bi'jiao'xing'qing'guang'yan 原发性闭角型青光眼
'yuan'fa'xing'kai'jiao'xing'qing'guang'yan 原发性开角型青光眼
'yuan'fa'xing'shi'wang'mo'tuo'li 原发性视网膜脱离
'yuan'shi 远视
'yuan'tian'bing 原田病
'yuan'zhui'jiao'mo 圆锥角膜
'yuan'zhui'xing'jiao'mo 圆锥形角膜
'yun'dong'xing'nei'xie'shi 运动性内斜视
'yun'dong'xing'wai'xie'shi 运动性外斜视
'zao'chan'er'shi'wang'mo'bing'bian 早产儿视网膜病变
'zao'lao'xing'bai'nei'zhang 早老性白内障
'ze'mo'lin'huan 泽默林环
'zeng'sheng'xing'bo'li'ti'bing'bian 增生性玻璃体病变
'zeng'sheng'xing'bo'li'ti'shi'wang'mo'bing'bian 增生性玻璃体视网膜病变
'zeng'sheng'xing'shi'wang'mo'bing 增生性视网膜病
'zha'yan'zheng 眨眼症
'zhan'lian'xing'bai'ban 粘连性白斑
'zhan'lian'xing'jiao'mo'yan 粘连性角膜炎
'zhan'lian'xing'xie'shi 粘连性斜视
'zhen'jun'xing'jiao'mo'yan 真菌性角膜炎
'zheng'chang'yan'ya'xing'qing'guang'yan 正常眼压性青光眼
'zhi'jue'xing'nei'xie'shi 知觉性内斜视
'zhi'jue'xing'wai'xie'shi 知觉性外斜视
'zhong'du'shi'li'que'sun'dan'yan 中度视力缺损单眼
'zhong'du'shi'li'que'sun'dan'yan 重度视力缺损单眼
'zhong'du'shi'li'que'sun'shuang'yan 中度视力缺损双眼
'zhong'du'shi'li'que'sun'shuang'yan 重度视力缺损双眼
'zhong'du'xing'bai'nei'zhang 中毒性白内障
'zhong'du'xing'ruo'shi 中毒性弱视
'zhong'du'xing'shi'shen'jing'sun'hai 中毒性视神经损害
'zhong'shu'xing'xuan'yun 中枢性眩晕
'zhong'shu'xing'yan'qiu'zhen'chan 中枢性眼球震颤
'zhong'xin'xing'jiang'ye'xing'mai'luo'mo'shi'wang'mo'bing'bian 中心性浆液性脉络膜视网膜病变
'zhong'xin'xing'jiao'mo'kui'yang 中心性角膜溃疡
'zhong'zheng'ji'wu'li'xie'shi 重症肌无力斜视
'zhou'mang 昼盲
'zhou'wei'xing'shi'wang'mo'bian'xing 周围性视网膜变性
'zhu'guan'shi'jue'zhang'ai 主观视觉障碍
'zhuan'yi'xing'yan'nei'yan 转移性眼内炎
'zong'he'zheng 综合征
