'a'lai'ye'shi 阿赖耶识
'yi'fang'shi'fen'cheng'de'liang'zhong'xiang'wei 依方式分成的两种相违
'yi'gen 意根
'yi'gong'xiang 异共相
'yi'gong'xiang'fen'bie 异共相分别
'yi'jie 意界
'yi'lei 异类
'yi'pin 异品
'yi'pin'bian'you 异品遍有
'yi'pin'ding'wu'tong'pin'bian'you 异品定无同品遍有
'yi'pin'fei'you 异品非有
'yi'pin'zhou'bian 异品周遍
'yi'shi 意识
'yi'shi'xian'liang 意识现量
'yi'shu'guo 异熟果
'yi'shu'yin 异熟因
'yi'ti'jing'ti 义体境体
'yi'xian'shi 意现识
'yi'yan'xi'qi 意言习气
'yi'yin'tong'yi 依因同一
'yi'yin'xiang'zhu'bu'cheng 依因相属不成
'yi'yin'xiang'zhu'you'yu'bu'cheng 依因相属犹豫不成
'yi'yu 异喻
'yi'zheng'yi'wei 已证已违
'yin'bian'ju'bu'cheng 因遍俱不成
'yin'bian'ju'cheng 因遍俱成
'yin'bian'ju'yi'liang'cheng 因遍俱依量成
'yin'bian'ju'yi'xu'cheng 因遍俱依许成
'yin'cang'fen 隐藏分
'yin'di'lun 因滴论
'yin'di'lun'guang'zhu 因滴论广注
'yin'di'lun'shi 因滴论释
'yin'fa 因法
'yin'fa'ba'zhou'bian 因法八周遍
'yin'fa'li'liang 因法立量
'yin'fa'shi'yin'fa'ji'shi'san'zhe 因法事因法及事三者
'yin'fa'tong'yi 因法同一
'yin'fa'tui'zhi'guo'yin 因法推知果因
'yin'fan'ti 因反体
'yin'lei'lun'zhu 因类论著
'yin'li 因理
'yin'lun'jue'ze 因轮抉择
'yin'ming 因明
'yin'ming'lun'zhu 因明论著
'yin'ming'qi'lun'chu'an'qing'yan'zhu 因明七论除暗庆严注
'yin'ming'qi'lun'huo'qi'bu'liang'li'lun 因明七论或七部量理论
'yin'ming'ru'zheng'li'lun 因明入证理论
'yin'ming'xue'zhe 因明学者
'yin'neng'li'ying'cheng 引能立应成
'yin'se 因色
'yin'ti'xing'bu'cheng 因体性不成
'yin'wei'xiang'wei'guo'wei'ke'de'ying'cheng 因位相违果位可得应成
'yin'wei'xiang'wei'suo'bian'ke'de'ying'cheng 因位相违所遍可得应成
'yin'wei'xiang'wei'yin'wei'ke'de'ying'cheng 因位相违因位可得应成
'yin'xiang'wei 因相违
'yin'xiang'wei'guo'ke'de 因相违果可得
'yin'xiang'wei'suo'bian'ke'de 因相违所遍可得
'yin'xiang'wei'zi'xing'ke'de 因相违自性可得
'yin'xiang'wei'zi'xing'ke'de'ying'cheng 因相违自性可得应成
'yin'yi'fen'you'fa'bu'cheng 因一分有法不成
'yin'yi'liang'cheng'bian'yi'xu'cheng 因依量成遍依许成
'yin'yin'tiao 音音调
'yin'ying 阴影
'yin'you'li 因由力
'yin'you'yu'bu'cheng 因犹豫不成
'yin'yu'zhou'yan'jie'cheng'li'zhi'ying'cheng'lun'shi 因与周延皆成立之应成论式
'yin'yuan 因缘
'yin'zhi 因支
'ying'cheng 应成
'ying'cheng'dui'da 应成对答
'ying'cheng'dui'da'si'jie'tuo'men 应成对答四解脱门
'ying'cheng'san'fa 应成三法
'ying'wu'li'wai 应无例外
'ying'zi 影子
'you'bian'ji 有遍计
'you'fa 有法
'you'fa'ti'xing'bu'cheng 有法体性不成
'you'fa'yi'fen'yin'bu'cheng 有法一分因不成
'you'fa'you'yu'bu'cheng 有法犹豫不成
'you'fen'bie'dian'dao'shi 有分别颠倒识
'you'gong'yong'shi'you 有功用实有
'you'guo'ke'de'ying'cheng 有果可得应成
'you'ji'sheng 有记声
'you'jian'se'ke'jian'se 有见色可见色
'you'jing 有境
'you'jing'zhe 有境者
'you'se'gen 有色根
'you'tong'ru'si'ze'lun 幼童入思择论
'you'wei 有为
'you'wei'fa 有为法
'you'yi'gen 有依根
'you'yu 有余
'you'yu 犹豫
'you'yu'bu'ding'yin 有余不定因
'you'yu'you'yu 犹豫有余
'you'zhi'shou'da'zhong'sheng 有执受大种声
'you'zhi'xi'qi 有支习气
'yu'jia'xian'liang 瑜伽现量
'yu'jia'xian'shi 瑜伽现识
'yu'mao'dun'xiang'mao'dun 与矛盾相矛盾
'yu'wei'xiang'wei 与违相违
'yu'wu'you'fa 欲悟有法
'yuan'li'zhe 原立者
'yuan'pan'yuan'huan'yuan 缘攀缘缓缘
'yuan'qi'yin 缘起因
'yuan'ti'xin 缘体心
'yuan'ti'zhi'yuan'zi'ti 缘体直缘自体
'yuan'you'bu'de'yin 原由不得因
'yuan'you'dui'li'guo'ke'de'yin 原由对立果可得因
'yuan'you'xiang'wei'ke'de'yin 原由相违可得因
'zai'jue'shi 再决识
'ze'nan 责难
'zeng'shang'guo 增上果
'zeng'shang'yuan 增上缘
'zeng'zhang'yin 增长因
'zhao'le'jing 照了境
'zhao'yin'neng'li'ying'cheng 招引能立应成
'zhao'yin'ta'lei'ying'cheng 招引他类应成
'zhao'yin'zi'lei'ying'cheng 招引自类应成
'zhao'yin'zi'xu 招引自续
'zhe'qian 遮遣
'zhe'qian'qu'ru 遮遣趋入
'zhe'qian'qu'ru'xin 遮遣趋入心
'zhe'tong'yi'yi 遮同一异
'zhen'bi'liang 真比量
'zhen'lun'shi 真论式
'zhen'ru 真如
'zhen'shi 真实
'zhen'shi'cheng'jiu 真实成就
'zhen'shi'wai'jing 真实外境
'zhen'suo'li 真所立
'zhen'yin 真因
'zhen'ying'cheng 真应成
'zhen'zheng'you'yu 真正有余
'zheng'bu'ding'yin 正不定因
'zheng'chang'you'jing 正常有境
'zheng'cheng'dao'li'shi'you 证成道理实有
'zheng'cheng'ming'yan'yin 证成名言因
'zheng'cheng'yi'li'yin 证成义理因
'zheng'li'bao'zang'zhu'jie 正理宝藏注解
'zheng'li'di'lun 正理滴论
'zheng'li'di'lun'guang'zhu 正理滴论广注
'zheng'li'di'lun'qian'pin'she'yi 正理滴论前品摄义
'zheng'li'di'lun'she'yi 正理滴论摄义
'zheng'li'zhi'shang'lun'zhu 正理之商论注
'zheng'liang'dao'li 正量道理
'zheng'lun'gui 正论轨
'zheng'mian'dui'da 正面对答
'zheng'que'li'you 正确理由
'zheng'que'nei'xin 正确内心
'zheng'suo'po'yin 正所破因
'zheng'tong'pin'bian 正同品遍
'zheng'tong'yu 正同喻
'zheng'yan'liang 证言量
'zheng'yi'yu 正异喻
'zheng'yu 正喻
'zheng'yuan'man 证圆满
'zheng'zheng'li'lun 诤正理论
'zheng'zheng'li'lun'xi'yi'zhu 诤正理论析义注
'zhi'chang'zhi 知常智
'zhi'jie'jin'qu'yin 直接近取因
'zhi'jie'xiang'wei 直接相违
'zhi'lei'you 质类有
'zhi'liu 质流
'zhi'tong 质同
'zhi'wu'zhi 知无智
'zhi'xu 直叙
'zhi'yi 质异
'zhi'you'zhi 知有智
'zhi'zhe'miu'wu 指谪谬误
'zhou'bian'bu'ding 周遍不定
'zhou'bian'duan'yu 周遍断语
'zhou'bian'wu'yin'xin 周遍悟因心
'zhou'bian'xiang'wei 周遍相违
'zhou'bian'zhuan 周遍转
'zhou'yan'pan'duan 周延判断
'zhu'ban'yin 助伴因
'zhuan'shi 转识
'zi'ding'liang 自定量
'zi'fan'ti 自反体
'zi'fan'tong 自反同
'zi'fan'yi 自反异
'zi'wu'zi'zheng 自悟自证
'zi'xiang 自相
'zi'xing'bu'ke'de'yin 自性不可得因
'zi'xing'dui'li'ke'de'yin 自性对立可得因
'zi'xing'ke'de'ying'cheng 自性可得应成
'zi'xing'xiang'wei'guo'ke'de 自性相违果可得
'zi'xing'xiang'wei'guo'wei'ke'de'ying'cheng 自性相违果位可得应成
'zi'xing'xiang'wei'suo'bian'ke'de 自性相违所遍可得
'zi'xing'xiang'wei'suo'bian'ke'de'ying'cheng 自性相违所遍可得应成
'zi'xing'xiang'wei'yin 自性相违因
'zi'xing'xiang'wei'yin'ke'de'ying'cheng 自性相违因可得应成
'zi'xing'xiang'wei'zi'xing'ke'de 自性相违自性可得
'zi'xing'xiang'wei'zi'xing'ke'de'ying'cheng 自性相违自性可得应成
'zi'xing'yin 自性因
'zi'xing'yuan'li'shi 自性远离事
'zi'xu'yin 自续因
'zi'yu'di'chu 自语抵触
'zi'yu'xiang'wei 自语相违
'zi'zai'se 自在色
'zi'zai'tian'hui'mie'ji 自在天毁灭偈
'zi'zheng'fen'xian'liang 自证分现量
'zi'zheng'fen'xian'shi 自证分现识
'zong'fa 宗法
'zong'fa'bu'ji'cheng 宗法不极成
'zong'fa'jiu'ju 宗法九句
'zong'fa'wu'yin'xin 宗法悟因心
'zong'jiao'bian'lun 宗教辩论
'zong'yi 宗依
'zong'yin'yu'san'zhi 宗因喻三支
'zong'yin'zheng'cheng'guo'yin 总因证成果因
'zui'ji'yin'bi'zui'bu'xian'qian 最极隐蔽最不现前
