'an'dian 鞍点
'zhong'cai'yang'fa 重采样法
'zhong'fu'quan'fa 重赋权法
'zhong'yang'chu'li'qi 中央处理器
'zhong'zhi'tiao'jian 终止条件
'zhu'cheng'fen'fen'xi 主成分分析
'zhu'yi'ji'zhi 注意机制
'zhu'yi'li'ji'zhi 注意力机制
'zhuang'tai'te'zheng'han 状态特征函
'zhuang'xiang'wen'ti 装箱问题
'zhun'que'lv 准确率
'zi'bian'ma'qi 自编码器
'zi'dai'qun'ti 子代群体
'zi'dong'jia'shi 自动驾驶
'zi'dong'yu'yin'shi'bie 自动语音识别
'zi'dong'zhai'yao 自动摘要
'zi'kong'jian 子空间
'zi'ran'yu'yan'chu'li 自然语言处理
'zi'ran'yu'yan'sheng'cheng 自然语言生成
'zi'shi'ying'bian'yi 自适应变异
'zi'shi'ying'jiao'cha 自适应交叉
'zi'shi'ying'xie'zhen'li'lun 自适应谐振理论
'zi'zhu'cai'yang'fa 自助采样法
'zi'zhu'fa 自助法
'zi'zu'zhi'ying'she 自组织映射
'zu'jian'xue'xi'qi 组件学习器
'zui'da'chi'hua 最大池化
'zui'da'dai'quan'sheng'cheng'shu 最大带权生成树
'zui'da'jian'ge 最大间隔
'zui'da'si'ran 最大似然
'zui'da'tuan 最大团
'zui'jin'lin'suan'fa 最近邻算法
'zui'xiao'er'cheng'fa 最小二乘法
'zui'xiao'er'cheng'hui'gui'shu 最小二乘回归树
'zui'xiao'miao'shu'chang'du 最小描述长度
'zui'xiao'qi'pian'wen'ti 最小欺骗问题
'zui'xiao'zui'da'bo'yi 最小最大博弈
'zui'you'hua 最优化
