'ai'gao'qiu'zhi'wu'nv 哀高丘之无女
'zhong'jie'jing'jin'yi'tan'lan'xi 众皆竞进以贪婪兮
'zhong'nv'ji'yu'zhi'e'mei'xi 众女嫉余之蛾眉兮
'zhong'ran'yao'hu'yu'zhi'ye 终然殀乎羽之野
'zhou'liu'guan'hu'shang'xia 周流观乎上下
'zhou'liu'hu'tian'yu'nai'xia 周流乎天余乃下
'zhou'lun'dao'er'mo'cha 周论道而莫差
'zhuo'you'tan'fu'jue'jia 浞又贪夫厥家
'zi'qian'shi'er'gu'ran 自前世而固然
'zi'yu'yue'ling'jun 字余曰灵均
'zong'yu'er'bu'ren 纵欲而不忍
'zong'yu'pei'hu'fu'sang 总余辔乎扶桑
'zou'jiu'ge'er'wu'shao'xi 奏九歌而舞韶兮
'zun'chi'shui'er'rong'yu 遵赤水而容与
'zuo'can'yi'xi'you'ren'shang 左骖殪兮右刃伤
