'a'yi'su 阿依苏
'yin'bing'jie'dao 阴兵借道
'yin'ma'ai 饮马隘
'yin'wu'lin 隐雾林
'yin'yang'mi'zong'bu 阴阳迷踪步
'yin'yang'ru'ying 阴阳如影
'yin'yue'shan'zhong'sui 隐月山钟碎
'yin'yun 音韵
'ying'chou'ling 鹰愁岭
'ying'guang'hui'ye 萤光晖夜
'ying'sheng 营生
'ying'yang'hu'shi 鹰扬虎视
'ying'ying 盈盈
'ying'yuan 荧渊
'ying'zhao'lian'zao 鹰爪连凿
'you'ling'su 幽灵速
'you'qiu'bi'ying 有囚必应
'you'ya'she'ying 幽牙蛇影
'yu'bai'chuan 鱼柏川
'yu'bing'xi 与冰嬉
'yu'chi 玉池
'yu'li'tou'tuo 愚力头陀
'yu'lu'tai 玉露台
'yu'lu'wei'xiang 玉露为乡
'yu'mu'tou'tuo 愚目头陀
'yu'shan'you'shan 玉扇游山
'yu'tu'niao 於突鸟
'yu'xiang'qian'di 鱼翔潜底
'yu'yuan'bei 御苑北
'yu'yuan'nan 御苑南
'yuan'cheng'shi 元成实
'yuan'cheng'shu'chu 远程输出
'yuan'hui 圆慧
'yuan'qi 元气
'yuan'sheng 元生
'yuan'tian'tian 元甜甜
'yuan'tong 圆通
'yuan'xian'xian 元咸咸
'yuan'you'zhi'seng 远游之僧
'yue'li 阅历
'yun'meng'jin'ming'chi 云梦金明池
'yun'you'yin'ji 云游印记
'zai'ju 载具
'zao'xiang'chu 造像处
'zeng'shang 增伤
'zeng'yi 增益
'zhan'ba'fang 战八方
'zhan'dou'shu'xing 战斗属性
'zhan'ling 战令
'zhan'shi'chuan'dai 展示穿戴
'zhan'xue'dao'fa 斩雪刀法
'zhan'zheng'da'rou 盏蒸大肉
'zhang'an'kang 张安康
'zhang'bao 张豹
'zhang'bu'man 张布满
'zhang'da'zhuang 张大壮
'zhang'gua'gu 张卦姑
'zhang'hu 张虎
'zhang'jia'jiu'zhai 张家旧宅
'zhang'long 张龙
'zhao'cai 招财
'zhao'da'ge 赵大哥
'zhao'da'li 赵大力
'zhao'mao'kang 照卯康
'zhao'wei'ye 赵威业
'zhen'guan'hou 镇关吼
'zhen'qi'zui'da'zhi 真气最大值
'zhen'shou 镇守
'zheng'e 郑鄂
'zheng'feng 争锋
'zheng'qi 正气
'zheng'ran 郑然
'zheng'ren'gui 征人归
'zhi'ge 止戈
'zhi'jie'hui'xin'lv 直接会心率
'zhi'jie'hui'yi'lv 直接会意率
'zhi'liao 治疗
'zhi'neng'zhu'zhan 智能助战
'zhi'qu'zong'shu'xing 志趣总属性
'zhi'xiang'zhi'rou 脂香炙肉
'zhi'xuan'pian'zhu 指玄篇注
'zhong'shang'shuang 冢上霜
'zhong'sheng 众生
'zhou'bian 周边
'zhou'duan'de'zhong'sheng 骤断的钟声
'zhou'shi'yin 周诗寅
'zhu'ba'wan 朱八碗
'zhu'chun'qiu 铸春秋
'zhu'lang'xin'jing 逐狼心经
'zhu'lin'jiu'ju 竹林旧居
'zhu'ri'zhui'feng 逐日追风
'zhu'xie'gu'le 朱邪骨勒
'zhu'you'tuo 猪油坨
'zhu'zhang 主章
'zhuang'bei 装备
'zhuang'ke 庄客
'zhuang'ke'guan'li 庄客管理
'zhui'ji 追击
'zhui'zong'ren'wu 追踪任务
'zhuo'bu'ting 啄不停
'zi'jiang'ju 梓匠居
'zi'xin'da'ji 自信打击
'zi'xin'fang'yu 自信防御
'zi'xin'hu'dun'zui'da'zhi 自信护盾最大值
'zi'zai'wu'ai 自在无碍
'zong'di'zhai'xing 纵地摘星
'zui'chu'de'yuan'wang 最初的愿望
'zui'hua'yin 醉花阴
'zui'meng'you'chun 醉梦游春
'zui'quan'ke 醉拳客
'zuo'kan'yun'qi 坐看云起
'zuo'qi'ji'neng 坐骑技能
