'a'bei'qi'nuo 阿贝奇诺
'dian'hua'jia'di'yan'ye'xia'men'shi'yi 碘化钾滴眼液厦门市一
'dian'hua'jia'fu'yi 碘化钾附一
'dian'hua'jia'kou'fu'ye'zong'yuan 碘化钾口服液总院
'dian'hua'jia'rong'ye'long'yan'shi'er 碘化钾溶液龙岩市二
'dian'hua'jia'rong'ye'long'yan'shi'ren'min'yi'yuan 碘化钾溶液龙岩市人民医院
'dian'hua'jia'rong'ye'long'yan'shi'yi 碘化钾溶液龙岩市一
'dian'hua'jia'rong'ye'ning'de'shi'zhong'yi'yuan 碘化钾溶液宁德市中医院
'dian'hua'jia'rong'ye'quan'zhou'shi'ren'min 碘化钾溶液泉州市人民
'dian'hua'jia'rong'ye'quan'zhou'shi'yi 碘化钾溶液泉州市一
'dian'hua'jia'rong'ye'shi'yi 碘化钾溶液市一
'dian'hua'jia'rong'ye'xia'men'shi'si'ming'qu'yi'yuan 碘化钾溶液厦门市思明区医院
'dian'hua'jia'rong'ye'xia'men'shi'yi 碘化钾溶液厦门市一
'dian'hua'jia'rong'ye'xia'men'shi'zhong'shan'yi'yuan 碘化钾溶液厦门市中山医院
'dian'hua'jia'rong'ye'xie'he 碘化钾溶液协和
'dian'hua'jia'rong'ye'yi'qi'wu 碘化钾溶液一七五
'dian'hua'jia'rong'ye'zhang'zhou'shi'yi'yuan 碘化钾溶液漳州市医院
'dian'hua'jia'rong'ye'zong'yuan 碘化钾溶液总院
'dian'hua'jia'sheng'li 碘化钾省立
'dian'hua'jia'shi'er 碘化钾市二
'dian'hua'na 碘化钠
'dian'hua'you 碘化油
'dian'ji 电极
'dian'ji'ci'dao'hang'xiao'rong'dao'guan 电极磁导航消融导管
'dian'ji'dao'hang'xing'ci'dao'hang'xiao'rong'dao'guan 电极导航星磁导航消融导管
'dian'jia'kang'zhi'liao 碘甲亢治疗
'dian'jia'zhuang'xian'ai'zhuan'yi'zao'zhi'liao 碘甲状腺癌转移灶治疗
'dian'jian'an'pian 颠健安片
'dian'jie'dao'jie 电解倒睫
'dian'jie'lin'ding 碘解磷定
'dian'jie'tuo'mao'zhi'liao 电解脱毛治疗
'dian'jie'zhi'jian'cha 电解质检查
'dian'ke'sha'chun 碘克沙醇
'dian'ke'shu 点可舒
'dian'kuai'gu'gu'ce'hou'ke'xing 垫块股骨侧后髁型
'dian'kuai'gu'gu'ce'yuan'duan'xing 垫块股骨侧远端型
'dian'kuai'jing'gu'ce'ban'fu'xing 垫块胫骨侧半幅型
'dian'kuai'jing'gu'ce'zheng'ti'xing 垫块胫骨侧整体型
'dian'kuai'luo'ding 垫块螺钉
'dian'mai'lun 典迈伦
'dian'mai'lun 碘迈伦
'dian'mei'pu'er 碘美普尔
'dian'nao'shu'zi'cheng'xing'lu'gu'xiu'fu'yong'tai'wang'ban 电脑数字成型颅骨修复用钛网板
'dian'nao'shu'zi'cheng'xing'lu'he'mian'jie'gu'ban 电脑数字成形颅颌面接骨板
'dian'nao'su'xing'chun'tai'tai'ban 电脑塑性纯钛钛板
'dian'nao'su'xing'er'wei'tai'ban 电脑塑性二维钛板
'dian'nao'xue'tang'jian'ce 电脑血糖监测
'dian'pa'chun 碘帕醇
'dian'pian 垫片
'dian'pian'bu'xiu'gang 垫片不锈钢
'dian'pian'qian'lu'dian'pian 垫片前路垫片
'dian'pian'tai 垫片钛
'dian'pian'tai'he'jin 垫片钛合金
'dian'pu'luo'an 碘普罗胺
'dian'pu'luo'an'dian'pu'an 碘普罗胺碘普胺
'dian'qie 颠茄
'dian'qie'ding 颠茄酊
'dian'qie'he'ji'fu'yi 颠茄合剂附一
'dian'qie'he'ji'nan'ping'shi'ren'min'yi'yuan 颠茄合剂南平市人民医院
'dian'qie'he'ji'nan'ping'shi'yi 颠茄合剂南平市一
'dian'qie'he'ji'ning'de'shi'zhong'yi'yuan 颠茄合剂宁德市中医院
'dian'qie'he'ji'quan'zhou'shi'ren'min 颠茄合剂泉州市人民
'dian'qie'he'ji'quan'zhou'shi'yi 颠茄合剂泉州市一
'dian'qie'he'ji'sheng'er 颠茄合剂省二
'dian'qie'he'ji'shi'er 颠茄合剂市二
'dian'qie'he'ji'xia'men'shi'si'ming'qu'yi'yuan 颠茄合剂厦门市思明区医院
'dian'qie'he'ji'xia'men'shi'zhong'shan'yi'yuan 颠茄合剂厦门市中山医院
'dian'qie'he'ji'xiang'cheng'yi'yuan 颠茄合剂芗城医院
'dian'qie'he'ji'xie'he 颠茄合剂协和
'dian'qie'huang'bian'ding 颠茄磺苄啶
'dian'qie'pian 颠茄片
'dian'qie'zhang'nao'he'ji'xia'men'shi'zhong'yi'yuan 颠茄樟脑合剂厦门市中医院
'dian'quan 垫圈
'dian'quan'bu'xiu'gang 垫圈不锈钢
'dian'sha 典沙
'dian'sheng'li'dian'ji'dao'guan'gu'ding'wan'shi'ji 电生理电极导管固定弯十极
'dian'sheng'li'dian'ji'dao'guan'ke'kong'huan'zhuang'shi'ji 电生理电极导管可控环状十极
'dian'sheng'li'dian'ji'dao'guan'ke'kong'wan'shi'ji 电生理电极导管可控弯十极
'dian'sheng'li'dian'ji'dao'guan'ke'kong'wan'si'ji 电生理电极导管可控弯四极
'dian'shu 典舒
'dian'suan'jia 碘酸钾
'dian'tai 典泰
'dian'xian'bing'zao'qie'chu'shu 癫痫病灶切除术
'dian'xian'dao'shou'shu 癫痫刀手术
'dian'xian'kang'jiao'nang 癫痫康胶囊
'dian'xian'ping'pian 癫痫平片
'dian'xiu'ke'zhi'liao 电休克治疗
'dian'zhen 电针
'dian'zhen'duan 电诊断
'dian'zhong'liu'kang'ti'fang'mian'zhi'liao 碘肿瘤抗体放免治疗
'dian'zhu'she'ye'zhang'zhou'shi'yi'yuan 碘注射液漳州市医院
'dian'zi'chang'jing'fu'zhu'cao'zuo 电子肠镜辅助操作
'dian'zi'er'wo'bian'cheng 电子耳蜗编程
'dian'zi'er'wo'zhi'ru'shu 电子耳蜗植入术
'dian'zi'gu'pen'nei'ce'liang 电子骨盆内测量
'dian'zi'sheng'wu'fan'kui'liao'fa 电子生物反馈疗法
'dian'zi'wei'jing'fu'zhu'cao'zuo 电子胃镜辅助操作
'diao'dai 吊袋
'diao'gao'quan'zhou'shi'zheng'gu 吊膏泉州市正骨
'diao'shang'san'quan'zhou'shi'zheng'gu 吊伤散泉州市正骨
'diao'yi'fang'lie'ruan'gao 貂胰防裂软膏
'die'da'hong'yao'jiao'nang 跌打红药胶囊
'die'da'hong'yao'pian 跌打红药片
'die'da'huo'xue'jiao'nang 跌打活血胶囊
'die'da'huo'xue'san 跌打活血散
'die'da'niu'shang'ling'ding 跌打扭伤灵酊
'die'da'niu'shang'san 跌打扭伤散
'die'da'pian 跌打片
'die'da'qi'li'pian 跌打七厘片
'die'da'qi'li'san 跌打七厘散
'die'da'sheng'gu'jiao'nang 跌打生骨胶囊
'die'da'sheng'gu'pian 跌打生骨片
'die'da'sun'shang'san 跌打损伤散
'die'da'sun'shang'wan 跌打损伤丸
'die'da'wan 跌打丸
'die'da'wan'hua'you 跌打万花油
'die'da'zhi'tong'ye 跌打止痛液
'die'dou'chuan'ci'huo'jian'shu 蝶窦穿刺活检术
'die'li 迭力
'die'mai'ling'zhu'she'ye 碟脉灵注射液
'die'xing'chong'jian'suo'ding'ban 蝶形重建锁定板
'die'xing'jing'gu'dian 碟型胫骨垫
'die'xing'suo'ding'ban 蝶形锁定板
'ding'ban 钉板
'ding'ben'qiang'suan 丁苯羟酸
'ding'ben'qiang'suan'ru'gao 丁苯羟酸乳膏
'ding'ben'tai 丁苯酞
'ding'bing'nuo'fei 丁丙诺啡
'ding'chuan'zhi'ke'jiao'nang 定喘止咳胶囊
'ding'er'huang'suan'xian'gan'dan'an'suan 丁二磺酸腺苷蛋氨酸
'ding'er'suan'luo'sha'ping 丁二酸洛沙平
'ding'ge'er 丁各尔
'ding'gong'teng 丁公藤
'ding'gui'er'qi'tie 丁桂儿脐贴
'ding'he 丁贺
'ding'he'qing 丁禾青
'ding'jia 钉夹
'ding'jin'shi'suo'jin'kou 顶紧式锁紧扣
'ding'jing'cao 定经草
'ding'jiu'tian 鼎九天
'ding'jun'sheng 定君生
'ding'ka'yin 丁卡因
'ding'ka'yin'sheng'er 丁卡因省二
'ding'ka'yin'zhu'she'ye'yi'qi'wu 丁卡因注射液一七五
'ding'kang 丁康
'ding'ke 丁克
'ding'ke'si 定克斯
'ding'kong'du'kong'sai 顶孔堵孔塞
'ding'kun'dan 定坤丹
'ding'kun'wan 定坤丸
'ding'luo 钉螺
'ding'mao 钉帽
'ding'mie'jun 钉灭菌
'ding'na 丁那
'ding'ning'chong'xi 耵聍冲洗
'ding'ning'shui'zhang'zhou'shi'yi'yuan 耵聍水漳州市医院
'ding'ning'shui'zhang'zhou'shi'zhong'yi'yuan 耵聍水漳州市中医院
'ding'peng 丁硼
'ding'shu 丁疏
'ding'shu 丁舒
'ding'si 顶丝
'ding'si'biao'zhun 顶丝标准
'ding'suan'lv'bei'ta'song 丁酸氯倍他松
'ding'suan'qing'hua'ke'di'song 丁酸氢化可的松
'ding'suo'yan'luo'shuan 顶锁眼螺栓
'ding'tai 钉钛
'ding'wei'dao'zhen 定位导针
'ding'wei'zhen 定位针
'ding'xi'ya'tong'jiao'nang 丁细牙痛胶囊
'ding'xia 钉匣
'ding'xiang 丁香
'ding'xiang'di'qia'luo'ding 定向骶髂螺钉
'ding'xiang'ding 定向钉
'ding'xiang'guan'mai'nei'mo'xuan'qie'shu 定向冠脉内膜旋切术
'ding'xiang'luo'le'you 丁香罗勒油
'ding'xiang'tiao'jian'fan'she'ce'ding 定向条件反射测定
'ding'xin'wan 定心丸
'ding'xiong'xuan'yao'shui 丁芎癣药水
'ding'xiu'dong'gen'dang'jian 丁溴东茛菪碱
'ding'xiu'dong'lang'dang'jian 丁溴东莨菪碱
'ding'xuan'wan 定眩丸
'ding'yu'ning 丁予宁
'ding'yue 丁悦
'ding'zhi'gu'gu'bing 定制股骨柄
'ding'zhi'xing'gu'gu'jia'ti'yi'ti'shi 定制型股骨假体一体式
'ding'zhi'xing'gu'gu'jia'ti'zu'pei'shi 定制型股骨假体组配式
'ding'zhi'xing'xi'guan'jie'yi'ti'shi'jiao'lian'xing 定制型膝关节一体式铰链型
'ding'zhi'xing'xi'guan'jie'yi'ti'shi'zhou'xin'xing 定制型膝关节一体式轴心型
'ding'zhi'xing'xi'guan'jie'zu'pei'shi'jiao'lian'xing 定制型膝关节组配式铰链型
'ding'zhi'xing'xi'guan'jie'zu'pei'shi'zhou'xin'xing 定制型膝关节组配式轴心型
'dong'bai'mei'pian 冬白梅片
'dong'bao'gan'tai 东宝甘泰
'dong'bao'gan'tai 东宝肝泰
'dong'bao'kou'fu'ye'chuan'ran 冬宝口服液传染
'dong'chong'xia'cao 冬虫夏草
'dong'chuang'ruan'gao'zong'yuan 冻疮软膏总院
'dong'er 冬尔
'dong'fang'wei'yao'jiao'nang 东方胃药胶囊
'dong'feng'ding 东锋定
'dong'feng'shu'tong 东锋舒同
'dong'feng'song 东锋松
'dong'gan'jia'xing'gan'yan'jian'du'huo'yi'miao 冻干甲型肝炎减毒活疫苗
'dong'gan'pi'zhi'gu'li 冻干皮质骨粒
'dong'gan'pi'zhi'gu'tiao 冻干皮质骨条
'dong'gan'ren'ning'xue'mei 冻干人凝血酶
'dong'gan'song'pi'zhi'gu'kuai 冻干松皮质骨块
'dong'gan'song'pi'zhi'gu'li 冻干松皮质骨粒
'dong'gan'song'pi'zhi'gu'tiao 冻干松皮质骨条
'dong'gan'song'zhi'gu'kuai 冻干松质骨块
'dong'gan'song'zhi'gu'li 冻干松质骨粒
'dong'gan'song'zhi'gu'tiao 冻干松质骨条
'dong'gua'pi 冬瓜皮
'dong'gua'ren 冬瓜仁
'dong'jing'mai'ren'gong'nei'lou'cheng'xing'shu 动静脉人工内瘘成形术
'dong'jing'mai'ren'gong'nei'lou'ren'gong'xue'guan'zhuan'liu'shu 动静脉人工内瘘人工血管转流术
'dong'jing'mai'zhi'guan'hu'li 动静脉置管护理
'dong'kui'guo 冬葵果
'dong'kui'guo'dong'kui'zi 冬葵果冬葵子
'dong'kui'zi 冬葵子
'dong'lang'dang'jian 东莨菪碱
'dong'li'jia'ya'ban 动力加压板
'dong'li'jia'ya'gang'ban'jiao'ren'gang'ban 动力加压钢板角刃钢板
'dong'li'jia'ya'gang'ban'ke'bu'gang'ban 动力加压钢板髁部钢板
'dong'li'jia'ya'jie'gu'ban 动力加压接骨板
'dong'li'jia'ya'jing'zhui'gang'ban 动力加压颈椎钢板
'dong'li'jia'ya'tai'ban 动力加压钛板
'dong'li'ke'gang'ban 动力髁钢板
'dong'li'ke'jia'ya'luo'ding'tao'tong'ban 动力髁加压螺钉套筒板
'dong'li'ke'jie'gu'ban'bu'xiu'gang 动力髁接骨板不锈钢
'dong'li'ke'jie'gu'ban'tai'he'jin 动力髁接骨板钛合金
'dong'li'ke'luo'ding 动力髁螺钉
'dong'li'ke'luo'ding'jia'ya'luo'ding 动力髁螺钉加压螺钉
'dong'li'ke'xing'jie'gu'ban'bu'xiu'gang 动力髁型接骨板不锈钢
'dong'li'ke'xing'jie'gu'ban'tai'he'jin 动力髁型接骨板钛合金
'dong'li'kuan'biao'zhun'ce'fang'zhi'chi'gang'ban 动力髋标准侧方支持钢板
'dong'li'kuan'biao'zhun'la'li'tou'ding 动力髋标准拉力头钉
'dong'li'kuan'gang'ban 动力髋钢板
'dong'li'kuan'jia'ya'ban 动力髋加压板
'dong'li'kuan'jia'ya'ban'bu'xiu'gang 动力髋加压板不锈钢
'dong'li'kuan'jia'ya'ban'chun'tai 动力髋加压板纯钛
'dong'li'kuan'jia'ya'luo'ding 动力髋加压螺钉
'dong'li'kuan'jia'ya'luo'ding'tao'tong'ban 动力髋加压螺钉套筒板
'dong'li'kuan'jie'gu'ban 动力髋接骨板
'dong'li'kuan'jie'gu'ban'tai'he'jin 动力髋接骨板钛合金
'dong'li'kuan'jie'gu'ban'xing'bu'xiu'gang 动力髋接骨板型不锈钢
'dong'li'kuan'jie'gu'ban'xing'tai'he'jin 动力髋接骨板型钛合金
'dong'li'kuan'ke'gu'ban'bu'xiu'gang 动力髋髁骨板不锈钢
'dong'li'kuan'ke'gu'ban'chun'tai 动力髋髁骨板纯钛
'dong'li'kuan'ke'la'li'ding'bu'xiu'gang 动力髋髁拉力钉不锈钢
'dong'li'kuan'ke'la'li'ding'tai'he'jin 动力髋髁拉力钉钛合金
'dong'li'kuan'ke'shang'zhi'chi'gang'ban 动力髋髁上支持钢板
'dong'li'kuan'luo'ding'cu'long'gu'ding'suo'ding'jie'gu'ban 动力髋螺钉粗隆固定锁定接骨板
'dong'li'kuan'luo'ding'jiao'suo'zhuang'zhi 动力髋螺钉交锁装置
'dong'li'kuan'luo'ding'jie'gu'ban 动力髋螺钉接骨板
'dong'li'kuan'pi'zhi'gu'zi'gong'luo'ding 动力髋皮质骨自攻螺钉
'dong'li'kuan'wei'ding 动力髋尾钉
'dong'li'luo'ding'bu'xiu'gang 动力螺钉不锈钢
'dong'li'luo'ding'tai'he'jin 动力螺钉钛合金
'dong'li'luo'ding'xing'bu'xiu'gang 动力螺钉型不锈钢
'dong'li'luo'ding'xing'tai'he'jin 动力螺钉型钛合金
'dong'ling'cao 冬凌草
'dong'ling'cao'bo'mo'yi'pian 冬凌草薄膜衣片
'dong'ling'cao'jiao'nang 冬凌草胶囊
'dong'ling'cao'pian 冬凌草片
'dong'ling'cao'tang'jiang 冬凌草糖浆
'dong'ling'cao'tang'yi'pian 冬凌草糖衣片
'dong'ling'di'fu 东菱迪芙
'dong'mai'chuan'ci'tao'zhen 动脉穿刺套针
'dong'mai'chuan'ci'zhi'guan'shu 动脉穿刺置管术
'dong'mai'dao'guan'bi'he'shu 动脉导管闭合术
'dong'mai'dao'guan'wei'bi'feng'du'qi 动脉导管未闭封堵器
'dong'mai'fu'mo'zhi'jia 动脉覆膜支架
'dong'mai'jia'ya'zhu'she 动脉加压注射
'dong'mai'jia'ya'zhu'she'dong'mai'cai'xie 动脉加压注射动脉采血
'dong'mai'liu'jia 动脉瘤夹
'dong'mai'nei'ya'li'jian'ce 动脉内压力监测
'dong'mai'qiao 动脉鞘
'dong'mai'tan'xing'gong'neng'jian'ce 动脉弹性功能检测
'dong'mai'xian'xiang 动脉显象
'dong'mian'ling 冬眠灵
'dong'qing 东青
'dong'tai'guan 动态管
'dong'tai'lian'jie'bang 动态连接棒
'dong'tai'nao'dian'tu 动态脑电图
'dong'tai'nao'dian'tu'xiao'shi'nao'dian'shi'pin'jian'ce 动态脑电图小时脑电视频监测
'dong'tai'tai'wang 动态钛网
'dong'tai'xin'dian'tu 动态心电图
'dong'tai'xue'ya'jian'ce 动态血压监测
'dong'wei'li 东维力
'dong'wu'yi'dao'su 动物胰岛素
'dong'yao'qi'rui 东药琦锐
'dong'yao'wei'kang 东药维康
'dong'yao'xin'tai'heng 东药心泰恒
'dong'yi 东易
'dou'dao'ji'lou'guan'zao'ying 窦道及瘘管造影
'dou'fu'guo'gan 豆腐果甘
'dou'fu'guo'gan 豆腐果苷
'dou'ke'xi 都可喜
'dou'kou 豆蔻
'dou'le'ning 都乐宁
'du'bu'cui 独步催
'du'duo'kong'jia'tou 度多孔夹头
'du'fang'tuo'wei'wei'kong'tu'ceng'kuan'jiu'bei 度防脱位微孔涂层髋臼杯
'du'gan 度杆
'du'he 度和
'du'huo 独活
'du'huo'ji'sheng'he'ji 独活寄生合剂
'du'huo'ji'sheng'ke'li 独活寄生颗粒
'du'huo'ji'sheng'wan 独活寄生丸
'du'huo'zhi'tong'cha'ji 独活止痛搽剂
'du'ji'qing 毒及清
'du'jiao'lian 独角莲
'du'jin'jia'gong 镀金加工
'du'jiu 督灸
'du'jiu'da'jiu 督灸大灸
'du'kong'sai 堵孔塞
'du'la'bao 杜拉宝
'du'leng'ding 度冷丁
'du'leng'ding 杜冷丁
'du'lian'jie'zhu 度连接柱
'du'liang'di'wan 都梁滴丸
'du'liang'ruan'jiao'nang 都梁软胶囊
'du'luo'jie 渡洛捷
'du'man 度曼
'du'mi'fen 度米芬
'du'mi'ke 杜密克
'du'mi'ke 杜秘克
'du'sheng'huo'xue'pian 独圣活血片
'du'shu'bao 读书宝
'du'tai'ban 度钛板
'du'ye'san'xia'men'shi'si'ming'qu'yi'yuan 肚液散厦门市思明区医院
'du'yi'wei 独一味
'du'yi'wei'di'wan 独一味滴丸
'du'yi'wei'fen'san'pian 独一味分散片
'du'yi'wei'jiao'nang 独一味胶囊
'du'yi'wei'ju'jue'pian 独一味咀嚼片
'du'yi'wei'ke'li 独一味颗粒
'du'yi'wei'pao'teng'pian 独一味泡腾片
'du'yi'wei'pian 独一味片
'du'yi'wei'ruan'jiao'nang 独一味软胶囊
'du'yi'wei'wan 独一味丸
'du'zhong 杜仲
'du'zhong'jiang'ya'pian 杜仲降压片
'du'zhong'jiao'nang 杜仲胶囊
'du'zhong'ke'li 杜仲颗粒
'du'zhong'ke'li'wu'tang'xing 杜仲颗粒无糖型
'du'zhong'ping'ya'jiao'nang 杜仲平压胶囊
'du'zhong'ping'ya'jiao'nang'du'zhong'jiao'nang 杜仲平压胶囊杜仲胶囊
'du'zhong'ping'ya'pian 杜仲平压片
'du'zhong'shuang'jiang'dai'pao'ji 杜仲双降袋泡剂
'du'zhong'tan 杜仲炭
'du'zhong'zhuang'gu'jiao'nang 杜仲壮骨胶囊
'du'zhong'zhuang'gu'wan 杜仲壮骨丸
'duan'ban'luo'wen'zhong'kong'luo'ding'tai 短半罗纹中空螺钉钛
'duan'bang 短棒
'duan'bing 短柄
'duan'chang'bao'gou'de'heng'tu'gou'tai'he'jin 短长抱钩的横突钩钛合金
'duan'chang'bao'gou'de'yao'zhui'zhui'ban'dui'gou'tai'he'jin 短长抱钩的腰椎椎板对钩钛合金
'duan'chang'bao'gou'de'zhui'ban'gou'tai'he'jin 短长抱钩的椎板钩钛合金
'duan'chi'shi'zhi 煅赤石脂
'duan'chong'jian'tai'lv'fan'he'jin 短重建钛铝钒合金
'duan'ci'shi 煅磁石
'duan'gai 端盖
'duan'ge'ke 煅蛤壳
'duan'gen'gu'jie'gu'ban 短跟骨接骨板
'duan'hai'ge'ke 煅海蛤壳
'duan'jie'pou'xing'bei'ce'ban 短解剖型背侧板
'duan'jie'pou'xing'zhang'ce'ban 短解剖型掌侧板
'duan'jin'meng'shi 煅金礞石
'duan'jing'gu'gu'bing 短颈股骨柄
'duan'ju'zhen'xing'ban 短距阵型板
'duan'lian'jie'gan 短连接杆
'duan'long'gu 煅龙骨
'duan'luo'shuan 短螺栓
'duan'mu'li 煅牡蛎
'duan'pi'zhi'ding 短皮质钉
'duan'qing'meng'shi 煅青礞石
'duan'shao'gu 煅烧骨
'duan'shi'gao 煅石膏
'duan'shi'jue'ming 煅石决明
'duan'tai'xing'chang'nei'ying'yang'ji 短肽型肠内营养剂
'duan'tong'yong'xing'zhang'ce'ban 短通用型掌侧板
'duan'wa'leng'zi 煅瓦楞子
'duan'wei'dan'zhou'zhui'gong'gen'ding 短尾单轴椎弓根钉
'duan'wei'duo'zhou'zhui'gong'gen'ding 短尾多轴椎弓根钉
'duan'wei'zhui'gong'gen'ding 短尾椎弓根钉
'duan'wei'zhui'gong'gen'luo'ding 短尾椎弓根螺钉
'duan'xing'da'cu'long'zai'jie'he'zhuang'zhi 短型大粗隆再接合装置
'duan'xue'liu'fen'san'pian 断血流分散片
'duan'xue'liu'jiao'nang 断血流胶囊
'duan'xue'liu'ke'li 断血流颗粒
'duan'xue'liu'kou'fu'ye 断血流口服液
'duan'xue'liu'pao'teng'pian 断血流泡腾片
'duan'xue'liu'pian 断血流片
'duan'zhe'shi 煅赭石
'duan'zhen'zhu'mu 煅珍珠母
'duan'zhi'zai'zhi'shu 断指再植术
'duan'zhi'zai'zhi'shu 断肢再植术
'duan'zhi'zai'zhi'shu'xian'wei'shou'shu 断指再植术显微手术
'duan'zhi'zai'zhi'shu'xian'wei'shou'shu 断肢再植术显微手术
'duan'zhong'ru'shi 煅钟乳石
'duan'zi'ran'tong 煅自然铜
'duan'zi'shi'ying 煅紫石英
'dui'an'ji'shui'yang'suan'na 对氨基水杨酸钠
'dui'an'ji'shui'yang'suan'yi'yan'jing 对氨基水杨酸异烟肼
'dui'ben'er'fen'ru'gao'long'yan'shi'yi 对苯二酚乳膏龙岩市一
'dui'bi'min'gan'du'jian'cha 对比敏感度检查
'dui'bi'min'gan'du'jian'cha'wei'ji'chu'li 对比敏感度检查微机处理
'dui'chen'luo'wen'luo'ding'tai'he'jin 对称螺纹螺钉钛合金
'dui'yi'xian'an'ji'fen 对乙酰氨基酚
'dui'yi'xian'an'ji'fen'ju'jue'pian 对乙酰氨基酚咀嚼片
'dui'yi'xian'an'ji'fen'tang'jiang 对乙酰氨基酚糖浆
'dun'ling 顿灵
'dun'tou'zhen'bu'xiu'gang 钝头针不锈钢
'dun'ye'guan'xin'ning'pian 盾叶冠心宁片
'duo'ba'an 多巴胺
'duo'ba'si'jing 多巴丝肼
'duo'bei'shi 朵贝氏
'duo'bei'shi'rong'ye'xia'men'shi'yi 朵贝氏溶液厦门市一
'duo'bei'shi'rong'ye'zhang'zhou'shi'yi'yuan 朵贝氏溶液漳州市医院
'duo'bei'shi'rong'ye'zhang'zhou'shi'zhong'yi'yuan 朵贝氏溶液漳州市中医院
'duo'bei'si 多贝斯
'duo'can'shu'jian'hu'wu'chou'chu'dian'xiu'ke'zhi'liao 多参数监护无抽搐电休克治疗
'duo'ce'kong'guan'zhu'dao'guan 多侧孔灌注导管
'duo'chang'du'zhi'jia 多长度支架
'duo'chi'jiu'bei 多齿臼杯
'duo'chu'ruan'nao'mo'xia'heng'xian'wei'qie'duan'shu 多处软脑膜下横纤维切断术
'duo'da'yi 多达一
'duo'di 多迪
'duo'dian'ji'qiu'nang'dao'guan 多电极球囊导管
'duo'dong'ning'jiao'nang 多动宁胶囊
'duo'fu 多弗
'duo'gong'neng'shen'jing'ji'rou'gong'neng'jian'ce 多功能神经肌肉功能监测
'duo'gong'neng'wai'gu'ding'zhi'jia'xing'chi'quan'xing 多功能外固定支架型齿圈型
'duo'gong'neng'wai'gu'ding'zhi'jia'xing'wan'xiang'xing 多功能外固定支架型万向型
'duo'guan'jie'rong'he'jie'pou'xing'suo'ding'gang'ban 多关节融合解剖型锁定钢板
'duo'gui'ji'duan'ceng'ji'dian'tu 多轨迹断层肌电图
'duo'huang'suan'nian'duo'tang 多磺酸粘多糖
'duo'ji'biao'ce'dao'guan'lian'jie'xian 多极标测导管连接线
'duo'ji'mei 多吉美
'duo'jiao'du'chang'luo'ding 多角度长螺钉
'duo'jiao'du'luo'ding 多角度螺钉
'duo'jiao'du'suo'ding'luo'ding'luo'ding'luo'mao 多角度锁定螺钉螺钉螺帽
'duo'jie'duan'ban 多节段板
'duo'jie'duan'duo'xiang'suo'ding'gang'ban 多节段多向锁定钢板
'duo'kang'jia 多康佳
'duo'kang'jia'su 多抗甲素
'duo'kong'jiu'bei 多孔臼杯
'duo'kong'ke'shang'sui'nei'ding'bu'xiu'gang 多孔髁上髓内钉不锈钢
'duo'kong'kuan'jiu'bei 多孔髋臼杯
'duo'kong'kuan'jiu'wai'bei 多孔髋臼外杯
'duo'kong'sheng'wu'tao'ci'ren'gong'gu 多孔生物陶瓷人工骨
'duo'kong'xing'fang'jian'ge'que'sun'feng'du'qi 多孔型房间隔缺损封堵器
'duo'kong'xing'gu'chong'tian'cai'liao 多孔型骨充填材料
'duo'kong'xing'jin'shu'wai'bei 多孔型金属外杯
'duo'kong'xing'rong'he'qi'tai'he'jin 多孔型融合器钛合金
'duo'kong'yuan'zhu'xing'gu'chong'tian'cai'liao 多孔圆柱型骨充填材料
'duo'kong'zhen'jia'tou 多孔针夹头
'duo'ku'zhi'na 多库酯钠
'duo'leng'xing'duo'chang'du'dao'guan 多楞型多长度导管
'duo'leng'xing'duo'chang'du'tao'jian 多楞型多长度套件
'duo'leng'xing'shuang'zhu'wei'dao'guan 多楞型双猪尾导管
'duo'leng'xing'shuang'zhu'wei'tao'jian 多楞型双猪尾套件
'duo'li'kang 多力康
'duo'li'ma 多力玛
'duo'long 多龙
'duo'lv'ping'pian 多虑平片
'duo'mei 多酶
'duo'mei'kang 多美康
'duo'mei'shuang'ceng'pian 多酶双层片
'duo'mei'yue 多美乐
'duo'meng'te 多蒙特
'duo'mi'nuo'gu'ding'kuai'tai'he'jin 多米诺固定块钛合金
'duo'mi'nuo'jie'tou 多米诺接头
'duo'mi'nuo'lian'jie'qi 多米诺连接器
'duo'mi'nuo'lian'jie'tou 多米诺连接头
'duo'mi'xing 多迷醒
'duo'nang'shen'qu'ding'jian'ya'shu 多囊肾去顶减压术
'duo'nian'wan'chun 多廿烷醇
'duo'pa'fei 多帕菲
'duo'pan'li'tong 多潘立酮
'duo'pan'li'tong'pian 多潘立酮片
'duo'pei'xin 多培欣
'duo'ping'mian'jiao'suo'chao'yuan'duan'gu'gu'sui'nei'ding 多平面交锁超远端股骨髓内钉
'duo'ping'mian'jiao'suo'chao'yuan'duan'jing'gu'sui'nei'ding 多平面交锁超远端胫骨髓内钉
'duo'pu'le'xiao'er'xue'ya'jian'ce 多普勒小儿血压检测
'duo'pu'shi 多普适
'duo'ri'na 多日纳
'duo'rui'ji 多瑞吉
'duo'sha'pu'lun 多沙普仑
'duo'sha'zuo'qin 多沙唑嗪
'duo'si'ma'zhi 多司马酯
'duo'su'shu 多速舒
'duo'suo'cha'jian 多索茶碱
'duo'suo'cha'jian'lv'hua'na 多索茶碱氯化钠
'duo'suo'cha'jian'pu'tao'tang 多索茶碱葡萄糖
'duo'ta'ling 多它灵
