'ai'ai'duo'shi 蔼蔼多士
'fu'wen'yi'xing'li 夫文以行立
'fu'wen'yi'zu'yan 夫文以足言
'fu'wen'yin'xun 复文隐训
'fu'wen'yu'li 负文馀力
'fu'wu'yu'guo 妇无与国
'fu'xi'shu'yi 符檄书移
'fu'xian'zhi'shi 赋宪之谥
'fu'xie'qi'xiang 敷写器象
'fu'xie'si'fu 敷写似赋
'fu'xin'sheng'wen'ci 夫心生文辞
'fu'xin'shu'zhi'dong'yuan'yi 夫心术之动远矣
'fu'xin'xian'ru'shan 夫心险如山
'fu'xing'er'shang'zhe'wei'zhi'dao 夫形而上者谓之道
'fu'xuan'gang'ai'er'li'tai 傅玄刚隘而詈台
'fu'xuan'huang'se'za 夫玄黄色杂
'fu'xuan'ji'hou'han'zhi'you'fan 傅玄讥后汉之尤烦
'fu'xuan'pian'zhang 傅玄篇章
'fu'xue'ye'zai'qin 夫学业在勤
'fu'xun'zhi'wo 抚训执握
'fu'xun'zhou'zi 敷训胄子
'fu'yang'er'chu'tiao 扶阳而出条
'fu'ye 孚也
'fu'ye 附也
'fu'yi'cao'mu'zhi'wei 夫以草木之微
'fu'yi'cui'yin 傅毅崔骃
'fu'yi'gui'shu 附以诡术
'fu'yi'sheng'yi 富矣盛矣
'fu'yi'suo'zhi 傅毅所制
'fu'yi'wei'tan'tian 夫易惟谈天
'fu'yi'wu'shi'zhi'wu 夫以无识之物
'fu'yi'zhi'lei 傅毅制诔
'fu'yi'zhi'lei'bei'hai 傅毅之诔北海
'fu'yi'zi'jian'ming'lian 夫以子建明练
'fu'yi'zi'yun'zhi'cai 夫以子云之才
'fu'yin'lv'suo'shi 夫音律所始
'fu'yin'zhi'wei'ti 夫隐之为体
'fu'you'chen'ai'zhi'wai 浮游尘埃之外
'fu'yu'wan'pian 富于万篇
'fu'yu'zhou'mian'miao 夫宇宙绵邈
'fu'zan'sheng'zhi 敷赞圣旨
'fu'zao'qun'yan 斧藻群言
'fu'zhe 符者
'fu'zhe 赋者
'fu'zhen'song'yu'guan 夫箴诵于官
'fu'zheng'wei'bei'chen 夫正位北辰
'fu'zhi'zai'shan'shui 夫志在山水
'fu'zhong'bi'zai'ren'dong'liang 负重必在任栋梁
'fu'zhui'wen'zhe'qing'dong'er'ci'fa 夫缀文者情动而辞发
'fu'zhui'xuan'you 附赘悬肬
'fu'zi'feng'cai 夫子风采
'fu'zi'liu'guo'yi'qian 夫自六国以前
'fu'zi'shi'chu 赋自诗出
'fu'zi'wen'zhang 夫子文章
'fu'zi'you'tan 夫子有叹
'fu'zou'yi'yan 敷奏以言
'fu'zou'zhi'wei'bi 夫奏之为笔
'fu'zuo'zhe'yue'sheng 夫作者曰圣
'gai'bai'guan'suo'cai 盖稗官所采
'gai'chang'fa'zhi'ci'ye 盖唱发之辞也
'gai'che'er'zuo'cheng 盖车贰佐乘
'gai'chong'cai'zhi'en'ye 盖宠才之恩也
'gai'chong'you'yu'er 盖崇友于耳
'gai'du'wu'xing'qing 盖睹物兴情
'gai'fang'wen'lan'ye 盖防文滥也
'gai'feng'ya'zhi'xing 盖风雅之兴
'gai'gui'qi'yong'er'jian'wen'cai'ye 盖贵器用而兼文采也
'gai'jian'ji'zhi'fen'ye 盖笺记之分也
'gai'jiu'er'zhi'xin 该旧而知新
'gai'ju'er'tui 概举而推
'gai'li'zheng'jiang'ju 盖历政讲聚
'gai'lu'ban'bu'feng 盖露板不封
'gai'lu'er'fu'xu 盖录而弗叙
'gai'lun'zhi'ying'ye 盖论之英也
'gai'mie'ru'ye 盖蔑如也
'gai'ming'yue'zhi 改命曰制
'gai'qi'qiao'suo'fa 盖七窍所发
'gai'qu'hu'ci 盖取乎此
'gai'qu'zhu'ci'ye 盖取诸此也
'gai'qun'lun'li'ming 盖群论立名
'gai'ren'bing'wu'cai 盖人禀五材
'gai'shang'gu'yi'yu 盖上古遗语
'gai'sheng'xian'yan'ci 盖圣贤言辞
'gai'shi'ren'zhi'ze'ye 盖诗人之则也
'gai'shi'zhi'deng'yong 盖士之登庸
'gai'shou'chu'zhi'zuo'ye 盖首出之作也
'gai'shu'yue'zou 改书曰奏
'gai'sui'shi'zhi'yi'bu'yi 盖随时之义不一
'gai'wei'ci'ye 盖谓此也
'gai'wei'si'ye 盖未思也
'gai'wei'zhi'cheng'jing 盖纬之成经
'gai'wen'lan'wei'guo'xiang 盖闻兰为国香
'gai'wen'xin'zhi'zuo'ye 盖文心之作也
'gai'wen'yi'ze'que 盖文疑则阙
'gai'wen'zhang'zhi'wai 盖文章之外
'gai'wen'zhi'yu'shi 盖闻之于世
'gai'xia'liu'zhi'dao 盖下流之悼
'gai'xian'xia'bu'neng'dian'jin'yu'ye 盖纤瑕不能玷瑾瑜也
'gai'xie'wu'yi'fu'yi 盖写物以附意
'gai'xuan'yan'lu'xing 盖选言录行
'gai'yan'yin'yi'zhi'xian 盖沿隐以至显
'gai'yang'qi'meng'er'xuan'ju'bu 盖阳气萌而玄驹步
'gai'yi'bai'shu 盖以百数
'gai'yi'ci'ye 盖以此也
'gai'yi'ci'yi'ye 盖一辞意也
'gai'yi'dai'zhi'dian'zhang'ye 盖一代之典章也
'gai'yi'sheng'yu'quan'jue 盖意生于权谲
'gai'yi'shi'ji'duo'bing'mou 盖以史记多兵谋
'gai'yin'shen'er'zuo'ye 盖引伸而作也
'gai'ying'ji'zhi'quan'jie'ye 盖应机之权节也
'gai'you'zheng'yi 盖有征矣
'gai'zang'wu'zhong'zhi'lun'ming'ye 盖臧武仲之论铭也
'gai'zhang'nan'yu'zao'pian 改章难于造篇
'gai'zhou'shu'lun'ci 盖周书论辞
'gai'zi'ran'er 盖自然耳
'gan'bao'shu'ji 干宝述纪
'gan'dang'pi'xian 敢当丕显
'gan'ji'yi'li'cheng 感激以立诚
'gan'wu'yin'zhi 感物吟志
'gan'yi'yao'gu'sui 甘意摇骨髓
'gan'yi'ying'cao'gong'zhi'feng 敢矣撄曹公之锋
'gan'yu'he'feng 甘雨和风
'gang'jian'ji'shi 刚健既实
'gang'ling'ming'yi 纲领明矣
'gang'rou'sui'shu 刚柔虽殊
'gang'rou'yi'li'ben 刚柔以立本
'gao'bei'ding'wei 高卑定位
'gao'bei'lian'shi 高卑联事
'gao'gao'wei'chu'ri'zhi'rong 杲杲为出日之容
'gao'gui'xiang'gong 高贵乡公
'gao'lun'hong'cai 高论宏裁
'gao'ming'dong'min 诰命动民
'gao'mu'wu'yin 槁木无阴
'gao'run'yu'bi 膏润于笔
'gao'shuo'yi'xia 皋朔已下
'gao'xia'xiang'xu 高下相须
'gao'ye 告也
'gao'yi'fu'zheng 诰以敷政
'gao'yu'hai'gu 膏腴害骨
'gao'zong'yi'shang'zhe'xing'yun 高宗以上哲兴运
'gao'zong'yun'qi'nai'xin 高宗云启乃心
'gao'zu'shang'wu 高祖尚武
'ge'gang'cai'jin 格刚才劲
'ge'han'shu'cai 各含殊采
'ge'jing'xin'li 各竞新丽
'ge'lei'bi'gen 葛藟庇根
'ge'pei'yu'er'hu'geng'gui 歌珮玉而呼庚癸
'ge'qi'shan'ye 各其善也
'ge'qi'zhi'li 割弃支离
'ge'qi'zhi'ye 各其志也
'ge'ru'tao'lun'zhi'yu 各入讨论之域
'ge'sheng'mi'man 歌声靡曼
'ge'shi'cheng'xin 各师成心
'ge'shi'suo'hao 各适所好
'ge'shi'xiang'wang 隔世相望
'ge'tian'ba'que 葛天八阕
'ge'tian'shi'zhi'le 葛天氏之乐
'ge'tong'bei'sheng 歌童被声
'ge'yi'ben'cai'wei'di'yi 各以本采为地矣
'ge'yi'jia'jie 各贻家戒
'ge'yong'yan 歌永言
'ge'you'fan'zheng 各有反正
'ge'you'guo'shi 各有国史
'ge'you'si'jiang 各有司匠
'ge'you'suo'zhu 各有所主
'ge'zhao'yu'xi 各照隅隙
'ge'zhi'yi'jian 各执异见
'ge'zhi'yi'ou'zhi'jie 各执一偶之解
'ge'zhi'yi'zhen'rui 歌之以祯瑞
'gen'gan'li'tu'er'tong'xing 根干丽土而同性
'gen'sheng'er'ying'jun 根盛而颖峻
'geng'bi'nan'mu 耕彼南亩
'geng'jie'yu'cheng'qi 耿介于程器
'geng'shi'he'lv 更失和律
'gong'cheng'yi'gu 共成一毂
'gong'ci'zhi'ren 工辞之人
'gong'cun'wang 共存亡
'gong'fu'zou'ji 公府奏记
'gong'gan'jian'ji 公幹笺记
'gong'gan'qi'bian 公干气褊
'gong'gan'suo'tan 公干所谈
'gong'gan'xun'zhi'yu'hai'yu 公干徇质于海隅
'gong'gan'yi'yun 公干亦云
'gong'gan'zhi'qing'song 公干之青松
'gong'li'bian'zhi'jiu'yi 公理辨之究矣
'gong'qi'shi'shuo 攻奇饰说
'gong'qing'xian'shi 公卿献诗
'gong'ri'yue'er'chang'cun 共日月而长存
'gong'shang'nan'yin 宫商难隐
'gong'shang'wei'sheng'qi 宫商为声气
'gong'shang'zhu'zi 宫商朱紫
'gong'sun'hui'shan'yu'ci'ling 公孙挥善于辞令
'gong'sun'zhi'bai'ma'gu'du 公孙之白马孤犊
'gong'sun'zhi'dui 公孙之对
'gong'xiang'mi'lun 共相弥纶
'gong'yan'jian'mi 功沿渐靡
'gong'yang'gao'yun'chuan'wen'yi'ci 公羊高云传闻异辞
'gong'yi'wei'zhong 功疑惟重
'gong'yi'xue'cheng 功以学成
'gong'zai'chu'hua 功在初化
'gong'zai'jian'yao 工在简要
'gong'zai'mi'fu 功在密附
'gong'zai'quan'bie 功在铨别
'gong'zai'shang'zhe 功在上哲
'gong'zi'rong'wei 共资荣卫
'gong'zi'zhi'ke 公子之客
'gou'bing'wei'qie'zai 诟病为切哉
'gou'chi'kua'shi 苟驰夸饰
'gou'ke'zhen'jie 苟可箴戒
'gou'shen'qu'ji 钩深取极
'gou'shen'wei'zhi'feng 构深玮之风
'gou'wei'zhi'shi 构位之始
'gou'yi'zhe'yi'shi'ti'cheng'guai 苟异者以失体成怪
'gu'ben'ji'yi'shu'huang'wang 故本纪以述皇王
'gu'bi'lei'sui'fan 故比类虽繁
'gu'bi'ti'yun'gou 故比体云构
'gu'bi'zhe 故比者
'gu'biao'li'er'xiang'zi'yi 固表里而相资矣
'gu'bin'zhi'wei'zhu 故宾之慰主
'gu'bing'chu'xu'ming 故兵出须名
'gu'bo'sai'zhi'wen 故博塞之文
'gu'bu'fan'yun 故不繁云
'gu'bu'jing'yu'xian'ming 故不竞于先鸣
'gu'bu'qu'shu'ye 故不曲述也
'gu'bu'zai'huang'fa 故不在黄发
'gu'bu'zhong'lun'ye 故不重论也
'gu'cai'gao'zhe'wan'qi'hong'cai 故才高者菀其鸿裁
'gu'cai'mi'er'si'mi 故裁密而思靡
'gu'cai'yi'yao 骨采宜耀
'gu'chen'si'cheng 故陈思称
'gu'chen'si'cheng'zuo'yan'nian'xian'yu'zeng'sun'gu'ci 故陈思称左延年闲于增损古辞
'gu'cheng'feng'shan'mi'er'bu'dian 故称封禅靡而不典
'gu'cheng'mei'yan'bu'xin 故称美言不信
'gu'chong'ta'shu'zhuang 故重沓舒状
'gu'chuan'zao'qu'xin 故穿凿取新
'gu'chun'qiu'yi'zi'yi'bao'bian 故春秋一字以褒贬
'gu'chun'yan'yi'bi'jiao'ci 故淳言以比浇辞
'gu'ci'bi'qiao'li 故词必巧丽
'gu'ci'li'yong'jun 故辞理庸俊
'gu'ci'qi'er'bu'du 故辞奇而不黩
'gu'ci'yun'shen'zhui 故辞韵沈膇
'gu'ci'zai'rang'zhi'qing 固辞再让之请
'gu'ci'zhi'dai'gu 故辞之待骨
'gu'dao'jia'hu'fu'se 故悼加乎肤色
'gu'diao'yi'cheng'yan 故吊亦称谚
'gu'duan'die'zi'mou 故短牒咨谋
'gu'e'yun'shi'fan 故讹韵实繁
'gu'fa'zhu'er'hou'jian'ye 故发注而后见也
'gu'fen'kun'tui'gu 故分阃推毂
'gu'feng'fa'er'yun'liu 故锋发而韵流
'gu'fu'ren'xiang'yi 故夫人象义
'gu'geng'de'yan 骨鲠得焉
'gu'geng'gai'er'duo'qi'ye 故梗概而多气也
'gu'geng'xun'dian 骨鲠训典
'gu'guan'dian'er'ju'lei'zhuang 故观电而惧雷壮
'gu'han'zhi'hong'lu 故汉置鸿胪
'gu'he'bu'chu'tu 故河不出图
'gu'hou'chun'jiu'fen 故喉唇纠纷
'gu'hou'dai'yong'bei 故后代用碑
'gu'hou'fei'fang'de 故后妃方德
'gu'hou'jin'rui'bi 故后进锐笔
'gu'hu'ti'bian'yao 故互体变爻
'gu'ji'an'zhi'ji'yu'tian'ma'ye 故汲黯致讥于天马也
'gu'ji'jian'er'wei'ming'ye 故即简而为名也
'gu'ji'ran'ning'lv 故寂然凝虑
'gu'ji'xia'shan'qi'qing'feng 故稷下扇其清风
'gu'jian'bao'shen'guai 故兼包神怪
'gu'jian'mi'ru'feng'zhe'ye 故渐靡儒风者也
'gu'jian'zhao'dong'ming 故鉴照洞明
'gu'jin'duo'pin 古今多品
'gu'jin'er'qi'meng'ye 骨劲而气猛也
'gu'jin'qing'li 古今情理
'gu'jin'shu'ji 古今殊迹
'gu'jin'wen'ren 古今文人
'gu'jin'xi'yi'yu'ming'de 故金锡以喻明德
'gu'jin'xian'yong 古今咸用
'gu'jin'yi'ye 古今一也
'gu'jin'zhi'bian'ye 古今之变也
'gu'ju'ru'zhi'qing'ye 固巨儒之情也
'gu'ju'wei'yuan'shuai 故举为元帅
'gu'ju'yi'wei'jie 故举以为戒
'gu'jue'qun'yu'xi'ming 故绝群于锡命
'gu'jun'cai'yun'zheng 故俊才云蒸
'gu'lai'ci'ren 古来辞人
'gu'lai'wen'cai 古来文才
'gu'lai'wen'zhang 古来文章
'gu'lai'wu'meng 古来无懵
'gu'lei'zhi'cai'ye 固诔之才也
'gu'li'chi'er'ci'yi 故理侈而辞溢
'gu'li'ci'zhi'ti 故丽辞之体
'gu'li'wen'zhi'dao 故立文之道
'gu'lian'qing'zhuo'jiang 故练青濯绛
'gu'lian'yu'gu'zhe 故练于骨者
'gu'liang'han'wu'cheng 故两汉无称
'gu'liang'han'zhao'gao 故两汉诏诰
'gu'liang'yi'ji'sheng'yi 故两仪既生矣
'gu'liu'xiang'ming'bu'ge'er'song 故刘向明不歌而颂
'gu'lue'ju'da'jiao 故略举大较
'gu'lue'ju'le'pian 故略具乐篇
'gu'lue'ju'si'tiao 故略举四条
'gu'lun'qi'dian'gao'ze'ru'bi 故论其典诰则如彼
'gu'lun'shuo'ci'xu 故论说辞序
'gu'lun'wen'zhi'fang 故论文之方
'gu'lun'xu'er'gua'zhuang 故伦序而寡状
'gu'lv'zhou'er'zao'mi 故虑周而藻密
'gu'ming'hao'bi'shuang 故名号必双
'gu'ming'ju'zhi'yi'ye 固明举之义也
'gu'ming'zhe 故铭者
'gu'mo'dai'zhi'e'ti'ye 固末代之讹体也
'gu'mu'han'feng 顾慕汉风
'gu'neng'biao'yan 故能标焉
'gu'neng'bu'cai'xian'jing 故能布采鲜净
'gu'neng'cang'ying'ci'jian 故能藏颖词间
'gu'neng'cheng'wu'qiong'zhi'lu 故能骋无穷之路
'gu'neng'huan'ji'ying'jie'yi 故能缓急应节矣
'gu'neng'kai'xue'yang'zheng 故能开学养正
'gu'neng'li'shan'er'ci'jian'yi 故能理赡而辞坚矣
'gu'neng'qi'wang'li'gu 故能气往轹古
'gu'neng'qing'gan'qi'shi 故能情感七始
'gu'neng'shou'wei'yuan'he 故能首尾圆合
'gu'neng'wai'wen'qi'jiao 故能外文绮交
'gu'neng'yi'zhi'er'wen'wan 故能义直而文婉
'gu'neng'yue'shi'gao'tan 故能越世高谈
'gu'neng'zhan'yan'er'jian'mao 故能瞻言而见貌
'gu'ni'fu'zhi'sheng'zhi 固尼父之圣旨
'gu'pan'han'zhang 顾盼含章
'gu'ping'zi'de'qi'ya 故平子得其雅
'gu'pu'guan'lie'dai 故铺观列代
'gu'qi'chen'yao'shun'zhi'geng'jie 故其陈尧舜之耿介
'gu'qi'da'ti'suo'zi 故其大体所资
'gu'qi'lun'kong'rong 故其论孔融
'gu'qi'xu'qing'yuan 故其叙情怨
'gu'qi'yi'gui'yuan'tong 故其义贵圆通
'gu'qi'zhi'yi'yang'ci 故其植义扬辞
'gu'qi'zi'cheng'wei'fu 故其自称为赋
'gu'qiao'yan'qie'zhuang 故巧言切状
'gu'qing'fan'er'ci'yin 故情繁而辞隐
'gu'qing'zhe'wen'zhi'jing 故情者文之经
'gu'qu'shi'lv'lan 故取式吕览
'gu'qu'zhao'er'shi'bo 故趣昭而事博
'gu'ren'suo'yi'yu'yu 古人所以馀裕
'gu'ren'you'yan 古人有言
'gu'ren'yun 古人云
'gu'ri'xin'shu'zhi 故日新殊致
'gu'ru'zhu'zi'zhi'liu 故入诸子之流
'gu'ruan'xian'ji'qi'li'sheng 故阮咸讥其离声
'gu'san'zhun'ji'ding 故三准既定
'gu'sao'jing'jiu'zhang 故骚经九章
'gu'shan'fu'zhe'yi'zhi'ru'gan'dan 故善附者异旨如肝胆
'gu'shan'wei'wen'zhe 故善为文者
'gu'shang'ci'er'zi 故商赐二子
'gu'shang'lin'zhi'guan 故上林之馆
'gu'shi'cun'yan 古式存焉
'gu'shi'de'qi'yao 故事得其要
'gu'shi'ren'zhi'zhi'you'er'ye 故诗人之志有二也
'gu'shi'shi'ben 古史世本
'gu'shi'suo'gong'yi 故世所共遗
'gu'shi'wu'tiao'qi'qi 瞽师务调其器
'gu'shi'xie'si'guan 故事谢丝管
'gu'shi'zhi'li'bie 古诗之离别
'gu'shou'guan'xi'yin 故授官锡胤
'gu'shou'guan'xuan'xian 故授官选贤
'gu'shu'xin'yan 固殊心焉
'gu'shu'yuan'ze'wu'jiao'ru'bi 故述远则诬矫如彼
'gu'shu'zhe 故书者
'gu'shun'jing'chan'shuo 故舜惊谗说
'gu'si'li'wei'miao 故思理为妙
'gu'si'neng'ru'qiao'er'bu'zhi'fan 故思能入巧而不制繁
'gu'sui'wei'er'wu'jiu'yi 故虽危而无咎矣
'gu'ti'gui'hong'run 故体贵弘润
'gu'ti'qing'zhi'zhi'ri'shu 故体情之制日疏
'gu'tian'xia'zhi'dong'zhe'cun'hu'ci 鼓天下之动者存乎辞
'gu'tong'diao'ye 故同吊也
'gu'tong'zi'diao'zhuo 故童子雕琢
'gu'wai'ting'zhi'yi 故外听之易
'gu'wang'hou'cheng'jiao 故王侯称教
'gu'wei'jiang'feng'jun'yu'hou'yi 故魏绛讽君于后羿
'gu'wei'pu'zhe 故谓谱者
'gu'wei'qing'zhe'yao'yue'er'xie'zhen 故为情者要约而写真
'gu'wei'shi'shi'suo'bin 固为事实所摈
'gu'wei'wen'cheng 故魏文称
'gu'wei'wen'yi'wei 故魏文以为
'gu'wei'wu'cheng'zhang'zi'zhi'wen'wei'zhuo 故魏武称张子之文为拙
'gu'wei'xin'zhi'zuo'ye 固维新之作也
'gu'wei'zai'zhi'ji 故位在鸷击
'gu'wen'bi'zhi'ming'feng'ye 固文笔之鸣凤也
'gu'wen'fan'zheng'wei'fa 故文反正为乏
'gu'wen'jie'er'ti'qing 故文洁而体清
'gu'wen'neng'zong'jing 故文能宗经
'gu'wen'yi'bu'cheng 故文艺不称
'gu'wen'zi'que'qie 故文资确切
'gu'wu'dai'fan'shuo'ye 故无待泛说也
'gu'wu'duan'ya 固无端涯
'gu'wu'wang'er'bu'yi 故无往而不壹
'gu'xi'cheng'zhi'yuan'ci'wen 故系称旨远辞文
'gu'xi'ci'cheng'he'chu'tu 故系辞称河出图
'gu'xi'yi'wei'yong 故檄移为用
'gu'xian'hua'er'pei'shi'zhe'ye 固衔华而佩实者也
'gu'xiang'jia'ji'sui 故响浃肌髓
'gu'xiang'lun'yan 故详论焉
'gu'xiang'tian'di 故象天地
'gu'xiang'yi'er'tiao'yuan 故响逸而调远
'gu'xiao'quan'duan'shu 故小券短书
'gu'xin'zhi'zhao'li 故心之照理
'gu'xing'gao'er'cai'lie 故兴高而采烈
'gu'xing'li'ze'zhang'cheng'yi 故形立则章成矣
'gu'xing'yi'xiao'wang 故兴义销亡
'gu'xun'tong'shu 诂训同书
'gu'ya'yu'qi'fan 故雅与奇反
'gu'yan'yu'zhe 故言语者
'gu'yan'zhuang'er'qing'hai 故言壮而情骇
'gu'yan'zi'yue'yi 故言资悦怿
'gu'yang'ci'hao'wei'huan'dou 故杨赐号为驩兜
'gu'yang'zi'yi'wei'wen'li'yong'gua'zhe'chang'qing 故扬子以为文丽用寡者长卿
'gu'yao'shu'cheng'fang 故药术称方
'gu'yao'zi'si'yue 故尧咨四岳
'gu'yi'bi'ming'ya 故义必明雅
'gu'yi'cheng'jiao'shi 故义成矫饰
'gu'yi'cong'rong'lv'qing 故宜从容率情
'gu'yi'ming'yun'du'cheng'wei'ben 固以明允笃诚为本
'gu'yi'mo'ti'yi'ding'xi 故宜摹体以定习
'gu'yi'qi'jing'mu 故抑其经目
'gu'yi'qu'cun'yi'xin'chi 故宜诎寸以信尺
'gu'yi'tiao'chang'yi'ren'qi 故宜条畅以任气
'gu'yi'wei'shu 故以为术
'gu'yi'wu'yi'jia'yu'ci'yi 固亦无以加于此矣
'gu'yi'xiang'nan'qi 故遗响难契
'gu'yi'xin'er'bu'luan 故意新而不乱
'gu'yi'xu'su'yi'peng'zhong 固宜蓄素以弸中
'gu'yi'xuan'zhu'shi'ren'zhi'hou 固已轩翥诗人之后
'gu'yi'zhe'yi'yan 故议者宜言
'gu'yi'zheng'yi'yi'sheng'li 固宜正义以绳理
'gu'yin'ru'zhong'shu 故引入中书
'gu'yin'si'zhi'shu'li 固禋祀之殊礼
'gu'ying'chu'er'cai'guo 故颖出而才果
'gu'yong'zhi'jian'xian 谷永之谏仙
'gu'yong'zhi'yan 故用之焉
'gu'you'shi'er'guai'er 故有时而乖贰
'gu'you'tie'quan 古有铁券
'gu'you'zhi'shen'xuan'mian 故有志深轩冕
'gu'you'zhui'gu'zi'li 故有锥股自厉
'gu'yu'zhi'yu'cha'hui 故誉止于察惠
'gu'yuan'zhao'zhi'xiang 故圆照之象
'gu'yue'ai'ye 故曰哀也
'gu'yue'bei'ye 故曰碑也
'gu'yue'bo'ye 故曰驳也
'gu'yue'dang'yan'ye 故曰谠言也
'gu'yue'fa'ye 故曰法也
'gu'yue'feng'shi 故曰封事
'gu'yue'lu'ye 故曰录也
'gu'yue'zhan'ye 故曰占也
'gu'zhang'heng'zhai'shi'ban'zhi'chuan'lan 故张衡摘史班之舛滥
'gu'zhang'zhe 故章者
'gu'zhe'ren'zhi'li'yuan'ye 固哲人之骊渊也
'gu'zhe'zao'shi 古者造士
'gu'zhe'zuo'shi'ji'shi'zhe 古者左史记事者
'gu'zhi'ai'qi'zhi'xin 固知爱奇之心
'gu'zhi'chang'yu'feng'yu 故知长于讽谕
'gu'zhi'chao'yin 古之嘲隐
'gu'zhi'chu'ci'zhe 固知楚辞者
'gu'zhi'cui'lun'gui'er 固知翠纶桂饵
'gu'zhi'dao'yan'sheng'yi'chui'wen 故知道沿圣以垂文
'gu'zhi'di'shi'jie'bing 故知帝世戒兵
'gu'zhi'fan'lue'shu'xing 故知繁略殊形
'gu'zhi'ge'yao'wen'li 故知歌谣文理
'gu'zhi'ji'zha'guan'le 故知季札观乐
'gu'zhi'jiang'xiang 古之将相
'gu'zhi'jiao'ge 古之教歌
'gu'zhi'jiu'bian'zhi'guan'fei'qiong 故知九变之贯匪穷
'gu'zhi'jun'zi'chang'yan 故知君子常言
'gu'zhi'pei'yu 古之佩玉
'gu'zhi'qi'xie'ren'sheng 故知器写人声
'gu'zhi'qian'shi'fu'ming 故知前世符命
'gu'zhi'shi'wei'le'xin 故知诗为乐心
'gu'zhi'wen'bian'ran'hu'shi'qing 故知文变染乎世情
'gu'zhi'xie'ci'yin'yan 故知谐辞讔言
'gu'zhi'xin'bu'you'zhong 故知信不由衷
'gu'zhi'xing'ren'qie'ci 固知行人挈辞
'gu'zhi'ye'zhi'qi'yi 故知烨之奇意
'gu'zhi'yin'er'wei'shen 故志隐而味深
'gu'zhi'yin'ren'ji'song 故知殷人辑颂
'gu'zhi'yu'die'jin'lou 固知玉牒金镂
'gu'zhi'zheng'yan'suo'yi'li'bian 故知正言所以立辩
'gu'zhou'cheng'pan'shu 故周称判书
'gu'zhu'zhi'wen'zhe'ye 固祝之文者也
'gu'zhuo'chu'er'duo'pian 故卓出而多偏
'gu'zhuo'zhuo'zhuang'tao'hua'zhi'xian 故灼灼状桃花之鲜
'gu'zi'ran'hui'miao 故自然会妙
'gu'zi'tian'di'yi'jiang 故自天地以降
'gu'zi'xia'tan'shu'zhao'zhao'ruo'ri'yue'zhi'ming 故子夏叹书昭昭若日月之明
'gu'zui'fu'shen'zhong'yi 故最附深衷矣
'guai'dao'miu'dian 乖道谬典
'guai'er'bu'ci 怪而不辞
'guai'hu'dang'dang 乖乎荡荡
'guan'bi'dang'shen 关闭当审
'guan'bi'zhi'yun 观彼制韵
'guan'bo'shi'ye'ling'zhi'zhang 观伯始谒陵之章
'guan'chao'shi'zhi'dui 观晁氏之对
'guan'ci'zhong'tiao 观此众条
'guan'feng'si'mian 观风似面
'guan'fu'gu'zhi'wei'yin 观夫古之为隐
'guan'fu'hou'han'cai'lin 观夫后汉才林
'guan'fu'qu'song'shu'pian 观夫屈宋属篇
'guan'fu'xing'zhi'tuo'yu 观夫兴之托谕
'guan'fu'xun'jie'yin'yu 观夫荀结隐语
'guan'fu'zuo'shi'zhui'shi 观夫左氏缀事
'guan'gao'zu'zhi'yong'da'feng 观高祖之咏大风
'guan'hai'ze'yi'yi'yu'hai 观海则意溢于海
'guan'jian'jiang'sai 关键将塞
'guan'ju'qin'wei'wen 观剧秦为文
'guan'ju'you'bie 关雎有别
'guan'kong'guang'zhi'zou'dong'xian 观孔光之奏董贤
'guan'ku'li'chen 管库隶臣
'guan'lan'er'suo'yuan 观澜而索源
'guan'mei'shi'shou'chang 观枚氏首唱
'guan'qi'bei'shang'zhong'yin 观其北上众引
'guan'qi'bi'ye'zheng'ming 观器必也正名
'guan'qi'da'di'suo'gui 观其大抵所归
'guan'qi'er'wen 观其二文
'guan'qi'gu'geng'suo'shu 观其骨鲠所树
'guan'qi'jie'ti'san'wen 观其结体散文
'guan'qi'lv'shan'ci'bian 观其虑赡辞变
'guan'qi'shi'wen 观其时文
'guan'qi'ti'shan'er'lv'diao 观其体赡而律调
'guan'qi'xu'shi'ru'chuan 观其序事如传
'guan'qi'ya'du'you'yuan 观其涯度幽远
'guan'qi'yan'shuo 观其艳说
'guan'qi'yin'yi'zhi'ci 观其慭遗之辞
'guan'qi'yue'wen'ju'yao 观其约文举要
'guan'qian'jian'er'hou'shi'qi 观千剑而后识器
'guan'shi'qian'zhi'bao'ren'an 观史迁之报任安
'guan'si'ma'qian'zhi'ci 观司马迁之辞
'guan'si'shi'yi'lian'shi 贯四时以联事
'guan'tian'wen'yi'ji'bian 观天文以极变
'guan'tong'bian'yu'dang'jin 观通变于当今
'guan'wang'wan'zhi'zou'xun'de 观王绾之奏勋德
'guan'wei'xiao'zhi'xi'wang'xin 观隗嚣之檄亡新
'guan'wen'er'shu'xin'ze'ti'she 观文而属心则体奢
'guan'wen'jing'yi'qian 观文景以前
'guan'wen'zhe'pi'wen'yi'ru'qing 观文者披文以入情
'guan'xiang'ru'feng'shan 观相如封禅
'guan'xin'you'qie 观衅尤切
'guan'yan'shu'pian 管晏属篇
'guan'yang'ci'zhi'bei 观杨赐之碑
'guan'yi'wei'zheng'luan'zhi'yao 贯一为拯乱之药
'guan'zhe 关者
'guan'zhi'min'cha 官治民察
'guan'zhong'lv'xiang 管仲吕相
'guan'zhong'xia'ling'ru'liu'shui 管仲下令如流水
'guan'zhong'you'yan 管仲有言
'guan'zi'si'shi 观兹四事
