'a'nan 阿难
'jie'you'su'shi'ji'de'suo'zhi 皆由宿世积德所致
'jie'zhu'chan'fu 解诸缠缚
'jie'zun'pu'xian'da'shi'zhi'de 皆遵普贤大士之德
'jie'zuo'qian'shi'bu'zhi'de'ben 皆坐前世不植德本
'jin'ai'san'jie 矜哀三界
'jin'de'wei'ren 今得为人
'jin'ji'yan'li 尽极严丽
'jin'ri'shi'xiong'zhu'zhu'fo'suo'zhu 今日世雄住诸佛所住
'jin'ri'shi'yan'zhu'dao'shi'zhi'xing 今日世眼住导师之行
'jin'ri'shi'ying'zhu'zui'sheng'zhi'dao 今日世英住最胜之道
'jin'ri'shi'zun 今日世尊
'jin'ri'shi'zun'zhu'qi'te'zhi'fa 今日世尊住奇特之法
'jin'ri'tian'zun'xing'ru'lai'zhi'de 今日天尊行如来之德
'jin'shu 金树
'jin'suo'wen'zhe 今所问者
'jin'wei'ru'shuo 今为汝说
'jin'ye'hua'guo 金叶华果
'jin'yi'cheng'fo 今已成佛
'jing'hui'xiu'fan'xing 净慧修梵行
'jing'jing'xiang'wang 茎茎相望
'jing'li'jie'shu 经历劫数
'jing'ruo'wu'xing 净若无形
'jiu'chang'wu'ji 究畅无极
'jiu'chang'yao'miao 究畅要妙
'jiu'jing'bi'an 究竟彼岸
'jiu'jing'bi'zhi'yi'sheng'bu'chu 究竟必至一生补处
'jiu'jing'you'bu'wen 究竟有不闻
'jiu'jing'yuan'gu 究竟愿故
'jiu'liao'san'ku 救疗三苦
'jiu'qi'ya'di 究其涯底
'ju'mou'tou'hua 拘牟头华
'ju'sheng'zi'cheng 举声自称
'ju'zhu'pu'sa'wu'liang'xing'yuan 具诸菩萨无量行愿
'ju'zu'cheng'jiu'wu'liang'zong'chi'bai'qian'san'mei 具足成就无量总持百千三昧
'ju'zu'de'ben 具足德本
'ju'zu'gong'de 具足功德
'ju'zu'ru'shi'qing'jing'se'shen 具足如是清净色身
'ju'zu'wu'jie 具足五劫
'ju'zu'xiu'man'ru'shi'da'yuan 具足修满如是大愿
'ju'zu'zhong'de'ben 具足众德本
'jue'ding'bi'cheng'wu'shang'zheng'jue 决定必成无上正觉
'jue'qu'cai'se 绝去财色
'jue'zhu'shi'jian 觉诸世间
'kai'bi'zhi'hui'yan 开彼智慧眼
'kai'chan'fa'men 开阐法门
'kai'dao'zhong'sheng 开导众生
'kai'hua'heng'sha'wu'liang'zhong'sheng 开化恒沙无量众生
'kai'hua'yi'qie 开化一切
'kai'hua'yi'qie'zhu'tian'ren'min 开化一切诸天人民
'kai'kuo'guang'da 开廓广大
'kai'shan'men 开善门
'kai'shen'yue'ti 开神悦体
'kong'wu'pu'sa 空无菩萨
'kong'wu'wo'sheng 空无我声
'kong'zhong'zan'yan 空中赞言
'kou'chang'qi'wei 口尝其味
'kou'fa'gu 扣法鼓
'kou'qi'xiang'jie 口气香洁
'ku'shen'ju'ji 苦身聚积
'kuai'le'an'yin 快乐安隐
'lai'sheng'wo'guo 来生我国
'lei'lou'chou'e 羸陋丑恶
'li'jing'suo'yu 力精所欲
'li'yu'shen'zheng'nian 离欲深正念
'lin'shou'zhong'shi 临寿终时
'ling'qin'yi'cong 灵禽翼从
'ling'wo'yu'shi 令我于世
'ling'wo'zuo'fo 令我作佛
'ling'zhu'zhong'sheng'gong'de'cheng'jiu 令诸众生功德成就
'liu'bu'wan'zhong'wen'ya'de'xiang 流布万种温雅德香
'liu'gen'qing'che 六根清彻
'liu'li 琉璃
'liu'li'chi'zhe 琉璃池者
'liu'li'shu 琉璃树
'liu'li'wei'ben 琉璃为本
'liu'li'wei'hua 琉璃为华
'liu'li'wei'jing 琉璃为茎
'liu'li'wei'shi 琉璃为实
'liu'li'wei'tiao 琉璃为条
'liu'li'wei'ye 琉璃为叶
'liu'li'wei'zhi 琉璃为枝
'liu'zhong'zhen'dong 六种震动
'luo'fu'qi'shang 罗覆其上
'lv'xin'xiu'shan 履信修善
'ma'nao 玛瑙
'ma'nao'chi'zhe 玛瑙池者
'ma'nao'shu 玛瑙树
'ma'nao'wei'ben 玛瑙为本
'ma'nao'wei'hua 玛瑙为华
'ma'nao'wei'jing 玛瑙为茎
'ma'nao'wei'shi 玛瑙为实
'ma'nao'wei'tiao 玛瑙为条
'ma'nao'wei'ye 玛瑙为叶
'ma'nao'wei'zhi 玛瑙为枝
'man'zu'yuan'gu 满足愿故
'meng'wo'guang'ming'chu'qi'shen'zhe 蒙我光明触其身者
'mi'bu'gan'hua 靡不感化
'mi'bu'jie'tuo 靡不解脱
'mi'fu'fo'tu 弥覆佛土
'mi'fu'shui'shang 弥覆水上
'miao'de'pu'sa 妙德菩萨
'miao'yi'zhen'shan 妙衣珍膳
'mie'ci'hun'mang'an 灭此昏盲暗
'min'nian'zhong'sheng 愍念众生
'min'shang'zhong'sheng 愍伤众生
'min'zhong'sheng 愍众生
'ming'cheng'pu'zhi 名称普至
'ming'ji'zhong'e'nan 明济众厄难
'ming'liao'yuan'gu 明了愿故
'ming'liao'zhu'guo 明了诸国
'ming'sheng'chao'shi'fang 名声超十方
'ming'shi'zi'zai'wang 名世自在王
'ming'xing'zu 明行足
'ming'yao'ri'yue 明曜日月
'ming'yue 明月
'ming'yue'an'le 名曰安乐
'ming'yue'guang'yuan 名曰光远
'mo'bu'gui'fu 莫不归伏
'mo'bu'wen'yan 莫不闻焉
'mo'bu'wen'zhe 莫不闻者
'mo'bu'zhi'jing 莫不致敬
'mo'lv'guan'shu 魔率官属
'mo'ni 摩尼
'mu'du'qi'se 目睹其色
'mu'yu'jin'liu 沐浴金流
'nai'qu'mie'du 乃取灭度
'nai'sheng'wang'jia 乃生王家
'nai'zhao'dong'fang'heng'sha'fo'sha 乃照东方恒沙佛刹
'nai'zhi'bai'qian'you'xun 乃至百千由旬
'nai'zhi'dai'de'tian'yan 乃至逮得天眼
'nai'zhi'di'liu'tian'shang 乃至第六天上
'nai'zhi'fan'wang 乃至梵王
'nai'zhi'gan'lu'guan'ding 乃至甘露灌顶
'nai'zhi'mie'du 乃至灭度
'nai'zhi'qi'bao 乃至七宝
'nai'zhi'san'qian'da'qian'shi'jie'zhong'sheng 乃至三千大千世界众生
'nai'zhi'se'jiu'jing'tian 乃至色究竟天
'nai'zhi'shao'gong'de'zhe 乃至少功德者
'nai'zhi'shi'nian 乃至十念
'nai'zhi'wen'you'bu'shan'ming'zhe 乃至闻有不善名者
'nai'zhi'wu'liang'zhong'bao 乃至无量众宝
'nai'zhi'zhao'yi'fo'sha 乃至照一佛刹
'nan'si'guang'fo 难思光佛
'nan'xi'bei'fang 南西北方
'nan'zhi'nan'jian 难值难见
'nei'wai'zuo'you 内外左右
'neng'yu'zhang'zhong 能于掌中
'neng'zhu'shou'ming'yi'bai'qian'jie 能住寿命忆百千劫
'ning'ke'lei'hu 宁可类乎
'pi'ru'bi'qiu 譬如比丘
'pi'ru'da'hai 譬如大海
'pi'ru'heng'sha 譬如恒沙
'pi'ru'huan'shi 譬如幻师
'pi'ru'shi'jian'pin'qiong'qi'ren 譬如世间贫穷乞人
'pian'tan'you'jian 偏袒右肩
'pian'zhu'fo'guo 偏诸佛国
'pin'qiong'qi'ren 贫穷乞人
'pu'ji'zhu'pin'ku 普济诸贫苦
'pu'sa'jing'dian 菩萨经典
'pu'sa'wen'yi 菩萨闻已
'pu'sa'wen'zhe 菩萨闻者
'pu'sa'yi'ran 菩萨亦然
'pu'wei'shi'fang'shuo'wei'miao'fa 普为十方说微妙法
'pu'wei'shi'fang'zhu'fo'pu'sa'tan'qi'guang'ming 普为十方诸佛菩萨叹其光明
'pu'xian'dao'jiao 普现道教
'pu'xian'pu'sa 普贤菩萨
'pu'xing'ci'yuan 普行此愿
'pu'zhao'shi'fang 普照十方
'pu'zhao'wu'ji'tu 普照无际土
'qi'bao'bo'qi 七宝钵器
'qi'bao'you'ru'di'liu'tian'bao 其宝犹如第六天宝
'qi'bao'zhu'shu 七宝诸树
'qi'ben'zhou'wei'wu'qian'you'xun 其本周围五千由旬
'qi'chi'an'shang 其池岸上
'qi'dao'chang'shu 其道场树
'qi'fa'wu'shang'shu'sheng'zhi'yuan 起发无上殊胜之愿
'qi'feng'tiao'he 其风调和
'qi'fo'cheng'dao'yi'lai 其佛成道已来
'qi'fo'guo'tu 其佛国土
'qi'fo'shi'jie 其佛世界
'qi'fo'shou'ming 其佛寿命
'qi'guo'cai'wei 弃国财位
'qi'guo'juan'wang 弃国捐王
'qi'hua'guang'ming 其华光明
'qi'jiang'tang'jing'she'gong'dian'lou'guan 其讲堂精舍宫殿楼观
'qi'miao'zhen'yi 奇妙珍异
'qi'ming'yue 其名曰
'qi'she'jue'shan'zhong 耆阇崛山中
'qi'sheng'fa'wang 齐圣法王
'qi'sheng'liu'bu 其声流布
'qi'shou'chang'chu'wu'jin'zhi'bao 其手常出无尽之宝
'qi'shou'fo'zu 稽首佛足
'qi'shou'li'zu 稽首礼足
'qi'shou'zuo'li 稽首作礼
'qi'shu'nan'liang 其数难量
'qi'si'tian'wang 其四天王
'qi'suo'bu'zhi 其所不知
'qi'suo'ti'zhe 其所渧者
'qi'suo'xiu'xing 其所修行
'qi'xiang'pu'xun'shi'fang'shi'jie 其香普熏十方世界
'qi'xiang'pu'xun'wu'liang'shi'jie 其香普熏无量世界
'qi'xin'ji'jing 其心寂静
'qi'you'nv'ren 其有女人
'qi'you'wen'zhe 其有闻者
'qi'you'zhong'sheng'yu'si'guang'zhe 其有众生遇斯光者
'qi'zhi'nan'liang 其智难量
'qi'zhong'qi'miao 其众奇妙
'qi'zhu'sheng'wen'pu'sa'tian'ren 其诸声闻菩萨天人
'qi'zhu'tian'ren 其诸天人
'qi'zhu'zhong'sheng 其诸众生
'qi'zhu'zhong'sheng'gong'de'shan'li 其诸众生功德善力
'qian'zhi'ling'hai 遣之令还
'qin'ku'liu'nian 勤苦六年
'qing'chang'ai'liang 清畅哀亮
'qing'feng'shi'fa 清风时发
'qing'jing'an'yin 清净安隐
'qing'jing'guang'fo 清净光佛
'qing'jing'wu'hui 清净无秽
'qing'jing'wu'yi 清净无遗
'qing'jing'xiang'jie 清净香洁
'qing'jing'zhuang'yan 清净庄严
'qing'ming'cheng'jie 清明澄洁
'qing'se'qing'guang 青色青光
'qing'zhuan'fa'lun 请转法轮
'qiong'shen'jin'ao 穷深尽奥
'qiong'wei'ji'miao 穷微极妙
'qiu'dao'bu'zhi 求道不止
'qu'ci'shi'wan'yi'sha 去此十万亿刹
'qu'lai'xian'zai'fo'fo'xiang'nian 去来现在佛佛相念
'qu'yao'yan'zhi 取要言之
'rao'fo'san'za 绕佛三匝
'ren'ai'jian'ji 仁爱兼济
'ren'li'cheng'jiu 忍力成就
'ren'li'dai'jin 人理殆尽
'ren'wo'jian'li 人我兼利
'ren'xiong'shi'zi 人雄师子
'ren'you'zhi'xin'jing'jin 人有至心精进
'ren'zhong'bu'hui 忍终不悔
'ren'zhong'du'zun 人中独尊
'ri'ye'cheng'shuo 日夜称说
'ri'yue'ji'zhong'hui 日月戢重晖
'ri'yue'mo'ni 日月摩尼
'rong'se'duan'zheng 容色端正
'rong'se'guang'yao 荣色光曜
'rong'se'wei'miao 容色微妙
'rou'ruan'guang'ze 柔软光泽
'ru'chun'xiao'zhi'zi 如纯孝之子
'ru'ci'zhu'fo 如此诸佛
'ru'da'hai'shui 如大海水
'ru'da'mu'jian'lian 如大目犍连
'ru'fo'fa'cang 入佛法藏
'ru'fo'suo'zan'ying'fa'miao'fu 如佛所赞应法妙服
'ru'fo'wu'ai'zhi 如佛无碍智
'ru'guo'fen'wei 入国分卫
'ru'jin'ke'shuo 汝今可说
'ru'lai 如来
'ru'lai'dao'hua 如来道化
'ru'lai'ding'hui 如来定慧
'ru'lai'yan'rong 如来颜容
'ru'lai'yi'wu'jin'da'bei 如来以无尽大悲
'ru'lai'zheng'jue 如来正觉
'ru'ming'jing'jing 如明镜净
'ru'mu'lian'deng 如目连等
'ru'ning'zhi'hu 汝宁知乎
'ru'shan'xue'dao 入山学道
'ru'shi'deng'sheng 如是等声
'ru'shi'deng'shi 如是等事
'ru'shi'gong'de 如是功德
'ru'shi'jing'jin 如是精进
'ru'shi'liu'fan 如是六反
'ru'shi'san'mei 如是三昧
'ru'shi'shou'zhong 如是寿终
'ru'shi'xiu'yi 如是修已
'ru'shi'yan'ming 如是炎明
'ru'shi'zhi'deng'pu'sa'da'shi 如是之等菩萨大士
'ru'shi'zhi'fa 如是之法
'ru'shi'zhu'bo 如是诸钵
'ru'shi'zhu'fo 如是诸佛
'ru'shi'zhuan'bei 如是转倍
'ru'suo'xiu'xing 如所修行
'ru'wo'suo'yuan 如我所愿
'ru'yan'shi'ye 汝言是也
'ru'you'bo'luo'hua 如优钵罗华
'ru'zhong'yan'yin 入众言音
'ru'zi'dang'zhi 汝自当知
'ruo'bi'guo'tu 若彼国土
'ruo'bi'guo'tu'tian'ren 若彼国土天人
'ruo'bu'er'zhe 若不尔者
'ruo'bu'ru'shi 若不如是
'ruo'bu'ru'yi'zhe 若不如意者
'ruo'bu'sheng'zhe 若不生者
'ruo'ke'xian'liang'zhe 若可限量者
'ruo'qi'xiang'nian'tan'ji'shen'zhe 若起想念贪计身者
'ruo'ru'bao'chi 若入宝池
'ruo'shou'du'jing'fa 若受读经法
'ruo'you'zhong'sheng 若有众生
'ruo'yu'shi'shi 若欲食时
'ruo'zai'san'tu'ji'ku'zhi'chu 若在三途极苦之处
'san'gou'xiao'mie 三垢消灭
'san'mei'chang'ji 三昧常寂
'san'mei'zhi'hui 三昧智慧
'san'zhe'wu'sheng'fa'ren 三者无生法忍
'san'zhu'chen'lao 散诸尘劳
'shan'hu 珊瑚
'shan'hu'chi'zhe 珊瑚池者
'shan'hu'wei'ben 珊瑚为本
'shan'hu'wei'hua 珊瑚为华
'shan'hu'wei'jing 珊瑚为茎
'shan'hu'wei'shi 珊瑚为实
'shan'hu'wei'tiao 珊瑚为条
'shan'hu'wei'ye 珊瑚为叶
'shan'hu'wei'zhi 珊瑚为枝
'shan'li'fang'bian 善立方便
'shan'shi 善逝
'shan'si'yi'pu'sa 善思议菩萨
'shan'xin'sheng'yan 善心生焉
'shan'xue'wu'wei'zhi'wang 善学无畏之网
'shan'zai'a'nan 善哉阿难
'shang'ke'qiong'di 尚可穷底
'shang'sheng'tian'shang 上生天上
'shang'wei'neng'jin 尚未能尽
'shao'yu'zhi'zu 少欲知足
'she'bi'tian'gong 舍彼天宫
'she'di'liu'tian'wang 设第六天王
'she'qu'fo'guo'qing'jing'zhuang'yan'wu'liang'miao'tu 摄取佛国清净庄严无量妙土
'she'wo'dei'fo 设我得佛
'she'zhen'miao'yi 舍珍妙衣
'shen'chu'qi'guang 身触其光
'shen'de'wu'liang 神德无量
'shen'di'shan'nian 深谛善念
'shen'guang'wu'liang 深广无量
'shen'le'ji'mie 深乐寂灭
'shen'li'yan'da'guang 神力演大光
'shen'ru'pu'sa'fa'zang 深入菩萨法藏
'shen'se'zi'jin 身色紫金
'shen'tong'dong'da 神通洞达
'shen'tong'gong'de 神通功德
'shen'tong'hua'pu'sa 神通华菩萨
'shen'tong'yi'da 神通已达
'shen'wei'bi'lou 甚为鄙陋
'shen'xin'rou'ruan 身心柔软
'shen'yi'rou'ruan 身意柔软
'shen'zhi'dong'da 神智洞达
'shen'zhu'mao'kong 身诸毛孔
'sheng'wei'xia'jian 生为下贱
'sheng'wen'pu'sa'tian'ren'zhi'zhong 声闻菩萨天人之众
'sheng'zun'gui'jia 生尊贵家
'shi'bi'bi'qiu 时彼比丘
'shi'bu'cheng'deng'jue 誓不成等觉
'shi'fa'zang'bi'qiu 时法藏比丘
'shi'fan'feng'shi 释梵奉侍
'shi'fan'qi'quan 释梵祈劝
'shi'fang'lai'sheng 十方来生
'shi'fang'shi'jie'wu'liang'zhu'fo 十方世界无量诸佛
'shi'fang'shi'jie'yin'sheng'zhi'zhong 十方世界音声之中
'shi'fang'shi'zun 十方世尊
'shi'fang'wu'liang'bu'ke'si'yi'zhu'fo'shi'jie 十方无量不可思议诸佛世界
'shi'fang'zhong'sheng 十方众生
'shi'fu'tian 示福田
'shi'gu'qi'guo 是故其国
'shi'gu'si'duo'e'qu 是故死堕恶趣
'shi'gu'wu'liang'shou'fo 是故无量寿佛
'shi'jian'di'wang 世间帝王
'shi'jian'jie 世间解
'shi'li'wu'shang'zheng'zhen'zhi'dao 使立无上正真之道
'shi'mo'zhi'zhi 使魔知之
'shi'qu'zhi'ming 食趣支命
'shi'ruo'zi'ji 视若自己
'shi'shi'nai'chu 时时乃出
'shi'shi'xiang'dang 实实相当
'shi'shi'zi'zai'wang'fo 时世自在王佛
'shi'tong'ren'lei 示同人类
'shi'wo'zhen'zheng 是我真证
'shi'wu'shi'zhe 实无食者
'shi'xian'mie'du 示现灭度
'shi'xian'suan'ji 示现算计
'shi'yi'hua'qu 事已化去
'shi'yi'shou'zhong'fu'ying 是以寿终福应
'shi'you'chen'gou 示有尘垢
'shi'you'guo'wang 时有国王
'shi'zhi'fu'xian 时至复现
'shi'zhu'li'shu 施诸黎庶
'shi'zun 世尊
'shi'zun'yong'wu 世尊永无
'shou'chi'ru'lai'shen'shen'fa'zang 受持如来甚深法藏
'shou'ci'chang'ku 受此长苦
'shou'fa'yan 授法眼
'shou'liang'ji'he 寿量几何
'shou'ming'chang'duan 寿命长短
'shou'ming'chang'jiu 寿命长久
'shou'ming'wu'neng'xian'liang 寿命无能限量
'shou'ming'you'xian'liang 寿命有限量
'shou'pu'sa'ji 授菩萨记
'shou'zhong'zhi'hou 寿终之后
'shu'fa'yu 澍法雨
'shu'ru'heng'sha 数如恒沙
'shu'sheng'xi'you 殊胜希有
'shui'ji'mei'zu 水即没足
'shui'ji'zhi'jing 水即至颈
'shui'ji'zhi'yao 水即至腰
'shui'jing'chi'zhe 水精池者
'shui'jing'wei'ben 水精为本
'shui'jing'wei'hua 水精为华
'shui'jing'wei'jing 水精为茎
'shui'jing'wei'shi 水精为实
'shui'jing'wei'tiao 水精为条
'shui'jing'wei'ye 水精为叶
'shui'jing'wei'zhi 水精为枝
'shui'zhe'hai'fu 水辄还复
'shuo'ci'song'yi 说此颂已
'shuo'ci'yuan'yi 说此愿已
'shuo'fa'shi'zi'hou 说法师子吼
'si'deng'zhu'fo 斯等诸佛
'si'shi'er'jie 四十二劫
'si'wei'shang'xia 四维上下
'si'wei'she'qu'zhuang'yan'fo'guo'qing'jing'zhi'xing 思惟摄取庄严佛国清净之行
'si'yi'hong'shen 斯义弘深
'si'yuan'bu'man'zu 斯愿不满足
'si'yuan'ruo'kei'guo 斯愿若剋果
'su'cheng'zheng'jue 速成正觉
'su'fu'suo'zhui 宿福所追
'sui'ju'zu'yi 随举足已
'sui'nian'ji'zhi 随念即至
'sui'qi'sheng'chu 随其生处
'sui'qi'shi'jie 随其时节
'sui'qi'suo'ying 随其所应
'sui'qi'zhi'yuan'suo'yu'wen'fa 随其志愿所欲闻法
'sui'ren'zhong'zun'gui 虽人中尊贵
'sui'se'ci'di 随色次第
'sui'shun'qing'jing'li'yu'ji'mie'zhen'shi'zhi'yi 随顺清净离欲寂灭真实之义
'sui'shun'qun'sheng 随顺群生
'sui'shun'san'bao'li'wu'suo'wei'bu'gong'zhi'fa 随顺三宝力无所谓不共之法
'sui'shun'tong'hui'pu'sa'sheng'wen'suo'xing'zhi'dao 随顺通慧菩萨声闻所行之道
'sui'xin'fu'yu 随心服御
'sui'yi'er'zhi 随意而至
'sui'yi'suo'yu 随意所欲
'sui'yi'suo'yuan 随意所愿
'sui'yi'yu'jian'shi'fang'wu'liang'yan'jing'fo'tu 随意欲见十方无量严净佛土
'sui'ying'er'xian 随应而现
'sui'you'ci'shi 虽有此食
'suo'bu'neng'ji 所不能及
'suo'chu'gong'dian 所处宫殿
'suo'gong'tan'yu 所共叹誉
'suo'ju'she'zhai'gong'dian'lou'ge 所居舍宅宫殿楼阁
'suo'shou'kuai'le 所受快乐
'suo'wen'shen'kuai 所问甚快
'suo'xiu'fo'guo 所修佛国
'suo'yi'chu'xing'yu'shi 所以出兴于世
'suo'yi'ran'zhe 所以然者
'suo'yi'shi'jian'di'wang 所以世间帝王
'suo'yi'zhe'he 所以者何
'suo'zhi'shu'zhe 所知数者
'suo'zhu'an'di 所住安谛
'ta'fang'fo'tu'zhu'pu'sa'zhong 他方佛土诸菩萨众
'ta'fang'guo'tu'zhu'pu'sa'zhong 他方国土诸菩萨众
'tan'qiu'wu'yan 贪求无厌
'ti'chu'xu'fa 剃除须发
'tian'an'shu'zhi 天案树枝
'tian'guang'yin'bu'xian 天光隐不现
'tian'ren'gui'yang 天人归仰
'tian'ren'shi 天人师
'tian'ren'zhi'shan'e 天人之善恶
'tian'xia'di'yi 天下第一
'tian'you'bo'luo'hua 天优钵罗华
'tian'yu'miao'hua 天雨妙华
'tiao'he'leng'nuan 调和冷暖
'tiao'yu'zhang'fu 调御丈夫
'tong'da'mi'bu'zhao 通达靡不照
'tong'da'shan'qu'men 通达善趣门
'tong'zhu'fa'xing 通诸法性
'tu'wei'ta'you 徒为他有
'wang'yi'dao'chang 往诣道场
'wei'ceng'man'zi 未曾慢恣
'wei'chang'zhan'du'shu'miao'ru'jin 未常瞻睹殊妙如今
'wei'chu'wu'ni 唯除五逆
'wei'chui'ting'cha 唯垂听察
'wei'de'wu'lv 威德无侣
'wei'feng'xu'dong 微风徐动
'wei'jin'xian'zai 为今现在
'wei'jing'ji'shi 为经几时
'wei'lan'hui'liu 微澜回流
'wei'li'zi'zai 威力自在
'wei'miao'gong'shang 微妙宫商
'wei'miao'he'ya 微妙和雅
'wei'miao'kuai'le 微妙快乐
'wei'miao'nan'liang 微妙难量
'wei'miao'qi'li 微妙奇丽
'wei'miao'yin'sheng 微妙音声
'wei'nan'wei'nv 为男为女
'wei'ran 唯然
'wei'ran'da'sheng 唯然大圣
'wei'ran'shi'zun 唯然世尊
'wei'rong'xian'yao 威容显耀
'wei'ru'gan'lu 味如甘露
'wei'shen'guang'ming 威神光明
'wei'shen'nan'liang 威神难量
'wei'shen'wu'ji 威神无极
'wei'wei'cheng'fo 为未成佛
'wei'wei'shu'miao 巍巍殊妙
'wei'wu'shang'zun 为无上尊
'wei'xiang'shu'miao 威相殊妙
'wei'yao'lang'shi'fang 威曜朗十方
'wei'ye'huan'lan 炜烨焕烂
'wei'yi'cheng'fo'er'qu'mie'du 为已成佛而取灭度
'wei'yuan'shi'zun 唯愿世尊
'wei'zhi'you'nao 为之忧恼
'wei'zhi'zhong'dan 为之重担
'wei'zhong'kai'fa'zang 为众开法藏
'wei'zhong'sheng'gu 为众生故
'wei'zhu'pu'sa 为诸菩萨
'wei'zhu'pu'sa'sheng'wen'zhi'zhong 为诸菩萨声闻之众
'wei'zhu'shu'lei 为诸庶类
'wei'zhu'tian'ren'shi 为诸天人师
'wei'zuo'da'an 为作大安
'wen'fo'shuo'fa 闻佛说法
'wen'fo'suo'shuo'yan'jing'guo'tu 闻佛所说严净国土
'wen'liang'rou'ruan 温凉柔软
'wen'qi'guang'ming'wei'shen'gong'de 闻其光明威神功德
'wen'qi'yin'zhe 闻其音者
'wen'si'hui'yi 问斯慧义
'wen'wo'ming'hao 闻我名号
'wen'wo'ming'zi 闻我名字
'wen'yi'she'yu 文艺射御
'wo'bu'yi'ci'fa 我不疑此法
'wo'dang'min'ai 我当愍哀
'wo'dang'xiu'xing 我当修行
'wo'fa'wu'shang'zheng'jue'zhi'xin 我发无上正觉之心
'wo'hang'jing'jin 我行精进
'wo'jian'chao'shi'yuan 我建超世愿
'wo'shuo'wu'liang'shou'fo'guang'ming'wei'shen 我说无量寿佛光明威神
'wo'wen'ci'yi 我闻此已
'wo'wen'ru'shi 我闻如是
'wo'xin'nian'yan 我心念言
'wo'yi'she'qu'zhuang'yan'fo'tu'qing'jing'zhi'xing 我已摄取庄严佛土清净之行
'wo'yu'wu'liang'jie 我于无量劫
'wo'zhi'cheng'fo'dao 我至成佛道
'wu'ai'guang'fo 无碍光佛
'wu'bian'guang'fo 无边光佛
'wu'bu'zhou'bian 无不周遍
'wu'cheng'guang'fo 无称光佛
'wu'dang'yu'shi 吾当于世
'wu'de'ke'shi 无德可恃
'wu'dui'guang'fo 无对光佛
'wu'fei'fa'yin 无非法音
'wu'fu'ku'nao 无复苦恼
'wu'ji'zhi'ti 无极之体
'wu'liang'bao'wang 无量宝网
'wu'liang'bao'zang 无量宝藏
'wu'liang'da'sheng 无量大圣
'wu'liang'fo'tu 无量佛土
'wu'liang'guang'yan 无量光炎
'wu'liang'shou'fo 无量寿佛
'wu'liang'shou'guo 无量寿国
'wu'liang'yi'jie 无量亿劫
'wu'liang'zhong'se 无量种色
'wu'liang'zhu'fo 无量诸佛
'wu'ming'yu'nu 无明欲怒
'wu'neng'cheng'liang 无能称量
'wu'neng'e'jue 无能遏绝
'wu'neng'ji'zhe 无能及者
'wu'ran'hui'chi 无染恚痴
'wu'shan'ke'hu 无善可怙
'wu'shang'shi 无上士
'wu'shen'bu'zhao 无深不照
'wu'sheng'ren'sheng 无生忍声
'wu'shi'de'fo 吾誓得佛
'wu'shi'fei'chang 悟世非常
'wu'shu'fo'tu 无数佛土
'wu'shu'sha'tu 无数刹土
'wu'shu'wu'liang 无数无量
'wu'shuai'wu'bian 无衰无变
'wu'suo'bu'bian 无所不变
'wu'suo'wei'zheng 无所违争
'wu'suo'wei'zhu 无所味著
'wu'suo'zuo'sheng 无所作声
'wu'ti'tou'di 五体投地
'wu'xu'mi'shan 无须弥山
'wu'yang'shu'jie 无央数劫
'wu'yi'wei'yu 无以为喻
'wu'you'san'tu'ku'nan'zhi'ming 无有三途苦难之名
'wu'you'xu'wei'chan'qu'zhi'xin 无有虚伪谄曲之心
'wu'you'zhu'tian'lai'jiao'wo'zhe 无有诸天来教我者
'wu'yu'deng'zhe 无与等者
'wu'zhu'nao'huan 无诸恼患
'wu'zuo'wu'qi 无作无起
'xi'cheng'yuan'jue 悉成缘觉
'xi'du'xian'zai'wu'liang'zhu'fo 悉睹现在无量诸佛
'xi'gong'ji'jiao 悉共计较
'xi'gong'ji'xiao 悉共计校
'xi'gong'tui'suan 悉共推算
'xi'huo'zhu'fo'wu'liang'gong'de 悉获诸佛无量功德
'xi'ling'cheng'jiu'sheng'wen'yuan'jue 悉令成就声闻缘觉
'xi'nian'wo'guo 系念我国
'xi'qu'jing'gu 溪渠井谷
'xi'xian'yu'zhi 悉现与之
'xi'xiang'za'ce 悉相杂厕
'xi'zhuo'gou'wu 洗濯垢污
'xia'zhi'bai'qian'yi'na'you'ta'jie'zhe 下至百千亿那由他劫者
'xia'zhi'bu'zhao'bai'qian'yi'na'you'ta'zhu'fo'guo'zhe 下至不照百千亿那由他诸佛国者
'xia'zhi'jian'bai'qian'yi'na'you'ta'zhu'fo'guo'zhe 下至见百千亿那由他诸佛国者
'xia'zhi'wen'bai'qian'yi'na'you'ta'zhu'fo'suo'shuo 下至闻百千亿那由他诸佛所说
'xia'zhi'zhi'bai'qian'yi'na'you'ta'zhu'jie'shi'zhe 下至知百千亿那由他诸劫事者
'xian'cheng'deng'jue 现成等觉
'xian'chu'gong'zhong'se'wei'zhi'jian 现处宫中色味之间
'xian'gong'hu'nian 咸共护念
'xian'gong'tan'yu 咸共叹誉
'xian'ming'qing'bai 显明清白
'xian'qi'de'ben 现其德本
'xian'qian'xiu'xi'pu'xian'zhi'de 现前修习普贤之德
'xian'shi'san'cheng 显示三乘
'xian'tong'yi'lei 咸同一类
'xian'wu'zhuo'sha 现五浊刹
'xian'xian'dao'yi'wu'liang'gong'de 显现道意无量功德
'xian'xin'xiao 现欣笑
'xian'xing'qi'bu 现行七步
'xian'yi'cheng'wen 先意承问
'xian'zai'xi'fang 现在西方
