'ai'shi'wan'yuan'zhi'gen 爱是万缘之根
'er'yuan'ze'bu'ke'bu'wang 而怨则不可不忘
'er'zai'ji'ze'bu'ke'shu 而在己则不可恕
'er'zai'ren'ze'bu'ke'ren 而在人则不可忍
'er'ze'duan 而泽短
'er'zhi'chi 而致迟
'er'zhong'chang'wen'ni'er'zhi'yan 耳中常闻逆耳之言
'er'zi'mei'yun 而子美云
'fan'jia'zhi'ma'ke'jiu'chi'qu 泛驾之马可就驰驱
'fan'nao'geng'he'qin 烦恼更何侵
'fan'shang'ya'dao 反伤雅道
'fan'shi'zhi 翻视之
'fan'wei'xiao'ren'ying'si'zhi'ju'yi 反为小人营私之具矣
'fan'xiao'peng'xin'she'chi 反笑鹏心奢侈
'fan'yan'zi'gong'ye'lai'zhe 繁衍自功业来者
'fan'zhe'you'shi'shui 犯着又是谁
'fan'zhi'yang'wu'fen 帆只扬五分
'fang'fei'yuan'lin'kan'feng'mang 芳菲园林看蜂忙
'fang'jie'kai'de'wang'tian'luo 方解开地网天罗
'fang'ke'bai'tuo'de'huan'qian'kun 方可摆脱得幻乾坤
'fang'ke'du'shu'xue'gu 方可读书学古
'fang'ke'tiao'sheng'xian'zhi'dan 方可挑圣贤之担
'fang'ke'yan'le'xin 方可言了心
'fang'neng'chu'shi'jian'yu'shi'jian 方能出世间于世间
'fang'neng'yi'wan'wu'fu'wan'wu 方能以万物付万物
'fang'ren'zhi'xin'bu'ke'wu 防人之心不可无
'fang'shi'yu'zhou'nei'de'zhen'ren'pin 方是宇宙内的真人品
'fang'wei'qie'shi'gong'fu 方为切实工夫
'fang'wei'xin'di'shang'gong'fu 方为心地上工夫
'fang'xin'xian'ren'shi'fu'ren 方信闲人是福人
'fang'xin'ze'feng'die'jiao'qin 芳馨则蜂蝶交侵
'fang'zhi'dan'bo'zhi'wei'zhen 方知淡泊之为真
'fang'zhi'dang'ru'du'hai'fu'nang 防之当如渡海浮囊
'fang'zhi'he'meng'zhi'you'xian 方知鹤梦之悠闲
'fang'zhu'chu'chi'jia'you'xiang 放箸处齿颊犹香
'fang'zhu'shi'yu'yan'wu'yi 放箸时与盐无异
'fei'fu 非福
'fei'qian'jin'er'jie'na'xian'hao 费千金而结纳贤豪
'fei'si'fei'zhu'er'zi'tian'yu 非丝非竹而自恬愉
'fei'xin 非心
'fen'chong'zhi'hui'bian'wei'chan 粪虫至秽变为蝉
'fen'fen'ge'yi 纷纷各异
'fen'ge'bi'wo 分个彼我
'fen'rao'gu'ni'zhi'zhi'chang 纷扰固溺志之场
'fen'shi'shi'ji'zhe 偾事失机者
'fen'xie'yu'ren 分些与人
'fen'xun'yi'wei'su'zhe 奋迅以为速者
'feng'biao'zi'zai 丰标自在
'feng'gong'yuan'bu'shou'hou 封公怨不授侯
'feng'guo'er'zhu'bu'liu'sheng 风过而竹不留声
'feng'kuang'yu'zhou'chu 风狂雨骤处
'feng'lai'shu'zhu 风来疏竹
'feng'xi'shi 风息时
'feng'zhong'zhi'liu'tai 风中之柳态
'fou'ze'wu'yi'chi'kong'ji'zhi'hou'ku'qu 否则无以持空寂之后苦趣
'fou'ze'wu'yi'tuo'gou'zhuo'zhi'chen'yuan 否则无以脱垢浊之尘缘
'fu'bu'ke'yao 福不可邀
'fu'cao'wu'guang'hua'wei'ying 腐草无光化为荧
'fu'ci'zi'xiao'xiong'you'di'gong 父慈子孝兄友弟恭
'fu'gui'de'yi'shi'chong'rong 富贵得一世宠荣
'fu'gui'geng'shen'yu'pin'jian 富贵更甚于贫贱
'fu'gui'jia'yi'kuan'hou'er'fan'ji'ke'cun 富贵家宜宽厚而反忌克寸
'fu'gui'ming'yu'zi'dao'de'lai'zhe 富贵名誉自道德来者
'fu'gui'shi'wu'qing'zhi'wu 富贵是无情之物
'fu'gui'suo'nan 富贵所难
'fu'mo'fu'yu'shao'shi 福莫福于少事
'fu'shan'bu'zai'yao'ming 福善不在杳冥
'fu'shi'zhe'ru'ji'sheng'yi'mu 附势者如寄生依木
'fu'yi'shi'xiu'dui'ren'yan 拂意事休对人言
'fu'yu'wen'bao 复遇温饱
'gai'kui'hui'er'zi 盖愧悔二字
'gai'shi'de'gong'lao 盖世的功劳
'gai'shi'shi'yi 盖识是一
'gai'si'cha'nai'meng'dong'zhi'gen 盖伺察乃懵懂之根
'gai'xin'wu'ran'zhu 盖心无染著
'gai'zhi'yi'dan'bo'ming 盖志以淡泊明
'gai'zhong'ren'you'le'yi'qing 盖众人忧乐以情
'gan'bi'xi'nu'yan 甘婢膝奴颜
'gan'chang'xu'ruo'chun'feng 肝肠煦若春风
'gan'dan'yu'tian'xia'xiang'zhao 肝胆与天下相照
'gan'shou'bing'ze'mu'bu'neng'shi 肝受病则目不能视
'gan'yu'bian'sheng'ku'qu 甘余便生苦趣
'gan'yu'ying'ju'shi 感与应俱适
'gang'qiang'zhong'bu'sheng'rou'ruo 刚强终不胜柔弱
'gao'bu'ji'dian 高步疾颠
'gao'che'xian'di'pi 高车嫌地僻
'gao'ren'yi'zhi'zhu 高人以之助
'gao'ze'gao'yi 高则高矣
'ge'e'ling'er'gao'fei 鸽恶铃而高飞
'gong'bi'qiu'ying'zhe 功必求盈者
'gong'cheng'xing'man'zhi'shi 功成行满之士
'gong'guo'bu'yi'shao'hun 功过不宜少混
'gong'ming'fu'gui 功名富贵
'gong'ming'fu'gui'zhu'shi'zhuan'yi 功名富贵逐世转移
'gong'ping'zheng'lun'bu'ke'fan'shou 公平正论不可犯手
'gong'ren'zhi'e'wu'tai'yan 攻人之恶毋太严
'gou'qian'ying'er'zhao'lai'bin'ke 构千楹而招来宾客
'gu'bu'xi'shi'yi'bu'you 固不喜失亦不忧
'gu'chi'ying'lv'man 故持盈履满
'gu'dang'yi'qi'zao'xin 故当抑其躁心
'gu'dang'zhen'qi'duo'qi 故当振其惰气
'gu'du'shu'qiong'li 故读书穷理
'gu'duo'zhong'zhong'shi'hao'zhong'zhong'fan'nao 故多种种嗜好种种烦恼
'gu'e'zhi'xian'zhe'huo'qian 故恶之显者祸浅
'gu'fu'xin'chu'qie'mo'fang'shou 故拂心处切莫放手
'gu'gu'ren'yi'bu'tan'wei'bao 故古人以不贪为宝
'gu'ji'xian'zhe'yi'ri'yao'yu'qian'gu 故机闲者一日遥于千古
'gu'jin 古今
'gu'jue'lu'ke'er'rong'jin'zhi'bei 故爵禄可饵荣进之辈
'gu'jun'zi'bu'neng'mie'qing 故君子不能灭情
'gu'jun'zi'bu'zuo'gou'ye 故君子不作垢业
'gu'jun'zi'dang'cun'han'gou'na'wu'zhi'liang 故君子当存含垢纳污之量
'gu'jun'zi'ju'chang'shi'hao 故君子居常嗜好
'gu'jun'zi'shi'lai'er'xin 故君子事来而心
'gu'jun'zi'sui'zhong'lian'jie 故君子虽重廉介
'gu'jun'zi'yi'tian'yang'zhi 故君子以恬养智
'gu'jun'zi'yi'zhong'chi'qing 故君子以重持轻
'gu'jun'zi'yu'wu'de'zui'yu'zhao'zhao 故君子欲无得罪于昭昭
'gu'jun'zi'yu'yi'chong'yi'yi'bu'ren'shang'can 故君子于一虫一蚁不忍伤残
'gu'kuai'yi'shi'xu'zao'hui'tou 故快意时须早回头
'gu'ren'chang'you'si'lv'bing 故人常忧死虑病
'gu'ren'ci'dian'nian'tou 古人此点念头
'gu'ren'dang'yi'shi'hou 故人当以事后
'gu'ren'er'jie'hao'ming 故人而皆好名
'gu'ren'shi'shou'chu 古人实受处
'gu'ren'xian'shi'chu 古人闲适处
'gu'rou'you'hen'yu'wai'ren 骨肉尤狠于外人
'gu'shan'zhi 故芟之
'gu'sheng'zeng'shun 固生憎顺
'gu'shi'shi'yun 故释氏云
'gu'tan'shang'yu'er'lian'jin'gu'zhe 故贪商於而恋金谷者
'gu'xing'qi'qing'leng'zhe 故性气清冷者
'gu'xue'zhe'bu'huan'gou'bing 故学者不患垢病
'gu'xue'zhe'dang'qi'xin'yuan'mo 故学者当栖心元默
'gu'yu'fu'tu'ji'zou'gao'fei 故愚夫徒疾走高飞
'gu'yu'yun 故语云
'gu'yun'chu'xiu 孤云出岫
'gu'zhe'shi'duo'ni'cai'yi'tao'guang 故哲士多匿采以韬光
'gu'zhi'fu'bu'ru'pin'zhi'wu'lv 故知富不如贫之无虑
'gu'zhi'gui'bu'ru'jian'zhi'chang'an 故知贵不如贱之常安
'gu'zhi'jie 故知洁
'gua'shu'di'luo 瓜熟蒂落
'guan'cheng'tan'zhi'yue'ying 观澄潭之月影
'guang'feng'zhi'nei 光风之内
'guang'jing 光景
'gui'jie'qi'xing 瑰节奇行
'gui'jue'bu'lu 圭角不露
'gui'shen'bu'neng'sun'wo 鬼神不能损我
'gui'shen'ye'bu'neng'yi'shi'wo 鬼神也不能役使我
'gun'yi'yu'shi'zhe 衮衣玉食者
'guo'ji'er'fan'feng'chai'zhi'du 过激而犯蜂虿之毒
'guo'ju'zi'xi 过举自稀
'guo'ze'wei'qian'lin'wei'bi'se 过则为悭吝为鄙啬
'guo'ze'wei'zu'gong 过则为足恭
'guo'zhong'hua 果种花
'hai'lian'qiong'du 还怜茕独
'hai'ren'zhi'xin'bu'ke'you 害人之心不可有
'hai'ru'zhu'ge'huo'ji 还如筑个祸基
'hai'shi'duan'lian'wei'shu 还是锻炼未熟
'hai'tian'xia'yu'tian'xia'zhe 还天下于天下者
'hai'xiang'fen'yun'jing'shang'kan'guo 还向纷纭境上勘过
'hai'ye 害也
'hai'you'ji'fen'xia'qi 还有几分侠气
'han'ze'sha 寒则杀
'hang'deng'bi'an 航登彼岸
'hao'cha'fei'ming 好察非明
'hao'chou'xin'tai'ming 好丑心太明
'he'bi'lang'sheng'bei'xi 何必浪生悲喜
'he'chu'tao'xie'sheng'li 何处讨些生理
'he'huan'heng'liu'wu 何患横流污
'he'huan'wan'jin'dun'tie'zhi'bu'ke'tao'rong 何患顽金钝铁之不可陶熔
'he'huan'xin'si'bu'huo'po 何患心思不活泼
'he'li'ji'qun 鹤立鸡群
'he'li'xue'yue'shuang'tian'xiang'jian'qu'dai'fu'xing'shi'zhi'ji'lie 鹤唳雪月霜天想见屈大夫醒时之激烈
'he'ru'gu'rou'zhi'fu'xin 何如骨肉之孚心
'he'ru'jian'zhe'pin'er'you'yu 何如俭者贫而有余
'he'ru'zhuo'zhe'yi'er'quan'zhen 何如拙者逸而全真
'he'shi'chu'xiu'bian'fu 何事处修边幅
'he'shi'pian'tan'gou'xia'er 何事偏贪钩下饵
'he'si'yang'zhi'yu'qing'xiu'er'yan 何似养志于清修而炎
'he'sun'qing'xiu 何损清修
'he'tian'bu'ke'ao'xiang 何天不可翱翔
'he'wei'hu'shi'huan'zhi'wei'ji 何畏乎仕宦之危机
'he'wu'bu'ke'yin'zhuo 何物不可饮啄
'he'xu'bai'ban'ji'jiao 何须百般计较
'he'xu'fen'bie 何须分别
'he'xu'qi'qi 何须戚戚
'he'xu'qu'she 何须取舍
'he'xu'suo'suo 何须琐琐
'he'ye 何也
'he'yi'cheng'xuan'qian'zhuan'kun'zhi'jing'lun 何以成旋乾转坤之经纶
'he'yi'fa'yu'wan'wu 何以发育万物
'he'yi'tuo'jiang'suo'zhi'shen 何以脱缰锁之身
'he'yi'zhen'yun'xiao'zhi'he 何以振云霄之翮
'he'yi'zhi'ding'tian'li'di'zhi'di'zhu'ying'yong'yao'you'yuan'ji 何以植顶天立地之砥柱应用要有圆机
'he'you'hu'li'lu'zhi'xiang'er 何忧乎利禄之香饵
'he'zu'shi'zai 何足恃哉
'hen'hen'zheng'lai 狠狠争来
'heng'ni'kun'qiong 横逆困穷
'hong'qu'mei'qiu'shui 红蕖媚秋水
'hong'tao'dao'hai'er'di'zhu'yi'ran 洪涛倒海而坻柱屹然
'hong'wei'zhi'xian'yuan'gong 鸿未至先援弓
'hong'yan'shi'zhi 红颜失志
'hong'ze'li'qi'zhong 鸿则罹其中
'hong'zhu'shao'can 红烛烧残
'hu'du'tian'ji'cai'yun 忽睹天际彩云
'hu'ke'bo'fei'zhen'hu 虎可搏非真虎
'hu'mian'bai'qi 狐眠败砌
'hu'wei'wang'bie'chi'yan 胡为妄别媸妍
'hu'xiu'wei'wen'shu'du 户朽未闻枢蠹
'hu'zai 乎哉
'hua'bian'you'qian'xi'fei'xing 花便有迁徙废兴
'hua'cheng'chun'guang 花逞春光
'hua'jie'guo 花结果
'hua'kai'hua'xie'chun'bu'guan 花开花谢春不管
'hua'rong 花容
'hua'shang'pu'yi'duan'hao'se 花尚铺一段好色
'hua'wei'jia'ren'yi 化为家人矣
'hua'ying'cao'se 花英草色
'huai'ci're'gan'chang 怀此热肝肠
'huai'le'yi'sheng'ren'pin 坏了一生人品
'huan'xing'meng'zhong'zhi'meng 唤醒梦中之梦
'huang'liang'meng'po 黄梁梦破
'huang'niao'qing'duo 黄鸟情多
'hui'ji'wang'zhi'shi 悔既往之失
'hui'ren'zhe'bu'mei 毁人者不美
'hui'xin'bu'zai'yuan 会心不在远
'hui'xin'chu'hai'qi'du'shang 会心处还期独赏
'hui'zhi'tao'chu 会知陶处
'hun'ming'dun'yi'ye 昏明顿异也
'hun'su'zhi'zhong'neng'tuo'su 混俗之中能脱俗
'hun'ze'ren'huai'duo'hui'zhi'xin 混则人怀惰隳之心
'huo'bu'ke'bi 祸不可避
'huo'chu'dan'bo'er'yan 或处淡泊而厌
'huo'guang'bai'yu'quan'shi'bi'jun 霍光败于权势逼君
'huo'jian'fen'hua'er'xi 或见纷华而喜
'huo'jiao'e 火焦蛾
'huo'mo'huo'yu'duo'xin 祸莫祸于多心
'huo'shui'guan'yu'xi 活水观鱼戏
'huo'yin'bu'zai'you'miao 祸淫不在幽渺
'ji'chao'shuang'ji'chao'xue 几朝霜几朝雪
'ji'feng'nu'yu 疾风怒雨
'ji'he'bu'wang'liang'chang'kuang 几何不魍魉猖狂
'ji'he'bu'zhui'ru'zhen'mang'keng'qian'zai 几何不坠入榛莽坑堑哉
'ji'he'guang'yin 几何光阴
'ji'he'ren'zai 几何人哉
'ji'ji'can'ke'yin 即饥餐渴饮
'ji'jiu'zhe'fei'sui'yang'shi'wei'yi 急就者非邃养施为宜
'ji'jue'zhen'xian'er'wang 既觉真现而妄
'ji'li'cang'ji'bian'wai'sheng'bian 机里藏机变外生变
'ji'mo'heng'mao'guan'yan'qin 寂寞衡茅观燕寝
'ji'mo'yi'shi 寂寞一时
'ji'ri'qing'tian 霁日青天
'ji'shi'dao'li'zhi'ji 即是导利之机
'ji'shi'huo'keng 即是火坑
'ji'shi'jing'bang 济世经邦
'ji'wan 即万
'ji'wu'cun'gong 即无寸功
'ji'xi'zuo'wang'pan'shi'shang 机息坐忘盘石上
'ji'xie'gui 亟携归
'ji'yi'lv'zhi'xun'yong'yi'qi'zhi'jie'yi 即伊吕之勋庸夷齐之节义
'ji'yue'guang'feng 霁月光风
'ji'zai'dong'jing'yu'mo'jian'duo 即在动静语默间夺
'ji'zai'she'shi'zhong 即在涉世中
'ji'zai'shi'xi'qi'ju'chu'you'qi'zhong 即在食息起居处牖其衷
'ji'zao'wu'bu'de'yu'zhi'lun'lao'yi'jiao'kui 即造物不得与之论劳逸较亏
'ji'zhi'kun'ru'yi'ren 己之困辱宜忍
'ji'zhi'qing'yu'bu'ke'zong 己之情欲不可纵
'ji'zhi'ti'yi'shu'wei 即肢体亦属委
'jia'ren'you'guo'bu'yi'bao'yang 家人有过不宜暴扬
'jia'ting'you'ge'zhen'fo 家庭有个真佛
'jia'yi'fu'duan 假以覆短
'jian'chi'zhi'ren 检饬之人
'jian'chu'de 减除得
'jian'dou'lai'yan'qian'shi 间都来眼前事
'jian'gong'li'ye'zhe 建功立业者
'jian'gong'ying'er'jing'bei'zhong'zhi'she 见弓影而惊杯中之蛇
'jian'mei'de'ye 俭美德也
'jian'qi 见奇
'jian'xing'xing'zi'hao'zhi'ren 见悻悻自好之人
'jian'yi'miao'jing'ye 间一妙境也
'jian'yi'shan'xing 见一善行
'jian'zhe'dan'yu'huo'li 俭者淡于货利
'jiang'dao'xiu'de 讲道修德
'jiang'mo'zhe'xian'jiang'qi'xin 降魔者先降其心
'jiang'nv'bu'shang'qian'hua 姜女不尚铅华
'jiang'xue'bu'shang'gong'xing 讲学不尚躬行
'jiao'ci'lun'xiong 较雌论雄
'jiao'ci'xiong'yu'zhuo'shou 较雌雄于着手
'jiao'qing'bu'ruo 矫情不若
'jiao'ren'yi'shan'wu'guo'gao 教人以善毋过高
'jiao'you'bu'yi'lan 交友不宜滥
'jie'bao 皆薄
'jie'dou'zhe'zhu'zhi'yi'wei 解斗者助之以威
'jie'lan'chang'fu'gu'zhi'yao 皆烂肠腐骨之药
'jie'na'shan'weng 结纳山翁
'jie'nian'xiang'zao'cheng 皆念想造成
'jie'shi'bo'nong'ying'xiong'dian'dao'hao'jie'chu 皆是播弄英雄颠倒豪杰处
'jie'shi'kao'wai'wu'zuo'ren 皆是靠外物做人
'jie'ta'shi'er'yin'feng'zhi 借他事而隐讽之
'jie'xia'ji'dian'fei'cui'luo'hong 阶下几点飞翠落红
'jie'xin'zhi'bu'ru'dun'jiu'hao 结新知不如敦旧好
'jie'yi'ao'qing'yun 节义傲青云
'jie'yi'shi'fen'qu'bai'zhe'ye 皆以十分取败者也
'jie'ze'jie'yi 捷则捷矣
'jie'zong'gu'gao 节纵孤高
'jin'bu'chu'bian'si'tui'bu 进步处便思退步
'jin'de'shi'jian'zhi'chang'dao 尽得世间之常道
'jin'de'xiu'xing 进德修行
'jin'de'xu'jin'yu'zhi'wei'zhi'shi 谨德须谨于至微之事
'jin'gao'ju'ao 矜高倨傲
'jin'jiao'you 谨交游
'jin'kua'guo'dou 金夸过斗
'jin'ming'bu'ru'tao'ming'qu 矜名不如逃名趣
'jin'qi'qi'yin'xi'gui 锦绮岂因牺贵
'jin'ren'jie'shu'yi'shi'ji'er'ren'yi'zhi'ren 今人皆恕以适己而忍以制人
'jin'ren'que'mang'guo'le'yi'sheng 今人却忙过了一生
'jin'ren'you'xu'du'le'yi'shi 今人又虚度了一世
'jin'ri'bu'wu'si 今日不悟俟
'jin'ri'zhi'shi'bu'ke'zhi 今日之是不可执
'jin'shi'dang'nian'ge'wu'zhi'di 尽是当年歌舞之地
'jin'shu'fu'you 尽属蜉蝣
'jin'shu'wang'xin'xiao'sha'de 尽属妄心消杀得
'jin'wu'mao'yan'fei'liang'di'ye 金屋茅檐非两地也
'jin'zhao'que'shi'yi 今朝却是伊
'jing'bei'yi'shi'zhi'xian'lu 竟被一时之显戮
'jing'chan'jing'chao'que 静觇竞巢鹊
'jing'cheng'you'jue'de'qi'ren 竟成有爵的乞人
'jing'chu'guan'ren'shi 静处观人事
'jing'de'zhong'zi 净的种子
'jing'hou 兢后
'jing'jie'dun'shu 境界顿殊
'jing'ming'hun'hou'yi 精明浑厚矣
'jing'po 精魄
'jing'qi'xi'yi'zhe 惊奇喜异者
'jing'se'sui'bu'yan'li 景色虽不艳丽
'jing'zai'qing'ning 境在清宁
'jing'zao'liang'bu'xiang'gan 静躁两不相干
'jing'zhong'bu'luo'kong 静中不落空
'jing'zhu'ting'ren'er'bu'xian'jin'zui 兢逐听人而不嫌尽醉
'jiu'bu'zhi 究不知
'jiu'ji'bai'zhi'shi'zhe 救既败之事者
'jiu'yi'shen'le'yi'shen'zhe 就一身了一身者
'jiu'you'xu 旧有序
'jiu'you'yi'bu'hao'de'xiang'cheng'chu 就有一不好的相乘除
'jiu'you'yi'bu'le'de'xiang'dui'dai 就有一不乐的相对待
'ju'gao'zhe'xing'yi'er'shen'lao 居高者形逸而神劳
'ju'guan'bu'ai'zi'min 居官不爱子民
'ju'guan'you'er'yu'yue 居官有二语曰
'ju'jia'you'er'yu'yue 居家有二语曰
'ju'la 咀蜡
'ju'min'bi'zheng'zhi'qi 俱民必争之器
'ju'ni'jing'zhong 居逆境中
'ju'qi'ming'ze 居其名则
'ju'shen'yi'ju'yu'du'hou'zhi'di 居身宜居于独后之地
'ju'shi'he'dang'ru'shi 俱是合当如是
'ju'shi'jing'ji'ni'tu 俱是荆棘泥涂
'ju'shi'she'shi'de'huo'tai 俱是涉世的祸胎
'ju'xuan'mian'zhi'zhong 居轩冕之中
'ju'zhong'zhi'wei 局中之危
'juan'shu'zi'you 卷舒自由
'jue'su'yi'shi'ku 绝俗亦是苦
'jun'zi 君子
'jun'zi'chi'shen'zhi'fu 君子持身之符
'jun'zi'chu'ci'gu'bu'ke 君子处此固不可
'jun'zi'er'gai'jie 君子而改节
'jun'zi'er'zha'shan 君子而诈善
'jun'zi'gu'bu'wei'jun'xiang'suo'lao'long 君子故不为君相所牢笼
'jun'zi'hao'ming 君子好名
'jun'zi'suo'yi'ning'mo'wu'zao'ning'zhuo'wu'qiao 君子所以宁默毋躁宁拙毋巧
'jun'zi'yan'ru'jie'shi'er'wei'qi'nan'qin 君子严如介石而畏其难亲
'jun'zi'you'jing'jing'yan 君子尤兢兢焉
'jun'zi'yuan'wu'si'hui 君子原无私惠
'jun'zi'zhi'cai'hua 君子之才华
'jun'zi'zhi'shi'ni 君子只是逆
'jun'zi'zhi'shi'yi'ge'nian 君子只是一个念
'jun'zi'zhi'xin'shi 君子之心事
'kai'wan'shan'zhi'men 开万善之门
'kan'de'ta'zhong 看得他重
'kan'ge'se'shen'bu'po 看个色身不破
'kan'hua'shen'wu'zhi'li'pi 看花慎勿至离披
'kan'ji'er'cheng'zhi'zhe 勘极而成知者
'kan'po'you'jin'shen'qu 看破有尽身躯
'kan'ren'zhi'kan'hou'ban'jie 看人只看后半截
'kan'xiao'xing'xing'zhi'shi'jiu 堪笑猩猩之嗜酒
'kan'yi'pian'yun'guang'shu'juan 看一片云光舒卷
'kan'yu'chi'ran 刊欲炽然
'kang'jie'yun 康节云
'ke'bu'shen'zai'sheng'ju'cai'duan 可不慎哉绳锯材断
'ke'hu 可乎
'ke'jian'jing'zao'shao'fen 可见静躁稍分
'ke'jian'ku'le'wu 可见苦乐无
'ke'jian'ming'wei'zhao'huo'zhi'ben 可见名为招祸之本
'ke'jian'ren'zhi'jing'shuang'chang'tong'yu'tian 可见人之精爽常通于天
'ke'jian'shi'wu'wu'ding'pin 可见事物无定品
'ke'jian'tian'di'bu'ke'yi'ri'wu'he'qi 可见天地不可一日无和气
'ke'jian'tian'zhi'ji'quan'zui'shen 可见天之机权最神
'ke'jian'xi'shi'bu 可见喜事不
'ke'lian'yan'yan'zhi'tou'an 可怜燕燕之偷安
'ke'qi'xia'er'hou'zheng'qi'shen 客气下而后正气伸
'ke'shi'hui'er'zeng'mei 可释回而增美
'ke'wei'chao'ran'wu'lv'yi 可谓超然无侣矣
'ke'yi'tao'guang'yang'de 可以韬光养德
'ke'yi'wan'tian'di'hun'e'zhi'zhen 可以完天地浑噩之真
'ke'yi'yuan'hai'quan'shen 可以远害全身
'ke'yi'yun'niang'liang'jian'he'qi 可以酝酿两间和气
'ke'yi'zhao'chui'bai'dai'qing'fen 可以昭垂百代清芬
'ke'yi'zhuan'huo'er'wei'fu 可以转祸而为福
'ke'ze'si'xiao'zhe'qu 刻则思效者去
'ke'zhao'mo'de'ming'zhu 颗照魔的明珠
'ke'zhi'shi'dao 坷之世道
'ken'tong'ji'wu'zhi'ying'ying'er'jing'shi 肯同鸡鹜之营营而竞食
'kong'lai'chan'zen'zhi'jian 恐来谗谮之奸
'kong'shi'qu'er'cao'fu'sheng'yi 恐石去而草复生矣
'kong'shou 空手
'kong'yi'hao'shou'zhi'bei'shang 空贻皓首之悲伤
'kong'yi'lin'ji'deng'tan 恐一临机登坛
'kong'zhao 恐招
'kong'zhu'wang 空逐妄
'ku'jie'du'xing'zhe 苦节独行者
'ku'lie'zhi'huo 酷烈之祸
'ku'shi'zhi'kan'yi'tao 苦时之坎易逃
'ku'xin'zhong'chang'de'yue'xin'zhi'qu 苦心中常得悦心之趣
'kua'cheng'gong'ye'xuan'yao'wen'zhang 夸逞功业炫耀文章
'kuai'xin'zhi'shi 快心之事
'kuan'zhai'xi'zhi'cun'xin 宽窄系之寸心
'kuan'zhi'huo'zi'ming 宽之或自明
'kuang'qu'qu'ren'shi'neng'shi'shi'yuan'man'er'shi'shi'xia'yi'hu 况区区人世能事事园满而时时暇逸乎
'kuang'yi'qie'qu'qu'shi'wu'hu 况一切区区事物乎
'kui'jian'shen'wai'zhi'shen 窥见身外之身
'kun'qiong'bei'hou'fu'gen'sui 困穷背后福跟随
'lai'ri'zheng'jing'zhi 来日正警之
'lai'shun'shou'ju'an'si'wei 来顺受居安思危
'lan'ze'gong'yu'zhe'lai 滥则贡谀者来
'lang'jing'xuan'kong 朗镜悬空
'lang'wang'gan 琅王干
'lao'cheng'de'ren 老成的人
'lao'lai'ji'bing'dou'shi'zhuang'shi'zhao'de 老来疾病都是壮时招得
'lao'shu'xin'hua'tong'han'sheng'yi 老树新花同含生意
'le'dan'piao'er'gan'bi'wen'jiao'pang'zhe 乐箪瓢而甘敝温纟旁者
'le'xin'zhi'gong'ji'zai'jin'xin'nei 了心之功即在尽心内
'le'xin'zi'liao'shi 了心自了事
'le'yi'xiang'guan'qin'dui'yu 乐意相关禽对语
'leng'qu'lai'ling'ren'meng'qi'quan'xiao 冷觑来令人猛气全消
'li'bai'fu'zhi'ji 立百福之基
'li'dao'ge'shui 利刀割水
'li'kou'xian'chang'zhe 藜口苋肠者
'li'lu'shang'jing'ji 理路上荆棘
'li'lu'shang'shi 理路上事
'li'ming'zhe'zheng'suo'yi'wei'tan 立名者正所以为贪
'li'ren'shi'li'ji'de'gen'ji 利人实利己的根基
'li'rong'ming'bu'ru'zhong'yin'de 立荣名不如种阴得
'li'shen'bu'gao'yi'bu'li 立身不高一步立
'li'shi'yi'ba'zhan'mo'de'hui'jian 力是一把斩魔的慧剑
'li'ye'bu'si'zhong'de 立业不思种德
'li'ye'jian'gong 立业建功
'lian'e'bu'dian'deng 怜蛾不点灯
'lian'guan'duo'wu'hou 廉官多无后
'lian'ji'er'cheng'fu'zhe 练极而成福者
'lian'shi'he'ru'sheng'shi'xian 练事何如省事闲
'lian'shi'wei 练世味
'lian'suo'yi'jie'tan 廉所以戒贪
'lian'zhe 炼者
'lian'zi 恋字
'liang'bu'ke'shao'ye 两不可少也
'liang'bu'she 凉不涉
'liang'ge'kong'quan'wo'gu'jin 两个空拳握古今
'liang'zu'kai'zai 良足慨哉
'liao'shi'zhu'li 料事烛理
'liao'zhan'yi'zhi 鹩占一枝
'lie'ci'ji 列此即
'lie'shi'rang'qian'sheng 烈士让千乘
'lie'yan'cheng'chi 烈焰成池
'lin'xing'shi'hai'shi 临行时还是
'liu'xie'zheng'qi'hai'tian'di 留些正气还天地
'liu'zhi'ze'gen'jin'fu'meng 留之则根烬复萌
'long'ke'huan'fei'zhen'long 龙可豢非真龙
'lu'hua'bei'xia'wo'xue'mian'yun 芦花被下卧雪眠云
'lu'ji 陆机
'lu'jing'zhai'chu'liu'yi'bu 路径窄处留一步
'lu'leng'huang'hua 露冷黄花
'lu'nei'shi'yin'yang'zhi'li 炉内识阴阳之理
'lu'peng'bai'xue'qing'bing 炉烹白雪清冰
'lu'shi'tong'mian 鹿豕同眠
'luo'luo'zhe 落落者
'luo'niao'yi'song 萝茑依松
'lv'guo 履过
'lv'wang'xing 虑忘形
'ma'cheng'xian'bian 马骋先鞭
'mai'fan'dou'geng'dan'zi'wei 麦饭豆羹淡滋味
'man'lv'qiu'ping'guan'ju'xi 漫履楸枰观局戏
'man'qian'jin 满前尽
'man'shi'qing'feng'man'ji'yue 满室清风满几月
'man'sui'tian'wai'zhi'juan'yun'shu 漫随天外支卷云舒
'mang'chu'shi'wei 忙处事为
'mang'mang'guo'le 忙忙过了
'mang'zhong'you'shou'yong 忙中有受用
'mao'cang'lao'he'sui'ji 昴藏老鹤虽饥
