'ai'bie'li'ku 爱别离苦
'xing'miao'ling 星渺令
'xing'tian 刑天
'xing'tian'quan 刑天拳
'xiu'bu 修补
'xiu'luo 修罗
'xiu'luo'dao 修罗刀
'xiu'luo'wu'jing 修罗武经
'xu'jia 徐家
'xu'ri 旭日
'xuan'du 玄毒
'xuan'he'tie'kou 玄合铁扣
'xuan'jian'lu 玄锏录
'xuan'jing'yao'lue 玄经要略
'xuan'yu 玄玉
'xuan'yu'fen 玄玉粉
'xuan'yuan 玄元
'xuan'yuan'kong'shui'jue 玄元控水诀
'xuan'yun 眩晕
'xue'dao 血刀
'xue'dao'jue 血刀诀
'xue'dao'ling 血刀令
'xue'dao'yu'xue 血刀浴血
'xue'hai 血海
'xue'lian'dan 雪莲丹
'xue'long'xie'fu 血龙邪斧
'xue'luo 雪落
'xue'mei'biao 血梅镖
'xue'sha 血杀
'xue'xi'shan'he 血洗山河
'xue'yu 血雨
'xue'yu'xing'feng 血雨腥风
'xue'yuan 雪猿
'xue'yue 血月
'xue'zai 雪灾
'xue'zhai 雪斋
'xue'zhan'ba'fang 血战八方
'xue'zhong'man'bu 雪中漫步
'xun'luo 巡逻
'yan'bang 盐帮
'yan'hang 雁行
'yan'jing 燕京
'yan'men 雁门
'yan'men'shi'jia 雁门世家
'yan'rong'zhan 岩融斩
'yan'wang'tie 阎王帖
'yan'wang'zhi'bi 阎王掷笔
'yan'wu 演武
'yan'wu'tang 演武堂
'yan'xiu 研修
'yan'yang 炎阳
'yan'yu 烟雨
'yan'yu'zhuang 烟雨庄
'yan'yun'luan'chen'dao 燕云乱尘刀
'yan'zhi'xue 胭脂血
'yan'zhi'xue 胭脂雪
'yang'mai 阳脉
'yang'pi 羊皮
'yang'qiao'mai 阳跷脉
'yang'xi'wu'dao 杨袭悟刀
'yang'yan 阳炎
'yao'shi 药师
'yao'shi'lu 药师炉
'yao'yao'ling'xian 遥遥领先
'ye'lou'kai 叶楼凯
'ye'qiu 野球
'ye'qiu'can'juan 野球残卷
'ye'shou'can'hai 野兽残骸
'yi'cai 一裁
'yi'fu 衣服
'yi'gu 易骨
'yi'gu'fa'sui 易骨伐髓
'yi'hua 移花
'yi'hua'qi'yu 移花奇遇
'yi'jian'wu'mang 奕剑五芒
'yi'jun'tu'qi 异军突起
'yi'mao'bu'ba 一毛不拔
'yi'nei 一内
'yi'qi 一气
'yi'qi'hai'na'gong 一气海纳功
'yi'qiao 一巧
'yi'ren 异人
'yi'ren'zhuang 异人庄
'yi'shang 易伤
'yi'shang'kuai'jian 易伤快剑
'yi'tian'fen'hai 移天焚海
'yi'tian'fen'hai'jue 移天焚海诀
'yi'tiao'long 一条龙
'yi'tie 一铁
'yi'tuo'yi 一拖一
'yi'wei'du'jiang 一苇渡江
'yi'yang 一阳
'yin'hun 阴魂
'yin'hun'bu'san 阴魂不散
'yin'hun'chu'qiao 阴魂出窍
'yin'kong'ren 隐空刃
'yin'mai 阴脉
'yin'qiao'mai 阴跷脉
'yin'shen'shu 隐身术
'yin'wang 隐王
'yin'wang'fu'xian 隐王赴险
'yin'yang'da'bei'fu 阴阳大悲赋
'yin'yang'tong'shang 阴阳同伤
'yin'ying 阴影
'ying'jian'jia'su 硬件加速
'ying'jiu 营救
'ying'jiu'ren'zhi 营救人质
'ying'liu'jue 影流诀
'ying'zhao 鹰爪
'ying'zhi 硬直
'yong'ye 永夜
'yong'ye'cheng 永夜城
'yong'zi'ba'fa 永字八法
'you'long 游龙
'you'ming 幽冥
'you'ming'can'xiang'shi 幽冥残香式
'you'ran'shen'tong 悠然神通
'you'sha'xing 游沙行
'yu'feng 御风
'yu'feng 玉蜂
'yu'feng'jiu'bian 御风九变
'yu'feng'lian'huan'tui 御风连环腿
'yu'feng'shen'shui 御风神水
'yu'fu 渔夫
'yu'jian'wei'you 与剑为友
'yu'wen'jue 宇文绝
'yu'yang 玉阳
'yu'yang'shen'gong 玉阳神功
'yu'zhou'ci 宇宙刺
'yuan'cheng 远程
'yuan'jin 鸢金
'yuan'yang 鸳鸯
'yuan'yue 圆月
'yue'hua 月华
'yue'jia'qiang 岳家枪
'yue'luo'lu 月洛录
'yue'ming'cang'hai'jue 月明沧海诀
'yun'feng 云峰
'yun'hu 云狐
'yun'meng'tian'xiang'jue 云梦天香诀
'yun'song'wu'zi 运送物资
'yun'tian 云天
'yun'tian'pei 云天佩
'yun'tian'pu 云天谱
'yun'xia 云霞
'yun'xiao 云霄
'za'dan 砸蛋
'za'huo'dian 杂货店
'za'xue 杂学
'zang'hua 葬花
'zao'hua 造化
'zha'dan 炸弹
'zhai'xing 摘星
'zhan'chang 战场
'zhan'dou 战斗
'zhan'dou'shang'ma 战斗上马
'zhan'tan'xin'jing 旃檀心经
'zhan'tian'jue 瞻天诀
'zhang'dan'ling 张丹灵
'zhang'jian 仗剑
'zhang'jin 掌金
'zhang'men 掌门
'zhao'jia 招架
'zhao'ye 照夜
'zhao'ye'ri'yue'lun 照夜日月轮
'zhe'feng'jian'fa 折风剑法
'zhe'xian 谪仙
'zhen'fa 阵法
'zhen'lv 帧率
'zhen'pai 镇派
'zhen'qi 真气
'zheng'liu 争流
'zheng'zhan'jiang'hu 征战江湖
'zhi'dian'yi'er 指点一二
'zhong'chuan'qi 中传奇
'zhong'hua 种花
'zhong'jian 重剑
'zhong'shen'tong 中神通
'zhong'yuan 中原
'zhou'chang 周常
'zhu'di 驻地
'zhu'di'zhan 驻地战
'zhu'jie'ben 注解本
'zhu'li 助力
'zhua'dan 抓单
'zhuan'jia'dian 专家点
'zhui'feng 追风
'zhui'feng'dao 追风刀
'zhui'sha 追杀
'zhui'yun'gan'yue 追云赶月
'zhuo'ying 濯缨
'zi'duan 自断
'zi'qi'tian'luo 紫气天罗
'zi'rui 紫瑞
'zong'pai 宗派
'zong'pai'zhan 宗派战
'zui'ba'xian 醉八仙
'zui'fu 醉赋
'zuo'biao 坐标
'zuo'qi 坐骑
'zuo'wang 坐忘
