'a'gong'ma'de'chuan'shuo 阿弓玛的传说
'shui'xian'hua'de'chuan'shuo 水仙花的传说
'shun'zhi'chu'sheng'he'chu'jia'de'chuan'shuo 顺治出生和出家的传说
'shun'zhi'kang'xi'yong'zheng'de'chuan'shuo 顺治康熙雍正的传说
'si'ge'da'li'shi'qiu'qin 四个大力士求亲
'si'wei'shen'me'zhu'zai'tian'li 蛳为什么住在田里
'si'xian'yan'he'hui'xian'yan 四仙岩和会仙岩
'si'ye'tiao'ge'chuan'dong'xiang 四也挑歌传侗乡
'song'bai'ling 松柏灵
'su'dong'po'de'chuan'shuo 苏东坡的传说
'su'lai'ka'wu'qi'kan 苏莱卡乌奇坎
'su'xiao'mei'de'chuan'shuo 苏小妹的传说
'su'xiao'xiao'chuan'shuo 苏小小传说
'su'xin'hua'de'chuan'shuo 素馨花的传说
'su'zhou'de'chuan'shuo 苏州的传说
'sui'mo'wang'bao'qi'yi'de'chuan'shuo 隋末王薄起义的传说
'sui'ta 隋塔
'sun'si'miao'de'chuan'shuo 孙思邈的传说
'ta'cheng're'ba'wu'de'lai'li 塔城热巴舞的来历
'tai'feng'de'chuan'shuo 台风的传说
'tai'hu'de'chuan'shuo 太湖的传说
'tai'ping'tian'guo'qi'yi'de'chuan'shuo 太平天国起义的传说
'tai'shan'de'chuan'shuo 泰山的传说
'tai'wan'de'chuan'shuo 台湾的传说
'tai'wang'bei'de'chuan'shuo 太王碑的传说
'tai'yang'de'chuan'shuo 太阳的传说
'tai'yang'he'yue'liang'de'chuan'shuo 太阳和月亮的传说
'tai'yang'he'yue'liang'de'gu'shi 太阳和月亮的故事
'tai'yang'shen'de'gu'zi 太阳神的谷子
'tai'yang'yu'yue'liang 太阳与月亮
'tai'yang'yue'liang'he'xing'xing'de'you'lai 太阳月亮和星星的由来
'tai'yuan'wang'de'gu'shi 太原王的故事
'tan'dong'du 坍东都
'tan'fu'wang'de'chuan'shuo 谭福旺的传说
'tang'bo'hu'de'chuan'shuo 唐伯虎的传说
'tang'chi'de'lai'li 汤池的来历
'tang'dong'ji'bo'de'chuan'shuo 唐东吉博的传说
'tang'gang'zi 汤岗子
'tang'mo'huang'chao'qi'yi'de'chuan'shuo 唐末黄巢起义的传说
'tang'xian'zu'de'chuan'shuo 汤显祖的传说
'tao'hua'nv 桃花女
'tao'jun'liang 逃军粮
'tao'yuan'dong 桃源洞
'tao'yuan'ming'shou'xue 陶渊明授学
'teng'qiao'jiu'mei 藤桥救妹
'ti'shan'qiao'he'duo'po'nong 题扇桥和躲婆弄
'tian'an'men'qian'de'hua'biao 天安门前的华表
'tian'di'de'chuan'shuo 天地的传说
'tian'feng'ta 天封塔
'tian'jin'de'chuan'shuo 天津的传说
'tian'mu'shan'xi'yan'chi 天目山洗眼池
'tian'shang'zen'me'hui'you'yue'shi 天上怎么会有月蚀
'tian'si'qun'de'chuan'shuo 田思群的传说
'tian'ti'de'chuan'shuo 天体的传说
'tian'ya'yu'shi'gu 天鸦与石鼓
'tian'yi'tang'de'gu'shi 天益堂的故事
'tie'bei'yu 铁背鱼
'tong'gou'he 通沟河
'tong'gu'de'chuan'shuo 铜鼓的传说
'tong'gu'de'lai'li 铜鼓的来历
'tong'gu'de'you'lai 铜鼓的由来
'tong'luo'he'shi'gu 铜锣和石鼓
'tu'jia'ren'de'zu'xian 土家人的祖先
'tu'jia'shen'ma 土家神马
'tu'liang'de'chuan'shuo 吐良的传说
'tuo'ma'li'si 妥玛丽斯
'wa'di'ge'de'you'lai 挖地歌的由来
'wa'wa'yu 娃娃鱼
'wa'zu'chang'dao'de'chuan'shuo 佤族长刀的传说
'wa'zu'po'shui'jie'de'chuan'shuo 佤族泼水节的传说
'wa'zu'wei'shen'me'mei'you'wen'zi 佤族为什么没有文字
'wai'tou'shan'de'gu'shi 歪头山的故事
'wan'jia 万家
'wan'shan'tu'he'si'hai'tu 万山图和四海图
'wan'wan'de'bei'nan'xi 弯弯的卑南溪
'wang'bao'chuan'de'chuan'shuo 王宝钏的传说
'wang'bei'lou 望北楼
'wang'bo'de'chuan'shuo 王勃的传说
'wang'er'shan 望儿山
'wang'lao'ling 望老岭
'wang'niang'tan 望娘滩
'wang'shan'bei 望山碑
'wang'xi'zhi'de'chuan'shuo 王羲之的传说
'wang'zhao'jun'de'chuan'shuo 王昭君的传说
'wang'zi'fen'shen'si 王子焚身寺
'wang'zi'yan'yu'zai'sheng'dong 望子岩与再生洞
'wei'yao'hua'de'lai'li 围腰花的来历
'wen'bi'feng 文笔峰
'wo'long'tan 卧龙潭
'wo'niu'shi'he'liu'xi'quan 卧牛石和柳溪泉
'wu'chao'tang'de'chuan'shuo 吴朝堂的传说
'wu'cheng'en'de'chuan'shuo 吴承恩的传说
'wu'da'lian'chi'de'chuan'shuo 五大连池的传说
'wu'dao'zi'de'chuan'shuo 吴道子的传说
'wu'fo'ding 五佛顶
'wu'jia'pi'jiu'de'chuan'shuo 五加皮酒的传说
'wu'jing'zi'de'chuan'shuo 吴敬梓的传说
'wu'lan'ba'tuo'er'de'gu'shi 乌兰巴托尔的故事
'wu'shen'zhao'li'gu'gu'de'chuan'shuo 舞神笊篱姑姑的传说
'wu'shi'tan'de'chuan'shuo 乌石滩的传说
'wu'wen'cai'de'chuan'shuo 吴文彩的传说
'wu'yi'shan'ming'de'lai'li 武夷山名的来历
'wu'yi'ta 无义塔
'wu'yin'he'wu'fang 务银和务方
'wu'yu'dong 五屿洞
'wu'ze'tian'de'chuan'shuo 武则天的传说
'wu'zhi'shan'de'chuan'shuo 五指山的传说
'wu'zhi'shan'yu'qi'zhi'ling 五指山与七指岭
'xi'feng'dong 吸风洞
'xi'lang'bai'xiao'gu'xiao'gu'wang'dong'lang 西郎拜小姑小姑望东郎
'xi'liu'cheng 细柳城
'xi'niu'wang'yue 犀牛望月
'xi'sha'qun'dao'he'nan'sha'qun'dao'de'chuan'shuo 西沙群岛和南沙群岛的传说
'xi'shi'de'chuan'shuo 西施的传说
'xi'tian'wo'niu'shi 西天卧牛石
'xi'yu'gou'de'chuan'shuo 细玉沟的传说
'xian'fan'dui'yi 仙凡对奕
'xian'nai'quan 仙奶泉
'xian'nv'feng 仙女峰
'xian'ren'tai 仙人台
'xian'ting'shan 仙亭山
'xian'zu'de'jiao'yin 先祖的脚印
'xiang'bi'dui'zi'zhou 象鼻对紫洲
'xiang'fei'zhu 湘妃竹
'xiang'jiao'gu'de'chuan'shuo 象脚鼓的传说
'xiang'jiao'gu'de'chuan'shuo 象角鼓的传说
'xiang'shui 响水
'xiang'wang'tian'zi 向王天子
'xie'tiao'de'chuan'shuo 谢脁的传说
'xie'tie'cha'hu'de'lai'li 斜贴茶壶的来历
'xin'mi'jie'de'chuan'shuo 新米节的传说
'xing'an'ling'de'chuan'shuo 兴安岭的传说
'xing'yu'de'you'lai 姓余的由来
'xiong'di'xing'zuo 兄弟星座
'xiu'gu'he'peng'jia 秀姑和彭佳
'xiu'lian'de'chuan'shuo 绣脸的传说
'xiu'shui'he 秀水河
'xu'wen'chang'de'chuan'shuo 徐文长的传说
'xuan'nai'an'de'chuan'shuo 旋耐庵的传说
'xuan'yuan'huang'di'zhi'si'chou 轩辕黄帝织丝绸
'xue'yan 学岩
'yan'dang'shan'de'chuan'shuo 雁荡山的传说
'yan'ga'bian'shi'de'chuan'shuo 岩嘎变石的传说
'yan'lao'nai'de'chuan'shuo 盐老奶的传说
'yan'ling'shan 严陵山
'yan'zi'he'e'luan'shi 燕子和鹅卵石
'yang'bao'shan'de'chuan'shuo 阳宝山的传说
'yang'liu'he 杨柳河
'yang'sheng'an'de'chuan'shuo 杨升庵的传说
'yang'shuo'de'lai'li 阳朔的来历
'yang'tai'bai'jun 杨太白君
'yang'xi'mu'men'he'de'chuan'shuo 养息牧门河的传说
'yang'yu'huan'yu'qu'shan 杨玉环与蛐蟮
'yao'luo'wei'he'kua'zai'zuo'bian 腰箩为何挎在左边
'yao'shen'miao 药神庙
'yao'shun'shan'rang'de'chuan'shuo 尧舜禅让的传说
'ye'tian'shi'de'chuan'shuo 叶天士的传说
'ye'yue'qiao 夜月桥
'yi'duo'hong'mei'gui 一朵红玫瑰
'yi'fan'jie'de'chuan'shuo 衣饭节的传说
'yi'ge'nong'min'he'si'shi'ba'ge'xiu'cai'da'guan'si 一个农民和四十八个秀才打官司
'yi'he'tuan'yun'dong'de'chuan'shuo 义和团运动的传说
'yi'ke'luo'bo'da'de'gu'zi 一颗萝卜大的谷子
'yi'niang'sheng'de'xiong'di 一娘生的兄弟
'yi'niang'yang'jiu'zi 一娘养九子
'yi'wang'shui 一望水
'yin'shan'xing'shuai'ji 隐山兴衰记
'ying'ke'seng 迎客僧
'ying'wu'shan 鹦鹉山
'ying'wu'shi 鹦鹉石
'ying'xiong'ma'mai 英雄玛麦
'ying'xiong'sha'jin'de'chuan'shuo 英雄沙晋的传说
'ying'xiong'zhi'ge'a'long'de'chuan'shuo 英雄支格阿龙的传说
'yong'gan'de'a'hun'de 勇敢的阿浑德
'yong'ni'tu'zao'ren'he'zao'wan'wu'de'chuan'shuo 用泥土造人和造万物的传说
'yu'dong'chen'qi'yi'de'chuan'shuo 余栋臣起义的传说
'yu'fo'si 玉佛寺
'yu'fu'jiao 渔夫礁
'yu'ji'de'chuan'shuo 虞姬的传说
'yu'lin'ting 遇林亭
'yu'si'le'wei'shen'me'bu'ming'mu 鱼死了为什么不瞑目
'yu'wang'de'cun'zhai 渔网的村寨
'yu'wei'shen'me'mei'you'tui 鱼为什么没有腿
'yu'zhu'feng 玉柱峰
'yuan'yang'feng 鸳鸯峰
'yue'qin'de'lai'li 月琴的来历
'yue'ya'shan'he'shui'yue'dong 月牙山和水月洞
'yun'hai'de'chuan'shuo 云海的传说
'yun'que'de'chuan'shuo 云雀的传说
'yun'tai'shan'de'chuan'shuo 云台山的传说
'zan'ha'de'shi'zu 赞哈的始祖
'zang'zu'ge'wu'de'chuan'shuo 藏族歌舞的传说
'zao'da'fo 凿大佛
'zao'zi'qiao 枣子桥
'zha'nu'zha'bie 扎努扎别
'zhang'gong'tui'shui 张公退水
'zhang'xiao'quan'jian'dao 张小泉剪刀
'zhang'yu'niang'de'chuan'shuo 张玉娘的传说
'zhang'zhong'jing'de'chuan'shuo 张仲景的传说
'zhang'zi'fang'niao 张子芳鸟
'zhao'bao'shan 招宝山
'zhao'ge'de'chuan'shuo 找歌的传说
'zhao'ling'de'you'lai 昭陵的由来
'zhao'ling'shi'ma 昭陵石马
'zhe'tian'shu'wang 遮天树王
'zhen'jiang'de'chuan'shuo 镇江的传说
'zhen'zhu 珍珠
'zheng'ban'qiao'de'chuan'shuo 郑板桥的传说
'zheng'he'de'chuan'shuo 郑和的传说
'zheng'yue'nian'de'chuan'shuo 正月年的传说
'zhi'long'wang 制龙王
'zhi'lu'bei 指路碑
'zhu'bu'lu 祝布路
'zhu'de'gu'shi 竹的故事
'zhu'ge'liang'de'chuan'shuo 诸葛亮的传说
'zhu'guai'zhang'shang'de'nen'ya 竹拐杖上的嫩芽
'zhu'sha'hong 朱砂红
'zhu'xi'he'li'niang 朱熹和丽娘
'zhu'ying'tai'he'liang'shan'bo'yu'yuan'yang'niao 祝英台和梁山伯与鸳鸯鸟
'zhu'yun'feng 翥云峰
'zhu'zhen'xiang'de'chuan'shuo 朱震享的传说
'zhu'zhong'chang'he'zhong'lou'de'zhong 铸钟厂和钟楼的钟
'zhui'gan'ma'lu 追赶马鹿
'zhui'long'tou 追龙头
'zhuo'lei'gong'yin'qi'de'gu'shi 捉雷公引起的故事
'zhuo'shui'xi 浊水溪
'zi'geng'yi'su'de'chuan'shuo 子更易俗的传说
'zi'mei'xiao'de'lai'li 姊妹萧的来历
'zou'zhai'hou'sheng'wei'shen'me'jian'pi'bai'jin 走寨后生为什么肩披白巾
'zuo'luo'cuo'luo 作洛搓罗
