'a'ba'ye'ka'luo'ji'duo 阿巴耶卡罗笈多
'fo'jiao 佛教
'fo'jiao'bei'tie 佛教碑帖
'fo'jiao'chuan'dao'xie'hui 佛教传道协会
'fo'jiao'da'xi 佛教大系
'fo'jiao'da'xue 佛教大学
'fo'jiao'dian'shi'ju 佛教电视剧
'fo'jiao'dian'ying 佛教电影
'fo'jiao'ge'qu 佛教歌曲
'fo'jiao'hun'he'fan'yu 佛教混合梵语
'fo'jiao'huo'lun 佛教活论
'fo'jiao'ji'lu'pian 佛教纪录片
'fo'jiao'mei'shu 佛教美术
'fo'jiao'mi'zhou'zhen'yan'fo'qu 佛教密咒真言佛曲
'fo'jiao'qi 佛教旗
'fo'jiao'quan'shi'xue 佛教诠释学
'fo'jiao'tian'wen'li 佛教天文历
'fo'jiao'tong'yi'lun 佛教统一论
'fo'jiao'wen'ku 佛教文库
'fo'jiao'wen'xian'xue 佛教文献学
'fo'jiao'wen'xue 佛教文学
'fo'jiao'xi'ju 佛教戏剧
'fo'jiao'xing'qi'ri'xue'xiao 佛教星期日学校
'fo'jiao'xue 佛教学
'fo'jiao'yin'yue 佛教音乐
'fo'jiao'ying'shi'zuo'pin 佛教影视作品
'fo'jiao'zan'ji'qi'qing 佛教赞偈祈请
'fo'jin'zai'he'chu 佛今在何处
'fo'ku 佛库
'fo'ming'hui 佛名会
'fo'ming'jing 佛名经
'fo'mu'da'kong'que'ming'wang'jing 佛母大孔雀明王经
'fo'mu'zhun'ti'shen'zhou 佛母准提神咒
'fo'nie'pan'ri 佛涅槃日
'fo'qian'chan'hui'ji 佛前忏悔偈
'fo'qian'yi'zhi'lian 佛前一支莲
'fo'shen 佛身
'fo'shi 佛事
'fo'shi 佛使
'fo'shou 佛授
'fo'shou'ji'si 佛授记寺
'fo'shu'bian'mu 佛书编目
'fo'suo'hang'zan 佛所行赞
'fo'tan 佛坛
'fo'tong'si 佛通寺
'fo'tong'si'pai 佛通寺派
'fo'tu 佛土
'fo'tu'cheng 佛图澄
'fo'tu'hu 佛图户
'fo'tuo'ba'tuo'luo 佛驮跋陀罗
'fo'tuo'bo'li 佛陀波利
'fo'tuo'chan'shi 佛陀禅师
'fo'tuo'chuan 佛陀传
'fo'tuo'de'ai 佛陀的爱
'fo'tuo'de'gu'shi 佛陀的故事
'fo'tuo'de'yi'sheng 佛陀的一生
'fo'tuo'shan'duo 佛陀扇多
'fo'tuo'ye'she 佛陀耶舍
'fo'xiang 佛像
'fo'xie 佛榭
'fo'xin'jing 佛心经
'fo'xing 佛性
'fo'xing'lun 佛性论
'fo'xue'yuan 佛学院
'fo'ya'jie 佛牙节
'fo'ya'si 佛牙寺
'fo'yan'fo'mu 佛眼佛母
'fo'yan'nian'fo'tang 佛岩念佛堂
'fo'yin 佛印
'fo'yin'chan'shi 佛印禅师
'fo'ying'ku 佛影窟
'fo'yuan 佛缘
'fo'zhe 佛哲
'fo'zhi 佛智
'fo'zhi'bi'qiu'liu'wu'tu 佛制比丘六物图
'fo'zhi'song 佛之颂
'fo'zhong 佛种
'fo'zhong'xing'zhong 佛种姓种
'fo'zu'li'dai'tong'zai 佛祖历代通载
'fo'zu'lun'mei 佛祖论美
'fo'zu'shi 佛足石
'fo'zu'tong'ji 佛祖统纪
'fo'zu'zheng'zong'dao'ying 佛祖正宗道影
'fu 缚
'fu'bu'zheng'ming 服部正明
'fu'cang 伏藏
'fu'chen'shuo'fa 拂尘说法
'fu'chou 复仇
'fu'chu'he 缚刍河
'fu'cong 服从
'fu'dao 伏道
'fu'fa 付法
'fu'fa'cang'yin'yuan'chuan 付法藏因缘传
'fu'gui'miao'fang 伏鬼妙方
'fu'gui'miao'jue 伏鬼妙诀
'fu'hai'jiang'si 福海讲寺
'fu'he'guo 缚喝国
'fu'hui 福慧
'fu'hui'si 福慧寺
'fu'ji'si 福济寺
'fu'jiao'bian 辅教编
'fu'jing'kang'shun 福井康顺
'fu'jing'wen'ya 福井文雅
'fu'ju 福聚
'fu'lao'wa'er'na 弗劳瓦尔纳
'fu'lv'tan'chang 扶律谈常
'fu'mo'chan'si 伏魔禅寺
'fu'nan'guo 扶南国
'fu'qing'fa 赴请法
'fu'ruo'duo'luo 弗若多罗
'fu'sang'chan'lin'seng'bao'chuan 扶桑禅林僧宝传
'fu'sha'mi'duo'luo'wang 弗沙蜜多罗王
'fu'sheng'meng'zhong 浮生梦中
'fu'sheng'tian 福生天
'fu'shi'si 浮石寺
'fu'tian 福田
'fu'tu 浮图
'fu'wei'xun 傅伟勋
'fu'xi'run'sheng 扶习润生
'fu'yan'jing'she 福严精舍
'fu'yan'si 福严寺
'fu'yu 扶余
'fu'yuan'liang'yan 福原亮严
'fu'zhou'ban'da'cang'jing 福州版大藏经
'fu'zhu 付嘱
'fu'zi 拂子
'ga'dang'bao'ce 噶当宝册
'ga'dang'pai 噶当派
'ga'ju'pai 噶举派
'ga'ma'ga'ju'pai 噶玛噶举派
'ga'ma'shi'li'na'lan'tuo'fo'xue'yuan 噶玛师利那烂陀佛学院
'ga'na 伽那
'ga'tuo 伽陀
'ga'xia 噶厦
'ga'ye'cheng 伽耶城
'ga'ye'shan 伽耶山
'gai 盖
'gai'xie'chao 改邪钞
'gan'dan'chi'ba 甘丹赤巴
'gan'dan'si 甘丹寺
'gan'di 甘地
'gan'di'luo'luo'yan'ge'lang 干第罗洛颜格朗
'gan'di'wen'tu 干第文荼
'gan'en 感恩
'gan'en'de'xin 感恩的心
'gan'en'fu'mu 感恩父母
'gan'feng'si 干凤寺
'gan'lu 甘露
'gan'lu'fan'wang 甘露饭王
'gan'lu'ge 甘露歌
'gan'lu'pu 甘露谱
'gan'lu'si 甘露寺
'gan'lu'tuo'luo'ni 甘露陀罗尼
'gan'lu'wei'lun 甘露味论
'gan'ni'sha 甘尼沙
'gan'ta'po 干闼婆
'gan'tong'si 感通寺
'gan'tuo'luo'se 干陀罗色
'gan'xi'long'xiang 干潟龙祥
'gang'bo'ba 冈波巴
'gang'bo're'bo'luo'mi'jing'lun 刚般若波罗蜜经论
'gang'ye'zheng'dao 冈野正道
'gao'ben'zhao 高本钊
'gao'chang'guo 高昌国
'gao'li'cang 高丽藏
'gao'li'guo 高丽国
'gao'mian'fo'jiao 高棉佛教
'gao'ming'dao 高明道
'gao'ming'si 高明寺
'gao'seng'chuan 高僧传
'gao'seng'fa'xian'chuan 高僧法显传
'gao'seng'zhai'yao 高僧摘要
'gao'wang'guan'yin'jing 高王观音经
'gao'xiong'fo'jiao'tang 高雄佛教堂
'gao'ye'shan 高野山
'gao'ye'shan'da'xue 高野山大学
'gao'yu'yuan 高与远
'ge'er'jiu'zhi 割耳救雉
'ge'lu'pai 格鲁派
'ge'ren'cheng'dan 个人承担
'ge'sa'er'wang'chuan 格萨尔王传
'ge'teng'yu'jian 葛藤语笺
'ge'xi 格西
'ge'yi 格义
'gen 根
'gen'ben'ding 根本定
'gen'ben'fan'nao 根本烦恼
'gen'ben'fo'jiao 根本佛教
'gen'ben'shi 根本识
'gen'ben'shuo'yi'qie'you'bu'pi'nai'ye 根本说一切有部毗奈耶
'gen'ben'zhi 根本智
'gen'bian'yun 根边蕴
'gen'lai'si 根来寺
'gen'yuan'hui 根源会
'gong 弓
'gong'an 公案
'gong'bo're 共般若
'gong'chang'ling'fo'jiao'xie'hui 弓长岭佛教协会
'gong'de 功德
'gong'de'fen'si 功德坟寺
'gong'de'shi 功德使
'gong'de'zhi 功德直
'gong'guo'ge 功过格
'gong'ji'yu'chong'er 公鸡与虫儿
'gong'jiao 共教
'gong'ju 供具
'gong'kai'de'ai 公开地爱
'gong'man'da 供曼达
'gong'neng 功能
'gong'qiao'ming 工巧明
'gong'wu 供物
'gong'xian'shi'ku 巩县石窟
'gong'xiang 共相
'gong'xiang'huo 共相惑
'gong'yan 公巖
'gong'yang 供养
'gong'ye 共业
'gong'yi 弓裔
'gong'zhong'zi 共种子
'gou'zhao'fa 钩召法
'gou'zi'fo'xing 狗子佛性
'gu'fa'yan 顾法严
'gu'ge'wang'chao 古格王朝
'gu'jian'han'quan 古涧寒泉
'gu'jin'chan'zao'ji 古今禅藻集
'gu'jin'yi'jing'tu'ji 古今译经图纪
'gu'jing'wei'mo 古镜未磨
'gu'kun 古崑
'gu'lu'gu'lie'fo'mu'xin'zhou 咕噜咕列佛母心咒
'gu'qing'liang'chuan 古清凉传
'gu'shan 鼓山
'gu'shan'si 鼓山寺
'gu'shan'xi 鼓山系
'gu'suo'guan 骨锁观
'gu'xian'pai 古先派
'gu'yi'zhen'yan'zong 古义真言宗
'gu'yin'wang'chuan 古音王传
'gu'yue 古月
'gu'zheng'mei 古正美
'gu'zun'su'yu'lu 古尊宿语录
'gua'da 挂撘
'guan'chang 管长
'guan'ding 灌顶
'guan'ding'jing 灌顶经
'guan'ding'zhou'fan'chang 灌顶咒梵唱
'guan'fa 观法
'guan'fo 观佛
'guan'fo'san'mei'hai'jing 观佛三昧海经
'guan'huai'sheng'ming'xie'hui 关怀生命协会
'guan'kou'zhen'da 关口真大
'guan'pu'xian'pu'sa'xing'fa'jing 观普贤菩萨行法经
'guan'sheng'si 关圣寺
'guan'shi'qian 关世谦
'guan'shi'yin'chuan'qi 观世音传奇
'guan'shi'yin'pu'sa 观世音菩萨
'guan'shi'yin'pu'sa'fa'yuan'ji 观世音菩萨发愿偈
'guan'shi'yin'pu'sa'pu'men'pin 观世音菩萨普门品
'guan'shi'yin'pu'sa'shou'ji'jing 观世音菩萨授记经
'guan'shi'yin'xian'ling'chuan'qi 观世音显灵传奇
'guan'shou 贯首
'guan'si 官寺
'guan'suo'yuan'yuan'lun 观所缘缘论
'guan'wu'liang'shou'jing 观无量寿经
'guan'xin'ben'zun'chao 观心本尊钞
'guan'xin'jue'meng'chao 观心觉梦钞
'guan'xin'lun 观心论
'guan'yin'chan'fa 观音忏法
'guan'yin'chan'si 观音禅寺
'guan'yin'da'shi'zan 观音大士赞
'guan'yin'ji 观音偈
'guan'yin'lao'mu 观音老母
'guan'yin'ling'gan'ge 观音灵感歌
'guan'yin'pu'sa'bei'zan 观音菩萨悲赞
'guan'yin'pu'sa'ji 观音菩萨偈
'guan'yin'pu'sa'mie'ye'zhang'zhen'yan 观音菩萨灭业障真言
'guan'yin'pu'sa'ru'qiu'yue 观音菩萨如秋月
'guan'yin'pu'sa'sheng'hao 观音菩萨圣号
'guan'yin'pu'sa'zan 观音菩萨赞
'guan'yin'pu'sa'zhi'bing'zhen'yan 观音菩萨治病真言
'guan'yin'ta'lang'lai 观音踏浪来
'guan'yin'yan 观音岩
'guan'yin'zai'zhi'yang'zhi'jing'shui'zan 观音在之杨枝净水赞
'guan'yun'xian'da'yi'shan'shi'fo'si 灌云县大伊山石佛寺
'guan'yun'xian'yi'lu'zhong'an'si 灌云县伊芦钟安寺
'guan'zhong'chuang'li'jie'tan'tu'jing 关中创立戒坛图经
'guan'zhu'ba 管主八
'guan'zong'jiang'si 观宗讲寺
'guang'chang'she'xiang 广长舌相
'guang'da'xing 广大行
'guang'de'si 光德寺
'guang'ding 广定
'guang'fu'chan'si 广福禅寺
'guang'fu'si 广福寺
'guang'guo'tian 广果天
'guang'hong'ming'ji 广弘明集
'guang'hua'si 广化寺
'guang'ji'si 广济寺
'guang'long'si 广隆寺
'guang'ming 光明
'guang'ming'si 光明寺
'guang'ming'zhen'yan 光明真言
'guang'mu'jiu'mu 光目救母
'guang'mu'tian 广目天
'guang'qian 光谦
'guang'qin 广钦
'guang'ren'si 广仁寺
'guang'sheng'si 广胜寺
'guang'xi'he'chi'shi'feng'huang'si 广西河池市凤凰寺
'guang'xiang'chan'si 光香禅寺
'guang'xiao'si 光孝寺
'guang'xin 广心
'guang'yin'tian 光音天
'guang'you'si 广佑寺
'guang'yuan 广元
'guang'yuan'qian'fo'ya 广元千佛崖
'guang'ze'liu 广泽流
'guang'zhai'si 光宅寺
'gui'hua'si 归化寺
'gui'hua'yu 桂花雨
'gui'jing'xu 归敬序
'gui'lin'mo'ya'fo'qun 桂林磨崖佛群
'gui'mao'tu'jiao 龟毛兔角
'gui'miu'lun'zheng'pai 归谬论证派
'gui'niao'mi'chao 归鸟迷巢
'gui'shan'fu'qing'si 龟山福清寺
'gui'shuang'wang'chao 贵霜王朝
'gui'yi 归依
'gui'yi'ben'shi'shi'jia'mou'ni'fo 皈依本师释迦牟尼佛
'gui'yi'ji'fa'pu'ti'xin'yuan'wen 皈依及发菩提心愿文
'gui'yi'san'bao'zan 归依三宝赞
'gui'yuan'jing 归元镜
'gui'yuan'si 归元寺
'gui'zi'mu'shen 鬼子母神
'guo 果
'guo'bao 果报
'guo'cheng'si 果成寺
'guo'fen 果分
'guo'fen'si 国分寺
'guo'ji'fo'jiao'yan'jiu'xie'hui 国际佛教研究协会
'guo'jia'zhan'shi 国家战士
'guo'neng'bian 果能变
'guo'qing'bai'lu 国清百录
'guo'qing'si 国清寺
'guo'qu'xian'zai'yin'guo'jing 过去现在因果经
'guo'se'zhi'la'mei 国色之腊梅
'guo'shi 国师
'guo'shi'shi'bao 国师是宝
'guo'tang 过堂
'guo'tou'wu'ren 果头无人
'guo'wu'bu'shi 过午不食
'guo'xiang'si 国相寺
'guo'yi'yi'qie'jing 国译一切经
'guo'zhong'sheng 郭忠生
'ha'da 哈达
'ha'de'wa 哈德瓦
'ha'er'bin'shi'pu'zhao'si 哈尔滨市普照寺
'ha'er'bin'shi'wo'long'si 哈尔滨市卧龙寺
'ha'ma'hai'shi'lao'qie'zi 蛤蟆还是老茄子
'hai'bao'ta 海宝塔
'hai'chao'yin 海潮音
'hai'chao'yuan'nian'fo'tang 海潮院念佛堂
'hai'dong'gao'seng'chuan 海东高僧传
'hai'hui'si 海会寺
'hai'ning'si 海宁寺
'hai'shan'si 海山寺
'hai'yin'chan'si 海印禅寺
'hai'yin'san'mei 海印三昧
'hai'yin'si 海印寺
'han'dan'bao'tai'si 邯郸爆台寺
'han'dan'ding'guo'si 邯郸定国寺
'han'dan'fo'xue'yuan'nian'fo'tang 邯郸佛学苑念佛堂
'han'dan'she'xian'xiong'er'shan'kai'fa'si 邯郸涉县熊耳山开法寺
'han'dan'shi'ci'xian'suo'jing'sheng'fo'si 邯郸市磁县索井圣佛寺
'han'dan'shi'da'cheng'yu'fo'si 邯郸市大乘玉佛寺
'han'dan'shi'rong'hua'si 邯郸市榕桦寺
'han'dan'shi'yue'ai'si 邯郸市月爱寺
'han'dan'wu'an'fo'jiao'xie'hui'bao'en'jiang'tang 邯郸武安佛教协会报恩讲堂
'han'dan'yong'nian'an'ren'si 邯郸永年安仁寺
'han'dan'yong'nian'da'ding'si 邯郸永年大定寺
'han'li'tuo 汗栗驮
'han'lin 寒林
'han'long'yun 韩龙云
'han'qing'jing 韩清净
'han'shan'da'shi'meng'you'quan'ji 憨山大师梦游全集
'han'shan'da'shi'xing'shi'ge 憨山大师醒世歌
'han'shan'seng'zong 寒山僧踪
'han'shan'si 寒山寺
'han'wei'liang'jin'nan'bei'chao'fo'jiao'shi 汉魏两晋南北朝佛教史
'han'xiu'xing 寒修行
'han'yu 韩愈
'hang'zhou 杭州
'hao'hao'dong 浩浩洞
'hao'hua'bu'ze'chu 好花不择处
'hao'jian'shu 好坚树
'hao'shi'bu'ru'wu 好事不如无
'hao'shi'bu'ru'wu'shi 好事不如无事
'he'bei'sheng'ci'zhou'feng'huang'si 河北省磁州凤凰寺
'he'bei'sheng'san'he'shi'ling'shan'si 河北省三河市灵山寺
'he'bei'sheng'wu'ji'xian'fa'yun'chan'si 河北省无极县法云禅寺
'he'bei'sheng'xin'ji'shi'qing'li'si 河北省辛集市清利寺
'he'fa'shi'ren 何法示人
'he'ji'sen 赫吉森
'he'kou'hui'hai 河口慧海
'he'lan'shan'bei'wu'dang'shou'fo'si 贺兰山北武当寿佛寺
'he'lu'ge 赫鲁葛
'he'nan 和南
'he'ping'zhong'sheng 和平钟声
'he'shan'xian'zong'chan'si 鹤山仙踪禅寺
'he'shang 和尚
'he'shang'yu'chan'shi 和尚与禅师
'he'shang'yu'da'shi 和尚与大师
'he'wu'yong'yuan'bu'bian 何物永远不变
'he'xi'shi'ku 河西石窟
'he'yan'si 鹤岩寺
'he'zan 和赞
'he'ze'shen'hui 荷泽神会
'he'ze'zong 荷泽宗
'he'zhang 合掌
'he'zuo'fa 合作法
'hei'cai'shen'zhou 黑财神咒
'hei'long'jiang'sheng'an'da'shi'bao'an'si 黑龙江省安达市宝安寺
'hei'long'jiang'sheng'da'qing'shi'jing'jue'si 黑龙江省大庆市净觉寺
'hei'sheng'di'yu 黑绳地狱
'hei'ye 黑业
'hei'yue 黑月
'heng'chao'hui'ri 横超慧日
'heng'he 恒河
'heng'qing 恒清
'heng'shan 衡山
'hong 吽
'hong'cai'shen'xin'zhou 红财神心咒
'hong'chu 弘储
'hong'chuan 宏船
'hong'ci'si 弘慈寺
'hong'fa'si 宏法寺
'hong'fu'si 弘福寺
'hong'fu'si 洪福寺
'hong'jing 洪镜
'hong'lian 红莲
'hong'luo'si 红螺寺
'hong'ming'ji 弘明集
'hong'ming'si 宏明寺
'hong'qi'song 洪启嵩
'hong'ren 弘忍
'hong'ru 洪如
'hong'shi 弘誓
'hong'shi 红史
'hong'yi 弘一
'hong'yin 宏印
'hong'zan 弘赞
'hong'zan'fa'hua'chuan 弘赞法华传
'hong'zhi'zheng'jue'chan'shi'guang'lu 宏智正觉禅师广录
'hong'zhou'zong 洪州宗
'hong'zi'yi 吽字义
'hong'zun 洪遵
'hou'you 后有
'hu'fa 护法
'hu'fa'lun 护法论
'hu'gui 互跪
'hu'guo'ling'yan'si 护国灵岩寺
'hu'guo'si 护国寺
'hu'hua'gu'kuai'tian 忽滑谷快天
'hu'mei'zi 胡梅子
'hu'ming'fang'sheng'gui'yi'fa 护命放生轨仪法
'hu'mo 护摩
'hu'nian 护念
'hu'qiu'pai 虎丘派
'hu'qiu'shan 虎丘山
'hu'shen'fa 护身法
'hu'shi 胡适
'hu'tou'zhang'jiao 虎头长角
'hu'tu'ke'tu 呼图克图
'hu'xiu'qing 胡秀卿
'hu'yong'zui 互用罪
'hu'yu 胡语
'hu'zei'du'zei 护贼度贼
'hua 华
'hua'bing'chong'ji 画饼充饥
'hua'cang'si 华藏寺
'hua'cheng'si 化城寺
'hua'cheng'yu 化城喻
'hua'di'bu 化地部
'hua'du'si 化度寺
'hua'fa'si'jiao 化法四教
'hua'fan'ren'wen'ke'ji'xue'yuan 华梵人文科技学院
'hua'fo 化佛
'hua'le'tian 化乐天
'hua'lin'si 华林寺
'hua'man 华鬘
'hua'meng'ren'sheng 话梦人生
'hua'ren 化人
'hua'ren'shuo'fa 化人说法
'hua'shan'xin'sheng 花山信胜
'hua'shen 化身
'hua'shi'cheng 华氏城
'hua'shou'jing 华手经
'hua'ting'si 华亭寺
'hua'tu 化土
'hua'yan'bian'xiang 华严变相
'hua'yan'jin'shi'zi'zhang 华严金师子章
'hua'yan'jing'he'lun 华严经合论
'hua'yan'jing'shu'chao 华严经疏钞
'hua'yan'jing'shu'lun'zuan'yao 华严经疏论纂要
'hua'yan'jing'sou'xuan'ji 华严经搜玄记
'hua'yan'jing'tan'xuan'ji 华严经探玄记
'hua'yan'jing'wen'da 华严经问答
'hua'yan'jing'zhi'gui 华严经旨归
'hua'yan'jing'zhuan'ji 华严经传记
'hua'yan'kong'mu'zhang 华严孔目章
'hua'yan'lian'she 华严莲社
'hua'yan'san'mei 华严三昧
'hua'yan'si 华严寺
'hua'yan'wu'jiao'zhang 华严五教章
'hua'yan'wu'jiao'zhi'guan 华严五教止观
'hua'yan'wu'shi'yao'wen'da 华严五十要问答
'hua'yan'xuan'tan 华严玄谈
'hua'yan'yi'cheng'shi'xuan'men 华严一乘十玄门
'hua'yan'you'xin'fa'jie'ji 华严游心法界记
'hua'yan'you'yi 华严游意
'hua'yan'yuan'rong'nian'fo 华严圆融念佛
'hua'yan'zong 华严宗
'hua'yi'si'jiao 化仪四教
'hua'yu'jing'she 华雨精舍
'hua'yuan 化缘
'hua'yuan'da'xue 花园大学
'hua'yuan'du'zhong 化缘度众
'hua'zhi'er'jiao 化制二教
'hua'zhu 化主
'huai'fa 坏法
'huai'gan 怀感
'huai'hai 怀海
'huai'jie 坏劫
'huai'lian 怀琏
'huai'nian'fa'wang'ru'yi'bao 怀念法王如意宝
'huai'rang 怀让
'huai'rou'fo'mu'zhou 怀柔佛母咒
'huai'se 坏色
'huai'su 怀素
'huai'wen 怀问
'huai'xin 怀信
'huai'yun 怀恽
'huan 幻
'huan'guan'cheng'jiu'fa 幻观成就法
'huan'sheng 幻生
'huan'su 还俗
'huan'xi 欢喜
'huan'xi'da'bei'zhou 欢喜大悲咒
'huan'xi'tian'fa 欢喜天法
'huan'xi'wan 欢喜丸
'huan'you 幻有
'huan'zhong 寰中
'huan'zhu'pai 幻住派
'huang'bo'qing'gui 黄檗清规
'huang'bo'shan 黄檗山
'huang'bo'shan'duan'ji'chan'shi'chuan'xin'fa'yao 黄檗山断际禅师传心法要
'huang'bo'wu'nian'chan'shi'yu'lu 黄檗无念禅师语录
'huang'bo'zong 黄檗宗
'huang'cai'shen'da'fo'si 黄财神大佛寺
'huang'cai'shen'zhou 黄财神咒
'huang'chi'si'tian'zhou'gu'ta 皇祇寺田州古塔
'huang'gong'wei 黄公伟
'huang'jun'wei 黄俊威
'huang'long'hui'nan'chan'shi'yu'lu 黄龙慧南禅师语录
'huang'long'pai 黄龙派
'huang'long'si 皇龙寺
'huang'min'zhi 黄敏枝
'huang'si 黄寺
'huang'ying'jie 黄英杰
'huang'ze'si 皇泽寺
'hui 慧
'hui'an 慧安
'hui'bu 慧布
'hui'cai 慧才
'hui'chang'fa'nan 会昌法难
'hui'chao 慧超
'hui'chao'wang'wu'tian'zhu'guo'chuan 慧超往五天竺国传
'hui'che 慧彻
'hui'chen 慧谌
'hui'deng'pu'zhao 慧灯普照
'hui'fang 慧方
'hui'feng 慧峰
'hui'feng'xing 回峰行
'hui'gong 会供
'hui'guan 慧观
'hui'guang 慧光
'hui'hai 慧海
'hui'he 慧鹤
'hui'ji 慧基
'hui'ji 慧寂
'hui'jiao 慧皎
'hui'jing 慧经
'hui'ju 慧炬
'hui'ke 慧可
'hui'ke'an'xin 慧可安心
'hui'li 慧立
'hui'lin 慧琳
'hui'lin'yin'yi 慧琳音义
'hui'long'chan'si 会龙禅寺
'hui'lv 慧律
'hui'min 惠敏
'hui'ming 慧明
'hui'ming'si 慧明寺
'hui'nan 慧南
'hui'neng 慧能
'hui'nian 慧年
'hui'qin 慧勤
'hui'quan 会泉
'hui'quan'chan'si 慧泉禅寺
'hui'ri 慧日
'hui'ri'jiang'tang 慧日讲堂
'hui'san 慧三
'hui'san'gui'yi 会三归一
'hui'shen'mie'zhi 灰身灭智
'hui'sheng 慧生
'hui'si 慧思
'hui'tan'ta 灰炭塔
'hui'tou'shi'an 回头是岸
'hui'tu 秽土
'hui'wei 慧威
'hui'wen 慧文
'hui'xiang 回向
'hui'xiang'ji 回向偈
'hui'xin'xiang'da 回心向大
'hui'xing 会性
'hui'yan 慧严
'hui'yin'si 慧因寺
'hui'yong 慧永
'hui'yuan 慧苑
'hui'yuan 慧远
'hui'yue 慧岳
'hui'zhao 慧沼
'hui'zheng'lun 回诤论
'hui'zhong 慧忠
'hui'zong'si 汇宗寺
'hun'chen 惛沉
'huo 惑
'huo'cong'kou'chu 祸从口出
'huo'de'kuai'le 活得快乐
'huo'er'que'qiong 霍尔却穹
'huo'jie'ding 火界定
'huo'sheng'san'mei 火生三昧
'huo'shui'long 活水龙
'huo'tao'hui 霍韬晦
'huo'tian 火天
'huo'zai'gan'en'de'shi'jie 活在感恩的世界
'huo'zang 火葬
'huo'zhai 火宅
'ji 偈
'ji 机
'ji'bin 罽宾
'ji'cang 吉藏
'ji'cheng 极成
'ji'cheng'mi'fu 继承密付
'ji'da'li 吉达利
'ji'deng'lu 继灯录
'ji'di 集谛
'ji'duo'wang'chao 笈多王朝
'ji'gong'wai'zhuan 济公外传
'ji'gong'you'ji 济公游记
'ji'gu'jin'fo'dao'lun'heng 集古今佛道论衡
'ji'guang'si 寂光寺
'ji'he 己和
'ji'jie'lu 击节录
'ji'lai'chi'fan'kun'lai'ji'mian 饥来吃饭困来即眠
'ji'le'jing'tu 极乐净土
'ji'le'si 极乐寺
'ji'liang'lun 集量论
'ji'lin'shi'ling'yan'si 吉林市灵岩寺
'ji'mie 寂灭
'ji'ming'si 鸡鸣寺
'ji'sha'men'bu'ying'bai'su'deng'shi 集沙门不应拜俗等事
'ji'shan 吉山
'ji'shen'cheng'fo 即身成佛
'ji'shen'cheng'fo'yi 即身成佛义
'ji'shen'zhou'ta'si'san'bao'gan'tong'lu 集神州塔寺三宝感通录
'ji'wei 极微
'ji'xian'jie 讥嫌戒
'ji'xian'lin 季羡林
'ji'xiang'cao 吉祥草
'ji'xiang'guo 吉祥果
'ji'xiang'ji 吉祥偈
'ji'xiang'tian 吉祥天
'ji'xiang'tian'mu 吉祥天母
'ji'xiang'xi'jin'gang'ji'lun'gan'lu'quan 吉祥喜金刚集轮甘露泉
'ji'xiang'zuo 吉祥坐
'ji'xin'ji'fo 即心即佛
'ji'xing 畸形
'ji'yi'men'zu'lun 集异门足论
'ji'yi'tian 伎艺天
'ji'yin'bu 鸡胤部
'ji'yuan'si 鸡园寺
'ji'ze'xian'kai'ming'chan'si 鸡泽县开明禅寺
'ji'zhu'jing'li'chan'yi 集诸经礼忏仪
'ji'zu'shan 鸡足山
'jia 假
'jia'bei 加被
'jia'cao'jie 嘉曹杰
'jia'chi 加持
'jia'chi'na'yi 迦絺那衣
'jia'chi'shen 加持身
'jia'chi'shi'jie 加持世界
'jia'chi'wu 加持物
'jia'chi'xiang'shui 加持香水
'jia'chi'yin'ming 加持印明
'jia'chi'zhou 加持咒
'jia'dao'fa'nan 加岛法难
'jia'duo'yan'ni'zi 迦多衍尼子
'jia'lan'tuo'zhu'yuan 迦兰陀竹园
'jia'li'tuo'sha 迦梨陀沙
'jia'ling'pin'ga 迦陵频伽
'jia'liu'tuo'yi 迦留陀夷
'jia'lou'luo 迦楼罗
'jia'lu'fa'nan 嘉禄法难
'jia'luo'yu'wang 迦罗育王
'jia'ming 假名
'jia'mo 迦摩
'jia'mu'yang'yi'shi 嘉木样一世
'jia'na'da'fo'jiao 加拿大佛教
'jia'ni'se'jia'wang 迦腻色迦王
'jia'pi'luo'wei 迦毗罗卫
'jia'qi'bu'luo'cheng 迦耆布罗城
'jia'sha 袈裟
'jia'sha'ji'ta'zai'qing'su 袈裟吉他在倾诉
'jia'shi'er'fa 假实二法
'jia'shi'guo 迦尸国
'jia'shi'mi'luo'guo 迦湿弥罗国
'jia'si 甲寺
'jia'tai'pu'deng'lu 嘉泰普灯录
'jia'teng'jing'shen 加藤精神
'jia'ting'jing 家庭经
'jia'xiang'si 嘉祥寺
'jia'xing 加行
'jia'xing'da'zang'jing 嘉兴大藏经
'jia'xing'dao 加行道
'jia'xing'de 加行得
'jia'xing'shan 加行善
'jia'xing'wei 加行位
'jia'ye 迦叶
'jia'ye'fo 迦叶佛
'jia'ye'xian 迦叶仙
'jia'zhan'lin'ti 迦旃邻提
'jia'zhan'yan 迦旃延
'jia'zhi'shan 迦智山
'jia'zhu'xiang 夹紵像
'jian 见
'jian'ai'er'fan'nao 见爱二烦恼
'jian'chang'si 建长寺
'jian'chu'si 建初寺
'jian'dan'dui'dai 兼但对带
'jian'dan'shi'chong'fu'zuo 简单事重复做
'jian'dao 见道
'jian'du 犍度
'jian'feng'xiang'zhu 箭锋相拄
'jian'fo 见佛
'jian'huo 见惑
'jian'li'zi 捡栗子
'jian'nan'yi'wang 艰难一忘
'jian'ren'si 建仁寺
