'ai'zhi'si'zhi 爱之思之
'juan'qi'qian'dui'xue 卷起千堆雪
'juan'san'jiu 卷三九
'juan'shu'zi'ru 卷舒自如
'juan'yi'ji'li'bang'yu'zhou'yu'er'shi'si'jing'lue'zhong'yuan 卷一记李邦语周瑜二十四经略中原
'jue'de'you'xiong'di'qin'peng'de'ren'jian'sheng'huo'lai'de'wen'nuan'qin'qie 觉得有兄弟亲朋的人间生活来得温暖亲切
'jue'lai'xiao'yuan'xing'bian 觉来小园行遍
'jue'lai'you'meng'wu'ren'shuo 觉来幽梦无人说
'jun'chen'yi'meng 君臣一梦
'jun'shi'nan'shan'yi'ai'shou 君是南山遗爱守
'jun'xiu'du 君休读
'kai'guo'shang'ying'ying 开过尚盈盈
'kai'shu 楷书
'kai'tou'si'ju'jie'lian'wen'yue'wen'nian 开头四句接连问月问年
'kai'tuo'ci'jing 开拓词境
'kan'lai'ping'chang 看来平常
'kan'sun'lang 看孙郎
'kan'xiao'lan'tai'gong'zi 堪笑兰台公子
'ke'jian'song'yuan'shi'chuan'chang'zhi'sheng 可见宋元时传唱之盛
'ke'shi'ni'zhe'wu'qing'de'ming'yue 可是你这无情的明月
'ke'shi'ta'bing'mei'you'xian'yu'xiao'ji'bei'guan 可是他并没有陷于消极悲观
'ke'xi'yi'xi'feng'yue 可惜一溪风月
'ke'yi'gan'shou'dao'ta'men'xie'chu'bu'tong'ren'sheng'jie'duan'de'qing'gan'lei'xing 可以感受到它们写出不同人生阶段的情感类型
'ken'ding'zi'ji'yi'ru'shi'wei'guo'de'jue'xin 肯定自己已入世为国的决心
'keng'ran'yi'ye 铿然一叶
'kong'cui'yan'fei 空翠烟霏
'kong'wu'gang'jian'de'ying'xiong'qi'le 孔武刚建的英雄气了
'kong'zhou'dui'ying'wu 空洲对鹦鹉
'ku'han'qing 苦含情
'ku'mu'guai'shi'tu 枯木怪石图
'kuai'zai'ting'zuo 快哉亭作
'kuang'chu'shi 狂处士
'kun'han'jiao'yan 困酣娇眼
'lang'rui'dou'jin 浪蕊都尽
'lang'tao'jin 浪淘尽
'lao'fu'liao'fa'shao'nian'kuang 老夫聊发少年狂
'lao'sheng'you'xian 劳生有限
'lao'you'fu'xie'shou'mai'she 老幼扶携收麦社
'lao'yu'tiao'kan'shi'qing'ou 老鱼跳槛识青讴
'le'guan'tai'du 乐观态度
'le'su'shi're'ai'sheng'huo 了苏轼热爱生活
'lei'tou'tan 泪偷弹
'lei'yi'jiu'sa'di 酹以酒洒地
'li'bai 李白
'li'bie 离别
'li'bie'zhe'ge'ren'sheng'han'shi'jiu'cong'you'ai'de'gan'qing'zhong'de'dao'le'bu'chang 离别这个人生憾事就从友爱的感情中得到了补偿
'li'jing'kou'zuo 离京口作
'li'lai'bei'kan'zuo'su'shi'hao'fang'ci'de'dai'biao'zuo 历来被看作苏轼豪放词的代表作
'li'li'yi'dian'wei'suan'yi'zhe'zhi 离离一点微酸已着枝
'li'ren'lei 离人泪
'li'shi 历史
'lian 恋
'lian'jin'chun'shan'xiu'bu'yu 敛尽春山羞不语
'lian'wai'shui'lai'tui'xiu'hu 帘外谁来推绣户
'lian'xi'lv'an'wan'cang'wu 连溪绿暗晚藏乌
'liang'dian'bi'sha'chu 凉簟碧纱厨
'liang'fang'mian'tong'shi'xi'yin'zhe'ta 两方面同时吸引着他
'liang'su'su 两簌簌
'liang'xin'xiang'zhao 两心相照
'liang'zhe'dou'shi'zi'ran'chang'li 两者都是自然常理
'liao'de'nian'nian'chang'duan'chu 料得年年肠断处
'liao'de'nian'nian'duan'chang'chu 料得年年断肠处
'liao'qiao'chun'feng'chui'jiu'xing 料峭春风吹酒醒
'lie'yu'jiao'wai 猎于郊外
'lin'duan'shan'ming'zhu'yin'qiang 林断山明竹隐墙
'lin'jiang'xian 临江仙
'lin'xin'cheng 林新诚
'ling'dong'zhou'zhuang'shi'di'zhang'dun'zu'er'ge'zhi 令东州壮士抵掌顿足而歌之
'liu'bu'dao 流不到
'liu'hua'kai'yu'ran 榴花开欲然
'liu'nian'wei'ken'fu'dong'liu 流年未肯付东流
'liu'shi'zi 六十字
'liu'shui'keng'ran 流水铿然
'long'tou'yun 陇头云
'lou'duan'ren'chu'jing 漏断人初静
'lu'dian'yan'ting 鹭点烟汀
'lu'you 陆游
'luan'chan'shuai'cao'xiao'chi'tang 乱蝉衰草小池塘
'luan'shan'cuan'yong 乱山攒拥
'luan'shi'beng'yun 乱石崩云
'luan'shi'chuan'kong'beng'yun 乱石穿空崩云
'lue'wu'cao'mu 略无草木
'lun'hua'zhu'zhang'shen'si 论画主张神似
'luo'hong'nan'zhui 落红难缀
'luo'qing'dao'mai'shao'ruan'ji'chang 捋青捣麦少软饥肠
'luo'ri'xiu'lian'juan 落日绣帘卷
'lv'huai'gao'liu'yan'xin'chan 绿槐高柳咽新蝉
'lv'shui'huan'rao 绿水环绕
'lv'shui'ren'jia'rao 绿水人家绕
'lv'zhen'meng'can 旅枕梦残
'ma'shang'ji'zi'you 马上寄子由
'ma'ye'ceng'ceng'ye'guang 麻叶层层叶光
'man'dao'di'cheng'tian'yang'yuan 漫道帝城天样远
'man'jiang'hong 满江红
'man'jiang'tian 满江天
'man'jin'xue 满襟雪
'mei'hua'ci 梅花词
'mei'jian'xi'qi'tian'huang'se 眉间喜气添黄色
'mei'shan'jin'shu'si'chuan'ren 眉山今属四川人
'mei'xue'piao'qun 梅雪飘裙
'mei'zhou'mei'shan'jin'shu'si'chuan'ren 眉州眉山今属四川人
'meng'dao'gu'yuan'duo'shao'lu 梦到故园多少路
'meng'duan'yao'tai'qu 梦断瑶台曲
'meng'pan'pan 梦盼盼
'meng'qi 孟启
'meng'sui'feng'wan'li 梦随风万里
'meng'zhong'de'wang'fu'xiao'xuan'chuang 梦中的王弗小轩窗
'mi'fu'bing'cheng'song'si'jia 米芾并称宋四家
'mi'lu'feng'ren'sui'wei'guan 麋鹿逢人虽未惯
'mi'zhou'chu'lie 密州出猎
'mi'zhou'jin'shan'dong'zhu'cheng 密州今山东诸城
'mi'zhou'shang'yuan 密州上元
'miao'miao'mei'gu'hong 渺渺没孤鸿
'min'e'yun'lang 岷峨云浪
'ming'bai'chang'da 明白畅达
'ming'ri'huang'hua'die'ye'chou 明日黄花蝶也愁
'ming'ri'luo'hua'fei'xu 明日落花飞絮
'ming'yue'ji'shi'you 明月几时有
'ming'yue'ji'shi'you'ba'jiu'wen'qing'tian 明月几时有把酒问青天
'ming'yue'ji'shi'you'ba'jiu'wen'qing'tian 明月几时有把酒问清天
'ming'yue'ru'shuang 明月如霜
'ming'yue'ye 明月夜
'ming'yue'yu'gong 明月与共
'ming'yue'zhao'gu'fen 明月照孤坟
'mo'hen'huang'hua'wei'tu 莫恨黄花未吐
'mo'jiao'ta'sui'qiong'yao 莫教踏碎琼瑶
'mo'liao'san'ju'she'xiang'wang'qi'chang'mian'yu'di'xia'de'gu'du'yu'ai'shang 末了三句设想亡妻长眠于地下的孤独与哀伤
'mo'ting'chuan'lin'da'ye'sheng 莫听穿林打叶声
'mu'ping'ting 慕娉婷
'na'me'wo'men'he'bi'she'qiu'wan'mei 那么我们何必奢求完美
'na'ri'xiu'lian'xiang'jian'chu 那日绣帘相见处
'na'zhe'yi'ke'xing'ying'gong'wu'yu'yue'xia 那这一刻形影共舞于月下
'nai'you'qi'yan'ju 乃有七言句
'nan'bei'ben'zou 南北奔走
'nan'hai'gui'zeng'wang'ding'guo'shi'ren'yu'niang 南海归赠王定国侍人寓娘
'nan'song'shi'zhui'shi'wen'zhong 南宋时追谥文忠
'nan'xiang'zi 南乡子
'neng'fan'ying'min'jian'ji'ku 能反映民间疾苦
'neng'hua'zhu 能画竹
'nian 念
'nian'ban 年版
'nian'jiu'shi'yu 年九十余
'nian'nu'jiao 念奴娇
'nian'nu'jiao'chi'bi'huai'gu 念奴娇赤壁怀古
'niu'seng'ru 牛僧孺
'niu'yi'gu'liu'mai'huang'gua 牛衣古柳卖黄瓜
'nong'qing'ying 弄清影
'nong'yan'yi'zhi'xi'kan'qu 浓艳一枝细看取
'nu 奴
'nv'er'ge'hou'de'chuan'tong'ci'tan'lai'shuo 女儿歌喉的传统词坛来说
'pao'jia'bang'lu 抛家傍路
'peng'cheng'ye'su'yan'zi'lou 彭城夜宿燕子楼
'pian'pian'qi'wu 翩翩起舞
'piao'miao'gu'hong'ying 缥缈孤鸿影
'pin'ping 品评
'ping'dan'wu'qi 平淡无奇
'ping'yun 平韵
'ping'zheng'an'wu'yu 凭征鞍无语
'po'mao'duo'qing'que'lian'tou 破帽多情却恋头
'po'zhuang'guan'ye 颇壮观也
'pu'tao'shen'bi 葡萄深碧
'qi'bi'gao'chang'ru'yun 起笔高唱入云
'qi'ci'xiong'kuo'chao'kuang 其词雄阔超旷
'qi'dei'qi'yi 起得奇逸
'qi'dong'xian'ge'hu'nai'wei'zu'zhi'yun 岂洞仙歌乎乃为足之云
'qi'hu 绮户
'qi'hu'ke'you'wen'shi'men'chuang 绮户刻有纹饰门窗
'qi'jia'zhou'yu'zai'jian'an'san'nian 其嫁周瑜在建安三年
'qi'lai'xie'su'shou 起来携素手
'qi'sheng'jing'zhou'mian 棋声惊昼眠
'qi'shi'qing'xin'hao'jian 其诗清新豪健
'qi'shi'zi 七十字
'qi'shi'zu'yu'huang'he'zhi'shui'tian'shang'lai'xiang'mou 气势足与黄河之水天上来相侔
'qi'shou'yong'yue'wen'tian 起首咏月问天
'qi'wen'wang'yang'zi'si 其文汪洋恣肆
'qi'wu'nong'qing'ying 起舞弄清影
'qi'xiong'jin 其胸襟
'qi'zhen'jiang'nan'yan'yu 欹枕江南烟雨
'qia'si'heng'e'lian'shuang'yan 恰似姮娥怜双燕
'qian'bi'lin'lin'lu'yuan'zhou 浅碧鳞鳞露远洲
'qian'chi'bi'fu 前赤壁赋
'qian'dui'xue'liu'hua'qian'die 千堆雪流花千迭
'qian'gu'feng'liu'ren'wu 千古风流人物
'qian'li'gong'chan'juan 千里共婵娟
'qian'li'gong'dan'juan 千里共襌娟
'qian'li'gu'fen 千里孤坟
'qian'li'kuai'zai'feng 千里快哉风
'qian'li'tiao'tiao 千里迢迢
'qian'qi'juan'ping'gang 千骑卷平冈
'qian'shui'ting 遣谁听
'qian'zhe'shi'qing'nian'shi'dai'de'gan'qing 前者是青年时代的感情
'qiang'li'jia'ren'xiao 墙里佳人笑
'qiang'li'qiang'wai'de'liang'zhong'ren'ben'bu'xiang'she 墙里墙外的两种人本不相涉
'qiang'li'qiu'qian'qiang'wai'dao 墙里秋千墙外道
'qiang'lu'hui'fei'yan'mie 强虏灰飞烟灭
'qiang'wai'hang'ren 墙外行人
'qiao'men'dou'bu'ying 敲门都不应
'qiao'men'shi'wen'ye'ren'jia 敲门试问野人家
'qiao'wu'ren 悄无人
'qie'chang'dong'po 且唱东坡
'qie'dou'zun'qian 且斗樽前
'qie'jiao'hong'fen'xiang'fu 且教红粉相扶
'qie'jin'yi'zun 且尽一尊
'qin'she'hu 亲射虎
'qin'yuan'chun 沁园春
'qing 晴
'qing'cheng'zhi'quan'cheng'guan'lie'de'shi'bing 倾城指全城观猎的士兵
'qing'chu'de'da'shang'le'sheng'si'zhi'bie'de'lao'yin 清楚地打上了生死之别的烙印
'qing'er'zhou 庆二州
'qing'he'xian 情何限
'qing'huai'kuang'da'de'yi'mian 情怀旷达的一面
'qing'jing'wu'xian 清景无限
'qing'lu'xia 清露下
'qing'sha'zou'ma'lu'wu'chen 轻沙走马路无尘
'qing'shan'bai'lang 青山白浪
'qing'si'yu'huai'tong 清泗与淮通
'qing'tian'you'yue'lai'ji'shi'wo'jin'ting'bei'yi'wen'zhi 青天有月来几时我今停杯一问之
'qing'wei'shen'hou 情味深厚
'qing'ying'dong'liu 清颍东流
'qing'yun'bo'wu 轻云薄雾
'qing'yun'wei'yue 轻云微月
'qing'zai'huang'zhou 顷在黄州
'qiong'lou'yu'yu 琼楼玉宇
'qiong'lou'yu'yu'bai'yu'qi'cheng'de'lou'ge 琼楼玉宇白玉砌成的楼阁
'qiong'zhu'sui'que'yuan 琼珠碎却圆
'qiu'feng'jing'lv 秋风惊绿
'qiu'yu'qing'shi'lei'bu'qing 秋雨晴时泪不晴
'qu'fa'li'yong 取法李邕
'qu'gang'tiao'yu 曲港跳鱼
'qu'lan'gan 曲阑干
'qu'nian'xiang'song 去年相送
'qu'qu'ru'ping 曲曲如屏
'qu'wu'zhong 去吴中
'qu'zi 取自
'que 缺
'que'chu'zi'fei'fu 却出自肺腑
'que'cong'cong 却匆匆
'que'dao 却道
'que'shi'shi'ge'zhong'da'tu'po 确实是个重大突破
'que'ta'zhi 鹊踏枝
'que'wei'shen'me'pian'xiang'li'chou'de'ren'men'biao'shi'tuan'yuan'ren'you'bei'ai 却为什么偏向离愁的人们表示团圆人有悲哀
'que'yin'chu'miao'li 却引出妙理
'que'yue'gua'shu'tong 缺月挂疏桐
'ran'er'dan'er'mi'yong 然而淡而弥永
'ran'er'rong'yi'xiao'tui 然而容易消退
'ran'er'wu'qing'shi'wu'de'ben'xing 然而无情是物的本性
'ran'er'yan'zi'di'ang 然而燕子低昂
'ran'ji'cong'rong 然极从容
'ran'ze'ren'jian'hai'shi'ke'yi'zi'shi 然则人间还是可以自适
're'lian'ren'shi 热恋人世
're'lie'lang'man 热烈浪漫
'ren'bu'jian 人不见
'ren'cheng'zhou'lang 人称周郎
'ren'dao'shi 人道是
'ren'de'zui'weng'yu 认得醉翁语
'ren'hang'zhou'tong'pan 任杭州通判
'ren'jian'hai'you'shen'me'di'fang'ke'yi'bi'de'shang'ne 人间还有甚么地方可以比得上呢
'ren'jian'ru'meng 人间如梦
'ren'men'huo'xu'you'guo'duo'ci'lei'si'jing'yan 人们或许有过多次类似经验
'ren'qian'shen'yi'nan'qing'su 人前深意难轻诉
'ren'sheng'bing'fei'mei'you'han'shi 人生并非没有憾事
'ren'sheng'bu'qiu'chang'ju 人生不求长聚
'ren'sheng'wu'li'bie 人生无离别
'ren'wei'lun'hua'yi'xing'si 认为论画以形似
'ren'wu'yi'qi'yong'chu 人物一齐涌出
'ren'wu'zhi'ci'ci'zhe 人无知此词者
'ren'you'bei'huan'li'he 人有悲欢离合
'ren'you'bei'huan'li'he'tong'yue'you'yin'qing'yuan'que'yi'yang 人有悲欢离合同月有阴晴圆缺一样
'ren'you'yi'xia'nai'da'jiao'wu 人有以下乃大觉悟
'ri'gao'ren'ke'man'si'cha 日高人渴漫思茶
'ri'nuan'sang'ma'guang'si'po 日暖桑麻光似泼
'ru'guo'tian'shang'bi'ren'jian'geng'wei'qing'han 如果天上比人间更为清寒
'ru'guo'wo'men'ba'bu'ru'yi'shi 如果我们把不如意事
'ru'guo'xi'xin'de'hua 如果细心的话
'ru'man'yue'ba'gong'la 如满月把弓拉
'ru'shu'ji 入蜀记
'ru'song 入宋
'ru'wo'yu'jun'xi 如我与君稀
'ru'yan'fei'hua'wu 乳燕飞华屋
'ru'you'yi 如有意
'ruan'cao'ping'sha'guo'yu'xin 软草平莎过雨新
'ruan'lang'gui 阮郎归
'run'zhou'zuo 润州作
'ruo'dai'de'jun'lai'xiang'ci 若待得君来向此
'ruo'wen'shi'jun'cai'yu'shu 若问使君才与术
'san'guo'zhou'lang'chi'bi 三国周郎赤壁
'san'ju'zheng'mian'xie'chi'bi'jing'se 三句正面写赤壁景色
'san'san'wu'wu'ji'li'men 三三五五棘篱门
'san'yue'qi'ri'sha'hu'dao'zhong'yu'yu 三月七日沙湖道中遇雨
'sao'shou'fu'gui'yu 搔首赋归欤
'se'tai'mei'hao'mao 色态美好貌
'sha'chuang'ji'du'chun'guang'mu 纱窗几度春光暮
'sha'he'tang'li'deng'chu'shang 沙河塘里灯初上
'shan'chang'xing'shu 擅长行书
'shan'jian'ming'yue'yi'zui'xiao'chou'le 山间明月一醉销愁了
'shan'se'heng'qin'zhan'yun'xia 山色横侵蘸晕霞
'shan'se'you'wu'zhong 山色有无中
'shan'shou'yi'shi'si'yu 扇手一时似玉
'shan'tou'xie'zhao'que'xiang'ying 山头斜照却相迎
'shan'xia'lan'ya'duan'jin'xi 山下兰芽短浸溪
'shan'yong'kua'zhang'bi'yu 善用夸张比喻
'shan'zhi'wu'dai 嬗至五代
'shan'zhong'gui'lu 山中归路
'shang 赏
'shang'pian'wang'yue 上片望月
'shang'pian'wei'shi'ling'bei'jing 上片为时令背景
'shang'pian'yong'chi'bi 上片咏赤壁
'shang'xi 赏析
'shao'nian'you 少年游
'shao'shu'shi'pian'ye 少数诗篇也
'shao'xi'yu'yin'cong'hua 苕溪渔隐丛话
'shao'xi'yu'yin'ye'hua'hou'ji 苕溪渔隐业话后集
'she'tian'lang 射天狼
'shen'chang'jian 身长健
'shen'me'shi'hou'kai'shi'you'ming'yue'ne'wo'ju'bei'xiang'xiang'qing'tian'xun'wen 甚么时候开始有明月呢我举杯想向青天询问
'shen'me'shi'hou'kai'shi'you'ming'yue'ne'wo'na'zhe'jiu'bei'wen'na'wei'lan'de'qing'tian 什么时候开始有明月呢我拿着酒杯问那蔚蓝的青天
'shen'zong'shi'ceng'ren'ci'bu'yuan'wai'lang 神宗时曾任祠部员外郎
'sheng'huo'de'mo'nan 生活的磨难
'sheng'zhe'dui'si'zhe'de'si'nian'geng'shi'juan'juan'bu'yi 生者对死者的思念更是惓惓不已
'sheng'zhe'yu'si'zhe'sui'ran'you'ming'yong'ge 生者与死者虽然幽明永隔
'shi 诗
'shi'fen'cheng'zhi 十分诚挚
'shi'fen'han'leng 十分寒冷
'shi'ji'shang'liang'xin'xiang'tong 实际上两心相通
'shi'jian'shu'xing'du'he'han 时见疏星度河汉
'shi'jian'yi'qian'nian 世间已千年
'shi'jian'you'ren'du'wang'lai 时见幽人独往来
'shi'jun'neng'de'ji'hui'lai'bian'shi'zun'qian'zui'dao'qie'pai'huai 使君能得几回来便使尊前醉倒且徘徊
'shi'jun'yuan'shi'ci'zhong'ren 使君元是此中人
'shi'liu'ban'tu'hong'jin'cu 石榴半吐红巾蹙
'shi'lu'wu'qiong 世路无穷
'shi'nian'hou'wang'fu'wang'gu 十年后王弗亡故
'shi'nian'sheng'si'liang'mang'mang 十年生死两茫茫
'shi'ren'yu'xie 诗人玉屑
'shi'shang'de'wan'mei'zhi'shi'jin'xin'jin'li 世上的完美只是尽心尽力
'shi'shi'duo'bian'huan 世事多变幻
'shi'wen'ling'nan'ying'bu'hao 试问岭南应不好
'shi'wen'ye'ru'he'ye'yi'san'geng 试问夜如何夜已三更
'shi'wen'you 诗文有
'shi'yan'bian'xin'qiang 始演变新腔
'shi'you'wan'yue'yi'mian 时有婉约一面
'shi'yu'qian'li'tong 实与千里同
'shi'zhong'cun'zai 始终存在
'shou'er'ju'shi'huai'zi'you 收二句是怀子由
'shou'lei'ting'yang'guan 收泪听阳关
'shou'nong'sheng'xiao'bai'tuan'shan 手弄生绡白团扇
'shu'ci'yu'qiao'zhu'shang 书此语桥柱上
'shu'feng'qing 数峰青
'shu'hua'jia 书画家
'shu'ri'qian 数日前
'shu'zhu'yu'hua'rui'fu'ren'ye'na'liang'mo'he'chi'shang 蜀主与花蕊夫人夜纳凉摩诃池上
'shuang'diao 双调
'shuang'jiang'hong'jing 双桨鸿惊
'shuang'jiang'shui'hen'shou 霜降水痕收
'shuang'tian'xiao'jiao 霜天晓角
'shuang'xi'leng 霜溪冷
'shui 水
'shui'dao'ren'sheng'wu'zai'shao'men'qian'liu'shui'shang'neng'xi 谁道人生无再少门前流水尚能西
'shui'de'si 谁得似
'shui'dian'feng'lai'an'xiang'man 水殿风来暗香满
'shui'diao'ge'tou 水调歌头
'shui'diao'ge'tou'bing'chen'zhong'qiu 水调歌头丙辰中秋
'shui'dong'liu 水东流
'shui'feng'qing 水风清
'shui'hu'zhuan 水浒传
'shui'jia'zhu'jian'yi'cun'xiang 谁家煮茧一村香
'shui'lian'ji'zi'bi'diao'qiu 谁怜季子敝貂裘
'shui'lian'tian 水连天
'shui'long'yin 水龙吟
'shui'pa'yi'suo'yan'yu'ren'ping'sheng 谁怕一蓑烟雨任平生
'shui'si'dong'po'lao 谁似东坡老
'shui'si'lin'ping'shan'shang'ta 谁似临平山上塔
'shui'tian'qing 水天清
'shui'tiao 水调
'shui'tiao'ge 水调歌
'shui'tiao'shui'jia'chang 水调谁家唱
'shui'ting'wan'ya'wu'yi'shi 睡听晚衙无一事
'shui'zhi'en'ai'zhong'ying'zhou'chu'bie'zi'you 谁知恩爱重颖州初别子由
'shui'zuo'huan'yi'san'nong 谁作桓伊三弄
'shuo'chi'bi'ji'yi'mao'gang'er 说赤鼻矶亦茆冈尔
'shuo'ci'ci'xie'xing'ren'duo'qing'yu'jia'ren'wu'qing 说此词写行人多情与佳人无情
'shuo'li'jun'ji'zi'ran 说理均极自然
'shuo'li'tong'da 说理通达
'si'ci'qu'qu'zhang'xian'huan 似此区区长鲜欢
'si'dan'er'shi'mei'di'yi'shu'feng'ge 似淡而实美的艺术风格
'si'er'lu'chu'lai'ju'shao'nian 似二陆初来俱少年
'si'hou'chu'shu'ru'shi 嗣后出蜀入仕
'si'hu'zai'qing'su'sheng'li'si'bie'hou'de'wu'xian'ai'tong 似乎在倾诉生离死别后的无限哀痛
'si'hua'hai'si'fei'hua 似花还似非花
'si'jun'xu'xiang'gu'ren'qiu 似君须向古人求
'si'liang'que'shi 思量却是
'si'lin'lan'xi 寺临兰溪
'si'ma'guang 司马光
'si'nian 四年
'si'nian'jiu'wei'ju'shou'de'di'di'de'qing'huai'yin'chu 思念久未聚首的弟弟的情怀引出
'song'jian'sha'lu'jing'wu'ni 松间沙路净无泥
'song'ren'zong'chao'jin'shi 宋仁宗朝进士
'song'shu'gu 送述古
'song'su'shi 宋苏轼
'song'zhang'yuan'tang'xing'qin'qin'zhou 送张元唐省亲秦州
'sou'sou 飕飕
'su'dong'po'shi'ci'xuan 苏东坡诗词选
'su'shi'bei'song'wen'xue'jia 苏轼北宋文学家
'su'shi'ben'lai'xin'shang'wai'ku'er'zhong'gao 苏轼本来欣赏外枯而中膏
'su'shi'dui'ci'po'you'tong'gan 苏轼对此颇有同感
'su'shi'dui'ci'ye'po'wei'zi'fu 苏轼对此也颇为自负
'su'shi'ren'mi'zhou'zhi'zhou'gang'si'shi'sui 苏轼任密州知州刚四十岁
'su'shi'shi'jiu'sui'yu'tong'jun'wang'fu'jie'hun 苏轼十九岁与同郡王弗结婚
'su'shi'shuo'zi'yi'zuo'wen'ru'wan'hu'quan'yuan 苏轼说自已作文如万斛泉源
'su'shi'suo'you'wei'huang'zhou'chi'bi 苏轼所游为黄州赤壁
'su'shi'te'bie'ji'shang'ta'shao'nian'gong'ming 苏轼特别激赏他少年功名
'su'shi'xiong'di'qing'yi'shen'du 苏轼兄弟情谊甚笃
'su'shi'you'yu'huan'hai'fu'chen 苏轼由于宦海浮沉
'su'shi'yuan'ren'hang'zhou'tong'pan 苏轼原任杭州通判
'su'shi'zhe'yi'nian'si'shi'qi'sui'le 苏轼这一年四十七岁了
'su'shi'zi'yi'ye'she'xiang'qian'sheng'shi'yue'zhong'ren 苏轼自已也设想前生是月中人
'su'su'yi'jin'luo'zao'hua 蔌蔌衣巾落枣花
'su'xun'zi 苏洵子
'su'zhe'zi'zi'you 苏辙字子由
'suan'dang'nian 算当年
'suan'shi'ren'xiang'de 算诗人相得
'sui'di'san'yue'shui'rong'rong 隋堤三月水溶溶
'sui'han'song'bai'ken'jing'qiu 岁寒松柏肯惊秋
'sui'wu'liu'qi'lang'feng'wei 虽无柳七郎风味
'sui'zai'chen'fan'er'xiong'ci'chao'kuang 虽在尘凡而胸次超旷
'sun'quan'ceng'qin'zi'she'hu'yu'ling'ting 孙权曾亲自射虎于凌亭
'suo'huo'po'duo 所获颇多
'suo'yi'neng'sui'chu'chu'fa 所以能随处触发
'suo'yi'zuo'zhe'you'ci'yi'wen 所以作者有此一问
'ta'hai'shi'li'zu'xian'shi 他还是立足现实
'ta'men'shi'zhong'shi'nan'yi'tong'yi'de 它们始终是难以统一的
'ta'san'fang'ying'luo'jiu'zhi 蹋散芳英落酒卮
'ta'shi'si'nian'qian'yin'yu'wang'an'shi'zheng'jian'bu'he'zi'yuan'qing'qiu'wai'ren 他是四年前因与王安石政见不合自愿请求外任
'ta'shi'song'dai'zui'wei'zhu'ming'de'zuo'jia 他是宋代最为著名的作家
'ta'shi'yi'shou'hao'er'neng'zhuang'de'zhuang'ci 它是一首豪而能壮的壮词
'ta'xiang'ri'chang'sheng'huo'yi'yang 它像日常生活一样
'ta'yu'su'zhe'xi'ning'si'nian'ying'zhou'fen'bie'hou'yi'you'liu'nian'bu'jian'le 他与苏辙熙宁四年颖州分别后已有六年不见了
'ta'zai'mi'zhou'xie'gei'hao'you'xian'yu'shen'de'xin'zhong'shuo'jin'que'po'zuo'xiao'ci 他在密州写给好友鲜于侁的信中说近却颇作小词
'tan'bi'feng'sheng 谈笔风生
'tan'xiao'jian 谈笑间
'tang'ren'cheng'li'bai'wei'zhe'xian 唐人称李白为谪仙
'te'di'qing'qiu'bei'xi 特地请求北徙
'te'yi'cha'ru'zhe'yi'ju 特意插入这一句
'ti'jie 题解
'ti'shi'qian'shou 题诗千首
'tian'bu'ke'ce 天不可测
'tian'hua'fa 添华发
'tian'shang'zhi'san'ri 天上只三日
'tian'shi'zhu 天是主
'tian'wen 天问
'tian'ya'he'chu'wu'fang'cao 天涯何处无芳草
'tian'ya'juan'ke 天涯倦客
'tian'ya'liu'luo'si'wu'qiong 天涯流落思无穷
'tian'yi'jian 天易见
'tian'ying'qi'yu'dian'su'niang 天应乞与点酥娘
'tiao 调
'tie'chuo'ban'lai'ban'chang 铁绰板来伴唱
'ting'hu'wu'sheng 庭户无声
'ting'ting 亭亭
'ting'xia'shui'lian'kong 亭下水连空
'tong'hang'jie'lang'bei 同行皆狼狈
'tong'san'shi'zuo'you'jiu'gong'cheng'ming'jiu'de'zhou'yu'xiang'bi 同三十左右就功成名就的周瑜相比
'tong'shi'ye'you'yu'ta'xue'yang'zhan'shen 同时也由于他学养湛深
'tong'su'shi'qi'ta'hao'fang'ci'xiang'bi 同苏轼其它豪放词相比
'tong'yang'qi'zhe'qian'zai'er'shen'gai'de'ying'xiang 同样起着潜在而深该的影响
'tong'yin'you'neng'shi 痛饮又能诗
'tong'yin'zhuan'wu 桐阴转午
'tou 头
'tou'lu'chu'xia'ri'chu'lin'de'da'zi'ran'de'sheng'ji 透露出夏日初临的大自然的生机
'tui'zun'ci'ti 推尊词体
'wan'chong'qian'die 万重千迭
'wan'hui'shuang'bin'mo'jiao'xiu 挽回霜鬓莫教休
'wan'li'gui'lai'yan'yu'shao 万里归来颜愈少
'wan'li'juan'chao'lai 万里卷潮来
'wan'liang'xin'yu 晚凉新浴
'wan'shi'dao'tou'dou'shi'meng 万事到头都是梦
'wan'xia'ming 晚霞明
'wang'da'jin 网打尽
'wang'duan'gao'tang'lu 望断高唐路
'wang'duan'gu'yuan'xin'yan 望断故园心眼
'wang'fu'jian'le'su'shi 王弗见了苏轼
'wang'jiao'ren 枉教人
'wang'qi'ming 忘其名
'wang'shi'qian'duan 往事千端
'wei'bao'qing'cheng'sui'tai'shou 为报倾城随太守
'wei'chang'bu'shi'yi'ge'mei'hao'de'jing'jie 未尝不是一个美好的境界
'wei'chi'bi'zhi'zhan'shi'nian'qian'shi 为赤壁之战十年前事
'wei'hua'xiao'se 苇花萧瑟
'wei'jian'suo'wei'luan'shi'chuan'kong'ji'meng'rong'jun'yan'zhi'jing 未见所谓乱石穿空及蒙茸峻岩之境
'wei'jie'zhuang'sheng'tian'lai 未解庄生天籁
'wei'leng 微冷
'wei'lie'shi'yong'yi'zhui'bu'lie'wu 围猎时用以追捕猎物
