'ai'feng'ren'zhi'zi'ye 艾封人之子也
'fei'ren'ye 非人也
'fei'ren'ye 非仁也
'fei'shang 废上
'fei'shang'zhi'suo'yi'chu'xia'ye 非上之所以畜下也
'fei'sheng'ren'ye 非圣人也
'fei'shi'ye 非士也
'fei'shi'ye 非是也
'fei'shi'zhi'ren 非世之人
'fei'suo'wei'ren'yi'zhi'wei'ye 非所谓仁义之谓也
'fei'suo'yan'ye 非所言也
'fei'suo'yi'jin'xing'ye 非所以尽行也
'fei'suo'yi'ming'tian'xia'ye 非所以明天下也
'fei'suo'yi'wan'shen'yang'sheng'ye 非所以完身养生也
'fei'suo'yi'yang'de'ye 非所以养德也
'fei'tian'xia'zhi'zhi'zheng'ye 非天下之至正也
'fei'tian'zhi'zui 非天之罪
'fei'tu'wu'sheng'ye 非徒无生也
'fei'tu'wu'xing'ye 非徒无形也
'fei'tu'zhi'ju'ci'zhi'shan 非徒知具茨之山
'fei'wang'de'zhe'xie 非王德者邪
'fei'wei'qi'bao'zhi'ye 非谓其薄之也
'fei'wei'qi'jian'bi'ye 非谓其见彼也
'fei'wei'qi'wen'bi'ye 非谓其闻彼也
'fei'wo'wu'suo'qu 非我无所取
'fei'wo'yu'wu'zi'zhi'zui 非我与吾子之罪
'fei'wu'shi'ye 非吾事也
'fei'wu'suo'wei'cong'ye 非吾所谓聪也
'fei'wu'suo'wei'dao'ye 非吾所谓道也
'fei'wu'suo'wei'de'ye 非吾所谓得也
'fei'wu'suo'wei'ming'ye 非吾所谓明也
'fei'wu'suo'wei'zang'ye 非吾所谓臧也
'fei'wu'tong'bu'zhi 非梧桐不止
'fei'wu'you'ye 非吾有也
'fei'wu'zui'ye 非吾罪也
'fei'xi'zhi'yin'ji'zhe'ye 非昔之隐机者也
'fei'xian'ye 非贤也
'fei'xiang'guo'er'yan'ruo'jun'fu 非享国而严若君父
'fei'xiang'zhu'yi'de 非相助以德
'fei'xin'zhai'ye 非心斋也
'fei'xing'ming'ye 非性命也
'fei'xu'ci'rang'ye 非虚辞让也
'fei'xuan'mian'zhi'wei'ye 非轩冕之谓也
'fei'yan'fei'mo 非言非默
'fei'ye 非也
'fei'yi'niao'yang'yang'niao'ye 非以鸟养养鸟也
'fei'yi'po'wai'ye 非以迫外也
'fei'yi'qi'li'da'gu'xie 非以其利大故邪
'fei'yi'ren'ye 非役人也
'fei'yi'yao'ming'yu'ye 非以要名誉也
'fei'yi'ye 非一也
'fei'yi'ye 非义也
'fei'yi'yi'wu'qiong'ye 非亦一无穷也
'fei'yi'yu'shi 废一于室
'fei'yi'yu'tang 废一于堂
'fei'yi'zhe'zhi'suo'wei'chang'guo'er'wen'yan 非佚者之所未尝过而问焉
'fei'yin'fei'yang 非阴非阳
'fei'yin'ren'zhe'ye 非引人者也
'fei'yin'yang'zei'zhi 非阴阳贼之
'fei'yu'ze'wu'ye 非愚则诬也
'fei'yue'jing'ye'shan 非曰静也善
'fei'zhi'de'ye 非知得也
'fei'zhi'qiao'guo'gan'zhi'lie 非知巧果敢之列
'fei'zhi'ren'shu'neng'ding'zhi 非至人孰能定之
'fei'zhi'shi'ye 非知失也
'fei'zhi'yan'ri'chu 非卮言日出
'fei'zhi'zhi'zhi'dao 非知治之道
'fen'er'feng'zai 纷而封哉
'fen'fu'po'xi 焚符破玺
'fen'hu'wan'hu 纷乎宛乎
'fen'jiao'er'bu'ke'xi'zhe 偾骄而不可系者
'fen'jun 分均
'fen'shou'yi'ming'er'xing'ming'ci'zhi 分守已明而形名次之
'fen'shui'zhi'yang 汾水之阳
'fen'wu'chang 分无常
'feng'bo'ye 风波也
'feng'lian'mu 风怜目
'feng'qi'bei'fang 风起北方
'feng'ren'qu'zhi 封人去之
'feng'ren'yue 封人曰
'feng'shi'er'da'you'gong'zhe'bu'ke'wei'shu 奉事而大有功者不可为数
'feng'xi'feng'xi 凤兮凤兮
'feng'yi'dei'zhi 冯夷得之
'feng'yi'qian'dai 缝衣浅带
'feng'yue 风曰
'feng'zhi'guo 风之过
'feng'zhi'ji'ye'bu'hou 风之积也不厚
'fu'ai'ma'zhe 夫爱马者
'fu'ai'mo'da'yu'xin'si 夫哀莫大于心死
'fu'bai 夫白
'fu'bao'shi'zhi'zheng 夫保始之徵
'fu'bei'shui'yu'ao'tang'zhi'shang 覆杯水于坳堂之上
'fu'bo'kang'mi'mu 夫播糠眯目
'fu'bo'liang'yi'you'sheng'ren'zhi'cai'er'wu'sheng'ren'zhi'dao 夫卜梁倚有圣人之才而无圣人之道
'fu'bu'ke'sun'yi 夫不可损益
'fu'bu'ren'yi'shi'zhi'shang 夫不忍一世之伤
'fu'bu'tian'bu'yu 夫不恬不愉
'fu'bu'wei'qing'jiu'tui'yi 夫不为顷久推移
'fu'bu'zi'jian'er'jian'bi 夫不自见而见彼
'fu'can'pu'yi'wei'qi 夫残朴以为器
'fu'cang'zhou'yu'he 夫藏舟于壑
'fu'cheng'zhi'zhu'er'wei'ci'hu 斧铖之诛而为此乎
'fu'chi'zi'er'qu 负赤子而趋
'fu'chou'zhe 复仇者
'fu'chu'gou'zhi'wei'chen'ye 夫刍狗之未陈也
'fu'chu'ren'ji'er'hun'zhe 夫楚人寄而阍者
'fu'chu'wang'zhi'wei'ren'ye 夫楚王之为人也
'fu'chuan'jie'er'gu'xu 夫川竭而谷虚
'fu'chuan'liang'xi'liang'nu'zhi'yan 夫传两喜两怒之言
'fu'chui'guan'ye 夫吹管也
'fu'chui'wan'bu'tong 夫吹万不同
'fu'chun'qi'fa'er'bai'cao'sheng 夫春气发而百草生
'fu'chun'yu'qiu 夫春与秋
'fu'da'bei'yi 夫大备矣
'fu'da'dao'bu'chen 夫大道不称
'fu'da'he'zhi'wei'wu'ye 夫大壑之为物也
'fu'da'kuai'yi'qi 夫大块噫气
'fu'da'kuai'yi'zai'wo'yi'xing 夫大块以载我以形
'fu'da'kuai'zai'wo'yi'xing 夫大块载我以形
'fu'da'wang'fu'ke'wei'neng'zun'sheng'yi 夫大王父可谓能尊生矣
'fu'dao 夫道
'fu'dao'bu'yu'za 夫道不欲杂
'fu'dao'wei'shi'you'feng 夫道未始有封
'fu'dao'you'qing'you'xin 夫道有情有信
'fu'de 夫德
'fu'de'shi'er'qiong'zhi'zhe 夫得是而穷之者
'fu'de'shi'zhi'mei'zhi'le'ye 夫得是至美至乐也
'fu'de'yi'yao 夫德遗尧
'fu'de'zhe'kun 夫得者困
'fu'di'fei'bu'guang'qie'da'ye 夫地非不广且大也
'fu'di'wang'zhi'de 夫帝王之德
'fu'dong'zhe'jia'yi'yu'chun 夫冻者假衣于春
'fu'er'bu'dui 俯而不对
'fu'er'shi'qi'da'gen 俯而视其大根
'fu'er'shi'ren'fen'zhi 富而使人分之
'fu'fa'yu'nan'hai'er'fei'yu'bei'hai 夫发于南海而飞于北海
'fu'fan'zhi'wang'bu'zu'yi'sang'wu'cun 夫凡之亡不足以丧吾存
'fu'fen 夫忿
'fu'feng'bo'yi'yi'dong 夫风波易以动
'fu'feng'hu'wen'bao 夫丰狐文豹
'fu'fu 夫复
'fu'fu'zhe 夫富者
'fu'fu'zhi'yu'ren 夫富之于人
'fu'gong'hu'tian'er 夫工乎天而
'fu'gong'nu'bi'yi'ji'bian'zhi'zhi'duo 夫弓弩毕弋机变之知多
'fu'gu'jiang'zi'hua 夫固将自化
'fu'gu'shi'ren'de'er'xiang'ru 夫故使人得而相汝
'fu'gui'shou'shan'ye 富贵寿善也
'fu'gui'yu'pu 复归于朴
'fu'gui'zhe 夫贵者
'fu'han'che'zhi'shou 夫函车之兽
'fu'hao'zhi'zhi'luan'tian'xia'ye 夫好知之乱天下也
'fu'he'xiu'yan 夫何修焉
'fu'he'xu'shi'zhi'shi 夫赫胥氏之时
'fu'he'zu'yi'pei'tian'hu 夫何足以配天乎
'fu'hu'bu'ri'yu'er'bai 夫鹄不日浴而白
'fu'hu'ke'yi'ji'hua 夫胡可以及化
'fu'hu'wei'yu'da'fang 夫胡为于大方
'fu'huo'gai'diao'yi'xian 夫或改调一弦
'fu'huo'yi 弗活矣
'fu'ji 夫迹
'fu'jia'zhi'yi'heng'e 夫加之以衡扼
'fu'jian 复见
'fu'jian 夫奸
'fu'jian'ai 夫兼爱
'fu'jian'lao'zi 复见老子
'fu'jian'xia'gui'zhe 夫见下贵者
'fu'jie'gan'lei 夫揭竿累
'fu'jin'zhi'ge'zhe'qi'shui'hu 夫今之歌者其谁乎
'fu'jing 夫精
'fu'jing'cu'zhe 夫精粗者
'fu'ju'bin 父居豳
'fu'ke'gui'yi'li'er'ke'jian'yi'yan'zhe 夫可规以利而可谏以言者
'fu'ke'yi'jia'yi 弗可以加矣
'fu'lai'qiu'zhi 复来求之
'fu'li'bu'yi'jiao'qi 附离不以胶漆
'fu'li'bu'zu'ze'wei 夫力不足则伪
'fu'liang'xi'bi'duo'yi'mei'zhi'yan 夫两喜必多溢美之言
'fu'lie'zi'yu'feng'er'xing 夫列子御风而行
'fu'ling'gong'ye 夫灵公也
'fu'ling'gong'you'qi'san'ren 夫灵公有妻三人
'fu'ling'gong'zhi'wei'ling'ye'jiu'yi 夫灵公之为灵也久矣
'fu'ling'yi'sheng 复灵以生
'fu'liu'dun'zhi'zhi 夫流遁之志
'fu'liu'jing 夫六经
'fu'ma'lu'ju'ze'shi'cao'yin'shui 夫马陆居则食草饮水
'fu'mang'zhe'wu'yi'yu'hu'mei'mu'yan'se'zhi'hao 夫盲者无以与乎眉目颜色之好
'fu'meng'sun'shi'jin'zhi'yi 夫孟孙氏尽之矣
'fu'min'bu'nan'ju'ye 夫民不难聚也
'fu'min'si'yi'tuo'yi 夫民死已脱矣
'fu'ming'bai'ru'su 夫明白入素
'fu'ming'bai'yu'tian'di'zhi'de'zhe 夫明白于天地之德者
'fu'ming'li'zhi'da'zhe 夫名利之大者
'fu'ming'yao'zuo'er'yi'tian'wei'shi 复命摇作而以天为师
'fu'mo'zhi'zi'wen'zhu'luo'song'zhi'sun 副墨之子闻诸洛诵之孙
'fu'mu'qi'yu'wu'pin'zai 父母岂欲吾贫哉
'fu'mu'yu'zi 父母于子
'fu'nan'xing'zhe'zhi'yu'ying 夫南行者至于郢
'fu'qian'li'zhi'yuan 夫千里之远
'fu'qiao'zhi'shen'sheng'zhi'ren 夫巧知神圣之人
'fu'qie'bu'zhi 夫且不止
'fu'qing'hu'yu 福轻乎羽
'fu'qing'tian 负青天
'fu'qiu'bu'yu'hua'wei'ren 夫丘不与化为人
'fu'quan'qi'xing'sheng'zhi'ren 夫全其形生之人
'fu'que'wan'fang'chen'hu'qian'er'bu'de'ru'qi'she 覆却万方陈乎前而不得入其舍
'fu'ren'jian'zhi 妇人见之
'fu'ren'yi'can'ran 夫仁义惨然
'fu'ren'yi'zhi'xing 夫仁义之行
'fu'ren'zhi'nan'shuo'ye 夫人之难说也
'fu'ruo'ran'zhe 夫若然者
'fu'ruo'shi'zhe 夫若是者
'fu'san'huang'wu'di'zhi'zhi'tian'xia'bu'tong 夫三皇五帝之治天下不同
'fu'san'jing'zhi'wei 夫三旌之位
'fu'san'zi'zhe 夫三子者
'fu'sha'ren'zhi'shi'min 夫杀人之士民
'fu'shen'zhe 夫神者
'fu'shen'zhe'bu'zi'xu'ye 夫神者不自许也
'fu'sheng'ren 夫圣人
'fu'sheng'ren'wei'shi'you'tian 夫圣人未始有天
'fu'sheng'ren'zhi'zhi'ye 夫圣人之治也
'fu'sheng'zhe'qi'te'sui'hou'zhi'zhong'zai 夫生者岂特随侯之重哉
'fu'shi'ji'san'wang'er'tian'xia'da'hai'yi 夫施及三王而天下大骇矣
'fu'shi'qi'jun'zhe 夫事其君者
'fu'shi'ren'zhi'shi'er'bu'zi'shi'qi'shi 夫适人之适而不自适其适
'fu'shi'shu'wan 伏尸数万
'fu'shi'tian'er'bu'de'shi'tian 夫师天而不得师天
'fu'shi'zi'tou'yu'he 负石自投于河
'fu'shou'cai'hu'da'ben 夫受才乎大本
'fu'shu'neng'bu'bo 夫孰能不波
'fu'shu'zu'yi'huan'xin 夫孰足以患心
'fu'shui'xing'bu'bi'jiao'long'zhe 夫水行不避蛟龙者
'fu'shui'xing'mo'ru'yong'zhou 夫水行莫如用舟
'fu'shui'ze'jie'ye'chi'yi 赴水则接腋持颐
'fu'shui'zhi'yu 夫水之于
'fu'shuo'de'zhi 傅说得之
'fu'sui'qi'cheng'xin'er'shi'zhi 夫随其成心而师之
'fu'tao'xu'kong'zhe 夫逃虚空者
'fu'ti'dao'zhe 夫体道者
'fu'tian'dan'ji'mo 夫恬淡寂漠
'fu'tian'di'zhe 夫天地者
'fu'tian'di'zhi'shen'yi 夫天地至神矣
'fu'tian'ji'zhi'suo'dong 夫天机之所动
'fu'tian'wu'bu'fu 夫天无不覆
'fu'tian'xia'mo'da'yu'qiu'hao'zhi'mo 夫天下莫大于秋豪之末
'fu'tian'xia'ye'zhe 夫天下也者
'fu'tian'xia'zhi'suo'zun'zhe 夫天下之所尊者
'fu'tian'xia'zhi'zhong'ye 夫天下至重也
'fu'tong'wei'yi 复通为一
'fu'wai 夫外
'fu'wan'wu 府万物
'fu'wang'de'zhi'ren 夫王德之人
'fu'wang'yao'zhi 复往邀之
'fu'wang'yi'shi'zhong'zhi'cang 夫妄意室中之藏
'fu'wei'da'bu'zu'yi'wei'da 夫为大不足以为大
'fu'wei'jian'zhe 夫为剑者
'fu'wei'ling'gong'yin'jiu'zhan'le 夫卫灵公饮酒湛乐
'fu'wei'ren'fu'zhe 夫为人父者
'fu'wei'tian'xia'yi'ruo'ci'er'yi 夫为天下亦若此而已
'fu'wei'tian'xia'zhe 夫为天下者
'fu'wei'tu'zhe 夫畏涂者
'fu'wei'wai'hu'xian'zhe'zhi'zhi'yi 夫唯外乎贤者知之矣
'fu'wei'zhen'wei'wo'lei'er 夫魏真为我累耳
'fu'wen'wang'jin'zhi'ye 夫文王尽之也
'fu'wen'zhi'dai 复闻之怠
'fu'wu 夫物
'fu'wu'mian'hu'ren'zhi'suo'bu'mian'zhe 夫务免乎人之所不免者
'fu'wu'suo'xian'zhe 夫无所县者
'fu'wu'zhi 夫无趾
'fu'wu'zhuang'zhi'shi'qi'mei 夫无庄之失其美
'fu'xi 伏戏
'fu'xi'shi 伏戏氏
'fu'xi'shi'dei'zhi 伏戏氏得之
'fu'xi'shi'er'xing 夫希世而行
'fu'xi'shi'wei'tian'xia 伏羲始为天下
'fu'xi'zu'yi'zhi'hu'xian 夫奚足以至乎先
'fu'xian'er'fu'cong 夫先而妇从
'fu'xian'er'zi'cong 父先而子从
'fu'xiang'shou'zhi'yu'xiang'qi'yi'yuan'yi 夫相收之与相弃亦远矣
'fu'xiao'huo'yi'fang 夫小惑易方
'fu'xiao'ti'ren'yi 夫孝悌仁义
'fu'xie 父邪
'fu'xing'quan'jing'fu 夫形全精复
'fu'xing'se'ming'sheng 夫形色名声
'fu'xu'jing'tian'dan'ji'mo'wu'wei'zhe 夫虚静恬淡寂漠无为者
'fu'xun'chang'zhi'gou 夫寻常之沟
'fu'xun'er'mu'nei'tong'er'wai'yu'xin'zhi 夫徇耳目内通而外于心知
'fu'yan'fei'chui'ye 夫言非吹也
'fu'yao'chu'chu'ran'ren 夫尧畜畜然仁
'fu'yao'ji'yi'qing'ru'yi'ren'yi 夫尧既已黥汝以仁义
'fu'yao'zhi'xian'ren'zhi'li'tian'xia'ye 夫尧知贤人之利天下也
'fu'yi'bu'lai 福亦不来
'fu'yi'chu'hu'zhong'wei'xin'zhe 夫以出乎众为心者
'fu'yi'jie'yi'bu'neng 夫夷节已不能
'fu'yi'jie'zhi'wei'ren'ye 夫夷节之为人也
'fu'yi'li'he'zhe 夫以利合者
'fu'yi'niao'yang'yang'niao'zhe 夫以鸟养养鸟者
'fu'yi'yang'wei'chong'kong'yang 夫以阳为充孔扬
'fu'yi'you'suo'jian'yi 夫已有所简矣
'fu'ying'er'bu'she 服膺而不舍
'fu'you'bu'zhi'suo'qiu 浮游不知所求
'fu'you'gan'yue'zhi'jian'zhe 夫有干越之剑者
'fu'you'guo'ran 腹犹果然
'fu'you'hu'wan'wu'zhi'zu 浮游乎万物之祖
'fu'you'tian'xia 富有天下
'fu'you'tu'zhe 夫有土者
'fu'yu'bu'huo 复于不惑
'fu'yu'e'bi'jiu 夫欲恶避就
'fu'yu'fen'ran'zuo'se'yue 鲋鱼忿然作色曰
'fu'yu'guo'jun'tong'shi 夫与国君同食
'fu'yu'lai 鲋鱼来
'fu'yu'mian'wei'xing'zhe 夫欲免为形者
'fu'yu'yan'xue 伏于岩穴
'fu'yue'zhi'wei'fu'neng'jin 斧钺之威弗能禁
'fu'zai'tian'di 覆载天地
'fu'zai'wan'wu'zhe'ye 覆载万物者也
'fu'zao'hua'zhe'bi'yi'wei'bu'xiang'zhi'ren 夫造化者必以为不祥之人
'fu'zao'wu'zhe'jiang'yi'yu'wei'ci'ju'ju'ye 夫造物者将以予为此拘拘也
'fu'zao'wu'zhe'you'jiang'yi'yu'wei'ci'ju'ju'ye 夫造物者又将以予为此拘拘也
'fu'ze'bu'xiang 父则不祥
'fu'ze'duo'shi 富则多事
'fu'zha'li'ju'you'guo 夫楂梨橘柚果
'fu'zhao'zhao'sheng'yu'ming'ming 夫昭昭生于冥冥
'fu'zhe'da'mu 夫折大木
'fu'zhi'de'zhi'shi 夫至德之世
'fu'zhi'jiang'hu 浮之江湖
'fu'zhi'le'zhe 夫至乐者
'fu'zhi'li'zhe'qi'xing'zhe 夫支离者其形者
'fu'zhi'mu'zhi'xing 夫埴木之性
'fu'zhi'nai'zhi'hu 弗知乃知乎
'fu'zhi'nei'yi 弗知内矣
'fu'zhi'ren'shang'yi 夫至仁尚矣
'fu'zhi'ren'you'shi 夫至人有世
'fu'zhi'ren'zhe 夫至人者
'fu'zhi'yi'you'zhi 夫知亦有之
'fu'zhi'you'suo'dai'er'hou'dang 夫知有所待而后当
'fu'zhi'yu'er'bu'zhi'suo'bu'yu 夫知遇而不知所不遇
'fu'zhi'zhe'bu'yan 夫知者不言
'fu'zhi'zhi'duo 罘之知多
'fu'zhui'er'bu'fan 覆坠而不反
'fu'zhui'xuan'you'chu'hu'xing'zai 附赘县疣出乎形哉
'fu'zi 夫子
'fu'zi'ben'yi'jue'chen 夫子奔逸绝尘
'fu'zi'bian'yi'bian'ye 夫子辩亦辩也
'fu'zi'bu'yan'er'xin 夫子不言而信
'fu'zi'bu'yi'bu 夫子步亦步
'fu'zi'bu'yi'bu'ye 夫子步亦步也
'fu'zi'bu'yu'hu 夫子不欲乎
'fu'zi'chi'yi'chi 夫子驰亦驰
'fu'zi'chi'yi'chi'ye 夫子驰亦驰也
'fu'zi'chu'yu'shan 夫子出于山
'fu'zi'de'pei'tian'di 夫子德配天地
'fu'zi'fu'shou 夫子弗受
'fu'zi'gu'zhuo'yu'yong'da'yi 夫子固拙于用大矣
'fu'zi'he'bu'tan'wo'yu'wang 夫子何不谭我于王
'fu'zi'he'gu'jian'zhi'bian'rong'shi'se 夫子何故见之变容失色
'fu'zi'he'wei'qing'jian'shen'bu'ting'hu 夫子何为顷间甚不庭乎
'fu'zi'he'xing'xie 夫子阖行邪
'fu'zi'hu'bu'ru'hu 夫子胡不入乎
'fu'zi'jian'lao'dan 夫子见老聃
'fu'zi'li'er'tian'xia'zhi 夫子立而天下治
'fu'zi'luan'ren'zhi'xing'ye 夫子乱人之性也
'fu'zi'qi'xing'ke'yi 夫子其行可矣
'fu'zi'qu'yi'qu 夫子趋亦趋
'fu'zi'qu'yi'qu'ye 夫子趋亦趋也
'fu'zi'ruo'yu'shi'tian'xia'wu'shi'qi'mu'hu 夫子若欲使天下无失其牧乎
'fu'zi'shi'ye 夫子时也
'fu'zi'shun'ye 夫子顺也
'fu'zi'suo'yu'zhang 夫子所御杖
'fu'zi'tan'sheng'shi'li'er'wei'ci'hu 夫子贪生失理而为此乎
'fu'zi'wen'yu'lao'dan'yue 夫子问于老聃曰
'fu'zi'wu'suo'fa'yu'zhi'kuang'yan'er'si'yi'fu 夫子无所发予之狂言而死矣夫
'fu'zi'wu'yi'yu'heng'mu'zhi'min'hu 夫子无意于横目之民乎
'fu'zi'xi'bu'shi'lai'ru'guan'hu 夫子奚不时来入观乎
'fu'zi'xi'shi'da'zhe'bu'jin 夫自细视大者不尽
'fu'zi'xiang'qin 父子相亲
'fu'zi'xing'bu'xian 夫子行不闲
'fu'zi'xiu 夫子休
'fu'zi'yan'dao 夫子言道
'fu'zi'yan'yi'yan'ye 夫子言亦言也
'fu'zi'yi'fang'de'er'xing 夫子亦放德而行
'fu'zi'yi'ting'yi 夫子亦听矣
'fu'zi'yi'wei'meng'lang'zhi'yan 夫子以为孟浪之言
'fu'zi'you'hu 夫子有乎
'fu'zi'you'you'se 夫子有忧色
'fu'zi'yu'cang'shu 夫子欲藏书
'fu'zi'yue 夫子曰
'fu'zi'zai'zhu'yu'lu 夫子再逐于鲁
'fu'zi'zhi'wen'ye 夫子之问也
'fu'zi'zhi'yi 父子之宜
'fu'zui'zhe'zhi'zhui'che 夫醉者之坠车
'fu'zun'bei'xian'hou 夫尊卑先后
'fu'zun'gu'er'bei'jin 夫尊古而卑今
'gai'er'cun'yan 赅而存焉
'gai'jiang'shen'jing'er'bu'ji 盖将甚敬而不急
'gai'shi'shi'er'wu'fei 盖师是而无非
'gai'you'dao'zhi'shi'ye 盖有道之士也
'gan'dan'chu'yue'ye 肝胆楚越也
'gan'er'hou'ying 感而后应
'gan'jing'xian'jie 甘井先竭
'gan'qi'shi 甘其食
'gan'wen 敢问
'gan'wen'he'gu 敢问何故
'gan'wen'he'wei'ye 敢问何谓也
'gan'wen'ji'ren 敢问畸人
'gan'wen'lin'shi'er'ge 敢问临尸而歌
'gan'wen'ming'wang'zhi'zhi 敢问明王之治
'gan'wen'qi'fang 敢问其方
'gan'wen'qi'gu'he'ye 敢问其故何也
'gan'wen'tian'lai 敢问天籁
'gan'wen'wu'shou'tian'sun'yi 敢问无受天损易
'gan'wen'xin'zhai 敢问心斋
'gan'wen'zhi'dao 敢问至道
'gan'wen'zhi'dao'zhi'jing 敢问至道之精
'gan'yu'gu'zhi'mo'wei'si'mi 干余骨之沫为斯弥
'gan'zhou'zhi'sang 感周之颡
'gao'huo 膏火
'gao'lun'yuan'fei 高论怨诽
'gao'men'xian'bao 高门县薄
'gao'rang'yu 皋壤与
'gao'wo 告我
'gao'zhi'hai'yue 告之海曰
'ge'de'qi'xu 各得其序
'ge'fu'qi'gen 各复其根
'ge'fu'qi'gen'er'bu'zhi 各复其根而不知
'ge'sheng'er'meng'yi'wei'xin 割牲而盟以为信
'ge'ye 割也
'ge'you'yi'ze'wei'zhi'xing 各有仪则谓之性
'gei'shu'yi'min 给数以敏
'geng'duan'zhe'bu'ke'yi'ji'shen 绠短者不可以汲深
'geng'er'bu'zhi'ze 哽而不止则
'geng'er'lu'mang'zhi 耕而卤莽之
'geng'er'shi 耕而食
'geng'sang'zi'wen'zhi 庚桑子闻之
'geng'sang'zi'yue 庚桑子曰
'geng'sang'zi'zhi'shi'lai 庚桑子之始来
'geng'sheng'ze'ji'yi 更生则几矣
'gong'cheng'zhe'duo 功成者堕
'gong'fan 公反
'gong'fu'guan'zhong'zhi'shou'yue 公抚管仲之手曰
'gong'gai'tian'xia'er'si'bu'zi'ji 功盖天下而似不自己
'gong'gei'zhi'zhi'wei'an 共给之之谓安
'gong'gu'yi'wei'bu'ran 公固以为不然
'gong'ji'xian'zu 共祭先祖
'gong'ji'zhao'er'wen'yi'guo'shi 公即召而问以国事
'gong'jian'tui'rang 恭俭推让
'gong'jiang'zhi'zui'ye 工匠之罪也
'gong'li'ji'qiao'bi'wang'fu'ren'zhi'xin 功利机巧必忘夫人之心
'gong'mi'er'bu'ying 公密而不应
'gong'qi'de'ye 共其德也
'gong'qi'ye 公器也
'gong'qiu'cheng 功求成
'gong'ren 工人
'gong'shen'qiu'zhi 躬身求之
'gong'shi'ren'shi'zhi 公使人视之
'gong'shui'yu'yu 公谁欲与
'gong'sun'long'kou 公孙龙口
'gong'sun'long'wen'yu'wei'mou'yue 公孙龙问于魏牟曰
'gong'wei'shang 工为商
'gong'wen'xuan'jian'you'shi'er'jing'yue 公文轩见右师而惊曰
'gong'yue 公曰
'gong'yue'xiu'xi'wei'zhe'xie 公阅休奚为者邪
'gong'ze'zi'shang 公则自伤
'gong'zhi'suo'du'zhe 公之所读者
'gong'zhi'xi 公执席
'gong'zi'mou'yin'ji'da'xi 公子牟隐机大息
'gong'zu'ye 公族也
'gou'bu'yi'shan'fei'wei'liang 狗不以善吠为良
'gou'de'yu'dao 苟得于道
'gou'er'duo'ze 觏而多责
'gou'er'wang'gu'zeng'gou'zhi'zhi'duo 钩饵罔罟罾笱之知多
'gou'jian 苟简
'gou'ke'de'yi 苟可得已
'gou'suo'zhi'er'bu'de'ye 诟索之而不得也
'gou'wei'bu'zhi'qi'ran'ye 苟为不知其然也
'gou'you'qi'shi 苟有其实
'gu'bu'dai'shi 固不待师
'gu'bu'dai'wu 固不待物
'gu'bu'gan'dang'qi'shang 故不敢当其赏
'gu'bu'gan'fu'qi'zhu 故不敢伏其诛
'gu'bu'ji'zhi 固不及质
'gu'bu'mian'ye 故不免也
'gu'bu'wei'xuan'mian'si'zhi 故不为轩冕肆志
'gu'bu'zhi'zi'yi 固不知子矣
'gu'bu'zhong'qi'tian'nian'er'zhong'dao'yao 故不终其天年而中道夭
'gu'bu'zu'yi'hua'he 故不足以滑和
'gu'chang'shi'lun'zhi 故尝试论之
'gu'chu'er'bu'fan 故出而不反
'gu'chun'pu'bu'can 故纯朴不残
'gu'ci 故辞
'gu'ci'er'bu'shou'ye 故辞而不受也
'gu'ci'jie'duo'pian'pang'zhi'zhi'dao 故此皆多骈旁枝之道
'gu'ci'shu'zi'zhe 故此数子者
'gu'dai 故怠
'gu'de'bei 故德备
'gu'de'er'bu'xi 故得而不喜
'gu'de'you'suo'chang'er'xing'you'suo'wang 故德有所长而形有所忘
'gu'de'zong'hu'dao'zhi'suo'yi 故德总乎道之所一
'gu'di'wang'sheng'ren'xiu'yan 故帝王圣人休焉
'gu'dian'ming'hu'fu'gui'zhi'di 固颠冥乎富贵之地
'gu'dong'yi'bai'xing 故动以百姓
'gu'fa'shu'yu'song 故伐树于宋
'gu'fa'yan'yue 故法言曰
'gu'fa'zhi 故伐之
'gu'fan'niu'er'niu'fei 故饭牛而牛肥
'gu'fen'she'wu'you 故忿设无由
'gu'fen'ye'zhe 故分也者
'gu'feng'hua 故风化
'gu'fu'er'you 鼓腹而游
'gu'fu'qi'yang 故服其殃
'gu'fu'san'huang'wu'di'zhi'li'yi'fa'du 故夫三皇五帝之礼义法度
'gu'fu'yang'er'bu'de'zui'yu'ren 故俯仰而不得罪于人
'gu'fu'zhi'xiao'yi'guan 故夫知效一官
'gu'fu'zi'xu'zheng'zhi 故夫子胥争之
'gu'ge'yi 鼓歌以
'gu'ge'zhi 故割之
'gu'gong'gong'dong 鼓宫宫动
'gu'gu'jin'bu'er 故古今不二
'gu'gu'zhi'ren'gui'fu'wu'wei'ye 故古之人贵夫无为也
'gu'gu'zhi'wang'tian'xia'zhe 故古之王天下者
'gu'guan'zhi'ming 故观之名
'gu'guan'zhi'ming'ze'bu'jian 故观之名则不见
'gu'gui'yi'shen'yu'wei'tian'xia 故贵以身于为天下
'gu'guo'zhi 故国治
'gu'hai'bu'ci'dong'liu 故海不辞东流
'gu'hai'nei'fu 故海内服
'gu'he'zhe'bu'wei'pian 故合者不为骈
'gu'huo'bu'yan'er'yin'ren'yi'he 故或不言而饮人以和
'gu'jia'bo'jing 鼓荚播精
'gu'jian'kong'zi 顾见孔子
'gu'jiao'jiao'dong 鼓角角动
