'a'ba'duo'na'duo 阿巴多纳多
'bo'ta'nuo'wa 波塔诺瓦
'bo'tai'er'si 波泰尔斯
'bo'tan'cha'jing'ji 波坦察竞技
'bo'te'fen'la'ji 伯特芬拉基
'bo'te'lu'qie 博特鲁切
'bo'te'nuo'shan'qiu 波特诺山丘
'bo'te'sheng'te'si 波特圣特斯
'bo'teng'zha 波腾扎
'bo'teng'zha 波滕扎
'bo'tu'en'sai'jing'ji 波图恩塞竞技
'bo'wen'bo'ge 博文伯格
'bo'xin'hua 波辛华
'bo'xin'wa 博辛瓦
'bo'yang'ke'er'ji'qi 博扬克尔基奇
'bo'yi 博伊
'bo'yi'de 博伊德
'bo'yi'er 博伊尔
'bo'yi'ha'bei'kao'si'te 博伊哈贝考斯特
'bo'yi'ke'te 博伊克特
'bo'yi'nuo'fu 博伊诺夫
'bo'yi'si 波伊斯
'bo'yi'si'gui'lan 博伊斯圭兰
'bo'zan'ni'qi 博赞尼奇
'bo'zi'nan'qian'jin 波兹南前进
'bu'ai'nuo 布埃诺
'bu'cen'si'ka 布岑斯卡
'bu'da'li'ya 布达里亚
'bu'dan 布丹
'bu'de'er 布德尔
'bu'di'an'si'ji 布迪安斯基
'bu'di'suo 布迪索
'bu'du'luo'si 布杜洛斯
'bu'er'cen'si'ka 布尔岑斯卡
'bu'er'ceng'si'ka 布尔曾斯卡
'bu'er'da'li'qi 布尔达里奇
'bu'er'di'suo 布尔迪索
'bu'er'ge'si 布尔格斯
'bu'er'han'ai'se'er 布尔罕埃瑟尔
'bu'er'he'er'te 布尔赫尔特
'bu'er'jin 布尔金
'bu'er'ka 布尔卡
'bu'er'ke 布尔克
'bu'er'lin'ban'ma 布尔林斑马
'bu'er'nei'te 布尔内特
'bu'er'sa 布尔萨
'bu'er'sa'ti'yu 布尔萨体育
'bu'er'shen'di'en'ai'ne'ge'di'ke 布尔什蒂恩艾讷格蒂科
'bu'er'xie'te 布尔歇特
'bu'er'zha'ke'wei'qi 布尔扎克维奇
'bu'fei'er 布费尔
'bu'feng 布冯
'bu'ge'hao'sen 布格豪森
'bu'jia'le'si'te'di'na'mo 布加勒斯特迪纳摩
'bu'jia'le'si'te'kuai'su 布加勒斯特快速
'bu'jia'le'si'te'min'zu 布加勒斯特民族
'bu'jia'le'si'te'xing 布加勒斯特星
'bu'ka'la'man'jia 布卡拉曼加
'bu'ke 布克
'bu'ke'er'te 布克尔特
'bu'ke'huo'luo 布克霍罗
'bu'la'bo 布拉伯
'bu'la'bu'lan'de 布拉布兰德
'bu'la'de'fu'de'cheng 布拉德福德城
'bu'la'de'lei'lai'te'fei'li'pu'si 布拉德雷赖特菲利普斯
'bu'la'de'li'qiong'si 布拉德利琼斯
'bu'la'di'si'la'fa'guo'ji 布拉迪斯拉法国际
'bu'la'di'si'la'fa'si'luo'wan 布拉迪斯拉法斯罗万
'bu'la'er'de 布拉尔德
'bu'la'fei'de 布拉菲德
'bu'la'gan'sa 布拉干萨
'bu'la'ge 布拉戈
'bu'la'ge'si'ba'da 布拉格斯巴达
'bu'la'ge'si'la'wei'ya 布拉格斯拉维亚
'bu'la'ha'mi 布拉哈米
'bu'la'jia'jing'ji 布拉加竞技
'bu'la'ke 布拉克
'bu'la'ke'a'ji'er'di'zi 布拉克阿基尔迪兹
'bu'la'ke'ao'zha'la'ke 布拉克奥扎拉克
'bu'la'ke'ka'la'du'man 布拉克卡拉杜曼
'bu'la'ke'yi'er'ma'zi 布拉克伊尔马兹
'bu'la'li'ya 布拉利亚
'bu'la'lu'zi 布拉鲁兹
'bu'la'ma 布拉马
'bu'la'mu'fan'deng'bu'qie 布拉姆范登布切
'bu'la're'ke 布拉热克
'bu'la'wo 布拉沃
'bu'la'xi 布拉西
'bu'la'xi'ge'li'ya'nuo 布拉西格里亚诺
'bu'la'yan'an'gu'luo 布拉延安古洛
'bu'la'ze'ke 布拉泽克
'bu'la'zi'tuo'te 布拉兹托特
'bu'lai'en'bei'er'gu'ge'nuo'ke'si 布莱恩贝尔古戈诺克斯
'bu'lai'en'kai'er 布赖恩凯尔
'bu'lai'en'xiu'si 布赖恩休斯
'bu'lai'ke'ben 布莱克本
'bu'lai'ke'pu 布莱克普
'bu'lai'mei'gang 不来梅港
'bu'lai'si'si'ba'da 布莱斯斯巴达
'bu'lan'fu'le'si 布兰福勒斯
'bu'lan'ka'gang'ao'lin'pi'ke 布兰卡港奥林匹克
'bu'lan'ke 布兰克
'bu'lan'ke 布兰科
'bu'lan'ke'bo'si'ke'wei'qi 布兰克博斯科维奇
'bu'lang 布朗
'bu'lao'li'ao 布劳利奥
'bu'lei'ci'ke 布雷茨科
'bu'lei'di 布雷迪
'bu'lei'ge'li 布雷格利
'bu'lei'jin 布雷金
'bu'lei'liu'lang'zhe 布雷流浪者
'bu'lei'nuo 布雷诺
'bu'lei'nuo'xi'er'wa 布雷诺席尔瓦
'bu'lei'qi'ke 布雷奇科
'bu'lei'wei'ya'li'ao 布雷维亚里奥
'bu'lei'xi'ya 布雷西亚
'bu'lei'xi'ya'nuo 布雷西亚诺
'bu'lei'xie 布雷谢
'bu'li'an'de 布里安德
'bu'li'an'lu'yi'zi 布里安鲁伊兹
'bu'li'ban'liu'lang 布力般流浪
'bu'li'en'du'pang'te 布里恩杜庞特
'bu'li'en'han'sen 布里恩汉森
'bu'li'en'lao'de'lu'pu 布里恩劳德鲁普
'bu'li'en'zha 布里恩扎
'bu'li'fu'la'gai'ya'er'de 布里夫拉盖亚尔德
'bu'li'ge'er 布里格尔
'bu'li'ji 布里吉
'bu'li'qi 布里奇
'bu'li'sen 布里森
'bu'li'si'a'bu'li'ke 布里斯阿布里克
'bu'li'si'tuo'cheng 布里斯托城
'bu'li'si'tuo'er'cheng 布里斯托尔城
'bu'li'si'tuo'er'liu'lang'zhe 布里斯托尔流浪者
'bu'li'tai'en 布里泰恩
'bu'li'tuo 布里托
'bu'li'wei'ao 布里维奥
'bu'lie'dian'liu'lang'zhe 不列颠流浪者
'bu'lie'dian'si'te'ling 不列颠斯特灵
'bu'lie'dian'wei'dun 不列颠威顿
'bu'lin'di'xi 布林迪西
'bu'long'de'er 布隆德尔
'bu'lu'jin'ke 布鲁金克
'bu'lu'ming'si'te 布鲁明斯特
'bu'lu'nuo 布鲁诺
'bu'lu'nuo'a'er'wei'si 布鲁诺阿尔维斯
'bu'lu'nuo'a'gui'ya'er 布鲁诺阿圭亚尔
'bu'lu'nuo'a'ma'luo 布鲁诺阿玛罗
'bu'lu'nuo'ba'si'tuo 布鲁诺巴斯托
'bu'lu'nuo'fo'jia'ka 布鲁诺佛加卡
'bu'lu'nuo'ga'ma 布鲁诺伽马
'bu'lu'nuo'jia'ma 布鲁诺加马
'bu'lu'nuo'ke'si'ta 布鲁诺科斯塔
'bu'lu'nuo'kong'di 布鲁诺孔蒂
'bu'lu'nuo'la'zha'luo'ni 布鲁诺拉扎罗尼
'bu'lu'nuo'lan'ka 布鲁诺兰卡
'bu'lu'nuo'li'bei'luo 布鲁诺里贝罗
'bu'lu'nuo'mi'ge'er 布鲁诺米格尔
'bu'lu'nuo'mo'lai'si 布鲁诺莫莱斯
'bu'lu'nuo'pi'nie'luo 布鲁诺皮涅罗
'bu'lu'nuo'qi'na 布鲁诺奇纳
'bu'lu'nuo'sa'er'tuo 布鲁诺萨尔托
'bu'lu'nuo'sai'wei'li'nuo 布鲁诺塞维里诺
'bu'lu'nuo'ti'ya'ge 布鲁诺提亚戈
'bu'lu'nuo'xi'er'wa 布鲁诺席尔瓦
'bu'lu'ri 布鲁日
'bu'lu'sai'er 布鲁塞尔
'bu'lu'si'te 布鲁斯特
'bu'lu'te'ba'si'ma'zi 布鲁特巴斯马兹
'bu'lu'yin'nie'er 布鲁因涅尔
'bu'lu'yin'si 布鲁因斯
'bu'lu'ze'sai 布鲁泽塞
'bu'lun'rui'ke 不伦瑞克
'bu'lun'rui'ke 布伦瑞克
'bu'lun'te'a'ta'man 布伦特阿塔曼
'bu'lun'te'bo'lu'ke'ba'xi 布伦特博卢克巴西
'bu'lun'te'e'er'tu'ge'lu'er 布伦特厄尔图格鲁尔
'bu'lun'te'fu'de 布伦特福德
'bu'lun'te'ka'lei'xi'ke'li 布伦特卡雷西克利
'bu'lun'te'ke'ka'bei 布伦特科卡贝
'bu'lun'te'li'cheng 布伦特里城
'bu'lun'te'wu'zu'en 布伦特乌祖恩
'bu'luo'de'fu'te 布罗德福特
'bu'luo'er'si 布罗尔斯
'bu'luo'ge'er 布罗格尔
'bu'luo'ji 布罗基
'bu'luo'ka'de 布罗卡德
'bu'luo'men'da'er 布洛门达尔
'bu'luo'mu'li 布罗姆利
'bu'luo'te 布洛特
'bu'luo'wei'er 布罗维尔
'bu'luo'xin'si'ji 布罗辛斯基
'bu'luo'yi'di'jia'mu 布罗伊蒂加姆
'bu'luo'zhi 布洛治
'bu'lv'xin'ke 布吕欣克
'bu'mu'song 布姆松
'bu'qiao'ge'kui'si'te 布乔格奎斯特
'bu'shi'ba'ke'si 布什巴克斯
'bu'suo'fa 布索法
'bu'te 布特
'bu'teng'shao'en 布滕绍恩
'bu'wa'shen'qi'ke'fu'si'ji 布瓦什奇科夫斯基
'bu'wei 补位
'bu'wei'ji'shi 补位及时
'bu'xie 布谢
'bu'ya'de'si 布亚德斯
'bu'ya'er'na'sen 布亚尔纳森
'bu'you'ke'si'ai'xi'er 布尤克斯埃西尔
'bu'yue'er'en'sen 布约尔恩森
'bu'zan'ni'si 布赞尼斯
'bu'ze'ge'li 布泽戈利
'bu'ze'lin 布泽林
'cai'pan 裁判
'cai'pu'wang 蔡普旺
'cai'sheng 蔡晟
'cai'xi 蔡曦
'cao'dao'zhu'fa 操刀主罚
'cao'xian'dong 曹限东
'cen'deng 岑登
'ceng'ai'sheng 曾艾生
'ceng'yan'cheng 曾彦程
'cha'da'rui 查达瑞
'cha'er'dun 查尔顿
'cha'er'si'ao'bi 查尔斯奥比
'cha'er'si'en'zuo'bi'ya 查尔斯恩佐比亚
'cha'er'wei'te 查尔维特
'cha'fu'ta'er 查弗塔尔
'cha'ka'li'ta'qing'nian 查卡里塔青年
'cha'ke'jun 察可军
'cha'li'si'di'si 查理斯蒂斯
'cha'li'si'tai'si 查里斯泰斯
'cha'li'si'te'ya'si 查里斯特亚斯
'cha'li'si'te'ya'si 查理斯特亚斯
'cha'ma'ke 查马克
'cha'nei'er 查内尔
'cha'pu'luo 查普洛
'cha'shang'jin'gong 插上进攻
'cha'si'gu'te 查斯古特
'chai'cun'zhi'mi 柴村直弥
'chan'qiu 铲球
'chang'chuan'chong'diao 长传冲吊
'chang'chuan'ji'gong 长传急攻
'chang'chuan'pei'he 长传配合
'chang'chuan'tu'po 长传突破
'chang'chun'ya'tai 长春亚泰
'chang'gu'bu'cheng 长谷部诚
'chang'jia'li'de 长嘉利德
'chang'shang'chi'du 场上尺度
'chao'ji'lian'he 超级联合
'chao'ji'lian'sai 超级联赛
'chao'ji'yun'dong'lian'meng 超级运动联盟
'chao'xian'lian'sai 朝鲜联赛
'che'du'li 车杜里
'che'fan'gen 车范根
'che'lu'shi 车路士
'che'xiang'qian 车向前
'chen'di'chuan'zhong 沉底传中
'chen'fang'ping 陈方平
'chen'tao 陈涛
'chen'xiao'zheng 陈晓政
'cheng'ke'lun 成克伦
'cheng'nan'yi'he'tian'ma 城南一和天马
'cheng'se'feng'bao 橙色风暴
'cheng'yao'dong 成耀东
'cheng'yi'lian'sai 城乙联赛
'chi'gu'shou'shang 耻骨受伤
'chi'rong'liang 迟嵘亮
'chong'qing'li'fan 重庆力帆
'chong'ru'jin'qu 冲入禁区
'chou'ji'she'men 抽击射门
'chou'she 抽射
'chu'chang'zhen'rong 出场阵容
'chu'er'qi'er 楚尔奇尔
'chu'se'de'ting'qiu 出色的停球
'chu'shi'hong'pai 出示红牌
'chu'shi'huang'pai 出示黄牌
'chu'si'ye'luo 楚斯耶罗
'chuan'cha'pao'wei 穿插跑位
'chuan'dui'fang'shen'hou 传对方身后
'chuan'kou'neng'huo 川口能活
'chuan'qi'qian'feng 川崎前锋
'chuan'qiu 传球
'chuan'qiu'bu'dao'wei 传球不到位
'chuan'qiu'shi'wu 传球失误
'chuan'ren'qiang 穿人墙
'chuan'she'ren'qiang 穿射人墙
'chuan'zhong'qiu 传中球
'ci'wei'ke'fu 茨维科夫
'ci'wei'ta'nuo'wei'qi 茨维塔诺维奇
'cui'guo'tao 崔郭涛
'cui'peng 崔鹏
'cui'xiao'jia 崔肖佳
'cun'shang'fan'he 村上范和
'da'ba'lei'xi 大巴雷西
'da'ban'fei'jiao 大阪飞脚
'da'bei'li 达贝里
'da'bi'fen'ling'xian 大比分领先
'da'bo 达博
'da'bu'luo'fu'si'ji 达布罗夫斯基
'da'diao'jie'he 打吊结合
'da'duo'pu'er'shao 达多普尔绍
'da'er'bi 达尔比
'da'er'dao'yi 达尔道伊
'da'er'deng 达尔登
'da'er'fu'bo'ni'ao 达尔夫伯尼奥
'da'er'jia'de 达尔加德
'da'er'ma 达尔马
'da'er'nei'er'xi'tu 达尔内尔希图
'da'fan'ji 打反击
'da'fu 达夫
'da'ge'la'luo'ge'lu 达格拉罗格鲁
'da'ge'lai'mei'shi'mi'si 大格莱美史密斯
'da'ge'si'di'nuo 达戈斯蒂诺
'da'ge'si'di'nuo 达格斯蒂诺
'da'gen'lie'de 达根列德
'da'hei'jiang'zhi 大黑将志
'da'jiao'jie'wei 大脚解围
'da'jiao'kai'chu 大脚开出
'da'jin'jiao 打近角
'da'ka'a'ba'ha'ni 达卡阿巴哈尼
'da'ka'mu'han'mu'de 达卡穆罕穆德
'da'kao'te 达考特
'da'ke'si'ta 达科斯塔
'da'ke'te 达科特
'da'kong'zhi'qiu 打控制球
'da'la'bo'na 达拉博纳
'da'la'wa'lai 达拉瓦莱
'da'li'ao'luo'de'li'ge'si 达里奥罗德里格斯
'da'li'ao'pa'suo'ni 达里奥帕索尼
'da'li'shan'de'luo 达历山德罗
'da'li'wu'si'wa'sai'er 达里乌斯瓦塞尔
'da'lian'shi'de 大连实德
'da'lun'bin'te 达伦宾特
'da'lun'jing'ji 达伦竞技
'da'ma'ke'luo'xi 大马可罗西
'da'mei'tao'er 达梅陶尔
'da'meng'ge'lai 达蒙格莱
'da'meng'te'ji'ao 大蒙特基奥
'da'mi'en'le'ta'lei'qi 达米恩勒塔雷奇
'da'mi'en'yue'han'xun 达米恩约翰逊
'da'mi'er'ka'li'man 达米尔卡里曼
'da'mi'la'nuo 达米拉诺
'da'mi'la'nuo'ze'luo'ni 达米拉诺泽罗尼
'da'mi'ya 达米亚
'da'mi'ya'nuo 达米亚诺
'da'mi'ya'nuo'fei'luo'nei'di 达米亚诺费罗内蒂
'da'mo'ta 达莫塔
'da'ni'a'er'wei'si 达尼阿尔维斯
'da'ni'ai'er'a'er'wei'si 达尼埃尔阿尔维斯
'da'ni'ai'er'ke'lu'zi 达尼埃尔克鲁兹
'da'ni'ao'bei'di'ya 达尼奥贝蒂亚
'da'ni'bao'di'si'ta 达尼保蒂斯塔
'da'ni'fei'er'nan'de'si 达尼费尔南德斯
'da'ni'hao'er 达尼豪尔
'da'ni'luo 达尼洛
'da'ni'luo'pei'si 达尼洛佩斯
'da'ni'ma'luo 达尼马罗
'da'ni'mi'er'si 达尼米尔斯
'da'ni'pa'lei'yue 达尼帕雷约
'da'ni'pu'lan'qie'li'ya 达尼普兰切里亚
'da'po'huai'qiu 打破坏球
'da'qie'wei'li 达切维利
'da'qiu'zu'qiu'hui 大邱足球会
'da'ren'qiang 搭人墙
'da'shi'hua 达施华
'da'si'hua 达斯华
'da'si'jiao 打死角
'da'si'tuo'li 达斯托利
'da'tian'shi'min 大田市民
'da'tui'ji'rou'la'shang 大腿肌肉拉伤
'da'wei 大卫
'da'wei'dao'sen 大卫道森
'da'wei'de'gen 大卫德根
'da'wei'de'kao'zi 大卫德考兹
'da'wei'fei'er'nan'de'si 大卫费尔南德斯
'da'wei'gang'sa'lei'si 大卫冈萨雷斯
'da'wei'hui'te'er 大卫惠特尔
'da'wei'ke'nuo'li 大卫科诺利
'da'wei'ku'la'er 大卫库拉尔
'da'wei'lu'yi'si 大卫路易斯
'da'wei'luo'bo'sen 大卫罗伯森
'da'wei'ma'ding 大卫马丁
'da'wei'ma'shao'er 大卫马绍尔
'da'wei'mo'fei 大卫墨菲
'da'wei'pi'sa'luo 大卫皮萨罗
'da'wei'qiong'si 大卫琼斯
'da'wei'su'ya'suo 大卫苏亚索
'da'wei'tang'pu'sen 大卫汤普森
'da'wei'xi'li 大卫希利
'da'wei'xi'mang 大卫西芒
'da'xi'er'wa 达席尔瓦
'da'yan'chang'qi 打延长期
'da'yi'er'mo'fei 达伊尔默菲
'da'yi'nei'li 达伊内利
'da'yu'shi'dai 大羽时代
'da'yuan'jiao 打远角
'da'zhong'yi'lang 大冢一朗
'dai'bu'le'sen 黛布勒森
'dai'er 代尔
'dai'le'man'si 戴勒曼斯
'dai'ni'zi'li 代尼兹利
'dai'ni'zi'li'ti'yu 代尼兹利体育
'dai'qin'hua 代钦华
'dai'qiu'guo'ren 带球过人
'dai'qiu'tu'po 带球突破
'dai'qiu'zhuan'shen 带球转身
'dai'wei'ba'lai'li 戴维巴莱里
'dai'wei'bi'ao'di'ni 戴维比奥迪尼
'dai'wei'de 戴维德
'dai'wei'fei'er'nan'de'si 戴维费尔南德斯
'dai'wei'fu'zuo'ji'qi 戴维弗佐吉奇
'dai'wei'jia'xi'ya 戴维加西亚
'dai'wei'ka'si'te'luo 戴维卡斯特罗
'dai'wei'ke'bei'nuo 戴维科贝诺
'dai'wei'li'lei 戴维利雷
'dai'wei'luo'pei'si 戴维洛佩斯
'dai'wei'mo'luo 戴维莫罗
'dai'wei'na'wa'luo 戴维纳瓦罗
'dai'wei'pu'lie'tuo 戴维普列托
'dai'wei'si 戴维斯
'dai'wei'suo'mei'er 戴维索梅尔
'dai'wei'wei'er 戴维威尔
'dai'wei'xi'er'wa 戴维席尔瓦
'dai'wei'zhan'mu'si 戴维詹姆斯
'dai'wei'zuo'bo'li 戴维佐博里
'dai'xian'rong 戴宪荣
'dai'ya'ye'ya 戴亚耶亚
'dai'yuan'lu 戴元璐
'dai'zhen'peng 戴振鹏
'dan'ai'fu'sen 丹艾弗森
'dan'bin'ni'shi'liu'lang'zhe 淡宾尼士流浪者
'dan'ci'shu'te 丹茨舒特
'dan'dao'qiu 单刀球
'dan'de'li'wu 淡德利乌
'dan'ge'ma'yi'er 丹格马伊尔
'dan'mai'cai'pan 丹麦裁判
'dan'mai'lian'sai 丹麦联赛
'dan'ni'ai'er 丹尼埃尔
'dan'ni'ai'er'ba'li 丹尼埃尔巴利
'dan'ni'chen 丹尼臣
'dan'ni'er'a'da'ni 丹尼尔阿达尼
'dan'ni'er'a'duo 丹尼尔阿多
'dan'ni'er'a'ge 丹尼尔阿格
'dan'ni'er'bo'ta'nuo'wa 丹尼尔波塔诺瓦
'dan'ni'er'da'yi'nuo 丹尼尔达伊诺
'dan'ni'er'de'sai'na 丹尼尔德塞纳
'dan'ni'er'jian'sen 丹尼尔简森
'dan'ni'er'kong'di 丹尼尔孔蒂
'dan'ni'er'la'jia'zu 丹尼尔拉加祖
'dan'ni'er'man'ni'ni 丹尼尔曼尼尼
'dan'ni'er'pa'qie'ke 丹尼尔帕切科
'dan'ni'er'qi'ka 丹尼尔奇卡
'dan'ni'fu'si 丹尼夫斯
'dan'ni'lan'zha'te 丹尼兰扎特
'dan'ni'luo'si 丹尼罗斯
'dan'ni'mi'er'si 丹尼米尔斯
'dan'ni'si'ge'luo'te 丹尼斯格罗特
'dan'ni'si'han'sen 丹尼斯汉森
'dan'ni'si'huo'er'mu 丹尼斯霍尔姆
'dan'ni'si'ka'lin'ke'fu 丹尼斯卡林科夫
'dan'ni'si'si'di'ge'fei'er'de 丹尼斯斯蒂格费尔德
'dan'ni'si'suo'lun'sen 丹尼斯索伦森
'dan'ni'xin'pu'sen 丹尼辛普森
'dan'nu'bi'ao 丹奴比奥
'dan'quan'tuo'chu 单拳托出
'dan'shi'mi'si 丹史密斯
'dan'shou'zhi'qiu 单手掷球
'dan'ying'ge'si'tai'de 丹英格斯泰德
'dang'yun'fei 党云飞
'dao'ben'run'yi 稻本润一
'dao'di'chan'she 倒地铲射
'dao'di'sao'she 倒地扫射
'dao'en 道恩
'dao'ge'la'si 道格拉斯
'dao'gou'qiu 倒勾球
'dao'gou'she'men 倒勾射门
'dao'jiao 倒脚
'dao'sen 道森
'dao'yuan'shun 稻垣顺
'de'a'bu'lu 德阿布鲁
'de'a'sen'di'si 德阿森蒂斯
'de'an'dong'ni 德安东尼
'de'bi 德比
'de'bi'jun 德比郡
'de'bi'xie'er 德比谢尔
'de'bi'ya'xi 德比亚西
'de'bu'luo 德布罗
'de'bu'qi 德布奇
'de'di'ke'er 德迪克尔
'de'di'qi 德蒂奇
'de'er'bo'te 德尔波特
'de'er'bu'lu'ke 德尔布鲁克
'de'er'bu'lv'ke 德尔布吕克
'de'er'fen 德尔芬
'de'er'fo'nei'si'ke 德尔佛内斯科
'de'er'ge'luo'suo 德尔格罗索
'de'er'huo'mo 德尔霍莫
'de'er'huo'nuo 德尔霍诺
'de'er'jia'duo 德尔加多
'de'er'ke'er 德尔科尔
'de'er'long'ba'ke'li 德尔隆巴克利
'de'er'nei'li 德尔内里
'de'er'nei'luo 德尔内罗
'de'er'ni'si 德尔尼斯
'de'er'pi'ai'er 德尔皮埃尔
'de'er'pi'ye'luo 德尔皮耶罗
'de'er'sai'ke 德尔塞克
'de'er'wei'qiao 德尔维乔
'de'er'wei'te 德尔维特
'de'er'zhu'di'sai 德尔朱迪塞
'de'fei'er'mu 德费尔姆
'de'fen'di 德芬迪
'de'fu'er 德福尔
'de'fu'lan'de'lei 德弗兰德雷
'de'ge'la'fu 德格拉夫
'de'ge'li'fu 德格里夫
'de'ge'lu'te 德格鲁特
'de'gen 德根
'de'gu'si'man 德古斯曼
'de'guo'lian'sai 德国联赛
'de'hai'mei'er'si 德海梅尔斯
'de'hei'lan'la'ha'han 德黑兰拉哈汉
'de'hei'lan'pei'kan 德黑兰佩坎
'de'ji'bu'li'er'xi'sai 德吉布里尔西塞
'de'ka'er'ma'er'ge 德卡尔马尔戈
'de'ka'ni'ao 德卡尼奥
'de'ke 德科
'de'ke'er'wei'er 德克尔维尔
'de'ke'lai'er 德克莱尔
'de'ke'lu'yi'ke 德克鲁伊克
'de'ke'sa'ka'tuo'ke'pa'si 德科萨卡托科帕斯
'de'la'fei'ao'lei 德拉费奥雷
'de'la'gu'di'nuo'wei'qi 德拉古蒂诺维奇
'de'la'ke'lu'zi 德拉克鲁兹
'de'la'lei'de 德拉雷德
'de'la'ni'ya 德拉尼亚
'de'la'nuo'xi'er 德拉诺希尔
'de'la'pei'na 德拉佩纳
'de'le'er'ma 德勒尔马
'de'le'meng'te 德勒蒙特
'de'lei'ai'er 德雷埃尔
'de'lei'er 德雷尔
'de'lei'ke'a'sa'mo'a 德雷克阿萨莫阿
'de'lei'ke'yang 德雷克扬
'de'lei'si'dun'di'na'mo 德累斯顿迪纳摩
'de'lei'ye'er 德雷耶尔
'de'li'ao'luo'xi 德里奥罗西
'de'li'ao'tuo'lai'duo 德里奥托莱多
'de'li'cheng 德里城
'de'li'de'er 德里德尔
'de'li'fu'er 德里弗尔
'de'li'sen 德里森
'de'lu'du'yin 德鲁杜因
'de'lu'ka 德卢卡
'de'lu'ka'si 德卢卡斯
'de'lu'xi'ya 德卢西亚
'de'lu'yi'te 德鲁伊特
'de'lun'te 德伦特
'de'luo'ai'ke 德罗埃克
'de'luo'ba 德罗巴
'de'luo'bu'ni 德罗布尼
'de'luo'er'ge 德罗尔格
'de'luo'he'da'lian 德罗赫达联
'de'luo'si'te 德罗斯特
'de'luo'xi 德罗西
'de'luo'yi'er'si'deng 德罗伊尔斯登
'de'luo'yin 德罗因
'de'ma'er'di'nuo 德马尔蒂诺
'de'mi'er 德米尔
'de'mi'kai'li'si 德米凯利斯
'de'mi'qie'li'si 德米切利斯
'de'mi'ta'si 德米塔斯
'de'nei'bo'mu 德内博姆
'de'ni'er'sen 德尼尔森
'de'ni'ge'li'si 德尼格里斯
'de'rong 德容
'de'sai'ge'lie 德塞格列
'de'sai'na 德塞纳
'de'sang'di'si 德桑蒂斯
'de'sang'ke'di'si 德桑克蒂斯
'de'sha'he'te 德沙赫特
'de'shang 德尚
'de'si'cha'te 德斯查特
'de'si'ka'er'jia 德斯卡尔加
'de'si'ka'li'de'yun'dong 德斯卡里德运动
'de'si'mei'te 德斯梅特
'de'si'te'luo 德斯特罗
'de'su'te'er 德苏特尔
'de'wei'er'de 德维尔德
'de'wei'er'di'ke'si 德维尔迪克斯
'de'wei'sai 德维塞
'de'wei'xie'er 德维谢尔
'de'wu'er'fu 德伍尔夫
'de'wu'li'shao'wei'er 德武利绍威尔
'de'wu'lian'te 德武连特
'de'wu'lie'ge'er 德武列格尔
'de'wu'lie'si 德武列斯
'de'xi'er'wei'si'te'li 德西尔维斯特里
'de'ya'jia 德亚加
'de'ya'jia'he 德亚加赫
'de'you'jia'deng 德尤加登
'de'yue'ka'fu 德约卡夫
'deng'bo'si'qi 登波斯奇
'deng'di'lian 邓迪联
'deng'en 邓恩
'deng'fu'mu'lin'jing'ji 邓弗姆林竞技
'deng'jia 邓加
'deng'le'jun 邓乐军
'deng'peng'peng 邓蓬鹏
'deng'pu'xi 邓普希
'deng'si'mo'er 登斯莫尔
'deng'xiao'fei 邓小飞
'deng'zhuo'xiang 邓卓祥
'di'ao'ge 迪奥戈
'di'ao'ge'lin'kong 迪奥戈林孔
'di'ao'ge'wa'lun'te 迪奥戈瓦伦特
'di'ao'li'ji 迪奥利吉
'di'ao'lu'xiu'si 蒂奥卢修斯
'di'ao'pu 迪奥普
'di'bao'si'ji 迪保斯基
'di'bi'li'si'di'na'mo 第比利斯迪纳摩
'di'bi'li'si'luo'ke'mo'te'fu 第比利斯罗克莫特夫
'di'bi'ya'lu 迪比亚路
'di'da 迪达
'di'di 迪迪
'di'di'ai'a'jia'te 迪迪埃阿加特
'di'di'er'zuo'ke'la 迪迪尔佐科拉
'di'du'li'ka 迪杜里卡
'di'en'da'li 蒂恩达利
'di'en'mai'ke'tang'na 迪恩麦克唐纳
'di'en'xie'er'zi 迪恩谢尔兹
'di'er'di'ke 迪尔迪克
'di'er'luo'dian 第二落点
'di'er'men'jiang 第二门将
'di'er'na 迪尔纳
'di'er'shou'men'yuan 第二守门员
'di'fei'te 蒂费特
'di'fu 迪福
'di'fu'dun'cheng 蒂弗顿城
'di'gao 迪高
'di'ge'mu'yun'dong 迪格姆运动
'di'ji'ya'ke'mo 迪吉亚科莫
'di'jia'de 迪加德
'di'ka'er'mi'ni 迪卡尔米尼
'di'ke 蒂科
'di'ke 迪克
'di'ke'ai'de'wo'ka'te 迪克艾德沃卡特
'di'ke'fu 迪科夫
'di'ke'man 迪克曼
'di'la'er 迪拉尔
'di'la'gao'li 迪拉高里
'di'la'na'pa'er'ti'zha'ni 地拉那帕尔提扎尼
'di'la'si'bo'er 蒂拉斯波尔
'di'li'bo'ji 蒂里博基
'di'li'bu'fan'lu'jun'ni'bo'er 狄里布凡陆军尼泊尔
'di'luo'er'wu'shi 蒂罗尔武士
'di'luo'lei'tuo 迪洛雷托
'di'ma'li'ya 迪马里亚
'di'ma'te'ao 迪马特奥
'di'mi'qie'lai 迪米切莱
'di'mi'te'li'se'qiao'fu 迪米特里瑟乔夫
'di'mi'te'luo'fu'si'ji 迪米特罗夫斯基
'di'mian'jin'gong 地面进攻
'di'mo'luo'si'te 蒂莫罗斯特
'di'mu 蒂姆
'di'mu'ka'xi'er 蒂姆卡希尔
