'an'ji'shu'fen'bu 按极数分布
'tie'xin 铁芯
'tie'xin'cheng'ben 铁芯成本
'tie'xin'die'hou 铁芯叠厚
'tie'xin'die'ya'xi'shu 铁芯叠压系数
'tie'xin'fei'liao 铁芯废料
'tie'xin'jia'ge 铁芯价格
'tie'xin'mao'zhong 铁芯毛重
'tie'xin'mi'du 铁芯密度
'tie'xin'you'xiao'chang'du 铁芯有效长度
'tong'bu 同步
'tong'bu'ci'zu'dian'ji 同步磁阻电机
'tong'bu'dian'dong'ji 同步电动机
'tong'bu'dian'ji 同步电机
'tong'bu'dian'kang 同步电抗
'tong'bu'fa'dian'ji 同步发电机
'tong'bu'jin'xiang'ji 同步进相机
'tong'bu'zhuan'su 同步转速
'tong'de'jia'ge 铜的价格
'tong'hao 铜耗
'tong'lu 通路
'tong'sun 铜损
'tong'xian 铜线
'tong'xiang 同相
'tong'xin'du 同心度
'tong'zhou'de 同轴的
'tu'ji 凸极
'tu'jiao 涂胶
'tu'tai 凸台
'tu'yuan'guan 凸缘管
'tui'huo 退火
'wai'bao'zhuang'gai 外包装盖
'wai'bao'zhuang'pan 外包装盘
'wai'bu'lian'jie'tu 外部连接图
'wai'bu'ling'jian'lian'jie 外部零件连接
'wai'bu'ling'jian'lian'jie'qi 外部零件连接器
'wai'bu'ling'jian'lian'jie'tu 外部零件连接图
'wai'chi'suo'jin'dian'quan 外齿锁紧垫圈
'wai'jie'xian'tu 外接线图
'wai'te'xing 外特性
'wai'xing'chi'cun 外形尺寸
'wai'xing'tu 外形图
'wai'zhi'xiang 外纸箱
'wei'chang'kuo'liu'fa'dian'ji 微场扩流发电机
'wei'dian'ji 微电机
'wei'fa 微法
'wei'fen 微分
'wei'kong'zhi'qi 微控制器
'wei'yi'dian'liu 位移电流
'wei'zhi'zi'jian'ce 位置自检测
'wen'ding 稳定
'wen'ding'bian'ya'qi 稳定变压器
'wen'ding'qi 稳定器
'wen'ding'wang'luo 稳定网络
'wen'du'bao'hu'qi'zu'zhuang 温度保护器组装
'wen'sheng'shi'yan 温升试验
'wen'tai'tiao'jian 稳态条件
'wo'liu 涡流
'wu'cha'jian'ce'qi 误差检测器
'wu'cha'xin'hao 误差信号
'wu'chuan'gan'qi'de 无传感器的
'wu'gong 无功
'wu'gong'bu'chang 无功补偿
'wu'gong'dian'liu 无功电流
'wu'gong'fen'liang 无功分量
'wu'gong'fu'zai 无功负载
'wu'gong'gong'lv 无功功率
'wu'gong'sun'hao 无功损耗
'wu'jin'bu'jian 五金部件
'wu'qiong'da'dian'ya'zeng'yi 无穷大电压增益
'wu'ren'zhi'shou'dian'zhan 无人值守电站
'wu'shua'zhi'liu'dian'ji 无刷直流电机
'wu'yin'xian'lian'jie'qi 无引线连接器
'wu'yuan'dian'lu'yuan'jian 无源电路元件
'wu'zhou'cheng'de 无轴承的
'xia'jiang'lv 下降率
'xia'jiang'te'xing 下降特性
'xia'xian 下限
'xian'bo'qi 限波器
'xian'dian'dong'shi 线电动势
'xian'dian'liu 线电流
'xian'fu'qi 限幅器
'xian'lu'ban 线路板
'xian'lu'bu'chang'qi 线路补偿器
'xian'quan'rao'zu 线圈绕组
'xian'shu 线束
'xian'xing'qu 线性区
'xiang'dian'dong'shi 相电动势
'xiang'jian'jia'jiao 相间夹角
'xiang'jiao'dian'quan 橡胶垫圈
'xiang'jiao'shuai'shui'quan 橡胶甩水圈
'xiang'shu 相数
'xiang'wei'cha 相位差
'xiang'wei'tiao'zhi 相位调制
'xiang'xiang'liang'fang'cheng 向相量方程
'xiao'cao'fen'bu'lei'xing 小槽分布类型
'xiao'dian'ji 小电机
'xiao'lv 效率
'xiao'pi'sheng'chan 小批生产
'xiao'xin'hao'fang'da'qi 小信号放大器
'xie'bo'de 谐波的
'xie'cao'kuan'du 斜槽宽度
'xie'jian'ping'di'cao 斜肩平底槽
'xie'lou 泄漏
'xie'lv 斜率
'xing'neng'ce'shi 性能测试
'xing'xing 星形
'xu'bu 虚部
'xu'dian'chi 蓄电池
'xuan'zhuan'ci'chang 旋转磁场
'ya'suo'tan'huang 压缩弹簧
'ya'zhu 压铸
'ya'zhu'duan'gai 压铸端盖
'yan'shi 延时
'yang'ji 样机
'yang'pin 样品
'yao'bai 摇摆
'yao'bi'kai'guan 摇臂开关
'yao'ce 遥测
'yao'xin 遥信
'yi'bu'dian'dong'ji 异步电动机
'yi'bu'dian'ji 异步电机
'yi'pin'jian'kong 移频键控
'yin'chu'xian 引出线
'yin'chu'xian'duan'zi'zhuang'pei 引出线端子装配
'yin'chu'xian'tu 引出线图
'yin'chu'xian'zu'jian 引出线组件
'yin'xian 引线
'yin'xian'duan'zi'zu'he 引线端子组合
'yin'xian'zu 引线组
'ying'zhi'huo'pan'shuo'ming 硬纸货盘说明
'ying'zhi'xiang'shuo'ming 硬纸箱说明
'yong'ci 永磁
'yong'ci'ti 永磁体
'yong'ci'tong'bu'dian'ji 永磁同步电机
'yong'liu 涌流
'you'gong 有功
'you'gong'fen'liang 有功分量
'you'gong'fu'zai 有功负载
'you'gong'gong'lv 有功功率
'you'gong'sun'hao 有功损耗
'you'shou'ding'ze 右手定则
'you'xiao'cai'liao'jing'zhong 有效材料净重
'you'xiao'chuan'lian'zong'za'shu 有效串联总匝数
'you'xiao'zhi 有效值
'you'yuan'dian'lu'yuan'jian 有源电路元件
'yu'du 裕度
'yuan'di'cao 圆底槽
'yuan'dong'ji 原动机
'yuan'jian'she'bei 元件设备
'yuan'sheng'dian'chi 原生电池
'yuan'shi'lu 院士路
'yun'xing'dian'rong 运行电容
'yun'xing'dian'rong'ji'sheng'dian'zu 运行电容寄生电阻
'yun'xing'zhuang'tai 运行状态
'yun'zhuan'dian'rong 运转电容
'za'bi 匝比
'zai'bo 载波
'zai'sheng'hou'fan'kui'fang'da 再生后反馈放大
'zan'tai'wen'ding 暂态稳定
'zeng'ci 增磁
'zeng'jia 增加
'zeng'ya 增压
'zeng'yi 增益
'zhan'bo'dian'lu 斩波电路
'zhao'ji'dian'ji 罩极电机
'zhen'dang 振荡
'zheng'huo 正火
'zheng'liu'qi 整流器
'zheng'liu'zi 整流子
'zheng'shu'biao'qian 证书标签
'zheng'xian'ci'mi'du 正弦磁密度
'zheng'xian'shi'jian'han'shu 正弦时间函数
'zheng'xiang'chuan'di'han'shu 正向传递函数
'zheng'xu'zu'kang 正序阻抗
'zhi'cheng 支撑
'zhi'cheng'chen'dian 支撑衬垫
'zhi'cheng'chen'dian'zu'jian 支撑衬垫组件
'zhi'dian'pan 支点盘
'zhi'dong'qi 制动器
'zhi'dong'zhuan'ju 制动转矩
'zhi'jie'zhuan'ju'kong'zhi 直接转矩控制
'zhi'kou 止口
'zhi'liu 直流
'zhi'liu'dian'dong'ji 直流电动机
'zhi'liu'dian'ji 直流电机
'zhi'liu'fa'dian'ji 直流发电机
'zhi'liu'wu'shua'dian'ji 直流无刷电机
'zhi'lu 支路
'zhi'xiang 纸箱
'zhi'xiang'bao'zhuang'shuo'ming 纸箱包装说明
'zhi'xiang'biao'qian 纸箱标签
'zhi'xing'dian'dong'ji 执行电动机
'zhi'zhou 直轴
'zhi'zhou'shun'bian'shi'jian'chang'shu 直轴瞬变时间常数
'zhong'jian'rao'zu 中间绕组
'zhong'pin'dai 中频带
'zhong'xing'dian 中性点
'zhong'ya 中压
'zhou'cheng 轴承
'zhou'cheng'bao'chi'quan 轴承保持圈
'zhou'cheng'bo'xing'dian'quan 轴承波形垫圈
'zhou'cheng'chen'tao 轴承衬套
'zhou'cheng'dian'pian 轴承垫片
'zhou'cheng'fang'chen'gai 轴承防尘盖
'zhou'cheng'shi 轴承室
'zhou'cheng'tiao'zheng'dian'quan 轴承调整垫圈
'zhou'cheng'ya'huang 轴承压簧
'zhou'cheng'ya'quan 轴承压圈
'zhou'pi 轴坯
'zhou'tao'guan 轴套管
'zhou'xiang'cuan'dong 轴向窜动
'zhou'xiang'fu'zai 轴向负载
'zhou'zhuang'pei 轴装配
'zhu'lv 铸铝
'zhu'lv'duan'gai 铸铝端盖
'zhu'lv'zhuan'zi 铸铝转子
'zhu'rao'zu 主绕组
'zhu'rao'zu'tong'zhong 主绕组铜重
'zhu'rao'zu'xi'shu 主绕组系数
'zhu'su 注塑
'zhu'ti'zhou 主体轴
'zhu'xian 主线
'zhu'xian'dian'mi 主线电密
'zhu'xiang'bing'lian'zhi'lu'shu 主相并联支路数
'zhu'xiang'bing'rao'gen'shu 主相并绕根数
'zhu'xiang'chuan'lian'dao'ti'shu 主相串联导体数
'zhu'xiang'dao'xian'cai'liao 主相导线材料
'zhu'xiang'dian'liu 主相电流
'zhu'xiang'dian'liu'jiao 主相电流角
'zhu'xiang'dian'zu 主相电阻
'zhu'xiang'jue'yuan'hou'zhi'jing 主相绝缘后直径
'zhu'xiang'lou'kang 主相漏抗
'zhu'xiang'mei'ceng'dao'ti'shu 主相每层导体数
'zhu'xiang'rao'zu'mi'du 主相绕组密度
'zhu'xiang'rao'zu'tiao'zheng'chang'du 主相绕组调整长度
'zhu'xiang'rao'zu'wei'zhi 主相绕组位置
'zhu'xiang'shu'ju 主相数据
'zhu'xiang'tong'zhong'liang 主相铜重量
'zhu'xiang'xian'gui'bing'rao'gen'shu 主相线规并绕根数
'zhu'xiang'xian'jing 主相线径
'zhu'yao'xing'neng'can'shu 主要性能参数
'zhuan'cha'lv 转差率
'zhuan'ju'jiao 转矩角
'zhuan'mei'fen 转每分
'zhuan'mei'miao 转每秒
'zhuan'su 转速
'zhuan'su'li'ju'te'xing'qu'xian 转速力矩特性曲线
'zhuan'zhou 转轴
'zhuan'zi 转子
'zhuan'zi'can'shu 转子参数
'zhuan'zi'cao'shu 转子槽数
'zhuan'zi'cao'xing 转子槽型
'zhuan'zi'cao'xing 转子槽形
'zhuan'zi'chi'chang 转子齿长
'zhuan'zi'chi'ci'mi 转子齿磁密
'zhuan'zi'chi'ju 转子齿距
'zhuan'zi'chi'kuan 转子齿宽
'zhuan'zi'chong'pian 转子冲片
'zhuan'zi'dao'tiao'jia'ge 转子导条价格
'zhuan'zi'dao'tiao'mi'du 转子导条密度
'zhuan'zi'dao'tiao'zhong'liang 转子导条重量
'zhuan'zi'dian'liu 转子电流
'zhuan'zi'dian'zu 转子电阻
'zhuan'zi'dian'zu'xi'shu 转子电阻系数
'zhuan'zi'duan'gai'zhuang'pei 转子端盖装配
'zhuan'zi'duan'huan 转子端环
'zhuan'zi'duan'huan'jia'ge 转子端环价格
'zhuan'zi'duan'huan'mi'du 转子端环密度
'zhuan'zi'duan'huan'zhong'liang 转子端环重量
'zhuan'zi'e'chang 转子轭长
'zhuan'zi'e'ci'mi 转子轭磁密
'zhuan'zi'e'gao 转子轭高
'zhuan'zi'jing'zhong 转子净重
'zhuan'zi'lv'cheng'ben 转子铝成本
'zhuan'zi'lv'zhong 转子铝重
'zhuan'zi'nei'jing 转子内径
'zhuan'zi'pian 转子片
'zhuan'zi'rao'zu 转子绕组
'zhuan'zi'tie'sun'xi'shu 转子铁损系数
'zhuan'zi'tie'xin 转子铁芯
'zhuan'zi'tie'xin'chang'du 转子铁芯长度
'zhuan'zi'tie'xin'die'ya'xi'shu 转子铁芯叠压系数
'zhuan'zi'tie'xin'mi'du 转子铁芯密度
'zhuan'zi'tie'xin'xing'hao 转子铁芯型号
'zhuan'zi'tie'xin'zhong'liang 转子铁芯重量
'zhuan'zi'tie'xin'zi'mao 转子铁芯自铆
'zhuan'zi'xie'cao'kuan'du 转子斜槽宽度
'zhuan'zi'zhuang'pei 转子装配
'zhuang'ding'ding 装订钉
'zhuang'ji'rong'liang 装机容量
'zhuang'pei 装配
'zhuang'pei'tu 装配图
'zhuang'tai'can'shu 状态参数
'zhui'xing'sai 锥形塞
'zi'ding'yi'di'yi'lei'zheng'xian 自定义第一类正弦
'zi'dong'dian'ya'tiao'zheng'qi 自动电压调整器
'zi'dong'fu'wei'wen'du'bao'hu'qi 自动复位温度保护器
'zi'gan 自感
'zi'gong'luo'ding 自攻螺钉
'zi'li 自励
'zi'li'guo'cheng 自励过程
'zi'pian'zhi'dian'zu 自偏置电阻
'zi'shi'ying'kong'zhi 自适应控制
'zi'shi'ying'xi'tong 自适应系统
'zi'suo'dian'quan 自锁垫圈
'zi'tiao'xin'hua'dong'zhou'cheng 自调心滑动轴承
'zong'sun'hao 总损耗
'zong'zhong'liang 总重量
'zu'jian 组件
'zu'kang 阻抗
'zu'ni 阻尼
'zu'xing 阻性
'zui'da'zhuan'ju 最大转矩
'zui'da'zhuan'ju 最大转距
'zui'da'zhuan'ju'bei'shu 最大转矩倍数
'zuo'shou'ding'ze 左手定则
