'ai'ci'qiong'du 哀此茕独
'fei'guo'zhi'zai'ye 非国之灾也
'fei'jue'xuan'huang 匪厥玄黄
'fei'li'wu'xing'ye 非礼无行也
'fei'li'zhi'li 非礼之礼
'fei'qi'dao 非其道
'fei'qi'jun'bu'shi 非其君不事
'fei'qi'min'bu'shi 非其民不使
'fei'qi'you'bu'you 非其友不友
'fei'ren'wu'wei'ye 非仁无为也
'fei'ren'ye 非人也
'fei'shen'zhi'suo'neng'wei'ye 非身之所能为也
'fei'suo'wei'yu'ye 非所谓逾也
'fei'suo'yi'nei'jiao'yu'ru'zi'zhi'fu'mu'ye 非所以内交於孺子之父母也
'fei'suo'yi'yao'yu'yu'xiang'dang'peng'you'ye 非所以要誉於乡党朋友也
'fei'tu'wu'yi 非徒无益
'fei'wei'ren 非为人
'fei'wei'you'qiao'mu'zhi'wei'ye 非谓有乔木之谓也
'fei'wo'tu'ye 非我徒也
'fei'wo'ye 非我也
'fei'wo'zhi'ye 非我志也
'fei'xian'wang'zhi'dao 非先王之道
'fei'xie'tai'shan'yi'chao'bei'hai'zhi'lei'ye 非挟太山以超北海之类也
'fei'xin'fu'ye 非心服也
'fei'xing'ren'yi'ye 非行仁义也
'fei'ye 非也
'fei'yi'xi'er'qu'zhi'ye 非义袭而取之也
'fei'yi'zhi'yi 非义之义
'fei'you'zhi'suo'zhi'ye 非由之所之也
'fei'ze'er'qu'zhi 非择而取之
'fei'zhi'wei'guan'mei'ye 非直为观美也
'fen'ren'yi'cai'wei'zhi'hui 分人以财谓之惠
'fen'tian'zhi'lu 分田制禄
'feng'huang'zhi'yu'fei'niao 凤凰之於飞鸟
'feng'meng'xue'she'yu'yi 逢蒙学射於羿
'fou 否
'fu 富
'fu'bu'zu'yi'chu'qi'zi 俯不足以畜妻子
'fu'chu'zhou'er'wang'bu'yu'zhui'ye 夫出昼而王不予追也
'fu'dao'yi'er'yi'yi 夫道一而已矣
'fu'er'zi'zhi'yong 夫二子之勇
'fu'fu'jian'ji'shi'yue 夫抚剑疾视曰
'fu'fu'you'bie 夫妇有别
'fu'gong'ming'gao'yi'xiao'zi'zhi'xin'wei'bu'ruo'shi'jia 夫公明高以孝子之心为不若是恝
'fu'gui 富贵
'fu'gui'bu'neng'yin 富贵不能淫
'fu'guo'jun'hao'ren 夫国君好仁
'fu'he'shi'wo'zhi'yu'ci'ji'ye 夫何使我至於此极也
'fu'huan'er'gong'zhi 夫环而攻之
'fu'huo'yu'shang'yi 弗获於上矣
'fu'ji'huo'zhi'zhi 夫既或治之
'fu'jian'meng'zi 复见孟子
'fu'jin'yi'shi'ru'shan'lin 斧斤以时入山林
'fu'ku'chong 府库充
'fu'lei'si'er'zi'song'zhi'teng 负耒耜而自宋之滕
'fu'min'jin'er'hou'de'fan'zhi'ye 夫民今而後得反之也
'fu'ming'tang'zhe 夫明堂者
'fu'ming'zhi 父命之
'fu'mu'ai'zhi 父母爱之
'fu'mu'dong'e 父母冻饿
'fu'mu'e'zhi 父母恶之
'fu'mu'shi'shun'wan'lin 父母使舜完廪
'fu'mu'zhi'bu'wo'ai 父母之不我爱
'fu'mu'zhi'xin 父母之心
'fu'qi'bu'yi'er'zeng'zi'yan'zhi 夫岂不义而曾子言之
'fu'ren 夫仁
'fu'ren'bi'zi'wu 夫人必自侮
'fu'ren'can'sao'yi'wei'yi'fu 夫人蚕缫以为衣服
'fu'ren'you'er'xue'zhi 夫人幼而学之
'fu'ren'zheng'bi'zi'jing'jie'shi 夫仁政必自经界始
'fu'shei'yu'wang'di 夫谁与王敌
'fu'sheng 夫圣
'fu'shi'lu 夫世禄
'fu'shi'ye 夫士也
'fu'shi'zhang'min'mo'ru'de 辅世长民莫如德
'fu'shi'zi'e'zhi'qi'bu'ke'ye 夫时子恶知其不可也
'fu'teng 夫滕
'fu'tian'wei'yu'ping'zhi'tian'xia'ye 夫天未欲平治天下也
'fu'wei'ye 弗为也
'fu'wo'nai'xing'zhi 夫我乃行之
'fu'wu'zhi'bu'qi 夫物之不齐
'fu'xin'yu'you'yi 弗信於友矣
'fu'xiong'bai'guan'jie'bu'yu 父兄百官皆不欲
'fu'xiong'ye 父兄也
'fu'ye 夫也
'fu'yi'bai'mu'zhi'bu'yi'wei'ji'you'zhe 夫以百亩之不易为己忧者
'fu'yi'zi'xin'yi'wei'ren'zhi'qin'qi'xiong'zhi'zi 夫夷子信以为人之亲其兄之子
'fu'yin 夫蚓
'fu'yin'gong'zhi'ta 夫尹公之他
'fu'yin'shi'e'zhi'yu'zai 夫尹士恶知予哉
'fu'you'tian'xia 富有天下
'fu'zhang'zi 夫章子
'fu'zhao'wu'nuo 父召无诺
'fu'zhi 夫志
'fu'zhi'yi'zhi 辅之翼之
'fu'zhi'zhi'yan 夫志至焉
'fu'zi'bi'ju'yi'yu'ci'yi 夫子必居一於此矣
'fu'zi'bu'xiang'jian 父子不相见
'fu'zi'dang'lu'yu'qi 夫子当路於齐
'fu'zi'he'wei'bu'zhi'gong 夫子何为不执弓
'fu'zi'ji'sheng'yi 夫子既圣矣
'fu'zi'jia'qi'zhi'qing'xiang 夫子加齐之卿相
'fu'zi'jiao'wo'yi'zheng 夫子教我以正
'fu'zi'qing'shan 父子青善
'fu'zi'ruo'you'bu'yu'se'ran 夫子若有不豫色然
'fu'zi'sheng'yi'hu 夫子圣矣乎
'fu'zi'wei'chu'yu'zheng'ye 夫子未出於正也
'fu'zi'wo'er'bu'ting 夫子卧而不听
'fu'zi'xiang'yi 父子相夷
'fu'zi'yan'zhi 夫子言之
'fu'zi'you'qin 父子有亲
'fu'zi'yu'zhi'you 夫子与之游
'fu'zi'yue 夫子曰
'fu'zi'zhi'bu'yuan 夫子之不援
'fu'zi'zhi'jian'bu'qing'shan 父子之间不青善
'fu'zi'zhi'wei'ye 夫子之谓也
'fu'zi'zhu'en 父子主恩
'fu'zu'yi'chu'qi'zi 俯足以畜妻子
'gai'gui 盖归
'gai'lu'wan'zhong 盖禄万锺
'gai'shang'shi'chang'you'bu'zang'qi'qin'zhe 盖上世尝有不葬其亲者
'gai'wei'zhao'jiao'zhao'shi'ye 盖微招角招是也
'gai'yi'fan'qi'ben'yi 盖亦反其本矣
'gan'ge'qi'yang 干戈戚扬
'gan'ge'zhen 干戈朕
'gan'qing 敢请
'gan'wen'fu'zi'e'hu'chang 敢问夫子恶乎长
'gan'wen'fu'zi'zhi'dong'xin 敢问夫子之动心
'gan'wen'he'wei'hao'ran'zhi'qi 敢问何谓浩然之气
'gan'wen'he'ye 敢问何也
'gan'wen'qi'suo'yi'yi 敢问其所以异
'gan'wen'suo'an 敢问所安
'gao'qi'qie'yue 告其妾曰
'gao'ze'bu'de'qu 告则不得娶
'gao'ze'bu'xia'yu'min 膏泽不下於民
'gao'ze'xia'yu'min 膏泽下於民
'gao'zi'wei'chang'zhi'yi 告子未尝知义
'gao'zi'xian'wo'bu'dong'xin 告子先我不动心
'gao'zi'yi'gao 高子以告
'gao'zi'yue 告子曰
'ge'bo'chou'xiang 葛伯仇饷
'ge'bo'fang'er'bu'si 葛伯放而不祀
'ge'bo'lv'qi'min'yao'qi'you'jiu'shi'shu'dao'zhe'duo'zhi 葛伯率其民要其有酒食黍稻者夺之
'ge'bo'shi'zhi 葛伯食之
'ge'yi'fu'ren 哿矣富人
'geng'zhe 耕者
'geng'zhe'bu'bian 耕者不变
'geng'zhe'jie'yu'geng'yu'wang'zhi'ye 耕者皆欲耕於王之野
'geng'zhe'jiu'yi 耕者九一
'gong'bi'bei'zhi 功必倍之
'gong'bu'xin'du 工不信度
'gong'dou'zi'yi'gao 公都子以告
'gong'dou'zi'yue 公都子曰
'gong'hang'zi'you'zi'zhi'sang 公行子有子之丧
'gong'jian'qi'ke'yi'sheng'yin'xiao'mao'wei'zai 恭俭岂可以声音笑貌为哉
'gong'lie'ru'bi'qi'bei'ye 功烈如彼其卑也
'gong'ming'gao'yue 公明高曰
'gong'ming'yi'yue 公明仪曰
'gong'qi'fu'mu 攻其父母
'gong'qin'qi'zhi'suo'pan 攻亲戚之所畔
'gong'shi'bi 公事毕
'gong'shi'de'da'mu 工师得大木
'gong'shi'si'zhang 弓矢斯张
'gong'shu'zi'zhi'qiao 公输子之巧
'gong'sun'chou'shang 公孙丑上
'gong'sun'chou'wen'yue 公孙丑问曰
'gong'sun'chou'xia 公孙丑下
'gong'sun'chou'yue 公孙丑曰
'gong'sun'yan 公孙衍
'gong'wei'zi'zhi'er'yi'yi 共为子职而已矣
'gong'yue 公曰
'gong'zhe'bu'wu'ren 恭者不侮人
'gong'zhe'xiao'shu'sui'zhi'zhong'wei'chang 贡者校数岁之中为常
'gou'hui'jie'ying'qi'he'ye 沟浍皆盈其涸也
'gou'wu'heng'xin 苟无恒心
'gou'yuan'yu'zhu'hou 构怨於诸侯
'gou'zhi'shi'ren'shi'er'bu'zhi'jian 狗彘食人食而不知检
'gu'bu'ke'geng'qie'wei'ye 固不可耕且为也
'gu'bu'ke'sheng'shi'ye 谷不可胜食也
'gu'bu'lao'er'ba 故不劳而霸
'gu'bu'lao'er'wang 故不劳而王
'gu'bu'shou'ye 故不受也
'gu'cong'er'zheng'zhi 故从而征之
'gu'da'wang'shi'xun'yu 故大王事獯鬻
'gu'gong'fu 古公父
'gu'guo'bu'yi'shan'xi'zhi'xian 固国不以山溪之险
'gu'hong'mi'lu 顾鸿麋鹿
'gu'jiang'chao'ye 固将朝也
'gu'jiang'da'you'wei'zhi'jun 故将大有为之君
'gu'jiu'er'hou'shi'zhi'ye 故久而後失之也
'gu'ju'zhe'you'ji'shi 故居者有积食
'gu'jun'zi'mo'da'hu'yu'ren'wei'shan 故君子莫大乎与人为善
'gu'jun'zi'you'bu'zhan 故君子有不战
'gu'jun'zi'yu'qi'zi'de'zhi'ye 故君子欲其自得之也
'gu'lu'bu'ping 谷禄不平
'gu'min'zhi'cong'zhi'ye'qing 故民之从之也轻
'gu'neng'le'ye 故能乐也
'gu'pei'ran'de'jiao'yi'hu'si'hai 故沛然德教溢乎四海
'gu'qi'ren'mo'ru'wo'jing'wang'ye 故齐人莫如我敬王也
'gu'ren'le'you'xian'fu'xiong'ye 故人乐有贤父兄也
'gu'shan'zhan'zhe'fu'shang'xing 故善战者服上刑
'gu'she'nv'suo'xue'er'cong'wo 姑舍女所学而从我
'gu'she'shi 姑舍是
'gu'sheng'ren'ye 古圣人也
'gu'sheng'wen'guo'qing 故声闻过情
'gu'shi'ban'gu'zhi'bei'zhi'ren 故事半古之倍之人
'gu'shu'bu'ke'bu'shen'ye 故术不可不慎也
'gu'sou'fen'lin 瞽瞍焚廪
'gu'sou'yu'er'tian'xia'hua 瞽瞍豫而天下化
'gu'sou'yu'er'tian'xia'zhi'wei'fu'zi'zhe'ding 瞽瞍豫而天下之为父子者定
'gu'suo'yuan'ye 固所愿也
'gu'suo'zi'jin'ye 固所自尽也
'gu'tang'zhi'yu'yi'yin 故汤之於依尹
'gu'tui'en'zu'yi'bao'si'hai 故推恩足以保四海
'gu'wang'zhi'bu'wang 故王之不王
'gu'wei'bing'zhi 故为兵之
'gu'wei'yuan'yu'zhe 故为渊鱼者
'gu'wei'zheng'zhe 故为政者
'gu'yi'yang'yi'zhi'ye 故以羊易之也
'gu'you'you'ran'yu'zhi'xie'er'bu'zi'shi'yan 故由由然与之偕而不自失焉
'gu'yu'yu'bu'ke'sheng'shi 谷与鱼不可胜食
'gu'yue 故曰
'gu'zhe 故者
'gu'zhe'bu'wei'chen'bu'jian 古者不为臣不见
'gu'zhe'guan'guo'wu'du 古者棺椁无度
'gu'zhe'yi'zi'er'jiao'zhi 古者易子而教之
'gu'zhi'dao'hu 古之道乎
'gu'zhi'jun'zi 古之君子
'gu'zhi'jun'zi'shi'hu 古之君子仕乎
'gu'zhi'ren'jie'yong'zhi 古之人皆用之
'gu'zhi'ren'ruo'bao'chi'zi 古之人若保赤子
'gu'zhi'ren'san'yue'wu'jun'ze'diao 古之人三月无君则吊
'gu'zhi'ren'suo'yi'da'guo'ren'zhe'wu'ta'yan 古之人所以大过人者无他焉
'gu'zhi'ren'wei'chang'bu'yu'shi'ye 古之人未尝不欲仕也
'gu'zhi'ren'you'xing'zhi'zhe 古之人有行之者
'gu'zhi'ren'yu'min'xie'le 古之人与民偕乐
'gu'zhi'wei'shi'zhe 古之为市者
'gua'gu'bu'ke'yi'di'zhong 寡固不可以敌众
'gua'ren'chi'zhi 寡人耻之
'gua'ren'fei'neng'hao'xian'wang'zhi'le'ye 寡人非能好先王之乐也
'gua'ren'hao'huo 寡人好货
'gua'ren'hao'se 寡人好色
'gua'ren'hao'yong 寡人好勇
'gua'ren'ru'jiu'jian'zhe'ye'you'han'ji 寡人如就见者也有寒疾
'gua'ren'you'ji 寡人有疾
'gua'ren'yuan'an'cheng'jiao 寡人愿安承教
'gua'ren'zhi'min'bu'jia'duo 寡人之民不加多
'gua'ren'zhi'you 寡人之囿
'gua'ren'zhi'yu'guo'ye 寡人之於国也
'gua'zhu'zhi'zhi 寡助之至
'guan 关
'guan 冠
'guan'qi'mou'zi 观其眸子
'guan'qi'se'nan'nan'ran 观其色赧赧然
'guan'shi'ji'er'bu'zheng 关市讥而不征
'guan'shu'xiong'ye 管叔兄也
'guan'shu'yi'yin'pan 管叔以殷畔
'guan'shu'yi'yin'pan'ye 管叔以殷畔也
'guan'su 冠素
'guan'zhi'yin 管之音
'guan'zhong 管仲
'guan'zhong'de'jun'ru'bi'qi'zhuan'ye 管仲得君如彼其专也
'guan'zhong'qie'you'bu'ke'zhao 管仲且犹不可召
'guan'zhong'yi'qi'jun'ba 管仲以其君霸
'gui 贵
'gui'ju 规矩
'gui'shi'zhe'bu'zhi 归市者不止
'gui'shi'zhe'fu'zhi 归市者弗止
'gui'tian'wu'shi'mu 圭田五十亩
'gui'wei'tian'zi 贵为天子
'guo'bi'zi'fa 国必自伐
'guo'cheng'zhi 椁称之
'guo'jia'xia 国家暇
'guo'jun'jin'xian 国君进贤
'guo'ren'jie'yue'bu'ke 国人皆曰不可
'guo'ren'jie'yue'ke'sha 国人皆曰可杀
'guo'ren'jie'yue'xian'ran'hou'cha'zhi 国人皆曰贤然後察之
'guo'ren'sha'zhi'ye 国人杀之也
'guo'song'er'jian'meng'zi 过宋而见孟子
'guo'you'yi'yi'yu'ren'hu 果有以异於人乎
'guo'ze'gai'zhi 过则改之
'guo'ze'shun'zhi 过则顺之
'guo'zhi'ben'zai'jia 国之本在家
'guo'zhi'suo'cun'zhe 国之所存者
'guo'zhi'suo'yi'fei'xing'cun'wang'zhe'yi'ran 国之所以废兴存亡者亦然
'guo'zhong'shi'yi'shi'zi'fu 国中什一使自赋
'guo'zhong'wu 国中无
'hai'nei'zhi'di 海内之地
'hai'yu'geng 害於耕
'hai'yu'qi'shi 害於其事
'hai'yu'qi'zheng 害於其政
'han 汉
'han'ren'wei'kong'shang'ren 函人惟恐伤人
'han'yi'zhuo'zhi 汉以濯之
'hang'tian'xia'zhi'da'dao 行天下之大道
'hao'chen'suo'jiao 好臣所教
'hao'chi'ma'shi'jian 好驰马试剑
'hao'huo'cai 好货财
'hao'jun'ye 好君也
'hao'le'he'ru 好乐何如
'hao'qi'tian 号泣天
'hao'qi'yu'tian'yu'fu'mu 号泣于天于父母
'hao'se 好色
'hao'yong'lang 好勇狼
'he 河
'he'bi'yue'li 何必曰利
'he'dai'lai'nian 何待来年
'he'dong'xiong'yi'ran 河东凶亦然
'he'gui'hu'lai 盍归乎来
'he'hai'zhi'yu'xing'liao 河海之於行潦
'he'ke'fei'ye 何可废也
'he'nei'xiong 河内凶
'he'qu'yu'shui'ye 何取於水也
'he'qu'zhu 盍去诸
'he'ren'ye 何人也
'he'ru 何如
'he'ru'si'ke'wei'fu'yi 何如斯可为服矣
'he'shi'fei'jun 何事非君
'he'shi'fei'min 何使非民
'he'wei'bu'si 何为不祀
'he'wei'fen'fen'ran'yu'bai'gong'jiao'yi 何为纷纷然与百工交易
'he'wei'qi'hao'ye 何为其号也
'he'wei'quan'zhi'zai 何为劝之哉
'he'wei'yan 何畏焉
'he'wei'ye 何谓也
'he'wei'zhi'yan 何谓知言
'he'xu'zi'zhi'bu'dan'fan 何许子之不惮烦
'he'ye 何也
'he'yi 何义
'he'yi'dai'zhi 何以待之
'he'yi'li'wu'guo 何以利吾国
'he'yi'li'wu'jia 何以利吾家
'he'yi'li'wu'shen 何以利吾身
'he'yi'neng'gu'yue'ye 何以能鼓乐也
'he'yi'neng'tian'lie'ye 何以能田猎也
'he'yi'yi'yu'ren'zai 何以异於人哉
'he'yi'yi'yu'shi 何以异於是
'he'yi'yi'yu'zou'di'chu'zai 何以异於邹敌楚哉
'he'you'zhi'wu'ke'ye 何由知吾可也
'he'zai 何哉
'he'zai'jun'suo'wei'qing'shen'yi'xian'yu'pi'fu'zhe 何哉君所为轻身以先於匹夫者
'he'zai'jun'suo'wei'yu'zhe 何哉君所谓逾者
'hong'shui'heng'liu 洪水横流
'hong'shui'ye 洪水也
'hou'bi'you'zai 後必有灾
'hou'che'shu'shi'cheng 後车数十承
'hou'fu'yu'zhou 侯服于周
'hou'ji'jiao'min'jia'se 后稷教民稼穑
'hou'lai'qi'su 后来其苏
'hou'lai'qi'wu'fa 后来其无罚
'hou'shi'zi'sun'bi'you'wang'zhe'yi 後世子孙必有王者矣
'hou'yi'dai'fu 後以大夫
'hou'yu'zhou'fu 侯于周服
'hu'bu'ke'shang'yi 乎不可尚已
'hu'li'shi'zhi 狐狸食之
'huai 淮
'huai'gong'shi'yi'wei'wu'chi 坏宫室以为污池
'huan'er'gong'zhi'er'bu'sheng 环而攻之而不胜
'huan'gong'zhi'yu'guan'zhong 桓公之於管仲
'huang'wang'zhi'xing 荒亡之行
'hui'er'bu'zhi'wei'zheng 惠而不知为政
'hui'qi'zong'miao 毁其宗庙
'hui'shang'qi'xin'mu 毁伤其薪木
'hui'wa'hua'man 毁瓦画墁
'hui'zhu 毁诸
'huo'bai'bu'er'hou'zhi 或百步而後止
'huo'cai'bu'ju 货财不聚
'huo'fu'wu'bu'zi'ji'qiu'zhi'zhe 祸福无不自己求之者
'huo'gan'wu'yu 或敢侮予
'huo'gao'gua'ren'yue 或告寡人曰
'huo'gao'zhi'yue 或告之曰
'huo'lao'li 或劳力
'huo'lao'xin 或劳心
'huo'wei'gua'ren'qu'zhi 或谓寡人取之
'huo'wei'gua'ren'wu'qu 或谓寡人勿取
'huo'wen'hu'ceng'xi'yue 或问乎曾西曰
'huo'wen'yue 或问曰
'huo'wen'zhi'yue 或问之曰
'huo'wu'shi'bu'er'hou'zhi 或五十步而後止
'huo'xiang'bei'xi 或相倍蓰
'huo'xiang'qian'wan 或相千万
'huo'xiang'shen'bo 或相什伯
'huo'yi'gao'wang'liang 或以告王良
'huo'yu'shang'you'dao 获於上有道
'huo'yue 或曰
'huo'zhe'bu'ke'hu 或者不可乎
'ji 稷
'ji'bing'xiang'fu'chi 疾病相扶持
'ji'bu'neng'ling 既不能令
'ji'bu'ren'qi'hu'su 即不忍其觳觫
'ji'dang'ping'shi 稷当平世
'ji'er'bu'zheng 讥而不征
'ji'er'you'shi'ming 继而有师命
'ji'gua'ren'zhi'shen 及寡人之身
'ji'jie'er'li'yan 既竭耳力焉
'ji'jie'xin'si'yan 既竭心思焉
'ji'ming'gou'fei'xiang'wen 鸡鸣狗吠相闻
'ji'pin 己频
'ji'qi'cheng'wu 亟其乘屋
'ji'qi'geng'ye 及其更也
'ji'qian'ren'yi 几千人矣
'ji'shi'shi 及是时
'ji'si'tian'xia'you'ji'zhe 稷思天下有饥者
'ji'sun'yue 季孙曰
'ji'tun'gou'zhi'zhi'chu 鸡豚狗彘之畜
'ji'wei'er'ku 即位而哭
'ji'xi'yi 几希矣
'ji'xian'hu'zui 及陷乎罪
'ji'xian'yu'zui 及陷於罪
'ji'ye 藉也
'ji'yue 既曰
'ji'zhe'fu'shi 饥者弗食
'ji'zhe'yi'wei'shi 饥者易为食
'ji'zhi'yi'bu'ren'ren'zhi'zheng 继之以不忍人之政
'ji'zhi'yi'gui'ju'zhun'sheng 继之以规矩准绳
'ji'zhi'yi'li 祭之以礼
'ji'zhi'yi'liu'lv 继之以六律
'ji'zhi'yi'nu 继之以怒
'ji'zhi'zang 及至葬
'ji'zhou'zhi'shen 及纣之身
'ji'zi 箕子
'jia'bi'zi'hui 家必自毁
'jia'qing'jian'er'jie'zhi 贾请见而解之
'jia'zhi'ben'zai'shen 家之本在身
'jian'bu'ke'yan 见不可焉
'jian'ke'sha'yan 见可杀焉
'jian'meng'zi 见孟子
'jian'niu'wei'jian'yang'ye 见牛未见羊也
'jian'qi'li'er'zhi'qi'zheng 见其礼而知其政
'jian'qi'sheng 见其生
'jian'ruo'mao'zhi'mei 见弱旄之美
'jian'xian'yan 见贤焉
'jian'yu'qi'chu 间於齐楚
'jian'yu'qi'jun'er'bu'shou 谏於其君而不受
'jian'yu'wang 见於王
'jian'yu'wang'er'bu'yong 谏於王而不用
'jian'yu'wang'yue 见於王曰
'jian'zhe'bu'duo'ren 俭者不夺人
'jian'zi'yue 简子曰
'jiang 江
'jiang'che 将彻
'jiang'jian'meng'zi 将见孟子
'jiang'ren'er'xiao'zhi 匠人而小之
'jiang'sha'zhi 将杀之
'jiang'shui'jing'yu 洚水警余
'jiang'shui'zhe 洚水者
'jiang'wei'jun'zi'yan 将为君子焉
'jiang'wei'ye'ren'yan 将为野人焉
'jiang'wu'shi'li'ye 将五十里也
'jiang'xing'ren'zheng 将行仁政
'jiang'yi'fan'shuo'yue'ye 将以反说约也
'jiang'yi'fu'jin'ye 将以复进也
'jiang'yi'qiu'wu'suo'da'yu'ye 将以求吾所大欲也
'jiang'yi'zhong 将以钟
'jiang'yu'jing 将于京
'jiang'zhi'chu 将之楚
'jiang'zhong'sui'qin'qin 将终岁勤勤
'jiang'zi'bei'yu'zun 将子卑逾尊
'jiao'bu'juan 教不倦
'jiao'ge 胶鬲
'jiao'lin'guo 交邻国
'jiao'qi'qi'qie 骄其妻妾
'jiao'ren'yi'shan 教人以善
'jiao'yi'ren'lun 教以人伦
'jiao'yu'zhong'guo 交於中国
'jiao'zhe'bi'yi'zheng 教者必以正
'jie 桀
'jie'bu'wei'ye 皆不为也
'jie'de'shi'yu'zi 皆得食於子
'jie'fan'qiu'zhu'ji 皆反求诸己
'jie'fei'xue'ju'zhou'ye 皆非薛居州也
'jie'gu'sheng'ren'ye 皆古圣人也
'jie'ju'shou'er'wang'zhi 皆举首而望之
'jie'li'yi'shi'da'guo 竭力以事大国
'jie'neng'yi'chao'zhu'hou'you'tian'xia 皆能以朝诸侯有天下
'jie'qi'yu'kong'zi'zhe'ye 皆弃於孔子者也
'jie'shi'sheng 皆失声
'jie'shi'ye 皆是也
'jie'suo'yi'ming'ren'lun'ye 皆所以明人伦也
'jie'wen'si'er'zhe'shi'ye 节文斯二者是也
'jie'xian'ren'ye 皆贤人也
'jie'xue'ju'zhou'ye 皆薛居州也
'jie'yi'he 皆衣褐
'jie'you'chu'ti'ce'yin'zhi'xin 皆有怵惕恻隐之心
'jie'you'sheng'ren'zhi'yi'ti 皆有圣人之一体
'jie'yu'fu'yu'wang 皆欲赴於王
'jie'yu'zhou'ye 桀与纣也
'jie'yue 皆曰
'jie'yue'er'yuan'cang'yu'qi'shi'yi 皆悦而愿藏於其市矣
'jie'yue'er'yuan'chu'yu'qi'lu'yi 皆悦而愿出於其路矣
'jie'yue'er'yuan'geng'yu'qi'ye'yi 皆悦而愿耕於其野矣
'jie'yue'er'yuan'li'yu'qi'chao'yi 皆悦而愿立於其朝矣
'jie'yue'er'yuan'wei'zhi'mang'yi 皆悦而愿为之氓矣
'jie'zhi'jie'zhi 戒之戒之
'jie'zhi'yue 戒之曰
'jie'zu'yi'gong'zhi 皆足以供之
'jin 赆
'jin'bing'xiao'yu 今病小愈
'jin'bu'yin'xian 进不隐贤
'jin'ci'xia'min 今此下民
'jin'e'ru'er'ju'bu'ren 今恶辱而居不仁
'jin'e'si'wang'er'le'bu'ren 今恶死亡而乐不仁
'jin'en'zu'yi'ji'qin'shou 今恩足以及禽兽
'jin'fu'gui'ye 尽富贵也
'jin'fu'tian'xia'zhi'ren'mu 今夫天下之人牧
'jin'guo'jia'xia 今国家暇
'jin'guo'yi'shi'guo'ye 晋国亦仕国也
'jin'ji'shu'yue'yi 今既数月以
'jin'jiang'xing'wang'zheng 今将行王政
'jin'qi'qi'xue'er'xue'yan 尽弃其学而学焉
'jin'ren'zuo'jian'ru'zi'jiang'ru'yu'jing 今人作见孺子将入於井
'jin'ri'bing'yi 今日病矣
'jin'ri'bu'zhi'qi'wang'ye 今日不知其亡也
'jin'ri'diao 今日吊
'jin'ri'wo'ji'zuo 今日我疾作
'jin'ri'yu 今日愈
'jin'ri'zhi'shi 今日之事
'jin'ri'zhi'shou'shi 今日之受是
'jin'ruo'ci 今若此
'jin'sheng'yu'yi'jia'yi 今乘舆已驾矣
'jin'shi'ze'yi'ran'ye 今时则易然也
'jin'teng'jue'chang'bu'duan 今滕绝长补短
'jin'tian'xia'di'chou'de'qi 今天下地丑德齐
'jin'tian'xia'ni'yi 今天下溺矣
'jin'tian'xia'zhi'jun'you'hao'ren'zhe 今天下之君有好仁者
'jin'tui'wu'li 进退无礼
'jin'wang'fa'zheng'shi'ren 今王发政施仁
'jin'wang'gu'yue'yu'ci 今王鼓乐於此
'jin'wang'tian'lie'yu'ci 今王田猎於此
'jin'wang'yi'yi'nu'er'an'tian'xia'zhi'min 今王亦一怒而安天下之民
'jin'wang'yu'bai'xing'tong'le 今王与百姓同乐
'jin'wen 晋文
'jin'wu'shang'bing 今吾尚病
'jin'xiang'xu'zhi'jiao 谨庠序之教
'jin'xin'li'er'wei'zhi 尽心力而为之
'jin'xin'yan'er'yi 尽心焉耳矣
'jin'yan'nue'qi'min 今燕虐其民
'jin'yan'wang'ruo'yi'ran 今言王若易然
'jin'ye'bu'ran 今也不然
'jin'ye'bu'xing'zhi'yu'da'gu 今也不幸至於大故
'jin'ye'fu'xiong'bai'guan'bu'wo'zu'ye 今也父兄百官不我足也
'jin'ye'nan'man'she'zhi'ren 今也南蛮舌之人
'jin'ye'teng'you'shi'lin'fu'ku 今也滕有食廪府库
'jin'ye'wei'chen 今也为臣
'jin'ye'xiao'guo'shi'da'guo 今也小国师大国
'jin'ye'yu'wu'di'yu'tian'xia'er'bu'yi'ren 今也欲无敌於天下而不以仁
'jin'ye'zhi'min'zhi'chan 今也制民之产
'jin'yi'jian'zhi 今一见之
'jin'yi'yan'fa'yan 今以燕伐燕
'jin'yi'zhi'dao 尽羿之道
'jin'yin'zu'yi'ji'qin'shou 今因足以及禽兽
'jin'you'bei'di'er'bu'xing'ren'zheng 今又倍地而不行仁政
'jin'you'jue'zhe'qu'zhe 今有蹶者趋者
'jin'you'pu'yu'yu'ci 今有璞玉於此
'jin'you'qi'gua'ren'er'gui 今又弃寡人而归
'jin'you'ren'ri'rang'qi'lin'zhi'ji'zhe 今有人日攘其邻之鸡者
'jin'you'ren'xin'ren'wen 今有仁心仁闻
'jin'you'sha'ren'zhe 今有杀人者
'jin'you'shou'ren'zhi'niu'yang'er'wei'zhi'mu'zhi'zhe 今有受人之牛羊而为之牧之者
'jin'you'tong'shi'zhi'ren'zhe 今有同室之人者
'jin'yuan'qie'you'qing'ye 今愿窃有请也
'jin'zhi'cheng 晋之乘
'jin'zhi'jun'zi 今之君子
'jin'zhi'le 今之乐
'jin'zhi'yu'wang'zhe 今之欲王者
'jin'zi'wei'neng 今兹未能
'jing 荆
'jing'chun'yue 景春曰
'jing'di 井地
'jing'di'bu'jun 井地不均
'jing'gong'shuo 景公说
'jing'jie'bu'zheng 经界不正
'jing'jie'ji'zheng 经界既正
