'a'lai'ye'shi 阿赖耶识
'xian'yang'sheng'jiao'lun 显扬圣教论
'xian'zai 显在
'xian'zheng 现证
'xiang'bu 相怖
'xiang'fen 相分
'xiang'jing 香境
'xiang'xin'suo 想心所
'xiang'xu'bu'jue'ding 相续不决定
'xiang'yi 相异
'xiang'ying'hui 相应慧
'xiang'ying'wei'she'shou 相应唯舍受
'xiang'ying'yin 相应因
'xiang'zhen'ru 相真如
'xiang'zhuang 相状
'xiang'zi'fen'bie 想自分别
'xiao'dong 嚣动
'xie'xing'zhen'ru 邪行真如
'xin'bu'xiang'ying'xing 心不相应行
'xin'bu'xiang'ying'xing'fa 心不相应行法
'xin'jie'tuo 心解脱
'xin'jie'tuo'a'luo'han 心解脱阿罗汉
'xin'jing 新净
'xin'suo 心所
'xin'suo'fa 心所法
'xin'wang 心王
'xin'xin'suo 信心所
'xin'xin'suo'mie 心心所灭
'xing'jiao'si 兴教寺
'xing'jing 性境
'xing'liang 形量
'xing'she'ji'bu'hai 行舍及不害
'xing'wu'kan'ren 性无堪任
'xing'xiang 行相
'xing'xiang'fan 性相反
'xing'xiang'shun 性相顺
'xing'xiang'suo'yuan'men 行相所缘门
'xing'yu'jing'xiang 行于境相
'xiu'kong'sheng'jie 修空胜解
'xiu'suo'cheng 修所成
'xiu'suo'cheng'di 修所成地
'xu'wang'bian'ji'suo'zhi 虚妄遍计所执
'xu'wei 虚伪
'xuan'yi 眩翳
'xuan'zang 玄奘
'xuan'zang'san'zang 玄奘三藏
'xun'ben'shi 熏本识
'xun'si'er'ge'er 寻伺二各二
'xun'xiang'cheng 寻香城
'yan'gen 眼根
'yan'huan 厌患
'yan'jian'se 眼见色
'yan'pei 演培
'yan'pei'fa'shi 演培法师
'yan'shi 眼识
'ye'xi'qi 业习气
'yi'ben 译本
'yi'bi'zhuan'yuan'bi 依彼转缘彼
'yi'cha'na'xin'yuan'qi 一刹那心缘起
'yi'cheng 义成
'yi'da'zhong 一大种
'yi'gen 意根
'yi'ji'shi'zhen'ru 亦即是真如
'yi'jian 一间
'yi'lai'sha'men'guo 一来沙门果
'yi'lai'xiang 一来向
'yi'le 意乐
'yi'lei 异类
'yi'lei'er'shu 异类而熟
'yi'lei'jian'zhu'xiang'xu'er'zhuan 一类坚住相续而转
'yi'qie'fa 一切法
'yi'qie'fa'deng'yi 一切法等依
'yi'qie'fa'wu'xing 一切法无性
'yi'qie'fa'xiang'lue'you'san'zhong 一切法相略有三种
'yi'qie'ru'di'yu 一切如地狱
'yi'qie'wei'xin'zao 一切唯心造
'yi'qie'xing 一切性
'yi'qie'you'qing'jie'yi'shi'zhu 一切有情皆依食住
'yi'qie'zhong'shi 一切种识
'yi'qie'zhong'xiang 一切种相
'yi'qie'zhu'xing'jie'shi'wu'chang 一切诸行皆是无常
'yi'ran 亦然
'yi'ru 依如
'yi'ru'nie'pan 依如涅槃
'yi'ru'sheng'si 依如生死
'yi'shi 异时
'yi'shi 意识
'yi'shi'chang'xian'qi 意识常现起
'yi'shi'er'shu 异时而熟
'yi'shu 异熟
'yi'shu'guo 异熟果
'yi'shu'shi 异熟识
'yi'shu'xi'qi 异熟习气
'yi'shu'xing 异熟性
'yi'shu'yi'qie'zhong 异熟一切种
'yi'shu'yin 异熟因
'yi'shu'zhong'zi 异熟种子
'yi'ta 依他
'yi'ta'qi 依他起
'yi'ta'qi'zi'xing 依他起自性
'yi'ta'zi'xing 依他自性
'yi'xian'yi'yin 一显一隐
'yi'xin'suo 疑心所
'yi'xun'si 义寻思
'yi'yan 意言
'yi'yan'jing 意言境
'yi'yong 义用
'yi'you'suo'de'gu 以有所得故
'yi'zhan'zhuan'li'gu 以展转力故
'yi'zhi'gen'ben'shi 依止根本识
'yi'zhu 译注
'yin'bian 因变
'yin'cang 隐藏
'yin'fa 因法
'yin'hui 隐晦
'yin'neng'bian 因能变
'yin'shi 饮食
'yin'xian 隐显
'yin'yuan 因缘
'yin'yuan'yi 因缘依
'yin'zhong'jing'qin'ying'wu 殷重精勤营务
'ying'guan'fa'jie'xing 应观法界性
'ying'xiang'xiang'fen 影像相分
'yong'mie 永灭
'you'bi'bi'bian'ji 由彼彼遍计
'you'chu 有处
'you'ci'bi'jie'wu 由此彼皆无
'you'ci'you'zhu'qu 由此有诸趣
'you'fu 有覆
'you'fu'wu'ji 有覆无记
'you'fu'wu'ji'she 有覆无记摄
'you'ji'fei'you 有及非有
'you'jia'shuo'wo'fa 由假说我法
'you'lou 有漏
'you'lou'fa 有漏法
'you'lou'you'wei'fa 有漏有为法
'you'qing'shu'she 有情数摄
'you'si 由斯
'you'si'zheng'de 由斯证得
'you'ti'you'fen 有体有分
'you'wei'neng'fu'mie 犹未能伏灭
'you'yi'qie'zhong'shi 由一切种识
'you'zhi 有支
'you'zhong'zhong'xiang'zhuan 有种种相转
'you'zhu'ye'xi'qi 由诸业习气
'yu'er'qu'sui'mian 于二取随眠
'yu'jia'da'lun 瑜伽大论
'yu'jia'shi'di'lun 瑜伽师地论
'yu'jia'xing'pai 瑜伽行派
'yu'liu'guo 预流果
'yu'ming'wei'jian'ming 于名唯见名
'yu'shi'wei'jian'shi 于事唯见事
'yu'xin'suo 欲心所
'yu'yuan 遇缘
'yu'yuan'ju'zu 遇缘具足
'yuan'ce 圆测
'yuan'cheng 圆成
'yuan'cheng'shi 圆成实
'yuan'cheng'shi'yu'bi 圆成实于彼
'yuan'cheng'shi'zi'xing 圆成实自性
'yuan'li'er'bian 远离二边
'yuan'lv 缘滤
'yuan'man'cheng'jiu 圆满成就
'yue'cheng 月称
'yue'guan 月官
'yue'ta'de 约它的
'yun'chu'jie 蕴处界
'za'ji'lun 杂集论
'za'ran'gen'ben 杂染根本
'zai'ren'shi 再认识
'zeng'shang'guo 增上果
'zeng'shang'li 增上力
'zeng'shang'li'gu 增上力故
'zeng'shang'man 增上慢
'zeng'shang'man'zhe 增上慢者
'zeng'shang'yuan 增上缘
'zeng'shang'yuan'yi 增上缘依
'zhang'nie'pan 障涅槃
'zhang'sheng'sheng'dao 障生圣道
'zhen'ji 真极
'zhen'ru 真如
'zhen'ru'wu'shang 真如无上
'zhen'ru'wu'wei 真如无为
'zhen'sheng'yi'xing 真胜义性
'zhen'shi'xing 真实性
'zhen'shi'xing'shi 真实性事
'zhen'shi'yi 真实义
'zhen'shi'yi'pin 真实义品
'zheng'cheng 证成
'zheng'cheng'dao'li 证成道理
'zheng'gang 正刚
'zheng'gang'fa'shi 正刚法师
'zheng'guo 正果
'zheng'guo'fa'shi 正果法师
'zheng'hang'zhen'ru 正行真如
'zheng'zhi 证知
'zheng'zi'zheng'fen 证自证分
'zhi'ai 质碍
'zhi'chi 执持
'zhi'dou'wu'suo'de 智都无所得
'zhi'shou 执受
'zhong'ren 中忍
'zhong'shi 重释
'zhong'yuan'sheng 众缘生
'zhong'zi'bian 种子变
'zhong'zi'liu'yi 种子六义
'zhong'zi'yi 种子依
'zhu'fa'shi'xing 诸法实性
'zhu'jiao'zhong 诸教中
'zhu'qu 诸趣
'zhu'rao'yi'shi 诸饶益事
'zhu'sheng 助生
'zhu'shi 诸识
'zhu'xing 诸行
'zhu'xing'sheng'mie 诸行生灭
'zhu'you'qing'lei 诸有情类
'zhuan'bian 转变
'zhuan'bian'sheng'qi 转变生起
'zhuan'yi 转依
'zi'guo 自果
'zi'lei'guo'fa 自类果法
'zi'nei'zheng 自内证
'zi'nei'zheng'gu 自内证故
'zi'ran'xing 自然性
'zi'shi 自识
'zi'xiang 自相
'zi'xin 自心
'zi'xin'bian 自心变
'zi'xing'fen'bie 自性分别
'zi'xing'jia'li'xun'si 自性假立寻思
'zi'xing'nie'pan 自性涅槃
'zi'xing'wu'suo'you 自性无所有
'zi'zan'hui'ta 自赞毁他
'zi'zheng'fen 自证分
'zi'zhong 自种
'zong'xiang 总相
'zong'you'si'zhong 总有四种
'zong'zhi'fen'bie 总执分别
'zui'ao 醉傲
'zui'sheng'kong'xing'sheng'jie 最胜空性胜解
'zuo'yi 作意
'zuo'yi'shou'xiang'si 作意受想思
'zuo'yong'bu'ying'cheng 作用不应成
'zuo'yong'dao'li 作用道理
