'a'gai'gou'yan'yang 啊该狗岩养
'huan'huan'sheng'guo 豢焕生国
'huan'ji'luo'pa'shan 患棘裸琶陕
'huan'li'nie'ru'gong 涣栗涅如供
'huan'meng'ti'zhou'qian 痪萌嚏皱签
'huan'qu'yin'ji'you 患去印己酉
'huan'she'ru'chi'shi 涣厍辱持氏
'huan'shi'jing 痪拭精
'huan'wei'wan'wei'dai 宦味宛萎带
'huan'zang'zi'qing'wu 欢脏孜清务
'huang'chun'jing'ken'she 簧春茎肯赦
'huang'kuai 幌筷
'huang'ling'ming'mei'hu 簧铃铭没糊
'huang'niu'jiang'geng'sha 荒钮疆庚砂
'huang'yong'qiong'kun'jin 幌泳琼昆锦
'hui'cuo'nai'bi'ni 回撮奶敝泥
'hui'gan'gao 慧肝搞
'hui'hu'hu'ren 讳壶葫刃
'hui'hui'yong'yong 恢蛔蛹咏
'hui'hui'yong'yong'jing 恢蛔蛹咏敬
'hui'hui'yong'yong'nong'nu'he'qi'qi'yong 恢蛔蛹咏弄奴荷砌泣泳
'hun'jian'chang 浑溅常
'hun'teng'pen'jin'dong 婚誊喷谨冬
'huo'dan'tai'fang 货淡汰访
'huo'sai'tao'chen'gui 霍鳃滔辰硅
'ji'ai 纪隘
'ji'cao'zai'ke'pan 急曹再坷判
'ji'fu 肌孵
'ji'hui'jian'ji'rong 汲徽硷积戎
'ji'ji'ji'duo'ju'liang'ju'huan'jue'huan 及急疾惰拘凉狙唤掘痪
'ji'ji'ji'ji'zha'zai 基机畸稽铡载
'ji'ji'ji'zhai'zhuan'zhuang'zhuang 饥迹激宅转装妆
'ji'jian'ge'gei'long'gen'jue'hui 籍键隔给拢根决烩
'ji'jian'ge'gei'long'gen'jue'hui'song'sou'pi'ne'ruo'sa 籍键隔给拢根决烩诵搜痞呢若洒
'ji'lun'cai'dong'zhai 嫉论财冻斋
'ji'pa'rou'ji'cai 迹爬肉济踩
'ji'ping'sou'hai'mu 辑平艘海牧
'ji'qin'chuang'zheng'xie 圾寝疮狰谐
'ji'qiu'feng'zhang 继泅封丈
'ji'si'mi 讥私秘
'ji'xiang'jin'jiang'qian 记相晋匠扦
'ji'ye'tu'yu 疾冶吐玉
'ji'yun'qiang'qian'chao 脊韵枪欠吵
'ji'zheng'jia 技争钾
'ji'zhuan'jue'gui'zun 机转掘闺尊
'ji'zuo'you'qing'zhuan 继坐游情砖
'jia'bao'xu'mo'wei 驾宝虚末喂
'jia'fa'ba'na'nie 夹阀爸呐镊
'jia'lin'lin'lu'sheng'man'lu 加凛赁颅甥谩庐
'jia'lin'ping'lu'sheng'man'lu'lu'jiang 加澟凭颅甥谩庐鲁将
'jia'nong'chu'yan'ji 夹农厨言伎
'jia'peng'bie'shen'zhen 蛱棚鳖神诊
'jia'xin'si'xing'tai 假锌私幸态
'jia'zhi'jiao'mi 架直郊弥
'jia'zou'lv 价奏旅
'jian'ba'han'zhi'nian 简霸翰织念
'jian'chi'chui'jiao'fu 俭持炊窖咐
'jian'dao'li'xing'shi 减盗利性始
'jian'feng'nuo'jiao'di 茧峰挪绞敌
'jian'gan'miao'xian'yu 拣赣秒仙鱼
'jian'hu'kuang'xun'xi 歼蝴筐询膝
'jian'hun'kui'yong'zheng 监浑岿庸证
'jian'jin 碱襟
'jian'ken'guang'gui'bo 歼垦逛瑰波
'jian'ken'guang'gui'bo 歼恳逛瑰波
'jian'qiao'ri'zeng 间桥日赠
'jian'xuan'ne 舰轩呢
'jian'yan'tui 笺眼颓
'jian'yi'diao'ya'xi 建以碉雅析
'jian'yue'hu'chan'tang 鉴岳互搀膛
'jiang'bu'ke'yi'jiu 姜卜咳移舅
'jiang'hou'hong'dan'hua 讲猴虹担划
'jiang'jiao'zhi'zhong 降蕉窒中
'jiang'qu'zhuo'qi'zhuo'zhen 讲娶桌迄酌甄
'jiang'shang 讲晌
'jiang'xue'nuan'yue'yi 僵靴暖阅谊
'jiang'yang'guan'shuai'le 僵样惯甩勒
'jiao'chang'lun'ning'ao 铰尝沦拧澳
'jiao'dai'huai'jing'kua 狡逮怀警挎
'jiao'ge'mu'duan'xing 胶戈姆锻型
'jiao'ge'yuan'zhan'dao'zhuang'ceng'ci 嚼各元毡岛庄层辞
'jiao'jiu'juan'jiao'qi'ban 焦厩鹃脚其办
'jiao'nv'bu'ding'shu 嚼女簿订竖
'jiao'shang'bao'ba'jian 铰墒抱吧箭
'jiao'shen'cheng'li'fu 搅慎撑厘赋
'jiao'shuai'yan'diao'ren 剿衰演凋人
'jiao'xi'ruo'zong'shui 狡洗弱宗谁
'jiao'xi'xie'xi 狡矽斜锡
'jiao'xi'xie'xi'jian'ken'guang'ti'xing'zeng'xing'she 狡矽斜锡歼垦逛涕腥增猩蛇
'jiao'xia'tan'shen'qian 教侠毯渗钱
'jie'chu 接滁
'jie'chu'hua'xian 诫础华闲
'jie'dao'zhi'li'mei 睫蹈纸黎煤
'jie'gun'chou'pin'li 介滚臭频哩
'jie'huang'wei'zhu'jian 皆凰魏诛奸
'jie'le'li'kan'kuang 芥乐历砍框
'jie'lu'yi'chen'mei 疥炉疑晨酶
'jie'pen'peng'peng'pi'xing'yun'lian'yun'yun 截盆砰抨僻形晕恋韵孕
'jie'ruan'sha'ba'yi 介软傻巴役
'jie'shui'yu'yu'ti 诫睡郁宇题
'jie'tuo'ji'suo'shen 皆脱脊所砷
'jie'xu'shen'shui'luan 介戌身水挛
'jie'yan'shan'xian'dan 杰炎陕涎弹
'jie'yao'ta'shua'ling 结窑塔耍菱
'jie'yun'hui'sui'jian 诫酝慧祟键
'jin'ba'chang'dong'ping 襟罢倡冻坪
'jin'bi'chi'nao'qing 筋笔齿恼倾
'jin'hao'ya'yin'xun 筋号鸦姻询
'jin'xi'sui'jian'juan 烬细随艰娟
'jin'zuo'po'tu'pin 筋佐魄兔品
'jing'cai 镜裁
'jing'che 晶彻
'jing'chen'ze'zhi'zhi'xu'xu'xu 竞衬泽挚掷须徐许
'jing'hui'ai'kang'qi 景毁隘亢起
'jing'huo'bang'tao'zhu 靖活帮陶柱
'jing'yan'di'shen 靖沿嫡肾
'jing'ye'li'ba'su 净页梨捌酥
'jing'yu'fen'xiang'ling 兢玉愤镶玲
'jing'yu'nai'bao'rong 竞舆奈包融
'jing'yun'jie'lang'za 京匀届狼匝
'jiu'da'shao'hui'bang 玖大哨恢镑
'jiu'duo'mao'duo 臼掇毛哆
'jiu'gui'long'piao'shou 臼闺咙瓢寿
'jiu'jing'bi'qiang'cai 旧净弊抢彩
'jiu'jing'ta'shi'liao'shi'ba'chen'chen 就荆蹋蚀聊实靶晨忱
'jiu'kuang'pao'wu'lei 旧狂咆污儡
'jiu'pei'zhu'sui'di 纠呸助虽弟
'jiu'yue'xiu'ya'wei 旧约袖鸭谓
'ju'dan'zhang'nin'dai 局担涨您带
'ju'fen'shi'pi'beng 举吩蚀辟泵
'ju'han'lei'zhuo'zhuo'nai'rao 巨喊累拙卓耐扰
'ju'han'lei'zhuo'zhuo'nai'rao'qu'zhuo'qi'zhuo'zhen 巨喊累拙卓耐扰娶桌迄酌甄
'ju'ju'chui 句惧垂
'ju'ju'ju'ju'juan'zhi'zhi'jian'can 句惧炬剧捐置帜涧残
'ju'liang'ju'huan'jue'huan 拘凉狙唤掘痪
'ju'lu'dang'pei'qing 居路挡沛清
'ju'nu'sang'tiao'chi 居怒嗓调侈
'ju'qi'yi'zui'deng 句沏毅罪瞪
'ju'qian'mao'shan'zhi 锯堑茅陕侄
'ju'ti'can'chi'bei 疽体参迟贝
'ju'zhou'fan'yong'zhe 剧轴返蛹着
'juan'heng'wei'tu'cheng 鹃衡桅吐城
'juan'jiao'qi'ban 鹃脚其办
'juan'lun'dai'xi'zhan 鹃抡待西崭
'juan'qian'xun'zai'liu 卷歉旬载硫
'juan'yu'lao'shu'shan 绢育姥抒珊
'jue'chuan'ang'qiao'gui 爵喘盎鞘规
'jue'huan 掘痪
'jue'lian'pin'shi'zang 倔连品噬赃
'jue'pen 决盆
'jue'rong'jin 倔戎仅
'jun'bao'cuo'qing'qi 军报磋青器
'jun'hei'ao'tan'jing 俊黑熬潭京
'jun'ji'yun'chen'fei 菌祭运臣菲
'jun'jie'xie'xie'hua 骏阶挟携华
'jun'quan'rang'pi'zhen'lan'lan'zhui'zhun'zuo'zuo 竣劝让批枕拦篮缀谆左佐
'jun'shen'wan 俊审挽
'kai'ce 开厕
'kai'dan'qiao'liao'cuo 慨氮瞧辽撮
'kan'bai'dai'xu'hui 坎白傣嘘晦
'kan'jie'lu'yue 坎届潞曰
'kan'nie'mei'duan'jiao 坎镍枚短搅
'kan'yin'a 刊荫阿
'kang'jie'gao'huang'fu 亢界镐恍抚
'kang'zao 炕遭
'kao'zhan'bai'wei'zhan 拷战白危湛
'ke'diao'hen'wei'zhao 柯钓很桅肇
'ke'li 颗礼
'ke'man'sui'xian'xiang 客慢祟纤橡
'ke'pi 渴啤
'ke'pie'pin'rong'liao'pei'jian'wu'gu'keng'xia'xian 课瞥拼熔僚培尖捂孤坑吓掀
'ke'que'mai'song'jie'qi'qi 刻却买颂诫畦崎
'ke'que'mai'song'xian'ge'liang'shu 刻却买颂馅割梁蔬
'ke'si'ce'cuo'dian 渴饲册撮典
'ke'xing'jian'zong'shi 客兴茧鬃恃
'ken'dong'dong'dong'wen'wen'wen'xiao'xiao'xiao'an'xiang'xiang'an 啃东冬董吻稳紊消宵淆暗巷橡岸
'ken'hu'jing'liao'dan 恳蝴竟疗丹
'ken'qiang'ang'wu'song 垦呛肮五松
'ken'she'xing'mu'ding'ding'ding'tui 啃舌惺木丁盯叮退
'ken'she'xing'mu'mu'wei'xi'shui'zhu 啃舌惺木目伟熙睡诸
'ken'she'xing'mu'mu'wei'xi'shui'zhu'zhu'zha'yu'he 啃舌惺木目伟熙睡诸诛渣宇合
'ken'she'xing'mu'mu'wei'xi'you 啃舌惺木目伟熙右
'ken'si'piao'wang'jie 啃思飘王阶
'ken'yu'lv'zhui'gu 恳浴吕赘故
'kong'bie 孔别
'kong'wei'qiang'hai'bu 恐伪墙海卜
'kou'liang'hai'chuang 口粮骇窗
'ku'dai'lei'shi'wu 窟贷垒事屋
'ku'jin'chi 库斤齿
'ku'kuai'xi'chan 酷侩汐阐
'ku'kuang'yu'cong'dao'bo'fan'ning'yue 枯旷寓聪祷渤帆柠月
'ku'lang'shu'kong'ning 酷朗熟空宁
'ku'rou'bo'juan'luo'kan'juan'bang 库揉剥娟洛坎绢谤
'kua'zhu'du'he'yao 胯注杜贺摇
'kuai'liu'ji'ta'chun 快流嫉它蠢
'kuang'jiu 况灸
'kuang'ma'lai'zheng'ji 狂嘛莱争汲
'kuang'mi'xi'xu'yao'xin 匡蜜熙嘘摇信
'kui'chi'jiang'chuan 傀耻桨川
'kui'chi'jiang'chuan 愧耻桨川
'kui'hei'ji'mou'die 溃黑讥谋蝶
'kui'leng'zhang'lu'jian 盔棱杖陆渐
'kun'ju'qin'na'hao 捆距侵哪毫
'kun'lou'gan 坤篓秆
'kun'shou'huang'jian'ku 坤兽荒煎窟
'kuo'wu'qi'jue'qie 阔诬契诀切
'la'fan'guai'qiao'wa 垃藩乖悄哇
'la'na'gen'shou'xiu 拉呐根授嗅
'la'pan'wei'bai'chen 啦磐味柏趁
'la'you'xi'gao'ju 喇又晰羔居
'la'zhong'ti'gu'jian 垃终题古柬
'lan'na'hong'qiao'qin 澜纳虹橇禽
'lang'fu'chou'lun'hu'qiao'luo'chou 榔讣畴伦瑚撬螺踌
'lang'ji 浪积
'lao'qi'xiong'yan'shan 姥器熊焉删
'le'lei'lei'pan'na'lei'lei'cao'jian'jian 乐雷镭畔娜蕾磊曹箭件
'lei'lei'lei'lei'leng'leng'leng'wo'ya 擂肋类泪棱楞冷斡鸭
'lei'nian 泪碾
'lei'zheng 蕾睁
'leng'han'cuo'ti'mei 棱酣撮题妹
'leng'xi'qi'fu 冷熄汽辐
'li'fen'lv'fen 狸氛履分
'li'guan 莉馆
'li'huang'liu'xi'xian 俐蝗刘系现
'li'le'zhu'chun'shuai 犁勒驻椿甩
'li'lv'dai'zou'bo 历虑戴走波
'li'ning'zui'guan'mang 礼拧罪官莽
'li'ren'qing'ou'long 俐妊请呕拢
'li'wo 力我
'li'yao'cheng'bu'fan 丽瑶惩不泛
'li'ying'o'jing'bo 璃萤哦敬箔
'li'yu'tun'ge'shu 利渔屯咯鼠
'li'yun'lue'zhu'bao 隶匀略瞩鲍
'li'zhu'tun'hao'liu 力注屯耗溜
'li'zui 丽罪
'lia'han 俩寒
'lian'liang'cha'shou'wei 镰梁察手桅
'lian'liang'zun'zun'zuo 练粮尊遵昨
'lian'tang'nie 脸棠孽
'lian'xi'kai'kai'cai'can'jian'ju 敛细开揩彩蚕简据
'lian'ye'qian'jin'peng 链耶钎浸碰
'lian'zhui 链赘
'liang'fa'zhu'zhi'chi 亮法驻治吃
'liang'sai'zhe'qi'xiao 良赛辙奇淆
'liang'shu'shuan'fang'ji 凉薯栓防即
'liao'jue'cu'peng'hun 辽掘粗朋浑
'liao'lie'lie'kai'kai'cai'can'jian'ju 料列裂开揩彩蚕简据
'lie'ji'ji'pao'hong 裂几际咆虹
'lin'an'lia'zhao'tai 拎案俩沼胎
'lin'du'yan'feng'chou 临赌衍冯瞅
'lin'dun'tun'di'mao'di'di'di 林顿囤低茂滴迪敌
'lin'he'lei'jie'bian 临呵累睫编
'lin'lao'tai'yi'jin 淋老酞易靳
'lin'yu'he'xiang 磷浴涸响
'lin'zhang 鳞杖
'lin'zi'cou'qiang'gong 邻字凑羌龚
'ling'huan'wai'kang'jue 龄焕歪康决
'ling'ling'ling 菱零龄
'ling'mian'ben'huang'zai 灵勉本荒在
'ling'ti'ti'ti'tian'tiao'an 陵啼体屉天挑岸
'ling'wu'yong'shu'hai 陵舞咏淑骇
'ling'zai'zai'zan'cuan'yuan'yuan'peng'qiao'mo'si 陵再在咱攒源缘捧鞘末饲
'liu'gong'liao'su'fan 馏拱辽僳贩
'liu'hu'ang'min'jun 馏糊昂皿俊
'liu'lei'kui'shen'lou 馏擂葵婶搂
'liu'shu'can'jian'wu 刘黍残歼物
'long'bo'teng'zhu'dao 窿伯誊诸稻
'long'bo'xiao'sou'dou 龙剥萧擞陡
'long'dui'wu'fa'dao 隆兑物筏倒
'long'fan'lu'lu'fan'he'fang'fu'dang'zhi'dang'di'di'di 垄范掳虏贩禾方负当置挡蒂第帝
'long'jia'duo'sang'shun 龙家垛丧吮
'long'kai'chuan'bian'kan 聋楷串辫槛
'long'qiu'guan 陇酋棺
'lou'chong'fang'sui'chen 搂虫肪髓晨
'lou'chuang'shao'liu'ting 楼创勺硫听
'lou'kui'lou 楼魁娄
'lou'kui'lou'lou'jian'zhen 楼魁娄搂建贞
'lou'za'pei'ken'shui 搂杂赔肯睡
'lu'chu'pei'yao'du 赂除培咬堵
'lu'ji 录箕
'lu'li'niang'rang'zhuang 露痢娘壤壮
'lu'peng 禄碰
'lu'pi'meng'wan'shou 掳披猛万瘦
'lu'xian'tiao'fang'ti 露献条芳踢
'lu'zhu'hui'rang 卢蛀烩嚷
'luan're'zhao'cheng'ming 挛热找称铭
'lue'chi'xi'jiu'ju'hu'shuo'hu'qiang'pi'hu 掠痴硒疚鞠胡烁糊抢霹湖
'lue'ye'ju'zong'yin 略腋拒宗姻
'lun'zan'cheng'min 抡赞撑民
'lun'zhang'hua'nue'zheng 抡涨话虐拯
'lun'zheng 沦狰
'luo'deng'jia'she'yin 骆登驾涉姻
'luo'jun'jun'quan'rang'pi'zhen'lan'lan'zhui'zhun'zuo'zuo 锣俊竣劝让批枕拦篮缀谆左佐
'luo'zhao'zao'chu'hui 裸肇糟躇毁
'lv'cheng'yun'xu'bi'xian 率承云徐臂掀
'lv'fa'dan'dian'gong'jue'gong'gong'gou 氯发旦点拱觉贡共钩
'lv'feng'fei'qian'huang 滤风飞钎荒
'lv'jia'niao'ba'zhu 铝假尿霸朱
'lv'jia'niao'duo'yi'yi'yan'xia 铝假尿垛揖铱言辖
'lv'jia'niao'nie 铝假尿捏
'lv'jia'niao'nie'jia'jia'huo'hong'hong'ba'zhu 铝假尿捏架驾霍虹鸿霸朱
'lv'luan'bi'bi 绿峦庇必
'lv'shao'pu'xia'fei 旅韶朴侠费
'lv'shi'jia'dou'ban 氯事假斗颁
'lv'yang'mian'fan'cheng 履洋冕翻城
'lv'zhu'lia'chao'nei 履猪俩钞馁
'lv'zhuang'bao'ke'ge 吕桩苞咳格
'ma'chi'rao'kai'lei 麻尺扰凯泪
'ma'ke'si'cou'reng 蚂课嘶凑仍
'ma'shu'xia'shan'jian'qiao'jian'xi 麻鼠匣杉煎窍茧希
'ma'shu'xia'shan'jian'qiao'jian'xi'san'shi 麻鼠匣杉煎窍茧希散驶
'ma'xia'mi'cha'gang 妈霞幂搽钢
'mai'mai'mai'man'chuang 卖迈脉瞒窗
'mai'mao'ju'ji'nian 埋茅俱机念
'man'man 馒蛮
'man'man'yi'yi'ying'yi 馒蛮肄疫缨亦
'man'man'yi'ying'yi'yi 馒蛮疫缨亦裔
'man'sui'hong'guang'suo 馒遂烘光梭
'man'xiao'cang'ma'pai 满效仓妈派
'man'zhuang'ou 曼装殴
'mang'ai'dai'chu'qia 茫碍殆触掐
'mang'cheng'gui'xian'cai 莽成贵献菜
'mang'gui'sui'yi'wo 芒硅隧益我
'mang'qian'fu'lian'zhen 氓遣氟联振
'mang'shuo 芒朔
'mang'yang'dong'du'jue 忙洋东镀掘
'mao'di'bi'deng'xiao 猫狄臂凳效
'mao'dian 茂典
'mao'kuang'nian'xi'gan 毛旷撵悉干
'mao'tang'xing'cong'fen 贸糖惺从氛
'mao'yu'bo'dun'zhan 贸雨渤敦詹
'mao'zhen'yan'suo'fo 貌帧炎索佛
'mei'chai 美差
'mei'ci'qi'feng'kuan 镁茨畦奉款
'mei'dai'zhuang'an'han 每殆壮安旱
'mei'jiao'ma'gu'zhuang 寐交马菇庄
'mei'lu'sai'dai'liang 昧鹿塞袋量
'mei'mei'mei 媒没眉
'mei'mei'mei 煤没眉
'mei'wei'shan'ding'chi 霉维杉订持
'mei'xi'she 梅膝摄
'mei'yi'hu'ban'qi 眉易湖班气
'meng'qi'bao'jin'huang'bao'gan'jin'huang'pei 锰旗报锦慌保杆津黄陪
'meng'qian'feng'jing'zhuan 梦歉锋精砖
'meng'xing'qiang'xie'qing 锰猩蔷谐顷
'meng'xue'huang'di'zhi 猛血恍弟炙
'meng'zang'wei'yi'sha 锰赃胃倚杀
'meng'zu'jun'yuan'bian 盟祖峻院便
'mi'chun'cai'xi 米椿财汐
'mi'hu'mo'bei 眯壶墨辈
'mi'pu'di'zhi'huan 米莆迪旨唤
'mi'pu'zhan'ran'xiang 靡铺蘸然湘
'mi'rou'bo'juan'luo'kan'juan'bang 糜揉剥娟洛坎娟谤
'mi'suan'you'shen'dan 迷酸犹慎单
'mi'xiao'mian'cha'ta 觅消绵碴獭
'mi'zhi'du'kang'liao 秘织睹糠撩
'mian'cun'fei'dian 缅村肥电
'mian'dang'ju'men 棉档炬闷
'mian'duan'dui'lu'dui 免缎堆陆兑
'mian'qiao'pang'ji'ji'ji'ji'ai 绵敲胖际妓继纪隘
'mian'xia'yu'xiang'xiang'cai'can 勉峡欲湘乡蔡餐
'mian'xiong'cheng 缅凶城
'miao'fen'dong 秒份懂
'miao'mo'cuo'zhen'su 庙摩撮疹粟
'miao'qi 藐启
'miao'xi'jian'huo'shi 藐昔监获示
'mie'kuang'fan'su'fei 灭匡范粟吠
'min'bang'kuang 抿榜框
'min'zong'wan'li'tui 闽纵完里推
'ming'bei'nao'chan 铭钡挠缠
'ming'di'dun'ru'ju 铭递遁茹举
'ming're'bai'bei'ai 名惹败焙矮
'ming'zhao'cang'yang'ji 命找舱扬挤
'miu'bai'ai'ju'ou 谬佰皑剧欧
'mo'cai'tan'chou 莫菜痰丑
'mo'deng'chao'yong'can 默凳朝踊惨
'mo'du'qi'jue'li 蓦毒旗爵隶
'mo'fa 沫发
'mo'hun'fen 漠婚粉
'mo'wan'chou'he'gou 抹顽仇菏沟
'mo'yuan'yi 莫远裔
'mo'yuan'yuan 莫远苑
'mo'zhai'bao'bing'qi 末宅暴并崎
'mou'xun'huang'bian'zhuo 谋汛皇边桌
'mou'you'ying'ying'yo'yong'he'he 谋釉营映哟拥何合
'mou'zhou'zhou 牟舟周
'mu'hou'hou 幕厚候
'mu'hou'hou'zai'fa 幕厚候哉罚
'mu'mu 墓暮
'mu'que'shen 牧缺渗
'na'bin'dan'zhi'mu 呐彬郸蜘牡
'na'xie'jie'mu'san 哪写睫姆三
'nan'ti 男惕
'nang'dou'lian'dou 囊抖脸斗
'nao'huo'huo'huo'huo'ju'huan'pan'si 淖火获或惑疽涣磐死
'nao'nao'jue'gong'gong'gou 恼闹觉贡共钩
'nao'nao'nao'huo'huo'huo'huo'ju'huan'er'er 恼闹淖火获或惑疽涣二贰
'ni'bei'shou'ju'qiao 匿贝守举悄
'ni'er'zheng'yang'li 溺贰拯殃傈
'ni'qiao'wu'da 腻瞧舞瘩
'ni'zheng'xiang'yu'nian 妮蒸乡域撵
'ni'zhuan'duo 霓砖舵
'nian'dai'gong'mian'jiao 撵待巩冕狡
'nian'gu'ku'bang'bao 蔫雇苦帮包
'nian'qiu'reng'pao 拈泅仍咆
'niao'wu'jue'wai'kou 鸟无绝歪抠
'nie'bo'yang'fu'dian 镍博鸯俘电
'nie'hen'guai'qiao'wa 镊狠乖悄蛙
'nie'ling 孽铃
'nie'ruo'dian'xia 孽若滇辖
'ning'tang'yao'yong'su 宁塘要踊粟
'nu'guo'lei'ru'yi 怒过镭茹以
'nu'kuang'gui'bing'zeng 努眶鬼并憎
'nuo'mian'ban'qi'lv 挪缅拌企率
'nuo'o'shun'gang 诺哦舜缸
'nuo'si'jing'yun'zhun 诺私粳耘准
'o'pan 哦叛
'ou'lan'jiao'huo'hua 偶览胶货哗
'ou'yan'yi'fu'guo 沤厌易妇过
'pa'jun'gu'pai'bu 琶郡孤徘哺
'pa'xie 怕携
'pa'xie'jiu'chi'chi'jiu'duo 怕携旧匙池臼掇
'pa'xie'jiu'chi'chi'jiu'duo'mao'duo 怕携旧匙池臼掇毛哆
'pa'xie'jiu'chi'chi'jiu'duo'yuan'peng'qiao'mo 怕携旧匙池臼掇缘捧鞘末
'pai'fu'qing'fu'zhai 排肤情釜斋
'pai'jian'yun'hao'yi 徘歼云貉易
'pai'qing'guan'guan'li 徘晴惯灌璃
'pan'di'chui'su'chu 盘堤捶速搐
'pan'hu'mian'qiao'pang'ji 叛狐绵敲胖际
'pan'hu'mian'qiao'pang'ji'ji'ji'ji'ai 叛狐绵敲胖际妓继纪隘
'pan'na 判那
'pan'na'nao 判那脑
'pan'tuo'gu'shang'mai 磐拖箍商买
'pang'ji'ji'ji'ji'ai 胖际妓继纪隘
'pang'xiao'hong'tian'zai 旁宵洪腆仔
'pao'xiu'jiu'jia'wa 炮朽揪家哇
'pao'yue'shan 炮跃栅
'pei'feng'zhi'li'die 胚烽秩李蝶
'pei'lv'chou'gai'yun 胚绿筹改晕
'pei'nie'nuo'tao'you 配捏挪逃佑
'peng'chan'chai'shu'dou 硼谗拆庶逗
'peng'dong'shuang'chou'xuan 砰冻爽稠宣
'peng'fan'mo'bo'yan 硼泛墨钵颜
'peng'nai'huang 彭奶恍
'peng'su'shua'ni'gou'gou 篷素耍腻狗垢
'peng'tang'tui'huan'zhu 澎堂推唤著
'peng'ti'mai'feng'bi 彭体埋逢毙
'peng'yi'yan'mi'zu 抨诣眼靡诅
'pi'bian 辟边
'pi'gu'ku'rou'bo'juan'luo'kan'juan'bang'xi'sha 屁古库揉剥娟洛坎绢谤嘻杀
'pi'guan'ying'lao'pao 砒惯蝇酪炮
'pi'han'xi'yi'shao 毗含膝疫芍
'pi'ji'ru'zhu'pu 脾急乳烛铺
'pi'leng'ba'han'gan 僻冷把焊竿
'pi'suo 琵琐
'pi'xi'xie'hun'xian'xian'chan'meng'meng'mi 辟晰挟混仙鲜搀梦孟眯
'pi'ya'ying'liu'cha 啤雅荧留碴
'pi'zhuan'pao'yang'hun 霹撰泡秧浑
'piao'jian'zhuan'shan'jian'shi'hun'mo 漂间专山捡式昏沫
'piao'juan'fu'zhi'xiao 票倦复治效
'pin'chi 拼驰
'pin'chuo'li'ben'jia 频绰荔奔佳
'ping'jiang'tuo'jia'you 苹蒋拓加悠
'ping'li'ren 乒历人
'ping'sao'ci'lan'zhang 凭骚茨谰瘴
'ping'wen'lan'zao'zhi 屏瘟栏蚤趾
'po'guo'ji'mie'kong'ling'mo'chou'ao'di 泼果棘蔑恐陵魔愁懊弟
'po'zha'rou'ping'fan 破榨肉屏翻
'pou'ke'gao'men'gang 剖壳糕闷钢
'pu'chan'zhen 普缠枕
'pu'mu'qin'zhu'chun 谱木勤主淳
'pu'nai 脯乃
'pu'ti'ni'nu'yi 埔蹄妮奴亦
'pu'xin'zhen'ba'zhong 莆新针把仲
'pu'you'qi'yuan'za 浦幼栖垣咋
'pu'zi'kui'jian'chou 朴子傀践仇
'qi'cu'ge'wu'po 汽醋鸽吾婆
'qi'dan'sha'xin'xing 凄单纱芯行
'qi'fei'liu'xie'long 妻吠榴卸笼
'qi'gun'cang'sun 妻棍仓笋
'qi'hui 柒秽
'qi'huo'you'hui'yong 祁伙优会咏
'qi'ji'beng 栖技迸
'qi'kong'qian'xia'bu 岂控遣辖不
'qi'lin'ge'mo 柒拎革膜
'qi'san'qiao'shai 脐伞俏晒
'qi'sen 漆森
'qi'shan 柒膳
'qi'shang'mu'piao'shi 崎上亩漂氏
'qi'shuo'pu'chao'mian 崎说谱超棉
'qi'sui'yan'ye'zou 器遂宴曳走
'qi'yang'que'na'man 期养却纳馒
'qi'yuan'wei'gui'shang 旗元违归尚
'qi'zhou'ai'yi'chen 骑诌蔼彝晨
'qi'zhuan'pie'dai'jiang 契赚撇呆江
'qia'ju'cheng'xun'tui 恰沮乘训推
'qian'fen'yong'bo'tang 扦粉踊泊塘
'qian'jian'shu'bi'mi 铅渐疏弊秘
'qian'pa'zhou'pei'si 歉琶州呸伺
'qian'she'zai'xin'luan 钳蛇仔忻峦
'qian'xia'huo'du'dan 堑霞豁毒担
'qian'xian'mi'qi'shuai 歉鲜幂起摔
'qiang'ji'mu'ji'nai 呛极募疾氖
'qiao'ai'yi'zhi'ji 瞧艾役置济
'qiao'cao'deng'bo 峭槽邓拨
'qiao'guai'guan 桥怪棺
'qiao'pian'chen'bao'bo 悄片郴堡博
'qiao'tiao 桥条
'qiao'wei'kuang'zun'ban 橇潍狂遵拌
'qie'ke 茄颗
'qin'bu'fu'yan'jie 钦不孵言劫
'qin'pi'yu'pi'si 勤疲羽脾斯
'qin'tuo'zhu'gu'yan 钦陀猪谷阉
'qing'che'chou'di'hei 倾彻愁抵嘿
'qing'fu'la'fu 清覆喇赋
'qing'hai'fu'shi 卿氦俯事
'qing'li'fa'you'nian 倾犁伐幼撵
'qing'liao'zhu'liang'guo 清镣珠粱国
'qing'qiong'cheng 庆琼惩
'qing'ti'wei'xing'he 擎题蔚姓荷
'qing'xian'niu 庆涎牛
'qing'ya'ya'ya'qing 顷押鸦鸭请
'qing'ying'wei'an'jing 倾樱畏安竟
'qing'yue'yue'yue'yue'yun'liu'long'yun 清粤月悦阅耘刘龙云
'qing'yue'yue'yue'yue'yun'yuan'peng'qiao'mo 清粤月悦阅耘缘捧鞘末
'qiong'quan'hai'bi'lou 琼醛骸臂漏
'qiu'chui'bi'lie'pou 球吹避猎剖
'qiu'fu'qiao'qu'jiong 囚富俏娶窘
'qiu'tuo'liao'gang 邱驮燎钢
'qu'ai'su'lei'shi 区哎溯类式
'qu'dian'cai'nai'niang 躯垫踩奶酿
