'a'luo'han'shen'gong 阿罗汉神功
'fu'xi'zhi'huan'ying'ji 伏羲之幻影屐
'fu'xi'zhi'sui'xin 伏羲之碎心
'fu'xi'zhi'wu'liang'bi'xie'shou 伏羲之无量辟邪手
'fu'xiu'wen 傅修文
'fu'yan'zhang 浮烟仗
'fu'yi 符沂
'fu'yuan'lu 福缘露
'fu'yun 拂云
'fu'yun'san'xue 浮云散雪
'fu'zhu'e 辅助峨
'fu'zhu'e'mei 辅助峨嵋
'fu'zhu'e'mei 辅助峨眉
'gai'bang 丐帮
'gai'bang'bang'fa 丐帮棒法
'gai'bang'chu'ji'gun'fa 丐帮初级棍法
'gai'bang'chu'ji'ji'neng 丐帮初级技能
'gai'bang'chu'ji'quan'fa 丐帮初级拳法
'gai'bang'chu'ji'xin'fa 丐帮初级心法
'gai'bang'gao'ji'gong'fa 丐帮高级功法
'gai'bang'gao'ji'quan'fa 丐帮高级拳法
'gai'bang'gao'ji'xin'fa 丐帮高级心法
'gai'bang'gun'fa 丐帮棍法
'gai'bang'ji'ben'quan'zhang'gong'fa 丐帮基本拳掌功法
'gai'bang'ji'ben'shi'gun'gong'fa 丐帮基本使棍功法
'gai'bang'jing'yi 丐帮净衣
'gai'bang'jing'yi'wu'gong 丐帮净衣武功
'gai'bang'ru'men'ren'wu 丐帮入门任务
'gai'bang'wu'yi 丐帮污衣
'gai'bang'wu'yi'wu'gong 丐帮污衣武功
'gai'bang'ying'zi 丐帮影子
'gai'bang'zhang'fa 丐帮掌法
'gai'bang'zhen'pai'quan'fa 丐帮镇派拳法
'gai'bang'zhi'gao'gun'fa 丐帮至高棍法
'gai'bang'zhong'ji'gong'fa 丐帮中级功法
'gai'bang'zhong'ji'ji'neng 丐帮中级技能
'gai'bang'zhong'ji'quan'fa 丐帮中级拳法
'gai'bang'zhong'ji'xin'fa 丐帮中级心法
'gai'ya 盖亚
'gan'shang'hu 甘尚虎
'gan'zhe 甘蔗
'gan'zheng'gu 甘正孤
'gan'zou'na'xie'qiang'dao 赶走那些强盗
'gao'chun'qiu 高春秋
'gao'ji'ji'neng 高级技能
'gao'ji'wu'gong 高级武功
'gao'sheng'quan 高升泉
'gao'shi'xian 高士贤
'gao'wei'bi 高卫壁
'gao'xing 高兴
'ge'ge 哥哥
'ge'shu'mo 哥舒漠
'geng'rong'fu 耿容复
'gong'fa'zong'jue 弓法总决
'gong'fu 攻辅
'gong'gong 公共
'gong'gong'gao 共工镐
'gong'ji'ming'zhong'lv 攻击命中率
'gong'ping'zi 公平子
'gong'shao'zhen 巩少榛
'gong'su 攻速
'gong'sun'shu 公孙书
'gong'xi 恭喜
'gong'xin'fa 弓心法
'gong'yi'zhi'zuo 工艺制作
'gou'ce 勾册
'gou'hun'jing 勾魂阱
'gou'mao'pi 狗毛皮
'gou'pi 狗皮
'gou'yun'pei 勾云佩
'gu'hun'zun 孤魂樽
'gu'jian'qiu 谷剑秋
'gu'lao'die 古老爹
'gu'mo 古默
'gu'qing'yang 古清扬
'gu'shou'teng 顾守腾
'gu'su'shui'xie 姑苏水榭
'gu'wu'chang 辜无常
'gu'yan'ran 古嫣然
'gu'yang'dong 古阳洞
'gu'yong'wu'shi 雇佣武士
'gu'yu'sou 沽誉叟
'gu'yue'hua 姑月华
'gu'zhan'chang 古战场
'guai'yi'de'shi'tou 怪异的石头
'guai'zi 拐子
'guan'tian'wen 关天问
'guan'yin'jue 观音诀
'guan'zi'mo 关子漠
'guang'huan'gong'ji'fu'zhu 光环攻击辅助
'guang'lian'dao 光链刀
'guang'tong'ma 光通麻
'gui'jia'pi 龟甲皮
'gui'jiang'jun 鬼将军
'gui'jing'qing 归惊晴
'gui'men'hui'lang 鬼门回廊
'gui'mian'shu'fa 鬼面束发
'gui'pi 龟皮
'gui'tou'dao 鬼头刀
'gui'yuan 归元
'gun'dao'shou 滚刀手
'gun'gai 棍丐
'gun'gai'bang 棍丐帮
'gun'shao 棍少
'gun'shao'lin 棍少林
'guo'an'yong 国安用
'guo'lu'lv'ke 过路旅客
'ha'er'ba'la 哈尔巴拉
'ha'ha 哈哈
'hai'shang'sheng'ming'yue 海上升明月
'hai'shen'fa'jie 海神发结
'hai'yue'qing'hui 海月清辉
'han'bing 寒冰
'han'guang'chan'shou 含光缠手
'han'po'shan 韩破山
'han'sha'she'ying 含沙射影
'han'shan'gu'cha 寒山古刹
'han'shuang'pao 寒霜袍
'han'shui'gu'du 汉水古渡
'han'tian'zhi'cheng'long'zhan'xue 撼天之乘龙战靴
'han'tian'zhi'hu'tou'jin'shu'wan 撼天之虎头紧束腕
'han'tian'zhi'wei'wu'shu'yao'huan 撼天之威武束腰环
'han'tian'zhi'wu'shen'xiang'jin'jia 撼天之武神镶金甲
'han'tie'ding 寒铁锭
'han'tie'kuang'shi 寒铁矿石
'han'yan'shou 含烟手
'han'yi 韩义
'han'you'gu 含幽谷
'han'yue'jian'qi'shuang 寒月剑气霜
'han'zhi 韩智
'han'zhi'rang'lin'ju 韩智让邻居
'hao'hua'yi'gui 豪华衣柜
'hao'piao'liang 郝漂靓
'hao'xia'yi 豪侠衣
'hao'yong'zhuang 豪勇装
'hao'you'xi 好游戏
'hao'zhong 号钟
'he'huan'xiang'nang 合欢香囊
'he'lian'su 何连素
'he'shao'xiong 贺少雄
'he'shi'bi 和氏璧
'he'tai'za'mu 合台紮木
'he'tai'zha'mu 合台扎木
'he'wu'gun 鹤舞棍
'he'ye'pei 荷叶佩
'hei'diao'qiu 黑貂裘
'hei'feng'dong 黑风洞
'hei'feng'jian'ke 黑风剑客
'hei'jin 黑锦
'hei'jin'tou'dai 黑锦头带
'hei'long 黑龙
'hei'quan'ling'xue 黑犬灵血
'hei'rong'xiu'zhuang 黑绒绣装
'hei'shui'chu 黑水锄
'hei'shui'dao'ke 黑水刀客
'hei'shui'jian'shi 黑水剑士
'hei'shui'kuai'qi'bing 黑水快骑兵
'hei'shui'yun'qi'bing 黑水云骑兵
'hei'tie'zhuang 黑铁装
'hei'wu'chang 黑无常
'hei'xi'hu'wan 黑犀护腕
'hei'xin'quan 黑心犬
'hei'xue'shen'zhen 黑血神针
'hei'ya 黑鸦
'hei'yu'duan'xu'gao 黑玉断续膏
'hei'zao'bu'yi 黑皂布衣
'heng'shan'hu'qi 横山虎骑
'heng'shan'qiang'bu'bing 横山羌步兵
'heng'shan'ying'qi 横山鹰骑
'hong'chen'ke'xiao'qing'nan'xiao 红尘可笑情难消
'hong'chen'ren'xiao'yao 红尘任逍遥
'hong'fa'zhang 弘法杖
'hong'fu'qi'tian 洪福齐天
'hong'hu 鸿鹄
'hong'hu'shou'zhuo 鸿鹄手镯
'hong'hu'shou'zhuo 洪鹄手镯
'hong'jin'ren 红巾人
'hong'jing 红睛
'hong'ling'mian'jin 红绫面巾
'hong'mo'shou 红魔手
'hong'ni'chang 红霓裳
'hong'qi 洪七
'hong'rong'jia 红茸甲
'hong'ying'qiang 红缨枪
'hong'ying'zhi'hong'xiu'zhao 鸿影之红袖招
'hong'ying'zhi'jian'gua'xi'fang 鸿影之剑挂西方
'hong'ying'zhi'mu'xu'xiang'wang 鸿影之苜蓿相忘
'hong'ying'zhi'shen'yuan'wan'zui 鸿影之沈园晚醉
'hong'yu 红玉
'hong'yun'dang'tou 鸿运当头
'hong'yun'shang 红云裳
'hong'yun'xiu'zhuang 红云绣装
'hong'zhuang'zhi'wei'jun 红妆只为君
'hou'shan'jin'di 后山禁地
'hou'tu'ying'tu'bing 厚土营土兵
'hou'yi'luo'ri'huan 后羿落日环
'hu'feng'fa 呼风法
'hu'fo'ban'zhi 护佛扳指
'hu'guan'tie'qi'bing 护关铁骑兵
'hu'hu'de'yue'bing 糊糊的月饼
'hu'ji'wu'yi 胡姬舞衣
'hu'ji'xiu'zhuang 胡姬绣装
'hu'jia 胡嘉
'hu'jia'zhi'zao 护甲织造
'hu'jiao 胡椒
'hu'lei'bo 忽雷驳
'hu'ling'dao'bing 护陵刀兵
'hu'ling'gong'shou 护陵弓手
'hu'ling'nu'shou 护陵弩手
'hu'ling'qiang'bing 护陵枪兵
'hu'mao'pi 虎毛皮
'hu'mao'pi 狐毛皮
'hu'pan'zhu'lin 湖畔竹林
'hu'pi 虎皮
'hu'pi 狐皮
'hu'pi'jin'zhuang 虎皮劲装
'hu'pi'zhuang 虎皮装
'hu'qing'shi 虎晴石
'hu'qing'xiang'lian 虎晴项链
'hu'qing'yuan'shi 虎晴原石
'hu'qiu'jian'chi 虎丘剑池
'hu'shen'fu 护身符
'hu'si'seng'bing 护寺僧兵
'hu'ti'han'bing 护体寒冰
'hu'wei'gun 虎尾棍
'hu'xian'ji 胡献姬
'hu'xiao 虎啸
'hu'yi'lang 胡一郎
'hu'yuan'jia'ding 护院家丁
'hua'ban'hu'die 花斑蝴蝶
'hua'bu'liu'shou 滑不溜手
'hua'gu'fen 化骨粉
'hua'li'mu 花梨木
'hua'li'mu'ban 花梨木板
'hua'luo'sui'feng 花落随风
'hua'mang 花蟒
'hua'shan 华山
'hua'xian'wei'yi 化险为夷
'hua'yang'jin 华阳巾
'hua'yu'tai 滑鱼台
'huai'bi'qi'zui 怀壁其罪
'huai'shui'sha'zhou 淮水沙洲
'huan'gu 幻蛊
'huan'hua'shang 浣花裳
'huan'hua'xi 浣花溪
'huan'shen'jue 幻神诀
'huan'wu'dao'zhe 幻武刀者
'huan'wu'jian'zhe 幻武剑者
'huan'yang'dan 还阳丹
'huan'ying'mi'ji 幻影秘籍
'huan'ying'wu'xing'jian 幻影无形剑
'huan'ying'xin'fa 幻影心法
'huan'ying'zhuang 幻影装
'huan'ying'zhui'hun'qiang 幻影追魂枪
'huan'zi'qiang 环子枪
'huang'bu'fa'dai 黄布发带
'huang'chao'yu'xi 皇朝玉玺
'huang'chou'bao 黄绸包
'huang'chou'shu'dai 黄绸束带
'huang'da'shen 黄大婶
'huang'di'tao 黄帝套
'huang'fu'tan 皇甫坦
'huang'guang 煌光
'huang'he'lou 黄鹤楼
'huang'hu'ling'gu 黄虎灵骨
'huang'hu'pi'yi 黄虎皮衣
'huang'hu'wang 黄虎王
'huang'jin'ban'zhi 黄金扳指
'huang'jin'fu'dai 黄金福袋
'huang'jin'gao 黄金糕
'huang'jin'ke 黄巾客
'huang'jin'tu'pu 黄金图谱
'huang'li'bao 黄力豹
'huang'ling'kan'shou 皇陵看守
'huang'ling'mi'shi 皇陵秘事
'huang'ling'mu 皇陵墓
'huang'ling'mu'shi 皇陵墓室
'huang'long 黄龙
'huang'ma 黄麻
'huang'ma'bu 黄麻布
'huang'tong'yao'shi 黄铜钥匙
'huang'wan'jie 黄万劫
'huang'wu'zhi'jie 荒芜之戒
'hui'cheng'fu 回城符
'hui'feng 回风
'hui'feng'luo'yan 回风落雁
'hui'feng'zhuang 回风装
'hui'huang'ba'wang'ling 辉煌霸王令
'hui'huang'jun'gong'zhang 辉煌军功章
'hui'huang'zhi'guo 辉煌之果
'hui'jian'zhan'qing'si 慧剑斩情丝
'hui'long'jian 回龙箭
'hui'long'zhuan'feng'geng 回龙转凤羹
'hui'meng'ling'pai 会盟令牌
'hui'tian'dan 回天丹
'hui'tian'zai'zao'dan 回天再造丹
'hui'tian'zai'zao'jin'nang 回天再造锦囊
'hui'tu 灰兔
'hui'xian'ling 会仙岭
'hui'xin 会心
'hui'xin'shi'tai 慧心师太
'hui'yan'zhou 慧眼咒
'hui'yin'shi'tai 慧音师太
'hun'dao 昏倒
'hun'dun'mi'ji 混沌秘籍
'hun'dun'wu'yue'quan 混沌五岳拳
'hun'dun'xin'fa 混沌心法
'hun'qing'li'hua'bao 婚庆礼花包
'hun'tian'qi'gong 混天气功
'hun'yuan'qian'kun 混元乾坤
'hun'yuan'yi'qi 混元一气
'hun'yuan'yi'qi'gong 混元一气功
'huo'dong'tui'guang'yuan 活动推广员
'huo'fang 火防
'huo'fu'zhi'jie 火府之戒
'huo'gong'tou 伙工头
'huo'huan'jin 火浣锦
'huo'huan'xiu'zhuang 火浣绣装
'huo'jian 火剑
'huo'jian'qiang 火尖枪
'huo'ke'jin 火克金
'huo'lian'fen'hua 火莲焚华
'huo'lin'hu'wan 火鳞护腕
'huo'ma 火麻
'huo'ma'bu 火麻布
'huo'qi'hu'wan 火麒护腕
'huo'qi'lin 火麒麟
'huo'qi'san 活气散
'huo'tui'yue'bing 火腿月饼
'huo'wan 火烷
'huo'wan'bu 火烷布
'huo'xi 火系
'huo'xi'chu'ji'jian'fa 火系初级剑法
'huo'xi'gao'ji'jian'fa 火系高级剑法
'huo'xi'zhong'ji'jian'fa 火系中级剑法
'huo'xiang 藿香
'huo'xiang'fen 藿香粉
'huo'xiang'zhuang 火翔装
'huo'ying'shen'dao 火影神刀
'huo'yu 火羽
'huo'zhu'sheng'shan 火蛛圣衫
'ji'ben'xin'fa 基本心法
'ji'chu'ji'yi 基础技艺
'ji'du 嫉妒
'ji'feng 疾风
'ji'feng'zhi'cui'yu'xuan'huang'wan 及丰之翠玉玄黄腕
'ji'feng'zhi'qing'song'fa'jie 及丰之青松法戒
'ji'feng'zhi'san'qing'fu 及丰之三清符
'ji'feng'zhi'xuan'si'san'duan'jin 及丰之玄丝三段锦
'ji'feng'zhi'zhen'wu'jian 及丰之真武剑
'ji'guan'da'shi 机关大师
'ji'guan'dong 鸡冠洞
'ji'guan'lang 机关狼
'ji'guan'ling'jian 机关零件
'ji'guan'mu'ren 机关木人
'ji'guan'nai'jiu 机关耐久
'ji'guan'nai'jiu'du 机关耐久度
'ji'guan'po'jie'shu 机关破解术
'ji'guan'ren 机关人
'ji'guan'shu 机关术
'ji'guan'shu'shu 机关术书
'ji'guan'tong'ren 机关铜人
'ji'guan'xiang 机关箱
'ji'guan'xue'zao'yi 机关学造诣
'ji'guan'zao'yi 机关造诣
'ji'huan 寂幻
'ji'neng'cheng'zhang 技能成长
'ji'neng'huo'de 技能获得
'ji'neng'shi'yong 技能使用
'ji'neng'xiao'hao'pin 技能消耗品
'ji'qian'cheng 纪千城
'ji'qiang'hu'wan 棘墙护腕
'ji'shi'xie'qi 集尸邪气
'ji'shu'ban 季叔班
'ji'xiang'fu 吉祥符
'ji'xue'shi 鸡血石
'ji'xue'yuan'shi 鸡血原石
'ji'ye'zhi'bai'hu'wu'shuang'kou 继业之白虎无双扣
'ji'ye'zhi'ben'lei'zuan'long'qiang 继业之奔雷钻龙枪
'ji'ye'zhi'huo'yun'qi'lin'shou 继业之火云麒麟手
'ji'ye'zhi'xuan'wu'huang'jin'kai 继业之玄武黄金铠
'ji'ye'zhi'zhu'que'ling'yun'xue 继业之朱雀凌云靴
'ji'yuan'zhen'ren 集缘真人
'jia'chang'si'ji'dou 家常四季豆
'jia'chuan'ji'yi 家传技艺
'jia'lan'shu'yao 甲岚束腰
'jia'lan'yao'dai 甲岚腰带
'jia'lou'luo 枷楼罗
'jia'nan'xiang'nang 迦楠香囊
'jia'ren 嫁人
'jia'sha'fu'mo'shen'tong 袈裟伏魔神通
'jia'shan'ren 贾善仁
'jia'ye'tui 迦叶腿
'jia'yi'shen'gong 嫁衣神功
'jia'yu'guan 嘉峪关
'jia'zu'mo'shi 家族模式
'jia'zu'zhao'huan'ling'pai 家族召唤令牌
'jia'zu'zhao'huan'quan'zhang 家族召唤权杖
'jian'cui 剑翠
'jian'cui'yan 剑翠烟
'jian'ding'fu 鉴定符
'jian'ding'wu'pin 鉴定物品
'jian'fei'jing'tian 剑飞惊天
'jian'ge'shu'dao 剑阁蜀道
'jian'gong 监工
'jian'gong'tou'ling 监工头领
'jian'ju'dong 荐菊洞
'jian'ju'dong'mi'gong 荐菊洞密宫
'jian'jue 剑绝
'jian'jue'tou'jin 剑绝头巾
'jian'jue'yi 剑绝衣
'jian'jue'zhuang 剑绝装
'jian'kang'jing'yan 健康经验
'jian'kun 剑昆
'jian'kun'lun 剑昆仑
'jian'li'dui'wu 建立队伍
'jian'ling'gong'jiang 建陵工匠
'jian'men'guan 剑门关
'jian'men'shou'jun 剑门守军
'jian'mian 见面
'jian'ming 剑明
'jian'ming'jiao 剑明教
'jian'nu 剑奴
'jian'qi'zong'heng 剑气纵横
'jian'ren'shen'shou 见人伸手
'jian'wang 剑网
'jian'wu 剑武
'jian'wu'dang 剑武当
'jian'xia 剑侠
'jian'xia'ci'dian 剑侠辞典
'jian'xian'zi 剑仙子
'jian'xing'feng 见性峰
'jian'ying'fo'guang 剑影佛光
'jiang'bei'peng'jia 江北彭家
'jiang'bei'yi'shi 江北义士
'jiang'chen'yan 江沉雁
'jiang'hu'dao'ke 江湖刀客
'jiang'hu'ji'yi 江湖技艺
'jiang'hu'jian'ke 江湖剑客
'jiang'hu'kuai'bao'jiang'hu'shao'xia 江湖快报江湖少侠
'jiang'hu'ren'shi 江湖人士
'jiang'hu'zui'hou'yi'wei'xia'ke 江湖最后一位侠客
'jiang'hu'zui'hou'yi'wei'xia'nv 江湖最后一位侠女
'jiang'huang 姜黄
'jiang'huang'fen 姜黄粉
'jiang'jin'cun 江津村
'jiang'jun'bai'ma 将军白马
'jiang'jun'zhi'jie 将军之戒
'jiang'nan'pi'li'tang'lei'men 江南霹雳堂雷门
'jiang'nan'qiao'shou'tang 江南巧手堂
'jiang'nan'yi'shi 江南义士
'jiang'nan'zhi'zao'fang 江南织造坊
'jiang'shi'wu'qi'zhi'zuo'shou'shu 匠师武器制作手书
'jiang'wei 蒋维
'jiang'zi'yao 姜自遥
'jiao'dian'ke'zhan 脚店客站
'jiao'fei'bing 剿匪兵
'jiao'hai'bang 搅海棒
'jiao'xiao'nv'zi'shang'yi 娇小女子上衣
'jiao'xiao'nv'zi'tou'shi 娇小女子头饰
'jiao'xiao'nv'zi'xia'yi 娇小女子下衣
'jie'du'dan 解毒丹
'jie'du'mi'shu 解毒秘术
'jie'geng 桔梗
'jie'geng'fen 桔梗粉
'jie'gui'nan 解归南
'jie'heng'shou 截衡兽
'jie'jie 姐姐
'jie'yi'jie'hun 结义结婚
'jie'yin'ren'wu 接引任务
'jin'bu'fa'dai 锦布发带
'jin'can'chou 金蚕绸
'jin'can'si 金蚕丝
'jin'chan'pu 金蝉谱
'jin'chan'tuo'qiao 金蝉脱壳
'jin'cheng'tuo 金秤砣
'jin'chi'xue 金齿靴
'jin'chuang'san 金创散
'jin'chuang'yao 金疮药
'jin'dao'bing 金刀兵
'jin'ding 金锭
'jin'feng'chai 金凤钗
'jin'feng'guan 金风冠
'jin'feng'guan 金凤冠
'jin'feng'zan 金凤簪
'jin'feng'zhan'chi'kui 金凤展翅盔
'jin'gang'bu'huai 金刚不坏
'jin'gang'fu'mo'jing 金刚伏魔经
'jin'gang'fu'mo'xin'fa 金刚伏魔心法
'jin'gang'gao 金刚镐
'jin'gang'san 金刚散
'jin'gang'shi 金刚石
'jin'gang'yuan'shi 金刚原石
'jin'ge'tie'ma 金戈铁马
'jin'gou'qiang 金钩枪
'jin'gu'bang 金箍棒
'jin'gua'chui 金瓜锤
'jin'guo'huang'ling 金国皇陵
'jin'guo'mi'tan 金国密探
'jin'guo'shan 巾帼衫
'jin'guo'xi'zuo 金国细作
'jin'guo'xiao'wei 金国校尉
'jin'guo'xing'shang 金国行商
'jin'hong'shi 金红石
'jin'hong'yuan'shi 金红原石
'jin'hua'yue'bing 金华月饼
'jin'jun 金军
'jin'jun 禁军
'jin'jun'zhao'mu'shi 金军招募使
'jin'ke'mu 金克木
'jin'kuang'shi 金矿石
'jin'kuang'shou'wei 金矿守卫
'jin'lan'zhuang 锦澜装
'jin'lin'hu'wan 金鳞护腕
'jin'luo'bo 金萝卜
'jin'lv'xie 金缕鞋
'jin'lv'xue 金缕靴
'jin'lv'zhuang 金缕装
'jin'mei'han'xiang'yue 金梅寒香月
'jin'na'luo'bang 紧那罗棒
'jin'na'luo'de'lu'gu 紧那罗的颅骨
'jin'nang 锦囊
'jin'qiang'bing 金枪兵
'jin'ri'zhong'zhong 今日种种
'jin'shan 锦衫
'jin'shan'yi'ka'tong 金山一卡通
'jin'shan'zhang'men'ren 金山掌门人
'jin'shi'dao 金实稻
'jin'si'bao 锦丝包
'jin'si'chan'dai 锦丝缠带
'jin'si'jia'yi 金丝甲衣
'jin'si'zhuang 金丝装
'jin'tao'fa'dai 金绦发带
'jin'tiao 金条
'jin'tong'bing'jian 禁铜冰鉴
'jin'wei'bing 禁卫兵
'jin'xi 金犀
'jin'xi 金系
'jin'xi'chu'ji'jian'fa 金系初级剑法
'jin'xi'gao'ji'jian'fa 金系高级剑法
'jin'xi'zhong'ji'jian'fa 金系中级剑法
'jin'xian'guan 进贤冠
'jin'yin'hua 金银花
'jin'yin'hua'fen 金银花粉
'jin'ying'shang 锦缨裳
'jin'ying'xiu'zhuang 锦樱绣装
'jin'yu'chou'bao 金玉绸包
'jin'yu'chou'shan 金玉绸衫
'jin'yu'man'tang 金玉满堂
'jin'yu'zhi'fa 金玉指法
'jin'yun'shang 锦云裳
'jin'zhong'zhao 金钟罩
'jing'bu'ping 荆不平
'jing'diao'hua'gang'shi 精雕花岗石
'jing'gang'xuan'jin'jia 精钢炫金甲
'jing'gang'zhan'kui 精钢战盔
'jing'lei'bi 惊雷笔
'jing'lei'po'tian 惊雷破天
'jing'lei'qiang 惊雷枪
'jing'lian'jin'xi 精炼金犀
'jing'qi'bing 精骑兵
'jing'qi'san 精气散
'jing'qiang'hu'wan 荆墙护腕
'jing'tao'qin 惊涛琴
'jing'tie'gong 精铁弓
'jing'tie'shu'dai 精铁束带
'jing'tie'shu'fa 精铁束发
'jing'tong 净通
'jing'xin'jue 静心诀
'jing'ye'si 静夜思
'jing'yuan 净圆
'jing'zhong 警钟
'jiu'chou 旧仇
'jiu'chuan 旧船
'jiu'duan'chang'lu'xing'ta'xiang 酒断肠路醒他乡
'jiu'hen 旧恨
'jiu'ji'cun'min 救济村民
'jiu'jue'jian'mo 九绝剑魔
'jiu'lao'dong 九老洞
'jiu'lao'feng 九老峰
'jiu'lou 酒楼
'jiu'ming 九命
'jiu'mo'luo 鸠摩罗
'jiu'tou'jin'feng 九头金凤
'jiu'wei'yin'hu 九尾银狐
'jiu'xiao'huan'pei 九霄环佩
'jiu'xuan'ju 九玄居
'jiu'yi'xi 九嶷溪
'jiu'yin'dao 九音刀
'jiu'zhuan'huan'hun'dan 九转还魂丹
'jiu'zhuan'hui'hun'dan 九转回魂丹
'jiu'zhuan'xiong'she'wan 九转熊蛇丸
'jiu'zhuan'xu'ming'wan 九转续命丸
'ju'bei'wang'yue'qiang'wei'xiao 举杯望月强为笑
'ju'hua'shi 菊花石
'ju'hua'yuan'shi 菊花原石
'ju'jia'mang'pi 巨甲蟒皮
'ju'ling'bi'shou 聚灵匕首
'ju'mang'pi 巨蟒皮
'ju'mu 巨木
'ju'niao'mao'pi 巨鸟毛皮
'ju'niao'pi 巨鸟皮
'ju'qing'ren'wu 剧情任务
'ju'shi'san 巨石散
'ju'xi'jia'pi 巨蜥甲皮
'ju'xi'pi 巨细皮
'ju'xiang'mao'pi 巨象毛皮
'ju'xiang'pi 巨象皮
'ju'yan'ze 居延泽
'ju'yuan 聚元
'ju'yuan'gong'pu 聚元功谱
'ju'yuan'mao'pi 巨猿毛皮
'ju'yuan'pi 巨猿皮
'jue'dai'gao'shou 绝代高手
'jue'huo'xue 绝火靴
'jue'se'si'wang 角色死亡
'jue'ying'dao 绝影刀
'jue'yu 绝玉
'jue'yu'guan 绝玉冠
'jue'yu'shu'e 绝玉束额
'jun'ma'chang 军马场
'jun'xiang'dai 军饷袋
'jun'yi'mo'lu 君已陌路
'jun'ying 军营
'jun'ying'sheng'wang 军营声望
'jun'yong'shou'ji'shu 军用收集书
'jun'yong'tong'chou'shu 军用统筹书
'jun'yong'wei'ren'shu 军用委任书
'jun'zi'gong 君子功
'jun'zi'mi'ji 君子秘籍
'jun'zi'xin'fa 君子心法
'kai'shan'pu 开山谱
'kai'shen'shu 开神术
'kai'tian'shi 开天式
'kai'zheng'shu 开证书
'kang'long'shou 亢龙手
'kang'long'you'hui 亢龙有悔
'ke'lian 可怜
'ke'xiong'fei 柯雄飞
'kong'bu'yong 孔不庸
'kong'jue'xin'fa 空绝心法
'kong'ming'zhang 空明杖
'kong'que'shi 孔雀石
'kong'que'yuan'shi 孔雀原石
'kong'que'zan 孔雀簪
'kong'sang'shan 空桑山
'kou'hao 口号
'ku'gong 苦工
'ku'lou'dao'shou 骷髅刀手
'ku'lou'qiang'shou 骷髅枪手
'ku'qi 哭泣
'ku'rong'chan'gong 枯荣禅功
'ku'xiu'ni 苦修尼
'kuai'dao'ke 快刀客
'kuai'jian'ke 快剑客
'kuai'jie'jian'mo'ren'she'zhi 快捷键默认设置
'kuai'su'gou'mai 快速购买
'kuai'su'mai'chu 快速卖出
'kuang'dao'ru'kou 矿道入口
'kuang'feng'sha 狂风沙
'kuang'feng'zhao 狂风爪
'kuang'feng'zhou'dian 狂风骤电
'kuang'lei'zhen'di 狂雷震地
'kuang'wu'jia'gong 矿物加工
'kuang'xiong'mao'pi 狂熊毛皮
'kuang'xiong'pi 狂熊皮
'kuang'yan'zhuang 狂炎装
'kui'lei'du'ren 傀儡毒人
'kui'lei'gu 傀儡蛊
'kui'tian'da'he'gun 揆天大阖棍
'kui'tian'mi'ji 揆天秘籍
'kui'tian'xin'fa 揆天心法
'kui'wu'nan'zi'shang'yi 魁梧男子上衣
'kui'wu'nan'zi'tou'shi 魁梧男子头饰
'kui'wu'nan'zi'xia'yi 魁梧男子下衣
'kun'hu'yun'xiao 困虎云啸
'kun'lun 昆仑
'kun'lun'dao'fa 昆仑刀法
'kun'lun'jian'fa 昆仑剑法
'kun'peng'fu 鲲鹏符
'kun'wu'shan 昆吾山
'la'ba'zhou 腊八粥
'lan'die'shu'fa 蓝蝶束发
'lan'fei'zhao'gui 蓝飞爪鬼
'lan'hua'pei 兰花佩
'lan'hua'xiang'nang 兰花香囊
'lan'jing'pi'jia 蓝鲸皮甲
'lan'mian'ren 蓝面人
'lan'mu'yan'huo 蓝幕焰火
'lan'yan'jia 蓝燕甲
'lan'yue'cun 岚岳村
'lang'ji'tian'ya 浪迹天涯
'lang'mao 狼毛
'lang'mao'pi 狼毛皮
'lang'pi 狼皮
'lang'pi'zhuang 狼皮装
'lang'wen'dao 狼吻刀
'lang'xie'guan 琅邪冠
'lang'ya'chui 狼牙锤
'lang'ya'dong'fu 琅琊洞府
'lang'ya'guan 琅琊冠
'lang'zhu'chou 狼蛛绸
'lang'zhu'si 狼蛛丝
'lao'mai'de'xue'yuan 老迈的雪猿
'lao'nv'pu 老女仆
'lao'zui'tou 老醉头
'lei'chi'guan 雷池冠
'lei'chi'mian'ju 雷池面具
'lei'dong'jiu'tian 雷动九天
'lei'dong'wan'wu 雷动万物
'lei'fang 雷防
'lei'qiong'zhi'feng'lei'qing'jin'dai 雷穹之风雷青锦带
'lei'qiong'zhi'han'song'bing'bai'guan 雷穹之寒松冰柏冠
'lei'qiong'zhi'jiu'tian'yin'lei'jie 雷穹之九天引雷戒
'lei'qiong'zhi'ling'yu'yun'lei'wan 雷穹之灵玉蕴雷腕
'lei'qiong'zhi'tian'di'hu'fu 雷穹之天地护符
'lei'qiu'ke 雷裘客
'lei'shen 雷神
'lei'shen'dao 雷神刀
'lei'shen'fu 雷神符
'lei'tai'lao'ban 擂台老板
'lei'tai'sai 擂台赛
'lei'ze'chui 雷泽鎚
'leng'can'chou 冷蚕绸
'leng'can'si 冷蚕丝
'leng'qiu'yun 冷秋云
'leng'xiang'ling 冷香菱
'leng'yue'ning'shuang 冷月凝霜
'li'an'quan 李安全
'li'e'yao'hai 力扼要害
'li'feng'shou 李丰收
'li'guan 礼官
'li'huo'da'fa 离火大法
'li'jin'xiang 礼金箱
'li'jin'yong 李进勇
'li'liang 力量
