'a'lun'fang'cha 阿伦方差
'fen'bu'zuo'yong'fang'da'qi 分布作用放大器
'fen'bu'zuo'yong'su'diao'guan 分布作用速调管
'fen'bu'zuo'yong'zhen'dang'qi 分布作用振荡器
'fen'ceng 分层
'fen'ceng'bian'ma 分层编码
'fen'ci'yu'bu'pi'zha 纷刺煜卟庀蚱
'fen'ge 分割
'fen'ji 分集
'fen'ji'she'ji'fa 分级设计法
'fen'ji'wang 分级网
'fen'jie 分接
'fen'li'duo'jing'jie'shou 分离多径接收
'fen'li'li 分离力
'fen'li'lian'jie'qi 分离连接器
'fen'li'zhe'die'bo'dao 分离折叠波导
'fen'lu'qi 分路器
'fen'mi'bo 分米波
'fen'mi'bo'tong'xin 分米波通信
'fen'mo'dian'zhi'fa'guang 粉末电致发光
'fen'ning'xi'shu 分凝系数
'fen'pin 分频
'fen'pin'qi 分频器
'fen'san'kong'zhi 分散控制
'fen'shi'di'zhi'huan'chong'qi 分时地址缓冲器
'fen'ya'fen'xi'qi 分压分析器
'fen'ya'li 分压力
'fen'ya'zhen'kong'ji 分压真空计
'fen'yong'qi 分用器
'fen'zhi'dian 分支点
'fen'zhi'guang'lan 分支光缆
'fen'zhi'ju 分支局
'fen'zi 分子
'fen'zi'beng 分子泵
'fen'zi'dian'zi'xue 分子电子学
'fen'zi'liu 分子流
'fen'zi'qi'jian 分子器件
'fen'zi'qi'ti'ji'guang'qi 分子气体激光器
'fen'zi'shai'jing 分子筛阱
'fen'zi'shu'wai'yan 分子束外延
'fen'zi'xie'liu 分子泻流
'fen'zi'zhen'dang'qi 分子振荡器
'fen'zu'jiao'huan 分组交换
'fen'zu'jiao'huan'ji 分组交换机
'fen'zu'jiao'huan'wang 分组交换网
'fen'zu'ma 分组码
'fen'zu'mi'ma 分组密码
'fen'zu'zhuang'chai 分组装拆
'feng'bao'gong'lv 峰包功率
'feng'hua'qi 峰化器
'feng'kou 封口
'feng'wo'zhuang'wu'xian'dian'hua 蜂窝状无线电话
'feng'xi'tian'xian 缝隙天线
'feng'zhi'du'zhuan'dian'liu 峰值堵转电流
'feng'zhi'du'zhuan'kong'zhi'gong'lv 峰值堵转控制功率
'feng'zhi'gong'lv'ji 峰值功率计
'feng'zhi'jian'bo 峰值检波
'feng'zhi'jian'ce 峰值检测
'feng'zhuang 封装
'feng'zhuang'yin'zi 封装因子
'fou'ren 否认
'fu'ban 副瓣
'fu'bi'te'ma 副比特码
'fu'bo'ban 覆箔板
'fu'chong'dian 浮充电
'fu'dian 腹点
'fu'dian'zi'qin'he'shi 负电子亲和势
'fu'dian'zi'qin'he'shi'yin'ji 负电子亲和势阴极
'fu'dong'an'zhuang'lian'jie'qi 浮动安装连接器
'fu'du 幅度
'fu'du'bian'huan'qi 幅度变换器
'fu'du'fen'xi'qi 幅度分析器
'fu'du'jian'bie'qi 幅度鉴别器
'fu'du'jian'bo 幅度检波
'fu'du'zao'sheng 幅度噪声
'fu'er 伏尔
'fu'fan'kui 负反馈
'fu'fan'kui'fang'da'qi 负反馈放大器
'fu'fan'she'qi 副反射器
'fu'fei'dian'shi 付费电视
'fu'fen'yin'ji 敷粉阴极
'fu'hao 符号
'fu'hao'bu'tu'fa 符号布图法
'fu'he 复合
'fu'he'ba 复合靶
'fu'he'jie'zhi'dian'rong'qi 复合介质电容器
'fu'he'kong'zhi 复合控制
'fu'he'mu'biao 复合目标
'fu'he'yong'ci'ti 复合永磁体
'fu'ji 负极
'fu'ji'hua'bi 复极化比
'fu'jia'xin'dao'guang'bo 附加信道广播
'fu'jia'ye'wu 附加业务
'fu'jiao'huan'zi 副交换子
'fu'jie 复接
'fu'la'suo'fu'fang'cheng 弗拉索夫方程
'fu'li'ye'fen'xi'yi 傅里叶分析仪
'fu'pin'lv 复频率
'fu'pin'te'xing 幅频特性
'fu'shan'xue'beng'zhu'ru 浮栅雪崩注入
'fu'shang 负熵
'fu'she 辐射
'fu'she'bao'jing'zhuang'zhi 辐射报警装置
'fu'she'ce'jing'zhuang'zhi 辐射测井装置
'fu'she'ce'liang'yi 辐射测量仪
'fu'she'chuan'gan'qi 辐射传感器
'fu'she'dian'zu 辐射电阻
'fu'she'han'liang'ji 辐射含量计
'fu'she'ji 辐射计
'fu'she'jian'ce'qi 辐射监测器
'fu'she'neng'pu'yi 辐射能谱仪
'fu'she'qi 辐射器
'fu'she'qiang'du 辐射强度
'fu'she'shi'yan 辐射试验
'fu'she'sun'shang 辐射损伤
'fu'she'tan'ce'qi 辐射探测器
'fu'she'xiao'lv 辐射效率
'fu'she'zhi'shi'qi 辐射指示器
'fu'shu'ci'dao'lv 复数磁导率
'fu'ta'ke 伏塔克
'fu'tai 副台
'fu'te'biao 伏特表
'fu'tuo'gong'yi 浮脱工艺
'fu'wei'chu'fa'qi 复位触发器
'fu'wei'fen'qian'yi'lv 负微分迁移率
'fu'wei'li 复位力
'fu'wu'deng'ji 服务等级
'fu'xi'shou 负吸收
'fu'xian'xing 复现性
'fu'xiang'tu 幅相图
'fu'xing'bo'shu'tian'xian 赋形波束天线
'fu'xing'guang'ke'jiao 负性光刻胶
'fu'yi'jian'kong 幅移键控
'fu'yin'xiao'ying 复印效应
'fu'yong'mo'ni'fen'liang 复用模拟分量
'fu'yong'qi 复用器
'fu'yong'zhuan'huan 复用转换
'fu'yue'er'ji'guan 俘越二极管
'fu'zai 负载
'fu'zai'bi 负载比
'fu'zai'dian'ya 负载电压
'fu'zai'te'xing 负载特性
'fu'zhao'du 辐照度
'fu'zhen 复帧
'fu'zhi'kong'zhi 幅值控制
'fu'zhu'can'kao'mai'chong 辅助参考脉冲
'fu'zhu'qiang 辅助腔
'fu'zhuo 附着
'fu'zu'xiao'ying 负阻效应
'fu'zu'zhen'dang'qi 负阻振荡器
'gai'ge 盖革
'gai'zheng'xing'wei'hu 改正性维护
'gan'ban 干版
'gan'chong'dian'dian'chi 干充电电池
'gan'fa'ke'shi 干法刻蚀
'gan'fang'dian'dian'chi 干放电电池
'gan'feng'zhen'kong'beng 干封真空泵
'gan'kang 感抗
'gan'rao 干扰
'gan'rao'ce'liang'yi 干扰测量仪
'gan'rao'fang'cheng 干扰方程
'gan'rao'shao'sheng 干扰哨声
'gan'she'yi'tian'xian 干涉仪天线
'gan'xian'fang'da'qi 干线放大器
'gan'xian'fen'pei'fang'da'qi 干线分配放大器
'gan'xian'shi'pei'qi 干线适配器
'gan'yang'yang'hua 干氧氧化
'gan'ying'tong'bu'qi 感应同步器
'gan'ying'yi'xiang'qi 感应移相器
'gan'zhi'bian'ma 感知编码
'gang'guan'tiao'zhi'qi 刚管调制器
'gang'kou'jian'shi'lei'da 港口监视雷达
'gang'xing'tai'yang'dian'chi'zhen 刚性太阳电池阵
'gang'yu 刚玉
'gao'bao'zhen 高保真
'gao'chang'chou'xue'beng'zhen'dang 高场畴雪崩振荡
'gao'chun'zhe'pu'yi 高纯锗谱仪
'gao'du'biao 高度表
'gao'du'kong'xue'xiao'ying 高度空穴效应
'gao'fen'bian'lv'ban 高分辨率版
'gao'fen'bian'lv'cheng'xiang'guang'pu'yi 高分辨率成象光谱仪
'gao'ji'yong'hu'dian'bao 高级用户电报
'gao'jie'mo 高阶模
'gao'jing'zhi'ling 告警指令
'gao'mi'du'tiao'zhi 高密度调制
'gao'neng'li'zi'pu'yi 高能粒子谱仪
'gao'pin 高频
'gao'pin'bian'ya'qi 高频变压器
'gao'pin'fang'da'qi 高频放大器
'gao'pin'fang'dian 高频放电
'gao'pin'tong'xin 高频通信
'gao'pin'wei'yin'pin'guang'pan 高品位音频光盘
'gao'qing'xi'du 高清晰度
'gao'qing'xi'du'dian'shi 高清晰度电视
'gao'qing'xi'du'shi'pin'xi'tong 高清晰度视频系统
'gao'si'shu 高斯束
'gao'su'chong'dian 高速充电
'gao'su'she'xiang'ji'xi'tong 高速摄像机系统
'gao'su'shu'ju'guang'bo 高速数据广播
'gao'su'xin'dao 高速信道
'gao'tai'suan'qian'tao'ci 锆钛酸铅陶瓷
'gao'tong'lv'bo'qi 高通滤波器
'gao'wen'shi'yan 高温试验
'gao'xiao'zhong'ji'xian 高效中继线
'gao'ya 高压
'gao'ya'dian'zu'qi 高压电阻器
'gao'ya'gui'dui 高压硅堆
'gao'ya'ke'tiao'xie 高压可调谐
'gao'ya'yang'hua 高压氧化
'gao'yu'luo'ji 高阈逻辑
'gao'zhen'kong 高真空
'ge'ban 铬版
'ge'ban 隔板
'ge'dai 铬带
'ge'gong'dian'chi 镉汞电池
'ge'ji'ma 割集码
'ge'la'si'huo'fu'shu 格拉斯霍夫数
'ge'lei'ge'li'fan'she'mian'tian'xian 格雷戈里反射面天线
'ge'li'bian'ya'qi 隔离变压器
'ge'li'dian'rong'qi 隔离电容器
'ge'li'du 隔离度
'ge'li'fang'da'qi 隔离放大器
'ge'li'gong'yi 隔离工艺
'ge'li'kong 隔离孔
'ge'li'qi 隔离器
'ge'luo'fu'mo'xing 格罗夫模型
'ge'ma 格码
'ge'mo 隔膜
'ge'mo'bo'dao 隔膜波导
'ge'mo'zhen'kong'ji 隔膜真空计
'ge'nie'xu'dian'chi 镉镍蓄电池
'ge'ren'tong'xin'wang 个人通信网
'ge'ren'yi'dong'tong'xin 个人移动通信
'ge'xiang'tong'xing'fu'she'qi 各向同性辐射器
'ge'xiang'tong'xing'ke'shi 各向同性刻蚀
'ge'xiang'tong'xing'mei'zhi 各向同性媒质
'ge'xiang'yi'xing'ke'shi 各向异性刻蚀
'ge'xiang'yi'xing'mei'zhi 各向异性媒质
'ge'xing'lv'bo'qi 格型滤波器
'ge'yang'ci'dai 铬氧磁带
'ge'yin'xu'dian'chi 镉银蓄电池
'ge'zhi'liu'dian'rong'qi 隔直流电容器
'ge'zhuang'wang 格状网
'gen'gui'ji'fa 根轨迹法
'gen'mei'er 根梅尔
'gen'zong 跟踪
'gen'zong'dao'pin'xin'hao 跟踪导频信号
'gen'zong'lei'da 跟踪雷达
'gong'chi'yin'ji 汞池阴极
'gong'chi'zheng'liu'guan 汞池整流管
'gong'dian'ji 共淀积
'gong'du 弓度
'gong'ge'jing'jie 共格晶界
'gong'gong'bao'jiao'huan'wang'luo 公共包交换网络
'gong'gong'jiao'huan'dian'xin'wang 公共交换电信网
'gong'gong'jiao'huan'wang 公共交换网
'gong'han'shu 功函数
'gong'hu'zheng'liu'guan 汞弧整流管
'gong'ji'hua 共极化
'gong'jian'she 共溅射
'gong'jiao'xie'zhen'qiang 共焦谐振腔
'gong'lu'xin'ling 共路信令
'gong'lv 功率
'gong'lv'dian'zi'xue 功率电子学
'gong'lv'fan'she'lv 功率反射率
'gong'lv'fang'da'qi 功率放大器
'gong'lv'fen'pei'qi 功率分配器
'gong'lv'guan'li 功率管理
'gong'lv'ji 功率计
'gong'lv'pu'gu'ji 功率谱估计
'gong'lv'sun'hao 功率损耗
'gong'lv'tou'she'lv 功率透射率
'gong'mo'yi'zhi'bi 共模抑制比
'gong'neng'cai'liao 功能材料
'gong'neng'ma 功能码
'gong'neng'tao'ci 功能陶瓷
'gong'neng'xing'dian'ci'ji 功能性电刺激
'gong'qi'guan 汞气管
'gong'xin'xie'zhen'qiang 共心谐振腔
'gong'xing'tian'xian 共形天线
'gong'xing'zhen'tian'xian 共形阵天线
'gong'xu'jian'yan 工序检验
'gong'ye'biao'zhun'zong'xian 工业标准总线
'gong'ye'chun'tie 工业纯铁
'gong'ye'dian'shi 工业电视
'gong'ye'dian'zi'xue 工业电子学
'gong'yi 工艺
'gong'yi'guo'cheng'jian'ce 工艺过程监测
'gong'yi'mo'ni 工艺模拟
'gong'yong'shu'ju'wang 公用数据网
'gong'yong'tian'xian'dian'shi 共用天线电视
'gong'yong'wang 公用网
'gong'yong'wang 共用网
'gong'zhen 共振
'gong'zhen'feng 共振峰
'gong'zhen'qiang 共振腔
'gong'zheng'fa 共蒸发
'gong'zhong'wang 公众网
'gong'zuo'bi 工作比
'gong'zuo'dian 工作点
'gong'zuo'dian'ya 工作电压
'gong'zuo'qu 工作区
'gong'zuo'rong'yu 工作冗余
'gong'zuo'shi'jian 工作时间
'gong'zuo'zhan 工作站
'gou'cao 沟槽
'gou'dao'ji'shu 沟道技术
'gou'dao'xiao'ying 沟道效应
'gu'ding'dian'gan'qi 固定电感器
'gu'ding'dian'rong'qi 固定电容器
'gu'ding'dian'zu'qi 固定电阻器
'gu'ding'hui'bo 固定回波
'gu'ding'lian'jie'qi 固定连接器
'gu'ding'xing'qian'xu'dian'chi 固定型铅蓄电池
'gu'ji 估计
'gu'jia 骨架
'gu'rong'du 固溶度
'gu'rong'ti 固溶体
'gu'rong'ti'ban'dao'ti 固溶体半导体
'gu'tai'ci'kong'guan 固态磁控管
'gu'tai'min'gan'qi 固态敏感器
'gu'tai'tiao'zhi'qi 固态调制器
'gu'ti'dian'lu 固体电路
'gu'ti'dian'zi'xue 固体电子学
'gu'ti'ji'dian'qi 固体继电器
'gu'ti'ji'guang'qi 固体激光器
'gu'ti'jing'ji'tan'ce'qi 固体径迹探测器
'gu'ti'tan'dian'jie'dian'rong'qi 固体钽电解电容器
'gu'xiang'wai'yan 固相外延
'gu'xiang'xian 固相线
'gu'you'lv'guo 固有滤过
'gu'you'pin'zhi'yin'shu 固有品质因数
'gu'you'wu'cha 固有误差
'gu'zhang 故障
'gu'zhang'lv 故障率
'gu'zhang'shu'fen'xi 故障树分析
'gu'zhang'zhen'duan 故障诊断
'gu'zi'ji'guang'qi 孤子激光器
'guai'dian'ling'min'du 拐点灵敏度
'guan'ce'qi 观测器
'guan'ce'zhi 观测值
'guan'cha'zhe'xi'shu 观察者系数
'guan'ke 管壳
'guan'li'tu 管理图
'guan'tai'mian 惯态面
'guan'xin 管芯
'guan'xin'bing'jian'hu'bing'shi 冠心病监护病室
'guan'xing'zu'ni'si'fu'dian 惯性阻尼伺服电
'guang'beng 光泵
'guang'beng'pu 光泵浦
'guang'bi 光笔
'guang'bo 广播
'guang'bo'shu'ju'xi'tong 广播数据系统
'guang'bo'wen'ben 广播文本
'guang'bo'xing'tu'wen 广播型图文
'guang'bo'xun'hu 广播寻呼
'guang'bo'ye'wu 广播业务
'guang'can'liang'fang'da 光参量放大
'guang'can'liang'zhen'dang 光参量振荡
'guang'chan'za 光掺杂
'guang'chuan'shu'ji'shu 光传输技术
'guang'ci'xiao'ying 光磁效应
'guang'dian'chi 光电池
'guang'dian'dao 光电导
'guang'dian'dao'shuai'tui 光电导衰退
'guang'dian'dao'xiao'ying 光电导效应
'guang'dian'dui'kang 光电对抗
'guang'dian'er'ji'guan 光电二极管
'guang'dian'fa'she 光电发射
'guang'dian'hua'xue'dian'chi 光电化学电池
'guang'dian'ji'cheng'dian'lu 光电集成电路
'guang'dian'jing'ti'guan 光电晶体管
'guang'dian'li 光电离
'guang'dian'qi'jian 光电器件
'guang'dian'xiao'ying 光电效应
'guang'dian'xing'bo'guan 光电行波管
'guang'dian'zhuan'huan'xiao'lv 光电转换效率
'guang'dian'zi'xue 光电子学
'guang'du'xue 光度学
'guang'fa 光阀
'guang'fa 光法
'guang'fa'song'ji 光发送机
'guang'fen'pei'jie'dian 光分配节点
'guang'fu'qi'jian 光伏器件
'guang'fu'xiao'ying 光伏效应
'guang'fu'xing'tai'yang'neng'yuan'xi'tong 光伏型太阳能源系统
'guang'ge'li'qi 光隔离器
'guang'gu'zi 光孤子
'guang'guan 光管
'guang'ji'sao'miao'yi 光机扫描仪
'guang'jie'shou'ji 光接收机
'guang'kai'guan 光开关
'guang'ke 光刻
'guang'ke'ji 光刻机
'guang'ke'jiao 光刻胶
'guang'lan 光缆
'guang'lan'lian'jie'qi 光缆连接器
'guang'ling'cha'tan'ce 光零差探测
'guang'lv'bo'qi 光滤波器
'guang'mai'chong'ya'suo'ji'shu 光脉冲压缩技术
'guang'min'gan'qi 光敏感器
'guang'min'wei'jing'bo'li 光敏微晶玻璃
'guang'ou'he'qi 光耦合器
'guang'ou'he'qi'jian 光耦合器件
'guang'pian'zhi 光偏置
'guang'pian'zhuan 光偏转
'guang'pin'biao 光频标
'guang'pin'pin'fen'fu'yong 光频频分复用
'guang'qiang'tiao'zhi 光强调制
'guang'shan'sao'miao 光栅扫描
'guang'shi'fen'fu'yong 光时分复用
'guang'shi'xiao'lv 光视效率
'guang'shi'xiao'neng 光视效能
'guang'shi'yu'fan'she'yi 光时域反射仪
'guang'shuai'jian'qi 光衰减器
'guang'tiao'zhi'qi 光调制器
'guang'tong'bu'wang 光同步网
'guang'tong'liang 光通量
'guang'tong'xin 光通信
'guang'wai'cha'tan'ce 光外差探测
'guang'wang'luo'zhuang'zhi 光网络装置
'guang'xian 光纤
'guang'xian'bao'ceng 光纤包层
'guang'xian'gu'ding'jie'tou 光纤固定接头
'guang'xian'ji'guang'qi 光纤激光器
'guang'xian'jie'ru'wang 光纤接入网
'guang'xian'lian'jie'qi 光纤连接器
'guang'xian'min'gan'qi 光纤敏感器
'guang'xian'se'san 光纤色散
'guang'xian'shu 光纤束
'guang'xian'tong'xin 光纤通信
'guang'xian'tong'zhou'dian'lan'hun'he'wang 光纤同轴电缆混合网
'guang'xian'tuo'luo 光纤陀螺
'guang'xian'zong'he'wang 光纤综合网
'guang'xin'xi'chu'li 光信息处理
'guang'xue'cun'chu 光学存储
'guang'xue'shuang'wen'tai'qi'jian 光学双稳态器件
'guang'xue'tou'ying'bao'guang'fa 光学投影曝光法
'guang'xue'xie'zhen'qiang 光学谐振腔
'guang'xue'zhang'dong 光学章动
'guang'yan 广延
'guang'yu'wang 广域网
'guang'yuan 光源
'guang'yun 光晕
'guang'zhi'bian'se'bo'li 光致变色玻璃
'guang'zhi'bian'se'xing 光致变色性
'guang'zhi'fa'guang'ji'liang'ji 光致发光剂量计
'guang'zhi'fa'guang'tan'ce'qi 光致发光探测器
'guang'zhi'kang'shi'ji 光致抗蚀剂
'guang'zhu'ru'qi 光注入器
'guang'zi 光子
'guang'zi'hui'bo 光子回波
'guang'zi'xian 光自陷
'gui'ba'shi'xiang'guan 硅靶视象管
'gui'bian'yi'qi 硅编译器
'gui'dai'sheng'zhang 硅带生长
'gui'dao'gao'du 轨道高度
'gui'dao'guan 轨道管
'gui'dao'yu'bao 轨道预报
'gui'fan'wen'fa 规范文法
'gui'hua'wu 硅化物
'gui'hua'wu'shan 硅化物栅
'gui'hui'bian'cheng'xu 硅汇编程序
'gui'ling'yuan'di'zhi 归零源地址
'gui'shan'zi'dui'zhun'gong'yi 硅栅自对准工艺
'gui'tai'yang'dian'chi 硅太阳电池
'gui'yi'hua'tan'ce'lv 归一化探测率
'gui'yi'hua'zu'kang 归一化阻抗
'gui'yue 规约
'gui'zha 硅栅
'gun'cao'fa 滚槽法
'gun'dong'jiao'zheng 滚动校正
'gun'jiang 滚降
'guo'cheng'kong'zhi 过程控制
'guo'cheng'ping'jun 过程平均
'guo'chong 过冲
'guo'du'dai 过渡带
'guo'hui'ju 过会聚
'guo'ji'biao'zhun 国际标准
'guo'ji'biao'zhun'hua'zu'zhi 国际标准化组织
'guo'ji'biao'zhun'ji'lu'ma 国际标准记录码
'guo'ji'biao'zhun'yin'shi'pin'bian'hao 国际标准音视频编号
'guo'ji'dian'xin'lian'meng 国际电信联盟
'guo'ji'dian'xin'ye'wu 国际电信业务
'guo'ji'guang'bo 国际广播
'guo'ji'guang'bo'zhong'xin 国际广播中心
'guo'ji'xin'wen'tong'xin'wei'yuan'hui 国际新闻通信委员会
'guo'jia'kong'guan'xi'tong 国家空管系统
'guo'lin'suan'nv'ji'guang'qi 过磷酸钕激光器
'guo'ling'dian 过零点
'guo'ling'jian'bie'qi 过零鉴别器
'guo'qun'ju 过群聚
'guo'sheng'zai'liu'zi 过剩载流子
'hai'di'tong'xin 海底通信
'hai'ge'ji'guang'qi 氦镉激光器
'hai'jun'wei'dao'xi'tong 海军卫导系统
'hai'mian'nie'yin'ji 海绵镍阴极
'hai'nai'ji'guang'qi 氦氖激光器
'hai'shui'ji'huo'dian'chi 海水激活电池
'han'jie'mian 焊接面
'han'ming'chuang 汉明窗
'han'ming'jie 汉明界
'han'ming'ju'li 汉明距离
'han'ming'ma 汉明码
'han'shu'fa'sheng'qi 函数发生器
'hang'bo'tian'xian 行波天线
'hang'dao 巷道
'hang'dao'shi'bie 巷道识别
'hang'hai'lei'da 航海雷达
'hang'jian'zhuan'yi 行间转移
'hang'kong'dian'zi'xue 航空电子学
'hang'sao'miao 行扫描
'hang'shu'chu'bian'ya'qi 行输出变压器
'hang'wei'tui'suan'dao'hang 航位推算导航
'hang'wei'tui'suan'fa 航位推算法
'hang'xian'jian'shi'lei'da 航线监视雷达
'hang'xiang'xin'biao 航向信标
'hang'xing'su'du'san'jiao'xing 航行速度三角形
'hang'yi'ma'qi 行译码器
'hao'jin'ceng 耗尽层
'hao'jin'jin'si 耗尽近似
'hao'jin'xing'chang'xiao'jing'ti'guan 耗尽型场效晶体管
'hao'jin'xing'luo'ji 耗尽型逻辑
'hao'mi'bo 毫米波
'hao'mi'bo'tong'xin 毫米波通信
'hao'san'gong'lv 耗散功率
'hao'san'yin'shu 耗散因数
'hao'sun'shi'xiao'qi 耗损失效期
'he'beng'pu 核泵浦
'he'bo'shu 和波束
'he'cheng'dian'zu'qi 合成电阻器
'he'cheng'kong'jing 合成孔径
'he'cheng'kong'jing'lei'da 合成孔径雷达
'he'cheng'sao'pin'fa'sheng'qi 合成扫频发生器
'he'cheng'tan'mo'dian'wei'qi 合成碳膜电位器
'he'cheng'xin'hao'fa'sheng'qi 合成信号发生器
'he'ci'gong'zhen 核磁共振
'he'ci'gong'zhen'tan'ce'qi 核磁共振探测器
'he'dian'chi 核电池
'he'dian'zi'xue 核电子学
'he'er'wei'ci'pan'ju 赫尔维茨判据
'he'ge'pin 合格品
'he'jin'er'ji'guan 合金二极管
'he'jin'jie 合金结
'he'jin'jing'ti'guan 合金晶体管
'he'lu'qi 合路器
'he'ru'jiao 核乳胶
'he'shi'fang'xiang'ji 盒式放像机
'he'shi'lu'xiang'ji 盒式录象机
'he'shi'lu'xiang'ji 盒式录像机
'he'shi'lu'yin'ji 盒式录音机
'he'shi'tou'jing 盒式透镜
'he'su'cheng'xiang 核素成象
'he'su'sao'miao'ji 核素扫描机
'he'ting'zhen'qi 核听诊器
'he'xing'tian'xian 盒形天线
'hei'bai'dian'shi 黑白电视
'hei'bai'xian'xiang'guan 黑白显象管
'hei'di 黑底
'hei'di'ping 黑底屏
'hei'yun 黑晕
'heng'bi'jian'bie'qi 恒比鉴别器
'heng'bo 横波
'heng'ci'mo 横磁模
'heng'dian'ci'bo'shi 横电磁波室
'heng'dian'ci'mo 横电磁模
'heng'dian'mo 横电模
'heng'mo 横模
'heng'mo'suo'ding 横模锁定
'heng'mo'xuan'ze 横模选择
'heng'wen'heng'shi'shi'yan 恒温恒湿试验
'heng'xiang'ji'li'da'qi'ya 横向激励大气压
'heng'xiang'ji'sheng'jing'ti'guan 横向寄生晶体管
'heng'xiang'lv'bo'qi 横向滤波器
'heng'xiang'xian 恒向线
'heng'xu'jing'lv 恒虚警率
'hong'bao'shi'ji'guang'qi 红宝石激光器
'hong'dan'yuan 宏单元
'hong'wai'gan'she'fa 红外干涉法
'hong'wai'hang'sao'miao'yi 红外行扫描仪
'hong'wai'jian'he 红外键合
'hong'wai'qian'shi'xi'tong 红外前视系统
'hong'wai'ye'shi'xi'tong 红外夜视系统
'hong'zha'lei'da 轰炸雷达
'hou'hong 后烘
'hou'ji 后继
'hou'mo'hun'he'ji'cheng'dian'lu 厚膜混合集成电路
'hou'mo'jiang'liao 厚膜浆料
'hou'zhui'ma 后缀码
'hu'bu'jing'ti'guan'luo'ji 互补晶体管逻辑
'hu'guang'fang'dian 弧光放电
'hu'guang'fang'dian'guan 弧光放电管
'hu'lian 互连
'hu'pu 互谱
'hu'shang 互熵
'hu'sun 呼损
'hu'tiao 互调
'hu'tong'bu'wang 互同步网
'hu'tong'xing 互通性
'hu'wei'lei'da 护尾雷达
'hu'xin'xi 互信息
'hu'yi'ding'li 互易定理
'hu'yi'wang'luo 互易网络
'hua'dong'fu'zai 滑动负载
'hua'dong'luo'ding'tiao'pei'qi 滑动螺钉调配器
'hua'he'wu 化合物
'hua'he'wu'ban'dao'ti 化合物半导体
'hua'he'wu'ban'dao'ti'tan'ce'qi 化合物半导体探测器
'hua'pian 划片
'hua'xing'shi'jian 滑行时间
'hua'xue'beng'pu 化学泵浦
'hua'xue'dian'yuan 化学电源
'hua'xue'gong'chen'dian'gong'yi 化学共沉淀工艺
'hua'xue'ji'guang'qi 化学激光器
'hua'xue'ji'liang 化学计量
'hua'xue'ji'xie'pao'guang 化学机械抛光
'hua'xue'min'gan'qi 化学敏感器
'hua'xue'pao'guang 化学抛光
'hua'xue'qi'xiang'dian'ji 化学汽相淀积
'hua'xue'ye'xiang'dian'ji 化学液相淀积
'hua'yi'dai 滑移带
'hua'yi'mai'chong'chan'sheng'qi 滑移脉冲产生器
'hua'yi'mian 滑移面
'hua'yin'ji'huo 话音激活
'huan'chong'chang'xiao'jing'ti'guan'luo'ji 缓冲场效晶体管逻辑
'huan'chong'fang'da'qi 缓冲放大器
'huan'ci'dao'lv 环磁导率
'huan'jing'ji'liang'ji 环境剂量计
'huan'jing'shi'yan 环境试验
'huan'jing'yin'shu 环境因数
'huan'lu 环路
'huan'lu'zeng'yi 环路增益
'huan'mian'fan'she'qi 环面反射器
'huan'neng'qi 换能器
'huan'tian'xian 环天线
'huan'xing'feng'xi'tian'xian 环形缝隙天线
'huan'xing'jie'tiao'qi 环形解调器
'huan'xing'qi 环行器
'huan'xing'zhen 环形阵
'huan'xing'zhen'dang'qi 环形振荡器
'huan'zhuang'wang 环状网
'hui'bo'di'xiao'qi 回波抵消器
'hui'bo'sun'hao 回波损耗
'hui'bo'xiang 回波箱
'hui'bo'yi'zhi'qi 回波抑制器
'hui'cha 彗差
'hui'cha'xian'xiang 回差现象
'hui'du 灰度
'hui'du'ji 灰度级
'hui'fu'ci'dao'lv 回复磁导率
'hui'fu'dian'lu 恢复电路
'hui'fu'shi'jian 恢复时间
'hui'geng'si'yuan 惠更斯源
'hui'guang'fang'dian 辉光放电
'hui'guang'fang'dian'guan 辉光放电管
'hui'hua'ceng 会话层
'hui'jie'ju 汇接局
'hui'ju 会聚
'hui'liu 回流
'hui'shou'zhi'ling 回收指令
'hui'ti 灰体
'hui'xing'xiang'cha 彗形象差
'hui'xuan'ci'kong'guan 回旋磁控管
'hui'xuan'fang'da'guan 回旋放大管
'hui'xuan'gong'zhen'jia're 回旋共振加热
'hui'xuan'guan 回旋管
'hui'xuan'pan'ni'guan 回旋潘尼管
'hui'xuan'pin'lv 回旋频率
'hui'xuan'qi 回旋器
'hui'xuan'su'diao'guan 回旋速调管
'hui'xuan'xing'bo'fang'da'guan 回旋行波放大管
'hui'xuan'zhen'dang'guan 回旋振荡管
'hui'xuan'zhi'pu'yi 回旋质谱仪
'hui'zhuan'qi 回转器
'hun'die 混叠
'hun'dun 混沌
'hun'he'guang'xian'tong'zhou'shuang'jiao'xian 混合光纤同轴双绞线
'hun'he'huan 混合环
'hun'he'ji'cheng'dian'lu 混合集成电路
'hun'he'ji'dian'qi 混合继电器
'hun'he'jiao'huan 混合交换
'hun'he'jie'ru 混合接入
'hun'he'jie'tou 混合接头
'hun'he'lu'jing 混合路径
'hun'he'pai'lie'xiang'lie'mo'shi 混合排列向列模式
'hun'pin 混频
'hun'pin'qi 混频器
'hun'xiang'shi 混响室
'hun'xiao'qu 混淆区
'huo'dong'tu'xiang'zhuan'jia'zu 活动图像专家组
'huo'er'qian'yi'lv 霍耳迁移率
'huo'er'te'xi'tong 霍尔特系统
'huo'er'xiao'ying'qi'jian 霍耳效应器件
'huo'fei'men 或非门
