'bai'bing 白病
'han'yin'fu'fei'zheng 寒饮伏肺证
'han'yin'she'fei'zheng 寒饮射肺证
'han'yin'ting'fei'zheng 寒饮停肺证
'han'zheng 寒证
'han'zhi'chang'wei'zheng 寒滞肠胃证
'han'zhi'jing'luo'zheng 寒滞经络证
'he'xia'yong'bing 颌下痈病
'hong'ban'xing 红斑型
'hong'hu'die'chuang'bing 红蝴蝶疮病
'hong'si'ding'bing 红丝疔病
'hou'bi'bing 喉痹病
'hou'bing 喉病
'hou'guan'yong'bing 喉关痈病
'hou'jun'bing 喉菌病
'hou'liu'bing 喉瘤病
'hou'qi 后期
'hou'xuan'bing 喉癣病
'hou'yong'bing 喉痈病
'hu'huo'bing 狐惑病
'hu'shan'bing 狐疝病
'hu'yan'ning'jing'bing 鹘眼凝睛病
'hua'jing'bing 滑精病
'hua'tai'bing 滑胎病
'hua'yi'bai'xian'bing 花翳白陷病
'huan'jie'qi 缓解期
'huan'tiao'ju'bing 环跳疽病
'huang'dan'bing 黄疸病
'huang'er'shang'han'bing 黄耳伤寒病
'huang'shui'chuang'bing 黄水疮病
'huang'ye'shang'chong'bing 黄液上冲病
'hui'chong'shang'rao'zheng 蛔虫上扰证
'hui'fu'qi 恢复期
'hui'jue'zheng 蛔厥证
'hui'nong'qi 溃脓期
'hui'zhi'zhi'jia'bing 灰指趾甲病
'hun'jing'zhang'bing 混睛障病
'hun'kui'qi 昏溃期
'hun'mi'bing 昏迷病
'huo'chi'chuang'bing 火赤疮病
'huo'du'chi'sheng'qi'xue'ning'jie'zheng 火毒炽盛气血凝结证
'huo'du'chi'sheng're'ru'ying'xue'zheng 火毒炽盛热入营血证
'huo'du'chi'sheng'zheng 火毒炽盛证
'huo'du'chuan'fei'zheng 火毒传肺证
'huo'du'chuan'gan'zheng 火毒传肝证
'huo'du'chuan'pi'zheng 火毒传脾证
'huo'du'chuan'shen'zheng 火毒传肾证
'huo'du'chuan'xin'zheng 火毒传心证
'huo'du'cuan'luo'zheng 火毒窜络证
'huo'du'gong'mu'zheng 火毒攻目证
'huo'du'kun'jie'zheng 火毒困结证
'huo'du'nei'gong'zheng 火毒内攻证
'huo'du'nei'xian'zheng 火毒内陷证
'huo'du'ning'jie'zheng 火毒凝结证
'huo'du'po'xue'zheng 火毒迫血证
'huo'du'ru'luo'zheng 火毒入络证
'huo'du'ru'ying'zheng 火毒入营证
'huo'du'shang'gong'zheng 火毒上攻证
'huo'du'shang'jin'zheng 火毒伤津证
'huo'du'shang'yin'zheng 火毒伤阴证
'huo'du'wai'xie'zheng 火毒外泄证
'huo'du'yong'sheng'zheng 火毒壅盛证
'huo'du'yu'jie'zheng 火毒郁结证
'huo'du'yun'jie'zheng 火毒蕴结证
'huo'du'zheng 火毒证
'huo'gan'bing 火疳病
'huo're'chi'sheng'zheng 火热炽盛证
'huo're'rao'xin'zheng 火热扰心证
'huo're'shang'jin'zheng 火热伤津证
'huo're'shang'yin'zheng 火热伤阴证
'huo're'xie'du'yong'sheng'zheng 火热邪毒壅盛证
'huo'sheng'shang'yin'zheng 火盛伤阴证
'huo'xie'yu'jie'zheng 火邪郁结证
'ji'bi'bing 肌痹病
'ji'bing 积病
'ji'feng'bing 急风病
'ji'hou'bi'bing 急喉痹病
'ji'hou'bing 急喉病
'ji'hou'feng'bing 急喉风病
'ji'huang'bing 急黄病
'ji'jing'feng'bing 急惊风病
'ji'ju'bing 积聚病
'ji'ru'e'bing 急乳蛾病
'ji'shi'bing 济湿病
'ji'yu'hua're'zheng 积瘀化热证
'ji'zhi'bing 积滞病
'ji'zhi'shang'wei'zheng 积滞伤胃证
'jia'bing 瘕病
'jian'chun'kou 茧唇口
'jian'nei'jie'shi'bing 睑内结石病
'jian'wang'bing 健忘病
'jian'xian'chi'lan'bing 睑弦赤烂病
'jian'xing'qi 见形期
'jiang'lou'bing 江漏病
'jiao'chang'bing 交肠病
'jiao'chuang'bing 椒疮病
'jiao'shi'qi'bing 脚湿气病
'jie'bing 疖病
'jie'lu'bing 解颅病
'jie'xian'xing 界线型
'jin'duan'jin'shang'zheng 筋断筋伤证
'jin'gan'bing 金疳病
'jin'gu'bu'yong'zheng 筋骨不用证
'jin'ku'chang'jie'zheng 津枯肠结证
'jin'kui're'jie'zheng 津亏热结证
'jin'liu'bing 筋瘤病
'jin'mai'shi'yang'zheng 筋脉失养证
'jin'qi'yu'tuo'zheng 津气欲脱证
'jin'shang'chang'zao'zheng 津伤肠燥证
'jin'shang'hua'zao'zheng 津伤化燥证
'jin'xing'qi 进行期
'jin'ye'gan'ku'zheng 津液干枯证
'jin'ye'kui'sun'zheng 津液亏损证
'jin'ye'kui'zheng 津液亏证
'jing'bing 痉病
'jing'feng'bing 惊风病
'jing'ji'bing 惊悸病
'jing'ke'qi 痉咳期
'jing'kong'jing'feng'zheng 惊恐惊风证
'jing'kong'jing'jue'zheng 惊恐痉厥证
'jing'kong'qi'ni'zheng 惊恐气逆证
'jing'kong'shang'shen'zheng 惊恐伤肾证
'jing'kong'shang'shen'zheng 惊恐伤神证
'jing'kong'zheng 惊恐证
'jing'long'bing 精癃病
'jing'luo'yu'zhi'zheng 经络瘀滞证
'jing'luo'yu'zu'zheng 经络瘀阻证
'jing'mai'bo'yu'zu'zheng 经脉搏瘀阻证
'jing'qi'yan'chang'bing 经期延长病
'jing'xing'fa're'bing 经行发热病
'jing'xing'feng'zhen'kuai'bing 经行风疹块病
'jing'xing'fu'zhong'bing 经行浮肿病
'jing'xing'kou'mi'bing 经行口糜病
'jing'xing'qing'zhi'yi'chang'bing 经行情志异常病
'jing'xing'ru'fang'zhang'tong'bing 经行乳房胀痛病
'jing'xing'shen'tong'bing 经行身痛病
'jing'xing'tou'tong'bing 经行头痛病
'jing'xing'tu'nv'bing 经行吐衄病
'jing'xing'xie'xie'bing 经行泄泻病
'jing'xing'xuan'yun'bing 经行眩晕病
'jing'xue'kui'xu'zheng 精血亏虚证
'jing'yong'bing 颈痈病
'jing'zhen'nei'zhang'bing 惊震内障病
'jing'zhuo'bing 精浊病
'jiu'bing'shang'yin'xu'huo'shang'yan'zheng 久病伤阴虚火上炎证
'jiu'bing'shang'yin'zheng 久病伤阴证
'jiu'long'bing 久聋病
'jiu'zha'bi'bing 酒齄鼻病
'ju'bing 聚病
'ju'xing'zhang'bing 聚星障病
'jue'bing 厥病
'jue'jing'qian'hou'zhu'bing 绝经前后诸病
'jue'tuo'bing 厥脱病
'jue'yin'bing 厥阴病
'jue'yin'jue'zheng 厥阴厥证
'jue'yin'ou'hui'zheng 厥阴呕哕证
'jue'yin'shang're'xia'han'zheng 厥阴上热下寒证
'jue'yin'xia'li'zheng 厥阴下利证
'jue'yin'zheng 厥阴证
'jun'xiang'huo'dong'xin'shen'bu'jiao'zheng 君相火动心肾不交证
'jun'xiang'huo'dong'zheng 君相火动证
'jun'xiang'huo'wang'zheng 君相火旺证
'ka'xie'bing 咯血病
'ke'sou'bing 咳嗽病
'kong'ju'shang'shen'zheng 恐惧伤肾证
'kou'chi'bing'qu'chi'bing 口齿病龋齿病
'kou'chuang'bing 口疮病
'kou'mi'bing 口糜病
'kou'she'tan'bao'zhe 口舌痰包者
'kua'fu'yong'bing 胯腹痈病
'kuang'bing 狂病
'kui'hou'qi 溃后期
'lan'ding'bing 烂疔病
'lan'hou'sha'bing 烂喉痧病
'lao'lin'bing 劳淋病
'lao'shang'jin'mai'zheng 劳伤筋脉证
'lao'shang'xin'pi'qi'bu'she'jing'zheng 劳伤心脾气不摄精证
'lao'shang'xin'pi'zheng 劳伤心脾证
'lao'zhen'bing 落枕病
'leng'lei'bing 冷泪病
'li'hou'yong'bing 里喉痈病
'li're'chi'sheng'zheng 里热炽盛证
'li'zu'zhong'bing 黧足肿病
'lian'chuang'bing 臁疮病
'liang'zao'bing 凉燥病
'liang'zao'xi'fei'zheng 凉燥袭肺证
'liu'pi'lou'bing 流皮漏病
'liu'tan'bing 流痰病
'liu'xing 瘤型
'liu'zhu'bing 流注病
'long'bi'bing 癃闭病
'long'ya'bing 聋哑病
'lou'gu'jie'bing 蝼蛄疖病
'lou'jian'feng'bing 漏肩风病
'lou'jing'bing 漏睛病
'lou'jing'chuang'bing 漏睛疮病
'lu'lu'zhuan'guan'bing 辘轳转关病
'luo'li'bing 瘰疬病
'luo'mai'bu'he'zheng 络脉不和证
'luo'mai'kong'xu'feng'xie'ru'zhong'zheng 络脉空虚风邪入中证
'luo'mai'kong'xu'zheng 络脉空虚证
'luo'mai'po'sun'zheng 络脉破损证
'luo'qi'bu'he'zheng 络气不和证
'luo'shang'chu'xue'zheng 络伤出血证
'lv'feng'nei'zhang'bing 绿风内障病
'man'hou'bi'bing 慢喉痹病
'man'hou'bing 慢喉病
'man'jing'feng'bing 慢惊风病
'man'ru'e'bing 慢乳蛾病
'mao'shu'bing 冒暑病
'mao'yan'chuang'bing 猫眼疮病
'mei'he'qi'bing 梅核气病
'mei'leng'gu'tong'bing 眉棱骨痛病
'meng'yi'bing 梦遗病
'mi'lan'xing 糜烂型
'mian'tan'bing 面瘫病
'mian'tong'bing 面痛病
'mian'you'feng'bing 面游风病
'ming'cheng 名称
'ming'men'huo'shuai'pi'yang'bu'zu'zheng 命门火衰脾阳不足证
'ming'men'huo'shuai'zheng 命门火衰证
'mu'bing 目病
'mu'pian'shi'bing 目偏视病
'mu'yang'bing 目痒病
'nai'ma'bing 奶麻病
'nai'xuan'bing 奶癣病
'nan'chan'bing 难产病
'nang'chong'qin'nao'zheng 囊虫侵脑证
'nang'yong'bing 囊痈病
'nao'ju'bing 脑疽病
'nao'qiao'bei'meng'zheng 脑窍被蒙证
'nao'sui'shi'yang'zheng 脑髓失养证
'nei'bi'wai'tuo'zheng 内闭外脱证
'nei'ke'ai'bing 内科癌病
'nei'ke'liu'bing 内科瘤病
'nei'ke'qi'ta'bing'jiao'qi'bing 内科其他病脚气病
'nei'shang'fa're'bing 内伤发热病
'nei'shang'ke'sou'bing 内伤咳嗽病
'nei'xian'bing 内陷病
'nei'xian'jue'yin'zheng 内陷厥阴证
'nei'xian'wai'tuo'zheng 内陷外脱证
'niang'nong'qi 酿脓期
'niao'pin'bing 尿频病
'niao'xie'bing 尿血病
'niao'zhuo'bing 尿浊病
'ning'zhi'yi'bing 凝脂翳病
'nong'du'fan'zang'zheng 脓毒犯脏证
'nong'du'qin'xi'zheng 脓毒侵袭证
'nong'du'shi'gu'zheng 脓毒蚀骨证
'nong'er'bing 脓耳病
'nong'er'kou'yan'xie'bing 脓耳口眼斜病
'nu'rou'pan'jing'bing 胬肉攀睛病
'ou'tu'bing 呕吐病
'pang'guang'shi're'zheng 膀胱湿热证
'pang'guang'sun'shang'zheng 膀胱损伤证
'pang'guang'xu'leng'zheng 膀胱虚冷证
'peng'zhang'qi 膨胀期
'pi'bi'bing 皮痹病
'pi'bu'tong'xue'zheng 脾不统血证
'pi'fei'qi'xu'pang'guang'shi'yue'zheng 脾肺气虚膀胱失约证
'pi'fei'qi'xu'zheng 脾肺气虚证
'pi'fu'bing'ji'yan'bing 皮肤病鸡眼病
'pi'fu'bing'jie'chuang'bing 皮肤病疥疮病
'pi'fu'bing'lin'bing 皮肤病淋病
'pi'fu'bing'ma'feng'bing 皮肤病麻风病
'pi'fu'bing'mei'du'bing 皮肤病梅毒病
'pi'fu'bing'pian'zhi'bing 皮肤病胼胝病
'pi'jing'feng're'zheng 脾经风热证
'pi'jing'shi're'zheng 脾经湿热证
'pi'jing'xue'zao'zheng 脾经血燥证
'pi'qi'bu'sheng'zheng 脾气不升证
'pi'qi'bu'zu'zheng 脾气不足证
'pi'rou'po'sun'zheng 皮肉破损证
'pi'shen'bu'gu'zheng 脾肾不固证
'pi'shen'bu'zu'zheng 脾肾不足证
'pi'shen'kui'xu'zheng 脾肾亏虚证
'pi'shen'kui'xu'zhuo'yin'shang'ni'zheng 脾肾亏虚浊阴上逆证
'pi'shen'xu'ruo'zheng 脾肾虚弱证
'pi'shen'xu'shuai'zheng 脾肾虚衰证
'pi'shen'yang'shuai'zheng 脾肾阳衰证
'pi'shen'yang'xu'zheng 脾肾阳虚证
'pi'shen'yin'xu'zheng 脾肾阴虚证
'pi'shi'jian'yun'shi'zhuo'liu'zhu'zheng 脾失健运湿浊流注证
'pi'shi'jian'yun'zheng 脾失健运证
'pi'wei'bu'he'zheng 脾胃不和证
'pi'wei'fu're'zheng 脾胃伏热证
'pi'wei'huo'du'zheng 脾胃火毒证
'pi'wei'ji're'xue're'shang'luo'zheng 脾胃积热血热伤络证
'pi'wei'ji're'zheng 脾胃积热证
'pi'wei'kui'xu'gan'yin'bu'zu'zheng 脾胃亏虚肝阴不足证
'pi'wei'kui'xu'zheng 脾胃亏虚证
'pi'wei'qi'xu'zheng 脾胃气虚证
'pi'wei're'sheng'zheng 脾胃热盛证
'pi'wei'shi're'zheng 脾胃实热证
'pi'wei'shi're'zheng 脾胃湿热证
'pi'wei'shi'tiao'shi're'yu'zheng'zheng 脾胃失调湿热郁蒸证
'pi'wei'shi'tiao'zheng 脾胃失调证
'pi'wei'xu'han'zheng 脾胃虚寒证
'pi'wei'xu'ruo'zheng 脾胃虚弱证
'pi'wei'yang'xu'zheng 脾胃阳虚证
'pi'wei'yin'xu'zheng 脾胃阴虚证
'pi'wei'zhuan'xu'jing'wei'bu'yun'zheng 脾胃专虚精微不运证
'pi'wei'zhuan'zhi'xu'yu'shi'wei'jin'zheng 脾胃专职虚余湿未尽证
'pi'xi'bing'bian'mi'bing 脾系病便秘病
'pi'xu'bu'gu'zheng 脾虚不固证
'pi'xu'bu'she'zheng 脾虚不摄证
'pi'xu'gan're'zheng 脾虚肝热证
'pi'xu'gan'wang'zheng 脾虚肝旺证
'pi'xu'han'shi'zheng 脾虚寒湿证
'pi'xu'huo'wang'zheng 脾虚火旺证
'pi'xu'qi'ruo'zheng 脾虚气弱证
'pi'xu'qi'xian'zheng 脾虚气陷证
'pi'xu'shi'fan'zheng 脾虚湿泛证
'pi'xu'shi'kun'shang'fan'er'qiao'zheng 脾虚湿困上犯耳窍证
'pi'xu'shi'kun'xu'huo'shang'fu'zheng 脾虚湿困虚火上浮证
'pi'xu'shi'kun'zheng 脾虚湿困证
'pi'xu'shi're'zheng 脾虚湿热证
'pi'xu'shi'sheng'feng'tan'zu'luo'zheng 脾虚湿盛风痰阻络证
'pi'xu'shi'sheng'zheng 脾虚湿盛证
'pi'xu'shi'yun'zheng 脾虚失运证
'pi'xu'shi'yun'zheng 脾虚湿蕴证
'pi'xu'shi'yun'zhong'qi'bu'zu'zheng 脾虚失运中气不足证
'pi'xu'shi'zhi'zheng 脾虚湿滞证
'pi'xu'shi'zu'zheng 脾虚湿阻证
'pi'xu'shui'fan'zheng 脾虚水泛证
'pi'xu'shui'kun'zheng 脾虚水困证
'pi'xu'tan'sheng'zheng 脾虚痰盛证
'pi'xu'tan'shi'feng'xie'fan'er'zheng 脾虚痰湿风邪犯耳证
'pi'xu'tan'shi'zheng 脾虚痰湿证
'pi'xu'tan'zhuo'zheng 脾虚痰浊证
'pi'xu'tan'zu'zheng 脾虚痰阻证
'pi'xu'xue'kui'zheng 脾虚血亏证
'pi'xu'xue'zao'zheng 脾虚血燥证
'pi'xu'zheng 脾虚证
'pi'xu'zhong'shuai'qing'yang'bu'sheng'zheng 脾虚中衰清阳不升证
'pi'xu'zhong'shuai'zheng 脾虚中衰证
'pi'yang'bu'zhen'zheng 脾阳不振证
'pi'yang'bu'zu'zheng 脾阳不足证
'pi'yang'kui'xu'zheng 脾阳亏虚证
'pi'yang'xu'shuai'zheng 脾阳虚衰证
'pi'zao'zheng 脾燥证
'qi'bi'zheng 气闭证
'qi'bu'she'jing'zheng 气不摄精证
'qi'bu'she'xue'zheng 气不摄血证
'qi'chuang'bing 脐疮病
'qi'fen'shi're'zheng 气分湿热证
'qi'fen'zheng 气分证
'qi'feng'bing 脐风病
'qi'gu'bing 气臌病
'qi'hu'tan'zu'zheng 气胡痰阻证
'qi'hua'bu'ji'pang'guang'kong'xu'zheng 气化不及膀胱空虚证
'qi'hua'bu'ji'zheng 气化不及证
'qi'huo'yu'jie'zheng 气火郁结证
'qi'ji'bu'li'zheng 气机不利证
'qi'ji'ni'luan'zheng 气机逆乱证
'qi'ji'ni'luan'zu'se'qing'qiao'zheng 气机逆乱阻塞清窍证
'qi'ji'shi'tiao'jie'zheng 气机失调节证
'qi'ji'yu'zhi'zheng 气机郁滞证
'qi'ji'zu'zhi'zheng 气机阻滞证
'qi'jie'xue'yu'zheng 气结血瘀证
'qi'jie'zheng 气结证
'qi'jue'bing 气厥病
'qi'lin'bing 气淋病
'qi'liu'bing 气瘤病
'qi'shuai'xue'tuo'zheng 气衰血脱证
'qi'sui'xue'tuo'zheng 气随血脱证
'qi'ta'zheng 其他证
'qi'tu'bing 脐突病
'qi'tuo'zheng 气脱证
'qi'xu'bu'she'zheng 气虚不摄证
'qi'xu'bu'yun'zheng 气虚不运证
'qi'xu'du'zhi'zheng 气虚毒滞证
'qi'xu'luo'sun'zheng 气虚络损证
'qi'xu'shi'zu'zheng 气虚湿阻证
'qi'xu'shui'ting'zheng 气虚水停证
'qi'xu'tan'jie'zheng 气虚痰结证
'qi'xu'tan'zhi'zheng 气虚痰滞证
'qi'xu'xia'xian'zheng 气虚下陷证
'qi'xu'xue'kui'zheng 气虚血亏证
'qi'xu'xue'ning'zheng 气虚血凝证
'qi'xu'xue'tuo'zheng 气虚血脱证
'qi'xu'xue'yi'zheng 气虚血溢证
'qi'xu'xue'yu'zheng 气虚血瘀证
'qi'xu'xue'zhi'luo'mai'bo'yu'zu'zheng 气虚血滞络脉搏瘀阻证
'qi'xu'xue'zhi'luo'mai'tan'zu'zheng 气虚血滞络脉痰阻证
'qi'xu'xue'zhi'zheng 气虚血滞证
'qi'xu'yang'wei'zheng 气虚阳微证
'qi'xu'yu'tuo'zheng 气虚欲脱证
'qi'xu'yu'zhi'zheng 气虚瘀滞证
'qi'xu'zheng 气虚证
'qi'xue'bi'zu'zheng 气血痹阻证
'qi'xue'bing 脐血病
'qi'xue'bu'zu'shou'she'shi'si'zheng 气血不足收摄失司证
'qi'xue'bu'zu'zheng 气血不足证
'qi'xue'kui'xu'du'zhi'nan'hua'zheng 气血亏虚毒滞难化证
'qi'xue'kui'xu'xie'du'jiu'kun'zheng 气血亏虚邪毒久困证
'qi'xue'kui'xu'zheng 气血亏虚证
'qi'xue'liang'fan'zheng 气血两燔证
'qi'xue'liang'kui'zheng 气血两亏证
'qi'xue'liang'shang'zheng 气血两伤证
'qi'xue'liang'tuo'zheng 气血两脱证
'qi'xue'liang'xu'zheng 气血两虚证
'qi'xue'ning'jie'zheng 气血凝结证
'qi'xue'ning'zhi'zheng 气血凝滞证
'qi'xue'shi'tiao'zheng 气血失调证
'qi'xue'shuai'jie'zheng 气血衰竭证
'qi'xue'yu'ji'zheng 气血瘀积证
'qi'xue'yu'zhi'zheng 气血瘀滞证
'qi'xue'yu'zu'zheng 气血瘀阻证
'qi'yang'yong'bi'zheng 气杨壅闭证
'qi'ye'hao'shang'zheng 气液耗伤证
'qi'yin'bu'zu'zheng 气阴不足证
'qi'yin'hao'jie'zheng 气阴耗竭证
'qi'yin'hao'shang'zheng 气阴耗伤证
'qi'yin'kui'xu'shi're'nei'yun'zheng 气阴亏虚湿热内蕴证
'qi'yin'kui'xu'zheng 气阴亏虚证
'qi'yin'liang'shang'yu're'bu'jin'zheng 气阴两伤余热不尽证
'qi'yin'liang'shang'zheng 气阴两伤证
'qi'yin'liang'xu'zheng 气阴两虚证
'qi'ying'bing 气瘿病
'qi'ying'liang'fan'zheng 气营两燔证
'qi'yong'bing 脐痈病
'qi'yu'hua'huo'zheng 气郁化火证
'qi'yu'hua're'zheng 气郁化热证
'qi'yu'tan'jie'zheng 气郁痰结证
'qi'yu'tan'ning'zheng 气郁痰凝证
'qi'yu'zheng 气郁证
'qi'zhi're'yong'zheng 气滞热壅证
'qi'zhi'shi'zu'zheng 气滞湿阻证
'qi'zhi'shui'ting'zheng 气滞水停证
'qi'zhi'tan'ning'zheng 气滞痰凝证
'qi'zhi'tan'yu'zheng 气滞痰郁证
'qi'zhi'tan'yu'zheng 气滞痰瘀证
'qi'zhi'tan'zu'zheng 气滞痰阻证
'qi'zhi'xiong'ge'zheng 气滞胸膈证
'qi'zhi'xue'yu'zheng 气滞血郁证
'qi'zhi'xue'yu'zheng 气滞血瘀证
'qi'zhi'xue'zu'zheng 气滞血阻证
'qi'zhi'yu'zu'zheng 气滞瘀阻证
'qi'zhi'zheng 气滞证
'qiao'luo'bei'meng'zheng 窍络被蒙证
'qing'feng'nei'zhang'bing 青风内障病
'qing'mang'bing 青盲病
'qing'qi'bu'sheng'zheng 清气不升证
'qing'she'du'bing 青蛇毒病
'qing'xing'qi 清醒期
'qing'yang'bu'sheng'zheng 清阳不升证
'qing'zhi'nei'shang'zheng 情志内伤证
'qing'zhi'shi'tiao'zheng 情志失调证
'qing'zhi'yi'yu'zheng 情志抑郁证
'qing'zhi'yu'jie'zheng 情志郁结证
'qiu'zao'bing 秋燥病
'qiu'zhen'xing 丘疹型
're'bi'xin'bao'xue'luo'yu'zhi'zheng 热闭心包血络瘀滞证
're'bi'xin'bao'zheng 热闭心包证
're'bi'zheng 热闭证
're'chi'fu'shi'zheng 热炽腑实证
're'chuang'bing 热疮病
're'du'bi'fei'zheng 热毒闭肺证
're'du'chi'sheng're'chuan'xin'bao'zheng 热毒炽盛热传心包证
're'du'chi'sheng'xie'ru'ying'xue'zheng 热毒炽盛邪入营血证
're'du'chi'sheng'zheng 热毒炽盛证
're'du'chong'xin'zheng 热毒冲心证
're'du'chuan'fei'zheng 热毒传肺证
're'du'chuan'gan'zheng 热毒传肝证
're'du'chuan'pi'zheng 热毒传脾证
're'du'chuan'shen'zheng 热毒传肾证
're'du'chuan'xin'zheng 热毒传心证
're'du'gong'hou'zheng 热毒攻喉证
're'du'huo'sheng'zheng 热毒火盛证
're'du'nei'gong'zheng 热毒内攻证
're'du'nei'xian'zheng 热毒内陷证
're'du'nei'yun'zheng 热毒内蕴证
're'du'niang'nong'zheng 热毒酿脓证
're'du'ning'jie'zheng 热毒凝结证
're'du'ru'luo'zheng 热毒入络证
're'du'ru'ying'zheng 热毒入营证
're'du'shang'gong'zheng 热毒上攻证
're'du'shang'jin'zheng 热毒伤津证
're'du'shang'yin'zheng 热毒伤阴证
're'du'xian'ying'zheng 热毒陷营证
're'du'yong'jie'zheng 热毒壅结证
're'du'yong'sheng'zheng 热毒壅盛证
're'du'yong'zhi'zheng 热毒壅滞证
're'du'yun'fu'zheng 热毒蕴肤证
're'du'yun'jie'zheng 热毒蕴结证
're'du'zheng 热毒证
're'fan'fei'wei'zheng 热犯肺胃证
're'fu'shao'yang'zheng 热伏少阳证
're'ji'sheng'feng'zheng 热极生风证
're'jie'chang'zao'zheng 热结肠燥证
're'jie'xue'shi'zheng 热结血室证
're'jie'xue'yu'zheng 热结血瘀证
're'jue'bing 热厥病
're'ke'fei'jing'zheng 热客肺经证
're'lei'zheng 热泪证
're'lin'bing 热淋病
're'liu'yin'ta'zheng 热留阴他证
're'po'pang'guang'zheng 热迫膀胱证
're'ru'bao'gong'qi'xue'liang'fan'zheng 热入胞宫气血两燔证
're'ru'bao'gong'zheng 热入胞宫证
're'ru'fei'wei'zheng 热入肺卫证
're'ru'qi'fen'zheng 热入气分证
're'ru'xin'bao'yang'ming'fu'shi'zheng 热入心包阳明腑实证
're'ru'xin'bao'zheng 热入心包证
're'ru'xue'fen'zheng 热入血分证
're'ru'xue'jie'zheng 热入血结证
're'ru'xue'shi'bing 热入血室病
're'ru'ying'xue'zheng 热入营血证
're'shang'fei'jin'zheng 热伤肺津证
're'shang'fei'luo'zheng 热伤肺络证
're'shang'shen'yin'zheng 热伤肾阴证
're'sheng'dong'feng'zheng 热盛动风证
're'sheng'dong'xue'zheng 热盛动血证
're'sheng'jin'ku'zheng 热盛津枯证
're'sheng'niang'nong'zheng 热盛酿脓证
're'sheng'po'xue'zheng 热盛迫血证
're'sheng'rou'fu'zheng 热盛肉腐证
're'sheng'shang'jin'zheng 热盛伤津证
're'sheng'shang'luo'zheng 热盛伤络证
're'sheng'shang'yin'zheng 热盛伤阴证
're'sheng'xue'yu'zheng 热盛血瘀证
're'tui'yin'shang'zheng 热退阴伤证
're'xian'jue'yin'zheng 热陷厥阴证
're'xian'xin'bao'zheng 热陷心包证
're'xie'fan'fei'zheng 热邪犯肺证
're'xie'nei'yu'zheng 热邪内郁证
're'xie'pian'sheng'zheng 热邪偏盛证
're'xie'yong'fei'zheng 热邪壅肺证
're'yong'fei'qiao'zheng 热壅肺窍证
're'yu'cheng'yong'zheng 热郁成痈证
're'yu'dan'fu'zheng 热郁胆腑证
're'yu'shao'yang'zheng 热郁少阳证
're'yu'xiong'ge'zheng 热郁胸膈证
're'yu'xue'jie'zheng 热与血结证
're'yun'da'chang'zheng 热蕴大肠证
're'yun'luo'yu'zheng 热蕴络瘀证
're'zai'fei'wei'zheng 热在肺卫证
're'zai'qi'fen'zheng 热在气分证
're'zai'xin'ying'xia'yi'xiao'chang'zheng 热在心营下移小肠证
're'zai'xin'ying'zheng 热在心营证
're'zai'xue'fen'zheng 热在血分证
're'zai'ying'xue'zheng 热在营血证
're'zheng 热证
're'zhong'yu'feng'zheng 热重于风证
're'zhong'yu'shi'zheng 热重于湿证
're'zhuo'xiong'ge'zheng 热灼胸膈证
're'zhuo'ying'yin'zheng 热灼营阴证
're'zhuo'zhen'yin'zheng 热灼真阴证
'ren'shen'e'zu'bing 妊娠恶阻病
'ren'shen'fu'tong'bing 妊娠腹痛病
'rou'liu'bing 肉瘤病
'rou'ying'bing 肉瘿病
'ru'ai'bing 乳癌病
'ru'chuang'bing 褥疮病
'ru'e'bing 乳蛾病
'ru'fa'bing 乳发病
'ru'fang'bu'lou'zheng 乳房部漏证
'ru'he'bing 乳核病
'ru'ju'bing 乳疽病
'ru'lao'bing 乳痨病
'ru'li'bing 乳疬病
'ru'lou'bing 乳漏病
'ru'mi'niao'bing 乳糜尿病
'ru'nv'bing 乳衄病
'ru'pi'bing 乳癖病
'ru'shi'ji'zhi'zheng 乳食积滞证
'ru'shi'nei'ji'zheng 乳食内积证
'ru'shi'shang'wei'zheng 乳食伤胃证
'ru'shi'yong'ji'zheng 乳食壅积证
'ru'tou'feng'bing 乳头风病
'ru'tou'po'sui'bing 乳头破碎病
'ru'yong'bing 乳痈病
'ru'yun'bu'lou'zheng 乳晕部漏证
'ruan'jiao'wen'bing 软脚瘟病
'ruan'jie'bing 软疖病
'san'jiao'yong'se'zheng 三焦壅塞证
'san'qi 三期
'sha'du'shang'gong'zheng 痧毒上攻证
'sha'yan'bing 沙眼病
'shan'qi'bing 疝气病
'shan'zhong'ju'bing 膻中疽病
'shang'bao'xia'chui'bing 上胞下垂病
'shang'e'yong'bing 上颚痈病
'shang'feng'bi'sai'bing 伤风鼻塞病
'shang'hou'fa're'bing 伤后发热病
'shang'hou'long'bi'bing 伤后癃闭病
'shang'jin'bing 伤筋病
'shang'luo'bian'xue'zheng 伤络便血证
'shang'qi'bu'zu'zheng 上气不足证
'shang'ru'zheng 伤乳证
'shang'sheng'xia'xu'zheng 上盛下虚证
'shang'shi'tong'zheng 伤食痛证
'shang'shi'zheng 伤食证
'shang'yang'zheng 伤阳证
'shang'yin'zheng 伤阴证
'shao'fu'ju'bing 少腹疽病
'shao'yang'bing 少阳病
'shao'yang'zheng 少阳证
'shao'yin'bing 少阴病
'shao'yin'han'hua'zheng 少阴寒化证
'shao'yin're'hua'zheng 少阴热化证
'shao'yin're'yi'pang'guang'zheng 少阴热移膀胱证
'shao'yin're'zheng 少阴热证
