'a 阿
'yuan'yang'duan 鸳鸯缎
'yuan'yang'lian'lu'jin 鸳鸯莲鹭锦
'yuan'zhou'de'fu'an'zhan 原州的复鞍毡
'yue'hua'duan 月华缎
'yue'ji'an'chun'tu'ke'si 月季鹌鹑图缂丝
'yun'bu 云布
'yun'di'bao'xiang'hua'wen'zhong'jin 云地宝相花纹重锦
'yun'jian'jin 晕繝锦
'yun'jian'ti'hua'jin 晕间提花锦
'yun'jin 云锦
'yun'jin'tu'an'chuang'zuo'kou'jue 云锦图案创作口诀
'yun'long'ba'ji'xiang'duan 云龙八吉祥缎
'yun'wen'hua'juan 云纹花绢
'yun'wen'luo 云纹罗
'za'bao'zhi'jin'ling 杂宝织金绫
'zao'di'ba'jiao'tuan'hua'jin 皂地八角团花锦
'ze'shu 则数
'zeng 缯
'zha'hua'bu 轧花布
'zha'jing'ran'se 扎经染色
'zha'wen 轧纹
'zhan 毡
'zhan'guo'he'di'ju'wen'jin 战国褐地矩纹锦
'zhan'guo'zong'se'di'ji'he'wen'jin 战国棕色地几何纹锦
'zhang'duan 漳缎
'zhang'rong 漳绒
'zhao'yin 罩印
'zhe'zhi'hua'hui'hu'die'zhuang'hua'duan 折枝花卉蝴蝶妆花缎
'zhe'zhi'mu'dan'hua'luo 折枝牡丹花罗
'zhen'si'duan 真丝缎
'zhi 緻
'zhi'bei 织贝
'zhi'cheng 织成
'zhi'cheng'yi'feng'tu 织成仪凤图
'zhi'hua 织花
'zhi'jie'ran'liao 直接染料
'zhi'jie'yin'hua 直接印花
'zhi'jin 织锦
'zhi'jin'duan 织锦缎
'zhi'jin'hui'wen 织锦回文
'zhi'jin'jin 织金锦
'zhi'jin'tuo'luo'jing'bei 织金陀罗经被
'zhi'ran'ju 织染局
'zhi'rong 织绒
'zhi'shi 织室
'zhi'tan 织毯
'zhi'wen 织文
'zhi'wu'ran'liao 植物染料
'zhi'wu'wen'zi'tu'an 织物文字图案
'zhi'wu'yin'jin 织物印金
'zhi'zao 织造
'zhi'zao'gong 织造工
'zhi'zao'ya'men 织造衙门
'zhong'guo'si'chou 中国丝绸
'zhong'lian'ling 重莲绫
'zhong'shi'ran'yu 钟氏染羽
'zhong'xing'ran'liao 中性染料
'zhou 绉
'zhou'chi 绉絺
'zhou'sha 绉纱
'zhu 纻
'zhu'ge'jin 诸葛锦
'zhu'hong'se'bei'xing'ling'wen'luo 朱红色杯形菱纹罗
'zhu'ke'fa 朱缂法
'zhuai'hua'gong 拽花工
'zhuan'hua'xiao'guo'yin'hua 转化效果印花
'zhuan'yi'yin'hua 转移印花
'zhuang'hua 妆花
'zhuang'hua'duan 妆花缎
'zhuang'hua'juan 妆花绢
'zhuang'hua'luo 妆花罗
'zhuang'jin 壮锦
'zhuang'shi'yong'fang'zhi'pin 装饰用纺织品
'zhuang'zao 装造
'zhui'hua'juan'fan 缀花绢幡
'zhuo'shi'jin 卓氏锦
'zi'hua'bu 紫花布
'zi'luan'que'pu'ke'si 紫鸾鹊谱缂丝
'zi'qu'shui 紫曲水
